# _root_ Akkor voltak 350-en , most 250 körüli a létszáma a 310_millió forint jegyzett tőkéjű vállalkozásnak , amely ma tipikus középvállalkozásnak mondható — mondja Erdész_András elnök-vezérigazgató .
#goldHeads=2,23,2,23,23,7,5,9,5,15,12,15,14,15,5,5,21,21,20,21,5,23,0,25,23,23,
#predictedHeads=2,0,2,2,7,7,2,9,2,15,12,13,15,15,2,2,23,23,20,21,23,23,2,25,23,2,
(13,8),-1.38224 # DEPENDENCYPART_ARC
(13,9),-1.15301 # DEPENDENCYPART_ARC
(13,10),-0.962465 # DEPENDENCYPART_ARC
(13,11),0.0908809 # DEPENDENCYPART_ARC
(13,12),0.656381 # DEPENDENCYPART_ARC
(13,14),-1.21677 # DEPENDENCYPART_ARC
(13,23),-1.43669 # DEPENDENCYPART_ARC
(14,1),-1.98948 # DEPENDENCYPART_ARC
(14,5),-1.47822 # DEPENDENCYPART_ARC
(14,6),-1.13929 # DEPENDENCYPART_ARC
(14,7),-1.66273 # DEPENDENCYPART_ARC
(14,8),-1.41104 # DEPENDENCYPART_ARC
(14,9),-1.66518 # DEPENDENCYPART_ARC
(14,10),-1.25681 # DEPENDENCYPART_ARC
(14,11),-0.367869 # DEPENDENCYPART_ARC
(14,12),-0.485979 # DEPENDENCYPART_ARC
(14,13),0.618263 # DEPENDENCYPART_ARC
(15,2),-1.48162 # DEPENDENCYPART_ARC
(15,3),-2.32091 # DEPENDENCYPART_ARC
(15,4),-0.564027 # DEPENDENCYPART_ARC
(15,5),-0.666105 # DEPENDENCYPART_ARC
(15,6),-0.938469 # DEPENDENCYPART_ARC
(15,7),-1.20857 # DEPENDENCYPART_ARC
(15,8),-0.334721 # DEPENDENCYPART_ARC
(15,9),-1.59973 # DEPENDENCYPART_ARC
(15,10),0.577316 # DEPENDENCYPART_ARC
(15,11),0.292439 # DEPENDENCYPART_ARC
(15,12),0.411255 # DEPENDENCYPART_ARC
(15,13),1.84331 # DEPENDENCYPART_ARC
(15,14),2.71307 # DEPENDENCYPART_ARC
(15,16),-0.631651 # DEPENDENCYPART_ARC
(15,17),-1.85784 # DEPENDENCYPART_ARC
(15,18),-1.6609 # DEPENDENCYPART_ARC
(15,19),-1.77049 # DEPENDENCYPART_ARC
(15,20),-1.94465 # DEPENDENCYPART_ARC
(15,21),-1.90314 # DEPENDENCYPART_ARC
(15,22),-1.18589 # DEPENDENCYPART_ARC
(15,23),-1.73064 # DEPENDENCYPART_ARC
(15,24),-2.09573 # DEPENDENCYPART_ARC
(15,25),-2.18415 # DEPENDENCYPART_ARC
(15,26),-1.78751 # DEPENDENCYPART_ARC
(17,19),-1.18432 # DEPENDENCYPART_ARC
(17,20),-1.1001 # DEPENDENCYPART_ARC
(17,21),-1.11577 # DEPENDENCYPART_ARC
(17,25),-1.28825 # DEPENDENCYPART_ARC
(18,1),-2.05718 # DEPENDENCYPART_ARC
(18,2),-2.03872 # DEPENDENCYPART_ARC
(18,15),-1.76795 # DEPENDENCYPART_ARC
(18,17),-0.809857 # DEPENDENCYPART_ARC
(18,19),-1.09506 # DEPENDENCYPART_ARC
(18,20),-1.15146 # DEPENDENCYPART_ARC
(18,21),-1.36093 # DEPENDENCYPART_ARC
(18,22),-1.03436 # DEPENDENCYPART_ARC
(18,24),-1.9123 # DEPENDENCYPART_ARC
(18,25),-1.89032 # DEPENDENCYPART_ARC
(19,11),-1.42588 # DEPENDENCYPART_ARC
(19,12),-2.02949 # DEPENDENCYPART_ARC
(19,13),-1.81435 # DEPENDENCYPART_ARC
(19,14),-1.5881 # DEPENDENCYPART_ARC
(19,15),-1.94446 # DEPENDENCYPART_ARC
(19,16),-0.860988 # DEPENDENCYPART_ARC
(19,17),-0.834124 # DEPENDENCYPART_ARC
(19,18),0.445054 # DEPENDENCYPART_ARC
(19,24),-1.86574 # DEPENDENCYPART_ARC
(20,8),-1.50792 # DEPENDENCYPART_ARC
(20,10),-0.557531 # DEPENDENCYPART_ARC
(20,11),-1.08387 # DEPENDENCYPART_ARC
(20,12),-1.85113 # DEPENDENCYPART_ARC
(20,13),-0.640001 # DEPENDENCYPART_ARC
(20,14),-0.429084 # DEPENDENCYPART_ARC
(20,15),-2.16606 # DEPENDENCYPART_ARC
(20,16),-1.00355 # DEPENDENCYPART_ARC
(20,17),-0.901345 # DEPENDENCYPART_ARC
(20,18),-0.183386 # DEPENDENCYPART_ARC
(20,19),2.23457 # DEPENDENCYPART_ARC
(20,21),-1.49031 # DEPENDENCYPART_ARC
(20,24),-1.67802 # DEPENDENCYPART_ARC
(20,25),-1.96725 # DEPENDENCYPART_ARC
(21,1),-1.78349 # DEPENDENCYPART_ARC
(21,2),-1.38065 # DEPENDENCYPART_ARC
(21,3),-1.47112 # DEPENDENCYPART_ARC
(21,4),-0.890009 # DEPENDENCYPART_ARC
(21,5),-1.51919 # DEPENDENCYPART_ARC
(21,6),-1.36378 # DEPENDENCYPART_ARC
(21,9),-2.02849 # DEPENDENCYPART_ARC
(21,11),-1.01769 # DEPENDENCYPART_ARC
(21,12),-1.28319 # DEPENDENCYPART_ARC
(21,13),-1.27216 # DEPENDENCYPART_ARC
(21,14),-1.26926 # DEPENDENCYPART_ARC
(21,15),-1.53642 # DEPENDENCYPART_ARC
(21,16),-0.600151 # DEPENDENCYPART_ARC
(21,17),-0.876079 # DEPENDENCYPART_ARC
(21,18),-0.113766 # DEPENDENCYPART_ARC
(21,19),0.0284855 # DEPENDENCYPART_ARC
(21,20),2.05114 # DEPENDENCYPART_ARC
(21,22),-0.35641 # DEPENDENCYPART_ARC
(21,24),-1.47725 # DEPENDENCYPART_ARC
(21,25),-1.6876 # DEPENDENCYPART_ARC
(23,1),-1.34185 # DEPENDENCYPART_ARC
(23,2),-0.180148 # DEPENDENCYPART_ARC
(23,3),-0.199314 # DEPENDENCYPART_ARC
(23,4),0.00879088 # DEPENDENCYPART_ARC
(23,5),-0.59694 # DEPENDENCYPART_ARC
(23,6),-1.73166 # DEPENDENCYPART_ARC
(23,7),-1.9635 # DEPENDENCYPART_ARC
(23,8),-1.85319 # DEPENDENCYPART_ARC
(23,9),-0.791407 # DEPENDENCYPART_ARC
(23,10),-1.81288 # DEPENDENCYPART_ARC
(23,11),-1.63943 # DEPENDENCYPART_ARC
(23,12),-1.27253 # DEPENDENCYPART_ARC
(23,13),-1.798 # DEPENDENCYPART_ARC
(23,14),-1.77039 # DEPENDENCYPART_ARC
(23,15),-0.822438 # DEPENDENCYPART_ARC
(23,16),-0.00241394 # DEPENDENCYPART_ARC
(23,17),0.617363 # DEPENDENCYPART_ARC
(23,18),0.41919 # DEPENDENCYPART_ARC
(23,19),-0.978729 # DEPENDENCYPART_ARC
(23,20),0.456851 # DEPENDENCYPART_ARC
(23,21),-0.282405 # DEPENDENCYPART_ARC
(23,22),0.88785 # DEPENDENCYPART_ARC
(23,24),1.57795 # DEPENDENCYPART_ARC
(23,25),1.73616 # DEPENDENCYPART_ARC
(23,26),0.735334 # DEPENDENCYPART_ARC
(24,19),-2.27568 # DEPENDENCYPART_ARC
(24,21),-1.49598 # DEPENDENCYPART_ARC
(24,22),-0.783546 # DEPENDENCYPART_ARC
(24,25),-1.04277 # DEPENDENCYPART_ARC
(25,10),-1.84425 # DEPENDENCYPART_ARC
(25,13),-2.18798 # DEPENDENCYPART_ARC
(25,15),-3.26256 # DEPENDENCYPART_ARC
(25,16),-1.19028 # DEPENDENCYPART_ARC
(25,18),-1.52222 # DEPENDENCYPART_ARC
(25,19),-1.50798 # DEPENDENCYPART_ARC
(25,20),-2.49576 # DEPENDENCYPART_ARC
(25,21),-0.670734 # DEPENDENCYPART_ARC
(25,22),-0.439673 # DEPENDENCYPART_ARC
(25,24),2.30579 # DEPENDENCYPART_ARC
(25,26),-1.09525 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.105179 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0298253 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0643854 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.112356 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.108817 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.113857 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.254881 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0352933 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0825962 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.116078 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.20491 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0100185 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00457907 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.029648 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0100185 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0336408 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.063031 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0349692 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.063031 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0100185 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0165331 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0339296 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0339309 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.035602 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00457907 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0317013 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0150916 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0337902 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.035602 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0367253 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0293283 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.048037 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.035602 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.035602 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0644088 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0263351 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00594798 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00455622 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0150793 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0467919 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0192906 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0467919 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00455622 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0178447 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0152385 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0152385 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0181102 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0263351 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00622949 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0290238 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0152385 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0181102 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0152221 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.00288801 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0270045 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0181102 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0181102 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.00321905 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0678274 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.018408 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0583019 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.106176 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0474294 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.106176 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.018408 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0411977 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0586676 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0586682 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0487189 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0171069 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0514478 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0262201 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0586682 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0487189 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0577166 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.050684 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.154865 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0487189 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0487189 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0320397 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00713078 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0759019 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.068421 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0627396 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.068421 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00713078 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0653803 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0760702 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0760702 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0639423 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.062801 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0490598 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.000323646 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0760702 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0639423 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0760219 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0220835 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0154682 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0639423 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0639423 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.00524565 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0150793 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0467919 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0192949 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0467919 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00455622 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.017849 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0152385 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0152385 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0181145 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0263333 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00622949 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0290238 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0152385 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0181145 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0152221 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00288892 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0270045 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0181145 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0181145 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.00321649 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0378777 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0307737 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0378777 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0221359 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0284845 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.031512 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0315812 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0295832 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.000669725 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00590166 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0357933 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.031512 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0295832 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0315832 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0242744 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0490763 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0295832 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.0295832 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0122294 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00616278 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0883985 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00625517 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00911833 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0023299 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0023299 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00734625 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.000965649 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0110081 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0288521 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0023299 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00734625 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.00234861 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0237573 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.048806 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00734625 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.00734625 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0284181 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0873757 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00335401 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00263616 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0526325 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0526314 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00418265 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0705232 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0882995 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00118127 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0526329 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00418265 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0521326 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.024839 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.00981005 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.00418265 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.00418265 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0226572 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00625517 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00911833 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0023299 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0023299 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00734625 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.000965649 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0110081 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0288521 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0023299 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00734625 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00234861 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0237573 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.048806 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.00734625 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.00734625 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.0284181 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0178447 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0152385 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0152385 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0181102 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0263351 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00622949 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0290238 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0152385 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0181102 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0152221 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00288801 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.0270045 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.0181102 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.0181102 # DEPENDENCYPART_SIBL
