# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,19,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(11,13),-1.1823 # DEPENDENCYPART_ARC
(11,16),-1.72093 # DEPENDENCYPART_ARC
(13,1),-1.85851 # DEPENDENCYPART_ARC
(13,3),-2.18512 # DEPENDENCYPART_ARC
(13,4),-1.47784 # DEPENDENCYPART_ARC
(13,5),-2.01959 # DEPENDENCYPART_ARC
(13,6),-2.15991 # DEPENDENCYPART_ARC
(13,7),-1.6515 # DEPENDENCYPART_ARC
(13,8),-1.29475 # DEPENDENCYPART_ARC
(13,9),-1.94489 # DEPENDENCYPART_ARC
(13,10),0.587435 # DEPENDENCYPART_ARC
(13,12),0.342081 # DEPENDENCYPART_ARC
(13,14),-1.1007 # DEPENDENCYPART_ARC
(13,15),-1.11875 # DEPENDENCYPART_ARC
(13,16),-1.57323 # DEPENDENCYPART_ARC
(13,17),-1.50228 # DEPENDENCYPART_ARC
(13,18),-1.41906 # DEPENDENCYPART_ARC
(13,19),-0.574084 # DEPENDENCYPART_ARC
(13,20),-0.764633 # DEPENDENCYPART_ARC
(13,21),-1.68841 # DEPENDENCYPART_ARC
(13,23),-1.68606 # DEPENDENCYPART_ARC
(13,24),-2.20242 # DEPENDENCYPART_ARC
(13,25),-0.999566 # DEPENDENCYPART_ARC
(13,27),-1.49525 # DEPENDENCYPART_ARC
(13,28),0.364128 # DEPENDENCYPART_ARC
(14,10),-1.19183 # DEPENDENCYPART_ARC
(14,13),-0.243204 # DEPENDENCYPART_ARC
(14,15),-0.851436 # DEPENDENCYPART_ARC
(14,16),-0.983599 # DEPENDENCYPART_ARC
(14,17),-1.11548 # DEPENDENCYPART_ARC
(14,18),-1.22153 # DEPENDENCYPART_ARC
(14,20),-1.03236 # DEPENDENCYPART_ARC
(14,24),-1.907 # DEPENDENCYPART_ARC
(15,7),-1.87889 # DEPENDENCYPART_ARC
(15,8),-1.74241 # DEPENDENCYPART_ARC
(15,10),-1.656 # DEPENDENCYPART_ARC
(15,12),-1.01248 # DEPENDENCYPART_ARC
(15,13),-1.04532 # DEPENDENCYPART_ARC
(15,14),0.373735 # DEPENDENCYPART_ARC
(15,17),-1.52968 # DEPENDENCYPART_ARC
(16,2),-1.60842 # DEPENDENCYPART_ARC
(16,5),-1.08445 # DEPENDENCYPART_ARC
(16,7),-1.17426 # DEPENDENCYPART_ARC
(16,8),-1.69577 # DEPENDENCYPART_ARC
(16,10),-2.52154 # DEPENDENCYPART_ARC
(16,12),-0.579814 # DEPENDENCYPART_ARC
(16,13),-0.0450782 # DEPENDENCYPART_ARC
(16,14),-0.172543 # DEPENDENCYPART_ARC
(16,15),2.3768 # DEPENDENCYPART_ARC
(16,17),-1.32047 # DEPENDENCYPART_ARC
(16,18),-1.73097 # DEPENDENCYPART_ARC
(17,10),-1.36092 # DEPENDENCYPART_ARC
(17,12),-1.32238 # DEPENDENCYPART_ARC
(17,13),-0.984609 # DEPENDENCYPART_ARC
(17,14),-0.557141 # DEPENDENCYPART_ARC
(17,15),-0.944923 # DEPENDENCYPART_ARC
(17,16),-0.308557 # DEPENDENCYPART_ARC
(17,18),-0.761882 # DEPENDENCYPART_ARC
(17,19),-0.867985 # DEPENDENCYPART_ARC
(17,20),-0.642244 # DEPENDENCYPART_ARC
(17,21),-1.23084 # DEPENDENCYPART_ARC
(17,24),-1.72198 # DEPENDENCYPART_ARC
(17,25),-1.32774 # DEPENDENCYPART_ARC
(17,27),-1.25851 # DEPENDENCYPART_ARC
(17,28),-1.53047 # DEPENDENCYPART_ARC
(18,12),-1.14887 # DEPENDENCYPART_ARC
(18,14),-0.933842 # DEPENDENCYPART_ARC
(18,16),-0.892187 # DEPENDENCYPART_ARC
(18,17),0.0809112 # DEPENDENCYPART_ARC
(18,20),-0.929983 # DEPENDENCYPART_ARC
(18,23),-1.67412 # DEPENDENCYPART_ARC
(18,24),-1.77725 # DEPENDENCYPART_ARC
(18,25),-1.1187 # DEPENDENCYPART_ARC
(18,27),-1.86518 # DEPENDENCYPART_ARC
(18,28),-1.10991 # DEPENDENCYPART_ARC
(19,1),-0.718647 # DEPENDENCYPART_ARC
(19,3),-1.69956 # DEPENDENCYPART_ARC
(19,4),-2.44848 # DEPENDENCYPART_ARC
(19,5),-2.3711 # DEPENDENCYPART_ARC
(19,6),-0.530742 # DEPENDENCYPART_ARC
(19,7),-1.41647 # DEPENDENCYPART_ARC
(19,8),-2.34184 # DEPENDENCYPART_ARC
(19,9),-1.10515 # DEPENDENCYPART_ARC
(19,10),-0.764081 # DEPENDENCYPART_ARC
(19,11),-0.633342 # DEPENDENCYPART_ARC
(19,12),-0.507687 # DEPENDENCYPART_ARC
(19,13),0.0719568 # DEPENDENCYPART_ARC
(19,14),0.333154 # DEPENDENCYPART_ARC
(19,15),-1.03813 # DEPENDENCYPART_ARC
(19,16),1.43742 # DEPENDENCYPART_ARC
(19,17),1.12503 # DEPENDENCYPART_ARC
(19,18),1.67245 # DEPENDENCYPART_ARC
(19,20),0.469022 # DEPENDENCYPART_ARC
(19,21),-0.28014 # DEPENDENCYPART_ARC
(19,22),-2.00123 # DEPENDENCYPART_ARC
(19,23),-1.29869 # DEPENDENCYPART_ARC
(19,24),-1.26085 # DEPENDENCYPART_ARC
(19,25),-0.0845664 # DEPENDENCYPART_ARC
(19,26),-2.51816 # DEPENDENCYPART_ARC
(19,27),-1.15808 # DEPENDENCYPART_ARC
(19,28),-0.989873 # DEPENDENCYPART_ARC
(21,9),-1.77861 # DEPENDENCYPART_ARC
(21,16),-1.40103 # DEPENDENCYPART_ARC
(21,18),-0.901287 # DEPENDENCYPART_ARC
(21,20),-0.453942 # DEPENDENCYPART_ARC
(21,24),-0.779355 # DEPENDENCYPART_ARC
(21,25),-0.730964 # DEPENDENCYPART_ARC
(21,28),-1.12725 # DEPENDENCYPART_ARC
(22,23),-0.624886 # DEPENDENCYPART_ARC
(23,21),-1.15499 # DEPENDENCYPART_ARC
(23,22),-0.528227 # DEPENDENCYPART_ARC
(23,27),-1.81817 # DEPENDENCYPART_ARC
(24,14),-1.58268 # DEPENDENCYPART_ARC
(24,15),-1.41886 # DEPENDENCYPART_ARC
(24,17),-1.27441 # DEPENDENCYPART_ARC
(24,18),-1.80184 # DEPENDENCYPART_ARC
(24,19),-1.46324 # DEPENDENCYPART_ARC
(24,20),-0.758822 # DEPENDENCYPART_ARC
(24,21),-0.727305 # DEPENDENCYPART_ARC
(24,22),1.19824 # DEPENDENCYPART_ARC
(24,23),2.31328 # DEPENDENCYPART_ARC
(24,27),-1.72234 # DEPENDENCYPART_ARC
(25,1),-0.790505 # DEPENDENCYPART_ARC
(25,3),-1.5801 # DEPENDENCYPART_ARC
(25,4),-2.0432 # DEPENDENCYPART_ARC
(25,5),-2.5257 # DEPENDENCYPART_ARC
(25,6),-0.992286 # DEPENDENCYPART_ARC
(25,7),-1.7621 # DEPENDENCYPART_ARC
(25,8),-1.9156 # DEPENDENCYPART_ARC
(25,9),-1.01403 # DEPENDENCYPART_ARC
(25,10),-0.566884 # DEPENDENCYPART_ARC
(25,12),-0.678148 # DEPENDENCYPART_ARC
(25,13),-0.213553 # DEPENDENCYPART_ARC
(25,14),-0.749479 # DEPENDENCYPART_ARC
(25,15),-2.06501 # DEPENDENCYPART_ARC
(25,16),-0.389338 # DEPENDENCYPART_ARC
(25,17),-0.4226 # DEPENDENCYPART_ARC
(25,18),-0.185884 # DEPENDENCYPART_ARC
(25,19),-0.0970876 # DEPENDENCYPART_ARC
(25,20),-0.149367 # DEPENDENCYPART_ARC
(25,21),1.36752 # DEPENDENCYPART_ARC
(25,22),-1.11911 # DEPENDENCYPART_ARC
(25,23),-0.179822 # DEPENDENCYPART_ARC
(25,24),2.40725 # DEPENDENCYPART_ARC
(25,26),-0.978811 # DEPENDENCYPART_ARC
(25,27),0.565586 # DEPENDENCYPART_ARC
(25,28),-0.13384 # DEPENDENCYPART_ARC
(27,21),-1.07147 # DEPENDENCYPART_ARC
(27,24),-0.645655 # DEPENDENCYPART_ARC
(27,25),-0.780242 # DEPENDENCYPART_ARC
(27,26),0.510698 # DEPENDENCYPART_ARC
(0,10),(0,11),-0.110161 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.225662 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.245774 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.245466 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.13336 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.099132 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.099132 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.129173 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.129173 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.245622 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0442281 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.103718 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00510418 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0840483 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0442476 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00510439 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.019529 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0425774 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00523653 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0182819 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0425774 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0708276 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.019529 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0115922 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0710472 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0255331 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0783399 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0841577 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0255329 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0513037 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0803259 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.052336 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0502572 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0803259 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0733405 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.0513037 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.142876 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0246074 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.04284 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0393408 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0246073 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0132314 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00422094 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.023361 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0117801 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.00422094 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0391832 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0132314 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.0244471 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0840483 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0442476 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00510286 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0195305 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0425829 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00523653 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0182834 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0425829 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0708276 # DEPENDENCYPART_SIBL
(1,6),(1,25),0.0195305 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.0115952 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0520628 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0418965 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0214011 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0369126 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.013392 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0203546 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0369126 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0447836 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.0214011 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.0575487 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0256641 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0514298 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.080339 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0523506 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0503832 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.080339 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.073348 # DEPENDENCYPART_SIBL
(1,8),(1,25),0.0514298 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.143089 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0195294 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0425798 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00523639 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0182823 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0425798 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0708276 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.0195294 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.0115952 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0955037 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0384972 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.00158976 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0955037 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0689394 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.00325267 # DEPENDENCYPART_SIBL
(1,10),(1,28),0.0678238 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.110611 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.241663 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0343498 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.171502 # DEPENDENCYPART_SIBL
(1,12),(1,25),0.245168 # DEPENDENCYPART_SIBL
(1,12),(1,28),0.0934828 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0195426 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.0258173 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0474147 # DEPENDENCYPART_SIBL
(1,13),(1,25),0.0205891 # DEPENDENCYPART_SIBL
(1,13),(1,28),0.030158 # DEPENDENCYPART_SIBL
(1,19),(1,20),0.0952225 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.0687828 # DEPENDENCYPART_SIBL
(1,19),(1,25),0.00278286 # DEPENDENCYPART_SIBL
(1,19),(1,28),0.0675732 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.171502 # DEPENDENCYPART_SIBL
(1,20),(1,25),0.245168 # DEPENDENCYPART_SIBL
(1,20),(1,28),0.0934828 # DEPENDENCYPART_SIBL
(1,21),(1,25),0.0186273 # DEPENDENCYPART_SIBL
(1,21),(1,28),0.0575419 # DEPENDENCYPART_SIBL
(1,25),(1,28),0.0678238 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.422807 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00485565 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00332853 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.021096 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.129921 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0680113 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0191519 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0449646 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.038349 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0191519 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.070979 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.141973 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0201458 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0365269 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00902054 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00117427 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0365269 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0128806 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0656429 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0257208 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0240995 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0670731 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0257208 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0334159 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0213524 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0100325 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.051112 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0213524 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0292095 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0197607 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.062837 # DEPENDENCYPART_SIBL
(4,8),(4,27),0.0227215 # DEPENDENCYPART_SIBL
(4,8),(4,28),0.0155943 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0458804 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.00527307 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.00693769 # DEPENDENCYPART_SIBL
(4,19),(4,27),0.0147952 # DEPENDENCYPART_SIBL
(4,19),(4,28),0.109997 # DEPENDENCYPART_SIBL
(4,27),(4,28),0.0155943 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0729803 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.190743 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.171711 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0679518 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0345595 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0328874 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.422807 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0466728 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.127882 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00567281 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00486452 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0785843 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.057618 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.207978 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00331967 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0175279 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.052777 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00471212 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.018824 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0124595 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00425638 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.200627 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.10487 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.124244 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.198911 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0192374 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.129329 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0297219 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0212387 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.129323 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0107529 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0192374 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0296928 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0241466 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.0297219 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00644777 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0598825 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0688514 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0305213 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0781708 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00436935 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0325493 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0773452 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0244237 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0305213 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.00429292 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0438841 # DEPENDENCYPART_SIBL
(7,3),(7,25),0.00436935 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0719823 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0852614 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0339252 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.134241 # DEPENDENCYPART_SIBL
