# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,16,13,13,13,16,13,16,0,18,16,16,
(14,18),-1.21889 # DEPENDENCYPART_ARC
(16,1),-2.38947 # DEPENDENCYPART_ARC
(16,2),-2.98514 # DEPENDENCYPART_ARC
(16,3),-1.90606 # DEPENDENCYPART_ARC
(16,6),-0.973508 # DEPENDENCYPART_ARC
(16,7),-1.03975 # DEPENDENCYPART_ARC
(16,8),-2.66326 # DEPENDENCYPART_ARC
(16,9),-0.5706 # DEPENDENCYPART_ARC
(16,10),-1.21072 # DEPENDENCYPART_ARC
(16,11),-0.657021 # DEPENDENCYPART_ARC
(16,12),-1.77744 # DEPENDENCYPART_ARC
(16,13),0.472935 # DEPENDENCYPART_ARC
(16,15),0.105659 # DEPENDENCYPART_ARC
(16,17),-1.11945 # DEPENDENCYPART_ARC
(16,18),0.168152 # DEPENDENCYPART_ARC
(16,19),-0.281736 # DEPENDENCYPART_ARC
(17,11),-1.54858 # DEPENDENCYPART_ARC
(17,12),-2.18104 # DEPENDENCYPART_ARC
(17,13),-2.14429 # DEPENDENCYPART_ARC
(17,15),-0.936759 # DEPENDENCYPART_ARC
(17,16),-0.320042 # DEPENDENCYPART_ARC
(17,19),-1.1787 # DEPENDENCYPART_ARC
(18,1),-2.20084 # DEPENDENCYPART_ARC
(18,2),-1.54079 # DEPENDENCYPART_ARC
(18,3),-0.837729 # DEPENDENCYPART_ARC
(18,4),-1.72275 # DEPENDENCYPART_ARC
(18,5),-1.16406 # DEPENDENCYPART_ARC
(18,6),-0.161247 # DEPENDENCYPART_ARC
(18,7),0.032416 # DEPENDENCYPART_ARC
(18,8),-0.940342 # DEPENDENCYPART_ARC
(18,9),-0.860066 # DEPENDENCYPART_ARC
(18,10),-0.717635 # DEPENDENCYPART_ARC
(18,11),0.201135 # DEPENDENCYPART_ARC
(18,12),0.349015 # DEPENDENCYPART_ARC
(18,13),-0.396024 # DEPENDENCYPART_ARC
(18,14),0.0963083 # DEPENDENCYPART_ARC
(18,15),0.0267008 # DEPENDENCYPART_ARC
(18,16),0.664585 # DEPENDENCYPART_ARC
(18,17),2.14432 # DEPENDENCYPART_ARC
(18,19),0.0310036 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.0966912 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.106192 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.124632 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.101791 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.123947 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00362825 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0995677 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0232526 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.129502 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.170107 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.133148 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.164808 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.124844 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0771425 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.161608 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.064572 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.14056 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.145643 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.16816 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.130334 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0954582 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.174599 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0754194 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.14977 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.195277 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.24644 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.122338 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.215548 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.134293 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.250549 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.123478 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0796708 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.15378 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0658371 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.139989 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.121056 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.217588 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.133025 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.249574 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.138296 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0374516 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.104463 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0628631 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.141897 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0950615 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00414031 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.14786 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00290381 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00762245 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00289667 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.000101143 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0181797 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00289758 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00303504 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0181797 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00995348 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.104082 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00510769 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0523582 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00484573 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0107849 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00364302 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00494279 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00123768 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00364302 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0231939 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.17318 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.042478 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.112569 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.114001 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.153825 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.112485 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.110064 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.153825 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.154853 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0833576 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0315673 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0455305 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0154718 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0315673 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0538397 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0154718 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0539248 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0160916 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.108497 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.143283 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.113073 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.104561 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.143283 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.149351 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0725458 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.13868 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0771999 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.056752 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.13868 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0691017 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.10125 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.14648 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.343779 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0205129 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.388849 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0991697 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.104559 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.143283 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.149349 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0723588 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.127917 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0676097 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.1062 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.388849 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0991697 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.14549 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0176017 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0410576 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.555858 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0598784 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.273562 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.244474 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00159832 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.000962744 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.141625 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00371093 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0414502 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00506257 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0464541 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00459335 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0617421 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0209022 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00459335 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00931232 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0738849 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0637658 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0179669 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.02455 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00559416 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00787772 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0149618 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0877481 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0198143 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0268666 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0205704 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0192328 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0268666 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0629887 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00479009 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0550202 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0300998 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0679787 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.133857 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0649876 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0461855 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0326764 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0145209 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0639543 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0176211 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0145209 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0194756 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0311012 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0726653 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00816891 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.048123 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0133319 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0323149 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0571073 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0244263 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0302798 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0358101 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0244263 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0243398 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0131624 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.09614 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0112047 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.015668 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0887901 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0193977 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0256165 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0212727 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0196495 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0256165 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.063691 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00470013 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0545876 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.034859 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0986147 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0557996 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0526853 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.062536 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0383648 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0526853 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0629775 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0276983 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0585613 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0671133 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0349195 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0157081 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0818973 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0365007 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0157081 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0528425 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0269125 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.015626 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0216635 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.155359 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0101233 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0122597 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.155359 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0015003 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0226896 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0129551 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0804173 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0535499 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.202117 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0377514 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0385513 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0638118 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.224176 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.00237093 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0300469 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0274849 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0441558 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0130655 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0474327 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0450171 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.139074 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.00650187 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.019612 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0178273 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0770172 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0385513 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0638118 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.224176 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.00237093 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0233665 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.062639 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.00644007 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0301149 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0406844 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.14504 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0194483 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0170035 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.135533 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0141394 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.027928 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0154723 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.18725 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00135196 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.128631 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.135109 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.00135196 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.00772376 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.097602 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.211942 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.10308 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00988835 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0182654 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0204537 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0411497 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0804009 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.18668 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0210176 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0484193 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.113961 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0210176 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0314278 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0489426 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.221554 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.13343 # DEPENDENCYPART_SIBL
