# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(11,3),-0.502296 # DEPENDENCYPART_ARC
(11,4),-0.317442 # DEPENDENCYPART_ARC
(11,5),-0.217457 # DEPENDENCYPART_ARC
(11,6),-0.297791 # DEPENDENCYPART_ARC
(11,7),0.252777 # DEPENDENCYPART_ARC
(11,8),-1.17815 # DEPENDENCYPART_ARC
(11,9),1.01399 # DEPENDENCYPART_ARC
(11,10),0.762403 # DEPENDENCYPART_ARC
(11,13),1.90732 # DEPENDENCYPART_ARC
(11,14),1.07678 # DEPENDENCYPART_ARC
(11,15),-0.558129 # DEPENDENCYPART_ARC
(11,16),-1.46277 # DEPENDENCYPART_ARC
(11,17),-0.549115 # DEPENDENCYPART_ARC
(11,18),-0.354111 # DEPENDENCYPART_ARC
(11,19),0.584688 # DEPENDENCYPART_ARC
(11,20),-0.476666 # DEPENDENCYPART_ARC
(11,21),-0.0226302 # DEPENDENCYPART_ARC
(13,1),-1.64689 # DEPENDENCYPART_ARC
(13,2),-1.84715 # DEPENDENCYPART_ARC
(13,4),-1.68544 # DEPENDENCYPART_ARC
(13,6),-1.65003 # DEPENDENCYPART_ARC
(13,8),-0.839127 # DEPENDENCYPART_ARC
(13,9),-2.973 # DEPENDENCYPART_ARC
(13,10),-1.11073 # DEPENDENCYPART_ARC
(13,12),2.01393 # DEPENDENCYPART_ARC
(13,14),-0.661523 # DEPENDENCYPART_ARC
(13,15),-1.84284 # DEPENDENCYPART_ARC
(13,17),-1.52383 # DEPENDENCYPART_ARC
(13,18),-1.89651 # DEPENDENCYPART_ARC
(13,19),-1.31027 # DEPENDENCYPART_ARC
(13,21),-1.89379 # DEPENDENCYPART_ARC
(15,17),-0.63787 # DEPENDENCYPART_ARC
(17,12),-0.639516 # DEPENDENCYPART_ARC
(17,13),-1.65873 # DEPENDENCYPART_ARC
(17,14),-1.23373 # DEPENDENCYPART_ARC
(17,15),-0.900166 # DEPENDENCYPART_ARC
(17,16),1.95326 # DEPENDENCYPART_ARC
(17,18),-1.3239 # DEPENDENCYPART_ARC
(18,1),-1.21326 # DEPENDENCYPART_ARC
(18,4),-1.53547 # DEPENDENCYPART_ARC
(18,5),-1.54386 # DEPENDENCYPART_ARC
(18,6),-1.23865 # DEPENDENCYPART_ARC
(18,7),-1.48435 # DEPENDENCYPART_ARC
(18,9),-2.04951 # DEPENDENCYPART_ARC
(18,10),-1.34544 # DEPENDENCYPART_ARC
(18,11),-1.34833 # DEPENDENCYPART_ARC
(18,13),-1.58662 # DEPENDENCYPART_ARC
(18,14),-1.29453 # DEPENDENCYPART_ARC
(18,15),-0.8893 # DEPENDENCYPART_ARC
(18,17),-0.265792 # DEPENDENCYPART_ARC
(19,1),-0.856549 # DEPENDENCYPART_ARC
(19,2),-2.40728 # DEPENDENCYPART_ARC
(19,3),-2.01388 # DEPENDENCYPART_ARC
(19,4),-1.20551 # DEPENDENCYPART_ARC
(19,5),-0.934407 # DEPENDENCYPART_ARC
(19,6),-0.523338 # DEPENDENCYPART_ARC
(19,7),-0.47345 # DEPENDENCYPART_ARC
(19,9),-1.39916 # DEPENDENCYPART_ARC
(19,10),-0.80466 # DEPENDENCYPART_ARC
(19,11),-0.5664 # DEPENDENCYPART_ARC
(19,12),-1.45364 # DEPENDENCYPART_ARC
(19,13),-0.630702 # DEPENDENCYPART_ARC
(19,14),-0.376177 # DEPENDENCYPART_ARC
(19,15),0.291974 # DEPENDENCYPART_ARC
(19,16),-1.21475 # DEPENDENCYPART_ARC
(19,17),1.34266 # DEPENDENCYPART_ARC
(19,18),2.12173 # DEPENDENCYPART_ARC
(19,20),1.58296 # DEPENDENCYPART_ARC
(19,21),-0.208851 # DEPENDENCYPART_ARC
(20,5),-1.28139 # DEPENDENCYPART_ARC
(20,6),-0.82711 # DEPENDENCYPART_ARC
(20,7),-1.2373 # DEPENDENCYPART_ARC
(20,9),-1.81439 # DEPENDENCYPART_ARC
(20,10),-1.07019 # DEPENDENCYPART_ARC
(20,11),-1.27586 # DEPENDENCYPART_ARC
(20,13),-1.45808 # DEPENDENCYPART_ARC
(20,14),-1.19446 # DEPENDENCYPART_ARC
(20,17),-0.719875 # DEPENDENCYPART_ARC
(20,18),-0.499259 # DEPENDENCYPART_ARC
(20,19),-0.166227 # DEPENDENCYPART_ARC
(20,21),-0.880705 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0361703 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0805794 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0942209 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0805794 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0805794 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0808097 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0379713 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.108518 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.136456 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.107566 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.107566 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.109222 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0640381 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.26667 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.246642 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.246642 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.246954 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.121056 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.130334 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.130334 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.133376 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0954582 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.245466 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.245778 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.121056 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.245778 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.121056 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.121213 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0130677 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0157336 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00319132 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00749378 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0130677 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.314925 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00749378 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00748876 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00319132 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00840943 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0068833 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0451308 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0503036 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0460824 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0404005 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0115439 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0460824 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0431979 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0503036 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0448843 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.00656332 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0714472 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0268321 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00304671 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0642866 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0268321 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00305014 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0714472 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0267486 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.105336 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.354422 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0559459 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0538749 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.354422 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0573535 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00316844 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.348923 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.058709 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00304671 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0682462 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0280083 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00305014 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0734269 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0279248 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.110846 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0115676 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0461308 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0431716 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0503508 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0449326 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00651568 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.144352 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00703779 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.047837 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.141377 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0408634 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00305014 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0734269 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0279248 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.110846 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0499543 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0448716 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.00537024 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.348923 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.058709 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.10807 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0306998 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0522822 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.056362 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0440423 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0330674 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0440423 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0449908 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0415529 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00136303 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0196372 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00136303 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0154455 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00136303 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00130612 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0208839 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.167099 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0498696 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0764132 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0498696 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.049701 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.205656 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.425607 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.342981 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.425607 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.41997 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0787788 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0764132 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0510458 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0508772 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.211166 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.058216 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0569165 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0485651 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0508772 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.211166 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.208343 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0188877 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0690144 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00324539 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00687667 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.022365 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0297739 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0353601 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.220858 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.022365 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0436127 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00324539 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0524276 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0353601 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0139274 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0246114 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0216918 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.108311 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0159516 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0152325 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.03468 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0158565 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00188127 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0142851 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0297601 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0158565 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0136333 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0152325 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0012614 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0142851 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0459933 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0171993 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0875757 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.00163898 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00964823 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.000151852 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0179407 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0205503 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00429517 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0453782 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0179407 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.000420762 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00964823 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0259308 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00429517 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0122739 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0207504 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0885604 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00532498 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.813968 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.190202 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.12175 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0740121 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0407239 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.190202 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0620156 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0162039 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00966215 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0740121 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.097668 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.175495 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0509152 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0464161 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.105783 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0749102 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0149299 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0229343 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.105783 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0239006 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0404827 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0587388 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0149299 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0256726 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0964384 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00699217 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.123421 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.027236 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0045967 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0448135 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0067405 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0128958 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0590388 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0269372 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0045967 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00679649 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0113138 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0172554 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0176998 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0109873 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0262398 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0372724 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00269153 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0081168 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00444632 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0109873 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0110524 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0417732 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0175983 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0285054 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00472569 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0202257 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0328853 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0422156 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0406907 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0191517 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0054206 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0269017 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0175573 # DEPENDENCYPART_SIBL
(4,9),(4,21),-4.35272e-05 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00366451 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.016576 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.000590191 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.000151767 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0267221 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0365548 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00616015 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.00430822 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00226851 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0128958 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0590388 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0269372 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0045967 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00679649 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0113138 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0172554 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0176998 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0398506 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0388507 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0188723 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0033379 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0287994 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.01964 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0040862 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00966215 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0740121 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.097668 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.175495 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0509152 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0464161 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.00773779 # DEPENDENCYPART_SIBL
