# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,15,15,15,9,9,10,12,12,15,15,15,0,15,19,19,20,21,22,15,15,
(7,10),-1.0056 # DEPENDENCYPART_ARC
(7,11),-0.691763 # DEPENDENCYPART_ARC
(7,12),-1.48831 # DEPENDENCYPART_ARC
(7,13),-0.814827 # DEPENDENCYPART_ARC
(7,14),-1.72749 # DEPENDENCYPART_ARC
(7,15),-1.28378 # DEPENDENCYPART_ARC
(7,19),-2.09267 # DEPENDENCYPART_ARC
(7,21),-2.13364 # DEPENDENCYPART_ARC
(7,22),-2.09155 # DEPENDENCYPART_ARC
(7,23),-1.37819 # DEPENDENCYPART_ARC
(8,1),-1.71724 # DEPENDENCYPART_ARC
(8,2),-1.65977 # DEPENDENCYPART_ARC
(8,3),-1.5176 # DEPENDENCYPART_ARC
(8,4),-1.00302 # DEPENDENCYPART_ARC
(8,6),-1.24072 # DEPENDENCYPART_ARC
(8,7),-0.130385 # DEPENDENCYPART_ARC
(8,15),-1.40127 # DEPENDENCYPART_ARC
(8,23),-1.52033 # DEPENDENCYPART_ARC
(9,2),-2.21379 # DEPENDENCYPART_ARC
(9,3),-1.28042 # DEPENDENCYPART_ARC
(9,4),-0.935511 # DEPENDENCYPART_ARC
(9,5),-0.557297 # DEPENDENCYPART_ARC
(9,6),-1.77449 # DEPENDENCYPART_ARC
(9,7),0.225035 # DEPENDENCYPART_ARC
(9,8),2.00764 # DEPENDENCYPART_ARC
(10,2),-2.70858 # DEPENDENCYPART_ARC
(10,3),-1.68546 # DEPENDENCYPART_ARC
(10,5),-0.646627 # DEPENDENCYPART_ARC
(10,6),-2.33725 # DEPENDENCYPART_ARC
(10,7),-0.748208 # DEPENDENCYPART_ARC
(10,8),0.566876 # DEPENDENCYPART_ARC
(10,9),1.47393 # DEPENDENCYPART_ARC
(10,11),-0.724701 # DEPENDENCYPART_ARC
(10,12),-1.41909 # DEPENDENCYPART_ARC
(10,14),-1.52186 # DEPENDENCYPART_ARC
(10,15),-1.40591 # DEPENDENCYPART_ARC
(12,2),-2.9696 # DEPENDENCYPART_ARC
(12,5),-1.07925 # DEPENDENCYPART_ARC
(12,6),-3.07373 # DEPENDENCYPART_ARC
(12,7),-1.10817 # DEPENDENCYPART_ARC
(12,8),-0.682329 # DEPENDENCYPART_ARC
(12,9),-0.789038 # DEPENDENCYPART_ARC
(12,10),-0.0261102 # DEPENDENCYPART_ARC
(12,11),-0.455648 # DEPENDENCYPART_ARC
(12,14),-1.33158 # DEPENDENCYPART_ARC
(12,21),-2.17266 # DEPENDENCYPART_ARC
(12,22),-2.4727 # DEPENDENCYPART_ARC
(13,2),-2.79186 # DEPENDENCYPART_ARC
(13,4),-0.463142 # DEPENDENCYPART_ARC
(13,5),-1.60094 # DEPENDENCYPART_ARC
(13,8),-1.26749 # DEPENDENCYPART_ARC
(13,9),-1.64205 # DEPENDENCYPART_ARC
(13,10),-1.46773 # DEPENDENCYPART_ARC
(13,11),-0.766124 # DEPENDENCYPART_ARC
(13,12),-0.893845 # DEPENDENCYPART_ARC
(13,14),-1.00165 # DEPENDENCYPART_ARC
(13,15),-0.333707 # DEPENDENCYPART_ARC
(13,19),-1.88894 # DEPENDENCYPART_ARC
(13,21),-1.5852 # DEPENDENCYPART_ARC
(13,22),-2.1719 # DEPENDENCYPART_ARC
(13,23),-1.98058 # DEPENDENCYPART_ARC
(14,5),-0.690397 # DEPENDENCYPART_ARC
(14,6),-3.45943 # DEPENDENCYPART_ARC
(14,7),-1.23727 # DEPENDENCYPART_ARC
(14,8),-1.25524 # DEPENDENCYPART_ARC
(14,9),-1.33713 # DEPENDENCYPART_ARC
(14,10),-1.29339 # DEPENDENCYPART_ARC
(14,11),-0.531184 # DEPENDENCYPART_ARC
(14,12),0.239663 # DEPENDENCYPART_ARC
(14,13),-0.0686876 # DEPENDENCYPART_ARC
(14,19),-1.91334 # DEPENDENCYPART_ARC
(14,21),-1.78111 # DEPENDENCYPART_ARC
(14,22),-2.12994 # DEPENDENCYPART_ARC
(15,1),-1.00222 # DEPENDENCYPART_ARC
(15,2),-1.10577 # DEPENDENCYPART_ARC
(15,3),-1.13212 # DEPENDENCYPART_ARC
(15,4),-1.01385 # DEPENDENCYPART_ARC
(15,5),-0.504122 # DEPENDENCYPART_ARC
(15,6),0.460271 # DEPENDENCYPART_ARC
(15,7),-0.355896 # DEPENDENCYPART_ARC
(15,8),-1.1032 # DEPENDENCYPART_ARC
(15,9),0.00242728 # DEPENDENCYPART_ARC
(15,10),-0.0257203 # DEPENDENCYPART_ARC
(15,11),-0.0191646 # DEPENDENCYPART_ARC
(15,12),1.10585 # DEPENDENCYPART_ARC
(15,13),0.959581 # DEPENDENCYPART_ARC
(15,14),2.55042 # DEPENDENCYPART_ARC
(15,16),1.67336 # DEPENDENCYPART_ARC
(15,17),-1.15599 # DEPENDENCYPART_ARC
(15,18),-0.584807 # DEPENDENCYPART_ARC
(15,19),0.317941 # DEPENDENCYPART_ARC
(15,20),-0.839598 # DEPENDENCYPART_ARC
(15,21),0.0100489 # DEPENDENCYPART_ARC
(15,22),0.691009 # DEPENDENCYPART_ARC
(15,23),-0.516021 # DEPENDENCYPART_ARC
(16,4),-1.31491 # DEPENDENCYPART_ARC
(16,12),-0.970589 # DEPENDENCYPART_ARC
(16,13),-0.719737 # DEPENDENCYPART_ARC
(16,14),-0.693283 # DEPENDENCYPART_ARC
(16,19),-0.960018 # DEPENDENCYPART_ARC
(16,21),-1.21372 # DEPENDENCYPART_ARC
(16,22),-1.28831 # DEPENDENCYPART_ARC
(16,23),-1.17617 # DEPENDENCYPART_ARC
(17,18),-0.524924 # DEPENDENCYPART_ARC
(17,19),-1.16082 # DEPENDENCYPART_ARC
(17,20),-0.993885 # DEPENDENCYPART_ARC
(18,16),-1.12416 # DEPENDENCYPART_ARC
(18,17),-0.530596 # DEPENDENCYPART_ARC
(19,17),1.35098 # DEPENDENCYPART_ARC
(19,18),2.3408 # DEPENDENCYPART_ARC
(19,21),-1.24515 # DEPENDENCYPART_ARC
(19,22),-1.75891 # DEPENDENCYPART_ARC
(20,3),-1.57611 # DEPENDENCYPART_ARC
(20,9),-2.17755 # DEPENDENCYPART_ARC
(20,10),-2.12295 # DEPENDENCYPART_ARC
(20,12),-1.78764 # DEPENDENCYPART_ARC
(20,13),-0.563726 # DEPENDENCYPART_ARC
(20,14),-1.90425 # DEPENDENCYPART_ARC
(20,17),-0.877186 # DEPENDENCYPART_ARC
(20,18),-0.198933 # DEPENDENCYPART_ARC
(20,19),1.5075 # DEPENDENCYPART_ARC
(21,13),-0.663818 # DEPENDENCYPART_ARC
(21,17),-0.272531 # DEPENDENCYPART_ARC
(21,18),0.410575 # DEPENDENCYPART_ARC
(21,19),0.251806 # DEPENDENCYPART_ARC
(21,20),2.27653 # DEPENDENCYPART_ARC
(21,22),-1.92146 # DEPENDENCYPART_ARC
(22,12),-3.00486 # DEPENDENCYPART_ARC
(22,13),-0.734768 # DEPENDENCYPART_ARC
(22,14),-2.9435 # DEPENDENCYPART_ARC
(22,17),-0.223926 # DEPENDENCYPART_ARC
(22,18),-0.306122 # DEPENDENCYPART_ARC
(22,19),-1.73887 # DEPENDENCYPART_ARC
(22,20),1.03452 # DEPENDENCYPART_ARC
(22,21),0.597494 # DEPENDENCYPART_ARC
(22,23),-1.07716 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0222976 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0492577 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.125338 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0590992 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.114977 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.125337 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0572845 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0399784 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.117241 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0394936 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.108957 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.117241 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0385476 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.114324 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0669087 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.123761 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.114323 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.065088 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.11306 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.221799 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.246496 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.110237 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.120829 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.115339 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.064627 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.12355 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0592807 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.110161 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0946653 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00412915 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00412915 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0946653 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0111285 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0306528 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0546941 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0546941 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.077213 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.218108 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.0298161 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.019069 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0572857 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0437806 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0388973 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0573733 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0437807 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0388973 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.218108 # DEPENDENCYPART_SIBL
(1,11),(1,23),0.0298161 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.040797 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0294025 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0156304 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0340079 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0402618 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0156304 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.018495 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0293996 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0268041 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0552432 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0650536 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0538072 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.065269 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0113129 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0739016 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00795175 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0258241 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0739016 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0114811 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.114561 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.000997707 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00209565 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00343849 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0114883 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00227354 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.011481 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.00814883 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0292871 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0107252 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0269903 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.150551 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0656746 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0332886 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00647924 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0519388 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0123715 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0479754 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00560789 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0246486 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0611717 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0117349 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0117349 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0381712 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0117349 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0274437 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0117349 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00999341 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0272173 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.118822 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0115967 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.115776 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.011464 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0124743 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0588548 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0419082 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0019502 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0241072 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0282976 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0244856 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0576164 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0615242 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0561803 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0617397 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0165152 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0312978 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.034259 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00154037 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0101738 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0171074 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00566491 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0159894 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00565201 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.00164334 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.011735 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0382588 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.011735 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0274437 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.011735 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00999344 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0272173 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.118822 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0115968 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.115776 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.011464 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0124744 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0588548 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0382588 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.011735 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0274437 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.011735 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00999344 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0272173 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.118822 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0115968 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.115776 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.011464 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0124744 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0588548 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0479754 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.150551 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0479754 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0656746 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0332886 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00647924 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0519388 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0123715 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0479754 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0479754 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.00560789 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0275162 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.011735 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.00999301 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0272173 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.118822 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0115968 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.115776 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.011464 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0124744 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.058822 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0150404 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0917328 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.000171949 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.00317652 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0150475 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.00205211 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0150404 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0150404 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.00256563 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.00999344 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0272173 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.118822 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0115968 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.115776 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.011464 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0124744 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0588548 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00730928 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.00952647 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00650008 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00836151 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.00649285 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.00649285 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.000219184 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0493088 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0581202 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0478728 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0583357 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0583357 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.00316429 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0125261 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0178191 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.012505 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.012505 # DEPENDENCYPART_SIBL
(2,18),(2,23),-0.00401815 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.115721 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.00871153 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0097219 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.0548846 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0169109 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0169109 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.00570826 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0115084 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.0588461 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0588514 # DEPENDENCYPART_SIBL
