# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=5,3,5,5,0,5,6,10,11,11,6,11,6,6,17,17,19,19,11,21,19,23,19,5,
(17,8),-1.33647 # DEPENDENCYPART_ARC
(17,9),-1.55314 # DEPENDENCYPART_ARC
(17,11),0.0482964 # DEPENDENCYPART_ARC
(17,12),-2.17084 # DEPENDENCYPART_ARC
(17,13),-1.16063 # DEPENDENCYPART_ARC
(17,14),-0.841442 # DEPENDENCYPART_ARC
(17,15),1.54246 # DEPENDENCYPART_ARC
(17,16),2.43312 # DEPENDENCYPART_ARC
(17,18),-1.50922 # DEPENDENCYPART_ARC
(17,21),-1.82091 # DEPENDENCYPART_ARC
(17,23),-2.36973 # DEPENDENCYPART_ARC
(18,3),-3.54788 # DEPENDENCYPART_ARC
(18,5),-1.31555 # DEPENDENCYPART_ARC
(18,6),-2.24792 # DEPENDENCYPART_ARC
(18,9),-1.49554 # DEPENDENCYPART_ARC
(18,10),-2.03704 # DEPENDENCYPART_ARC
(18,11),-1.43469 # DEPENDENCYPART_ARC
(18,12),-1.75105 # DEPENDENCYPART_ARC
(18,13),-1.05148 # DEPENDENCYPART_ARC
(18,14),-0.890661 # DEPENDENCYPART_ARC
(18,15),-1.03618 # DEPENDENCYPART_ARC
(18,16),-0.429075 # DEPENDENCYPART_ARC
(18,17),-0.533125 # DEPENDENCYPART_ARC
(18,21),-1.91202 # DEPENDENCYPART_ARC
(18,23),-1.70347 # DEPENDENCYPART_ARC
(18,24),-1.27117 # DEPENDENCYPART_ARC
(19,1),-1.21277 # DEPENDENCYPART_ARC
(19,3),-1.98146 # DEPENDENCYPART_ARC
(19,4),-0.76858 # DEPENDENCYPART_ARC
(19,5),-0.688266 # DEPENDENCYPART_ARC
(19,6),0.0778353 # DEPENDENCYPART_ARC
(19,8),-1.74817 # DEPENDENCYPART_ARC
(19,9),-0.445434 # DEPENDENCYPART_ARC
(19,10),-0.753652 # DEPENDENCYPART_ARC
(19,11),0.19284 # DEPENDENCYPART_ARC
(19,12),-0.0552541 # DEPENDENCYPART_ARC
(19,13),-0.149591 # DEPENDENCYPART_ARC
(19,14),-0.367819 # DEPENDENCYPART_ARC
(19,15),-1.28134 # DEPENDENCYPART_ARC
(19,16),-0.527899 # DEPENDENCYPART_ARC
(19,17),1.24492 # DEPENDENCYPART_ARC
(19,18),2.41125 # DEPENDENCYPART_ARC
(19,20),-1.18576 # DEPENDENCYPART_ARC
(19,21),1.07846 # DEPENDENCYPART_ARC
(19,22),-1.77025 # DEPENDENCYPART_ARC
(19,23),0.434471 # DEPENDENCYPART_ARC
(19,24),-0.338207 # DEPENDENCYPART_ARC
(20,23),-1.47727 # DEPENDENCYPART_ARC
(21,8),-2.56633 # DEPENDENCYPART_ARC
(21,15),-1.32196 # DEPENDENCYPART_ARC
(21,17),-2.13294 # DEPENDENCYPART_ARC
(21,18),-2.84732 # DEPENDENCYPART_ARC
(21,20),1.81632 # DEPENDENCYPART_ARC
(21,22),-1.34794 # DEPENDENCYPART_ARC
(21,23),-2.23355 # DEPENDENCYPART_ARC
(21,24),-1.27559 # DEPENDENCYPART_ARC
(23,20),-0.450762 # DEPENDENCYPART_ARC
(23,21),-2.46978 # DEPENDENCYPART_ARC
(23,22),1.71888 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0210464 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0325448 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.106519 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0382268 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.106519 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0325448 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.106519 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.133754 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.106835 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0521312 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.106075 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.133754 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.106075 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.137259 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0907988 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.130334 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.181747 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.130334 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.115643 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.246276 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.265919 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.246276 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0806018 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.119359 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0806018 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.265529 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.245466 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.130334 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0151052 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0352528 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0225366 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0364148 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.010739 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0201502 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0212516 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.018601 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0151052 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0352528 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0967618 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0182899 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0965703 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0212516 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0206085 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.018601 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0783899 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.155377 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0183903 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00707259 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0662112 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00433165 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0255662 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.00419672 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0488683 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.155377 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0156401 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00773904 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0104068 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0255662 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.00433694 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00419672 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0264443 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0101379 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0297794 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0737494 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0512563 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00268399 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0512448 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0544402 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0238714 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0006752 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0512449 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00164468 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.00268399 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0512521 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0512448 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0262752 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00254241 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0409526 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00597192 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.000512835 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00592912 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.022509 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0388051 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00648255 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00592952 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00547031 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.000512835 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0059373 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.00592912 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0129527 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0226283 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.104895 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.012572 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.104969 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0226087 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00852795 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0580474 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.103569 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0574771 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.012572 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.104887 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.104969 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0112767 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0904209 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.01586 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0904315 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0353498 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00446548 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.125757 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0904314 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.125296 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.01586 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0904253 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0904315 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0414302 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0210816 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0166944 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00349048 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0367395 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0982719 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0163834 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0980805 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0210816 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.018702 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0166944 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0691565 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00428972 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0289554 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.036784 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00811408 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.00429013 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.00710184 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00359255 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.00429791 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.00428972 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.00435133 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.00349222 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0367377 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0982739 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0144076 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0980823 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0210799 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0167262 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0147187 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.0691787 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.155377 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0156401 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.00773904 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0104068 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0255662 # DEPENDENCYPART_SIBL
(1,13),(1,21),-0.00433694 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.00419672 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0264443 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0006752 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0512449 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.00164468 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.00268399 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0512521 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.0512448 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.0262752 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0148555 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.00696129 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0281923 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.0148504 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0148566 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.0163109 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0980798 # DEPENDENCYPART_SIBL
(1,17),(1,19),-0.0236078 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.015842 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0138344 # DEPENDENCYPART_SIBL
(1,17),(1,24),0.0648588 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0263495 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0139126 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.0139188 # DEPENDENCYPART_SIBL
(1,18),(1,24),0.0142634 # DEPENDENCYPART_SIBL
(1,19),(1,21),-0.00429791 # DEPENDENCYPART_SIBL
(1,19),(1,23),-0.00428972 # DEPENDENCYPART_SIBL
(1,19),(1,24),-0.00435133 # DEPENDENCYPART_SIBL
(1,21),(1,23),0.0144788 # DEPENDENCYPART_SIBL
(1,21),(1,24),0.0671832 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.0691787 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0937814 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0168883 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0207712 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0065277 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0212244 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0212244 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0338277 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.025604 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0136369 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0125463 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0136419 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0136419 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0205845 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.426964 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0812954 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.433552 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.433552 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.084248 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0240114 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0547171 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0547171 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.21112 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0761265 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0761265 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.165008 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0555278 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.218089 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.218089 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.257053 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.107184 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.478695 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.369069 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0864281 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.109347 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.371289 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.107812 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.102383 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.062636 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.104581 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.371289 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.170288 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.015488 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.142763 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0510395 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0354176 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0491519 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.052808 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0490893 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0774797 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0397269 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.00285259 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.052808 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0619739 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.435004 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.208016 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0566178 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.141928 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.210695 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.142985 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0839239 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.075193 # DEPENDENCYPART_SIBL
