# _root_ A Gellért_Szálló igazgatója szerint Budapesten és környékén olyan sok panzió épült , hogy azokban hét-nyolcszor annyi férőhely van , mint a Gellértben .
#goldHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,17,17,18,11,18,18,22,14,11,
#predictedHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,18,17,18,11,18,18,22,14,11,
(16,6),-0.92394 # DEPENDENCYPART_ARC
(16,10),-1.64088 # DEPENDENCYPART_ARC
(16,11),-0.125647 # DEPENDENCYPART_ARC
(16,12),-1.03373 # DEPENDENCYPART_ARC
(16,13),-0.672943 # DEPENDENCYPART_ARC
(16,14),-1.08519 # DEPENDENCYPART_ARC
(16,15),0.0940358 # DEPENDENCYPART_ARC
(16,17),-0.746189 # DEPENDENCYPART_ARC
(16,19),-0.653076 # DEPENDENCYPART_ARC
(16,20),-1.04296 # DEPENDENCYPART_ARC
(16,22),-1.2739 # DEPENDENCYPART_ARC
(16,23),-1.25741 # DEPENDENCYPART_ARC
(17,4),-1.98566 # DEPENDENCYPART_ARC
(17,8),-1.54288 # DEPENDENCYPART_ARC
(17,9),-1.22585 # DEPENDENCYPART_ARC
(17,11),-1.22405 # DEPENDENCYPART_ARC
(17,12),-1.35344 # DEPENDENCYPART_ARC
(17,13),-1.17568 # DEPENDENCYPART_ARC
(17,14),-1.56865 # DEPENDENCYPART_ARC
(17,15),-0.245312 # DEPENDENCYPART_ARC
(17,16),1.6908 # DEPENDENCYPART_ARC
(17,22),-2.04222 # DEPENDENCYPART_ARC
(18,2),-1.07086 # DEPENDENCYPART_ARC
(18,3),-1.5029 # DEPENDENCYPART_ARC
(18,4),-0.462876 # DEPENDENCYPART_ARC
(18,5),-0.372498 # DEPENDENCYPART_ARC
(18,6),-0.100015 # DEPENDENCYPART_ARC
(18,7),-0.39732 # DEPENDENCYPART_ARC
(18,8),-1.26887 # DEPENDENCYPART_ARC
(18,9),-1.80526 # DEPENDENCYPART_ARC
(18,10),-0.523208 # DEPENDENCYPART_ARC
(18,11),-1.19131 # DEPENDENCYPART_ARC
(18,12),-0.921711 # DEPENDENCYPART_ARC
(18,13),-0.652777 # DEPENDENCYPART_ARC
(18,14),0.755032 # DEPENDENCYPART_ARC
(18,15),0.553159 # DEPENDENCYPART_ARC
(18,16),1.12259 # DEPENDENCYPART_ARC
(18,17),2.60969 # DEPENDENCYPART_ARC
(18,19),0.367047 # DEPENDENCYPART_ARC
(18,20),1.76046 # DEPENDENCYPART_ARC
(18,21),-1.90833 # DEPENDENCYPART_ARC
(18,22),-0.788732 # DEPENDENCYPART_ARC
(18,23),-0.684147 # DEPENDENCYPART_ARC
(20,2),-1.87292 # DEPENDENCYPART_ARC
(20,3),-1.69969 # DEPENDENCYPART_ARC
(20,4),-1.83093 # DEPENDENCYPART_ARC
(20,5),-2.18872 # DEPENDENCYPART_ARC
(20,6),-1.40603 # DEPENDENCYPART_ARC
(20,7),-1.64287 # DEPENDENCYPART_ARC
(20,8),-1.90238 # DEPENDENCYPART_ARC
(20,10),-1.65533 # DEPENDENCYPART_ARC
(20,11),-3.07682 # DEPENDENCYPART_ARC
(20,12),-1.46526 # DEPENDENCYPART_ARC
(20,13),-0.959046 # DEPENDENCYPART_ARC
(20,14),-1.32716 # DEPENDENCYPART_ARC
(20,16),-0.697307 # DEPENDENCYPART_ARC
(20,17),-0.63875 # DEPENDENCYPART_ARC
(20,18),-2.09104 # DEPENDENCYPART_ARC
(20,19),0.190877 # DEPENDENCYPART_ARC
(20,22),-0.996308 # DEPENDENCYPART_ARC
(20,23),-0.281565 # DEPENDENCYPART_ARC
(21,22),-0.962903 # DEPENDENCYPART_ARC
(22,16),-2.92734 # DEPENDENCYPART_ARC
(22,20),-1.02442 # DEPENDENCYPART_ARC
(22,21),1.38764 # DEPENDENCYPART_ARC
(0,4),(0,6),-0.105323 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.00660278 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00191834 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00104184 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.123947 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.106192 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0150261 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.00146366 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0150269 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.129502 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0901419 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0658985 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.058653 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0674034 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.124189 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.197516 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0491618 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0641414 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0429999 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.139637 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.186626 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0321571 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0436588 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.119032 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.12305 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0323602 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0309131 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0287268 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.112734 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.145181 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0265231 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0812258 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0982347 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0172311 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0122682 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0172328 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0813367 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0960321 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.107559 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.136433 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0184445 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0394506 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0205629 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0868583 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.125564 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.265529 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.100881 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.108683 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0976536 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.249574 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.23804 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0694772 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0704094 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0633153 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.14977 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.193544 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0134626 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0324321 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.115043 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0923463 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0170827 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0806834 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0930575 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.111792 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0878543 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.250513 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0167399 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0265349 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00415602 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00312655 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.139792 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.103561 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0036028 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00343955 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00355383 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0190418 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.111253 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00713204 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0360433 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00709939 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0185935 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00493837 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0390603 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00490572 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0194875 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0680006 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.118621 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0790236 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0434701 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0286918 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0790245 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.012993 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0116349 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0590949 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00357857 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0198471 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.025939 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0365658 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0365883 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0167399 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00852281 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0578864 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.000868245 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0524689 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00479924 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00827905 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00908037 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0105831 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0561625 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.004477 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0522743 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00410952 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00833451 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00913583 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.00913178 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.027525 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0518092 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0531667 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0186771 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0186725 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0434426 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0316415 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0340994 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.058717 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0565892 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0246129 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0153917 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.030968 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0309613 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0148266 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0267993 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0329562 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0458392 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.011715 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0155147 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0110227 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0116838 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0138941 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0191293 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.013389 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0109001 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0403501 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0282673 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.011392 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0130763 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.047854 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0318375 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0131053 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0269677 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0127887 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0303561 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.047854 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0505264 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0114531 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0952526 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0130273 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.017864 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00830484 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.230536 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00933924 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0310985 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.235121 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00139012 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.000560421 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0118875 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0344283 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0346296 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0339525 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0516048 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.000560421 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0115979 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.233831 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.00815188 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0130531 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00249597 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.230177 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0152893 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0275906 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.234763 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0132073 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00624492 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00788473 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0310598 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0311217 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.030584 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0397876 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00624492 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0163622 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.233473 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0240406 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0770198 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.018764 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0384393 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0164465 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0194331 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.000548846 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0223255 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0278609 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0103467 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0153059 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.010021 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0363485 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0223255 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00572805 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0194942 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0167005 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.230423 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0106289 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0297573 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.235009 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0102636 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0043563 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00962771 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0329013 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0332884 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0324255 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0427313 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0043563 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0150876 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.233719 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0140538 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0501501 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0177464 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0446664 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0613855 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0117382 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0877708 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0484251 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0177522 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0463965 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0437756 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0117382 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0521656 # DEPENDENCYPART_SIBL
