# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
(6,19),-2.35126 # DEPENDENCYPART_ARC
(6,20),-0.962942 # DEPENDENCYPART_ARC
(6,21),-0.768667 # DEPENDENCYPART_ARC
(6,22),-0.0197167 # DEPENDENCYPART_ARC
(6,23),-1.10905 # DEPENDENCYPART_ARC
(7,4),-0.701385 # DEPENDENCYPART_ARC
(7,5),-0.523694 # DEPENDENCYPART_ARC
(7,6),-0.198757 # DEPENDENCYPART_ARC
(7,8),-0.740254 # DEPENDENCYPART_ARC
(7,9),-1.08953 # DEPENDENCYPART_ARC
(7,11),-1.52984 # DEPENDENCYPART_ARC
(7,19),-2.40299 # DEPENDENCYPART_ARC
(7,23),-1.80044 # DEPENDENCYPART_ARC
(9,2),-1.29716 # DEPENDENCYPART_ARC
(9,4),-0.730237 # DEPENDENCYPART_ARC
(9,5),-0.776043 # DEPENDENCYPART_ARC
(9,6),-1.81669 # DEPENDENCYPART_ARC
(9,7),-0.105776 # DEPENDENCYPART_ARC
(9,8),0.390838 # DEPENDENCYPART_ARC
(9,10),-0.97324 # DEPENDENCYPART_ARC
(9,11),-1.55543 # DEPENDENCYPART_ARC
(9,13),-1.84343 # DEPENDENCYPART_ARC
(9,14),-0.907267 # DEPENDENCYPART_ARC
(9,15),-1.11178 # DEPENDENCYPART_ARC
(9,16),-1.26283 # DEPENDENCYPART_ARC
(9,19),-2.48198 # DEPENDENCYPART_ARC
(9,21),-1.45368 # DEPENDENCYPART_ARC
(9,22),-1.74745 # DEPENDENCYPART_ARC
(9,23),-0.884429 # DEPENDENCYPART_ARC
(10,9),-0.846532 # DEPENDENCYPART_ARC
(10,11),-1.28882 # DEPENDENCYPART_ARC
(10,13),-1.07745 # DEPENDENCYPART_ARC
(11,1),-1.6005 # DEPENDENCYPART_ARC
(11,2),-2.03755 # DEPENDENCYPART_ARC
(11,3),-1.01182 # DEPENDENCYPART_ARC
(11,4),-4.05355 # DEPENDENCYPART_ARC
(11,5),-1.45477 # DEPENDENCYPART_ARC
(11,6),-1.77603 # DEPENDENCYPART_ARC
(11,8),-0.367171 # DEPENDENCYPART_ARC
(11,9),-0.397203 # DEPENDENCYPART_ARC
(11,10),1.87367 # DEPENDENCYPART_ARC
(11,13),-0.960791 # DEPENDENCYPART_ARC
(11,14),-1.14552 # DEPENDENCYPART_ARC
(11,15),-0.759971 # DEPENDENCYPART_ARC
(11,19),-1.8376 # DEPENDENCYPART_ARC
(11,21),-1.29615 # DEPENDENCYPART_ARC
(11,23),-1.30923 # DEPENDENCYPART_ARC
(13,3),-2.05282 # DEPENDENCYPART_ARC
(13,8),-1.12557 # DEPENDENCYPART_ARC
(13,10),-0.376428 # DEPENDENCYPART_ARC
(13,11),-1.49244 # DEPENDENCYPART_ARC
(13,12),1.54859 # DEPENDENCYPART_ARC
(13,19),-2.17499 # DEPENDENCYPART_ARC
(14,1),-1.74396 # DEPENDENCYPART_ARC
(14,2),-0.722902 # DEPENDENCYPART_ARC
(14,3),-1.81572 # DEPENDENCYPART_ARC
(14,4),-0.0460669 # DEPENDENCYPART_ARC
(14,5),-0.5704 # DEPENDENCYPART_ARC
(14,6),-1.05474 # DEPENDENCYPART_ARC
(14,7),-0.440714 # DEPENDENCYPART_ARC
(14,8),-0.302312 # DEPENDENCYPART_ARC
(14,9),-0.742564 # DEPENDENCYPART_ARC
(14,10),0.828879 # DEPENDENCYPART_ARC
(14,11),1.58579 # DEPENDENCYPART_ARC
(14,12),-0.316605 # DEPENDENCYPART_ARC
(14,13),2.22446 # DEPENDENCYPART_ARC
(14,15),0.191881 # DEPENDENCYPART_ARC
(14,16),1.79302 # DEPENDENCYPART_ARC
(14,17),-1.09303 # DEPENDENCYPART_ARC
(14,18),-0.888801 # DEPENDENCYPART_ARC
(14,19),-1.2298 # DEPENDENCYPART_ARC
(14,20),-1.07107 # DEPENDENCYPART_ARC
(14,21),-0.419351 # DEPENDENCYPART_ARC
(14,22),-0.164294 # DEPENDENCYPART_ARC
(14,23),-1.23812 # DEPENDENCYPART_ARC
(16,2),-1.80008 # DEPENDENCYPART_ARC
(16,4),-1.59039 # DEPENDENCYPART_ARC
(16,5),-1.68131 # DEPENDENCYPART_ARC
(16,6),-3.1557 # DEPENDENCYPART_ARC
(16,8),-1.44867 # DEPENDENCYPART_ARC
(16,9),-0.681797 # DEPENDENCYPART_ARC
(16,10),-1.16461 # DEPENDENCYPART_ARC
(16,11),-1.09397 # DEPENDENCYPART_ARC
(16,13),-0.679825 # DEPENDENCYPART_ARC
(16,14),-1.97887 # DEPENDENCYPART_ARC
(16,15),0.351481 # DEPENDENCYPART_ARC
(16,18),-1.16107 # DEPENDENCYPART_ARC
(16,19),-1.47585 # DEPENDENCYPART_ARC
(16,21),-0.474676 # DEPENDENCYPART_ARC
(16,22),-1.02477 # DEPENDENCYPART_ARC
(16,23),0.00326778 # DEPENDENCYPART_ARC
(18,3),-2.1295 # DEPENDENCYPART_ARC
(18,10),-2.50943 # DEPENDENCYPART_ARC
(18,13),-2.1412 # DEPENDENCYPART_ARC
(18,14),-0.957652 # DEPENDENCYPART_ARC
(18,15),-0.860379 # DEPENDENCYPART_ARC
(18,16),-0.64152 # DEPENDENCYPART_ARC
(18,17),0.114976 # DEPENDENCYPART_ARC
(18,20),-1.55304 # DEPENDENCYPART_ARC
(19,2),-3.06909 # DEPENDENCYPART_ARC
(19,3),-2.04665 # DEPENDENCYPART_ARC
(19,10),-1.80167 # DEPENDENCYPART_ARC
(19,12),-0.606037 # DEPENDENCYPART_ARC
(19,13),-1.73511 # DEPENDENCYPART_ARC
(19,14),-2.03605 # DEPENDENCYPART_ARC
(19,15),-0.701582 # DEPENDENCYPART_ARC
(19,16),-0.542569 # DEPENDENCYPART_ARC
(19,17),1.04427 # DEPENDENCYPART_ARC
(19,18),2.47292 # DEPENDENCYPART_ARC
(20,11),-1.52252 # DEPENDENCYPART_ARC
(20,15),-1.20419 # DEPENDENCYPART_ARC
(20,16),-0.812217 # DEPENDENCYPART_ARC
(20,18),-0.902886 # DEPENDENCYPART_ARC
(20,19),-0.11197 # DEPENDENCYPART_ARC
(21,1),-1.9467 # DEPENDENCYPART_ARC
(21,2),-1.23533 # DEPENDENCYPART_ARC
(21,3),-2.10596 # DEPENDENCYPART_ARC
(21,4),-1.02473 # DEPENDENCYPART_ARC
(21,5),-1.55188 # DEPENDENCYPART_ARC
(21,6),-1.38457 # DEPENDENCYPART_ARC
(21,8),-0.756409 # DEPENDENCYPART_ARC
(21,9),-0.693296 # DEPENDENCYPART_ARC
(21,10),-0.848234 # DEPENDENCYPART_ARC
(21,11),-0.379366 # DEPENDENCYPART_ARC
(21,12),-1.7013 # DEPENDENCYPART_ARC
(21,13),-0.73857 # DEPENDENCYPART_ARC
(21,14),-0.77767 # DEPENDENCYPART_ARC
(21,15),-0.29379 # DEPENDENCYPART_ARC
(21,16),-0.506039 # DEPENDENCYPART_ARC
(21,17),0.116363 # DEPENDENCYPART_ARC
(21,18),-0.629126 # DEPENDENCYPART_ARC
(21,19),0.841543 # DEPENDENCYPART_ARC
(21,20),2.29769 # DEPENDENCYPART_ARC
(21,22),3.13799 # DEPENDENCYPART_ARC
(21,23),-0.276893 # DEPENDENCYPART_ARC
(22,4),-1.64333 # DEPENDENCYPART_ARC
(22,6),-1.83628 # DEPENDENCYPART_ARC
(22,8),-1.30936 # DEPENDENCYPART_ARC
(22,9),-0.965534 # DEPENDENCYPART_ARC
(22,11),-1.2612 # DEPENDENCYPART_ARC
(22,13),-1.20146 # DEPENDENCYPART_ARC
(22,14),-0.904304 # DEPENDENCYPART_ARC
(22,15),-1.11513 # DEPENDENCYPART_ARC
(22,16),-0.62878 # DEPENDENCYPART_ARC
(22,18),-1.47389 # DEPENDENCYPART_ARC
(22,19),-0.341451 # DEPENDENCYPART_ARC
(22,21),0.501521 # DEPENDENCYPART_ARC
(22,23),-0.999612 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0394522 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.066328 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.108648 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0562286 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.136432 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.107523 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.120696 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.107728 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.109173 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0389578 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0814514 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0352915 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0942216 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0805801 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0861637 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0806576 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.081396 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.11225 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0587614 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.11733 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.112223 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.130755 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.111096 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.107078 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.113155 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.265529 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.245467 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.225472 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.245686 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.250761 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.10365 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.116057 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.122361 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.11493 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.110768 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.130334 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.191028 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.13041 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.136888 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.225472 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.245686 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.25076 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.109939 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.115866 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.247281 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0213598 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00955089 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0136701 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0163515 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0218074 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0253802 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0499972 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0505667 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.120826 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.057106 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0577934 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0485599 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0506922 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.208626 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.212496 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.112169 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00936373 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00486467 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0103081 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.00697079 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0682624 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0289541 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0723508 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0415999 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0030468 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0279397 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.108313 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0460017 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.00651562 # DEPENDENCYPART_SIBL
(3,21),(3,23),0.112911 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00637363 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.001523 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0307702 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0305209 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0413366 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0332713 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0374591 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0348479 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.333512 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.212649 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.117792 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.213598 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0307467 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.00356187 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0307461 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0127046 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0198514 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.0217711 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0153338 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0342248 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0158813 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.044769 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0174386 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0369824 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0362759 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0081293 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00523076 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00720309 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.030119 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0369824 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0412194 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.013885 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00365991 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0114665 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0304524 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0211041 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0242462 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00725394 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0197701 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0632744 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.027948 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0582865 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0270935 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0394735 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0363942 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0385344 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00534407 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0582865 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0434828 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0180296 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.029907 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00956067 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00934545 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0710629 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0541376 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0330049 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0304153 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0863532 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0211921 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0366604 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0249538 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0220857 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0240276 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0208479 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0211921 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0235034 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0175129 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0204887 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0346968 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0224398 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.00381009 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.00620257 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0587959 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00658364 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0279596 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00226051 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00808386 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00500456 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.00714475 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0192517 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0279596 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0185107 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.000983206 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00148266 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0118037 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0152503 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0464671 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0229277 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0780013 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0188464 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0346902 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.015956 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0090689 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0150298 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0530914 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0188464 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0195424 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0197143 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0108379 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0266705 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0534306 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0659849 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.00343174 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.057144 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0697752 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0736097 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.072357 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0687844 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0222955 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.057144 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.00755954 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0636991 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0722637 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.00672937 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0161146 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0442026 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.00408291 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.815798 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0763342 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0734884 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0665875 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.18847 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0103991 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.33352 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0608565 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.074988 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.132828 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.19683 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.112687 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0533136 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0147938 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0163062 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0243822 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.103948 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.03687 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0227137 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0821972 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.016181 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0131217 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.107722 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0568409 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.125654 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0212225 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0282368 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0233229 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0483673 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0332057 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0274453 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0198864 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.000163257 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0197938 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0628092 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.00389536 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0287934 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0240202 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0465108 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0325642 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0268649 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0204431 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.000386622 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.020491 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.0635064 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.00314195 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0264125 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0399856 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0247736 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0204764 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0203311 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.00504279 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0228833 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0658988 # DEPENDENCYPART_SIBL
(6,13),(6,23),-0.00615458 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0612808 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0417066 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.00590309 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.00721758 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0271983 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.00687512 # DEPENDENCYPART_SIBL
