# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,7,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(14,2),-5.56091 # DEPENDENCYPART_ARC
(14,3),-1.7359 # DEPENDENCYPART_ARC
(14,4),-3.82776 # DEPENDENCYPART_ARC
(14,8),-1.25124 # DEPENDENCYPART_ARC
(14,9),-3.21968 # DEPENDENCYPART_ARC
(14,10),-0.958913 # DEPENDENCYPART_ARC
(14,11),-1.01154 # DEPENDENCYPART_ARC
(14,12),-1.37826 # DEPENDENCYPART_ARC
(14,13),-0.0269324 # DEPENDENCYPART_ARC
(14,17),-1.73807 # DEPENDENCYPART_ARC
(14,18),-1.35229 # DEPENDENCYPART_ARC
(15,1),-1.89878 # DEPENDENCYPART_ARC
(15,2),-1.75628 # DEPENDENCYPART_ARC
(15,3),-0.97937 # DEPENDENCYPART_ARC
(15,4),-0.959359 # DEPENDENCYPART_ARC
(15,5),-1.97323 # DEPENDENCYPART_ARC
(15,6),-0.2235 # DEPENDENCYPART_ARC
(15,7),-1.29729 # DEPENDENCYPART_ARC
(15,8),-1.58005 # DEPENDENCYPART_ARC
(15,9),0.161025 # DEPENDENCYPART_ARC
(15,10),-0.628081 # DEPENDENCYPART_ARC
(15,11),-0.247834 # DEPENDENCYPART_ARC
(15,12),1.59236 # DEPENDENCYPART_ARC
(15,13),0.722375 # DEPENDENCYPART_ARC
(15,14),2.94653 # DEPENDENCYPART_ARC
(15,16),0.826661 # DEPENDENCYPART_ARC
(15,17),0.0443134 # DEPENDENCYPART_ARC
(15,18),0.615712 # DEPENDENCYPART_ARC
(15,19),-0.103762 # DEPENDENCYPART_ARC
(16,7),-1.35843 # DEPENDENCYPART_ARC
(16,15),-0.325781 # DEPENDENCYPART_ARC
(16,18),-0.987099 # DEPENDENCYPART_ARC
(16,19),-0.865941 # DEPENDENCYPART_ARC
(17,12),-3.38483 # DEPENDENCYPART_ARC
(17,13),-1.07233 # DEPENDENCYPART_ARC
(17,14),-2.82826 # DEPENDENCYPART_ARC
(17,16),-1.0464 # DEPENDENCYPART_ARC
(18,1),-2.41317 # DEPENDENCYPART_ARC
(18,2),-2.0238 # DEPENDENCYPART_ARC
(18,3),-0.950463 # DEPENDENCYPART_ARC
(18,4),-1.95524 # DEPENDENCYPART_ARC
(18,6),-1.60103 # DEPENDENCYPART_ARC
(18,9),-1.20768 # DEPENDENCYPART_ARC
(18,10),-0.756865 # DEPENDENCYPART_ARC
(18,11),-0.50743 # DEPENDENCYPART_ARC
(18,12),-0.59893 # DEPENDENCYPART_ARC
(18,13),-0.0533964 # DEPENDENCYPART_ARC
(18,14),-0.39666 # DEPENDENCYPART_ARC
(18,17),2.52606 # DEPENDENCYPART_ARC
(18,19),-1.30582 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0663871 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0663871 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0175215 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.068244 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.107716 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.127137 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.120902 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.107716 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0198209 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0174903 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0679666 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.126468 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.120009 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0197897 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0174903 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0679666 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.126468 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0197897 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0323984 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.109388 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0908839 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.111199 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.109388 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0321214 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.107518 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.126468 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.120009 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.107518 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0197897 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.222731 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.2208 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.245466 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.106966 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.185644 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.13708 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0490977 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.12355 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0508504 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.106966 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.102917 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00447626 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0593922 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00261934 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0579775 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0480824 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.342866 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.19157 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.342404 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.425497 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0784913 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0593922 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00261934 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0579775 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0480824 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0175232 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00517355 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0741314 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0579775 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.046484 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.210836 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00960738 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00031353 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00589809 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00281757 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00200987 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00281757 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0264671 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.024929 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.342981 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.34252 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.425607 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.116526 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.425607 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0844417 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0787788 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00285701 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.058216 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0292727 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.058216 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0307474 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0485651 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.058216 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0292727 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.058216 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0307474 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0469667 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.022347 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0510458 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0227325 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.211166 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0268342 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00713082 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.096601 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0227325 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.211166 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.154721 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.01512 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.656212 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0106935 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00589809 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00281757 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00194731 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00960738 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00031353 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00031353 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00281757 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.024929 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.641687 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00832719 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00283309 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00765816 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00501231 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00283849 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00337853 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00337853 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00765816 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.041682 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0292471 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0091791 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0278874 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0153358 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0346477 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00844461 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00844461 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0278874 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0238545 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.017597 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00523616 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0170809 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0260634 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.017597 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.017597 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00523616 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.074362 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.058216 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00373101 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0989728 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00212347 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00212347 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.058216 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0469667 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0755509 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.169079 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0764132 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0764132 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0510458 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.211166 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0965235 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00404601 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00404601 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0574082 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0442507 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.342981 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.342981 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.425607 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0787788 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00471394 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.058216 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0485651 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.058216 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0485651 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.211166 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0102095 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00222322 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0025912 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00369311 # DEPENDENCYPART_SIBL
(5,6),(5,12),-6.66032e-05 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00359362 # DEPENDENCYPART_SIBL
(5,6),(5,14),-6.66032e-05 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0102095 # DEPENDENCYPART_SIBL
(5,6),(5,17),-7.08699e-05 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0759161 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0121655 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0299477 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0176253 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0118194 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0517042 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0118194 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00781045 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0118226 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00370213 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.000142423 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00575143 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00185644 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.000908008 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00185644 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0110167 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00185217 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0732015 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0655848 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0218844 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0971637 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0218844 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0533807 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.021887 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.017755 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00859537 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.020107 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.00859537 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0339826 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.00859304 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.029402 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00359364 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.00252389 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0102095 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.00251962 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0775146 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00628582 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0749109 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.00628815 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.00793656 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0102095 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.00251962 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0775146 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0118226 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.00370213 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.0775135 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0102585 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.661074 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0102585 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.202849 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00194731 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00281757 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0264671 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.646549 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0132444 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.195591 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00501231 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00765816 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0292382 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0569251 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0343359 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0153358 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0278874 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0184815 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.195591 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00501231 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00765816 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0292382 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00480087 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.047305 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.00663573 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0574082 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0307469 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0227325 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0383731 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0971227 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0383731 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0864389 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0387129 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0351466 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0277959 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0225635 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0216659 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0199079 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0324871 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0199079 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0285769 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0325991 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0232606 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0171483 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0175912 # DEPENDENCYPART_SIBL
