# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(6,15),-1.18793 # DEPENDENCYPART_ARC
(6,16),-1.93684 # DEPENDENCYPART_ARC
(6,17),-0.807774 # DEPENDENCYPART_ARC
(6,20),-2.22363 # DEPENDENCYPART_ARC
(6,21),-0.696251 # DEPENDENCYPART_ARC
(8,4),-1.09767 # DEPENDENCYPART_ARC
(8,6),-0.92231 # DEPENDENCYPART_ARC
(8,7),1.42423 # DEPENDENCYPART_ARC
(8,13),-2.081 # DEPENDENCYPART_ARC
(9,1),-1.26847 # DEPENDENCYPART_ARC
(9,3),-3.22291 # DEPENDENCYPART_ARC
(9,4),-1.5245 # DEPENDENCYPART_ARC
(9,5),-0.940018 # DEPENDENCYPART_ARC
(9,6),-0.663758 # DEPENDENCYPART_ARC
(9,7),-0.227296 # DEPENDENCYPART_ARC
(9,8),3.0576 # DEPENDENCYPART_ARC
(9,12),-1.22698 # DEPENDENCYPART_ARC
(9,13),-2.00272 # DEPENDENCYPART_ARC
(9,14),-1.2471 # DEPENDENCYPART_ARC
(9,15),-1.57554 # DEPENDENCYPART_ARC
(9,17),-1.77122 # DEPENDENCYPART_ARC
(9,20),-2.7047 # DEPENDENCYPART_ARC
(10,1),-0.124483 # DEPENDENCYPART_ARC
(10,2),-1.58624 # DEPENDENCYPART_ARC
(10,3),-0.957858 # DEPENDENCYPART_ARC
(10,4),-0.57256 # DEPENDENCYPART_ARC
(10,5),-0.328667 # DEPENDENCYPART_ARC
(10,6),-0.58039 # DEPENDENCYPART_ARC
(10,7),-1.03159 # DEPENDENCYPART_ARC
(10,8),1.45746 # DEPENDENCYPART_ARC
(10,9),2.74867 # DEPENDENCYPART_ARC
(10,11),-0.96044 # DEPENDENCYPART_ARC
(10,12),0.391916 # DEPENDENCYPART_ARC
(10,13),2.02731 # DEPENDENCYPART_ARC
(10,14),0.21102 # DEPENDENCYPART_ARC
(10,15),-0.214481 # DEPENDENCYPART_ARC
(10,16),-1.17524 # DEPENDENCYPART_ARC
(10,17),0.295553 # DEPENDENCYPART_ARC
(10,18),-2.16938 # DEPENDENCYPART_ARC
(10,19),-1.69383 # DEPENDENCYPART_ARC
(10,20),-0.713427 # DEPENDENCYPART_ARC
(10,21),-0.921709 # DEPENDENCYPART_ARC
(11,12),-0.768195 # DEPENDENCYPART_ARC
(11,16),-1.33395 # DEPENDENCYPART_ARC
(12,7),-1.78329 # DEPENDENCYPART_ARC
(12,11),1.12968 # DEPENDENCYPART_ARC
(12,13),-1.42369 # DEPENDENCYPART_ARC
(12,20),-2.51639 # DEPENDENCYPART_ARC
(13,1),-2.34006 # DEPENDENCYPART_ARC
(13,4),-3.00955 # DEPENDENCYPART_ARC
(13,5),-1.38146 # DEPENDENCYPART_ARC
(13,6),-1.24153 # DEPENDENCYPART_ARC
(13,7),-2.26349 # DEPENDENCYPART_ARC
(13,8),-0.349938 # DEPENDENCYPART_ARC
(13,9),-1.11784 # DEPENDENCYPART_ARC
(13,10),-2.11122 # DEPENDENCYPART_ARC
(13,11),0.11212 # DEPENDENCYPART_ARC
(13,12),2.82461 # DEPENDENCYPART_ARC
(13,14),-0.869862 # DEPENDENCYPART_ARC
(13,15),-1.78773 # DEPENDENCYPART_ARC
(13,16),-1.70056 # DEPENDENCYPART_ARC
(13,17),-1.80252 # DEPENDENCYPART_ARC
(13,20),-2.87019 # DEPENDENCYPART_ARC
(15,1),-2.53285 # DEPENDENCYPART_ARC
(15,2),-2.38658 # DEPENDENCYPART_ARC
(15,3),-2.75492 # DEPENDENCYPART_ARC
(15,4),-1.03 # DEPENDENCYPART_ARC
(15,5),-1.84097 # DEPENDENCYPART_ARC
(15,6),-0.926376 # DEPENDENCYPART_ARC
(15,8),-2.16299 # DEPENDENCYPART_ARC
(15,9),-2.25122 # DEPENDENCYPART_ARC
(15,10),-0.186608 # DEPENDENCYPART_ARC
(15,11),-1.81509 # DEPENDENCYPART_ARC
(15,12),-1.2508 # DEPENDENCYPART_ARC
(15,13),-1.71013 # DEPENDENCYPART_ARC
(15,14),0.0769154 # DEPENDENCYPART_ARC
(15,16),-0.975897 # DEPENDENCYPART_ARC
(15,17),0.179382 # DEPENDENCYPART_ARC
(15,19),-1.4288 # DEPENDENCYPART_ARC
(15,20),-1.6289 # DEPENDENCYPART_ARC
(15,21),-0.413199 # DEPENDENCYPART_ARC
(16,4),-2.17063 # DEPENDENCYPART_ARC
(16,6),-1.30977 # DEPENDENCYPART_ARC
(16,8),-2.3585 # DEPENDENCYPART_ARC
(16,10),-1.76766 # DEPENDENCYPART_ARC
(16,11),-1.74135 # DEPENDENCYPART_ARC
(16,12),-1.5524 # DEPENDENCYPART_ARC
(16,13),-0.885757 # DEPENDENCYPART_ARC
(16,14),-0.804918 # DEPENDENCYPART_ARC
(16,15),-0.234347 # DEPENDENCYPART_ARC
(16,19),-1.72213 # DEPENDENCYPART_ARC
(16,20),-1.69044 # DEPENDENCYPART_ARC
(16,21),-1.53373 # DEPENDENCYPART_ARC
(17,1),-0.831958 # DEPENDENCYPART_ARC
(17,2),-1.79875 # DEPENDENCYPART_ARC
(17,3),-1.67788 # DEPENDENCYPART_ARC
(17,4),-0.876043 # DEPENDENCYPART_ARC
(17,5),-0.341457 # DEPENDENCYPART_ARC
(17,6),-0.604199 # DEPENDENCYPART_ARC
(17,7),-1.57829 # DEPENDENCYPART_ARC
(17,8),-0.115992 # DEPENDENCYPART_ARC
(17,9),0.206324 # DEPENDENCYPART_ARC
(17,10),-0.369313 # DEPENDENCYPART_ARC
(17,11),-1.35501 # DEPENDENCYPART_ARC
(17,12),0.683632 # DEPENDENCYPART_ARC
(17,13),-0.0342423 # DEPENDENCYPART_ARC
(17,14),0.256258 # DEPENDENCYPART_ARC
(17,15),0.889191 # DEPENDENCYPART_ARC
(17,16),1.38742 # DEPENDENCYPART_ARC
(17,18),-0.93576 # DEPENDENCYPART_ARC
(17,19),-0.148962 # DEPENDENCYPART_ARC
(17,20),1.15776 # DEPENDENCYPART_ARC
(17,21),-0.263236 # DEPENDENCYPART_ARC
(18,16),-1.8818 # DEPENDENCYPART_ARC
(18,19),-0.595694 # DEPENDENCYPART_ARC
(19,15),-1.61616 # DEPENDENCYPART_ARC
(19,16),-1.64523 # DEPENDENCYPART_ARC
(19,18),-0.414633 # DEPENDENCYPART_ARC
(20,7),-3.13047 # DEPENDENCYPART_ARC
(20,8),-1.98474 # DEPENDENCYPART_ARC
(20,11),-2.36487 # DEPENDENCYPART_ARC
(20,12),-1.03566 # DEPENDENCYPART_ARC
(20,13),-4.7393 # DEPENDENCYPART_ARC
(20,14),-1.60442 # DEPENDENCYPART_ARC
(20,15),-0.932818 # DEPENDENCYPART_ARC
(20,16),-0.652524 # DEPENDENCYPART_ARC
(20,17),-2.18557 # DEPENDENCYPART_ARC
(20,18),0.437859 # DEPENDENCYPART_ARC
(20,19),2.35236 # DEPENDENCYPART_ARC
(20,21),-1.48871 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0681865 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.108113 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.138822 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.108166 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.134767 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.103481 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.107518 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.136432 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.107571 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.133571 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.102886 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.265549 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.245591 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.226489 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.241201 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.129444 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.169217 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.138225 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.226472 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.241086 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.154234 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0546629 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0558343 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0901363 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0253989 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0544936 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0558343 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0901363 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0527612 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0546629 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.105933 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0582113 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.103085 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0338945 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00452538 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0581622 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.103085 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0610225 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.00470994 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0485644 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.169056 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0120147 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0762105 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0509259 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.169056 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0552238 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0763798 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.211146 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.332804 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.342476 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.429288 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.00481753 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.482716 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.342969 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0787731 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0352476 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0435723 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00523849 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0347269 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0350782 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.146321 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0559497 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.10093 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.05881 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.00276655 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0454043 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.169079 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0553384 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0764099 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.211172 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.482716 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.342969 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.0787731 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.0741022 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.193257 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0485644 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0211576 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0141171 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.062173 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.381274 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0898977 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0759891 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0642115 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00283907 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0109271 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.00010159 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0416773 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.033461 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0403963 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.055084 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.00448125 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.429299 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.482727 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0787788 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0553415 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.211172 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.193257 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00183836 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0345947 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00151071 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00187945 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0223202 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00461888 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.019657 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00129154 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.015806 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00190486 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00284552 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00151071 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0524657 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.000304195 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0118394 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00390189 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0044236 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0118703 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0185761 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00995626 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0370917 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0327695 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0079615 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00195833 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00124135 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00583558 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00924859 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00998709 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00995626 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.031304 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0267542 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00801117 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0310834 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00840901 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00345675 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00016607 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0032235 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0209759 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00326401 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0183021 # DEPENDENCYPART_SIBL
(4,3),(4,10),5.43454e-05 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0144614 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.000549997 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00149065 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00016607 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0511217 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00228397 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0104935 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00192212 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.00306873 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0132195 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.841627 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0849086 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0960373 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0901693 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.225853 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.138012 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0904488 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0957531 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0105935 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.259722 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0603388 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.31252 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0698904 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0961994 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0783339 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0588807 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00810292 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0114459 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.121773 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0786413 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00984038 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00854923 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0285073 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0543814 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0846079 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.116496 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0828078 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00810292 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.140425 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0550724 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0517471 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00733678 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.102798 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.053335 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0546174 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0337799 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0547743 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00185586 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0108999 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00290342 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0550724 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.00415191 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00918858 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.000997041 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0818841 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00527539 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00486842 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0671225 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00854484 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.035671 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0165887 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0355156 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00353899 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.025364 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00326007 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0782408 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00951655 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.009332 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0561846 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0135182 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0319901 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0123316 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0318346 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.00800257 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0188832 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.02775 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00294984 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00143256 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0678339 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.028973 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00473447 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0184699 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.00555833 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.000986253 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0310883 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0123461 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0136199 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.000127544 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0414179 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0104026 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0231273 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0114476 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0140836 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0177187 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00615956 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0617826 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00989495 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.034155 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0154306 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0339995 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.00483013 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0260141 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0623954 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0122932 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0328703 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0133658 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0327148 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00787333 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0221931 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.259722 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0603388 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.31252 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0698904 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0961994 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0783339 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0473509 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0266216 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.045978 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0118575 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.02996 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0155427 # DEPENDENCYPART_SIBL
