# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
(10,5),0.575556 # DEPENDENCYPART_ARC
(10,6),0.0222921 # DEPENDENCYPART_ARC
(10,7),-0.813225 # DEPENDENCYPART_ARC
(10,8),1.29708 # DEPENDENCYPART_ARC
(10,9),1.78015 # DEPENDENCYPART_ARC
(10,11),-1.18646 # DEPENDENCYPART_ARC
(10,12),0.106113 # DEPENDENCYPART_ARC
(10,13),0.159187 # DEPENDENCYPART_ARC
(10,14),1.71063 # DEPENDENCYPART_ARC
(10,15),-0.229326 # DEPENDENCYPART_ARC
(10,16),-0.596731 # DEPENDENCYPART_ARC
(10,17),-2.27846 # DEPENDENCYPART_ARC
(10,18),-1.78311 # DEPENDENCYPART_ARC
(10,19),-0.482577 # DEPENDENCYPART_ARC
(10,21),-2.23937 # DEPENDENCYPART_ARC
(10,22),-0.824138 # DEPENDENCYPART_ARC
(10,23),-1.09768 # DEPENDENCYPART_ARC
(10,25),-1.9014 # DEPENDENCYPART_ARC
(10,26),-1.9786 # DEPENDENCYPART_ARC
(10,27),-1.43624 # DEPENDENCYPART_ARC
(10,28),-2.24799 # DEPENDENCYPART_ARC
(10,29),-2.4992 # DEPENDENCYPART_ARC
(10,30),-0.798233 # DEPENDENCYPART_ARC
(12,6),-1.76137 # DEPENDENCYPART_ARC
(12,7),-1.49117 # DEPENDENCYPART_ARC
(12,10),-1.57174 # DEPENDENCYPART_ARC
(12,11),1.56875 # DEPENDENCYPART_ARC
(13,3),-1.40936 # DEPENDENCYPART_ARC
(13,5),-1.8473 # DEPENDENCYPART_ARC
(13,6),-2.02192 # DEPENDENCYPART_ARC
(13,8),-0.467448 # DEPENDENCYPART_ARC
(13,9),-0.989749 # DEPENDENCYPART_ARC
(13,10),-2.91746 # DEPENDENCYPART_ARC
(13,11),-0.457352 # DEPENDENCYPART_ARC
(13,12),3.01456 # DEPENDENCYPART_ARC
(13,15),-1.18396 # DEPENDENCYPART_ARC
(14,1),-1.20124 # DEPENDENCYPART_ARC
(14,2),-0.695176 # DEPENDENCYPART_ARC
(14,3),-1.09038 # DEPENDENCYPART_ARC
(14,4),0.650287 # DEPENDENCYPART_ARC
(14,5),-0.1226 # DEPENDENCYPART_ARC
(14,6),-0.999791 # DEPENDENCYPART_ARC
(14,7),-1.1527 # DEPENDENCYPART_ARC
(14,8),-0.113738 # DEPENDENCYPART_ARC
(14,9),-0.0255497 # DEPENDENCYPART_ARC
(14,10),-1.30058 # DEPENDENCYPART_ARC
(14,11),-0.491711 # DEPENDENCYPART_ARC
(14,12),0.870549 # DEPENDENCYPART_ARC
(14,13),3.60892 # DEPENDENCYPART_ARC
(14,15),0.00669199 # DEPENDENCYPART_ARC
(14,16),-0.373745 # DEPENDENCYPART_ARC
(14,17),-1.20179 # DEPENDENCYPART_ARC
(14,18),-1.00596 # DEPENDENCYPART_ARC
(14,19),-0.986246 # DEPENDENCYPART_ARC
(14,20),-1.56901 # DEPENDENCYPART_ARC
(14,21),-1.69922 # DEPENDENCYPART_ARC
(14,22),-1.05847 # DEPENDENCYPART_ARC
(14,23),-0.605143 # DEPENDENCYPART_ARC
(14,25),-2.03576 # DEPENDENCYPART_ARC
(14,26),-1.30185 # DEPENDENCYPART_ARC
(14,27),-1.77566 # DEPENDENCYPART_ARC
(14,28),-1.60839 # DEPENDENCYPART_ARC
(14,29),-3.34503 # DEPENDENCYPART_ARC
(14,30),-1.39845 # DEPENDENCYPART_ARC
(16,2),-2.14154 # DEPENDENCYPART_ARC
(16,3),-2.36506 # DEPENDENCYPART_ARC
(16,4),-2.31338 # DEPENDENCYPART_ARC
(16,5),-1.72965 # DEPENDENCYPART_ARC
(16,6),-2.48651 # DEPENDENCYPART_ARC
(16,8),-2.2917 # DEPENDENCYPART_ARC
(16,9),-0.921436 # DEPENDENCYPART_ARC
(16,10),-0.567359 # DEPENDENCYPART_ARC
(16,11),-1.87014 # DEPENDENCYPART_ARC
(16,12),-1.55532 # DEPENDENCYPART_ARC
(16,13),-1.52302 # DEPENDENCYPART_ARC
(16,14),-0.735735 # DEPENDENCYPART_ARC
(16,15),0.465288 # DEPENDENCYPART_ARC
(16,17),-0.877913 # DEPENDENCYPART_ARC
(16,18),-0.960098 # DEPENDENCYPART_ARC
(16,19),-0.700819 # DEPENDENCYPART_ARC
(16,21),-1.47044 # DEPENDENCYPART_ARC
(16,22),-0.747306 # DEPENDENCYPART_ARC
(16,23),-0.564981 # DEPENDENCYPART_ARC
(16,25),-1.38055 # DEPENDENCYPART_ARC
(16,26),-1.56544 # DEPENDENCYPART_ARC
(16,27),-0.652681 # DEPENDENCYPART_ARC
(16,28),-1.72675 # DEPENDENCYPART_ARC
(16,29),-1.8552 # DEPENDENCYPART_ARC
(16,30),0.0847301 # DEPENDENCYPART_ARC
(18,16),-0.767248 # DEPENDENCYPART_ARC
(18,17),1.79748 # DEPENDENCYPART_ARC
(19,4),-2.42831 # DEPENDENCYPART_ARC
(19,9),-1.48315 # DEPENDENCYPART_ARC
(19,10),-0.975013 # DEPENDENCYPART_ARC
(19,12),-2.16468 # DEPENDENCYPART_ARC
(19,14),-1.75603 # DEPENDENCYPART_ARC
(19,15),-0.866044 # DEPENDENCYPART_ARC
(19,16),-0.393473 # DEPENDENCYPART_ARC
(19,17),-1.39743 # DEPENDENCYPART_ARC
(19,18),-0.409659 # DEPENDENCYPART_ARC
(19,20),-1.093 # DEPENDENCYPART_ARC
(19,21),-0.788488 # DEPENDENCYPART_ARC
(19,22),-1.08107 # DEPENDENCYPART_ARC
(19,23),-0.879608 # DEPENDENCYPART_ARC
(19,25),-1.59507 # DEPENDENCYPART_ARC
(19,26),-1.63128 # DEPENDENCYPART_ARC
(19,27),-0.888841 # DEPENDENCYPART_ARC
(19,28),-1.79376 # DEPENDENCYPART_ARC
(19,29),-1.4437 # DEPENDENCYPART_ARC
(19,30),-1.39836 # DEPENDENCYPART_ARC
(21,17),-0.754114 # DEPENDENCYPART_ARC
(21,18),-2.46271 # DEPENDENCYPART_ARC
(21,19),-0.590855 # DEPENDENCYPART_ARC
(21,20),1.88909 # DEPENDENCYPART_ARC
(22,14),-2.4049 # DEPENDENCYPART_ARC
(22,15),-1.57363 # DEPENDENCYPART_ARC
(22,16),-0.709759 # DEPENDENCYPART_ARC
(22,17),-2.06127 # DEPENDENCYPART_ARC
(22,18),-1.65095 # DEPENDENCYPART_ARC
(22,19),-0.640748 # DEPENDENCYPART_ARC
(22,20),-1.46735 # DEPENDENCYPART_ARC
(22,21),-0.648112 # DEPENDENCYPART_ARC
(22,23),-0.412163 # DEPENDENCYPART_ARC
(22,25),-1.7702 # DEPENDENCYPART_ARC
(22,26),-1.63939 # DEPENDENCYPART_ARC
(22,29),-1.74401 # DEPENDENCYPART_ARC
(22,30),-1.54483 # DEPENDENCYPART_ARC
(23,1),-1.5944 # DEPENDENCYPART_ARC
(23,2),-2.402 # DEPENDENCYPART_ARC
(23,3),-0.91478 # DEPENDENCYPART_ARC
(23,4),-0.779537 # DEPENDENCYPART_ARC
(23,5),-1.13113 # DEPENDENCYPART_ARC
(23,6),-2.19385 # DEPENDENCYPART_ARC
(23,8),-1.38555 # DEPENDENCYPART_ARC
(23,9),-1.28211 # DEPENDENCYPART_ARC
(23,10),-0.45159 # DEPENDENCYPART_ARC
(23,11),-1.67133 # DEPENDENCYPART_ARC
(23,12),-0.523963 # DEPENDENCYPART_ARC
(23,13),-0.923597 # DEPENDENCYPART_ARC
(23,14),0.123124 # DEPENDENCYPART_ARC
(23,15),-0.542443 # DEPENDENCYPART_ARC
(23,16),-0.356856 # DEPENDENCYPART_ARC
(23,17),-1.22258 # DEPENDENCYPART_ARC
(23,18),1.33251 # DEPENDENCYPART_ARC
(23,19),0.22358 # DEPENDENCYPART_ARC
(23,20),-0.882395 # DEPENDENCYPART_ARC
(23,21),2.16027 # DEPENDENCYPART_ARC
(23,22),1.72741 # DEPENDENCYPART_ARC
(23,24),-1.23282 # DEPENDENCYPART_ARC
(23,25),-0.0672407 # DEPENDENCYPART_ARC
(23,26),-0.878338 # DEPENDENCYPART_ARC
(23,27),-0.40796 # DEPENDENCYPART_ARC
(23,28),-1.33266 # DEPENDENCYPART_ARC
(23,29),0.0521449 # DEPENDENCYPART_ARC
(23,30),-1.00571 # DEPENDENCYPART_ARC
(24,26),-0.756056 # DEPENDENCYPART_ARC
(24,28),-1.01319 # DEPENDENCYPART_ARC
(25,24),-0.657157 # DEPENDENCYPART_ARC
(25,28),-1.39505 # DEPENDENCYPART_ARC
(25,29),-1.49941 # DEPENDENCYPART_ARC
(26,14),-1.53863 # DEPENDENCYPART_ARC
(26,18),-1.27581 # DEPENDENCYPART_ARC
(26,20),-1.84675 # DEPENDENCYPART_ARC
(26,21),-0.788011 # DEPENDENCYPART_ARC
(26,22),-0.918635 # DEPENDENCYPART_ARC
(26,23),-0.8167 # DEPENDENCYPART_ARC
(26,24),-0.770209 # DEPENDENCYPART_ARC
(26,25),1.24384 # DEPENDENCYPART_ARC
(26,27),-0.268714 # DEPENDENCYPART_ARC
(26,28),-1.31501 # DEPENDENCYPART_ARC
(26,29),-1.51969 # DEPENDENCYPART_ARC
(26,30),-1.11158 # DEPENDENCYPART_ARC
(28,22),-1.19073 # DEPENDENCYPART_ARC
(28,24),-1.57274 # DEPENDENCYPART_ARC
(28,25),-0.211714 # DEPENDENCYPART_ARC
(28,26),-0.56146 # DEPENDENCYPART_ARC
(28,27),-0.206916 # DEPENDENCYPART_ARC
(29,12),-4.01957 # DEPENDENCYPART_ARC
(29,17),-2.16923 # DEPENDENCYPART_ARC
(29,18),-3.98947 # DEPENDENCYPART_ARC
(29,19),-1.1624 # DEPENDENCYPART_ARC
(29,20),-1.18315 # DEPENDENCYPART_ARC
(29,21),-3.20351 # DEPENDENCYPART_ARC
(29,22),-1.18917 # DEPENDENCYPART_ARC
(29,24),0.434284 # DEPENDENCYPART_ARC
(29,25),-0.782896 # DEPENDENCYPART_ARC
(29,26),0.621557 # DEPENDENCYPART_ARC
(29,27),0.59606 # DEPENDENCYPART_ARC
(29,28),2.42512 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.0582081 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0152673 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0701453 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.102992 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.10506 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.143019 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.107631 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0309871 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0290435 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0984585 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.110988 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.113287 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.131763 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.120218 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.113335 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0338469 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0941733 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.110013 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.109938 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0962904 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.120285 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.109938 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.104736 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.107735 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.110193 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.144518 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.122086 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.110307 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.12866 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.131863 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.146256 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.16887 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.129868 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.240304 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.231948 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.218207 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.240304 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.234541 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.2208 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.245466 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.185202 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.125568 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.121556 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.212209 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.212411 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00183317 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0816352 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0063891 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0316866 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0384379 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00289548 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0169388 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00628922 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0384921 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0712684 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.071533 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0471338 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.120504 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00803576 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0178259 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.127354 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.127354 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0189609 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00897136 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0347441 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00946687 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.127354 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.00803576 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0188952 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.00897136 # DEPENDENCYPART_SIBL
(5,2),(5,29),0.127354 # DEPENDENCYPART_SIBL
(5,2),(5,30),0.0713559 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0713323 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0226304 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0793251 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0026933 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0150038 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.095603 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0956034 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0128088 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00489732 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00131066 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0129265 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0956034 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0026933 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0131666 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.00489732 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.0956033 # DEPENDENCYPART_SIBL
(5,3),(5,30),0.0258013 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0230621 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0804389 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00286776 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0152501 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0967167 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0967171 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0130551 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00634028 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00148512 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0131009 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0967171 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.00286776 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0134129 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.00634028 # DEPENDENCYPART_SIBL
(5,4),(5,29),0.0967171 # DEPENDENCYPART_SIBL
(5,4),(5,30),0.0265799 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00819191 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0150608 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00490574 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00874066 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00874066 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00252841 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0165757 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0416283 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00540598 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00874066 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0150608 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.00285187 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.0165757 # DEPENDENCYPART_SIBL
(5,6),(5,29),0.00874066 # DEPENDENCYPART_SIBL
(5,6),(5,30),0.0413659 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0164127 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0253514 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.000532345 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.000532373 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0259785 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0582164 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0134735 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0236936 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.000532373 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0164127 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.025428 # DEPENDENCYPART_SIBL
(5,8),(5,27),0.0582164 # DEPENDENCYPART_SIBL
(5,8),(5,29),0.000532027 # DEPENDENCYPART_SIBL
(5,8),(5,30),0.016916 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0181103 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0256854 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0256854 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0172104 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00399213 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0287829 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0104568 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0256854 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0116796 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0188354 # DEPENDENCYPART_SIBL
(5,9),(5,27),0.00399213 # DEPENDENCYPART_SIBL
(5,9),(5,29),-0.0256854 # DEPENDENCYPART_SIBL
(5,9),(5,30),-0.0397026 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0186592 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0186592 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00795369 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.101014 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0448396 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0369689 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0186592 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00183538 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.00763023 # DEPENDENCYPART_SIBL
(5,10),(5,27),0.101014 # DEPENDENCYPART_SIBL
(5,10),(5,29),0.0186592 # DEPENDENCYPART_SIBL
(5,10),(5,30),0.0637799 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0054319 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0304687 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0550928 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0162871 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0270844 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0054319 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.01948 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0299181 # DEPENDENCYPART_SIBL
(5,12),(5,27),0.0550928 # DEPENDENCYPART_SIBL
(5,12),(5,29),0.00543156 # DEPENDENCYPART_SIBL
(5,12),(5,30),0.0195049 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0304688 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0550928 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0162871 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.0270844 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0054319 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.01948 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0299182 # DEPENDENCYPART_SIBL
(5,13),(5,27),0.0550928 # DEPENDENCYPART_SIBL
(5,13),(5,29),0.00543156 # DEPENDENCYPART_SIBL
(5,13),(5,30),0.0195061 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.093657 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0429401 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0350693 # DEPENDENCYPART_SIBL
