# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,8,8,9,8,7,8,9,0,9,14,13,14,15,9,9,
(2,6),(2,16),0.0136211 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0433057 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.000638454 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.000638454 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.000638454 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0135436 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0265986 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0265986 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0265986 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.076794 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.000574103 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.000574103 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0136211 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.000574103 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0136211 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0136211 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0462258 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.641687 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00337853 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00334821 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00803881 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00337853 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.041682 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.440921 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00411379 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00412998 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0400961 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00411379 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00425058 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00844461 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00849101 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0279297 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00844461 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0238545 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00463472 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0578313 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00471394 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0485651 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0577329 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00460719 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0484383 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0764114 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.211972 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0485651 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00190322 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.375892 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00574894 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0259515 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.233811 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.000197244 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00815188 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.298983 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0142338 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00894992 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0853312 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00894381 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00506854 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00894992 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00894992 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00894992 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00894992 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0296997 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0324195 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0218518 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0701818 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0218247 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.19584 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0218518 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0218518 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0218518 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0218518 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.198796 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0259515 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.233811 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.000197244 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.00815188 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00738823 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0462344 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0605516 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0462163 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0462163 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0462163 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0462163 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0584892 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0124899 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0460461 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0124811 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0124811 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0124811 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0124811 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0558596 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0605713 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0462421 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0462421 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0462421 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0462421 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.058526 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0850617 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0850617 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0850617 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0850617 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.174245 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0462163 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0462163 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0462163 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0584892 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0462163 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0462163 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0584892 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0462163 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0584892 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0584892 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0462258 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.641687 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.018106 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.794005 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0446881 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00334821 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00803881 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00337853 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00337853 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00337853 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00337853 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.041682 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.440921 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00307406 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.577907 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.000216547 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00412998 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0400961 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00411379 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00411379 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00411379 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00411379 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00425058 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0569251 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.231586 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00378308 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00849101 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0279297 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00844461 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00844461 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00844461 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00844461 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0238545 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.794005 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0446881 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00334821 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00803881 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00337853 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00337853 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00337853 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00337853 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.041682 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0324267 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00799831 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0141309 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00798823 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00798823 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00798823 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00798823 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0197197 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0546818 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0556799 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0547437 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0547437 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0547437 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0547437 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.105644 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0577329 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00460719 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00460719 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00460719 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.00460719 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0484383 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0764114 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0764114 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0764114 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0764114 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.211972 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00471394 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.00471394 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00471394 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0485651 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00471394 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.00471394 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0485651 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.00471394 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0485651 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0485651 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0262714 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.282618 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0763017 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.436415 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0763017 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0196664 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.257015 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0126626 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.367916 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0126626 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0220782 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0480012 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.162839 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0480012 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0205258 # DEPENDENCYPART_SIBL
