# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,23,19,20,21,23,23,12,25,23,12,
(10,22),-1.73263 # DEPENDENCYPART_ARC
(10,23),-0.985539 # DEPENDENCYPART_ARC
(10,24),-2.32276 # DEPENDENCYPART_ARC
(10,25),-3.16277 # DEPENDENCYPART_ARC
(10,26),-1.15687 # DEPENDENCYPART_ARC
(12,2),-2.18477 # DEPENDENCYPART_ARC
(12,3),-2.0068 # DEPENDENCYPART_ARC
(12,5),-1.98553 # DEPENDENCYPART_ARC
(12,7),-1.89772 # DEPENDENCYPART_ARC
(12,8),-1.71582 # DEPENDENCYPART_ARC
(12,10),0.583096 # DEPENDENCYPART_ARC
(12,11),0.386789 # DEPENDENCYPART_ARC
(12,13),-0.874457 # DEPENDENCYPART_ARC
(12,14),-1.47215 # DEPENDENCYPART_ARC
(12,15),-2.08939 # DEPENDENCYPART_ARC
(12,16),-0.608875 # DEPENDENCYPART_ARC
(12,17),-1.10787 # DEPENDENCYPART_ARC
(12,19),-1.91461 # DEPENDENCYPART_ARC
(12,20),-1.84033 # DEPENDENCYPART_ARC
(12,21),-2.0326 # DEPENDENCYPART_ARC
(12,22),-1.80075 # DEPENDENCYPART_ARC
(12,23),-1.09474 # DEPENDENCYPART_ARC
(12,24),-2.06774 # DEPENDENCYPART_ARC
(12,25),-2.21415 # DEPENDENCYPART_ARC
(12,26),-0.00706147 # DEPENDENCYPART_ARC
(13,3),-1.70781 # DEPENDENCYPART_ARC
(13,5),-1.51723 # DEPENDENCYPART_ARC
(13,8),-1.381 # DEPENDENCYPART_ARC
(13,10),-2.48136 # DEPENDENCYPART_ARC
(13,11),-0.890521 # DEPENDENCYPART_ARC
(13,12),0.124054 # DEPENDENCYPART_ARC
(13,14),-1.08454 # DEPENDENCYPART_ARC
(13,16),-0.763504 # DEPENDENCYPART_ARC
(13,17),-0.633651 # DEPENDENCYPART_ARC
(13,21),-1.7602 # DEPENDENCYPART_ARC
(13,23),-1.506 # DEPENDENCYPART_ARC
(13,24),-1.90606 # DEPENDENCYPART_ARC
(13,25),-1.95356 # DEPENDENCYPART_ARC
(13,26),-1.01233 # DEPENDENCYPART_ARC
(14,10),-1.81696 # DEPENDENCYPART_ARC
(14,12),-1.59802 # DEPENDENCYPART_ARC
(14,13),-0.81708 # DEPENDENCYPART_ARC
(14,19),-1.87391 # DEPENDENCYPART_ARC
(14,21),-2.08388 # DEPENDENCYPART_ARC
(14,23),-1.69514 # DEPENDENCYPART_ARC
(14,25),-2.29111 # DEPENDENCYPART_ARC
(14,26),-1.94776 # DEPENDENCYPART_ARC
(15,8),-1.94267 # DEPENDENCYPART_ARC
(15,10),-0.551666 # DEPENDENCYPART_ARC
(15,11),-1.2957 # DEPENDENCYPART_ARC
(15,12),-1.02259 # DEPENDENCYPART_ARC
(15,13),-1.07743 # DEPENDENCYPART_ARC
(15,14),-0.463729 # DEPENDENCYPART_ARC
(15,16),-0.0309182 # DEPENDENCYPART_ARC
(15,17),-0.510956 # DEPENDENCYPART_ARC
(15,19),-0.636613 # DEPENDENCYPART_ARC
(15,20),-0.67758 # DEPENDENCYPART_ARC
(15,21),-0.508103 # DEPENDENCYPART_ARC
(15,22),-0.62795 # DEPENDENCYPART_ARC
(15,23),0.66787 # DEPENDENCYPART_ARC
(15,24),-0.201487 # DEPENDENCYPART_ARC
(15,25),-1.35896 # DEPENDENCYPART_ARC
(15,26),-1.28499 # DEPENDENCYPART_ARC
(16,1),-1.99695 # DEPENDENCYPART_ARC
(16,2),-2.8311 # DEPENDENCYPART_ARC
(16,3),-2.27395 # DEPENDENCYPART_ARC
(16,5),-1.02309 # DEPENDENCYPART_ARC
(16,6),-2.04049 # DEPENDENCYPART_ARC
(16,7),-2.49914 # DEPENDENCYPART_ARC
(16,8),-1.99596 # DEPENDENCYPART_ARC
(16,9),-1.09186 # DEPENDENCYPART_ARC
(16,10),-0.751657 # DEPENDENCYPART_ARC
(16,11),-0.962885 # DEPENDENCYPART_ARC
(16,12),-0.319606 # DEPENDENCYPART_ARC
(16,13),0.387723 # DEPENDENCYPART_ARC
(16,14),1.15345 # DEPENDENCYPART_ARC
(16,15),2.37509 # DEPENDENCYPART_ARC
(16,17),0.565956 # DEPENDENCYPART_ARC
(16,18),-1.54536 # DEPENDENCYPART_ARC
(16,19),-2.10552 # DEPENDENCYPART_ARC
(16,20),-1.22704 # DEPENDENCYPART_ARC
(16,21),-1.55174 # DEPENDENCYPART_ARC
(16,22),-0.907645 # DEPENDENCYPART_ARC
(16,23),-0.0608769 # DEPENDENCYPART_ARC
(16,24),-2.05021 # DEPENDENCYPART_ARC
(16,25),-0.413096 # DEPENDENCYPART_ARC
(16,26),-0.863714 # DEPENDENCYPART_ARC
(18,19),-0.693164 # DEPENDENCYPART_ARC
(18,20),-0.858483 # DEPENDENCYPART_ARC
(19,15),-3.70804 # DEPENDENCYPART_ARC
(19,18),1.30415 # DEPENDENCYPART_ARC
(19,21),-0.818704 # DEPENDENCYPART_ARC
(20,10),-2.07272 # DEPENDENCYPART_ARC
(20,12),-1.12187 # DEPENDENCYPART_ARC
(20,13),-0.859401 # DEPENDENCYPART_ARC
(20,14),-1.28261 # DEPENDENCYPART_ARC
(20,15),-1.26946 # DEPENDENCYPART_ARC
(20,16),-0.41859 # DEPENDENCYPART_ARC
(20,17),-0.55471 # DEPENDENCYPART_ARC
(20,18),-0.573524 # DEPENDENCYPART_ARC
(20,19),1.01409 # DEPENDENCYPART_ARC
(20,22),-1.57717 # DEPENDENCYPART_ARC
(20,25),-2.65431 # DEPENDENCYPART_ARC
(21,1),-2.60101 # DEPENDENCYPART_ARC
(21,2),-2.50814 # DEPENDENCYPART_ARC
(21,6),-2.05799 # DEPENDENCYPART_ARC
(21,7),-1.8371 # DEPENDENCYPART_ARC
(21,10),-1.28334 # DEPENDENCYPART_ARC
(21,11),-1.44965 # DEPENDENCYPART_ARC
(21,12),-0.837867 # DEPENDENCYPART_ARC
(21,13),-0.848139 # DEPENDENCYPART_ARC
(21,14),-1.43082 # DEPENDENCYPART_ARC
(21,15),-2.16053 # DEPENDENCYPART_ARC
(21,16),-0.95403 # DEPENDENCYPART_ARC
(21,17),-0.504692 # DEPENDENCYPART_ARC
(21,18),0.515204 # DEPENDENCYPART_ARC
(21,19),1.42596 # DEPENDENCYPART_ARC
(21,20),2.65236 # DEPENDENCYPART_ARC
(21,25),-1.91191 # DEPENDENCYPART_ARC
(22,3),-1.64926 # DEPENDENCYPART_ARC
(22,5),-1.60551 # DEPENDENCYPART_ARC
(22,17),-1.18532 # DEPENDENCYPART_ARC
(22,20),-0.92206 # DEPENDENCYPART_ARC
(22,21),-0.123557 # DEPENDENCYPART_ARC
(22,24),-1.02658 # DEPENDENCYPART_ARC
(22,25),-1.11768 # DEPENDENCYPART_ARC
(23,2),-2.53038 # DEPENDENCYPART_ARC
(23,3),-1.37562 # DEPENDENCYPART_ARC
(23,5),-0.906948 # DEPENDENCYPART_ARC
(23,7),-2.37593 # DEPENDENCYPART_ARC
(23,8),-1.54429 # DEPENDENCYPART_ARC
(23,10),-1.12156 # DEPENDENCYPART_ARC
(23,11),-0.879959 # DEPENDENCYPART_ARC
(23,12),-0.295819 # DEPENDENCYPART_ARC
(23,13),0.379233 # DEPENDENCYPART_ARC
(23,14),-0.483739 # DEPENDENCYPART_ARC
(23,15),-1.2883 # DEPENDENCYPART_ARC
(23,16),-0.392784 # DEPENDENCYPART_ARC
(23,17),0.170384 # DEPENDENCYPART_ARC
(23,18),-1.5307 # DEPENDENCYPART_ARC
(23,19),0.768538 # DEPENDENCYPART_ARC
(23,20),-0.519373 # DEPENDENCYPART_ARC
(23,21),1.40633 # DEPENDENCYPART_ARC
(23,22),2.26162 # DEPENDENCYPART_ARC
(23,24),0.428599 # DEPENDENCYPART_ARC
(23,25),0.898757 # DEPENDENCYPART_ARC
(23,26),-0.557699 # DEPENDENCYPART_ARC
(24,14),-1.94732 # DEPENDENCYPART_ARC
(24,15),-1.92538 # DEPENDENCYPART_ARC
(24,18),-2.01494 # DEPENDENCYPART_ARC
(24,19),-2.40628 # DEPENDENCYPART_ARC
(24,21),-2.37735 # DEPENDENCYPART_ARC
(24,22),-0.836202 # DEPENDENCYPART_ARC
(24,23),-0.591365 # DEPENDENCYPART_ARC
(25,6),-2.15583 # DEPENDENCYPART_ARC
(25,7),-2.09399 # DEPENDENCYPART_ARC
(25,12),-0.453064 # DEPENDENCYPART_ARC
(25,13),-0.759434 # DEPENDENCYPART_ARC
(25,14),-1.51517 # DEPENDENCYPART_ARC
(25,15),-1.43664 # DEPENDENCYPART_ARC
(25,18),-0.583923 # DEPENDENCYPART_ARC
(25,19),-1.36297 # DEPENDENCYPART_ARC
(25,20),-0.00538067 # DEPENDENCYPART_ARC
(25,21),-1.32512 # DEPENDENCYPART_ARC
(25,22),-0.574068 # DEPENDENCYPART_ARC
(25,23),-1.44377 # DEPENDENCYPART_ARC
(25,24),2.35387 # DEPENDENCYPART_ARC
(25,26),-1.37795 # DEPENDENCYPART_ARC
(0,4),(0,9),0.000105508 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0772325 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.10846 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0864901 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0171635 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0772325 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0772325 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0582372 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.080139 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0618564 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.00202825 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0582372 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0582372 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.237131 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.228935 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.102338 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.246139 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.246139 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.191014 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0574354 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.124481 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.124481 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0445118 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.107475 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.107475 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.110812 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.110812 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.245466 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0310804 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0387916 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0416267 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.204725 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00571552 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00571552 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0271131 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0165824 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0202729 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00411379 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00411379 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0229908 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0329118 # DEPENDENCYPART_SIBL
(3,2),(3,26),-0.00425058 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00471394 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0493834 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.103086 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.0485651 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0493834 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.103086 # DEPENDENCYPART_SIBL
(3,8),(3,26),0.0485651 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.068915 # DEPENDENCYPART_SIBL
(3,9),(3,26),0.0939043 # DEPENDENCYPART_SIBL
(3,11),(3,26),0.0787788 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0224665 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.204725 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.000855746 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.357756 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00909856 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0154947 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00571552 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0271131 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0165824 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0121052 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0121052 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0202729 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00307406 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0961163 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0403761 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00521627 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00411379 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0229908 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0329118 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0400735 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0400735 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.00425058 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.116264 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.019421 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0432314 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00337853 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00441623 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00283849 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00765816 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.00765816 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.041682 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0196682 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.014319 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00776751 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0161765 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0148303 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00617436 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.00617436 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.0267382 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.012907 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0176082 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0194751 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0124631 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0183186 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0183186 # DEPENDENCYPART_SIBL
(5,6),(5,26),0.0357031 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0493662 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0524344 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0894526 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0552423 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0552418 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.105668 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0493834 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.103086 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.058216 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.058216 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0485651 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.068915 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0494348 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0494348 # DEPENDENCYPART_SIBL
(5,9),(5,26),0.0939043 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.425607 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.425607 # DEPENDENCYPART_SIBL
(5,11),(5,26),0.0787788 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0510458 # DEPENDENCYPART_SIBL
(5,16),(5,26),0.211166 # DEPENDENCYPART_SIBL
(5,23),(5,26),0.211166 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.073453 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0385937 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0385937 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.204725 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.000855746 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.357756 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.000855746 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.542227 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.240467 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0271131 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00307406 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0961163 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00307406 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.662675 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.022333 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0229908 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.116264 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.018106 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.317123 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0249678 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00441623 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0104275 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.343642 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.207566 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0161765 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.317123 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0249678 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00441623 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.174307 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0378492 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0282368 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0709627 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0316161 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00341241 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0264349 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.00341241 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0264349 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0327138 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00638792 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0365626 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.00638792 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0365626 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0178496 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00117106 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0178496 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.00117106 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.109283 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.000664418 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.109283 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.244078 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0804592 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.116925 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0284111 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0320467 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0867952 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0320467 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.127998 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0493654 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0320467 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.00328363 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0120528 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.00736493 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0149125 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.00485028 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0112298 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0233201 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0120528 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.036946 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.0139981 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0274463 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0233201 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.0139081 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.00346909 # DEPENDENCYPART_SIBL
(10,1),(10,26),0.015504 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0150119 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0280757 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0150119 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.20149 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0299082 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0150119 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.00966955 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0133631 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0432462 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0231672 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.00889178 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00163063 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00087532 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0133631 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.00583005 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0294498 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0183226 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.00087532 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.0295343 # DEPENDENCYPART_SIBL
(10,2),(10,25),0.00929055 # DEPENDENCYPART_SIBL
(10,2),(10,26),0.0050946 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.00244289 # DEPENDENCYPART_SIBL
