# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,1,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(3,7),-0.169075 # DEPENDENCYPART_ARC
(3,8),-0.980641 # DEPENDENCYPART_ARC
(3,9),-1.47824 # DEPENDENCYPART_ARC
(3,10),-1.39916 # DEPENDENCYPART_ARC
(3,11),-0.330174 # DEPENDENCYPART_ARC
(3,12),-0.402597 # DEPENDENCYPART_ARC
(3,13),-1.34464 # DEPENDENCYPART_ARC
(3,14),-1.58244 # DEPENDENCYPART_ARC
(3,15),-3.02933 # DEPENDENCYPART_ARC
(3,16),-0.838094 # DEPENDENCYPART_ARC
(3,17),-1.72085 # DEPENDENCYPART_ARC
(3,18),-2.05105 # DEPENDENCYPART_ARC
(3,19),-2.71461 # DEPENDENCYPART_ARC
(3,20),-1.75056 # DEPENDENCYPART_ARC
(3,21),-1.10627 # DEPENDENCYPART_ARC
(3,22),0.502756 # DEPENDENCYPART_ARC
(4,1),0.285185 # DEPENDENCYPART_ARC
(4,3),0.112991 # DEPENDENCYPART_ARC
(4,6),0.231078 # DEPENDENCYPART_ARC
(4,7),0.00785703 # DEPENDENCYPART_ARC
(4,9),-0.490473 # DEPENDENCYPART_ARC
(4,10),-0.843617 # DEPENDENCYPART_ARC
(4,11),-0.135364 # DEPENDENCYPART_ARC
(4,12),-0.17755 # DEPENDENCYPART_ARC
(4,15),-1.8143 # DEPENDENCYPART_ARC
(4,16),-0.0421911 # DEPENDENCYPART_ARC
(4,18),-1.45376 # DEPENDENCYPART_ARC
(4,19),-2.01165 # DEPENDENCYPART_ARC
(4,20),-1.26997 # DEPENDENCYPART_ARC
(4,21),-1.18438 # DEPENDENCYPART_ARC
(4,22),0.463549 # DEPENDENCYPART_ARC
(5,2),-0.104727 # DEPENDENCYPART_ARC
(5,14),-1.4321 # DEPENDENCYPART_ARC
(5,17),-1.51126 # DEPENDENCYPART_ARC
(6,1),-0.384846 # DEPENDENCYPART_ARC
(6,2),1.33825 # DEPENDENCYPART_ARC
(6,3),-0.59953 # DEPENDENCYPART_ARC
(6,4),0.69136 # DEPENDENCYPART_ARC
(6,5),3.39591 # DEPENDENCYPART_ARC
(6,7),0.262057 # DEPENDENCYPART_ARC
(6,8),-0.552583 # DEPENDENCYPART_ARC
(6,9),-0.706201 # DEPENDENCYPART_ARC
(6,10),-0.395614 # DEPENDENCYPART_ARC
(6,11),0.232876 # DEPENDENCYPART_ARC
(6,12),0.00949478 # DEPENDENCYPART_ARC
(6,13),-1.00494 # DEPENDENCYPART_ARC
(6,14),-1.15785 # DEPENDENCYPART_ARC
(6,15),-2.21203 # DEPENDENCYPART_ARC
(6,16),-0.471606 # DEPENDENCYPART_ARC
(6,17),-1.31806 # DEPENDENCYPART_ARC
(6,18),-1.59239 # DEPENDENCYPART_ARC
(6,19),-2.15083 # DEPENDENCYPART_ARC
(6,20),-1.42494 # DEPENDENCYPART_ARC
(6,21),-0.657437 # DEPENDENCYPART_ARC
(6,22),0.89884 # DEPENDENCYPART_ARC
(8,7),-0.205042 # DEPENDENCYPART_ARC
(8,9),0.52131 # DEPENDENCYPART_ARC
(8,12),-0.179092 # DEPENDENCYPART_ARC
(8,18),-0.630098 # DEPENDENCYPART_ARC
(9,1),-1.84302 # DEPENDENCYPART_ARC
(9,2),-1.38775 # DEPENDENCYPART_ARC
(9,3),-2.26383 # DEPENDENCYPART_ARC
(9,4),-1.2643 # DEPENDENCYPART_ARC
(9,5),-1.71953 # DEPENDENCYPART_ARC
(9,6),-2.1806 # DEPENDENCYPART_ARC
(9,7),-0.867858 # DEPENDENCYPART_ARC
(9,8),0.846412 # DEPENDENCYPART_ARC
(9,10),-0.478215 # DEPENDENCYPART_ARC
(9,11),-0.894162 # DEPENDENCYPART_ARC
(9,12),-0.642476 # DEPENDENCYPART_ARC
(9,13),-1.83915 # DEPENDENCYPART_ARC
(9,14),-1.85838 # DEPENDENCYPART_ARC
(9,15),-2.71813 # DEPENDENCYPART_ARC
(9,16),-1.37146 # DEPENDENCYPART_ARC
(9,17),-1.93677 # DEPENDENCYPART_ARC
(9,18),-2.03985 # DEPENDENCYPART_ARC
(9,19),-2.42402 # DEPENDENCYPART_ARC
(9,20),-1.86616 # DEPENDENCYPART_ARC
(9,21),-1.54765 # DEPENDENCYPART_ARC
(9,22),-0.413422 # DEPENDENCYPART_ARC
(10,1),-0.781866 # DEPENDENCYPART_ARC
(10,2),0.0919391 # DEPENDENCYPART_ARC
(10,3),-2.05717 # DEPENDENCYPART_ARC
(10,4),-0.136867 # DEPENDENCYPART_ARC
(10,5),0.997546 # DEPENDENCYPART_ARC
(10,6),-1.86049 # DEPENDENCYPART_ARC
(10,7),0.035417 # DEPENDENCYPART_ARC
(10,8),2.7276 # DEPENDENCYPART_ARC
(10,9),3.42899 # DEPENDENCYPART_ARC
(10,11),-0.913745 # DEPENDENCYPART_ARC
(10,12),-0.521538 # DEPENDENCYPART_ARC
(10,13),-1.51713 # DEPENDENCYPART_ARC
(10,14),-1.39458 # DEPENDENCYPART_ARC
(10,15),-1.81708 # DEPENDENCYPART_ARC
(10,16),-0.791001 # DEPENDENCYPART_ARC
(10,17),-1.58925 # DEPENDENCYPART_ARC
(10,18),-1.94408 # DEPENDENCYPART_ARC
(10,19),-1.98587 # DEPENDENCYPART_ARC
(10,20),-1.42164 # DEPENDENCYPART_ARC
(10,21),-1.84427 # DEPENDENCYPART_ARC
(10,22),-0.013142 # DEPENDENCYPART_ARC
(11,1),1.54839 # DEPENDENCYPART_ARC
(11,2),-0.760444 # DEPENDENCYPART_ARC
(11,3),0.346025 # DEPENDENCYPART_ARC
(11,4),1.04478 # DEPENDENCYPART_ARC
(11,5),-0.531468 # DEPENDENCYPART_ARC
(11,6),0.512686 # DEPENDENCYPART_ARC
(11,7),1.16517 # DEPENDENCYPART_ARC
(11,8),0.293928 # DEPENDENCYPART_ARC
(11,9),0.164071 # DEPENDENCYPART_ARC
(11,10),2.75127 # DEPENDENCYPART_ARC
(11,12),1.76252 # DEPENDENCYPART_ARC
(11,13),-0.522821 # DEPENDENCYPART_ARC
(11,14),-0.416904 # DEPENDENCYPART_ARC
(11,15),0.62664 # DEPENDENCYPART_ARC
(11,16),0.192436 # DEPENDENCYPART_ARC
(11,17),-0.795221 # DEPENDENCYPART_ARC
(11,18),-1.35821 # DEPENDENCYPART_ARC
(11,19),-0.54553 # DEPENDENCYPART_ARC
(11,20),0.454495 # DEPENDENCYPART_ARC
(11,21),0.539373 # DEPENDENCYPART_ARC
(11,22),2.18673 # DEPENDENCYPART_ARC
(13,3),-0.893231 # DEPENDENCYPART_ARC
(13,6),-1.16206 # DEPENDENCYPART_ARC
(13,9),-0.940681 # DEPENDENCYPART_ARC
(13,10),-0.995808 # DEPENDENCYPART_ARC
(13,15),-0.389407 # DEPENDENCYPART_ARC
(13,16),-1.00803 # DEPENDENCYPART_ARC
(13,18),-0.906873 # DEPENDENCYPART_ARC
(13,19),-0.716564 # DEPENDENCYPART_ARC
(13,20),-0.843303 # DEPENDENCYPART_ARC
(14,3),-4.37884 # DEPENDENCYPART_ARC
(14,5),-3.07417 # DEPENDENCYPART_ARC
(14,6),-4.16727 # DEPENDENCYPART_ARC
(14,7),-2.55619 # DEPENDENCYPART_ARC
(14,9),-2.84447 # DEPENDENCYPART_ARC
(14,10),-3.73433 # DEPENDENCYPART_ARC
(14,12),-2.02775 # DEPENDENCYPART_ARC
(14,15),-0.946191 # DEPENDENCYPART_ARC
(14,16),-1.13191 # DEPENDENCYPART_ARC
(14,18),-1.02045 # DEPENDENCYPART_ARC
(14,19),-1.8324 # DEPENDENCYPART_ARC
(14,20),-1.43957 # DEPENDENCYPART_ARC
(15,1),-2.18798 # DEPENDENCYPART_ARC
(15,2),-1.59178 # DEPENDENCYPART_ARC
(15,3),-4.5187 # DEPENDENCYPART_ARC
(15,4),-1.82175 # DEPENDENCYPART_ARC
(15,5),-1.51822 # DEPENDENCYPART_ARC
(15,6),-4.38955 # DEPENDENCYPART_ARC
(15,7),-2.36845 # DEPENDENCYPART_ARC
(15,8),-1.06029 # DEPENDENCYPART_ARC
(15,9),-1.70803 # DEPENDENCYPART_ARC
(15,10),-3.8582 # DEPENDENCYPART_ARC
(15,11),-2.21727 # DEPENDENCYPART_ARC
(15,12),-1.13741 # DEPENDENCYPART_ARC
(15,13),0.842284 # DEPENDENCYPART_ARC
(15,14),3.0826 # DEPENDENCYPART_ARC
(15,16),-1.18283 # DEPENDENCYPART_ARC
(15,17),-1.70442 # DEPENDENCYPART_ARC
(15,18),-1.50236 # DEPENDENCYPART_ARC
(15,19),-2.05584 # DEPENDENCYPART_ARC
(15,20),-1.76847 # DEPENDENCYPART_ARC
(15,21),-2.31832 # DEPENDENCYPART_ARC
(15,22),-1.28628 # DEPENDENCYPART_ARC
(16,1),-0.73954 # DEPENDENCYPART_ARC
(16,2),-1.37483 # DEPENDENCYPART_ARC
(16,3),-0.986066 # DEPENDENCYPART_ARC
(16,4),-1.12369 # DEPENDENCYPART_ARC
(16,6),-1.09871 # DEPENDENCYPART_ARC
(16,7),0.15975 # DEPENDENCYPART_ARC
(16,9),-1.34352 # DEPENDENCYPART_ARC
(16,10),-1.21114 # DEPENDENCYPART_ARC
(16,11),-0.413569 # DEPENDENCYPART_ARC
(16,12),0.285723 # DEPENDENCYPART_ARC
(16,13),-0.478822 # DEPENDENCYPART_ARC
(16,14),-0.446513 # DEPENDENCYPART_ARC
(16,15),0.222415 # DEPENDENCYPART_ARC
(16,17),-0.344037 # DEPENDENCYPART_ARC
(16,18),0.00266041 # DEPENDENCYPART_ARC
(16,19),0.266651 # DEPENDENCYPART_ARC
(16,20),-0.0825577 # DEPENDENCYPART_ARC
(16,21),0.135197 # DEPENDENCYPART_ARC
(16,22),0.401966 # DEPENDENCYPART_ARC
(17,3),-3.50401 # DEPENDENCYPART_ARC
(17,5),-2.24282 # DEPENDENCYPART_ARC
(17,6),-3.43601 # DEPENDENCYPART_ARC
(17,7),-1.56286 # DEPENDENCYPART_ARC
(17,9),-1.97307 # DEPENDENCYPART_ARC
(17,10),-3.11061 # DEPENDENCYPART_ARC
(17,12),-1.16261 # DEPENDENCYPART_ARC
(17,15),-2.02138 # DEPENDENCYPART_ARC
(17,16),-0.460296 # DEPENDENCYPART_ARC
(17,18),0.150607 # DEPENDENCYPART_ARC
(17,19),-0.91609 # DEPENDENCYPART_ARC
(17,20),-0.877853 # DEPENDENCYPART_ARC
(18,1),-2.84162 # DEPENDENCYPART_ARC
(18,2),-2.45507 # DEPENDENCYPART_ARC
(18,3),-4.05697 # DEPENDENCYPART_ARC
(18,4),-2.45443 # DEPENDENCYPART_ARC
(18,5),-2.85252 # DEPENDENCYPART_ARC
(18,6),-4.31267 # DEPENDENCYPART_ARC
(18,7),-2.03017 # DEPENDENCYPART_ARC
(18,8),-1.61071 # DEPENDENCYPART_ARC
(18,9),-2.47744 # DEPENDENCYPART_ARC
(18,10),-2.76633 # DEPENDENCYPART_ARC
(18,11),-1.77148 # DEPENDENCYPART_ARC
(18,12),-1.47756 # DEPENDENCYPART_ARC
(18,13),-2.47485 # DEPENDENCYPART_ARC
(18,14),-1.09728 # DEPENDENCYPART_ARC
(18,15),-1.04122 # DEPENDENCYPART_ARC
(18,16),-0.450173 # DEPENDENCYPART_ARC
(18,17),0.807825 # DEPENDENCYPART_ARC
(18,19),-1.1139 # DEPENDENCYPART_ARC
(18,20),-1.5626 # DEPENDENCYPART_ARC
(18,21),-1.09037 # DEPENDENCYPART_ARC
(18,22),-1.2113 # DEPENDENCYPART_ARC
(19,1),-1.72395 # DEPENDENCYPART_ARC
(19,2),-2.18756 # DEPENDENCYPART_ARC
(19,3),-4.22851 # DEPENDENCYPART_ARC
(19,4),-1.27412 # DEPENDENCYPART_ARC
(19,5),-0.898331 # DEPENDENCYPART_ARC
(19,6),-4.56004 # DEPENDENCYPART_ARC
(19,7),-2.27984 # DEPENDENCYPART_ARC
(19,8),-0.378632 # DEPENDENCYPART_ARC
(19,9),-1.08213 # DEPENDENCYPART_ARC
(19,10),-4.12161 # DEPENDENCYPART_ARC
(19,11),-1.60946 # DEPENDENCYPART_ARC
(19,12),-1.05863 # DEPENDENCYPART_ARC
(19,13),-1.29767 # DEPENDENCYPART_ARC
(19,14),0.642055 # DEPENDENCYPART_ARC
(19,15),-1.96957 # DEPENDENCYPART_ARC
(19,16),0.133896 # DEPENDENCYPART_ARC
(19,17),2.95654 # DEPENDENCYPART_ARC
(19,18),3.68979 # DEPENDENCYPART_ARC
(19,20),-0.926101 # DEPENDENCYPART_ARC
(19,21),-1.22486 # DEPENDENCYPART_ARC
(19,22),-0.796367 # DEPENDENCYPART_ARC
(20,1),-0.338109 # DEPENDENCYPART_ARC
(20,2),-1.70415 # DEPENDENCYPART_ARC
(20,3),-1.54953 # DEPENDENCYPART_ARC
(20,4),-0.953195 # DEPENDENCYPART_ARC
(20,6),-1.83711 # DEPENDENCYPART_ARC
(20,7),-0.810306 # DEPENDENCYPART_ARC
(20,9),-1.37148 # DEPENDENCYPART_ARC
(20,10),-1.78777 # DEPENDENCYPART_ARC
(20,11),-1.31113 # DEPENDENCYPART_ARC
(20,12),-0.462406 # DEPENDENCYPART_ARC
(20,13),-0.799944 # DEPENDENCYPART_ARC
(20,14),-1.31651 # DEPENDENCYPART_ARC
(20,15),-1.3016 # DEPENDENCYPART_ARC
(20,16),-0.341869 # DEPENDENCYPART_ARC
(20,17),-0.871656 # DEPENDENCYPART_ARC
(20,18),-0.48622 # DEPENDENCYPART_ARC
(20,19),-0.543811 # DEPENDENCYPART_ARC
(20,21),-0.0850592 # DEPENDENCYPART_ARC
(20,22),-0.42298 # DEPENDENCYPART_ARC
(21,1),0.505553 # DEPENDENCYPART_ARC
(21,2),-0.963303 # DEPENDENCYPART_ARC
(21,3),-1.07617 # DEPENDENCYPART_ARC
(21,4),-0.0461854 # DEPENDENCYPART_ARC
(21,5),-2.22167 # DEPENDENCYPART_ARC
(21,6),-1.05761 # DEPENDENCYPART_ARC
(21,7),0.168313 # DEPENDENCYPART_ARC
(21,8),-0.44882 # DEPENDENCYPART_ARC
(21,9),-1.32767 # DEPENDENCYPART_ARC
(21,10),0.0649757 # DEPENDENCYPART_ARC
(21,11),-0.785936 # DEPENDENCYPART_ARC
(21,12),0.127759 # DEPENDENCYPART_ARC
(21,13),2.02334 # DEPENDENCYPART_ARC
(21,14),-0.350095 # DEPENDENCYPART_ARC
(21,15),2.15341 # DEPENDENCYPART_ARC
(21,16),1.07709 # DEPENDENCYPART_ARC
(21,17),-0.107409 # DEPENDENCYPART_ARC
(21,18),0.106336 # DEPENDENCYPART_ARC
(21,19),2.73499 # DEPENDENCYPART_ARC
(21,20),2.93668 # DEPENDENCYPART_ARC
(21,22),1.6259 # DEPENDENCYPART_ARC
