# _root_ A marseille-i és a párizsi , a Gare_de_l'Esten működő toborzóirodákban manapság sokszor többen jelentkeznek egy-egy nap , mint ahányat egyáltalán felvehetnek .
#goldHeads=2,10,10,5,10,10,8,9,10,14,14,14,14,0,16,14,14,14,21,21,14,14,
#predictedHeads=2,10,10,10,10,10,8,9,10,14,14,14,14,0,14,14,14,14,21,21,14,14,
(3,15),-0.698979 # DEPENDENCYPART_ARC
(3,16),-0.431566 # DEPENDENCYPART_ARC
(3,17),0.28142 # DEPENDENCYPART_ARC
(3,18),-0.161602 # DEPENDENCYPART_ARC
(3,19),-1.29938 # DEPENDENCYPART_ARC
(3,20),-0.573561 # DEPENDENCYPART_ARC
(3,21),-0.644089 # DEPENDENCYPART_ARC
(3,22),2.10722 # DEPENDENCYPART_ARC
(4,1),-0.893908 # DEPENDENCYPART_ARC
(4,2),-0.881936 # DEPENDENCYPART_ARC
(4,3),-0.186438 # DEPENDENCYPART_ARC
(4,5),0.494773 # DEPENDENCYPART_ARC
(4,6),-0.0768315 # DEPENDENCYPART_ARC
(4,7),-0.561487 # DEPENDENCYPART_ARC
(4,8),-0.8182 # DEPENDENCYPART_ARC
(4,9),-0.473539 # DEPENDENCYPART_ARC
(4,10),-1.45728 # DEPENDENCYPART_ARC
(4,11),-0.802758 # DEPENDENCYPART_ARC
(4,12),-0.769046 # DEPENDENCYPART_ARC
(4,13),-0.747832 # DEPENDENCYPART_ARC
(4,14),-1.23074 # DEPENDENCYPART_ARC
(4,15),-0.770196 # DEPENDENCYPART_ARC
(4,16),-0.958386 # DEPENDENCYPART_ARC
(4,17),-0.612797 # DEPENDENCYPART_ARC
(4,18),-1.10707 # DEPENDENCYPART_ARC
(4,19),-1.22936 # DEPENDENCYPART_ARC
(4,20),-0.990329 # DEPENDENCYPART_ARC
(4,21),-1.47717 # DEPENDENCYPART_ARC
(4,22),-1.49645 # DEPENDENCYPART_ARC
(5,1),-0.484086 # DEPENDENCYPART_ARC
(5,2),-0.486989 # DEPENDENCYPART_ARC
(5,3),0.120748 # DEPENDENCYPART_ARC
(5,4),1.21682 # DEPENDENCYPART_ARC
(5,6),0.57076 # DEPENDENCYPART_ARC
(5,7),-0.562259 # DEPENDENCYPART_ARC
(5,8),-0.653247 # DEPENDENCYPART_ARC
(5,9),-0.514914 # DEPENDENCYPART_ARC
(5,10),-0.655491 # DEPENDENCYPART_ARC
(5,11),-0.388924 # DEPENDENCYPART_ARC
(5,12),-0.245756 # DEPENDENCYPART_ARC
(5,13),-0.227338 # DEPENDENCYPART_ARC
(5,14),-0.348908 # DEPENDENCYPART_ARC
(5,15),-0.346074 # DEPENDENCYPART_ARC
(5,16),-0.543141 # DEPENDENCYPART_ARC
(5,17),-0.276828 # DEPENDENCYPART_ARC
(5,18),-0.68829 # DEPENDENCYPART_ARC
(5,19),-1.3738 # DEPENDENCYPART_ARC
(5,20),-0.657212 # DEPENDENCYPART_ARC
(5,21),-0.661504 # DEPENDENCYPART_ARC
(5,22),1.1123 # DEPENDENCYPART_ARC
(6,1),-1.46881 # DEPENDENCYPART_ARC
(6,2),-1.73068 # DEPENDENCYPART_ARC
(6,3),-1.05453 # DEPENDENCYPART_ARC
(6,4),-0.790173 # DEPENDENCYPART_ARC
(6,5),-0.691367 # DEPENDENCYPART_ARC
(6,7),-0.834499 # DEPENDENCYPART_ARC
(6,8),-1.30621 # DEPENDENCYPART_ARC
(6,9),-1.1536 # DEPENDENCYPART_ARC
(6,10),-1.79691 # DEPENDENCYPART_ARC
(6,11),-1.27105 # DEPENDENCYPART_ARC
(6,12),-1.22443 # DEPENDENCYPART_ARC
(6,13),-1.26534 # DEPENDENCYPART_ARC
(6,14),-1.39427 # DEPENDENCYPART_ARC
(6,15),-1.3546 # DEPENDENCYPART_ARC
(6,16),-1.32935 # DEPENDENCYPART_ARC
(6,17),-1.08087 # DEPENDENCYPART_ARC
(6,18),-1.18331 # DEPENDENCYPART_ARC
(6,19),-1.66188 # DEPENDENCYPART_ARC
(6,20),-1.42664 # DEPENDENCYPART_ARC
(6,21),-1.60814 # DEPENDENCYPART_ARC
(6,22),-1.17131 # DEPENDENCYPART_ARC
(7,1),-1.04575 # DEPENDENCYPART_ARC
(7,2),-1.23501 # DEPENDENCYPART_ARC
(7,3),-0.903978 # DEPENDENCYPART_ARC
(7,4),-0.748568 # DEPENDENCYPART_ARC
(7,5),-0.743126 # DEPENDENCYPART_ARC
(7,6),-0.232183 # DEPENDENCYPART_ARC
(7,8),0.00411844 # DEPENDENCYPART_ARC
(7,9),0.04888 # DEPENDENCYPART_ARC
(7,10),-0.902146 # DEPENDENCYPART_ARC
(7,11),-0.619954 # DEPENDENCYPART_ARC
(7,12),-0.448814 # DEPENDENCYPART_ARC
(7,13),-0.491549 # DEPENDENCYPART_ARC
(7,14),-1.06681 # DEPENDENCYPART_ARC
(7,15),-0.52551 # DEPENDENCYPART_ARC
(7,16),-0.814727 # DEPENDENCYPART_ARC
(7,17),-0.349491 # DEPENDENCYPART_ARC
(7,18),-0.885423 # DEPENDENCYPART_ARC
(7,19),-1.13372 # DEPENDENCYPART_ARC
(7,20),-0.941228 # DEPENDENCYPART_ARC
(7,21),-1.39666 # DEPENDENCYPART_ARC
(7,22),-1.2204 # DEPENDENCYPART_ARC
(8,1),-1.34587 # DEPENDENCYPART_ARC
(8,2),-2.33144 # DEPENDENCYPART_ARC
(8,3),-0.429587 # DEPENDENCYPART_ARC
(8,4),0.0476894 # DEPENDENCYPART_ARC
(8,5),-1.57545 # DEPENDENCYPART_ARC
(8,6),-0.454553 # DEPENDENCYPART_ARC
(8,7),2.85944 # DEPENDENCYPART_ARC
(8,9),-0.317048 # DEPENDENCYPART_ARC
(8,10),-0.630866 # DEPENDENCYPART_ARC
(8,11),-0.762411 # DEPENDENCYPART_ARC
(8,12),-0.692586 # DEPENDENCYPART_ARC
(8,13),-0.832067 # DEPENDENCYPART_ARC
(8,14),-0.478697 # DEPENDENCYPART_ARC
(8,15),-0.608493 # DEPENDENCYPART_ARC
(8,16),-0.795914 # DEPENDENCYPART_ARC
(8,17),-0.374095 # DEPENDENCYPART_ARC
(8,18),-0.803061 # DEPENDENCYPART_ARC
(8,19),-1.72733 # DEPENDENCYPART_ARC
(8,20),-0.931133 # DEPENDENCYPART_ARC
(8,21),-0.997782 # DEPENDENCYPART_ARC
(8,22),0.36056 # DEPENDENCYPART_ARC
(9,1),-0.464714 # DEPENDENCYPART_ARC
(9,2),-0.573185 # DEPENDENCYPART_ARC
(9,3),0.332201 # DEPENDENCYPART_ARC
(9,4),0.0729059 # DEPENDENCYPART_ARC
(9,5),-0.162288 # DEPENDENCYPART_ARC
(9,6),0.502713 # DEPENDENCYPART_ARC
(9,7),1.18287 # DEPENDENCYPART_ARC
(9,8),2.50564 # DEPENDENCYPART_ARC
(9,10),-0.557568 # DEPENDENCYPART_ARC
(9,11),-0.794678 # DEPENDENCYPART_ARC
(9,12),-0.670937 # DEPENDENCYPART_ARC
(9,13),-0.693736 # DEPENDENCYPART_ARC
(9,14),-0.941727 # DEPENDENCYPART_ARC
(9,15),-0.89782 # DEPENDENCYPART_ARC
(9,16),-1.07709 # DEPENDENCYPART_ARC
(9,17),-0.747053 # DEPENDENCYPART_ARC
(9,18),-1.0364 # DEPENDENCYPART_ARC
(9,19),-1.8515 # DEPENDENCYPART_ARC
(9,20),-1.19455 # DEPENDENCYPART_ARC
(9,21),-1.40145 # DEPENDENCYPART_ARC
(9,22),0.145308 # DEPENDENCYPART_ARC
(10,1),0.394662 # DEPENDENCYPART_ARC
(10,2),0.283831 # DEPENDENCYPART_ARC
(10,3),0.954288 # DEPENDENCYPART_ARC
(10,4),1.37366 # DEPENDENCYPART_ARC
(10,5),1.15437 # DEPENDENCYPART_ARC
(10,6),1.30041 # DEPENDENCYPART_ARC
(10,7),2.36369 # DEPENDENCYPART_ARC
(10,8),1.86305 # DEPENDENCYPART_ARC
(10,9),3.97085 # DEPENDENCYPART_ARC
(10,11),-0.265586 # DEPENDENCYPART_ARC
(10,12),-0.311818 # DEPENDENCYPART_ARC
(10,13),-0.357184 # DEPENDENCYPART_ARC
(10,14),-0.781866 # DEPENDENCYPART_ARC
(10,15),-0.533864 # DEPENDENCYPART_ARC
(10,16),-0.282124 # DEPENDENCYPART_ARC
(10,17),-0.0178797 # DEPENDENCYPART_ARC
(10,18),-0.191955 # DEPENDENCYPART_ARC
(10,19),-1.37818 # DEPENDENCYPART_ARC
(10,20),-0.431163 # DEPENDENCYPART_ARC
(10,21),-1.29201 # DEPENDENCYPART_ARC
(10,22),0.793142 # DEPENDENCYPART_ARC
(11,1),-0.81286 # DEPENDENCYPART_ARC
(11,2),-0.208626 # DEPENDENCYPART_ARC
(11,3),0.0843016 # DEPENDENCYPART_ARC
(11,4),-0.649059 # DEPENDENCYPART_ARC
(11,5),-0.227115 # DEPENDENCYPART_ARC
(11,6),-0.0661754 # DEPENDENCYPART_ARC
(11,7),-0.269513 # DEPENDENCYPART_ARC
(11,8),0.606947 # DEPENDENCYPART_ARC
(11,9),0.194176 # DEPENDENCYPART_ARC
(11,10),0.491761 # DEPENDENCYPART_ARC
(11,12),0.121663 # DEPENDENCYPART_ARC
(11,13),0.104524 # DEPENDENCYPART_ARC
(11,14),0.197044 # DEPENDENCYPART_ARC
(11,15),-0.0642435 # DEPENDENCYPART_ARC
(11,16),-0.18824 # DEPENDENCYPART_ARC
(11,17),0.218756 # DEPENDENCYPART_ARC
(11,18),-0.155661 # DEPENDENCYPART_ARC
(11,19),-0.44349 # DEPENDENCYPART_ARC
(11,20),-0.344238 # DEPENDENCYPART_ARC
(11,21),-0.446188 # DEPENDENCYPART_ARC
(11,22),0.592487 # DEPENDENCYPART_ARC
(12,1),-0.149633 # DEPENDENCYPART_ARC
(12,2),-0.869035 # DEPENDENCYPART_ARC
(12,3),-0.625917 # DEPENDENCYPART_ARC
(12,4),-0.024747 # DEPENDENCYPART_ARC
(12,5),-0.768337 # DEPENDENCYPART_ARC
(12,6),-0.856294 # DEPENDENCYPART_ARC
(12,7),0.0826477 # DEPENDENCYPART_ARC
(12,8),-0.518462 # DEPENDENCYPART_ARC
(12,9),-0.223197 # DEPENDENCYPART_ARC
(12,10),-0.485656 # DEPENDENCYPART_ARC
(12,11),0.514989 # DEPENDENCYPART_ARC
(12,13),-0.196821 # DEPENDENCYPART_ARC
(12,14),0.461321 # DEPENDENCYPART_ARC
(12,15),-0.469409 # DEPENDENCYPART_ARC
(12,16),-0.591443 # DEPENDENCYPART_ARC
(12,17),0.267829 # DEPENDENCYPART_ARC
(12,18),-0.235792 # DEPENDENCYPART_ARC
(12,19),-1.14666 # DEPENDENCYPART_ARC
(12,20),-0.736561 # DEPENDENCYPART_ARC
(12,21),-0.219138 # DEPENDENCYPART_ARC
(12,22),0.649154 # DEPENDENCYPART_ARC
(13,1),0.107809 # DEPENDENCYPART_ARC
(13,2),-0.75327 # DEPENDENCYPART_ARC
(13,3),-0.44743 # DEPENDENCYPART_ARC
(13,4),0.203398 # DEPENDENCYPART_ARC
(13,5),-0.633247 # DEPENDENCYPART_ARC
(13,6),-0.61063 # DEPENDENCYPART_ARC
(13,7),0.348157 # DEPENDENCYPART_ARC
(13,8),-0.447614 # DEPENDENCYPART_ARC
(13,9),-0.25726 # DEPENDENCYPART_ARC
(13,10),-0.644956 # DEPENDENCYPART_ARC
(13,11),0.452028 # DEPENDENCYPART_ARC
(13,12),1.25953 # DEPENDENCYPART_ARC
(13,14),-0.182625 # DEPENDENCYPART_ARC
(13,15),-0.897178 # DEPENDENCYPART_ARC
(13,16),-1.01452 # DEPENDENCYPART_ARC
(13,17),-0.336689 # DEPENDENCYPART_ARC
(13,18),-0.906124 # DEPENDENCYPART_ARC
(13,19),-1.71056 # DEPENDENCYPART_ARC
(13,20),-1.20828 # DEPENDENCYPART_ARC
(13,21),-1.00181 # DEPENDENCYPART_ARC
(13,22),0.0201603 # DEPENDENCYPART_ARC
(14,1),-0.346477 # DEPENDENCYPART_ARC
(14,2),-0.836858 # DEPENDENCYPART_ARC
(14,3),0.594689 # DEPENDENCYPART_ARC
(14,4),-0.501793 # DEPENDENCYPART_ARC
(14,5),-0.853204 # DEPENDENCYPART_ARC
(14,6),0.606629 # DEPENDENCYPART_ARC
(14,7),-0.531936 # DEPENDENCYPART_ARC
(14,8),0.516496 # DEPENDENCYPART_ARC
(14,9),-0.190723 # DEPENDENCYPART_ARC
(14,10),2.84677 # DEPENDENCYPART_ARC
(14,11),1.77144 # DEPENDENCYPART_ARC
(14,12),1.53243 # DEPENDENCYPART_ARC
(14,13),3.17657 # DEPENDENCYPART_ARC
(14,15),1.08459 # DEPENDENCYPART_ARC
(14,16),2.28234 # DEPENDENCYPART_ARC
(14,17),2.03778 # DEPENDENCYPART_ARC
(14,18),2.4068 # DEPENDENCYPART_ARC
(14,19),0.0390617 # DEPENDENCYPART_ARC
(14,20),0.736582 # DEPENDENCYPART_ARC
(14,21),0.796305 # DEPENDENCYPART_ARC
(14,22),2.4636 # DEPENDENCYPART_ARC
(15,1),-0.946403 # DEPENDENCYPART_ARC
(15,2),-1.82686 # DEPENDENCYPART_ARC
(15,3),-1.4133 # DEPENDENCYPART_ARC
(15,4),-0.874904 # DEPENDENCYPART_ARC
(15,5),-1.75488 # DEPENDENCYPART_ARC
(15,6),-1.05906 # DEPENDENCYPART_ARC
(15,7),-0.779136 # DEPENDENCYPART_ARC
(15,8),-0.951275 # DEPENDENCYPART_ARC
(15,9),-1.52406 # DEPENDENCYPART_ARC
(15,10),-1.24989 # DEPENDENCYPART_ARC
(15,11),-0.509587 # DEPENDENCYPART_ARC
(15,12),-0.584803 # DEPENDENCYPART_ARC
(15,13),-0.606177 # DEPENDENCYPART_ARC
(15,14),-0.0405333 # DEPENDENCYPART_ARC
(15,16),-0.33112 # DEPENDENCYPART_ARC
(15,17),-0.0466316 # DEPENDENCYPART_ARC
(15,18),-0.42201 # DEPENDENCYPART_ARC
(15,19),-1.41564 # DEPENDENCYPART_ARC
(15,20),-0.872077 # DEPENDENCYPART_ARC
(15,21),-0.213127 # DEPENDENCYPART_ARC
(15,22),0.152773 # DEPENDENCYPART_ARC
(16,1),-1.57915 # DEPENDENCYPART_ARC
(16,2),-0.586337 # DEPENDENCYPART_ARC
(16,3),-0.500821 # DEPENDENCYPART_ARC
(16,4),-1.39649 # DEPENDENCYPART_ARC
(16,5),-0.684375 # DEPENDENCYPART_ARC
(16,6),-0.916719 # DEPENDENCYPART_ARC
(16,7),-1.11702 # DEPENDENCYPART_ARC
(16,8),-0.171627 # DEPENDENCYPART_ARC
(16,9),-0.477202 # DEPENDENCYPART_ARC
(16,10),-0.272663 # DEPENDENCYPART_ARC
(16,11),0.0267056 # DEPENDENCYPART_ARC
(16,12),-0.438697 # DEPENDENCYPART_ARC
(16,13),-0.290787 # DEPENDENCYPART_ARC
(16,14),-0.22514 # DEPENDENCYPART_ARC
(16,15),0.7186 # DEPENDENCYPART_ARC
(16,17),-0.0607493 # DEPENDENCYPART_ARC
(16,18),-0.0863404 # DEPENDENCYPART_ARC
(16,19),-0.486769 # DEPENDENCYPART_ARC
(16,20),-0.370816 # DEPENDENCYPART_ARC
(16,21),0.0654209 # DEPENDENCYPART_ARC
(16,22),0.347689 # DEPENDENCYPART_ARC
(17,1),-2.45425 # DEPENDENCYPART_ARC
(17,2),-2.87422 # DEPENDENCYPART_ARC
(17,3),-2.30382 # DEPENDENCYPART_ARC
(17,4),-2.32023 # DEPENDENCYPART_ARC
(17,5),-2.79271 # DEPENDENCYPART_ARC
(17,6),-2.179 # DEPENDENCYPART_ARC
(17,7),-2.28404 # DEPENDENCYPART_ARC
(17,8),-3.13659 # DEPENDENCYPART_ARC
(17,9),-2.64122 # DEPENDENCYPART_ARC
(17,10),-3.05981 # DEPENDENCYPART_ARC
(17,11),-2.23109 # DEPENDENCYPART_ARC
(17,12),-2.30993 # DEPENDENCYPART_ARC
(17,13),-2.16062 # DEPENDENCYPART_ARC
(17,14),-1.80402 # DEPENDENCYPART_ARC
(17,15),-1.4772 # DEPENDENCYPART_ARC
(17,16),-0.780069 # DEPENDENCYPART_ARC
(17,18),-1.05927 # DEPENDENCYPART_ARC
(17,19),-1.39547 # DEPENDENCYPART_ARC
(17,20),-1.45632 # DEPENDENCYPART_ARC
(17,21),-1.46679 # DEPENDENCYPART_ARC
(17,22),-1.44664 # DEPENDENCYPART_ARC
(18,1),-1.56249 # DEPENDENCYPART_ARC
(18,2),-0.712541 # DEPENDENCYPART_ARC
(18,3),0.0171254 # DEPENDENCYPART_ARC
(18,4),-1.43703 # DEPENDENCYPART_ARC
(18,5),-0.54522 # DEPENDENCYPART_ARC
(18,6),-0.10606 # DEPENDENCYPART_ARC
(18,7),-1.16193 # DEPENDENCYPART_ARC
(18,8),0.142031 # DEPENDENCYPART_ARC
(18,9),-0.270566 # DEPENDENCYPART_ARC
(18,10),-0.0143277 # DEPENDENCYPART_ARC
(18,11),-0.0534633 # DEPENDENCYPART_ARC
(18,12),-0.0441839 # DEPENDENCYPART_ARC
(18,13),0.113201 # DEPENDENCYPART_ARC
(18,14),-0.0735522 # DEPENDENCYPART_ARC
(18,15),0.422827 # DEPENDENCYPART_ARC
(18,16),1.08992 # DEPENDENCYPART_ARC
(18,17),0.989143 # DEPENDENCYPART_ARC
(18,19),-0.956931 # DEPENDENCYPART_ARC
(18,20),-0.175719 # DEPENDENCYPART_ARC
(18,21),0.723003 # DEPENDENCYPART_ARC
(18,22),1.78072 # DEPENDENCYPART_ARC
(19,1),-1.93649 # DEPENDENCYPART_ARC
(19,2),-1.41164 # DEPENDENCYPART_ARC
(19,3),-1.37877 # DEPENDENCYPART_ARC
(19,4),-1.80954 # DEPENDENCYPART_ARC
(19,5),-1.36438 # DEPENDENCYPART_ARC
(19,6),-1.20901 # DEPENDENCYPART_ARC
(19,7),-1.53134 # DEPENDENCYPART_ARC
(19,8),-1.95533 # DEPENDENCYPART_ARC
(19,9),-1.23787 # DEPENDENCYPART_ARC
(19,10),-1.81296 # DEPENDENCYPART_ARC
(19,11),-1.23589 # DEPENDENCYPART_ARC
(19,12),-1.29415 # DEPENDENCYPART_ARC
(19,13),-1.41664 # DEPENDENCYPART_ARC
(19,14),-1.0485 # DEPENDENCYPART_ARC
(19,15),-1.16254 # DEPENDENCYPART_ARC
(19,16),-0.63992 # DEPENDENCYPART_ARC
(19,17),-1.00348 # DEPENDENCYPART_ARC
(19,18),-0.837447 # DEPENDENCYPART_ARC
(19,20),-1.03563 # DEPENDENCYPART_ARC
(19,21),-0.509458 # DEPENDENCYPART_ARC
(19,22),-0.863686 # DEPENDENCYPART_ARC
(20,1),-2.35726 # DEPENDENCYPART_ARC
(20,2),-1.41813 # DEPENDENCYPART_ARC
(20,3),-1.37543 # DEPENDENCYPART_ARC
(20,4),-2.2575 # DEPENDENCYPART_ARC
(20,5),-1.49387 # DEPENDENCYPART_ARC
(20,6),-1.71813 # DEPENDENCYPART_ARC
(20,7),-1.93924 # DEPENDENCYPART_ARC
(20,8),-1.5066 # DEPENDENCYPART_ARC
(20,9),-1.32779 # DEPENDENCYPART_ARC
(20,10),-1.39655 # DEPENDENCYPART_ARC
(20,11),-1.0732 # DEPENDENCYPART_ARC
(20,12),-1.3979 # DEPENDENCYPART_ARC
(20,13),-1.38057 # DEPENDENCYPART_ARC
(20,14),-0.837276 # DEPENDENCYPART_ARC
(20,15),-1.01588 # DEPENDENCYPART_ARC
(20,16),-0.736545 # DEPENDENCYPART_ARC
(20,17),-0.515214 # DEPENDENCYPART_ARC
(20,18),-0.405992 # DEPENDENCYPART_ARC
(20,19),0.172617 # DEPENDENCYPART_ARC
(20,21),-0.0424788 # DEPENDENCYPART_ARC
(20,22),-0.639139 # DEPENDENCYPART_ARC
(21,1),-0.861265 # DEPENDENCYPART_ARC
(21,2),-1.48642 # DEPENDENCYPART_ARC
(21,3),-0.0703743 # DEPENDENCYPART_ARC
(21,4),-0.987428 # DEPENDENCYPART_ARC
(21,5),-1.68489 # DEPENDENCYPART_ARC
(21,6),-0.163338 # DEPENDENCYPART_ARC
(21,7),-1.07538 # DEPENDENCYPART_ARC
(21,8),-0.963394 # DEPENDENCYPART_ARC
(21,9),-1.22694 # DEPENDENCYPART_ARC
(21,10),1.27063 # DEPENDENCYPART_ARC
(21,11),0.361731 # DEPENDENCYPART_ARC
(21,12),-0.191288 # DEPENDENCYPART_ARC
(21,13),0.873716 # DEPENDENCYPART_ARC
(21,14),-0.353569 # DEPENDENCYPART_ARC
(21,15),-0.802961 # DEPENDENCYPART_ARC
(21,16),0.923027 # DEPENDENCYPART_ARC
(21,17),0.768082 # DEPENDENCYPART_ARC
(21,18),0.510267 # DEPENDENCYPART_ARC
(21,19),2.21895 # DEPENDENCYPART_ARC
(21,20),3.23902 # DEPENDENCYPART_ARC
(21,22),1.39992 # DEPENDENCYPART_ARC
(22,1),-3.58418 # DEPENDENCYPART_ARC
(22,2),-3.76136 # DEPENDENCYPART_ARC
(22,3),-3.33768 # DEPENDENCYPART_ARC
(22,4),-3.42777 # DEPENDENCYPART_ARC
(22,5),-3.67834 # DEPENDENCYPART_ARC
(22,6),-3.19222 # DEPENDENCYPART_ARC
(22,7),-3.37841 # DEPENDENCYPART_ARC
(22,8),-4.35618 # DEPENDENCYPART_ARC
(22,9),-3.58681 # DEPENDENCYPART_ARC
(22,10),-4.30649 # DEPENDENCYPART_ARC
(22,11),-3.34059 # DEPENDENCYPART_ARC
(22,12),-3.32117 # DEPENDENCYPART_ARC
(22,13),-3.2925 # DEPENDENCYPART_ARC
(22,14),-3.33216 # DEPENDENCYPART_ARC
(22,15),-3.1515 # DEPENDENCYPART_ARC
(22,16),-3.00066 # DEPENDENCYPART_ARC
(22,17),-2.84598 # DEPENDENCYPART_ARC
(22,18),-2.77617 # DEPENDENCYPART_ARC
(22,19),-2.83079 # DEPENDENCYPART_ARC
(22,20),-2.46597 # DEPENDENCYPART_ARC
(22,21),-1.68031 # DEPENDENCYPART_ARC
