# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,12,12,24,19,16,19,16,19,19,19,20,21,22,23,24,25,6,5,
(1,17),0.128888 # DEPENDENCYPART_ARC
(1,18),-0.58725 # DEPENDENCYPART_ARC
(1,19),-1.60671 # DEPENDENCYPART_ARC
(1,20),-0.659958 # DEPENDENCYPART_ARC
(1,21),-1.45023 # DEPENDENCYPART_ARC
(1,22),-0.707653 # DEPENDENCYPART_ARC
(1,23),-1.13878 # DEPENDENCYPART_ARC
(1,24),-1.205 # DEPENDENCYPART_ARC
(1,25),-1.54833 # DEPENDENCYPART_ARC
(1,26),1.62432 # DEPENDENCYPART_ARC
(2,1),0.743636 # DEPENDENCYPART_ARC
(2,3),0.396079 # DEPENDENCYPART_ARC
(2,4),0.786937 # DEPENDENCYPART_ARC
(2,5),0.456808 # DEPENDENCYPART_ARC
(2,6),0.10229 # DEPENDENCYPART_ARC
(2,7),-0.228975 # DEPENDENCYPART_ARC
(2,8),-0.162928 # DEPENDENCYPART_ARC
(2,9),0.360251 # DEPENDENCYPART_ARC
(2,10),-0.438867 # DEPENDENCYPART_ARC
(2,11),-0.0598163 # DEPENDENCYPART_ARC
(2,12),-0.635185 # DEPENDENCYPART_ARC
(2,13),-0.245736 # DEPENDENCYPART_ARC
(2,14),-1.36951 # DEPENDENCYPART_ARC
(2,15),-0.477859 # DEPENDENCYPART_ARC
(2,16),-1.14957 # DEPENDENCYPART_ARC
(2,17),-0.491764 # DEPENDENCYPART_ARC
(2,18),-0.975995 # DEPENDENCYPART_ARC
(2,19),-1.55938 # DEPENDENCYPART_ARC
(2,20),-1.07953 # DEPENDENCYPART_ARC
(2,21),-1.63253 # DEPENDENCYPART_ARC
(2,22),-1.16022 # DEPENDENCYPART_ARC
(2,23),-1.76564 # DEPENDENCYPART_ARC
(2,24),-1.64226 # DEPENDENCYPART_ARC
(2,25),-1.73938 # DEPENDENCYPART_ARC
(2,26),1.20235 # DEPENDENCYPART_ARC
(3,1),-0.356933 # DEPENDENCYPART_ARC
(3,2),0.563314 # DEPENDENCYPART_ARC
(3,4),-0.198816 # DEPENDENCYPART_ARC
(3,5),0.252014 # DEPENDENCYPART_ARC
(3,6),-0.38194 # DEPENDENCYPART_ARC
(3,7),-0.988649 # DEPENDENCYPART_ARC
(3,8),-1.04715 # DEPENDENCYPART_ARC
(3,9),-0.272238 # DEPENDENCYPART_ARC
(3,10),-1.1523 # DEPENDENCYPART_ARC
(3,11),-0.360975 # DEPENDENCYPART_ARC
(3,12),-1.40817 # DEPENDENCYPART_ARC
(3,13),-0.494311 # DEPENDENCYPART_ARC
(3,14),-1.83832 # DEPENDENCYPART_ARC
(3,15),-0.907527 # DEPENDENCYPART_ARC
(3,16),-1.92899 # DEPENDENCYPART_ARC
(3,17),-1.23228 # DEPENDENCYPART_ARC
(3,18),-1.24566 # DEPENDENCYPART_ARC
(3,19),-2.9422 # DEPENDENCYPART_ARC
(3,20),-1.26419 # DEPENDENCYPART_ARC
(3,21),-2.92941 # DEPENDENCYPART_ARC
(3,22),-1.34806 # DEPENDENCYPART_ARC
(3,23),-2.37564 # DEPENDENCYPART_ARC
(3,24),-2.89048 # DEPENDENCYPART_ARC
(3,25),-3.31799 # DEPENDENCYPART_ARC
(3,26),0.873498 # DEPENDENCYPART_ARC
(4,1),0.320754 # DEPENDENCYPART_ARC
(4,2),1.32997 # DEPENDENCYPART_ARC
(4,3),3.36874 # DEPENDENCYPART_ARC
(4,5),-0.636791 # DEPENDENCYPART_ARC
(4,6),-0.475678 # DEPENDENCYPART_ARC
(4,7),-1.04868 # DEPENDENCYPART_ARC
(4,8),-0.907855 # DEPENDENCYPART_ARC
(4,9),-0.16913 # DEPENDENCYPART_ARC
(4,10),-1.18203 # DEPENDENCYPART_ARC
(4,11),-0.192418 # DEPENDENCYPART_ARC
(4,12),-1.29532 # DEPENDENCYPART_ARC
(4,13),-0.245439 # DEPENDENCYPART_ARC
(4,14),-1.48712 # DEPENDENCYPART_ARC
(4,15),-0.779658 # DEPENDENCYPART_ARC
(4,16),-1.79141 # DEPENDENCYPART_ARC
(4,17),-0.719945 # DEPENDENCYPART_ARC
(4,18),-2.02231 # DEPENDENCYPART_ARC
(4,19),-2.2116 # DEPENDENCYPART_ARC
(4,20),-2.08112 # DEPENDENCYPART_ARC
(4,21),-1.99047 # DEPENDENCYPART_ARC
(4,22),-2.11328 # DEPENDENCYPART_ARC
(4,23),-1.72654 # DEPENDENCYPART_ARC
(4,24),-2.11455 # DEPENDENCYPART_ARC
(4,25),-2.16344 # DEPENDENCYPART_ARC
(4,26),0.10328 # DEPENDENCYPART_ARC
(5,1),1.75222 # DEPENDENCYPART_ARC
(5,2),1.47316 # DEPENDENCYPART_ARC
(5,3),-0.0146539 # DEPENDENCYPART_ARC
(5,4),1.6439 # DEPENDENCYPART_ARC
(5,6),4.10698 # DEPENDENCYPART_ARC
(5,7),-0.15535 # DEPENDENCYPART_ARC
(5,8),1.25758 # DEPENDENCYPART_ARC
(5,9),0.600328 # DEPENDENCYPART_ARC
(5,10),1.03712 # DEPENDENCYPART_ARC
(5,11),0.708904 # DEPENDENCYPART_ARC
(5,12),-0.0171226 # DEPENDENCYPART_ARC
(5,13),0.105607 # DEPENDENCYPART_ARC
(5,14),-1.41598 # DEPENDENCYPART_ARC
(5,15),0.359724 # DEPENDENCYPART_ARC
(5,16),-1.453 # DEPENDENCYPART_ARC
(5,17),-0.881863 # DEPENDENCYPART_ARC
(5,18),-1.10715 # DEPENDENCYPART_ARC
(5,19),-3.19041 # DEPENDENCYPART_ARC
(5,20),-1.01371 # DEPENDENCYPART_ARC
(5,21),-3.2226 # DEPENDENCYPART_ARC
(5,22),-0.991033 # DEPENDENCYPART_ARC
(5,23),-2.5242 # DEPENDENCYPART_ARC
(5,24),-1.53056 # DEPENDENCYPART_ARC
(5,25),-2.02501 # DEPENDENCYPART_ARC
(5,26),1.73806 # DEPENDENCYPART_ARC
(6,1),0.559174 # DEPENDENCYPART_ARC
(6,2),2.08761 # DEPENDENCYPART_ARC
(6,3),0.880967 # DEPENDENCYPART_ARC
(6,4),3.10941 # DEPENDENCYPART_ARC
(6,5),1.71815 # DEPENDENCYPART_ARC
(6,7),-0.0368098 # DEPENDENCYPART_ARC
(6,8),1.72999 # DEPENDENCYPART_ARC
(6,9),-0.0146385 # DEPENDENCYPART_ARC
(6,10),0.889181 # DEPENDENCYPART_ARC
(6,11),0.431563 # DEPENDENCYPART_ARC
(6,12),-0.0658158 # DEPENDENCYPART_ARC
(6,13),0.119513 # DEPENDENCYPART_ARC
(6,14),-1.42565 # DEPENDENCYPART_ARC
(6,15),0.0701918 # DEPENDENCYPART_ARC
(6,16),-1.04234 # DEPENDENCYPART_ARC
(6,17),-0.740065 # DEPENDENCYPART_ARC
(6,18),-0.302172 # DEPENDENCYPART_ARC
(6,19),-1.4726 # DEPENDENCYPART_ARC
(6,20),-0.314603 # DEPENDENCYPART_ARC
(6,21),-1.87675 # DEPENDENCYPART_ARC
(6,22),-0.300522 # DEPENDENCYPART_ARC
(6,23),-2.01796 # DEPENDENCYPART_ARC
(6,24),-0.738594 # DEPENDENCYPART_ARC
(6,25),1.04119 # DEPENDENCYPART_ARC
(6,26),1.12461 # DEPENDENCYPART_ARC
(7,1),-1.75673 # DEPENDENCYPART_ARC
(7,2),-1.97763 # DEPENDENCYPART_ARC
(7,3),-2.07937 # DEPENDENCYPART_ARC
(7,4),-2.65294 # DEPENDENCYPART_ARC
(7,5),-1.88673 # DEPENDENCYPART_ARC
(7,6),-0.702504 # DEPENDENCYPART_ARC
(7,8),-0.129595 # DEPENDENCYPART_ARC
(7,9),-0.0625246 # DEPENDENCYPART_ARC
(7,10),-0.82269 # DEPENDENCYPART_ARC
(7,11),-0.212215 # DEPENDENCYPART_ARC
(7,12),-1.03159 # DEPENDENCYPART_ARC
(7,13),-0.271398 # DEPENDENCYPART_ARC
(7,14),-1.39089 # DEPENDENCYPART_ARC
(7,15),-1.15485 # DEPENDENCYPART_ARC
(7,16),-1.42925 # DEPENDENCYPART_ARC
(7,17),-0.467489 # DEPENDENCYPART_ARC
(7,18),-1.54471 # DEPENDENCYPART_ARC
(7,19),-2.1371 # DEPENDENCYPART_ARC
(7,20),-1.82633 # DEPENDENCYPART_ARC
(7,21),-1.94773 # DEPENDENCYPART_ARC
(7,22),-1.97274 # DEPENDENCYPART_ARC
(7,23),-1.92448 # DEPENDENCYPART_ARC
(7,24),-2.33765 # DEPENDENCYPART_ARC
(7,25),-2.47887 # DEPENDENCYPART_ARC
(7,26),-2.91209 # DEPENDENCYPART_ARC
(8,1),-1.4124 # DEPENDENCYPART_ARC
(8,2),-1.40004 # DEPENDENCYPART_ARC
(8,3),-1.48955 # DEPENDENCYPART_ARC
(8,4),-3.63678 # DEPENDENCYPART_ARC
(8,5),-2.17924 # DEPENDENCYPART_ARC
(8,6),0.701178 # DEPENDENCYPART_ARC
(8,7),3.25043 # DEPENDENCYPART_ARC
(8,9),-0.117935 # DEPENDENCYPART_ARC
(8,10),-0.873819 # DEPENDENCYPART_ARC
(8,11),-0.12855 # DEPENDENCYPART_ARC
(8,12),-1.18163 # DEPENDENCYPART_ARC
(8,13),-0.292617 # DEPENDENCYPART_ARC
(8,14),-1.67283 # DEPENDENCYPART_ARC
(8,15),-0.920206 # DEPENDENCYPART_ARC
(8,16),-1.54069 # DEPENDENCYPART_ARC
(8,17),-0.561201 # DEPENDENCYPART_ARC
(8,18),-1.34284 # DEPENDENCYPART_ARC
(8,19),-2.14216 # DEPENDENCYPART_ARC
(8,20),-1.59282 # DEPENDENCYPART_ARC
(8,21),-2.18555 # DEPENDENCYPART_ARC
(8,22),-1.57966 # DEPENDENCYPART_ARC
(8,23),-1.59854 # DEPENDENCYPART_ARC
(8,24),-2.26511 # DEPENDENCYPART_ARC
(8,25),-2.60411 # DEPENDENCYPART_ARC
(8,26),-0.352957 # DEPENDENCYPART_ARC
(9,1),-2.00544 # DEPENDENCYPART_ARC
(9,2),-2.2203 # DEPENDENCYPART_ARC
(9,3),-2.26406 # DEPENDENCYPART_ARC
(9,4),-2.84202 # DEPENDENCYPART_ARC
(9,5),-2.13436 # DEPENDENCYPART_ARC
(9,6),-1.67156 # DEPENDENCYPART_ARC
(9,7),-1.07835 # DEPENDENCYPART_ARC
(9,8),-1.55556 # DEPENDENCYPART_ARC
(9,10),-1.50647 # DEPENDENCYPART_ARC
(9,11),-1.17201 # DEPENDENCYPART_ARC
(9,12),-2.10498 # DEPENDENCYPART_ARC
(9,13),-1.30418 # DEPENDENCYPART_ARC
(9,14),-2.31201 # DEPENDENCYPART_ARC
(9,15),-1.31854 # DEPENDENCYPART_ARC
(9,16),-2.56147 # DEPENDENCYPART_ARC
(9,17),-1.45906 # DEPENDENCYPART_ARC
(9,18),-1.91576 # DEPENDENCYPART_ARC
(9,19),-2.64793 # DEPENDENCYPART_ARC
(9,20),-1.95282 # DEPENDENCYPART_ARC
(9,21),-2.89043 # DEPENDENCYPART_ARC
(9,22),-2.05632 # DEPENDENCYPART_ARC
(9,23),-2.96772 # DEPENDENCYPART_ARC
(9,24),-3.01728 # DEPENDENCYPART_ARC
(9,25),-3.16053 # DEPENDENCYPART_ARC
(9,26),-2.05225 # DEPENDENCYPART_ARC
(10,1),-0.454299 # DEPENDENCYPART_ARC
(10,2),-0.534124 # DEPENDENCYPART_ARC
(10,3),0.0380176 # DEPENDENCYPART_ARC
(10,4),-3.04842 # DEPENDENCYPART_ARC
(10,5),-1.1897 # DEPENDENCYPART_ARC
(10,6),0.844421 # DEPENDENCYPART_ARC
(10,7),2.07506 # DEPENDENCYPART_ARC
(10,8),0.553557 # DEPENDENCYPART_ARC
(10,9),1.22041 # DEPENDENCYPART_ARC
(10,11),0.643837 # DEPENDENCYPART_ARC
(10,12),-0.0744208 # DEPENDENCYPART_ARC
(10,13),0.363945 # DEPENDENCYPART_ARC
(10,14),-0.547927 # DEPENDENCYPART_ARC
(10,15),-0.415721 # DEPENDENCYPART_ARC
(10,16),-0.458001 # DEPENDENCYPART_ARC
(10,17),0.248676 # DEPENDENCYPART_ARC
(10,18),-0.959618 # DEPENDENCYPART_ARC
(10,19),-1.33336 # DEPENDENCYPART_ARC
(10,20),-1.04237 # DEPENDENCYPART_ARC
(10,21),-1.17382 # DEPENDENCYPART_ARC
(10,22),-1.15851 # DEPENDENCYPART_ARC
(10,23),-0.628393 # DEPENDENCYPART_ARC
(10,24),-1.17384 # DEPENDENCYPART_ARC
(10,25),-1.44796 # DEPENDENCYPART_ARC
(10,26),0.24165 # DEPENDENCYPART_ARC
(11,1),-2.18213 # DEPENDENCYPART_ARC
(11,2),-2.41124 # DEPENDENCYPART_ARC
(11,3),-2.48896 # DEPENDENCYPART_ARC
(11,4),-3.17951 # DEPENDENCYPART_ARC
(11,5),-2.45865 # DEPENDENCYPART_ARC
(11,6),-2.14641 # DEPENDENCYPART_ARC
(11,7),-1.71778 # DEPENDENCYPART_ARC
(11,8),-2.6235 # DEPENDENCYPART_ARC
(11,9),-1.54056 # DEPENDENCYPART_ARC
(11,10),-1.70361 # DEPENDENCYPART_ARC
(11,12),-1.58761 # DEPENDENCYPART_ARC
(11,13),-1.22957 # DEPENDENCYPART_ARC
(11,14),-2.17577 # DEPENDENCYPART_ARC
(11,15),-1.41666 # DEPENDENCYPART_ARC
(11,16),-2.36393 # DEPENDENCYPART_ARC
(11,17),-1.40443 # DEPENDENCYPART_ARC
(11,18),-1.94075 # DEPENDENCYPART_ARC
(11,19),-2.67686 # DEPENDENCYPART_ARC
(11,20),-2.0016 # DEPENDENCYPART_ARC
(11,21),-2.72785 # DEPENDENCYPART_ARC
(11,22),-2.05024 # DEPENDENCYPART_ARC
(11,23),-2.9713 # DEPENDENCYPART_ARC
(11,24),-3.07615 # DEPENDENCYPART_ARC
(11,25),-3.20751 # DEPENDENCYPART_ARC
(11,26),-2.05429 # DEPENDENCYPART_ARC
(12,1),-0.575089 # DEPENDENCYPART_ARC
(12,2),-0.592974 # DEPENDENCYPART_ARC
(12,3),-0.0742978 # DEPENDENCYPART_ARC
(12,4),-3.01969 # DEPENDENCYPART_ARC
(12,5),-1.49207 # DEPENDENCYPART_ARC
(12,6),0.468113 # DEPENDENCYPART_ARC
(12,7),1.85534 # DEPENDENCYPART_ARC
(12,8),-0.266649 # DEPENDENCYPART_ARC
(12,9),1.29452 # DEPENDENCYPART_ARC
(12,10),1.41341 # DEPENDENCYPART_ARC
(12,11),1.20227 # DEPENDENCYPART_ARC
(12,13),0.566131 # DEPENDENCYPART_ARC
(12,14),-0.317819 # DEPENDENCYPART_ARC
(12,15),-0.324262 # DEPENDENCYPART_ARC
(12,16),-0.262833 # DEPENDENCYPART_ARC
(12,17),0.184543 # DEPENDENCYPART_ARC
(12,18),-0.922215 # DEPENDENCYPART_ARC
(12,19),-1.32175 # DEPENDENCYPART_ARC
(12,20),-1.08076 # DEPENDENCYPART_ARC
(12,21),-0.973201 # DEPENDENCYPART_ARC
(12,22),-1.04035 # DEPENDENCYPART_ARC
(12,23),-0.574601 # DEPENDENCYPART_ARC
(12,24),-1.1868 # DEPENDENCYPART_ARC
(12,25),-1.51686 # DEPENDENCYPART_ARC
(12,26),0.0691114 # DEPENDENCYPART_ARC
(13,1),-2.24403 # DEPENDENCYPART_ARC
(13,2),-2.45367 # DEPENDENCYPART_ARC
(13,3),-2.48293 # DEPENDENCYPART_ARC
(13,4),-3.18347 # DEPENDENCYPART_ARC
(13,5),-2.49698 # DEPENDENCYPART_ARC
(13,6),-2.1923 # DEPENDENCYPART_ARC
(13,7),-1.74057 # DEPENDENCYPART_ARC
(13,8),-2.89017 # DEPENDENCYPART_ARC
(13,9),-1.55429 # DEPENDENCYPART_ARC
(13,10),-2.52835 # DEPENDENCYPART_ARC
(13,11),-1.46244 # DEPENDENCYPART_ARC
(13,12),-1.62679 # DEPENDENCYPART_ARC
(13,14),-1.57526 # DEPENDENCYPART_ARC
(13,15),-1.34594 # DEPENDENCYPART_ARC
(13,16),-2.1452 # DEPENDENCYPART_ARC
(13,17),-1.3645 # DEPENDENCYPART_ARC
(13,18),-1.77707 # DEPENDENCYPART_ARC
(13,19),-2.5452 # DEPENDENCYPART_ARC
(13,20),-1.93578 # DEPENDENCYPART_ARC
(13,21),-2.67198 # DEPENDENCYPART_ARC
(13,22),-2.00265 # DEPENDENCYPART_ARC
(13,23),-2.72297 # DEPENDENCYPART_ARC
(13,24),-2.92628 # DEPENDENCYPART_ARC
(13,25),-3.1244 # DEPENDENCYPART_ARC
(13,26),-2.00986 # DEPENDENCYPART_ARC
(14,1),-0.736244 # DEPENDENCYPART_ARC
(14,2),-0.885296 # DEPENDENCYPART_ARC
(14,3),-0.459536 # DEPENDENCYPART_ARC
(14,4),-3.23087 # DEPENDENCYPART_ARC
(14,5),-1.93919 # DEPENDENCYPART_ARC
(14,6),-0.0105952 # DEPENDENCYPART_ARC
(14,7),1.3489 # DEPENDENCYPART_ARC
(14,8),-0.77992 # DEPENDENCYPART_ARC
(14,9),0.698833 # DEPENDENCYPART_ARC
(14,10),-0.0351369 # DEPENDENCYPART_ARC
(14,11),0.622635 # DEPENDENCYPART_ARC
(14,12),0.798123 # DEPENDENCYPART_ARC
(14,13),0.736567 # DEPENDENCYPART_ARC
(14,15),-0.704194 # DEPENDENCYPART_ARC
(14,16),-0.606074 # DEPENDENCYPART_ARC
(14,17),-0.168958 # DEPENDENCYPART_ARC
(14,18),-1.13678 # DEPENDENCYPART_ARC
(14,19),-1.81666 # DEPENDENCYPART_ARC
(14,20),-1.42676 # DEPENDENCYPART_ARC
(14,21),-1.61325 # DEPENDENCYPART_ARC
(14,22),-1.46214 # DEPENDENCYPART_ARC
(14,23),-1.00016 # DEPENDENCYPART_ARC
(14,24),-1.6219 # DEPENDENCYPART_ARC
(14,25),-2.15582 # DEPENDENCYPART_ARC
(14,26),-0.532363 # DEPENDENCYPART_ARC
(15,1),0.321419 # DEPENDENCYPART_ARC
(15,2),-1.36209 # DEPENDENCYPART_ARC
(15,3),-0.780557 # DEPENDENCYPART_ARC
(15,4),-1.53636 # DEPENDENCYPART_ARC
(15,5),0.1358 # DEPENDENCYPART_ARC
(15,6),-0.642289 # DEPENDENCYPART_ARC
(15,7),-1.30177 # DEPENDENCYPART_ARC
(15,8),-0.545116 # DEPENDENCYPART_ARC
(15,9),-0.342976 # DEPENDENCYPART_ARC
(15,10),-0.668615 # DEPENDENCYPART_ARC
(15,11),0.0861727 # DEPENDENCYPART_ARC
(15,12),-0.352604 # DEPENDENCYPART_ARC
(15,13),0.414483 # DEPENDENCYPART_ARC
(15,14),-0.139315 # DEPENDENCYPART_ARC
(15,16),-0.0219271 # DEPENDENCYPART_ARC
(15,17),-0.108356 # DEPENDENCYPART_ARC
(15,18),-0.292834 # DEPENDENCYPART_ARC
(15,19),-0.546936 # DEPENDENCYPART_ARC
(15,20),-0.562996 # DEPENDENCYPART_ARC
(15,21),-0.7012 # DEPENDENCYPART_ARC
(15,22),-0.827185 # DEPENDENCYPART_ARC
(15,23),-0.61789 # DEPENDENCYPART_ARC
(15,24),-0.855519 # DEPENDENCYPART_ARC
(15,25),-1.52992 # DEPENDENCYPART_ARC
(15,26),-0.964932 # DEPENDENCYPART_ARC
(16,1),-1.07234 # DEPENDENCYPART_ARC
(16,2),-0.920802 # DEPENDENCYPART_ARC
(16,3),-0.44756 # DEPENDENCYPART_ARC
(16,4),-3.06975 # DEPENDENCYPART_ARC
(16,5),-1.9633 # DEPENDENCYPART_ARC
(16,6),-0.0645367 # DEPENDENCYPART_ARC
(16,7),1.07397 # DEPENDENCYPART_ARC
(16,8),-0.493373 # DEPENDENCYPART_ARC
(16,9),1.27474 # DEPENDENCYPART_ARC
(16,10),0.266991 # DEPENDENCYPART_ARC
(16,11),0.968802 # DEPENDENCYPART_ARC
(16,12),0.503912 # DEPENDENCYPART_ARC
(16,13),1.21156 # DEPENDENCYPART_ARC
(16,14),1.80016 # DEPENDENCYPART_ARC
(16,15),1.72042 # DEPENDENCYPART_ARC
(16,17),0.597797 # DEPENDENCYPART_ARC
(16,18),-0.204471 # DEPENDENCYPART_ARC
(16,19),-0.579358 # DEPENDENCYPART_ARC
(16,20),-0.502237 # DEPENDENCYPART_ARC
(16,21),-0.341854 # DEPENDENCYPART_ARC
(16,22),-0.657813 # DEPENDENCYPART_ARC
(16,23),0.0951647 # DEPENDENCYPART_ARC
(16,24),-0.549657 # DEPENDENCYPART_ARC
(16,25),-0.90666 # DEPENDENCYPART_ARC
(16,26),0.348347 # DEPENDENCYPART_ARC
(17,1),-2.24109 # DEPENDENCYPART_ARC
(17,2),-2.45514 # DEPENDENCYPART_ARC
(17,3),-2.47356 # DEPENDENCYPART_ARC
(17,4),-3.15138 # DEPENDENCYPART_ARC
(17,5),-2.4546 # DEPENDENCYPART_ARC
(17,6),-2.16503 # DEPENDENCYPART_ARC
(17,7),-1.78552 # DEPENDENCYPART_ARC
(17,8),-2.90158 # DEPENDENCYPART_ARC
(17,9),-1.54703 # DEPENDENCYPART_ARC
(17,10),-2.80409 # DEPENDENCYPART_ARC
(17,11),-1.43496 # DEPENDENCYPART_ARC
(17,12),-2.64215 # DEPENDENCYPART_ARC
(17,13),-1.41508 # DEPENDENCYPART_ARC
(17,14),-2.13558 # DEPENDENCYPART_ARC
(17,15),-1.19185 # DEPENDENCYPART_ARC
(17,16),-1.3472 # DEPENDENCYPART_ARC
(17,18),-0.90366 # DEPENDENCYPART_ARC
(17,19),-1.4096 # DEPENDENCYPART_ARC
(17,20),-1.32951 # DEPENDENCYPART_ARC
(17,21),-1.92231 # DEPENDENCYPART_ARC
(17,22),-1.50187 # DEPENDENCYPART_ARC
(17,23),-2.2363 # DEPENDENCYPART_ARC
(17,24),-2.33403 # DEPENDENCYPART_ARC
(17,25),-2.4875 # DEPENDENCYPART_ARC
(17,26),-1.62206 # DEPENDENCYPART_ARC
(18,1),0.132208 # DEPENDENCYPART_ARC
(18,2),-0.684638 # DEPENDENCYPART_ARC
(18,3),-0.757974 # DEPENDENCYPART_ARC
(18,4),-0.836635 # DEPENDENCYPART_ARC
(18,5),-0.918691 # DEPENDENCYPART_ARC
(18,6),-0.279003 # DEPENDENCYPART_ARC
(18,7),-0.265588 # DEPENDENCYPART_ARC
(18,8),-0.781798 # DEPENDENCYPART_ARC
(18,9),0.660949 # DEPENDENCYPART_ARC
(18,10),-0.672 # DEPENDENCYPART_ARC
(18,11),0.472526 # DEPENDENCYPART_ARC
(18,12),-0.581578 # DEPENDENCYPART_ARC
(18,13),0.475308 # DEPENDENCYPART_ARC
(18,14),-0.122035 # DEPENDENCYPART_ARC
(18,15),0.965697 # DEPENDENCYPART_ARC
(18,16),-0.0024935 # DEPENDENCYPART_ARC
(18,17),0.926457 # DEPENDENCYPART_ARC
(18,19),-0.165198 # DEPENDENCYPART_ARC
(18,20),-0.359147 # DEPENDENCYPART_ARC
(18,21),-0.145779 # DEPENDENCYPART_ARC
(18,22),-0.693163 # DEPENDENCYPART_ARC
(18,23),-0.619931 # DEPENDENCYPART_ARC
(18,24),-0.982334 # DEPENDENCYPART_ARC
(18,25),-1.71329 # DEPENDENCYPART_ARC
(18,26),-0.388851 # DEPENDENCYPART_ARC
(19,1),-0.172035 # DEPENDENCYPART_ARC
(19,2),-0.417398 # DEPENDENCYPART_ARC
(19,3),-1.24467 # DEPENDENCYPART_ARC
(19,4),-1.92803 # DEPENDENCYPART_ARC
(19,5),-3.59406 # DEPENDENCYPART_ARC
(19,6),-0.278031 # DEPENDENCYPART_ARC
(19,7),0.300719 # DEPENDENCYPART_ARC
(19,8),1.92563 # DEPENDENCYPART_ARC
(19,9),1.17846 # DEPENDENCYPART_ARC
(19,10),1.21816 # DEPENDENCYPART_ARC
(19,11),0.804134 # DEPENDENCYPART_ARC
(19,12),1.17183 # DEPENDENCYPART_ARC
(19,13),0.81483 # DEPENDENCYPART_ARC
(19,14),2.00328 # DEPENDENCYPART_ARC
(19,15),1.22631 # DEPENDENCYPART_ARC
(19,16),1.73016 # DEPENDENCYPART_ARC
(19,17),0.959191 # DEPENDENCYPART_ARC
(19,18),3.20901 # DEPENDENCYPART_ARC
(19,20),0.0594496 # DEPENDENCYPART_ARC
(19,21),-0.632835 # DEPENDENCYPART_ARC
(19,22),-0.187555 # DEPENDENCYPART_ARC
(19,23),-0.411978 # DEPENDENCYPART_ARC
(19,24),-1.13074 # DEPENDENCYPART_ARC
(19,25),-1.58011 # DEPENDENCYPART_ARC
(19,26),0.0239425 # DEPENDENCYPART_ARC
(20,1),0.0740101 # DEPENDENCYPART_ARC
(20,2),-0.775227 # DEPENDENCYPART_ARC
(20,3),-1.02161 # DEPENDENCYPART_ARC
(20,4),-0.635563 # DEPENDENCYPART_ARC
(20,5),-1.21251 # DEPENDENCYPART_ARC
(20,6),-0.488134 # DEPENDENCYPART_ARC
