# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=11,3,5,10,11,10,10,10,10,11,14,11,14,0,11,20,18,20,20,21,11,14,
(3,5),-0.163075 # DEPENDENCYPART_ARC
(3,6),-0.643716 # DEPENDENCYPART_ARC
(3,7),-0.634747 # DEPENDENCYPART_ARC
(3,8),-0.73288 # DEPENDENCYPART_ARC
(3,9),-0.825277 # DEPENDENCYPART_ARC
(3,10),-1.10914 # DEPENDENCYPART_ARC
(3,11),-0.110632 # DEPENDENCYPART_ARC
(3,12),-0.699999 # DEPENDENCYPART_ARC
(3,13),-0.212748 # DEPENDENCYPART_ARC
(3,14),-0.444065 # DEPENDENCYPART_ARC
(3,15),-1.12099 # DEPENDENCYPART_ARC
(3,16),-1.05333 # DEPENDENCYPART_ARC
(3,17),-1.5968 # DEPENDENCYPART_ARC
(3,18),-1.21622 # DEPENDENCYPART_ARC
(3,19),-1.29001 # DEPENDENCYPART_ARC
(3,20),-1.85896 # DEPENDENCYPART_ARC
(3,21),-1.55366 # DEPENDENCYPART_ARC
(3,22),0.767483 # DEPENDENCYPART_ARC
(4,1),-1.71709 # DEPENDENCYPART_ARC
(4,2),-1.62958 # DEPENDENCYPART_ARC
(4,3),-1.33552 # DEPENDENCYPART_ARC
(4,5),-1.43063 # DEPENDENCYPART_ARC
(4,6),-1.74339 # DEPENDENCYPART_ARC
(4,7),-1.87328 # DEPENDENCYPART_ARC
(4,8),-1.96473 # DEPENDENCYPART_ARC
(4,9),-2.04749 # DEPENDENCYPART_ARC
(4,10),-2.74781 # DEPENDENCYPART_ARC
(4,11),-2.05379 # DEPENDENCYPART_ARC
(4,12),-2.86176 # DEPENDENCYPART_ARC
(4,13),-1.79683 # DEPENDENCYPART_ARC
(4,14),-1.76887 # DEPENDENCYPART_ARC
(4,15),-2.33854 # DEPENDENCYPART_ARC
(4,16),-2.2286 # DEPENDENCYPART_ARC
(4,17),-3.21119 # DEPENDENCYPART_ARC
(4,18),-2.44506 # DEPENDENCYPART_ARC
(4,19),-2.43026 # DEPENDENCYPART_ARC
(4,20),-3.22434 # DEPENDENCYPART_ARC
(4,21),-1.95478 # DEPENDENCYPART_ARC
(4,22),-2.24623 # DEPENDENCYPART_ARC
(5,1),1.38289 # DEPENDENCYPART_ARC
(5,2),1.42978 # DEPENDENCYPART_ARC
(5,3),1.51951 # DEPENDENCYPART_ARC
(5,4),1.1841 # DEPENDENCYPART_ARC
(5,6),-0.664752 # DEPENDENCYPART_ARC
(5,7),0.125906 # DEPENDENCYPART_ARC
(5,8),-0.0867993 # DEPENDENCYPART_ARC
(5,9),-0.271705 # DEPENDENCYPART_ARC
(5,10),-0.631707 # DEPENDENCYPART_ARC
(5,11),0.75522 # DEPENDENCYPART_ARC
(5,12),-1.0077 # DEPENDENCYPART_ARC
(5,13),-0.130558 # DEPENDENCYPART_ARC
(5,14),0.0126247 # DEPENDENCYPART_ARC
(5,15),-0.911191 # DEPENDENCYPART_ARC
(5,16),-1.19182 # DEPENDENCYPART_ARC
(5,17),-1.54245 # DEPENDENCYPART_ARC
(5,18),-0.964183 # DEPENDENCYPART_ARC
(5,19),-0.88833 # DEPENDENCYPART_ARC
(5,20),-1.66795 # DEPENDENCYPART_ARC
(5,21),-0.208945 # DEPENDENCYPART_ARC
(5,22),1.90937 # DEPENDENCYPART_ARC
(6,1),-1.91395 # DEPENDENCYPART_ARC
(6,2),-1.76417 # DEPENDENCYPART_ARC
(6,3),-1.55205 # DEPENDENCYPART_ARC
(6,4),-1.24636 # DEPENDENCYPART_ARC
(6,5),-0.761927 # DEPENDENCYPART_ARC
(6,7),0.510271 # DEPENDENCYPART_ARC
(6,8),0.292728 # DEPENDENCYPART_ARC
(6,9),-0.0439751 # DEPENDENCYPART_ARC
(6,10),-0.935958 # DEPENDENCYPART_ARC
(6,11),-0.971714 # DEPENDENCYPART_ARC
(6,12),-1.3827 # DEPENDENCYPART_ARC
(6,13),-0.348616 # DEPENDENCYPART_ARC
(6,14),-0.84812 # DEPENDENCYPART_ARC
(6,15),-1.13917 # DEPENDENCYPART_ARC
(6,16),-0.837154 # DEPENDENCYPART_ARC
(6,17),-1.65956 # DEPENDENCYPART_ARC
(6,18),-1.35783 # DEPENDENCYPART_ARC
(6,19),-1.31549 # DEPENDENCYPART_ARC
(6,20),-1.84994 # DEPENDENCYPART_ARC
(6,21),-1.43994 # DEPENDENCYPART_ARC
(6,22),-2.05503 # DEPENDENCYPART_ARC
(7,1),-1.14492 # DEPENDENCYPART_ARC
(7,2),-0.91114 # DEPENDENCYPART_ARC
(7,3),-1.65933 # DEPENDENCYPART_ARC
(7,4),-0.843255 # DEPENDENCYPART_ARC
(7,5),-0.938654 # DEPENDENCYPART_ARC
(7,6),0.533771 # DEPENDENCYPART_ARC
(7,8),-0.480517 # DEPENDENCYPART_ARC
(7,9),-0.644304 # DEPENDENCYPART_ARC
(7,10),-0.880824 # DEPENDENCYPART_ARC
(7,11),-0.571667 # DEPENDENCYPART_ARC
(7,12),-0.605755 # DEPENDENCYPART_ARC
(7,13),-0.470757 # DEPENDENCYPART_ARC
(7,14),-0.840199 # DEPENDENCYPART_ARC
(7,15),-1.36343 # DEPENDENCYPART_ARC
(7,16),-1.35733 # DEPENDENCYPART_ARC
(7,17),-1.56117 # DEPENDENCYPART_ARC
(7,18),-1.51064 # DEPENDENCYPART_ARC
(7,19),-1.59437 # DEPENDENCYPART_ARC
(7,20),-2.02345 # DEPENDENCYPART_ARC
(7,21),-1.81939 # DEPENDENCYPART_ARC
(7,22),-0.351205 # DEPENDENCYPART_ARC
(8,1),-0.276545 # DEPENDENCYPART_ARC
(8,2),-0.187967 # DEPENDENCYPART_ARC
(8,3),-0.694365 # DEPENDENCYPART_ARC
(8,4),-0.111142 # DEPENDENCYPART_ARC
(8,5),-0.177855 # DEPENDENCYPART_ARC
(8,6),0.473171 # DEPENDENCYPART_ARC
(8,7),1.82477 # DEPENDENCYPART_ARC
(8,9),-0.513249 # DEPENDENCYPART_ARC
(8,10),-0.574294 # DEPENDENCYPART_ARC
(8,11),-0.531366 # DEPENDENCYPART_ARC
(8,12),-0.539307 # DEPENDENCYPART_ARC
(8,13),-0.601354 # DEPENDENCYPART_ARC
(8,14),-0.790181 # DEPENDENCYPART_ARC
(8,15),-1.37793 # DEPENDENCYPART_ARC
(8,16),-1.37028 # DEPENDENCYPART_ARC
(8,17),-1.55893 # DEPENDENCYPART_ARC
(8,18),-1.50571 # DEPENDENCYPART_ARC
(8,19),-1.58347 # DEPENDENCYPART_ARC
(8,20),-2.04482 # DEPENDENCYPART_ARC
(8,21),-1.7792 # DEPENDENCYPART_ARC
(8,22),-0.27994 # DEPENDENCYPART_ARC
(9,1),0.0749392 # DEPENDENCYPART_ARC
(9,2),0.1938 # DEPENDENCYPART_ARC
(9,3),-0.488111 # DEPENDENCYPART_ARC
(9,4),0.162404 # DEPENDENCYPART_ARC
(9,5),-0.0625145 # DEPENDENCYPART_ARC
(9,6),0.365577 # DEPENDENCYPART_ARC
(9,7),1.22021 # DEPENDENCYPART_ARC
(9,8),1.97051 # DEPENDENCYPART_ARC
(9,10),-0.698573 # DEPENDENCYPART_ARC
(9,11),-0.691515 # DEPENDENCYPART_ARC
(9,12),-0.732633 # DEPENDENCYPART_ARC
(9,13),-0.67879 # DEPENDENCYPART_ARC
(9,14),-1.11875 # DEPENDENCYPART_ARC
(9,15),-1.56205 # DEPENDENCYPART_ARC
(9,16),-1.55607 # DEPENDENCYPART_ARC
(9,17),-1.83945 # DEPENDENCYPART_ARC
(9,18),-1.74556 # DEPENDENCYPART_ARC
(9,19),-1.75429 # DEPENDENCYPART_ARC
(9,20),-2.26702 # DEPENDENCYPART_ARC
(9,21),-1.89944 # DEPENDENCYPART_ARC
(9,22),-0.551687 # DEPENDENCYPART_ARC
(10,1),0.0353258 # DEPENDENCYPART_ARC
(10,2),-0.014537 # DEPENDENCYPART_ARC
(10,3),0.713423 # DEPENDENCYPART_ARC
(10,4),1.40571 # DEPENDENCYPART_ARC
(10,5),-0.059126 # DEPENDENCYPART_ARC
(10,6),2.39523 # DEPENDENCYPART_ARC
(10,7),2.01689 # DEPENDENCYPART_ARC
(10,8),2.70509 # DEPENDENCYPART_ARC
(10,9),3.85253 # DEPENDENCYPART_ARC
(10,11),-0.573768 # DEPENDENCYPART_ARC
(10,12),-1.36145 # DEPENDENCYPART_ARC
(10,13),-0.356605 # DEPENDENCYPART_ARC
(10,14),-0.719114 # DEPENDENCYPART_ARC
(10,15),-0.945251 # DEPENDENCYPART_ARC
(10,16),-1.33462 # DEPENDENCYPART_ARC
(10,17),-2.16043 # DEPENDENCYPART_ARC
(10,18),-1.41463 # DEPENDENCYPART_ARC
(10,19),-1.13427 # DEPENDENCYPART_ARC
(10,20),-1.51649 # DEPENDENCYPART_ARC
(10,21),-1.48954 # DEPENDENCYPART_ARC
(10,22),-0.378905 # DEPENDENCYPART_ARC
(11,1),1.63824 # DEPENDENCYPART_ARC
(11,2),0.857958 # DEPENDENCYPART_ARC
(11,3),-0.610014 # DEPENDENCYPART_ARC
(11,4),0.413712 # DEPENDENCYPART_ARC
(11,5),0.722694 # DEPENDENCYPART_ARC
(11,6),0.03141 # DEPENDENCYPART_ARC
(11,7),-0.158747 # DEPENDENCYPART_ARC
(11,8),0.134437 # DEPENDENCYPART_ARC
(11,9),0.57036 # DEPENDENCYPART_ARC
(11,10),3.63485 # DEPENDENCYPART_ARC
(11,12),3.57605 # DEPENDENCYPART_ARC
(11,13),1.58137 # DEPENDENCYPART_ARC
(11,14),0.777566 # DEPENDENCYPART_ARC
(11,15),0.844256 # DEPENDENCYPART_ARC
(11,16),-0.401838 # DEPENDENCYPART_ARC
(11,17),-0.657392 # DEPENDENCYPART_ARC
(11,18),-1.00377 # DEPENDENCYPART_ARC
(11,19),-1.16951 # DEPENDENCYPART_ARC
(11,20),0.503293 # DEPENDENCYPART_ARC
(11,21),1.00753 # DEPENDENCYPART_ARC
(11,22),1.55424 # DEPENDENCYPART_ARC
(12,1),-1.5987 # DEPENDENCYPART_ARC
(12,2),-1.6358 # DEPENDENCYPART_ARC
(12,3),-1.86028 # DEPENDENCYPART_ARC
(12,4),-0.898869 # DEPENDENCYPART_ARC
(12,5),-1.64471 # DEPENDENCYPART_ARC
(12,6),-0.284747 # DEPENDENCYPART_ARC
(12,7),-0.537591 # DEPENDENCYPART_ARC
(12,8),-0.498264 # DEPENDENCYPART_ARC
(12,9),-0.190189 # DEPENDENCYPART_ARC
(12,10),-1.8176 # DEPENDENCYPART_ARC
(12,11),-0.609831 # DEPENDENCYPART_ARC
(12,13),-0.135039 # DEPENDENCYPART_ARC
(12,14),-0.725767 # DEPENDENCYPART_ARC
(12,15),-0.55184 # DEPENDENCYPART_ARC
(12,16),-1.10996 # DEPENDENCYPART_ARC
(12,17),-1.09702 # DEPENDENCYPART_ARC
(12,18),-1.01281 # DEPENDENCYPART_ARC
(12,19),-0.80468 # DEPENDENCYPART_ARC
(12,20),-0.988156 # DEPENDENCYPART_ARC
(12,21),-1.26781 # DEPENDENCYPART_ARC
(12,22),-0.246151 # DEPENDENCYPART_ARC
(13,1),-2.38691 # DEPENDENCYPART_ARC
(13,2),-2.36553 # DEPENDENCYPART_ARC
(13,3),-2.64538 # DEPENDENCYPART_ARC
(13,4),-1.9786 # DEPENDENCYPART_ARC
(13,5),-1.94262 # DEPENDENCYPART_ARC
(13,6),-2.0644 # DEPENDENCYPART_ARC
(13,7),-2.42083 # DEPENDENCYPART_ARC
(13,8),-2.38766 # DEPENDENCYPART_ARC
(13,9),-2.23753 # DEPENDENCYPART_ARC
(13,10),-2.53938 # DEPENDENCYPART_ARC
(13,11),-1.49148 # DEPENDENCYPART_ARC
(13,12),-1.54682 # DEPENDENCYPART_ARC
(13,14),-1.15863 # DEPENDENCYPART_ARC
(13,15),-1.34202 # DEPENDENCYPART_ARC
(13,16),-1.55621 # DEPENDENCYPART_ARC
(13,17),-2.24186 # DEPENDENCYPART_ARC
(13,18),-1.7742 # DEPENDENCYPART_ARC
(13,19),-1.89089 # DEPENDENCYPART_ARC
(13,20),-2.57206 # DEPENDENCYPART_ARC
(13,21),-1.49145 # DEPENDENCYPART_ARC
(13,22),-1.69636 # DEPENDENCYPART_ARC
(14,1),-0.151125 # DEPENDENCYPART_ARC
(14,2),-0.228452 # DEPENDENCYPART_ARC
(14,3),-0.129178 # DEPENDENCYPART_ARC
(14,4),1.0165 # DEPENDENCYPART_ARC
(14,5),0.341906 # DEPENDENCYPART_ARC
(14,6),-0.517281 # DEPENDENCYPART_ARC
(14,7),-0.22469 # DEPENDENCYPART_ARC
(14,8),-0.0746557 # DEPENDENCYPART_ARC
(14,9),-0.274561 # DEPENDENCYPART_ARC
(14,10),-0.0447194 # DEPENDENCYPART_ARC
(14,11),2.42252 # DEPENDENCYPART_ARC
(14,12),-0.179651 # DEPENDENCYPART_ARC
(14,13),2.18724 # DEPENDENCYPART_ARC
(14,15),0.751901 # DEPENDENCYPART_ARC
(14,16),0.284495 # DEPENDENCYPART_ARC
(14,17),0.315012 # DEPENDENCYPART_ARC
(14,18),0.422492 # DEPENDENCYPART_ARC
(14,19),0.278328 # DEPENDENCYPART_ARC
(14,20),-0.154341 # DEPENDENCYPART_ARC
(14,21),0.961229 # DEPENDENCYPART_ARC
(14,22),2.35874 # DEPENDENCYPART_ARC
(15,1),-0.330902 # DEPENDENCYPART_ARC
(15,2),-0.467777 # DEPENDENCYPART_ARC
(15,3),-0.567892 # DEPENDENCYPART_ARC
(15,4),0.0225705 # DEPENDENCYPART_ARC
(15,5),-0.0716958 # DEPENDENCYPART_ARC
(15,6),0.530341 # DEPENDENCYPART_ARC
(15,7),-0.00153927 # DEPENDENCYPART_ARC
(15,8),-0.10919 # DEPENDENCYPART_ARC
(15,9),-0.223595 # DEPENDENCYPART_ARC
(15,10),-0.847646 # DEPENDENCYPART_ARC
(15,11),-0.0210965 # DEPENDENCYPART_ARC
(15,12),0.570872 # DEPENDENCYPART_ARC
(15,13),0.748041 # DEPENDENCYPART_ARC
(15,14),1.09745 # DEPENDENCYPART_ARC
(15,16),0.281146 # DEPENDENCYPART_ARC
(15,17),0.921693 # DEPENDENCYPART_ARC
(15,18),0.263019 # DEPENDENCYPART_ARC
(15,19),0.145129 # DEPENDENCYPART_ARC
(15,20),-0.118474 # DEPENDENCYPART_ARC
(15,21),-0.295357 # DEPENDENCYPART_ARC
(15,22),1.07245 # DEPENDENCYPART_ARC
(16,1),-1.89032 # DEPENDENCYPART_ARC
(16,2),-1.8109 # DEPENDENCYPART_ARC
(16,3),-1.63538 # DEPENDENCYPART_ARC
(16,4),-1.08027 # DEPENDENCYPART_ARC
(16,5),-1.43375 # DEPENDENCYPART_ARC
(16,6),-1.48806 # DEPENDENCYPART_ARC
(16,7),-1.69775 # DEPENDENCYPART_ARC
(16,8),-1.62103 # DEPENDENCYPART_ARC
(16,9),-1.58237 # DEPENDENCYPART_ARC
(16,10),-2.4519 # DEPENDENCYPART_ARC
(16,11),-1.60684 # DEPENDENCYPART_ARC
(16,12),-2.01255 # DEPENDENCYPART_ARC
(16,13),-0.49583 # DEPENDENCYPART_ARC
(16,14),-0.606453 # DEPENDENCYPART_ARC
(16,15),-0.355687 # DEPENDENCYPART_ARC
(16,17),-0.325788 # DEPENDENCYPART_ARC
(16,18),-0.206335 # DEPENDENCYPART_ARC
(16,19),-0.421302 # DEPENDENCYPART_ARC
(16,20),-1.11797 # DEPENDENCYPART_ARC
(16,21),-1.08667 # DEPENDENCYPART_ARC
(16,22),-1.42321 # DEPENDENCYPART_ARC
(17,1),-2.42716 # DEPENDENCYPART_ARC
(17,2),-2.5243 # DEPENDENCYPART_ARC
(17,3),-4.52052 # DEPENDENCYPART_ARC
(17,4),-2.20474 # DEPENDENCYPART_ARC
(17,5),-3.09845 # DEPENDENCYPART_ARC
(17,6),-1.78815 # DEPENDENCYPART_ARC
(17,7),-2.79408 # DEPENDENCYPART_ARC
(17,8),-2.96304 # DEPENDENCYPART_ARC
(17,9),-2.76347 # DEPENDENCYPART_ARC
(17,10),-4.18507 # DEPENDENCYPART_ARC
(17,11),-3.11735 # DEPENDENCYPART_ARC
(17,12),-2.87756 # DEPENDENCYPART_ARC
(17,13),-1.04905 # DEPENDENCYPART_ARC
(17,14),-0.428108 # DEPENDENCYPART_ARC
(17,15),-2.60597 # DEPENDENCYPART_ARC
(17,16),2.36804 # DEPENDENCYPART_ARC
(17,18),0.128833 # DEPENDENCYPART_ARC
(17,19),0.237491 # DEPENDENCYPART_ARC
(17,20),-0.0595208 # DEPENDENCYPART_ARC
(17,21),-0.567054 # DEPENDENCYPART_ARC
(17,22),0.0443548 # DEPENDENCYPART_ARC
(18,1),0.671553 # DEPENDENCYPART_ARC
(18,2),0.440162 # DEPENDENCYPART_ARC
(18,3),-1.04332 # DEPENDENCYPART_ARC
(18,4),0.0456245 # DEPENDENCYPART_ARC
(18,5),0.310056 # DEPENDENCYPART_ARC
(18,6),-0.649798 # DEPENDENCYPART_ARC
(18,7),-0.207926 # DEPENDENCYPART_ARC
(18,8),-0.409814 # DEPENDENCYPART_ARC
(18,9),-0.60296 # DEPENDENCYPART_ARC
(18,10),-0.737379 # DEPENDENCYPART_ARC
(18,11),0.0210491 # DEPENDENCYPART_ARC
(18,12),0.665668 # DEPENDENCYPART_ARC
(18,13),0.774591 # DEPENDENCYPART_ARC
(18,14),1.07019 # DEPENDENCYPART_ARC
(18,15),-0.166173 # DEPENDENCYPART_ARC
(18,16),1.46407 # DEPENDENCYPART_ARC
(18,17),3.7292 # DEPENDENCYPART_ARC
(18,19),-0.453509 # DEPENDENCYPART_ARC
(18,20),-0.67157 # DEPENDENCYPART_ARC
(18,21),-0.955729 # DEPENDENCYPART_ARC
(18,22),-0.313902 # DEPENDENCYPART_ARC
(19,1),-1.16013 # DEPENDENCYPART_ARC
(19,2),-1.24519 # DEPENDENCYPART_ARC
(19,3),-2.37253 # DEPENDENCYPART_ARC
(19,4),-1.07125 # DEPENDENCYPART_ARC
(19,5),-1.04999 # DEPENDENCYPART_ARC
(19,6),-1.87877 # DEPENDENCYPART_ARC
(19,7),-1.46859 # DEPENDENCYPART_ARC
(19,8),-1.60741 # DEPENDENCYPART_ARC
(19,9),-1.91554 # DEPENDENCYPART_ARC
(19,10),-2.78212 # DEPENDENCYPART_ARC
(19,11),-1.26912 # DEPENDENCYPART_ARC
(19,12),-1.41704 # DEPENDENCYPART_ARC
(19,13),-0.474009 # DEPENDENCYPART_ARC
(19,14),-0.592243 # DEPENDENCYPART_ARC
(19,15),-1.77975 # DEPENDENCYPART_ARC
(19,16),-0.311057 # DEPENDENCYPART_ARC
(19,17),1.12444 # DEPENDENCYPART_ARC
(19,18),0.638443 # DEPENDENCYPART_ARC
(19,20),-0.618115 # DEPENDENCYPART_ARC
(19,21),-1.16179 # DEPENDENCYPART_ARC
(19,22),-0.561385 # DEPENDENCYPART_ARC
(20,1),-0.570373 # DEPENDENCYPART_ARC
(20,2),-0.752465 # DEPENDENCYPART_ARC
(20,3),-0.936101 # DEPENDENCYPART_ARC
(20,4),0.185758 # DEPENDENCYPART_ARC
(20,5),-1.08538 # DEPENDENCYPART_ARC
(20,6),0.404477 # DEPENDENCYPART_ARC
(20,7),0.358898 # DEPENDENCYPART_ARC
(20,8),0.079072 # DEPENDENCYPART_ARC
(20,9),0.511107 # DEPENDENCYPART_ARC
(20,10),-2.0607 # DEPENDENCYPART_ARC
(20,11),-1.02776 # DEPENDENCYPART_ARC
(20,12),-1.52127 # DEPENDENCYPART_ARC
(20,13),0.344006 # DEPENDENCYPART_ARC
(20,14),1.05169 # DEPENDENCYPART_ARC
(20,15),-1.0523 # DEPENDENCYPART_ARC
(20,16),2.43062 # DEPENDENCYPART_ARC
(20,17),1.60214 # DEPENDENCYPART_ARC
(20,18),3.27583 # DEPENDENCYPART_ARC
(20,19),3.93355 # DEPENDENCYPART_ARC
(20,21),-0.903534 # DEPENDENCYPART_ARC
(20,22),-0.835233 # DEPENDENCYPART_ARC
(21,1),0.501069 # DEPENDENCYPART_ARC
(21,2),0.531671 # DEPENDENCYPART_ARC
(21,3),-0.0865373 # DEPENDENCYPART_ARC
(21,4),-0.0704596 # DEPENDENCYPART_ARC
(21,5),-0.480123 # DEPENDENCYPART_ARC
(21,6),-1.35256 # DEPENDENCYPART_ARC
(21,7),0.074137 # DEPENDENCYPART_ARC
(21,8),0.0930279 # DEPENDENCYPART_ARC
(21,9),-0.132027 # DEPENDENCYPART_ARC
(21,10),-0.619689 # DEPENDENCYPART_ARC
(21,11),-0.365318 # DEPENDENCYPART_ARC
(21,12),-0.223615 # DEPENDENCYPART_ARC
(21,13),0.451596 # DEPENDENCYPART_ARC
(21,14),0.5115 # DEPENDENCYPART_ARC
(21,15),0.781218 # DEPENDENCYPART_ARC
(21,16),-0.336841 # DEPENDENCYPART_ARC
(21,17),0.78016 # DEPENDENCYPART_ARC
(21,18),0.813981 # DEPENDENCYPART_ARC
(21,19),0.614222 # DEPENDENCYPART_ARC
(21,20),0.54724 # DEPENDENCYPART_ARC
(21,22),0.805342 # DEPENDENCYPART_ARC
(22,1),-3.01026 # DEPENDENCYPART_ARC
(22,2),-2.86905 # DEPENDENCYPART_ARC
(22,3),-3.05239 # DEPENDENCYPART_ARC
(22,4),-2.5373 # DEPENDENCYPART_ARC
(22,5),-2.61095 # DEPENDENCYPART_ARC
(22,6),-2.71604 # DEPENDENCYPART_ARC
(22,7),-2.98978 # DEPENDENCYPART_ARC
(22,8),-2.92221 # DEPENDENCYPART_ARC
(22,9),-2.88102 # DEPENDENCYPART_ARC
(22,10),-3.65631 # DEPENDENCYPART_ARC
(22,11),-2.53158 # DEPENDENCYPART_ARC
(22,12),-3.2385 # DEPENDENCYPART_ARC
(22,13),-1.97239 # DEPENDENCYPART_ARC
(22,14),-2.01823 # DEPENDENCYPART_ARC
(22,15),-2.46049 # DEPENDENCYPART_ARC
(22,16),-2.07728 # DEPENDENCYPART_ARC
(22,17),-2.9925 # DEPENDENCYPART_ARC
(22,18),-2.22523 # DEPENDENCYPART_ARC
(22,19),-2.01492 # DEPENDENCYPART_ARC
(22,20),-2.37923 # DEPENDENCYPART_ARC
(22,21),-1.01672 # DEPENDENCYPART_ARC
