# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,15,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(16,22),-1.12017 # DEPENDENCYPART_ARC
(16,23),-1.28853 # DEPENDENCYPART_ARC
(16,24),-1.94714 # DEPENDENCYPART_ARC
(16,25),-1.5132 # DEPENDENCYPART_ARC
(16,26),-1.12247 # DEPENDENCYPART_ARC
(16,27),-1.02956 # DEPENDENCYPART_ARC
(16,28),0.239145 # DEPENDENCYPART_ARC
(17,1),-0.812974 # DEPENDENCYPART_ARC
(17,2),-2.01756 # DEPENDENCYPART_ARC
(17,3),-0.797565 # DEPENDENCYPART_ARC
(17,4),-1.21496 # DEPENDENCYPART_ARC
(17,5),-0.86615 # DEPENDENCYPART_ARC
(17,6),-1.23224 # DEPENDENCYPART_ARC
(17,7),-0.584378 # DEPENDENCYPART_ARC
(17,8),-1.00703 # DEPENDENCYPART_ARC
(17,9),-0.64181 # DEPENDENCYPART_ARC
(17,10),-0.600648 # DEPENDENCYPART_ARC
(17,11),-0.430693 # DEPENDENCYPART_ARC
(17,12),-0.373311 # DEPENDENCYPART_ARC
(17,13),-0.235091 # DEPENDENCYPART_ARC
(17,14),0.323713 # DEPENDENCYPART_ARC
(17,15),-0.117735 # DEPENDENCYPART_ARC
(17,16),0.156992 # DEPENDENCYPART_ARC
(17,18),-0.14905 # DEPENDENCYPART_ARC
(17,19),0.178375 # DEPENDENCYPART_ARC
(17,20),0.191764 # DEPENDENCYPART_ARC
(17,21),-0.509728 # DEPENDENCYPART_ARC
(17,22),-0.824263 # DEPENDENCYPART_ARC
(17,23),-0.768047 # DEPENDENCYPART_ARC
(17,24),-1.08189 # DEPENDENCYPART_ARC
(17,25),-0.55204 # DEPENDENCYPART_ARC
(17,26),-0.837541 # DEPENDENCYPART_ARC
(17,27),-0.700239 # DEPENDENCYPART_ARC
(17,28),0.16732 # DEPENDENCYPART_ARC
(18,1),-0.892133 # DEPENDENCYPART_ARC
(18,2),-0.48284 # DEPENDENCYPART_ARC
(18,3),-1.32858 # DEPENDENCYPART_ARC
(18,4),-0.583079 # DEPENDENCYPART_ARC
(18,5),-1.12106 # DEPENDENCYPART_ARC
(18,6),-1.94917 # DEPENDENCYPART_ARC
(18,7),-0.680058 # DEPENDENCYPART_ARC
(18,8),-0.331961 # DEPENDENCYPART_ARC
(18,9),-1.58996 # DEPENDENCYPART_ARC
(18,10),-0.915129 # DEPENDENCYPART_ARC
(18,12),-0.437818 # DEPENDENCYPART_ARC
(18,13),-0.339289 # DEPENDENCYPART_ARC
(18,14),0.158907 # DEPENDENCYPART_ARC
(18,15),-0.0592 # DEPENDENCYPART_ARC
(18,16),-0.447676 # DEPENDENCYPART_ARC
(18,17),0.922772 # DEPENDENCYPART_ARC
(18,19),-0.16345 # DEPENDENCYPART_ARC
(18,20),-0.207435 # DEPENDENCYPART_ARC
(18,21),-0.907941 # DEPENDENCYPART_ARC
(18,22),-1.10422 # DEPENDENCYPART_ARC
(18,23),-1.02835 # DEPENDENCYPART_ARC
(18,24),-1.18899 # DEPENDENCYPART_ARC
(18,25),-0.634806 # DEPENDENCYPART_ARC
(18,26),-1.20292 # DEPENDENCYPART_ARC
(18,27),-1.46059 # DEPENDENCYPART_ARC
(18,28),0.429147 # DEPENDENCYPART_ARC
(19,1),0.543678 # DEPENDENCYPART_ARC
(19,2),-1.50804 # DEPENDENCYPART_ARC
(19,3),-0.873934 # DEPENDENCYPART_ARC
(19,4),-1.5544 # DEPENDENCYPART_ARC
(19,5),-1.64884 # DEPENDENCYPART_ARC
(19,6),0.498883 # DEPENDENCYPART_ARC
(19,7),-1.20716 # DEPENDENCYPART_ARC
(19,8),-1.47145 # DEPENDENCYPART_ARC
(19,9),-0.108428 # DEPENDENCYPART_ARC
(19,10),-0.512612 # DEPENDENCYPART_ARC
(19,11),0.0326872 # DEPENDENCYPART_ARC
(19,12),0.603698 # DEPENDENCYPART_ARC
(19,13),0.959267 # DEPENDENCYPART_ARC
(19,14),1.06225 # DEPENDENCYPART_ARC
(19,15),-0.483469 # DEPENDENCYPART_ARC
(19,16),2.16413 # DEPENDENCYPART_ARC
(19,17),1.90154 # DEPENDENCYPART_ARC
(19,18),2.32339 # DEPENDENCYPART_ARC
(19,20),1.85535 # DEPENDENCYPART_ARC
(19,21),1.01113 # DEPENDENCYPART_ARC
(19,22),-0.47836 # DEPENDENCYPART_ARC
(19,23),-0.716708 # DEPENDENCYPART_ARC
(19,24),-0.731341 # DEPENDENCYPART_ARC
(19,25),1.30853 # DEPENDENCYPART_ARC
(19,26),-0.820351 # DEPENDENCYPART_ARC
(19,27),-0.10264 # DEPENDENCYPART_ARC
(19,28),1.98792 # DEPENDENCYPART_ARC
(21,3),-0.600282 # DEPENDENCYPART_ARC
(21,4),-0.8081 # DEPENDENCYPART_ARC
(21,6),-0.940935 # DEPENDENCYPART_ARC
(21,8),-0.693108 # DEPENDENCYPART_ARC
(21,9),-0.779759 # DEPENDENCYPART_ARC
(21,10),-0.27096 # DEPENDENCYPART_ARC
(21,12),-0.330002 # DEPENDENCYPART_ARC
(21,16),-0.381817 # DEPENDENCYPART_ARC
(21,18),0.111496 # DEPENDENCYPART_ARC
(21,19),0.171331 # DEPENDENCYPART_ARC
(21,20),0.257121 # DEPENDENCYPART_ARC
(21,24),-0.0233177 # DEPENDENCYPART_ARC
(21,25),0.297986 # DEPENDENCYPART_ARC
(21,27),-0.458314 # DEPENDENCYPART_ARC
(21,28),0.343708 # DEPENDENCYPART_ARC
(22,3),-4.19093 # DEPENDENCYPART_ARC
(22,5),-2.72107 # DEPENDENCYPART_ARC
(22,6),-4.62119 # DEPENDENCYPART_ARC
(22,9),-3.94346 # DEPENDENCYPART_ARC
(22,12),-1.9392 # DEPENDENCYPART_ARC
(22,13),-2.16933 # DEPENDENCYPART_ARC
(22,15),-2.5255 # DEPENDENCYPART_ARC
(22,16),-3.44552 # DEPENDENCYPART_ARC
(22,20),-1.56804 # DEPENDENCYPART_ARC
