# _root_ A Dohány_utca_44. elé a következő rontásűző szöveget javaslom : " Hungária_fürdő , étterem , színház .
#goldHeads=2,3,8,7,7,7,8,0,8,8,8,8,8,8,8,8,
#predictedHeads=2,3,8,7,7,7,8,0,8,11,13,13,15,15,3,8,
(2,14),-0.733763 # DEPENDENCYPART_ARC
(2,15),-1.427 # DEPENDENCYPART_ARC
(2,16),-0.261242 # DEPENDENCYPART_ARC
(3,1),1.02289 # DEPENDENCYPART_ARC
(3,2),2.00117 # DEPENDENCYPART_ARC
(3,4),0.136469 # DEPENDENCYPART_ARC
(3,5),0.170531 # DEPENDENCYPART_ARC
(3,6),0.0728785 # DEPENDENCYPART_ARC
(3,7),0.0476471 # DEPENDENCYPART_ARC
(3,8),0.123339 # DEPENDENCYPART_ARC
(3,9),0.350232 # DEPENDENCYPART_ARC
(3,10),0.371108 # DEPENDENCYPART_ARC
(3,11),-0.496347 # DEPENDENCYPART_ARC
(3,12),0.330147 # DEPENDENCYPART_ARC
(3,13),-0.592941 # DEPENDENCYPART_ARC
(3,14),0.218368 # DEPENDENCYPART_ARC
(3,15),-1.06013 # DEPENDENCYPART_ARC
(3,16),0.720224 # DEPENDENCYPART_ARC
(4,1),-0.436231 # DEPENDENCYPART_ARC
(4,2),-0.326267 # DEPENDENCYPART_ARC
(4,3),0.104461 # DEPENDENCYPART_ARC
(4,5),0.52 # DEPENDENCYPART_ARC
(4,6),0.281338 # DEPENDENCYPART_ARC
(4,7),-0.871259 # DEPENDENCYPART_ARC
(4,8),-0.802482 # DEPENDENCYPART_ARC
(4,9),-0.292436 # DEPENDENCYPART_ARC
(4,10),-0.200034 # DEPENDENCYPART_ARC
(4,11),-1.1639 # DEPENDENCYPART_ARC
(4,12),-0.331388 # DEPENDENCYPART_ARC
(4,13),-1.33813 # DEPENDENCYPART_ARC
(4,14),-0.351327 # DEPENDENCYPART_ARC
(4,15),-1.56246 # DEPENDENCYPART_ARC
(4,16),-1.62515 # DEPENDENCYPART_ARC
(5,1),-0.997744 # DEPENDENCYPART_ARC
(5,2),-0.490838 # DEPENDENCYPART_ARC
(5,3),-0.175363 # DEPENDENCYPART_ARC
(5,4),0.664676 # DEPENDENCYPART_ARC
(5,6),-0.639474 # DEPENDENCYPART_ARC
(5,7),-0.901955 # DEPENDENCYPART_ARC
(5,8),-0.579742 # DEPENDENCYPART_ARC
(5,9),-0.398302 # DEPENDENCYPART_ARC
(5,10),-0.522798 # DEPENDENCYPART_ARC
(5,11),-1.4925 # DEPENDENCYPART_ARC
(5,12),-0.638721 # DEPENDENCYPART_ARC
(5,13),-1.55572 # DEPENDENCYPART_ARC
(5,14),-0.787519 # DEPENDENCYPART_ARC
(5,15),-1.90366 # DEPENDENCYPART_ARC
(5,16),-0.364433 # DEPENDENCYPART_ARC
(6,1),-0.443386 # DEPENDENCYPART_ARC
(6,2),0.112899 # DEPENDENCYPART_ARC
(6,3),0.478191 # DEPENDENCYPART_ARC
(6,4),0.611843 # DEPENDENCYPART_ARC
(6,5),2.00503 # DEPENDENCYPART_ARC
(6,7),-0.973069 # DEPENDENCYPART_ARC
(6,8),-0.666354 # DEPENDENCYPART_ARC
(6,9),-0.493304 # DEPENDENCYPART_ARC
(6,10),-0.576281 # DEPENDENCYPART_ARC
(6,11),-1.52316 # DEPENDENCYPART_ARC
(6,12),-0.716129 # DEPENDENCYPART_ARC
(6,13),-1.72545 # DEPENDENCYPART_ARC
(6,14),-0.888904 # DEPENDENCYPART_ARC
(6,15),-2.14343 # DEPENDENCYPART_ARC
(6,16),-0.560231 # DEPENDENCYPART_ARC
(7,1),1.07573 # DEPENDENCYPART_ARC
(7,2),0.973109 # DEPENDENCYPART_ARC
(7,3),0.594107 # DEPENDENCYPART_ARC
(7,4),2.24475 # DEPENDENCYPART_ARC
(7,5),2.91757 # DEPENDENCYPART_ARC
(7,6),3.87041 # DEPENDENCYPART_ARC
(7,8),-0.767052 # DEPENDENCYPART_ARC
(7,9),-0.559606 # DEPENDENCYPART_ARC
(7,10),0.210087 # DEPENDENCYPART_ARC
(7,11),-1.26313 # DEPENDENCYPART_ARC
(7,12),-0.471119 # DEPENDENCYPART_ARC
(7,13),-1.75415 # DEPENDENCYPART_ARC
(7,14),-0.419283 # DEPENDENCYPART_ARC
(7,15),-2.11385 # DEPENDENCYPART_ARC
(7,16),0.0267943 # DEPENDENCYPART_ARC
(8,1),-0.0618439 # DEPENDENCYPART_ARC
(8,2),1.35836 # DEPENDENCYPART_ARC
(8,3),2.69128 # DEPENDENCYPART_ARC
(8,4),0.0740643 # DEPENDENCYPART_ARC
(8,5),0.143675 # DEPENDENCYPART_ARC
(8,6),0.682367 # DEPENDENCYPART_ARC
(8,7),4.4512 # DEPENDENCYPART_ARC
(8,9),2.14364 # DEPENDENCYPART_ARC
(8,10),1.42052 # DEPENDENCYPART_ARC
(8,11),-0.203856 # DEPENDENCYPART_ARC
(8,12),0.77471 # DEPENDENCYPART_ARC
(8,13),-0.209014 # DEPENDENCYPART_ARC
(8,14),0.41294 # DEPENDENCYPART_ARC
(8,15),-1.16174 # DEPENDENCYPART_ARC
(8,16),2.31177 # DEPENDENCYPART_ARC
(9,1),-1.85206 # DEPENDENCYPART_ARC
(9,2),-1.83501 # DEPENDENCYPART_ARC
(9,3),-1.78121 # DEPENDENCYPART_ARC
(9,4),-1.78774 # DEPENDENCYPART_ARC
(9,5),-1.95664 # DEPENDENCYPART_ARC
(9,6),-1.76307 # DEPENDENCYPART_ARC
(9,7),-1.89445 # DEPENDENCYPART_ARC
(9,8),-0.579555 # DEPENDENCYPART_ARC
(9,10),-0.406513 # DEPENDENCYPART_ARC
(9,11),-1.0353 # DEPENDENCYPART_ARC
(9,12),-0.63814 # DEPENDENCYPART_ARC
(9,13),-1.54299 # DEPENDENCYPART_ARC
(9,14),-0.837402 # DEPENDENCYPART_ARC
(9,15),-1.88955 # DEPENDENCYPART_ARC
(9,16),-1.10716 # DEPENDENCYPART_ARC
(10,1),-2.45772 # DEPENDENCYPART_ARC
(10,2),-2.44497 # DEPENDENCYPART_ARC
(10,3),-2.41648 # DEPENDENCYPART_ARC
(10,4),-2.30418 # DEPENDENCYPART_ARC
(10,5),-2.6932 # DEPENDENCYPART_ARC
(10,6),-2.54799 # DEPENDENCYPART_ARC
(10,7),-2.71843 # DEPENDENCYPART_ARC
(10,8),-1.7873 # DEPENDENCYPART_ARC
(10,9),-1.0824 # DEPENDENCYPART_ARC
(10,11),-1.19482 # DEPENDENCYPART_ARC
(10,12),-0.926038 # DEPENDENCYPART_ARC
(10,13),-1.79891 # DEPENDENCYPART_ARC
(10,14),-1.0582 # DEPENDENCYPART_ARC
(10,15),-2.06272 # DEPENDENCYPART_ARC
(10,16),-1.29131 # DEPENDENCYPART_ARC
(11,1),-0.497993 # DEPENDENCYPART_ARC
(11,2),-0.104881 # DEPENDENCYPART_ARC
(11,3),-0.270211 # DEPENDENCYPART_ARC
(11,4),0.358456 # DEPENDENCYPART_ARC
(11,5),-0.306212 # DEPENDENCYPART_ARC
(11,6),-0.30206 # DEPENDENCYPART_ARC
(11,7),-2.58228 # DEPENDENCYPART_ARC
(11,8),-0.0497344 # DEPENDENCYPART_ARC
(11,9),0.262253 # DEPENDENCYPART_ARC
(11,10),1.44519 # DEPENDENCYPART_ARC
(11,12),0.495382 # DEPENDENCYPART_ARC
(11,13),0.0350038 # DEPENDENCYPART_ARC
(11,14),0.21549 # DEPENDENCYPART_ARC
(11,15),-0.489923 # DEPENDENCYPART_ARC
(11,16),0.0855478 # DEPENDENCYPART_ARC
(12,1),-2.26378 # DEPENDENCYPART_ARC
(12,2),-2.27306 # DEPENDENCYPART_ARC
(12,3),-2.26884 # DEPENDENCYPART_ARC
(12,4),-2.18067 # DEPENDENCYPART_ARC
(12,5),-2.56691 # DEPENDENCYPART_ARC
(12,6),-2.49735 # DEPENDENCYPART_ARC
(12,7),-2.96764 # DEPENDENCYPART_ARC
(12,8),-1.98931 # DEPENDENCYPART_ARC
(12,9),-1.4097 # DEPENDENCYPART_ARC
(12,10),-1.52228 # DEPENDENCYPART_ARC
(12,11),-1.68029 # DEPENDENCYPART_ARC
(12,13),-1.62337 # DEPENDENCYPART_ARC
(12,14),-1.26534 # DEPENDENCYPART_ARC
(12,15),-2.31417 # DEPENDENCYPART_ARC
(12,16),-1.63232 # DEPENDENCYPART_ARC
(13,1),-0.394461 # DEPENDENCYPART_ARC
(13,2),-0.280378 # DEPENDENCYPART_ARC
(13,3),-0.530224 # DEPENDENCYPART_ARC
(13,4),0.385162 # DEPENDENCYPART_ARC
(13,5),0.147723 # DEPENDENCYPART_ARC
(13,6),0.0176329 # DEPENDENCYPART_ARC
(13,7),-2.9362 # DEPENDENCYPART_ARC
(13,8),-0.832127 # DEPENDENCYPART_ARC
(13,9),-0.0310885 # DEPENDENCYPART_ARC
(13,10),0.664642 # DEPENDENCYPART_ARC
(13,11),2.22846 # DEPENDENCYPART_ARC
(13,12),1.01044 # DEPENDENCYPART_ARC
(13,14),0.571726 # DEPENDENCYPART_ARC
(13,15),-0.362636 # DEPENDENCYPART_ARC
(13,16),0.247381 # DEPENDENCYPART_ARC
(14,1),-2.35675 # DEPENDENCYPART_ARC
(14,2),-2.37369 # DEPENDENCYPART_ARC
(14,3),-2.42385 # DEPENDENCYPART_ARC
(14,4),-2.32056 # DEPENDENCYPART_ARC
(14,5),-2.71679 # DEPENDENCYPART_ARC
(14,6),-2.67789 # DEPENDENCYPART_ARC
(14,7),-3.1987 # DEPENDENCYPART_ARC
(14,8),-2.25507 # DEPENDENCYPART_ARC
(14,9),-1.8223 # DEPENDENCYPART_ARC
(14,10),-1.68194 # DEPENDENCYPART_ARC
(14,11),-2.65095 # DEPENDENCYPART_ARC
(14,12),-1.58505 # DEPENDENCYPART_ARC
(14,13),-1.7494 # DEPENDENCYPART_ARC
(14,15),-1.72214 # DEPENDENCYPART_ARC
(14,16),-1.60689 # DEPENDENCYPART_ARC
(15,1),-0.365443 # DEPENDENCYPART_ARC
(15,2),-0.0172345 # DEPENDENCYPART_ARC
(15,3),-0.556156 # DEPENDENCYPART_ARC
(15,4),0.212423 # DEPENDENCYPART_ARC
(15,5),0.267843 # DEPENDENCYPART_ARC
(15,6),-0.00430207 # DEPENDENCYPART_ARC
(15,7),-2.82752 # DEPENDENCYPART_ARC
(15,8),-0.948288 # DEPENDENCYPART_ARC
(15,9),0.0970102 # DEPENDENCYPART_ARC
(15,10),0.187461 # DEPENDENCYPART_ARC
(15,11),1.73811 # DEPENDENCYPART_ARC
(15,12),0.834122 # DEPENDENCYPART_ARC
(15,13),1.56449 # DEPENDENCYPART_ARC
(15,14),0.983134 # DEPENDENCYPART_ARC
(15,16),0.310796 # DEPENDENCYPART_ARC
(16,1),-3.06954 # DEPENDENCYPART_ARC
(16,2),-2.93574 # DEPENDENCYPART_ARC
(16,3),-2.95324 # DEPENDENCYPART_ARC
(16,4),-2.9517 # DEPENDENCYPART_ARC
(16,5),-3.21616 # DEPENDENCYPART_ARC
(16,6),-3.20362 # DEPENDENCYPART_ARC
(16,7),-3.90567 # DEPENDENCYPART_ARC
(16,8),-2.80788 # DEPENDENCYPART_ARC
(16,9),-2.25938 # DEPENDENCYPART_ARC
(16,10),-2.18662 # DEPENDENCYPART_ARC
(16,11),-3.38121 # DEPENDENCYPART_ARC
(16,12),-2.16674 # DEPENDENCYPART_ARC
(16,13),-3.03299 # DEPENDENCYPART_ARC
(16,14),-2.07386 # DEPENDENCYPART_ARC
(16,15),-2.37973 # DEPENDENCYPART_ARC
