# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,20,21,22,4,4,
(1,22),-1.12523 # DEPENDENCYPART_ARC
(1,23),0.285839 # DEPENDENCYPART_ARC
(2,1),-0.325746 # DEPENDENCYPART_ARC
(2,3),-0.31292 # DEPENDENCYPART_ARC
(2,4),-0.0473011 # DEPENDENCYPART_ARC
(2,5),-0.583861 # DEPENDENCYPART_ARC
(2,6),-0.848319 # DEPENDENCYPART_ARC
(2,7),-1.03057 # DEPENDENCYPART_ARC
(2,8),-0.728152 # DEPENDENCYPART_ARC
(2,9),-0.320435 # DEPENDENCYPART_ARC
(2,10),-1.3828 # DEPENDENCYPART_ARC
(2,11),-1.09641 # DEPENDENCYPART_ARC
(2,12),-0.0191924 # DEPENDENCYPART_ARC
(2,13),-1.13791 # DEPENDENCYPART_ARC
(2,14),-0.699752 # DEPENDENCYPART_ARC
(2,15),-1.67528 # DEPENDENCYPART_ARC
(2,16),-0.650937 # DEPENDENCYPART_ARC
(2,17),-0.64342 # DEPENDENCYPART_ARC
(2,18),-1.43046 # DEPENDENCYPART_ARC
(2,19),-2.13558 # DEPENDENCYPART_ARC
(2,20),-1.63215 # DEPENDENCYPART_ARC
(2,21),-2.19968 # DEPENDENCYPART_ARC
(2,22),-0.83194 # DEPENDENCYPART_ARC
(2,23),0.141345 # DEPENDENCYPART_ARC
(3,1),-0.0859917 # DEPENDENCYPART_ARC
(3,2),0.773808 # DEPENDENCYPART_ARC
(3,4),0.22581 # DEPENDENCYPART_ARC
(3,7),-0.854859 # DEPENDENCYPART_ARC
(3,8),-0.63827 # DEPENDENCYPART_ARC
(3,9),-0.359502 # DEPENDENCYPART_ARC
(3,10),-1.36452 # DEPENDENCYPART_ARC
(3,11),-1.14602 # DEPENDENCYPART_ARC
(3,12),-0.380329 # DEPENDENCYPART_ARC
(3,13),-1.15875 # DEPENDENCYPART_ARC
(3,14),-0.594179 # DEPENDENCYPART_ARC
(3,15),-1.74957 # DEPENDENCYPART_ARC
(3,16),-0.557418 # DEPENDENCYPART_ARC
(3,17),-0.83959 # DEPENDENCYPART_ARC
(3,19),-2.18977 # DEPENDENCYPART_ARC
(3,20),-1.65947 # DEPENDENCYPART_ARC
(3,21),-2.23873 # DEPENDENCYPART_ARC
(3,22),-0.988301 # DEPENDENCYPART_ARC
(3,23),-0.193569 # DEPENDENCYPART_ARC
(4,1),0.905446 # DEPENDENCYPART_ARC
(4,2),2.16946 # DEPENDENCYPART_ARC
(4,3),2.47216 # DEPENDENCYPART_ARC
(4,5),3.57162 # DEPENDENCYPART_ARC
(4,6),0.842915 # DEPENDENCYPART_ARC
(4,7),1.75134 # DEPENDENCYPART_ARC
(4,8),0.923266 # DEPENDENCYPART_ARC
(4,9),2.28145 # DEPENDENCYPART_ARC
(4,10),1.09361 # DEPENDENCYPART_ARC
(4,11),0.0467881 # DEPENDENCYPART_ARC
(4,12),1.54066 # DEPENDENCYPART_ARC
(4,13),0.316327 # DEPENDENCYPART_ARC
(4,14),0.878962 # DEPENDENCYPART_ARC
(4,15),2.57461 # DEPENDENCYPART_ARC
(4,16),0.886524 # DEPENDENCYPART_ARC
(4,17),2.09333 # DEPENDENCYPART_ARC
(4,18),-0.946854 # DEPENDENCYPART_ARC
(4,19),-0.939047 # DEPENDENCYPART_ARC
(4,20),-0.356679 # DEPENDENCYPART_ARC
(4,21),-0.481382 # DEPENDENCYPART_ARC
(4,22),2.54803 # DEPENDENCYPART_ARC
(4,23),2.06539 # DEPENDENCYPART_ARC
(5,1),-0.0314981 # DEPENDENCYPART_ARC
(5,2),0.341826 # DEPENDENCYPART_ARC
(5,4),0.288531 # DEPENDENCYPART_ARC
(5,7),-0.181256 # DEPENDENCYPART_ARC
(5,8),-0.539171 # DEPENDENCYPART_ARC
(5,9),-0.41774 # DEPENDENCYPART_ARC
(5,10),-0.777327 # DEPENDENCYPART_ARC
(5,11),-1.11427 # DEPENDENCYPART_ARC
(5,12),-0.285639 # DEPENDENCYPART_ARC
(5,13),-1.21693 # DEPENDENCYPART_ARC
(5,14),-0.541279 # DEPENDENCYPART_ARC
(5,15),-1.06268 # DEPENDENCYPART_ARC
(5,16),-0.484064 # DEPENDENCYPART_ARC
(5,17),-0.848938 # DEPENDENCYPART_ARC
(5,18),-1.42615 # DEPENDENCYPART_ARC
(5,19),-1.86271 # DEPENDENCYPART_ARC
(5,20),-1.70535 # DEPENDENCYPART_ARC
(5,21),-1.83127 # DEPENDENCYPART_ARC
(5,22),-0.827806 # DEPENDENCYPART_ARC
(5,23),-0.113503 # DEPENDENCYPART_ARC
(6,7),-0.492169 # DEPENDENCYPART_ARC
(6,8),-0.238613 # DEPENDENCYPART_ARC
(6,9),-0.316049 # DEPENDENCYPART_ARC
(6,10),-1.30419 # DEPENDENCYPART_ARC
(6,11),-0.835998 # DEPENDENCYPART_ARC
(6,12),-0.91816 # DEPENDENCYPART_ARC
(6,13),-1.21927 # DEPENDENCYPART_ARC
(6,14),-0.498711 # DEPENDENCYPART_ARC
(6,15),-1.90634 # DEPENDENCYPART_ARC
(6,16),-0.615972 # DEPENDENCYPART_ARC
(6,17),-0.821549 # DEPENDENCYPART_ARC
(6,19),-2.26842 # DEPENDENCYPART_ARC
(6,20),-1.83509 # DEPENDENCYPART_ARC
(6,21),-2.33621 # DEPENDENCYPART_ARC
(7,1),-1.93261 # DEPENDENCYPART_ARC
(7,2),-1.33617 # DEPENDENCYPART_ARC
(7,3),-1.12457 # DEPENDENCYPART_ARC
(7,4),-1.03337 # DEPENDENCYPART_ARC
(7,5),-0.505943 # DEPENDENCYPART_ARC
(7,6),3.22712 # DEPENDENCYPART_ARC
(7,8),-0.90459 # DEPENDENCYPART_ARC
(7,9),-0.436749 # DEPENDENCYPART_ARC
(7,10),-1.29597 # DEPENDENCYPART_ARC
(7,11),-1.2645 # DEPENDENCYPART_ARC
(7,12),-0.964179 # DEPENDENCYPART_ARC
(7,13),-1.30097 # DEPENDENCYPART_ARC
(7,14),-0.358339 # DEPENDENCYPART_ARC
(7,15),-1.64218 # DEPENDENCYPART_ARC
(7,16),-0.439355 # DEPENDENCYPART_ARC
(7,17),-0.477318 # DEPENDENCYPART_ARC
(7,18),-2.20889 # DEPENDENCYPART_ARC
(7,19),-2.36733 # DEPENDENCYPART_ARC
(7,20),-1.71402 # DEPENDENCYPART_ARC
(7,21),-1.80173 # DEPENDENCYPART_ARC
(7,22),-1.221 # DEPENDENCYPART_ARC
(7,23),-0.0850852 # DEPENDENCYPART_ARC
(8,1),-0.154962 # DEPENDENCYPART_ARC
(8,2),-0.181869 # DEPENDENCYPART_ARC
(8,3),0.0036317 # DEPENDENCYPART_ARC
(8,4),-0.430769 # DEPENDENCYPART_ARC
(8,5),0.653519 # DEPENDENCYPART_ARC
(8,6),0.831658 # DEPENDENCYPART_ARC
(8,7),2.69695 # DEPENDENCYPART_ARC
(8,9),0.613987 # DEPENDENCYPART_ARC
(8,10),-0.205519 # DEPENDENCYPART_ARC
(8,11),-0.723545 # DEPENDENCYPART_ARC
(8,12),-0.643128 # DEPENDENCYPART_ARC
(8,13),-0.908343 # DEPENDENCYPART_ARC
(8,14),0.235766 # DEPENDENCYPART_ARC
(8,15),-2.04761 # DEPENDENCYPART_ARC
(8,16),-0.324765 # DEPENDENCYPART_ARC
(8,17),-0.435941 # DEPENDENCYPART_ARC
(8,18),-1.36647 # DEPENDENCYPART_ARC
(8,19),-1.49981 # DEPENDENCYPART_ARC
(8,20),-1.41187 # DEPENDENCYPART_ARC
(8,21),-2.00941 # DEPENDENCYPART_ARC
(8,22),-0.637733 # DEPENDENCYPART_ARC
(8,23),0.361668 # DEPENDENCYPART_ARC
(10,1),-1.06743 # DEPENDENCYPART_ARC
(10,2),-0.771548 # DEPENDENCYPART_ARC
(10,3),-0.596905 # DEPENDENCYPART_ARC
(10,4),-0.948902 # DEPENDENCYPART_ARC
(10,5),-0.358575 # DEPENDENCYPART_ARC
(10,6),1.659 # DEPENDENCYPART_ARC
(10,7),-0.813574 # DEPENDENCYPART_ARC
(10,8),1.13291 # DEPENDENCYPART_ARC
(10,9),0.906932 # DEPENDENCYPART_ARC
(10,11),-0.705798 # DEPENDENCYPART_ARC
(10,12),-0.532891 # DEPENDENCYPART_ARC
(10,13),-0.809451 # DEPENDENCYPART_ARC
(10,14),0.268235 # DEPENDENCYPART_ARC
(10,15),-0.948209 # DEPENDENCYPART_ARC
(10,16),0.49739 # DEPENDENCYPART_ARC
(10,17),-0.102987 # DEPENDENCYPART_ARC
(10,18),-1.78835 # DEPENDENCYPART_ARC
(10,19),-1.62948 # DEPENDENCYPART_ARC
(10,20),-1.36044 # DEPENDENCYPART_ARC
(10,21),-1.14429 # DEPENDENCYPART_ARC
(10,22),-0.229035 # DEPENDENCYPART_ARC
(10,23),0.270715 # DEPENDENCYPART_ARC
(11,1),-0.684118 # DEPENDENCYPART_ARC
(11,2),-0.597138 # DEPENDENCYPART_ARC
(11,3),-0.641162 # DEPENDENCYPART_ARC
(11,4),-1.10623 # DEPENDENCYPART_ARC
(11,5),-0.233537 # DEPENDENCYPART_ARC
(11,6),-0.353013 # DEPENDENCYPART_ARC
(11,7),0.786063 # DEPENDENCYPART_ARC
(11,8),-0.860608 # DEPENDENCYPART_ARC
(11,9),0.0716536 # DEPENDENCYPART_ARC
(11,10),1.83313 # DEPENDENCYPART_ARC
(11,12),-0.948898 # DEPENDENCYPART_ARC
(11,13),-1.03545 # DEPENDENCYPART_ARC
(11,14),-0.25117 # DEPENDENCYPART_ARC
(11,15),-2.05506 # DEPENDENCYPART_ARC
(11,16),-0.740614 # DEPENDENCYPART_ARC
(11,17),-0.827274 # DEPENDENCYPART_ARC
(11,18),-1.90553 # DEPENDENCYPART_ARC
(11,19),-1.71616 # DEPENDENCYPART_ARC
(11,20),-1.84674 # DEPENDENCYPART_ARC
(11,21),-2.15906 # DEPENDENCYPART_ARC
(11,22),-1.15903 # DEPENDENCYPART_ARC
(11,23),-0.346606 # DEPENDENCYPART_ARC
(12,1),-0.084068 # DEPENDENCYPART_ARC
(12,2),-0.763498 # DEPENDENCYPART_ARC
(12,3),-0.948244 # DEPENDENCYPART_ARC
(12,4),-0.427316 # DEPENDENCYPART_ARC
(12,6),-1.24204 # DEPENDENCYPART_ARC
(12,7),-0.354733 # DEPENDENCYPART_ARC
(12,8),-0.64008 # DEPENDENCYPART_ARC
(12,9),-0.44322 # DEPENDENCYPART_ARC
(12,10),-0.376251 # DEPENDENCYPART_ARC
(12,11),0.111966 # DEPENDENCYPART_ARC
(12,13),-0.375531 # DEPENDENCYPART_ARC
(12,14),-0.135971 # DEPENDENCYPART_ARC
(12,15),-0.582906 # DEPENDENCYPART_ARC
(12,16),-0.0930505 # DEPENDENCYPART_ARC
(12,17),-0.567319 # DEPENDENCYPART_ARC
(12,18),-1.29769 # DEPENDENCYPART_ARC
(12,19),-1.3953 # DEPENDENCYPART_ARC
(12,20),-0.837612 # DEPENDENCYPART_ARC
(12,21),-1.5602 # DEPENDENCYPART_ARC
(12,22),-0.814762 # DEPENDENCYPART_ARC
(12,23),-0.465609 # DEPENDENCYPART_ARC
(13,1),-0.255784 # DEPENDENCYPART_ARC
(13,2),0.0113919 # DEPENDENCYPART_ARC
(13,3),0.0140639 # DEPENDENCYPART_ARC
(13,4),-0.358293 # DEPENDENCYPART_ARC
(13,5),0.397261 # DEPENDENCYPART_ARC
(13,6),-0.0983699 # DEPENDENCYPART_ARC
(13,7),1.14203 # DEPENDENCYPART_ARC
(13,8),-0.0127465 # DEPENDENCYPART_ARC
(13,9),0.952231 # DEPENDENCYPART_ARC
(13,10),1.44903 # DEPENDENCYPART_ARC
(13,11),0.89953 # DEPENDENCYPART_ARC
(13,12),1.69143 # DEPENDENCYPART_ARC
(13,14),0.946105 # DEPENDENCYPART_ARC
(13,15),-0.747399 # DEPENDENCYPART_ARC
(13,16),0.32994 # DEPENDENCYPART_ARC
(13,17),0.0227279 # DEPENDENCYPART_ARC
(13,18),-1.04523 # DEPENDENCYPART_ARC
(13,19),-0.704503 # DEPENDENCYPART_ARC
(13,20),-0.855157 # DEPENDENCYPART_ARC
(13,21),-1.22308 # DEPENDENCYPART_ARC
(13,22),-0.1363 # DEPENDENCYPART_ARC
(13,23),0.676245 # DEPENDENCYPART_ARC
(15,1),-0.366765 # DEPENDENCYPART_ARC
(15,2),-0.383515 # DEPENDENCYPART_ARC
(15,3),-0.173275 # DEPENDENCYPART_ARC
(15,4),-0.719126 # DEPENDENCYPART_ARC
(15,5),0.00539431 # DEPENDENCYPART_ARC
(15,6),1.84605 # DEPENDENCYPART_ARC
(15,7),-0.294259 # DEPENDENCYPART_ARC
(15,8),1.393 # DEPENDENCYPART_ARC
(15,9),1.82293 # DEPENDENCYPART_ARC
(15,10),0.297056 # DEPENDENCYPART_ARC
(15,11),1.87233 # DEPENDENCYPART_ARC
(15,12),2.0419 # DEPENDENCYPART_ARC
(15,13),2.37635 # DEPENDENCYPART_ARC
(15,14),2.76567 # DEPENDENCYPART_ARC
(15,16),1.9098 # DEPENDENCYPART_ARC
(15,17),0.237384 # DEPENDENCYPART_ARC
(15,18),-1.02902 # DEPENDENCYPART_ARC
(15,19),-1.12798 # DEPENDENCYPART_ARC
(15,20),-0.459308 # DEPENDENCYPART_ARC
(15,21),-0.173118 # DEPENDENCYPART_ARC
(15,22),-0.0692069 # DEPENDENCYPART_ARC
(15,23),0.703231 # DEPENDENCYPART_ARC
(18,7),-0.936326 # DEPENDENCYPART_ARC
(18,8),-0.989305 # DEPENDENCYPART_ARC
(18,10),-1.05028 # DEPENDENCYPART_ARC
(18,11),-0.8776 # DEPENDENCYPART_ARC
(18,12),0.329321 # DEPENDENCYPART_ARC
(18,13),-0.930293 # DEPENDENCYPART_ARC
(18,15),-1.24495 # DEPENDENCYPART_ARC
(18,19),-0.209316 # DEPENDENCYPART_ARC
(18,20),-0.716717 # DEPENDENCYPART_ARC
(18,21),-1.09377 # DEPENDENCYPART_ARC
(19,1),-2.37187 # DEPENDENCYPART_ARC
(19,2),-2.19326 # DEPENDENCYPART_ARC
(19,3),-1.97777 # DEPENDENCYPART_ARC
(19,4),-2.35203 # DEPENDENCYPART_ARC
(19,5),-1.9466 # DEPENDENCYPART_ARC
(19,6),0.102578 # DEPENDENCYPART_ARC
(19,7),-2.42426 # DEPENDENCYPART_ARC
(19,8),-0.814555 # DEPENDENCYPART_ARC
(19,9),-0.54202 # DEPENDENCYPART_ARC
(19,10),-2.76895 # DEPENDENCYPART_ARC
(19,11),-0.34976 # DEPENDENCYPART_ARC
(19,12),-0.237124 # DEPENDENCYPART_ARC
(19,13),-0.997299 # DEPENDENCYPART_ARC
(19,14),-0.387354 # DEPENDENCYPART_ARC
(19,15),-4.13675 # DEPENDENCYPART_ARC
(19,16),-0.15816 # DEPENDENCYPART_ARC
(19,17),-0.726181 # DEPENDENCYPART_ARC
(19,18),1.78187 # DEPENDENCYPART_ARC
(19,20),-1.01401 # DEPENDENCYPART_ARC
(19,21),-0.465382 # DEPENDENCYPART_ARC
(19,22),-0.136891 # DEPENDENCYPART_ARC
(19,23),-0.443665 # DEPENDENCYPART_ARC
(20,1),-0.825947 # DEPENDENCYPART_ARC
(20,2),-0.634039 # DEPENDENCYPART_ARC
(20,3),-0.791682 # DEPENDENCYPART_ARC
(20,4),-1.14231 # DEPENDENCYPART_ARC
(20,5),-0.62611 # DEPENDENCYPART_ARC
(20,6),-0.99453 # DEPENDENCYPART_ARC
(20,7),0.30299 # DEPENDENCYPART_ARC
(20,8),-1.67324 # DEPENDENCYPART_ARC
(20,9),-0.333586 # DEPENDENCYPART_ARC
(20,10),0.199847 # DEPENDENCYPART_ARC
(20,11),-1.38762 # DEPENDENCYPART_ARC
(20,12),-0.133371 # DEPENDENCYPART_ARC
(20,13),-1.13529 # DEPENDENCYPART_ARC
(20,14),0.0182837 # DEPENDENCYPART_ARC
(20,15),-0.379505 # DEPENDENCYPART_ARC
(20,16),0.0915407 # DEPENDENCYPART_ARC
(20,17),-0.0316937 # DEPENDENCYPART_ARC
(20,18),0.131046 # DEPENDENCYPART_ARC
(20,19),2.4057 # DEPENDENCYPART_ARC
(20,21),-0.758527 # DEPENDENCYPART_ARC
(20,22),-0.689844 # DEPENDENCYPART_ARC
(20,23),-0.708079 # DEPENDENCYPART_ARC
(21,1),-1.10343 # DEPENDENCYPART_ARC
(21,2),-1.08874 # DEPENDENCYPART_ARC
(21,3),-0.791501 # DEPENDENCYPART_ARC
(21,4),-1.53043 # DEPENDENCYPART_ARC
(21,5),-0.848702 # DEPENDENCYPART_ARC
(21,6),0.693534 # DEPENDENCYPART_ARC
(21,7),-1.49393 # DEPENDENCYPART_ARC
(21,8),1.12466 # DEPENDENCYPART_ARC
(21,9),1.17885 # DEPENDENCYPART_ARC
(21,10),-1.49851 # DEPENDENCYPART_ARC
(21,11),1.05537 # DEPENDENCYPART_ARC
(21,12),1.21261 # DEPENDENCYPART_ARC
(21,13),0.887315 # DEPENDENCYPART_ARC
(21,14),1.08498 # DEPENDENCYPART_ARC
(21,15),-2.64498 # DEPENDENCYPART_ARC
(21,16),-0.0391335 # DEPENDENCYPART_ARC
(21,17),0.237669 # DEPENDENCYPART_ARC
(21,18),0.533546 # DEPENDENCYPART_ARC
(21,19),-0.0648916 # DEPENDENCYPART_ARC
(21,20),3.35449 # DEPENDENCYPART_ARC
(21,22),-1.04061 # DEPENDENCYPART_ARC
(21,23),-0.951076 # DEPENDENCYPART_ARC
(22,1),-0.451256 # DEPENDENCYPART_ARC
(22,2),0.0915774 # DEPENDENCYPART_ARC
(22,3),-0.963075 # DEPENDENCYPART_ARC
(22,4),-0.302455 # DEPENDENCYPART_ARC
(22,5),0.274009 # DEPENDENCYPART_ARC
(22,6),-0.854211 # DEPENDENCYPART_ARC
(22,7),-0.737223 # DEPENDENCYPART_ARC
(22,8),-1.22738 # DEPENDENCYPART_ARC
(22,9),0.17769 # DEPENDENCYPART_ARC
(22,10),0.240272 # DEPENDENCYPART_ARC
(22,11),-0.692574 # DEPENDENCYPART_ARC
(22,12),0.912754 # DEPENDENCYPART_ARC
(22,13),-0.838793 # DEPENDENCYPART_ARC
(22,14),0.381477 # DEPENDENCYPART_ARC
(22,15),-0.165003 # DEPENDENCYPART_ARC
(22,16),0.767994 # DEPENDENCYPART_ARC
(22,17),0.680238 # DEPENDENCYPART_ARC
(22,18),2.25074 # DEPENDENCYPART_ARC
(22,19),2.36022 # DEPENDENCYPART_ARC
(22,20),1.05057 # DEPENDENCYPART_ARC
(22,21),3.34004 # DEPENDENCYPART_ARC
(22,23),1.4305 # DEPENDENCYPART_ARC
