# _root_ E párt a gyakorlatban szigorúan hierarchikus rendet szab , még akkor is , ha hivatalos ideológiája — mint a kommunistáké — egalitárius .
#goldHeads=2,8,4,8,6,7,8,0,8,14,14,14,14,8,16,22,18,22,20,18,18,14,8,
#predictedHeads=2,8,4,8,8,7,8,0,8,18,14,18,16,8,16,18,18,8,20,22,22,18,14,
(11,14),-0.284182 # DEPENDENCYPART_ARC
(11,15),-0.738321 # DEPENDENCYPART_ARC
(11,16),-0.922476 # DEPENDENCYPART_ARC
(11,17),-0.276443 # DEPENDENCYPART_ARC
(11,18),-0.575968 # DEPENDENCYPART_ARC
(11,20),-1.60371 # DEPENDENCYPART_ARC
(11,21),-0.619327 # DEPENDENCYPART_ARC
(11,22),-1.71383 # DEPENDENCYPART_ARC
(11,23),0.25509 # DEPENDENCYPART_ARC
(12,1),-1.22518 # DEPENDENCYPART_ARC
(12,2),-1.15919 # DEPENDENCYPART_ARC
(12,3),-1.77555 # DEPENDENCYPART_ARC
(12,4),-1.16281 # DEPENDENCYPART_ARC
(12,5),-0.923385 # DEPENDENCYPART_ARC
(12,6),-1.15995 # DEPENDENCYPART_ARC
(12,7),-1.45837 # DEPENDENCYPART_ARC
(12,8),-0.390949 # DEPENDENCYPART_ARC
(12,9),0.289629 # DEPENDENCYPART_ARC
(12,10),0.244286 # DEPENDENCYPART_ARC
(12,11),0.381832 # DEPENDENCYPART_ARC
(12,13),0.38884 # DEPENDENCYPART_ARC
(12,14),-0.0528119 # DEPENDENCYPART_ARC
(12,15),-0.27584 # DEPENDENCYPART_ARC
(12,16),-0.28583 # DEPENDENCYPART_ARC
(12,17),-0.200092 # DEPENDENCYPART_ARC
(12,18),0.0514152 # DEPENDENCYPART_ARC
(12,19),-0.841708 # DEPENDENCYPART_ARC
(12,20),-0.776448 # DEPENDENCYPART_ARC
(12,21),-0.461402 # DEPENDENCYPART_ARC
(12,22),-0.772962 # DEPENDENCYPART_ARC
(12,23),0.886873 # DEPENDENCYPART_ARC
(14,1),0.0140944 # DEPENDENCYPART_ARC
(14,2),0.0174226 # DEPENDENCYPART_ARC
(14,3),-1.46841 # DEPENDENCYPART_ARC
(14,4),0.157367 # DEPENDENCYPART_ARC
(14,5),0.267924 # DEPENDENCYPART_ARC
(14,6),-0.0189749 # DEPENDENCYPART_ARC
(14,7),-0.554983 # DEPENDENCYPART_ARC
(14,8),-0.719432 # DEPENDENCYPART_ARC
(14,9),0.337372 # DEPENDENCYPART_ARC
(14,10),1.00481 # DEPENDENCYPART_ARC
(14,11),1.11551 # DEPENDENCYPART_ARC
(14,12),0.885174 # DEPENDENCYPART_ARC
(14,13),1.01244 # DEPENDENCYPART_ARC
(14,15),-0.150462 # DEPENDENCYPART_ARC
(14,16),-0.0181058 # DEPENDENCYPART_ARC
(14,17),0.0434092 # DEPENDENCYPART_ARC
(14,18),0.548109 # DEPENDENCYPART_ARC
(14,19),-1.02361 # DEPENDENCYPART_ARC
(14,20),-0.817767 # DEPENDENCYPART_ARC
(14,21),-0.167377 # DEPENDENCYPART_ARC
(14,22),-0.620409 # DEPENDENCYPART_ARC
(14,23),1.89146 # DEPENDENCYPART_ARC
(15,1),-3.05837 # DEPENDENCYPART_ARC
(15,2),-4.06084 # DEPENDENCYPART_ARC
(15,3),-2.91759 # DEPENDENCYPART_ARC
(15,4),-2.03271 # DEPENDENCYPART_ARC
(15,5),-2.00158 # DEPENDENCYPART_ARC
(15,6),-2.7194 # DEPENDENCYPART_ARC
(15,7),-2.80894 # DEPENDENCYPART_ARC
(15,8),-2.36043 # DEPENDENCYPART_ARC
(15,9),-1.47188 # DEPENDENCYPART_ARC
(15,10),-1.06264 # DEPENDENCYPART_ARC
(15,11),-1.03494 # DEPENDENCYPART_ARC
(15,12),-1.10592 # DEPENDENCYPART_ARC
(15,13),-0.981718 # DEPENDENCYPART_ARC
(15,14),-0.795603 # DEPENDENCYPART_ARC
(15,16),-1.02783 # DEPENDENCYPART_ARC
(15,17),-0.928035 # DEPENDENCYPART_ARC
(15,18),-1.5452 # DEPENDENCYPART_ARC
(15,19),-1.9537 # DEPENDENCYPART_ARC
(15,20),-2.01946 # DEPENDENCYPART_ARC
(15,21),-1.00005 # DEPENDENCYPART_ARC
(15,22),-2.24098 # DEPENDENCYPART_ARC
(15,23),-0.833329 # DEPENDENCYPART_ARC
(16,1),-0.631174 # DEPENDENCYPART_ARC
(16,2),-0.843074 # DEPENDENCYPART_ARC
(16,3),-0.554706 # DEPENDENCYPART_ARC
(16,4),-1.49 # DEPENDENCYPART_ARC
(16,5),-2.18306 # DEPENDENCYPART_ARC
(16,6),0.217499 # DEPENDENCYPART_ARC
(16,7),-2.72027 # DEPENDENCYPART_ARC
(16,8),-1.77955 # DEPENDENCYPART_ARC
(16,9),0.797122 # DEPENDENCYPART_ARC
(16,10),0.109982 # DEPENDENCYPART_ARC
(16,11),0.209233 # DEPENDENCYPART_ARC
(16,12),0.429247 # DEPENDENCYPART_ARC
(16,13),1.09487 # DEPENDENCYPART_ARC
(16,14),0.960007 # DEPENDENCYPART_ARC
(16,15),3.1559 # DEPENDENCYPART_ARC
(16,17),-0.189073 # DEPENDENCYPART_ARC
(16,18),-1.36131 # DEPENDENCYPART_ARC
(16,19),-1.37417 # DEPENDENCYPART_ARC
(16,20),-1.62972 # DEPENDENCYPART_ARC
(16,21),-0.343893 # DEPENDENCYPART_ARC
(16,22),-1.53184 # DEPENDENCYPART_ARC
(16,23),-0.265054 # DEPENDENCYPART_ARC
(18,1),-0.0245533 # DEPENDENCYPART_ARC
(18,2),-0.080131 # DEPENDENCYPART_ARC
(18,3),-1.54838 # DEPENDENCYPART_ARC
(18,4),0.0990119 # DEPENDENCYPART_ARC
(18,5),-0.128365 # DEPENDENCYPART_ARC
(18,6),-0.34351 # DEPENDENCYPART_ARC
(18,7),-0.35888 # DEPENDENCYPART_ARC
(18,8),-0.439925 # DEPENDENCYPART_ARC
(18,9),0.737668 # DEPENDENCYPART_ARC
(18,10),1.0529 # DEPENDENCYPART_ARC
(18,11),0.716414 # DEPENDENCYPART_ARC
(18,12),1.1847 # DEPENDENCYPART_ARC
(18,13),0.612374 # DEPENDENCYPART_ARC
(18,14),0.848126 # DEPENDENCYPART_ARC
(18,15),1.0331 # DEPENDENCYPART_ARC
(18,16),1.1784 # DEPENDENCYPART_ARC
(18,17),1.19962 # DEPENDENCYPART_ARC
(18,19),-0.437964 # DEPENDENCYPART_ARC
(18,20),0.567079 # DEPENDENCYPART_ARC
(18,21),0.718921 # DEPENDENCYPART_ARC
(18,22),0.11393 # DEPENDENCYPART_ARC
(18,23),1.19281 # DEPENDENCYPART_ARC
(19,2),-3.91099 # DEPENDENCYPART_ARC
(19,4),-3.83256 # DEPENDENCYPART_ARC
(19,5),-2.17923 # DEPENDENCYPART_ARC
(19,6),-2.0442 # DEPENDENCYPART_ARC
(19,7),-3.70106 # DEPENDENCYPART_ARC
(19,9),-1.22888 # DEPENDENCYPART_ARC
(19,12),-1.69736 # DEPENDENCYPART_ARC
(19,13),-1.08341 # DEPENDENCYPART_ARC
(19,15),-1.66855 # DEPENDENCYPART_ARC
(19,16),-3.2325 # DEPENDENCYPART_ARC
(19,17),-1.20062 # DEPENDENCYPART_ARC
(19,20),-0.967203 # DEPENDENCYPART_ARC
(19,21),-0.795803 # DEPENDENCYPART_ARC
(19,22),-1.10439 # DEPENDENCYPART_ARC
(20,1),-2.69067 # DEPENDENCYPART_ARC
(20,2),-3.76538 # DEPENDENCYPART_ARC
(20,3),-1.67897 # DEPENDENCYPART_ARC
(20,4),-3.38355 # DEPENDENCYPART_ARC
(20,5),-4.01161 # DEPENDENCYPART_ARC
(20,6),-1.79737 # DEPENDENCYPART_ARC
(20,7),-3.8464 # DEPENDENCYPART_ARC
(20,8),-3.44824 # DEPENDENCYPART_ARC
(20,9),-0.979559 # DEPENDENCYPART_ARC
(20,10),-1.60546 # DEPENDENCYPART_ARC
(20,11),-1.62956 # DEPENDENCYPART_ARC
(20,12),-1.69019 # DEPENDENCYPART_ARC
(20,13),-0.741665 # DEPENDENCYPART_ARC
(20,14),-1.35181 # DEPENDENCYPART_ARC
(20,15),-0.799179 # DEPENDENCYPART_ARC
(20,16),-1.73141 # DEPENDENCYPART_ARC
(20,17),-0.361268 # DEPENDENCYPART_ARC
(20,18),-0.71784 # DEPENDENCYPART_ARC
(20,19),3.31609 # DEPENDENCYPART_ARC
(20,21),0.0926636 # DEPENDENCYPART_ARC
(20,22),-0.698725 # DEPENDENCYPART_ARC
(20,23),-0.361463 # DEPENDENCYPART_ARC
(22,1),-1.30215 # DEPENDENCYPART_ARC
(22,2),-2.03456 # DEPENDENCYPART_ARC
(22,3),-1.30714 # DEPENDENCYPART_ARC
(22,4),-0.542899 # DEPENDENCYPART_ARC
(22,5),-0.508427 # DEPENDENCYPART_ARC
(22,6),-1.28032 # DEPENDENCYPART_ARC
(22,7),-1.25284 # DEPENDENCYPART_ARC
(22,8),-0.142736 # DEPENDENCYPART_ARC
(22,9),0.160983 # DEPENDENCYPART_ARC
(22,10),0.41741 # DEPENDENCYPART_ARC
(22,11),0.112283 # DEPENDENCYPART_ARC
(22,12),0.406988 # DEPENDENCYPART_ARC
(22,13),0.67762 # DEPENDENCYPART_ARC
(22,14),0.610298 # DEPENDENCYPART_ARC
(22,15),-0.289674 # DEPENDENCYPART_ARC
(22,16),-0.759122 # DEPENDENCYPART_ARC
(22,17),0.930529 # DEPENDENCYPART_ARC
(22,18),0.681425 # DEPENDENCYPART_ARC
(22,19),0.904097 # DEPENDENCYPART_ARC
(22,20),0.815976 # DEPENDENCYPART_ARC
(22,21),1.6035 # DEPENDENCYPART_ARC
(22,23),0.763183 # DEPENDENCYPART_ARC
