# _root_ És persze leellenőrizték a családot , körbenéztek a szomszédoknál , kik vagyunk .
#goldHeads=0,3,1,5,3,1,1,9,7,7,12,7,1,
#predictedHeads=3,3,0,5,3,3,3,9,7,7,12,7,3,
(6,1),-1.89619 # DEPENDENCYPART_ARC
(6,2),-1.77814 # DEPENDENCYPART_ARC
(6,3),-1.63999 # DEPENDENCYPART_ARC
(6,4),-1.01933 # DEPENDENCYPART_ARC
(6,5),-1.53508 # DEPENDENCYPART_ARC
(6,7),-0.90606 # DEPENDENCYPART_ARC
(6,8),-1.26936 # DEPENDENCYPART_ARC
(6,9),-1.89675 # DEPENDENCYPART_ARC
(6,10),-1.134 # DEPENDENCYPART_ARC
(6,11),-1.66932 # DEPENDENCYPART_ARC
(6,12),-1.47118 # DEPENDENCYPART_ARC
(6,13),-1.22771 # DEPENDENCYPART_ARC
(7,1),1.70137 # DEPENDENCYPART_ARC
(7,2),1.12529 # DEPENDENCYPART_ARC
(7,3),1.31277 # DEPENDENCYPART_ARC
(7,4),0.189325 # DEPENDENCYPART_ARC
(7,5),0.774244 # DEPENDENCYPART_ARC
(7,6),1.57542 # DEPENDENCYPART_ARC
(7,8),0.596636 # DEPENDENCYPART_ARC
(7,9),3.65855 # DEPENDENCYPART_ARC
(7,10),2.27178 # DEPENDENCYPART_ARC
(7,11),-0.12003 # DEPENDENCYPART_ARC
(7,12),1.70954 # DEPENDENCYPART_ARC
(7,13),2.66082 # DEPENDENCYPART_ARC
(8,1),-1.8367 # DEPENDENCYPART_ARC
(8,2),-2.08483 # DEPENDENCYPART_ARC
(8,3),-2.4252 # DEPENDENCYPART_ARC
(8,4),-1.73825 # DEPENDENCYPART_ARC
(8,5),-2.61661 # DEPENDENCYPART_ARC
(8,6),-1.58881 # DEPENDENCYPART_ARC
(8,7),-0.931224 # DEPENDENCYPART_ARC
(8,9),-0.327569 # DEPENDENCYPART_ARC
(8,10),-0.197066 # DEPENDENCYPART_ARC
(8,11),-0.865073 # DEPENDENCYPART_ARC
(8,12),-1.0697 # DEPENDENCYPART_ARC
(8,13),-1.21647 # DEPENDENCYPART_ARC
(9,1),-1.73549 # DEPENDENCYPART_ARC
(9,2),-1.4906 # DEPENDENCYPART_ARC
(9,3),-2.25671 # DEPENDENCYPART_ARC
(9,4),0.0415713 # DEPENDENCYPART_ARC
(9,5),-3.62851 # DEPENDENCYPART_ARC
(9,6),-1.28657 # DEPENDENCYPART_ARC
(9,7),-1.27357 # DEPENDENCYPART_ARC
(9,8),3.48066 # DEPENDENCYPART_ARC
(9,10),0.0972245 # DEPENDENCYPART_ARC
(9,11),-0.490363 # DEPENDENCYPART_ARC
(9,12),-0.000732116 # DEPENDENCYPART_ARC
(9,13),0.422772 # DEPENDENCYPART_ARC
(10,1),-2.14357 # DEPENDENCYPART_ARC
(10,2),-2.36088 # DEPENDENCYPART_ARC
(10,3),-2.52775 # DEPENDENCYPART_ARC
(10,4),-2.08431 # DEPENDENCYPART_ARC
(10,5),-3.18934 # DEPENDENCYPART_ARC
(10,6),-1.89659 # DEPENDENCYPART_ARC
(10,7),-1.79291 # DEPENDENCYPART_ARC
(10,8),-1.1776 # DEPENDENCYPART_ARC
(10,9),-1.78113 # DEPENDENCYPART_ARC
(10,11),-1.38082 # DEPENDENCYPART_ARC
(10,12),-1.33878 # DEPENDENCYPART_ARC
(10,13),-1.40706 # DEPENDENCYPART_ARC
(11,1),0.287878 # DEPENDENCYPART_ARC
(11,2),-0.168214 # DEPENDENCYPART_ARC
(11,3),0.32257 # DEPENDENCYPART_ARC
(11,4),0.0792177 # DEPENDENCYPART_ARC
(11,5),-1.26505 # DEPENDENCYPART_ARC
(11,6),-0.5274 # DEPENDENCYPART_ARC
(11,7),0.157102 # DEPENDENCYPART_ARC
(11,8),0.702896 # DEPENDENCYPART_ARC
(11,9),0.10394 # DEPENDENCYPART_ARC
(11,10),-0.0552205 # DEPENDENCYPART_ARC
(11,12),-0.570741 # DEPENDENCYPART_ARC
(11,13),-0.363487 # DEPENDENCYPART_ARC
(12,1),1.3106 # DEPENDENCYPART_ARC
(12,2),0.294308 # DEPENDENCYPART_ARC
(12,3),0.830968 # DEPENDENCYPART_ARC
(12,4),-0.667257 # DEPENDENCYPART_ARC
(12,5),-0.497692 # DEPENDENCYPART_ARC
(12,6),0.422464 # DEPENDENCYPART_ARC
(12,7),0.812894 # DEPENDENCYPART_ARC
(12,8),-0.102353 # DEPENDENCYPART_ARC
(12,9),1.11844 # DEPENDENCYPART_ARC
(12,10),1.29673 # DEPENDENCYPART_ARC
(12,11),3.79627 # DEPENDENCYPART_ARC
(12,13),1.56008 # DEPENDENCYPART_ARC
(13,1),-3.10822 # DEPENDENCYPART_ARC
(13,2),-3.27649 # DEPENDENCYPART_ARC
(13,3),-3.41333 # DEPENDENCYPART_ARC
(13,4),-3.13926 # DEPENDENCYPART_ARC
(13,5),-4.01632 # DEPENDENCYPART_ARC
(13,6),-2.80229 # DEPENDENCYPART_ARC
(13,7),-3.16398 # DEPENDENCYPART_ARC
(13,8),-2.95676 # DEPENDENCYPART_ARC
(13,9),-3.59588 # DEPENDENCYPART_ARC
(13,10),-2.44573 # DEPENDENCYPART_ARC
(13,11),-2.41466 # DEPENDENCYPART_ARC
(13,12),-1.62354 # DEPENDENCYPART_ARC
