# _root_ — Ha bármilyen módon tudomásunkra jutott , hogy egy elhunyt nem járul hozzá szervei átültetéséhez , eddig sem nyúltunk a tetemhez .
#goldHeads=19,19,4,6,6,19,6,6,10,12,12,6,12,15,12,19,19,19,0,21,19,19,
#predictedHeads=2,19,4,6,6,0,6,6,10,12,12,6,12,15,12,12,19,19,12,21,19,6,
(11,10),0.435294 # DEPENDENCYPART_ARC
(11,12),0.048599 # DEPENDENCYPART_ARC
(11,13),-0.521483 # DEPENDENCYPART_ARC
(11,14),-0.796915 # DEPENDENCYPART_ARC
(11,15),-0.546829 # DEPENDENCYPART_ARC
(11,16),-0.421571 # DEPENDENCYPART_ARC
(11,17),-0.718699 # DEPENDENCYPART_ARC
(11,18),-0.685634 # DEPENDENCYPART_ARC
(11,19),-1.02409 # DEPENDENCYPART_ARC
(11,20),-1.0935 # DEPENDENCYPART_ARC
(11,21),-1.2938 # DEPENDENCYPART_ARC
(11,22),-0.0763916 # DEPENDENCYPART_ARC
(12,1),0.875106 # DEPENDENCYPART_ARC
(12,2),0.959555 # DEPENDENCYPART_ARC
(12,3),-0.00137368 # DEPENDENCYPART_ARC
(12,4),0.999564 # DEPENDENCYPART_ARC
(12,5),1.51351 # DEPENDENCYPART_ARC
(12,6),0.121617 # DEPENDENCYPART_ARC
(12,7),1.04368 # DEPENDENCYPART_ARC
(12,8),0.600007 # DEPENDENCYPART_ARC
(12,9),0.488864 # DEPENDENCYPART_ARC
(12,10),3.0146 # DEPENDENCYPART_ARC
(12,11),3.52664 # DEPENDENCYPART_ARC
(12,13),2.83933 # DEPENDENCYPART_ARC
(12,14),2.34369 # DEPENDENCYPART_ARC
(12,15),3.06648 # DEPENDENCYPART_ARC
(12,16),1.78158 # DEPENDENCYPART_ARC
(12,17),0.65697 # DEPENDENCYPART_ARC
(12,18),0.92062 # DEPENDENCYPART_ARC
(12,19),1.88308 # DEPENDENCYPART_ARC
(12,20),-0.74345 # DEPENDENCYPART_ARC
(12,21),0.595839 # DEPENDENCYPART_ARC
(12,22),2.24111 # DEPENDENCYPART_ARC
(13,1),-0.463798 # DEPENDENCYPART_ARC
(13,2),-0.0177211 # DEPENDENCYPART_ARC
(13,3),-1.03413 # DEPENDENCYPART_ARC
(13,4),-0.826689 # DEPENDENCYPART_ARC
(13,5),-0.780912 # DEPENDENCYPART_ARC
(13,6),-0.705356 # DEPENDENCYPART_ARC
(13,7),-0.240776 # DEPENDENCYPART_ARC
(13,8),-0.432263 # DEPENDENCYPART_ARC
(13,9),-0.615745 # DEPENDENCYPART_ARC
(13,10),0.0697278 # DEPENDENCYPART_ARC
(13,11),0.16514 # DEPENDENCYPART_ARC
(13,12),0.405506 # DEPENDENCYPART_ARC
(13,14),-0.117881 # DEPENDENCYPART_ARC
(13,15),0.142064 # DEPENDENCYPART_ARC
(13,16),0.124575 # DEPENDENCYPART_ARC
(13,17),-0.501987 # DEPENDENCYPART_ARC
(13,18),-0.529245 # DEPENDENCYPART_ARC
(13,19),-0.178878 # DEPENDENCYPART_ARC
(13,20),-0.987939 # DEPENDENCYPART_ARC
(13,21),-1.34723 # DEPENDENCYPART_ARC
(13,22),0.213204 # DEPENDENCYPART_ARC
(14,1),-0.960253 # DEPENDENCYPART_ARC
(14,2),-0.682167 # DEPENDENCYPART_ARC
(14,3),-1.60788 # DEPENDENCYPART_ARC
(14,4),-2.46341 # DEPENDENCYPART_ARC
(14,5),-2.34579 # DEPENDENCYPART_ARC
(14,6),-2.39957 # DEPENDENCYPART_ARC
(14,7),-0.6711 # DEPENDENCYPART_ARC
(14,8),-0.69075 # DEPENDENCYPART_ARC
(14,9),-0.366058 # DEPENDENCYPART_ARC
(14,10),0.284185 # DEPENDENCYPART_ARC
(14,11),0.306842 # DEPENDENCYPART_ARC
(14,12),-1.08358 # DEPENDENCYPART_ARC
(14,13),1.24953 # DEPENDENCYPART_ARC
(14,15),-0.952913 # DEPENDENCYPART_ARC
(14,16),-0.0414535 # DEPENDENCYPART_ARC
(14,17),-0.686977 # DEPENDENCYPART_ARC
(14,18),-0.816632 # DEPENDENCYPART_ARC
(14,19),-0.646181 # DEPENDENCYPART_ARC
(14,20),-1.29883 # DEPENDENCYPART_ARC
(14,21),-2.31708 # DEPENDENCYPART_ARC
(14,22),0.0898167 # DEPENDENCYPART_ARC
(15,1),-0.954174 # DEPENDENCYPART_ARC
(15,2),-0.50268 # DEPENDENCYPART_ARC
(15,3),-1.34941 # DEPENDENCYPART_ARC
(15,4),-2.45834 # DEPENDENCYPART_ARC
(15,5),-1.84649 # DEPENDENCYPART_ARC
(15,6),-2.34414 # DEPENDENCYPART_ARC
(15,7),-0.603859 # DEPENDENCYPART_ARC
(15,8),-0.564438 # DEPENDENCYPART_ARC
(15,9),0.352483 # DEPENDENCYPART_ARC
(15,10),0.247224 # DEPENDENCYPART_ARC
(15,11),0.362291 # DEPENDENCYPART_ARC
(15,12),-1.48145 # DEPENDENCYPART_ARC
(15,13),1.01482 # DEPENDENCYPART_ARC
(15,14),3.76894 # DEPENDENCYPART_ARC
(15,16),0.259023 # DEPENDENCYPART_ARC
(15,17),-0.647133 # DEPENDENCYPART_ARC
(15,18),-0.62454 # DEPENDENCYPART_ARC
(15,19),-1.06976 # DEPENDENCYPART_ARC
(15,20),-1.10006 # DEPENDENCYPART_ARC
(15,21),-2.01148 # DEPENDENCYPART_ARC
(15,22),0.274881 # DEPENDENCYPART_ARC
(16,1),-2.39932 # DEPENDENCYPART_ARC
(16,2),-2.38447 # DEPENDENCYPART_ARC
(16,3),-2.73077 # DEPENDENCYPART_ARC
(16,4),-3.45284 # DEPENDENCYPART_ARC
(16,5),-3.44442 # DEPENDENCYPART_ARC
(16,6),-2.6803 # DEPENDENCYPART_ARC
(16,7),-2.09496 # DEPENDENCYPART_ARC
(16,8),-2.06632 # DEPENDENCYPART_ARC
(16,9),-2.18908 # DEPENDENCYPART_ARC
(16,10),-3.0826 # DEPENDENCYPART_ARC
(16,11),-2.12605 # DEPENDENCYPART_ARC
(16,12),-2.03076 # DEPENDENCYPART_ARC
(16,13),-1.51855 # DEPENDENCYPART_ARC
(16,14),-2.16748 # DEPENDENCYPART_ARC
(16,15),-1.68352 # DEPENDENCYPART_ARC
(16,17),-1.2117 # DEPENDENCYPART_ARC
(16,18),-1.36943 # DEPENDENCYPART_ARC
(16,19),-1.42476 # DEPENDENCYPART_ARC
(16,20),-1.585 # DEPENDENCYPART_ARC
(16,21),-2.28592 # DEPENDENCYPART_ARC
(16,22),-1.41866 # DEPENDENCYPART_ARC
(17,1),-0.829089 # DEPENDENCYPART_ARC
(17,2),-0.211911 # DEPENDENCYPART_ARC
(17,3),-1.69242 # DEPENDENCYPART_ARC
(17,4),-1.49363 # DEPENDENCYPART_ARC
(17,5),-1.53954 # DEPENDENCYPART_ARC
(17,6),-0.859649 # DEPENDENCYPART_ARC
(17,7),-0.96321 # DEPENDENCYPART_ARC
(17,8),-0.655895 # DEPENDENCYPART_ARC
(17,9),-1.30437 # DEPENDENCYPART_ARC
(17,10),-0.919703 # DEPENDENCYPART_ARC
(17,11),-0.657378 # DEPENDENCYPART_ARC
(17,12),-0.445025 # DEPENDENCYPART_ARC
(17,13),-0.262284 # DEPENDENCYPART_ARC
(17,14),-0.230786 # DEPENDENCYPART_ARC
(17,15),-0.518131 # DEPENDENCYPART_ARC
(17,16),-0.0985152 # DEPENDENCYPART_ARC
(17,18),-0.393053 # DEPENDENCYPART_ARC
(17,19),0.103372 # DEPENDENCYPART_ARC
(17,20),-0.809332 # DEPENDENCYPART_ARC
(17,21),-0.714529 # DEPENDENCYPART_ARC
(17,22),-0.118278 # DEPENDENCYPART_ARC
(18,1),-0.401696 # DEPENDENCYPART_ARC
(18,2),-0.469393 # DEPENDENCYPART_ARC
(18,3),-1.94228 # DEPENDENCYPART_ARC
(18,4),-1.42706 # DEPENDENCYPART_ARC
(18,5),-1.49021 # DEPENDENCYPART_ARC
(18,6),-1.27557 # DEPENDENCYPART_ARC
(18,7),-1.00896 # DEPENDENCYPART_ARC
(18,8),-0.960269 # DEPENDENCYPART_ARC
(18,9),-1.49022 # DEPENDENCYPART_ARC
(18,10),-0.888192 # DEPENDENCYPART_ARC
(18,11),-0.726621 # DEPENDENCYPART_ARC
(18,12),-0.775697 # DEPENDENCYPART_ARC
(18,13),-0.520112 # DEPENDENCYPART_ARC
(18,14),-0.486196 # DEPENDENCYPART_ARC
(18,15),-0.707568 # DEPENDENCYPART_ARC
(18,16),-0.522774 # DEPENDENCYPART_ARC
(18,17),0.54147 # DEPENDENCYPART_ARC
(18,19),0.430734 # DEPENDENCYPART_ARC
(18,20),-0.545544 # DEPENDENCYPART_ARC
(18,21),-0.302276 # DEPENDENCYPART_ARC
(18,22),0.314794 # DEPENDENCYPART_ARC
(19,1),0.584713 # DEPENDENCYPART_ARC
(19,2),1.37773 # DEPENDENCYPART_ARC
(19,3),-1.58511 # DEPENDENCYPART_ARC
(19,4),0.466431 # DEPENDENCYPART_ARC
(19,5),-0.23808 # DEPENDENCYPART_ARC
(19,6),-0.0455507 # DEPENDENCYPART_ARC
(19,7),0.618158 # DEPENDENCYPART_ARC
(19,8),0.447576 # DEPENDENCYPART_ARC
(19,9),-0.604722 # DEPENDENCYPART_ARC
(19,10),0.160824 # DEPENDENCYPART_ARC
(19,11),0.61214 # DEPENDENCYPART_ARC
(19,12),0.292744 # DEPENDENCYPART_ARC
(19,13),1.1132 # DEPENDENCYPART_ARC
(19,14),0.779639 # DEPENDENCYPART_ARC
(19,15),0.152049 # DEPENDENCYPART_ARC
(19,16),1.48384 # DEPENDENCYPART_ARC
(19,17),2.64162 # DEPENDENCYPART_ARC
(19,18),3.15064 # DEPENDENCYPART_ARC
(19,20),0.831757 # DEPENDENCYPART_ARC
(19,21),3.41064 # DEPENDENCYPART_ARC
(19,22),2.00649 # DEPENDENCYPART_ARC
(20,1),-1.99208 # DEPENDENCYPART_ARC
(20,2),-2.21667 # DEPENDENCYPART_ARC
(20,3),-3.09332 # DEPENDENCYPART_ARC
(20,4),-3.59336 # DEPENDENCYPART_ARC
(20,5),-3.83447 # DEPENDENCYPART_ARC
(20,6),-2.86965 # DEPENDENCYPART_ARC
(20,7),-1.85039 # DEPENDENCYPART_ARC
(20,8),-2.07578 # DEPENDENCYPART_ARC
(20,9),-2.10811 # DEPENDENCYPART_ARC
(20,10),-3.35533 # DEPENDENCYPART_ARC
(20,11),-2.25453 # DEPENDENCYPART_ARC
(20,12),-2.62302 # DEPENDENCYPART_ARC
(20,13),-2.09638 # DEPENDENCYPART_ARC
(20,14),-3.33745 # DEPENDENCYPART_ARC
(20,15),-3.31279 # DEPENDENCYPART_ARC
(20,16),-1.65871 # DEPENDENCYPART_ARC
(20,17),-1.59358 # DEPENDENCYPART_ARC
(20,18),-1.51806 # DEPENDENCYPART_ARC
(20,19),-0.92495 # DEPENDENCYPART_ARC
(20,21),-0.435668 # DEPENDENCYPART_ARC
(20,22),-1.19027 # DEPENDENCYPART_ARC
(21,1),-2.25284 # DEPENDENCYPART_ARC
(21,2),-1.40397 # DEPENDENCYPART_ARC
(21,3),-2.58954 # DEPENDENCYPART_ARC
(21,4),-5.49584 # DEPENDENCYPART_ARC
(21,5),-5.24029 # DEPENDENCYPART_ARC
(21,6),-2.74154 # DEPENDENCYPART_ARC
(21,7),-2.16062 # DEPENDENCYPART_ARC
(21,8),-2.12723 # DEPENDENCYPART_ARC
(21,9),-0.336891 # DEPENDENCYPART_ARC
(21,10),-3.54538 # DEPENDENCYPART_ARC
(21,11),-1.07645 # DEPENDENCYPART_ARC
(21,12),-2.75996 # DEPENDENCYPART_ARC
(21,13),-1.1394 # DEPENDENCYPART_ARC
(21,14),-3.68264 # DEPENDENCYPART_ARC
(21,15),-4.16348 # DEPENDENCYPART_ARC
(21,16),-1.54272 # DEPENDENCYPART_ARC
(21,17),-0.855457 # DEPENDENCYPART_ARC
(21,18),-0.677001 # DEPENDENCYPART_ARC
(21,19),-0.680516 # DEPENDENCYPART_ARC
(21,20),3.39534 # DEPENDENCYPART_ARC
(21,22),-0.546059 # DEPENDENCYPART_ARC
(22,1),-3.25886 # DEPENDENCYPART_ARC
(22,2),-3.17346 # DEPENDENCYPART_ARC
(22,3),-3.53452 # DEPENDENCYPART_ARC
(22,4),-4.3179 # DEPENDENCYPART_ARC
(22,5),-4.30647 # DEPENDENCYPART_ARC
(22,6),-3.45701 # DEPENDENCYPART_ARC
(22,7),-2.97997 # DEPENDENCYPART_ARC
(22,8),-3.02513 # DEPENDENCYPART_ARC
(22,9),-3.06065 # DEPENDENCYPART_ARC
(22,10),-4.19968 # DEPENDENCYPART_ARC
(22,11),-3.14483 # DEPENDENCYPART_ARC
(22,12),-3.20306 # DEPENDENCYPART_ARC
(22,13),-2.97381 # DEPENDENCYPART_ARC
(22,14),-3.84084 # DEPENDENCYPART_ARC
(22,15),-3.84584 # DEPENDENCYPART_ARC
(22,16),-2.52338 # DEPENDENCYPART_ARC
(22,17),-2.70571 # DEPENDENCYPART_ARC
(22,18),-2.559 # DEPENDENCYPART_ARC
(22,19),-2.36009 # DEPENDENCYPART_ARC
(22,20),-1.8683 # DEPENDENCYPART_ARC
(22,21),-2.54061 # DEPENDENCYPART_ARC
