# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,14,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(2,22),-1.95319 # DEPENDENCYPART_ARC
(2,23),-1.45264 # DEPENDENCYPART_ARC
(2,24),0.874435 # DEPENDENCYPART_ARC
(3,1),-0.124217 # DEPENDENCYPART_ARC
(3,2),0.295699 # DEPENDENCYPART_ARC
(3,4),-0.242986 # DEPENDENCYPART_ARC
(3,5),-1.77282 # DEPENDENCYPART_ARC
(3,6),-1.58806 # DEPENDENCYPART_ARC
(3,7),-0.187734 # DEPENDENCYPART_ARC
(3,8),-1.45874 # DEPENDENCYPART_ARC
(3,9),-0.447367 # DEPENDENCYPART_ARC
(3,10),-1.79189 # DEPENDENCYPART_ARC
(3,11),-2.24939 # DEPENDENCYPART_ARC
(3,12),-2.22039 # DEPENDENCYPART_ARC
(3,13),-1.5244 # DEPENDENCYPART_ARC
(3,14),-0.868936 # DEPENDENCYPART_ARC
(3,15),-0.428232 # DEPENDENCYPART_ARC
(3,16),-0.848752 # DEPENDENCYPART_ARC
(3,17),-1.39556 # DEPENDENCYPART_ARC
(3,18),-2.75603 # DEPENDENCYPART_ARC
(3,19),-2.70795 # DEPENDENCYPART_ARC
(3,20),-1.33173 # DEPENDENCYPART_ARC
(3,21),-1.97845 # DEPENDENCYPART_ARC
(3,22),-2.6233 # DEPENDENCYPART_ARC
(3,23),-1.15111 # DEPENDENCYPART_ARC
(3,24),0.327269 # DEPENDENCYPART_ARC
(4,1),1.57395 # DEPENDENCYPART_ARC
(4,2),1.71907 # DEPENDENCYPART_ARC
(4,3),2.86782 # DEPENDENCYPART_ARC
(4,5),1.67496 # DEPENDENCYPART_ARC
(4,6),3.08213 # DEPENDENCYPART_ARC
(4,7),1.70696 # DEPENDENCYPART_ARC
(4,8),1.04915 # DEPENDENCYPART_ARC
(4,9),1.16265 # DEPENDENCYPART_ARC
(4,10),-0.337427 # DEPENDENCYPART_ARC
(4,11),0.125309 # DEPENDENCYPART_ARC
(4,12),-0.452515 # DEPENDENCYPART_ARC
(4,13),0.902637 # DEPENDENCYPART_ARC
(4,14),1.46835 # DEPENDENCYPART_ARC
(4,15),1.45867 # DEPENDENCYPART_ARC
(4,16),1.5551 # DEPENDENCYPART_ARC
(4,17),-0.773714 # DEPENDENCYPART_ARC
(4,18),-1.69427 # DEPENDENCYPART_ARC
(4,19),-0.590544 # DEPENDENCYPART_ARC
(4,20),-0.786908 # DEPENDENCYPART_ARC
(4,21),-1.11623 # DEPENDENCYPART_ARC
(4,22),-1.5741 # DEPENDENCYPART_ARC
(4,23),-0.0208826 # DEPENDENCYPART_ARC
(4,24),2.93912 # DEPENDENCYPART_ARC
(5,1),-0.672085 # DEPENDENCYPART_ARC
(5,3),-1.86405 # DEPENDENCYPART_ARC
(5,6),-0.577783 # DEPENDENCYPART_ARC
(5,7),-0.81054 # DEPENDENCYPART_ARC
(5,9),-1.03378 # DEPENDENCYPART_ARC
(5,11),-1.44146 # DEPENDENCYPART_ARC
(5,12),-1.60828 # DEPENDENCYPART_ARC
(5,15),-0.104439 # DEPENDENCYPART_ARC
(5,18),-1.62569 # DEPENDENCYPART_ARC
(5,19),-1.73647 # DEPENDENCYPART_ARC
(5,22),-2.31805 # DEPENDENCYPART_ARC
(5,24),-0.612551 # DEPENDENCYPART_ARC
(6,1),-1.01938 # DEPENDENCYPART_ARC
(6,2),-1.04183 # DEPENDENCYPART_ARC
(6,3),-4.84187 # DEPENDENCYPART_ARC
(6,4),-1.75422 # DEPENDENCYPART_ARC
(6,5),3.40695 # DEPENDENCYPART_ARC
(6,7),0.141961 # DEPENDENCYPART_ARC
(6,8),-0.610916 # DEPENDENCYPART_ARC
(6,9),-0.656063 # DEPENDENCYPART_ARC
(6,10),-0.826534 # DEPENDENCYPART_ARC
(6,11),-1.40862 # DEPENDENCYPART_ARC
(6,12),-1.58725 # DEPENDENCYPART_ARC
(6,13),-1.69249 # DEPENDENCYPART_ARC
(6,14),-0.541627 # DEPENDENCYPART_ARC
(6,15),-0.442139 # DEPENDENCYPART_ARC
(6,16),-1.07309 # DEPENDENCYPART_ARC
(6,17),-1.66434 # DEPENDENCYPART_ARC
(6,18),-2.3597 # DEPENDENCYPART_ARC
(6,19),-2.09889 # DEPENDENCYPART_ARC
(6,20),-1.72371 # DEPENDENCYPART_ARC
(6,21),-2.17427 # DEPENDENCYPART_ARC
(6,22),-2.30665 # DEPENDENCYPART_ARC
(6,23),-0.962075 # DEPENDENCYPART_ARC
(6,24),0.114342 # DEPENDENCYPART_ARC
(8,1),-0.342242 # DEPENDENCYPART_ARC
(8,2),-0.632919 # DEPENDENCYPART_ARC
(8,3),-4.00885 # DEPENDENCYPART_ARC
(8,4),-0.974737 # DEPENDENCYPART_ARC
(8,6),-0.128139 # DEPENDENCYPART_ARC
(8,7),0.439119 # DEPENDENCYPART_ARC
(8,9),-1.09389 # DEPENDENCYPART_ARC
(8,10),-1.04402 # DEPENDENCYPART_ARC
(8,11),-1.4874 # DEPENDENCYPART_ARC
(8,12),-1.66164 # DEPENDENCYPART_ARC
(8,13),-1.511 # DEPENDENCYPART_ARC
(8,14),-1.38347 # DEPENDENCYPART_ARC
(8,15),-0.707926 # DEPENDENCYPART_ARC
(8,16),-1.32116 # DEPENDENCYPART_ARC
(8,17),-1.78175 # DEPENDENCYPART_ARC
(8,18),-2.64916 # DEPENDENCYPART_ARC
(8,19),-2.15537 # DEPENDENCYPART_ARC
(8,20),-1.89638 # DEPENDENCYPART_ARC
(8,21),-2.08654 # DEPENDENCYPART_ARC
(8,22),-2.69082 # DEPENDENCYPART_ARC
(8,23),-1.73755 # DEPENDENCYPART_ARC
(8,24),-0.634453 # DEPENDENCYPART_ARC
(9,1),0.408529 # DEPENDENCYPART_ARC
(9,2),0.263322 # DEPENDENCYPART_ARC
(9,3),-1.14387 # DEPENDENCYPART_ARC
(9,4),0.440234 # DEPENDENCYPART_ARC
(9,5),-0.759396 # DEPENDENCYPART_ARC
(9,6),-0.483109 # DEPENDENCYPART_ARC
(9,7),0.589374 # DEPENDENCYPART_ARC
(9,8),0.117602 # DEPENDENCYPART_ARC
(9,10),0.136373 # DEPENDENCYPART_ARC
(9,11),0.04231 # DEPENDENCYPART_ARC
(9,12),-0.594124 # DEPENDENCYPART_ARC
(9,13),-0.564726 # DEPENDENCYPART_ARC
(9,14),0.372387 # DEPENDENCYPART_ARC
(9,15),0.126515 # DEPENDENCYPART_ARC
(9,16),-0.0848427 # DEPENDENCYPART_ARC
(9,17),-1.00243 # DEPENDENCYPART_ARC
(9,18),-1.13088 # DEPENDENCYPART_ARC
(9,19),-1.36522 # DEPENDENCYPART_ARC
(9,20),-0.928371 # DEPENDENCYPART_ARC
(9,21),-1.42692 # DEPENDENCYPART_ARC
(9,22),-1.98586 # DEPENDENCYPART_ARC
(9,23),-1.2689 # DEPENDENCYPART_ARC
(9,24),-0.218168 # DEPENDENCYPART_ARC
(10,1),-0.807568 # DEPENDENCYPART_ARC
(10,2),-1.1985 # DEPENDENCYPART_ARC
(10,3),-4.29522 # DEPENDENCYPART_ARC
(10,4),-1.62055 # DEPENDENCYPART_ARC
(10,6),-1.15786 # DEPENDENCYPART_ARC
(10,7),0.429895 # DEPENDENCYPART_ARC
(10,8),0.932867 # DEPENDENCYPART_ARC
(10,9),0.938268 # DEPENDENCYPART_ARC
(10,11),-0.752416 # DEPENDENCYPART_ARC
(10,12),-1.0233 # DEPENDENCYPART_ARC
(10,13),-0.973573 # DEPENDENCYPART_ARC
(10,14),-0.760535 # DEPENDENCYPART_ARC
(10,15),-0.435763 # DEPENDENCYPART_ARC
(10,16),-0.961681 # DEPENDENCYPART_ARC
(10,17),-1.43294 # DEPENDENCYPART_ARC
(10,18),-2.09029 # DEPENDENCYPART_ARC
(10,19),-1.58511 # DEPENDENCYPART_ARC
(10,20),-1.47943 # DEPENDENCYPART_ARC
(10,21),-1.58584 # DEPENDENCYPART_ARC
(10,22),-2.14408 # DEPENDENCYPART_ARC
(10,23),-1.23704 # DEPENDENCYPART_ARC
(10,24),-0.154702 # DEPENDENCYPART_ARC
(11,1),-0.0982899 # DEPENDENCYPART_ARC
(11,2),-0.360872 # DEPENDENCYPART_ARC
(11,3),-4.18913 # DEPENDENCYPART_ARC
(11,4),-2.18185 # DEPENDENCYPART_ARC
(11,5),-0.319869 # DEPENDENCYPART_ARC
(11,6),-1.30306 # DEPENDENCYPART_ARC
(11,7),0.753833 # DEPENDENCYPART_ARC
(11,8),0.763423 # DEPENDENCYPART_ARC
(11,9),1.54709 # DEPENDENCYPART_ARC
(11,10),3.07399 # DEPENDENCYPART_ARC
(11,12),-1.07676 # DEPENDENCYPART_ARC
(11,13),-0.999409 # DEPENDENCYPART_ARC
(11,14),-0.434515 # DEPENDENCYPART_ARC
(11,15),-0.556583 # DEPENDENCYPART_ARC
(11,16),-1.02519 # DEPENDENCYPART_ARC
(11,17),-1.49902 # DEPENDENCYPART_ARC
(11,18),-2.24556 # DEPENDENCYPART_ARC
(11,19),-2.38757 # DEPENDENCYPART_ARC
(11,20),-1.60107 # DEPENDENCYPART_ARC
(11,21),-1.89889 # DEPENDENCYPART_ARC
(11,22),-2.49359 # DEPENDENCYPART_ARC
(11,23),-1.20368 # DEPENDENCYPART_ARC
(11,24),-0.327134 # DEPENDENCYPART_ARC
(12,1),-0.349972 # DEPENDENCYPART_ARC
(12,2),-0.474994 # DEPENDENCYPART_ARC
(12,3),-4.13272 # DEPENDENCYPART_ARC
(12,4),-3.28446 # DEPENDENCYPART_ARC
(12,5),-0.873796 # DEPENDENCYPART_ARC
(12,6),0.492618 # DEPENDENCYPART_ARC
(12,7),0.592329 # DEPENDENCYPART_ARC
(12,8),1.12588 # DEPENDENCYPART_ARC
(12,9),1.04724 # DEPENDENCYPART_ARC
(12,10),2.53938 # DEPENDENCYPART_ARC
(12,11),2.11008 # DEPENDENCYPART_ARC
(12,13),-0.560524 # DEPENDENCYPART_ARC
(12,14),-0.78031 # DEPENDENCYPART_ARC
(12,15),-0.284917 # DEPENDENCYPART_ARC
(12,16),-0.948658 # DEPENDENCYPART_ARC
(12,17),-1.37356 # DEPENDENCYPART_ARC
(12,18),-1.77698 # DEPENDENCYPART_ARC
(12,19),-1.94521 # DEPENDENCYPART_ARC
(12,20),-1.46982 # DEPENDENCYPART_ARC
(12,21),-1.60725 # DEPENDENCYPART_ARC
(12,22),-1.95657 # DEPENDENCYPART_ARC
(12,23),-1.97065 # DEPENDENCYPART_ARC
(12,24),0.0113246 # DEPENDENCYPART_ARC
(13,1),-0.513722 # DEPENDENCYPART_ARC
(13,2),0.168572 # DEPENDENCYPART_ARC
(13,3),-1.88876 # DEPENDENCYPART_ARC
(13,4),-1.62548 # DEPENDENCYPART_ARC
(13,5),-0.130274 # DEPENDENCYPART_ARC
(13,6),-2.43038 # DEPENDENCYPART_ARC
(13,7),0.228915 # DEPENDENCYPART_ARC
(13,8),-0.989723 # DEPENDENCYPART_ARC
(13,9),0.499748 # DEPENDENCYPART_ARC
(13,10),-0.91093 # DEPENDENCYPART_ARC
(13,11),-0.0511512 # DEPENDENCYPART_ARC
(13,12),-0.180388 # DEPENDENCYPART_ARC
(13,14),-0.160788 # DEPENDENCYPART_ARC
(13,15),-0.303488 # DEPENDENCYPART_ARC
(13,16),-0.570066 # DEPENDENCYPART_ARC
(13,17),-1.15738 # DEPENDENCYPART_ARC
(13,18),-1.80398 # DEPENDENCYPART_ARC
(13,19),-2.1509 # DEPENDENCYPART_ARC
(13,20),-1.26463 # DEPENDENCYPART_ARC
(13,21),-1.32975 # DEPENDENCYPART_ARC
(13,22),-1.68585 # DEPENDENCYPART_ARC
(13,23),-1.0185 # DEPENDENCYPART_ARC
(13,24),0.361818 # DEPENDENCYPART_ARC
(14,1),1.10559 # DEPENDENCYPART_ARC
(14,2),1.92722 # DEPENDENCYPART_ARC
(14,3),0.885068 # DEPENDENCYPART_ARC
(14,4),-0.102721 # DEPENDENCYPART_ARC
(14,5),-0.375581 # DEPENDENCYPART_ARC
(14,6),1.19251 # DEPENDENCYPART_ARC
(14,7),1.09817 # DEPENDENCYPART_ARC
(14,8),2.47037 # DEPENDENCYPART_ARC
(14,9),1.92117 # DEPENDENCYPART_ARC
(14,10),2.51188 # DEPENDENCYPART_ARC
(14,11),1.75478 # DEPENDENCYPART_ARC
(14,12),2.17297 # DEPENDENCYPART_ARC
(14,13),4.04903 # DEPENDENCYPART_ARC
(14,15),2.1558 # DEPENDENCYPART_ARC
(14,16),2.94533 # DEPENDENCYPART_ARC
(14,17),-0.432481 # DEPENDENCYPART_ARC
(14,18),-0.983292 # DEPENDENCYPART_ARC
(14,19),0.00421338 # DEPENDENCYPART_ARC
(14,20),-0.692454 # DEPENDENCYPART_ARC
(14,21),-1.1777 # DEPENDENCYPART_ARC
(14,22),-1.13817 # DEPENDENCYPART_ARC
(14,23),1.06032 # DEPENDENCYPART_ARC
(14,24),2.27104 # DEPENDENCYPART_ARC
(16,1),0.325723 # DEPENDENCYPART_ARC
(16,2),0.387674 # DEPENDENCYPART_ARC
(16,3),-1.75765 # DEPENDENCYPART_ARC
(16,4),-0.220676 # DEPENDENCYPART_ARC
(16,6),-0.868442 # DEPENDENCYPART_ARC
(16,7),-0.37195 # DEPENDENCYPART_ARC
(16,8),-0.494697 # DEPENDENCYPART_ARC
(16,9),0.0818872 # DEPENDENCYPART_ARC
(16,10),0.250953 # DEPENDENCYPART_ARC
(16,11),0.0838702 # DEPENDENCYPART_ARC
(16,12),0.593085 # DEPENDENCYPART_ARC
(16,13),0.46436 # DEPENDENCYPART_ARC
(16,14),0.113598 # DEPENDENCYPART_ARC
(16,15),1.02662 # DEPENDENCYPART_ARC
(16,17),-0.663615 # DEPENDENCYPART_ARC
(16,18),-0.395433 # DEPENDENCYPART_ARC
(16,19),-0.601154 # DEPENDENCYPART_ARC
(16,20),-0.886227 # DEPENDENCYPART_ARC
(16,21),-0.387286 # DEPENDENCYPART_ARC
(16,22),-1.61236 # DEPENDENCYPART_ARC
(16,23),0.873623 # DEPENDENCYPART_ARC
(16,24),1.42464 # DEPENDENCYPART_ARC
(17,1),-2.80958 # DEPENDENCYPART_ARC
(17,3),-4.194 # DEPENDENCYPART_ARC
(17,6),-4.62964 # DEPENDENCYPART_ARC
(17,7),-2.07684 # DEPENDENCYPART_ARC
(17,8),-3.82583 # DEPENDENCYPART_ARC
(17,9),-2.37992 # DEPENDENCYPART_ARC
(17,10),-3.73803 # DEPENDENCYPART_ARC
(17,11),-3.71333 # DEPENDENCYPART_ARC
(17,12),-4.13015 # DEPENDENCYPART_ARC
(17,13),-2.35 # DEPENDENCYPART_ARC
(17,15),-1.56197 # DEPENDENCYPART_ARC
(17,18),-0.536031 # DEPENDENCYPART_ARC
(17,19),-1.0542 # DEPENDENCYPART_ARC
(17,21),-0.722976 # DEPENDENCYPART_ARC
(17,22),-1.543 # DEPENDENCYPART_ARC
(18,1),-1.58879 # DEPENDENCYPART_ARC
(18,2),-1.83944 # DEPENDENCYPART_ARC
(18,3),-5.17035 # DEPENDENCYPART_ARC
(18,4),-3.72728 # DEPENDENCYPART_ARC
(18,5),-1.79413 # DEPENDENCYPART_ARC
(18,6),-4.09484 # DEPENDENCYPART_ARC
(18,7),-1.808 # DEPENDENCYPART_ARC
(18,8),-2.45487 # DEPENDENCYPART_ARC
(18,9),-1.51823 # DEPENDENCYPART_ARC
(18,10),-2.08542 # DEPENDENCYPART_ARC
(18,11),-3.63104 # DEPENDENCYPART_ARC
(18,12),-4.90449 # DEPENDENCYPART_ARC
(18,13),-3.53192 # DEPENDENCYPART_ARC
(18,14),-2.2369 # DEPENDENCYPART_ARC
(18,15),-0.929071 # DEPENDENCYPART_ARC
(18,16),-1.1157 # DEPENDENCYPART_ARC
(18,17),3.12025 # DEPENDENCYPART_ARC
(18,19),-1.26662 # DEPENDENCYPART_ARC
(18,20),-1.57422 # DEPENDENCYPART_ARC
(18,21),-1.29035 # DEPENDENCYPART_ARC
(18,22),-1.66393 # DEPENDENCYPART_ARC
(18,23),-1.22816 # DEPENDENCYPART_ARC
(18,24),-0.757602 # DEPENDENCYPART_ARC
(19,1),-0.337023 # DEPENDENCYPART_ARC
(19,2),-0.624216 # DEPENDENCYPART_ARC
(19,3),-4.85551 # DEPENDENCYPART_ARC
(19,4),-3.26112 # DEPENDENCYPART_ARC
(19,5),-1.47061 # DEPENDENCYPART_ARC
(19,6),-1.46393 # DEPENDENCYPART_ARC
(19,7),-0.495467 # DEPENDENCYPART_ARC
(19,8),-0.384799 # DEPENDENCYPART_ARC
(19,9),0.0382052 # DEPENDENCYPART_ARC
(19,10),0.104408 # DEPENDENCYPART_ARC
(19,11),-1.61144 # DEPENDENCYPART_ARC
(19,12),-4.63498 # DEPENDENCYPART_ARC
(19,13),-3.05771 # DEPENDENCYPART_ARC
(19,14),-1.7043 # DEPENDENCYPART_ARC
(19,15),-0.0124172 # DEPENDENCYPART_ARC
(19,16),-0.145886 # DEPENDENCYPART_ARC
(19,17),1.80843 # DEPENDENCYPART_ARC
(19,18),4.62118 # DEPENDENCYPART_ARC
(19,20),-0.777453 # DEPENDENCYPART_ARC
(19,21),-0.538317 # DEPENDENCYPART_ARC
(19,22),-0.544687 # DEPENDENCYPART_ARC
(19,23),-0.655987 # DEPENDENCYPART_ARC
(19,24),-0.11374 # DEPENDENCYPART_ARC
(20,1),-1.31609 # DEPENDENCYPART_ARC
(20,3),-3.31562 # DEPENDENCYPART_ARC
(20,6),-3.66952 # DEPENDENCYPART_ARC
(20,7),-1.23444 # DEPENDENCYPART_ARC
(20,8),-3.00778 # DEPENDENCYPART_ARC
(20,9),-1.2758 # DEPENDENCYPART_ARC
(20,10),-2.82477 # DEPENDENCYPART_ARC
(20,11),-2.81475 # DEPENDENCYPART_ARC
(20,12),-3.23728 # DEPENDENCYPART_ARC
(20,13),-1.63898 # DEPENDENCYPART_ARC
(20,15),-0.845936 # DEPENDENCYPART_ARC
(20,18),-1.69176 # DEPENDENCYPART_ARC
(20,19),-1.63315 # DEPENDENCYPART_ARC
(20,21),0.29455 # DEPENDENCYPART_ARC
(20,22),-0.692973 # DEPENDENCYPART_ARC
(21,1),-1.85425 # DEPENDENCYPART_ARC
(21,2),-0.887331 # DEPENDENCYPART_ARC
(21,3),-2.86088 # DEPENDENCYPART_ARC
(21,4),-2.50194 # DEPENDENCYPART_ARC
(21,5),-2.78865 # DEPENDENCYPART_ARC
(21,6),-3.74205 # DEPENDENCYPART_ARC
(21,7),-1.70459 # DEPENDENCYPART_ARC
(21,8),-3.07012 # DEPENDENCYPART_ARC
(21,9),-1.46454 # DEPENDENCYPART_ARC
(21,10),-3.21567 # DEPENDENCYPART_ARC
(21,11),-2.25999 # DEPENDENCYPART_ARC
(21,12),-2.42948 # DEPENDENCYPART_ARC
(21,13),-1.8243 # DEPENDENCYPART_ARC
(21,14),-2.32488 # DEPENDENCYPART_ARC
(21,15),-1.30429 # DEPENDENCYPART_ARC
(21,16),-1.61357 # DEPENDENCYPART_ARC
(21,17),-1.11327 # DEPENDENCYPART_ARC
(21,18),-1.8172 # DEPENDENCYPART_ARC
(21,19),-2.1658 # DEPENDENCYPART_ARC
(21,20),0.283702 # DEPENDENCYPART_ARC
(21,22),-0.638573 # DEPENDENCYPART_ARC
(21,23),-1.07531 # DEPENDENCYPART_ARC
(21,24),-1.27062 # DEPENDENCYPART_ARC
(22,1),-0.921818 # DEPENDENCYPART_ARC
(22,2),-0.501002 # DEPENDENCYPART_ARC
(22,3),-5.70674 # DEPENDENCYPART_ARC
(22,4),-3.20588 # DEPENDENCYPART_ARC
(22,5),-1.04396 # DEPENDENCYPART_ARC
(22,6),-4.08643 # DEPENDENCYPART_ARC
(22,7),-1.38305 # DEPENDENCYPART_ARC
(22,8),-2.67297 # DEPENDENCYPART_ARC
(22,9),-0.87253 # DEPENDENCYPART_ARC
(22,10),-2.15965 # DEPENDENCYPART_ARC
(22,11),-3.60024 # DEPENDENCYPART_ARC
(22,12),-4.7983 # DEPENDENCYPART_ARC
(22,13),-2.74312 # DEPENDENCYPART_ARC
(22,14),-2.12079 # DEPENDENCYPART_ARC
(22,15),-0.690569 # DEPENDENCYPART_ARC
(22,16),-0.750717 # DEPENDENCYPART_ARC
(22,17),0.318414 # DEPENDENCYPART_ARC
(22,18),-1.05503 # DEPENDENCYPART_ARC
(22,19),-2.16773 # DEPENDENCYPART_ARC
(22,20),2.4315 # DEPENDENCYPART_ARC
(22,21),3.33537 # DEPENDENCYPART_ARC
(22,23),-0.813555 # DEPENDENCYPART_ARC
(22,24),-0.965496 # DEPENDENCYPART_ARC
(23,1),0.292515 # DEPENDENCYPART_ARC
(23,2),1.50788 # DEPENDENCYPART_ARC
(23,3),-0.0280418 # DEPENDENCYPART_ARC
(23,4),-0.452973 # DEPENDENCYPART_ARC
(23,5),-2.10278 # DEPENDENCYPART_ARC
(23,6),0.322114 # DEPENDENCYPART_ARC
(23,7),0.329203 # DEPENDENCYPART_ARC
(23,8),1.15053 # DEPENDENCYPART_ARC
(23,9),0.914438 # DEPENDENCYPART_ARC
(23,10),1.09217 # DEPENDENCYPART_ARC
(23,11),0.141235 # DEPENDENCYPART_ARC
(23,12),-0.11431 # DEPENDENCYPART_ARC
(23,13),1.16534 # DEPENDENCYPART_ARC
(23,14),0.0780899 # DEPENDENCYPART_ARC
(23,15),0.540134 # DEPENDENCYPART_ARC
(23,16),0.114052 # DEPENDENCYPART_ARC
(23,17),-0.500312 # DEPENDENCYPART_ARC
(23,18),1.62508 # DEPENDENCYPART_ARC
(23,19),2.76287 # DEPENDENCYPART_ARC
(23,20),0.0784512 # DEPENDENCYPART_ARC
(23,21),0.741649 # DEPENDENCYPART_ARC
(23,22),3.48927 # DEPENDENCYPART_ARC
(23,24),1.18671 # DEPENDENCYPART_ARC
