# _root_ Holbrooke megkérdezte : világos -e vajon , hogy mi történik , ha a válasz tagadó lesz .
#goldHeads=2,0,2,2,2,2,2,2,10,2,10,10,14,16,16,10,2,
#predictedHeads=2,0,2,8,8,2,2,2,10,2,10,10,14,16,16,2,2,
(15,1),-2.95678 # DEPENDENCYPART_ARC
(15,2),-1.44071 # DEPENDENCYPART_ARC
(15,3),-0.781581 # DEPENDENCYPART_ARC
(15,4),-1.53592 # DEPENDENCYPART_ARC
(15,5),-0.471667 # DEPENDENCYPART_ARC
(15,6),-0.597964 # DEPENDENCYPART_ARC
(15,7),-0.503719 # DEPENDENCYPART_ARC
(15,8),-0.574764 # DEPENDENCYPART_ARC
(15,9),-1.08589 # DEPENDENCYPART_ARC
(15,10),-0.789118 # DEPENDENCYPART_ARC
(15,11),-0.021767 # DEPENDENCYPART_ARC
(15,12),0.165477 # DEPENDENCYPART_ARC
(15,13),0.707386 # DEPENDENCYPART_ARC
(15,14),1.00091 # DEPENDENCYPART_ARC
(15,16),-0.0673996 # DEPENDENCYPART_ARC
(15,17),-0.219888 # DEPENDENCYPART_ARC
(16,1),0.199814 # DEPENDENCYPART_ARC
(16,2),-0.424204 # DEPENDENCYPART_ARC
(16,3),0.108092 # DEPENDENCYPART_ARC
(16,4),-0.217369 # DEPENDENCYPART_ARC
(16,5),0.169704 # DEPENDENCYPART_ARC
(16,6),0.501585 # DEPENDENCYPART_ARC
(16,7),0.39096 # DEPENDENCYPART_ARC
(16,8),0.570227 # DEPENDENCYPART_ARC
(16,9),0.698097 # DEPENDENCYPART_ARC
(16,10),0.6968 # DEPENDENCYPART_ARC
(16,11),1.01071 # DEPENDENCYPART_ARC
(16,12),1.11058 # DEPENDENCYPART_ARC
(16,13),0.0976509 # DEPENDENCYPART_ARC
(16,14),2.52449 # DEPENDENCYPART_ARC
(16,15),2.7126 # DEPENDENCYPART_ARC
(16,17),1.87858 # DEPENDENCYPART_ARC
(17,1),-4.59474 # DEPENDENCYPART_ARC
(17,2),-3.81851 # DEPENDENCYPART_ARC
(17,3),-3.27337 # DEPENDENCYPART_ARC
(17,4),-3.73848 # DEPENDENCYPART_ARC
(17,5),-3.53811 # DEPENDENCYPART_ARC
(17,6),-3.51457 # DEPENDENCYPART_ARC
(17,7),-3.14248 # DEPENDENCYPART_ARC
(17,8),-3.18598 # DEPENDENCYPART_ARC
(17,9),-3.60072 # DEPENDENCYPART_ARC
(17,10),-3.46748 # DEPENDENCYPART_ARC
(17,11),-2.89312 # DEPENDENCYPART_ARC
(17,12),-3.09686 # DEPENDENCYPART_ARC
(17,13),-3.0408 # DEPENDENCYPART_ARC
(17,14),-3.64371 # DEPENDENCYPART_ARC
(17,15),-2.8481 # DEPENDENCYPART_ARC
(17,16),-1.85429 # DEPENDENCYPART_ARC
