# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,6,7,8,10,10,0,12,10,10,10,10,10,18,15,21,21,18,10,
(2,21),-1.60556 # DEPENDENCYPART_ARC
(2,22),0.769636 # DEPENDENCYPART_ARC
(3,1),-0.679378 # DEPENDENCYPART_ARC
(3,2),-1.23393 # DEPENDENCYPART_ARC
(3,4),0.0411164 # DEPENDENCYPART_ARC
(3,5),-0.345548 # DEPENDENCYPART_ARC
(3,6),-0.595503 # DEPENDENCYPART_ARC
(3,7),-0.746822 # DEPENDENCYPART_ARC
(3,8),-1.21255 # DEPENDENCYPART_ARC
(3,9),-0.722825 # DEPENDENCYPART_ARC
(3,10),-0.908681 # DEPENDENCYPART_ARC
(3,11),-0.787977 # DEPENDENCYPART_ARC
(3,12),-0.657358 # DEPENDENCYPART_ARC
(3,13),-0.870809 # DEPENDENCYPART_ARC
(3,14),-0.335662 # DEPENDENCYPART_ARC
(3,15),-0.948643 # DEPENDENCYPART_ARC
(3,16),-0.535567 # DEPENDENCYPART_ARC
(3,17),-0.863672 # DEPENDENCYPART_ARC
(3,18),-1.09184 # DEPENDENCYPART_ARC
(3,19),-1.30406 # DEPENDENCYPART_ARC
(3,20),-1.18383 # DEPENDENCYPART_ARC
(3,21),-2.03187 # DEPENDENCYPART_ARC
(3,22),-1.1638 # DEPENDENCYPART_ARC
(4,1),-1.02764 # DEPENDENCYPART_ARC
(4,2),-2.55843 # DEPENDENCYPART_ARC
(4,3),2.91411 # DEPENDENCYPART_ARC
(4,5),-0.565468 # DEPENDENCYPART_ARC
(4,6),0.00594082 # DEPENDENCYPART_ARC
(4,7),0.185419 # DEPENDENCYPART_ARC
(4,8),-0.585182 # DEPENDENCYPART_ARC
(4,9),-0.618737 # DEPENDENCYPART_ARC
(4,10),-0.255261 # DEPENDENCYPART_ARC
(4,11),-0.631225 # DEPENDENCYPART_ARC
(4,12),-0.41289 # DEPENDENCYPART_ARC
(4,13),-0.0669715 # DEPENDENCYPART_ARC
(4,14),-0.138213 # DEPENDENCYPART_ARC
(4,15),-0.503498 # DEPENDENCYPART_ARC
(4,16),-0.509401 # DEPENDENCYPART_ARC
(4,17),-0.725833 # DEPENDENCYPART_ARC
(4,18),-0.568089 # DEPENDENCYPART_ARC
(4,19),-1.30127 # DEPENDENCYPART_ARC
(4,20),-1.17226 # DEPENDENCYPART_ARC
(4,21),-1.68815 # DEPENDENCYPART_ARC
(4,22),0.370933 # DEPENDENCYPART_ARC
(5,1),-1.29541 # DEPENDENCYPART_ARC
(5,2),-2.39776 # DEPENDENCYPART_ARC
(5,3),-0.495174 # DEPENDENCYPART_ARC
(5,4),-1.04046 # DEPENDENCYPART_ARC
(5,6),-0.179232 # DEPENDENCYPART_ARC
(5,7),-0.457827 # DEPENDENCYPART_ARC
(5,8),-1.28331 # DEPENDENCYPART_ARC
(5,9),-0.800716 # DEPENDENCYPART_ARC
(5,10),-1.12226 # DEPENDENCYPART_ARC
(5,11),-0.908355 # DEPENDENCYPART_ARC
(5,12),-0.817557 # DEPENDENCYPART_ARC
(5,13),-0.943873 # DEPENDENCYPART_ARC
(5,14),-0.492662 # DEPENDENCYPART_ARC
(5,15),-0.982454 # DEPENDENCYPART_ARC
(5,16),-0.540495 # DEPENDENCYPART_ARC
(5,17),-1.119 # DEPENDENCYPART_ARC
(5,18),-1.56454 # DEPENDENCYPART_ARC
(5,19),-1.34167 # DEPENDENCYPART_ARC
(5,20),-1.326 # DEPENDENCYPART_ARC
(5,21),-1.92175 # DEPENDENCYPART_ARC
(5,22),-1.75776 # DEPENDENCYPART_ARC
(6,1),-2.05608 # DEPENDENCYPART_ARC
(6,2),-4.18242 # DEPENDENCYPART_ARC
(6,3),0.290041 # DEPENDENCYPART_ARC
(6,4),-0.498626 # DEPENDENCYPART_ARC
(6,5),2.63732 # DEPENDENCYPART_ARC
(6,7),-0.283198 # DEPENDENCYPART_ARC
(6,8),-1.12078 # DEPENDENCYPART_ARC
(6,9),-1.13161 # DEPENDENCYPART_ARC
(6,10),-0.830624 # DEPENDENCYPART_ARC
(6,11),-1.2395 # DEPENDENCYPART_ARC
(6,12),-0.976495 # DEPENDENCYPART_ARC
(6,13),-0.703105 # DEPENDENCYPART_ARC
(6,14),-0.78014 # DEPENDENCYPART_ARC
(6,15),-1.16787 # DEPENDENCYPART_ARC
(6,16),-0.957988 # DEPENDENCYPART_ARC
(6,17),-1.31463 # DEPENDENCYPART_ARC
(6,18),-1.19055 # DEPENDENCYPART_ARC
(6,19),-1.89408 # DEPENDENCYPART_ARC
(6,20),-1.75824 # DEPENDENCYPART_ARC
(6,21),-2.51978 # DEPENDENCYPART_ARC
(6,22),-0.1894 # DEPENDENCYPART_ARC
(7,1),-0.526875 # DEPENDENCYPART_ARC
(7,2),-3.72117 # DEPENDENCYPART_ARC
(7,3),0.786853 # DEPENDENCYPART_ARC
(7,4),-0.0258897 # DEPENDENCYPART_ARC
(7,5),2.62161 # DEPENDENCYPART_ARC
(7,6),3.88952 # DEPENDENCYPART_ARC
(7,8),-1.18172 # DEPENDENCYPART_ARC
(7,9),-0.972583 # DEPENDENCYPART_ARC
(7,10),-0.573373 # DEPENDENCYPART_ARC
(7,11),-0.985882 # DEPENDENCYPART_ARC
(7,12),-0.82592 # DEPENDENCYPART_ARC
(7,13),-0.533671 # DEPENDENCYPART_ARC
(7,14),-0.588693 # DEPENDENCYPART_ARC
(7,15),-0.963014 # DEPENDENCYPART_ARC
(7,16),-0.807692 # DEPENDENCYPART_ARC
(7,17),-1.06256 # DEPENDENCYPART_ARC
(7,18),-0.953538 # DEPENDENCYPART_ARC
(7,19),-1.9781 # DEPENDENCYPART_ARC
(7,20),-1.83513 # DEPENDENCYPART_ARC
(7,21),-2.80308 # DEPENDENCYPART_ARC
(7,22),0.223875 # DEPENDENCYPART_ARC
(8,1),-0.674938 # DEPENDENCYPART_ARC
(8,2),-3.94336 # DEPENDENCYPART_ARC
(8,3),-0.491321 # DEPENDENCYPART_ARC
(8,4),0.228363 # DEPENDENCYPART_ARC
(8,5),0.576851 # DEPENDENCYPART_ARC
(8,6),2.97354 # DEPENDENCYPART_ARC
(8,7),3.88523 # DEPENDENCYPART_ARC
(8,9),-0.588804 # DEPENDENCYPART_ARC
(8,10),-0.869585 # DEPENDENCYPART_ARC
(8,11),-0.617071 # DEPENDENCYPART_ARC
(8,12),-0.53008 # DEPENDENCYPART_ARC
(8,13),-0.223755 # DEPENDENCYPART_ARC
(8,14),-0.365107 # DEPENDENCYPART_ARC
(8,15),-0.688044 # DEPENDENCYPART_ARC
(8,16),-0.585064 # DEPENDENCYPART_ARC
(8,17),-0.848601 # DEPENDENCYPART_ARC
(8,18),-1.41388 # DEPENDENCYPART_ARC
(8,19),-1.67083 # DEPENDENCYPART_ARC
(8,20),-1.54747 # DEPENDENCYPART_ARC
(8,21),-2.47657 # DEPENDENCYPART_ARC
(8,22),0.431401 # DEPENDENCYPART_ARC
(9,1),-0.884951 # DEPENDENCYPART_ARC
(9,2),-0.187104 # DEPENDENCYPART_ARC
(9,3),-0.960952 # DEPENDENCYPART_ARC
(9,4),-0.22416 # DEPENDENCYPART_ARC
(9,5),-0.869519 # DEPENDENCYPART_ARC
(9,6),0.0210816 # DEPENDENCYPART_ARC
(9,7),-0.0715941 # DEPENDENCYPART_ARC
(9,8),0.483368 # DEPENDENCYPART_ARC
(9,10),0.233708 # DEPENDENCYPART_ARC
(9,11),-0.644538 # DEPENDENCYPART_ARC
(9,12),-0.273908 # DEPENDENCYPART_ARC
(9,13),-0.0874831 # DEPENDENCYPART_ARC
(9,14),-0.044782 # DEPENDENCYPART_ARC
(9,15),-0.544648 # DEPENDENCYPART_ARC
(9,16),-0.14776 # DEPENDENCYPART_ARC
(9,17),-0.710765 # DEPENDENCYPART_ARC
(9,18),-0.474115 # DEPENDENCYPART_ARC
(9,19),-0.996881 # DEPENDENCYPART_ARC
(9,20),-0.930676 # DEPENDENCYPART_ARC
(9,21),-1.32503 # DEPENDENCYPART_ARC
(9,22),-0.223295 # DEPENDENCYPART_ARC
(10,1),0.454877 # DEPENDENCYPART_ARC
(10,2),2.30281 # DEPENDENCYPART_ARC
(10,3),-0.292984 # DEPENDENCYPART_ARC
(10,4),2.6044 # DEPENDENCYPART_ARC
(10,5),-0.604348 # DEPENDENCYPART_ARC
(10,6),2.31966 # DEPENDENCYPART_ARC
(10,7),2.0845 # DEPENDENCYPART_ARC
(10,8),3.49459 # DEPENDENCYPART_ARC
(10,9),3.79336 # DEPENDENCYPART_ARC
(10,11),0.547587 # DEPENDENCYPART_ARC
(10,12),2.04769 # DEPENDENCYPART_ARC
(10,13),2.93587 # DEPENDENCYPART_ARC
(10,14),2.42316 # DEPENDENCYPART_ARC
(10,15),1.98841 # DEPENDENCYPART_ARC
(10,16),2.11586 # DEPENDENCYPART_ARC
(10,17),0.788769 # DEPENDENCYPART_ARC
(10,18),1.94007 # DEPENDENCYPART_ARC
(10,19),-0.143264 # DEPENDENCYPART_ARC
(10,20),-0.320517 # DEPENDENCYPART_ARC
(10,21),1.49879 # DEPENDENCYPART_ARC
(10,22),2.76631 # DEPENDENCYPART_ARC
(11,1),-1.71229 # DEPENDENCYPART_ARC
(11,2),-2.68593 # DEPENDENCYPART_ARC
(11,3),-1.3942 # DEPENDENCYPART_ARC
(11,4),-2.2958 # DEPENDENCYPART_ARC
(11,5),-1.27812 # DEPENDENCYPART_ARC
(11,6),-2.10719 # DEPENDENCYPART_ARC
(11,7),-2.06729 # DEPENDENCYPART_ARC
(11,8),-2.05675 # DEPENDENCYPART_ARC
(11,9),-0.945423 # DEPENDENCYPART_ARC
(11,10),-0.083977 # DEPENDENCYPART_ARC
(11,12),-0.0788837 # DEPENDENCYPART_ARC
(11,13),-0.249343 # DEPENDENCYPART_ARC
(11,14),-0.00388078 # DEPENDENCYPART_ARC
(11,15),-0.625845 # DEPENDENCYPART_ARC
(11,16),-0.181655 # DEPENDENCYPART_ARC
(11,17),-0.711652 # DEPENDENCYPART_ARC
(11,18),-0.726226 # DEPENDENCYPART_ARC
(11,19),-0.491295 # DEPENDENCYPART_ARC
(11,20),-0.46838 # DEPENDENCYPART_ARC
(11,21),-1.31884 # DEPENDENCYPART_ARC
(11,22),-0.651588 # DEPENDENCYPART_ARC
(12,1),-0.523656 # DEPENDENCYPART_ARC
(12,2),-1.14594 # DEPENDENCYPART_ARC
(12,3),0.00246392 # DEPENDENCYPART_ARC
(12,4),-0.913011 # DEPENDENCYPART_ARC
(12,5),0.32069 # DEPENDENCYPART_ARC
(12,6),-0.591646 # DEPENDENCYPART_ARC
(12,7),-0.424328 # DEPENDENCYPART_ARC
(12,8),-0.216782 # DEPENDENCYPART_ARC
(12,9),0.342742 # DEPENDENCYPART_ARC
(12,10),0.431834 # DEPENDENCYPART_ARC
(12,11),2.39278 # DEPENDENCYPART_ARC
(12,13),-0.0741165 # DEPENDENCYPART_ARC
(12,14),0.0479948 # DEPENDENCYPART_ARC
(12,15),-0.425397 # DEPENDENCYPART_ARC
(12,16),-0.123527 # DEPENDENCYPART_ARC
(12,17),-0.605955 # DEPENDENCYPART_ARC
(12,18),-0.562309 # DEPENDENCYPART_ARC
(12,19),-0.996008 # DEPENDENCYPART_ARC
(12,20),-1.06607 # DEPENDENCYPART_ARC
(12,21),-1.06909 # DEPENDENCYPART_ARC
(12,22),-0.293677 # DEPENDENCYPART_ARC
(13,1),-0.832608 # DEPENDENCYPART_ARC
(13,2),-2.09422 # DEPENDENCYPART_ARC
(13,3),-0.556645 # DEPENDENCYPART_ARC
(13,4),-1.58947 # DEPENDENCYPART_ARC
(13,5),-0.420801 # DEPENDENCYPART_ARC
(13,6),-1.28356 # DEPENDENCYPART_ARC
(13,7),-0.949109 # DEPENDENCYPART_ARC
(13,8),-0.252843 # DEPENDENCYPART_ARC
(13,9),0.156721 # DEPENDENCYPART_ARC
(13,10),0.270659 # DEPENDENCYPART_ARC
(13,11),1.01174 # DEPENDENCYPART_ARC
(13,12),1.99418 # DEPENDENCYPART_ARC
(13,14),0.302233 # DEPENDENCYPART_ARC
(13,15),-0.173106 # DEPENDENCYPART_ARC
(13,16),0.159223 # DEPENDENCYPART_ARC
(13,17),-0.257178 # DEPENDENCYPART_ARC
(13,18),0.0763735 # DEPENDENCYPART_ARC
(13,19),-0.504814 # DEPENDENCYPART_ARC
(13,20),-0.49858 # DEPENDENCYPART_ARC
(13,21),-0.926269 # DEPENDENCYPART_ARC
(13,22),0.310597 # DEPENDENCYPART_ARC
(14,1),-2.59382 # DEPENDENCYPART_ARC
(14,2),-3.28287 # DEPENDENCYPART_ARC
(14,3),-2.29259 # DEPENDENCYPART_ARC
(14,4),-3.1419 # DEPENDENCYPART_ARC
(14,5),-2.24942 # DEPENDENCYPART_ARC
(14,6),-3.07112 # DEPENDENCYPART_ARC
(14,7),-3.02293 # DEPENDENCYPART_ARC
(14,8),-2.95016 # DEPENDENCYPART_ARC
(14,9),-2.10859 # DEPENDENCYPART_ARC
(14,10),-2.00103 # DEPENDENCYPART_ARC
(14,11),-1.52433 # DEPENDENCYPART_ARC
(14,12),-1.40853 # DEPENDENCYPART_ARC
(14,13),-0.864149 # DEPENDENCYPART_ARC
(14,15),-1.09084 # DEPENDENCYPART_ARC
(14,16),-0.983219 # DEPENDENCYPART_ARC
(14,17),-1.38131 # DEPENDENCYPART_ARC
(14,18),-1.38165 # DEPENDENCYPART_ARC
(14,19),-1.58898 # DEPENDENCYPART_ARC
(14,20),-1.70567 # DEPENDENCYPART_ARC
(14,21),-2.28885 # DEPENDENCYPART_ARC
(14,22),-1.38533 # DEPENDENCYPART_ARC
(15,1),0.046575 # DEPENDENCYPART_ARC
(15,2),0.3267 # DEPENDENCYPART_ARC
(15,3),-0.135136 # DEPENDENCYPART_ARC
(15,4),0.414243 # DEPENDENCYPART_ARC
(15,5),-0.0986043 # DEPENDENCYPART_ARC
(15,6),0.564045 # DEPENDENCYPART_ARC
(15,7),0.462483 # DEPENDENCYPART_ARC
(15,8),0.494825 # DEPENDENCYPART_ARC
(15,9),0.631817 # DEPENDENCYPART_ARC
(15,10),0.537564 # DEPENDENCYPART_ARC
(15,11),0.998564 # DEPENDENCYPART_ARC
(15,12),0.950864 # DEPENDENCYPART_ARC
(15,13),0.948699 # DEPENDENCYPART_ARC
(15,14),0.996485 # DEPENDENCYPART_ARC
(15,16),1.4463 # DEPENDENCYPART_ARC
(15,17),1.13978 # DEPENDENCYPART_ARC
(15,18),2.07397 # DEPENDENCYPART_ARC
(15,19),0.979314 # DEPENDENCYPART_ARC
(15,20),0.959878 # DEPENDENCYPART_ARC
(15,21),0.645835 # DEPENDENCYPART_ARC
(15,22),1.38218 # DEPENDENCYPART_ARC
(16,1),-2.77413 # DEPENDENCYPART_ARC
(16,2),-3.38714 # DEPENDENCYPART_ARC
(16,3),-2.37921 # DEPENDENCYPART_ARC
(16,4),-3.36162 # DEPENDENCYPART_ARC
(16,5),-2.3532 # DEPENDENCYPART_ARC
(16,6),-3.20467 # DEPENDENCYPART_ARC
(16,7),-3.16647 # DEPENDENCYPART_ARC
(16,8),-3.12436 # DEPENDENCYPART_ARC
(16,9),-2.36627 # DEPENDENCYPART_ARC
(16,10),-2.25673 # DEPENDENCYPART_ARC
(16,11),-1.93059 # DEPENDENCYPART_ARC
(16,12),-1.78395 # DEPENDENCYPART_ARC
(16,13),-1.57304 # DEPENDENCYPART_ARC
(16,14),-1.603 # DEPENDENCYPART_ARC
(16,15),-0.839382 # DEPENDENCYPART_ARC
(16,17),-0.823358 # DEPENDENCYPART_ARC
(16,18),-0.862105 # DEPENDENCYPART_ARC
(16,19),-1.14728 # DEPENDENCYPART_ARC
(16,20),-1.23873 # DEPENDENCYPART_ARC
(16,21),-1.77927 # DEPENDENCYPART_ARC
(16,22),-1.02415 # DEPENDENCYPART_ARC
(17,1),-1.2995 # DEPENDENCYPART_ARC
(17,2),-0.859754 # DEPENDENCYPART_ARC
(17,3),-1.48326 # DEPENDENCYPART_ARC
(17,4),-0.82582 # DEPENDENCYPART_ARC
(17,5),-1.48189 # DEPENDENCYPART_ARC
(17,6),-0.918159 # DEPENDENCYPART_ARC
(17,7),-0.819329 # DEPENDENCYPART_ARC
(17,8),-0.879735 # DEPENDENCYPART_ARC
(17,9),-0.896594 # DEPENDENCYPART_ARC
(17,10),-0.31269 # DEPENDENCYPART_ARC
(17,11),-0.441041 # DEPENDENCYPART_ARC
(17,12),-0.638381 # DEPENDENCYPART_ARC
(17,13),-0.224374 # DEPENDENCYPART_ARC
(17,14),-0.217733 # DEPENDENCYPART_ARC
(17,15),-0.203198 # DEPENDENCYPART_ARC
(17,16),0.224619 # DEPENDENCYPART_ARC
(17,18),0.569906 # DEPENDENCYPART_ARC
(17,19),-0.0704387 # DEPENDENCYPART_ARC
(17,20),-0.176916 # DEPENDENCYPART_ARC
(17,21),-0.269366 # DEPENDENCYPART_ARC
(17,22),0.0250754 # DEPENDENCYPART_ARC
(18,1),-1.31541 # DEPENDENCYPART_ARC
(18,2),1.18558 # DEPENDENCYPART_ARC
(18,3),-1.00281 # DEPENDENCYPART_ARC
(18,4),1.47866 # DEPENDENCYPART_ARC
(18,5),-1.35683 # DEPENDENCYPART_ARC
(18,6),0.617699 # DEPENDENCYPART_ARC
(18,7),0.207712 # DEPENDENCYPART_ARC
(18,8),0.680545 # DEPENDENCYPART_ARC
(18,9),0.659222 # DEPENDENCYPART_ARC
(18,10),0.458572 # DEPENDENCYPART_ARC
(18,11),0.232467 # DEPENDENCYPART_ARC
(18,12),0.825267 # DEPENDENCYPART_ARC
(18,13),0.949599 # DEPENDENCYPART_ARC
(18,14),1.39696 # DEPENDENCYPART_ARC
(18,15),1.59967 # DEPENDENCYPART_ARC
(18,16),1.63696 # DEPENDENCYPART_ARC
(18,17),3.29896 # DEPENDENCYPART_ARC
(18,19),1.54046 # DEPENDENCYPART_ARC
(18,20),0.948705 # DEPENDENCYPART_ARC
(18,21),2.195 # DEPENDENCYPART_ARC
(18,22),1.659 # DEPENDENCYPART_ARC
(19,1),-2.18808 # DEPENDENCYPART_ARC
(19,2),-2.48837 # DEPENDENCYPART_ARC
(19,3),-1.93163 # DEPENDENCYPART_ARC
(19,4),-2.92385 # DEPENDENCYPART_ARC
(19,5),-2.12 # DEPENDENCYPART_ARC
(19,6),-2.33114 # DEPENDENCYPART_ARC
(19,7),-2.8849 # DEPENDENCYPART_ARC
(19,8),-2.29297 # DEPENDENCYPART_ARC
(19,9),-1.41557 # DEPENDENCYPART_ARC
(19,10),-1.78779 # DEPENDENCYPART_ARC
(19,11),-1.01628 # DEPENDENCYPART_ARC
(19,12),-0.845613 # DEPENDENCYPART_ARC
(19,13),-0.79737 # DEPENDENCYPART_ARC
(19,14),-0.847188 # DEPENDENCYPART_ARC
(19,15),-0.36072 # DEPENDENCYPART_ARC
(19,16),-0.41151 # DEPENDENCYPART_ARC
(19,17),-0.0679567 # DEPENDENCYPART_ARC
(19,18),0.0231609 # DEPENDENCYPART_ARC
(19,20),-0.542361 # DEPENDENCYPART_ARC
(19,21),-0.859744 # DEPENDENCYPART_ARC
(19,22),-0.482771 # DEPENDENCYPART_ARC
(20,1),-1.54453 # DEPENDENCYPART_ARC
(20,2),-1.87941 # DEPENDENCYPART_ARC
(20,3),-1.01796 # DEPENDENCYPART_ARC
(20,4),-2.30345 # DEPENDENCYPART_ARC
(20,5),-1.3676 # DEPENDENCYPART_ARC
(20,6),-1.75857 # DEPENDENCYPART_ARC
(20,7),-2.22975 # DEPENDENCYPART_ARC
(20,8),-1.59488 # DEPENDENCYPART_ARC
(20,9),-0.791936 # DEPENDENCYPART_ARC
(20,10),-1.00383 # DEPENDENCYPART_ARC
(20,11),-0.176951 # DEPENDENCYPART_ARC
(20,12),-0.114688 # DEPENDENCYPART_ARC
(20,13),-0.0579118 # DEPENDENCYPART_ARC
(20,14),0.0483672 # DEPENDENCYPART_ARC
(20,15),0.0819761 # DEPENDENCYPART_ARC
(20,16),0.157948 # DEPENDENCYPART_ARC
(20,17),0.345381 # DEPENDENCYPART_ARC
(20,18),0.214574 # DEPENDENCYPART_ARC
(20,19),1.99418 # DEPENDENCYPART_ARC
(20,21),-0.993727 # DEPENDENCYPART_ARC
(20,22),-0.966829 # DEPENDENCYPART_ARC
(21,1),-1.3607 # DEPENDENCYPART_ARC
(21,2),-5.82455 # DEPENDENCYPART_ARC
(21,3),-0.675459 # DEPENDENCYPART_ARC
(21,4),-2.67896 # DEPENDENCYPART_ARC
(21,5),-0.282308 # DEPENDENCYPART_ARC
(21,6),-1.12668 # DEPENDENCYPART_ARC
(21,7),-2.09671 # DEPENDENCYPART_ARC
(21,8),-4.17326 # DEPENDENCYPART_ARC
(21,9),-0.258716 # DEPENDENCYPART_ARC
(21,10),-0.680085 # DEPENDENCYPART_ARC
(21,11),1.67681 # DEPENDENCYPART_ARC
(21,12),0.387666 # DEPENDENCYPART_ARC
(21,13),-0.00166667 # DEPENDENCYPART_ARC
(21,14),-0.00207893 # DEPENDENCYPART_ARC
(21,15),0.12554 # DEPENDENCYPART_ARC
(21,16),-0.0211405 # DEPENDENCYPART_ARC
(21,17),0.755318 # DEPENDENCYPART_ARC
(21,18),-0.196339 # DEPENDENCYPART_ARC
(21,19),2.93375 # DEPENDENCYPART_ARC
(21,20),3.79106 # DEPENDENCYPART_ARC
(21,22),0.0664649 # DEPENDENCYPART_ARC
(22,1),-3.52307 # DEPENDENCYPART_ARC
(22,2),-4.36324 # DEPENDENCYPART_ARC
(22,3),-3.23454 # DEPENDENCYPART_ARC
(22,4),-4.38824 # DEPENDENCYPART_ARC
(22,5),-3.20367 # DEPENDENCYPART_ARC
(22,6),-4.34624 # DEPENDENCYPART_ARC
(22,7),-4.31527 # DEPENDENCYPART_ARC
(22,8),-4.23425 # DEPENDENCYPART_ARC
(22,9),-3.16215 # DEPENDENCYPART_ARC
(22,10),-3.24076 # DEPENDENCYPART_ARC
(22,11),-2.94305 # DEPENDENCYPART_ARC
(22,12),-2.91776 # DEPENDENCYPART_ARC
(22,13),-2.89853 # DEPENDENCYPART_ARC
(22,14),-2.62827 # DEPENDENCYPART_ARC
(22,15),-2.87114 # DEPENDENCYPART_ARC
(22,16),-2.51685 # DEPENDENCYPART_ARC
(22,17),-2.69918 # DEPENDENCYPART_ARC
(22,18),-2.55034 # DEPENDENCYPART_ARC
(22,19),-2.42896 # DEPENDENCYPART_ARC
(22,20),-2.20114 # DEPENDENCYPART_ARC
(22,21),-2.57443 # DEPENDENCYPART_ARC
