# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,2,
(6,16),-2.61753 # DEPENDENCYPART_ARC
(6,17),-1.80457 # DEPENDENCYPART_ARC
(6,18),-2.60853 # DEPENDENCYPART_ARC
(6,19),-0.206021 # DEPENDENCYPART_ARC
(7,1),0.256713 # DEPENDENCYPART_ARC
(7,2),0.515137 # DEPENDENCYPART_ARC
(7,3),0.731362 # DEPENDENCYPART_ARC
(7,4),1.68825 # DEPENDENCYPART_ARC
(7,5),1.78885 # DEPENDENCYPART_ARC
(7,6),3.57914 # DEPENDENCYPART_ARC
(7,8),0.0977961 # DEPENDENCYPART_ARC
(7,9),1.14807 # DEPENDENCYPART_ARC
(7,10),2.71831 # DEPENDENCYPART_ARC
(7,11),3.19834 # DEPENDENCYPART_ARC
(7,12),1.57685 # DEPENDENCYPART_ARC
(7,13),0.859343 # DEPENDENCYPART_ARC
(7,14),-0.878819 # DEPENDENCYPART_ARC
(7,15),0.703532 # DEPENDENCYPART_ARC
(7,16),0.334617 # DEPENDENCYPART_ARC
(7,17),-0.697716 # DEPENDENCYPART_ARC
(7,18),-0.119735 # DEPENDENCYPART_ARC
(7,19),2.29222 # DEPENDENCYPART_ARC
(8,3),-1.84897 # DEPENDENCYPART_ARC
(8,5),-1.93874 # DEPENDENCYPART_ARC
(8,9),-0.549839 # DEPENDENCYPART_ARC
(8,10),-1.20751 # DEPENDENCYPART_ARC
(8,11),-1.58865 # DEPENDENCYPART_ARC
(8,12),-0.673681 # DEPENDENCYPART_ARC
(8,13),-1.30957 # DEPENDENCYPART_ARC
(8,14),-1.22073 # DEPENDENCYPART_ARC
(8,16),-1.94981 # DEPENDENCYPART_ARC
(8,18),-2.03745 # DEPENDENCYPART_ARC
(9,1),-1.73755 # DEPENDENCYPART_ARC
(9,2),-2.62427 # DEPENDENCYPART_ARC
(9,3),-2.43797 # DEPENDENCYPART_ARC
(9,4),-1.5997 # DEPENDENCYPART_ARC
(9,5),-1.90118 # DEPENDENCYPART_ARC
(9,6),-2.19104 # DEPENDENCYPART_ARC
(9,7),-0.375904 # DEPENDENCYPART_ARC
(9,8),2.78309 # DEPENDENCYPART_ARC
(9,10),-1.64175 # DEPENDENCYPART_ARC
(9,11),-1.57122 # DEPENDENCYPART_ARC
(9,12),-0.496335 # DEPENDENCYPART_ARC
(9,13),-1.08669 # DEPENDENCYPART_ARC
(9,14),-1.65951 # DEPENDENCYPART_ARC
(9,15),-1.0096 # DEPENDENCYPART_ARC
(9,16),-2.8005 # DEPENDENCYPART_ARC
(9,17),-1.85443 # DEPENDENCYPART_ARC
(9,18),-2.97077 # DEPENDENCYPART_ARC
(9,19),-0.659208 # DEPENDENCYPART_ARC
(10,1),-0.566727 # DEPENDENCYPART_ARC
(10,2),-2.98517 # DEPENDENCYPART_ARC
(10,3),-1.38786 # DEPENDENCYPART_ARC
(10,4),-0.506625 # DEPENDENCYPART_ARC
(10,5),-0.181422 # DEPENDENCYPART_ARC
(10,6),-2.41355 # DEPENDENCYPART_ARC
(10,7),-1.06661 # DEPENDENCYPART_ARC
(10,8),1.53275 # DEPENDENCYPART_ARC
(10,9),4.8564 # DEPENDENCYPART_ARC
(10,11),-1.5101 # DEPENDENCYPART_ARC
(10,12),-0.62993 # DEPENDENCYPART_ARC
(10,13),-0.782914 # DEPENDENCYPART_ARC
(10,14),-1.64869 # DEPENDENCYPART_ARC
(10,15),-1.47206 # DEPENDENCYPART_ARC
(10,16),-2.80283 # DEPENDENCYPART_ARC
(10,17),-1.83717 # DEPENDENCYPART_ARC
(10,18),-3.32948 # DEPENDENCYPART_ARC
(10,19),-0.397332 # DEPENDENCYPART_ARC
(11,1),-0.648165 # DEPENDENCYPART_ARC
(11,2),-2.75426 # DEPENDENCYPART_ARC
(11,3),-1.28122 # DEPENDENCYPART_ARC
(11,4),-0.547201 # DEPENDENCYPART_ARC
(11,5),-1.31347 # DEPENDENCYPART_ARC
(11,6),-2.55658 # DEPENDENCYPART_ARC
(11,7),-0.826967 # DEPENDENCYPART_ARC
(11,8),0.612783 # DEPENDENCYPART_ARC
(11,9),3.17943 # DEPENDENCYPART_ARC
(11,10),1.51225 # DEPENDENCYPART_ARC
(11,12),0.0585999 # DEPENDENCYPART_ARC
(11,13),-0.482891 # DEPENDENCYPART_ARC
(11,14),-1.34114 # DEPENDENCYPART_ARC
(11,15),-0.603658 # DEPENDENCYPART_ARC
(11,16),-1.85096 # DEPENDENCYPART_ARC
(11,17),-1.16241 # DEPENDENCYPART_ARC
(11,18),-2.70752 # DEPENDENCYPART_ARC
(11,19),0.291054 # DEPENDENCYPART_ARC
(13,1),-0.233125 # DEPENDENCYPART_ARC
(13,2),1.28368 # DEPENDENCYPART_ARC
(13,3),0.828274 # DEPENDENCYPART_ARC
(13,4),-0.214491 # DEPENDENCYPART_ARC
(13,5),-0.691661 # DEPENDENCYPART_ARC
(13,6),-0.220168 # DEPENDENCYPART_ARC
(13,7),1.81244 # DEPENDENCYPART_ARC
(13,8),-0.605561 # DEPENDENCYPART_ARC
(13,9),-0.0339044 # DEPENDENCYPART_ARC
(13,10),0.248743 # DEPENDENCYPART_ARC
(13,11),-0.484549 # DEPENDENCYPART_ARC
(13,12),2.10768 # DEPENDENCYPART_ARC
(13,14),-0.206947 # DEPENDENCYPART_ARC
(13,15),2.22728 # DEPENDENCYPART_ARC
(13,16),-0.00457323 # DEPENDENCYPART_ARC
(13,17),-0.140673 # DEPENDENCYPART_ARC
(13,18),-0.786438 # DEPENDENCYPART_ARC
(13,19),2.89113 # DEPENDENCYPART_ARC
(14,2),-0.485174 # DEPENDENCYPART_ARC
(14,3),-0.341106 # DEPENDENCYPART_ARC
(14,5),-0.515537 # DEPENDENCYPART_ARC
(14,7),-0.458158 # DEPENDENCYPART_ARC
(14,9),-0.837746 # DEPENDENCYPART_ARC
(14,10),-0.411434 # DEPENDENCYPART_ARC
(14,11),-1.03099 # DEPENDENCYPART_ARC
(14,12),-0.307625 # DEPENDENCYPART_ARC
(14,13),0.549026 # DEPENDENCYPART_ARC
(14,15),-0.135557 # DEPENDENCYPART_ARC
(14,16),-0.32239 # DEPENDENCYPART_ARC
(14,18),-0.440375 # DEPENDENCYPART_ARC
(14,19),-0.441966 # DEPENDENCYPART_ARC
(15,1),-0.631018 # DEPENDENCYPART_ARC
(15,2),-1.33313 # DEPENDENCYPART_ARC
(15,3),-0.716263 # DEPENDENCYPART_ARC
(15,4),-0.306567 # DEPENDENCYPART_ARC
(15,5),-0.969414 # DEPENDENCYPART_ARC
(15,6),0.211337 # DEPENDENCYPART_ARC
(15,7),-1.26583 # DEPENDENCYPART_ARC
(15,8),-1.23126 # DEPENDENCYPART_ARC
(15,9),-0.77773 # DEPENDENCYPART_ARC
(15,10),0.818833 # DEPENDENCYPART_ARC
(15,11),-0.594657 # DEPENDENCYPART_ARC
(15,12),0.426183 # DEPENDENCYPART_ARC
(15,13),0.189163 # DEPENDENCYPART_ARC
(15,14),2.25585 # DEPENDENCYPART_ARC
(15,16),2.03851 # DEPENDENCYPART_ARC
(15,17),-0.31374 # DEPENDENCYPART_ARC
(15,18),1.66308 # DEPENDENCYPART_ARC
(15,19),1.48771 # DEPENDENCYPART_ARC
(16,1),-1.62067 # DEPENDENCYPART_ARC
(16,2),-3.10137 # DEPENDENCYPART_ARC
(16,3),-2.51103 # DEPENDENCYPART_ARC
(16,4),-1.66582 # DEPENDENCYPART_ARC
(16,5),-2.98983 # DEPENDENCYPART_ARC
(16,6),-2.91857 # DEPENDENCYPART_ARC
(16,7),-2.07024 # DEPENDENCYPART_ARC
(16,8),-0.505619 # DEPENDENCYPART_ARC
(16,9),-2.22 # DEPENDENCYPART_ARC
(16,10),-4.00739 # DEPENDENCYPART_ARC
(16,11),-4.38044 # DEPENDENCYPART_ARC
(16,12),-1.32468 # DEPENDENCYPART_ARC
(16,13),-0.594559 # DEPENDENCYPART_ARC
(16,14),-0.428132 # DEPENDENCYPART_ARC
(16,15),0.118216 # DEPENDENCYPART_ARC
(16,17),-0.468338 # DEPENDENCYPART_ARC
(16,18),-0.83313 # DEPENDENCYPART_ARC
(16,19),0.137865 # DEPENDENCYPART_ARC
(17,3),-1.72626 # DEPENDENCYPART_ARC
(17,5),-2.44675 # DEPENDENCYPART_ARC
(17,9),-3.30113 # DEPENDENCYPART_ARC
(17,10),-3.58452 # DEPENDENCYPART_ARC
(17,11),-3.62684 # DEPENDENCYPART_ARC
(17,12),-1.47655 # DEPENDENCYPART_ARC
(17,13),-1.53944 # DEPENDENCYPART_ARC
(17,14),-1.69191 # DEPENDENCYPART_ARC
(17,16),-1.58364 # DEPENDENCYPART_ARC
(17,18),-0.692549 # DEPENDENCYPART_ARC
(18,1),-1.72971 # DEPENDENCYPART_ARC
(18,2),-3.35231 # DEPENDENCYPART_ARC
(18,3),-2.86389 # DEPENDENCYPART_ARC
(18,4),-1.82541 # DEPENDENCYPART_ARC
(18,5),-3.68517 # DEPENDENCYPART_ARC
(18,6),-3.59004 # DEPENDENCYPART_ARC
(18,7),-2.42001 # DEPENDENCYPART_ARC
(18,8),-1.20442 # DEPENDENCYPART_ARC
(18,9),-3.15673 # DEPENDENCYPART_ARC
(18,10),-5.11543 # DEPENDENCYPART_ARC
(18,11),-6.10126 # DEPENDENCYPART_ARC
(18,12),-1.58278 # DEPENDENCYPART_ARC
(18,13),-0.862529 # DEPENDENCYPART_ARC
(18,14),-2.31044 # DEPENDENCYPART_ARC
(18,15),-1.44286 # DEPENDENCYPART_ARC
(18,16),-2.33663 # DEPENDENCYPART_ARC
(18,17),2.99768 # DEPENDENCYPART_ARC
(18,19),-0.795253 # DEPENDENCYPART_ARC
