# _root_ Rendes körülmények között , a rosszak , akiket támadnak a mieink .
#goldHeads=2,3,0,3,6,3,3,9,3,11,9,3,
#predictedHeads=2,3,9,9,6,9,9,9,0,11,9,9,
(8,9),0.205634 # DEPENDENCYPART_ARC
(8,10),-1.50397 # DEPENDENCYPART_ARC
(8,11),-0.618601 # DEPENDENCYPART_ARC
(8,12),-0.346926 # DEPENDENCYPART_ARC
(9,1),-1.26678 # DEPENDENCYPART_ARC
(9,2),-0.129742 # DEPENDENCYPART_ARC
(9,3),-0.0873811 # DEPENDENCYPART_ARC
(9,4),0.355723 # DEPENDENCYPART_ARC
(9,5),-0.937955 # DEPENDENCYPART_ARC
(9,6),0.528892 # DEPENDENCYPART_ARC
(9,7),0.531865 # DEPENDENCYPART_ARC
(9,8),3.50123 # DEPENDENCYPART_ARC
(9,10),-0.102658 # DEPENDENCYPART_ARC
(9,11),2.60746 # DEPENDENCYPART_ARC
(9,12),1.71724 # DEPENDENCYPART_ARC
(10,1),-2.20653 # DEPENDENCYPART_ARC
(10,2),-3.12079 # DEPENDENCYPART_ARC
(10,3),-2.05242 # DEPENDENCYPART_ARC
(10,4),-1.71475 # DEPENDENCYPART_ARC
(10,5),-1.89192 # DEPENDENCYPART_ARC
(10,6),-2.76263 # DEPENDENCYPART_ARC
(10,7),-1.46193 # DEPENDENCYPART_ARC
(10,8),-1.85277 # DEPENDENCYPART_ARC
(10,9),-0.945432 # DEPENDENCYPART_ARC
(10,11),-0.330847 # DEPENDENCYPART_ARC
(10,12),-1.18688 # DEPENDENCYPART_ARC
(11,1),-2.70997 # DEPENDENCYPART_ARC
(11,2),-3.92039 # DEPENDENCYPART_ARC
(11,3),-1.37398 # DEPENDENCYPART_ARC
(11,4),-2.1037 # DEPENDENCYPART_ARC
(11,5),-0.508679 # DEPENDENCYPART_ARC
(11,6),-2.88035 # DEPENDENCYPART_ARC
(11,7),-1.76806 # DEPENDENCYPART_ARC
(11,8),-2.84042 # DEPENDENCYPART_ARC
(11,9),-1.16075 # DEPENDENCYPART_ARC
(11,10),3.28324 # DEPENDENCYPART_ARC
(11,12),-0.429607 # DEPENDENCYPART_ARC
(12,1),-3.27115 # DEPENDENCYPART_ARC
(12,2),-3.98011 # DEPENDENCYPART_ARC
(12,3),-2.90581 # DEPENDENCYPART_ARC
(12,4),-2.62629 # DEPENDENCYPART_ARC
(12,5),-2.84829 # DEPENDENCYPART_ARC
(12,6),-3.77436 # DEPENDENCYPART_ARC
(12,7),-2.6417 # DEPENDENCYPART_ARC
(12,8),-2.82104 # DEPENDENCYPART_ARC
(12,9),-2.35158 # DEPENDENCYPART_ARC
(12,10),-1.85978 # DEPENDENCYPART_ARC
(12,11),-2.53209 # DEPENDENCYPART_ARC
