# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(3,19),-1.75306 # DEPENDENCYPART_ARC
(3,20),-1.85855 # DEPENDENCYPART_ARC
(3,21),-0.916879 # DEPENDENCYPART_ARC
(4,1),0.0222652 # DEPENDENCYPART_ARC
(4,2),2.80887 # DEPENDENCYPART_ARC
(4,3),3.28837 # DEPENDENCYPART_ARC
(4,5),2.0767 # DEPENDENCYPART_ARC
(4,6),1.50051 # DEPENDENCYPART_ARC
(4,7),1.40938 # DEPENDENCYPART_ARC
(4,8),0.6393 # DEPENDENCYPART_ARC
(4,9),0.167802 # DEPENDENCYPART_ARC
(4,10),1.11158 # DEPENDENCYPART_ARC
(4,11),0.856635 # DEPENDENCYPART_ARC
(4,12),1.36316 # DEPENDENCYPART_ARC
(4,13),-1.42125 # DEPENDENCYPART_ARC
(4,14),-0.894139 # DEPENDENCYPART_ARC
(4,15),-0.657674 # DEPENDENCYPART_ARC
(4,16),-0.679049 # DEPENDENCYPART_ARC
(4,17),-2.22546 # DEPENDENCYPART_ARC
(4,18),-1.77714 # DEPENDENCYPART_ARC
(4,19),0.391582 # DEPENDENCYPART_ARC
(4,20),0.942775 # DEPENDENCYPART_ARC
(4,21),1.77024 # DEPENDENCYPART_ARC
(5,2),-0.454909 # DEPENDENCYPART_ARC
(5,4),-0.122062 # DEPENDENCYPART_ARC
(5,6),-0.477079 # DEPENDENCYPART_ARC
(5,7),-0.881562 # DEPENDENCYPART_ARC
(5,8),-0.742591 # DEPENDENCYPART_ARC
(5,9),-1.2049 # DEPENDENCYPART_ARC
(5,10),-0.700078 # DEPENDENCYPART_ARC
(5,11),-1.09485 # DEPENDENCYPART_ARC
(5,12),-0.726467 # DEPENDENCYPART_ARC
(5,14),-1.74153 # DEPENDENCYPART_ARC
(5,15),-2.16148 # DEPENDENCYPART_ARC
(5,17),-2.71224 # DEPENDENCYPART_ARC
(5,18),-2.71816 # DEPENDENCYPART_ARC
(5,19),-1.34569 # DEPENDENCYPART_ARC
(5,20),-1.22813 # DEPENDENCYPART_ARC
(5,21),-0.866509 # DEPENDENCYPART_ARC
(6,1),0.276901 # DEPENDENCYPART_ARC
(6,2),-0.574075 # DEPENDENCYPART_ARC
(6,3),-0.0506716 # DEPENDENCYPART_ARC
(6,4),-0.144743 # DEPENDENCYPART_ARC
(6,5),1.84618 # DEPENDENCYPART_ARC
(6,7),0.140245 # DEPENDENCYPART_ARC
(6,8),-0.443579 # DEPENDENCYPART_ARC
(6,9),-0.569586 # DEPENDENCYPART_ARC
(6,10),-0.0175703 # DEPENDENCYPART_ARC
(6,11),-0.370671 # DEPENDENCYPART_ARC
(6,12),-0.289393 # DEPENDENCYPART_ARC
(6,13),-1.45806 # DEPENDENCYPART_ARC
(6,14),-1.12979 # DEPENDENCYPART_ARC
(6,15),-0.975264 # DEPENDENCYPART_ARC
(6,16),-1.02077 # DEPENDENCYPART_ARC
(6,17),-1.52578 # DEPENDENCYPART_ARC
(6,18),-0.978112 # DEPENDENCYPART_ARC
(6,19),-0.453073 # DEPENDENCYPART_ARC
(6,20),-0.863726 # DEPENDENCYPART_ARC
(6,21),0.946262 # DEPENDENCYPART_ARC
(8,1),-1.17782 # DEPENDENCYPART_ARC
(8,2),-0.542002 # DEPENDENCYPART_ARC
(8,3),-0.12514 # DEPENDENCYPART_ARC
(8,4),1.92334 # DEPENDENCYPART_ARC
(8,5),0.510707 # DEPENDENCYPART_ARC
(8,6),0.278512 # DEPENDENCYPART_ARC
(8,7),2.06839 # DEPENDENCYPART_ARC
(8,9),-0.328815 # DEPENDENCYPART_ARC
(8,10),2.30812 # DEPENDENCYPART_ARC
(8,11),0.451865 # DEPENDENCYPART_ARC
(8,12),0.655709 # DEPENDENCYPART_ARC
(8,13),-0.703 # DEPENDENCYPART_ARC
(8,14),-0.490115 # DEPENDENCYPART_ARC
(8,15),-1.03398 # DEPENDENCYPART_ARC
(8,16),-0.913827 # DEPENDENCYPART_ARC
(8,17),-1.33469 # DEPENDENCYPART_ARC
(8,18),-1.56237 # DEPENDENCYPART_ARC
(8,19),1.14115 # DEPENDENCYPART_ARC
(8,20),0.329699 # DEPENDENCYPART_ARC
(8,21),3.06308 # DEPENDENCYPART_ARC
(9,1),-0.660518 # DEPENDENCYPART_ARC
(9,2),-2.89476 # DEPENDENCYPART_ARC
(9,3),-0.40928 # DEPENDENCYPART_ARC
(9,4),-1.29248 # DEPENDENCYPART_ARC
(9,5),-0.385357 # DEPENDENCYPART_ARC
(9,6),-1.11447 # DEPENDENCYPART_ARC
(9,7),0.871383 # DEPENDENCYPART_ARC
(9,8),0.825165 # DEPENDENCYPART_ARC
(9,10),-0.305815 # DEPENDENCYPART_ARC
(9,11),-0.358913 # DEPENDENCYPART_ARC
(9,12),-0.69732 # DEPENDENCYPART_ARC
(9,13),-1.8214 # DEPENDENCYPART_ARC
(9,14),-1.23239 # DEPENDENCYPART_ARC
(9,15),-1.80166 # DEPENDENCYPART_ARC
(9,16),-1.23882 # DEPENDENCYPART_ARC
(9,17),-2.04302 # DEPENDENCYPART_ARC
(9,18),-2.31678 # DEPENDENCYPART_ARC
(9,19),-0.561581 # DEPENDENCYPART_ARC
(9,20),-0.606141 # DEPENDENCYPART_ARC
(9,21),0.419295 # DEPENDENCYPART_ARC
(10,1),-1.04543 # DEPENDENCYPART_ARC
(10,2),-0.295837 # DEPENDENCYPART_ARC
(10,3),0.779735 # DEPENDENCYPART_ARC
(10,4),0.302713 # DEPENDENCYPART_ARC
(10,5),0.959007 # DEPENDENCYPART_ARC
(10,6),0.0384838 # DEPENDENCYPART_ARC
(10,7),0.965623 # DEPENDENCYPART_ARC
(10,8),1.85972 # DEPENDENCYPART_ARC
(10,9),3.19967 # DEPENDENCYPART_ARC
(10,11),1.77669 # DEPENDENCYPART_ARC
(10,12),2.76588 # DEPENDENCYPART_ARC
(10,13),-0.917747 # DEPENDENCYPART_ARC
(10,14),-0.177915 # DEPENDENCYPART_ARC
(10,15),-0.369497 # DEPENDENCYPART_ARC
(10,16),-0.468325 # DEPENDENCYPART_ARC
(10,17),-1.49391 # DEPENDENCYPART_ARC
(10,18),-1.53389 # DEPENDENCYPART_ARC
(10,19),1.9075 # DEPENDENCYPART_ARC
(10,20),1.25051 # DEPENDENCYPART_ARC
(10,21),2.51141 # DEPENDENCYPART_ARC
(12,1),-1.43667 # DEPENDENCYPART_ARC
(12,2),-0.475032 # DEPENDENCYPART_ARC
(12,3),0.0670464 # DEPENDENCYPART_ARC
(12,4),0.0677121 # DEPENDENCYPART_ARC
(12,5),0.163243 # DEPENDENCYPART_ARC
(12,6),0.0349074 # DEPENDENCYPART_ARC
(12,7),0.109434 # DEPENDENCYPART_ARC
(12,8),1.08628 # DEPENDENCYPART_ARC
(12,9),0.503895 # DEPENDENCYPART_ARC
(12,10),0.572741 # DEPENDENCYPART_ARC
(12,11),1.17338 # DEPENDENCYPART_ARC
(12,14),0.00928687 # DEPENDENCYPART_ARC
(12,15),-1.15524 # DEPENDENCYPART_ARC
(12,16),-0.853851 # DEPENDENCYPART_ARC
(12,17),-1.27829 # DEPENDENCYPART_ARC
(12,18),-1.52625 # DEPENDENCYPART_ARC
(12,19),1.35909 # DEPENDENCYPART_ARC
(12,20),0.34965 # DEPENDENCYPART_ARC
(12,21),1.97817 # DEPENDENCYPART_ARC
(13,2),-2.22603 # DEPENDENCYPART_ARC
(13,3),-1.5796 # DEPENDENCYPART_ARC
(13,5),-1.4673 # DEPENDENCYPART_ARC
(13,7),-1.26546 # DEPENDENCYPART_ARC
(13,8),-1.60994 # DEPENDENCYPART_ARC
(13,9),-2.45752 # DEPENDENCYPART_ARC
(13,11),-1.28609 # DEPENDENCYPART_ARC
(13,15),-0.177522 # DEPENDENCYPART_ARC
(13,17),-0.733247 # DEPENDENCYPART_ARC
(13,18),-1.56756 # DEPENDENCYPART_ARC
(13,21),-0.445091 # DEPENDENCYPART_ARC
(14,1),-2.00994 # DEPENDENCYPART_ARC
(14,2),-3.02168 # DEPENDENCYPART_ARC
(14,3),-1.35983 # DEPENDENCYPART_ARC
(14,4),-1.93899 # DEPENDENCYPART_ARC
(14,5),-0.565736 # DEPENDENCYPART_ARC
(14,6),-2.17971 # DEPENDENCYPART_ARC
(14,7),-0.667374 # DEPENDENCYPART_ARC
(14,8),-0.641323 # DEPENDENCYPART_ARC
(14,9),-1.41552 # DEPENDENCYPART_ARC
(14,10),-0.808483 # DEPENDENCYPART_ARC
(14,11),-0.206695 # DEPENDENCYPART_ARC
(14,12),-0.274956 # DEPENDENCYPART_ARC
(14,13),0.894272 # DEPENDENCYPART_ARC
(14,15),-0.565446 # DEPENDENCYPART_ARC
(14,16),-1.47733 # DEPENDENCYPART_ARC
(14,17),-1.36501 # DEPENDENCYPART_ARC
(14,18),-1.34987 # DEPENDENCYPART_ARC
(14,19),-1.20478 # DEPENDENCYPART_ARC
(14,20),-1.29988 # DEPENDENCYPART_ARC
(14,21),-0.593966 # DEPENDENCYPART_ARC
(15,1),-0.5066 # DEPENDENCYPART_ARC
(15,2),-3.30172 # DEPENDENCYPART_ARC
(15,3),-0.927147 # DEPENDENCYPART_ARC
(15,4),-1.89161 # DEPENDENCYPART_ARC
(15,5),-1.53348 # DEPENDENCYPART_ARC
(15,6),-1.62911 # DEPENDENCYPART_ARC
(15,7),-0.0873161 # DEPENDENCYPART_ARC
(15,8),-0.363793 # DEPENDENCYPART_ARC
(15,9),-3.05949 # DEPENDENCYPART_ARC
(15,10),-0.638855 # DEPENDENCYPART_ARC
(15,11),-0.368365 # DEPENDENCYPART_ARC
(15,12),-0.539764 # DEPENDENCYPART_ARC
(15,13),2.01337 # DEPENDENCYPART_ARC
(15,14),3.40505 # DEPENDENCYPART_ARC
(15,16),-0.691972 # DEPENDENCYPART_ARC
(15,17),-0.532779 # DEPENDENCYPART_ARC
(15,18),-0.815367 # DEPENDENCYPART_ARC
(15,19),-0.409638 # DEPENDENCYPART_ARC
(15,20),-0.196739 # DEPENDENCYPART_ARC
(15,21),0.371446 # DEPENDENCYPART_ARC
(16,2),-3.57463 # DEPENDENCYPART_ARC
(16,6),-2.14403 # DEPENDENCYPART_ARC
(16,7),-1.32577 # DEPENDENCYPART_ARC
(16,8),-1.69195 # DEPENDENCYPART_ARC
(16,9),-3.17828 # DEPENDENCYPART_ARC
(16,11),-1.21255 # DEPENDENCYPART_ARC
(16,14),-1.24634 # DEPENDENCYPART_ARC
(16,15),-1.71878 # DEPENDENCYPART_ARC
(16,17),-0.390479 # DEPENDENCYPART_ARC
(16,18),-1.00202 # DEPENDENCYPART_ARC
(17,1),-1.94017 # DEPENDENCYPART_ARC
(17,2),-4.70551 # DEPENDENCYPART_ARC
(17,3),-1.86364 # DEPENDENCYPART_ARC
(17,4),-2.29321 # DEPENDENCYPART_ARC
(17,5),-2.34523 # DEPENDENCYPART_ARC
(17,6),-4.30435 # DEPENDENCYPART_ARC
(17,7),-1.31874 # DEPENDENCYPART_ARC
(17,8),-1.37731 # DEPENDENCYPART_ARC
(17,9),-4.31237 # DEPENDENCYPART_ARC
(17,10),-1.30154 # DEPENDENCYPART_ARC
(17,11),-1.14767 # DEPENDENCYPART_ARC
(17,12),-1.51077 # DEPENDENCYPART_ARC
(17,13),0.0844409 # DEPENDENCYPART_ARC
(17,14),-0.471063 # DEPENDENCYPART_ARC
(17,15),-2.09798 # DEPENDENCYPART_ARC
(17,16),2.9666 # DEPENDENCYPART_ARC
(17,18),-1.43634 # DEPENDENCYPART_ARC
(17,19),-0.553435 # DEPENDENCYPART_ARC
(17,20),-0.654198 # DEPENDENCYPART_ARC
(17,21),-0.591395 # DEPENDENCYPART_ARC
(18,1),-3.48345 # DEPENDENCYPART_ARC
(18,2),-2.14481 # DEPENDENCYPART_ARC
(18,3),-1.06589 # DEPENDENCYPART_ARC
(18,4),-3.19363 # DEPENDENCYPART_ARC
(18,5),-1.65457 # DEPENDENCYPART_ARC
(18,6),-3.06919 # DEPENDENCYPART_ARC
(18,7),-0.930769 # DEPENDENCYPART_ARC
(18,8),-0.505998 # DEPENDENCYPART_ARC
(18,9),-3.02017 # DEPENDENCYPART_ARC
(18,10),-2.21268 # DEPENDENCYPART_ARC
(18,11),-0.549108 # DEPENDENCYPART_ARC
(18,12),-0.756826 # DEPENDENCYPART_ARC
(18,13),-0.294298 # DEPENDENCYPART_ARC
(18,14),-0.586455 # DEPENDENCYPART_ARC
(18,15),-2.00854 # DEPENDENCYPART_ARC
(18,16),1.03325 # DEPENDENCYPART_ARC
(18,17),3.92016 # DEPENDENCYPART_ARC
(18,19),-1.40649 # DEPENDENCYPART_ARC
(18,20),-0.835306 # DEPENDENCYPART_ARC
(18,21),-0.549501 # DEPENDENCYPART_ARC
(19,1),-2.45236 # DEPENDENCYPART_ARC
(19,2),-1.80186 # DEPENDENCYPART_ARC
(19,3),-0.107027 # DEPENDENCYPART_ARC
(19,4),-1.31095 # DEPENDENCYPART_ARC
(19,5),-1.24026 # DEPENDENCYPART_ARC
(19,6),-1.57838 # DEPENDENCYPART_ARC
(19,7),-0.69561 # DEPENDENCYPART_ARC
(19,8),0.563604 # DEPENDENCYPART_ARC
(19,9),-0.951071 # DEPENDENCYPART_ARC
(19,10),-1.17863 # DEPENDENCYPART_ARC
(19,11),0.015552 # DEPENDENCYPART_ARC
(19,12),-0.0847863 # DEPENDENCYPART_ARC
(19,13),-0.833019 # DEPENDENCYPART_ARC
(19,14),-0.473078 # DEPENDENCYPART_ARC
(19,15),1.584 # DEPENDENCYPART_ARC
(19,16),-1.0942 # DEPENDENCYPART_ARC
(19,17),1.11532 # DEPENDENCYPART_ARC
(19,18),1.74207 # DEPENDENCYPART_ARC
(19,20),4.13526 # DEPENDENCYPART_ARC
(19,21),1.72025 # DEPENDENCYPART_ARC
(20,1),-1.31024 # DEPENDENCYPART_ARC
(20,2),-1.83299 # DEPENDENCYPART_ARC
(20,3),-0.988772 # DEPENDENCYPART_ARC
(20,4),-1.57251 # DEPENDENCYPART_ARC
(20,5),-0.987092 # DEPENDENCYPART_ARC
(20,6),-0.865477 # DEPENDENCYPART_ARC
(20,7),-0.30134 # DEPENDENCYPART_ARC
(20,8),0.113598 # DEPENDENCYPART_ARC
(20,9),0.834615 # DEPENDENCYPART_ARC
(20,10),-0.881788 # DEPENDENCYPART_ARC
(20,11),0.17215 # DEPENDENCYPART_ARC
(20,12),-0.307133 # DEPENDENCYPART_ARC
(20,13),-0.778951 # DEPENDENCYPART_ARC
(20,14),0.418072 # DEPENDENCYPART_ARC
(20,15),2.94981 # DEPENDENCYPART_ARC
(20,16),-0.491199 # DEPENDENCYPART_ARC
(20,17),0.485082 # DEPENDENCYPART_ARC
(20,18),3.3008 # DEPENDENCYPART_ARC
(20,19),1.29156 # DEPENDENCYPART_ARC
(20,21),0.374679 # DEPENDENCYPART_ARC
