# _root_ Nyolc dolgot kifogásoltak , hétről kapásból kiderült , hogy nem jogos az óvás .
#goldHeads=2,3,0,3,7,7,3,7,7,7,7,13,7,3,
#predictedHeads=2,3,0,3,7,7,3,7,7,11,7,13,11,3,
(6,8),-0.803576 # DEPENDENCYPART_ARC
(6,9),-1.20283 # DEPENDENCYPART_ARC
(6,10),-1.26523 # DEPENDENCYPART_ARC
(6,11),-1.69854 # DEPENDENCYPART_ARC
(6,12),-1.60588 # DEPENDENCYPART_ARC
(6,13),-2.74692 # DEPENDENCYPART_ARC
(6,14),-0.802101 # DEPENDENCYPART_ARC
(7,1),-0.334044 # DEPENDENCYPART_ARC
(7,2),1.46512 # DEPENDENCYPART_ARC
(7,3),0.339162 # DEPENDENCYPART_ARC
(7,4),1.27009 # DEPENDENCYPART_ARC
(7,5),2.27036 # DEPENDENCYPART_ARC
(7,6),3.67505 # DEPENDENCYPART_ARC
(7,8),2.13419 # DEPENDENCYPART_ARC
(7,9),3.17117 # DEPENDENCYPART_ARC
(7,10),0.756806 # DEPENDENCYPART_ARC
(7,11),0.611683 # DEPENDENCYPART_ARC
(7,12),-0.1639 # DEPENDENCYPART_ARC
(7,13),0.00366776 # DEPENDENCYPART_ARC
(7,14),2.00263 # DEPENDENCYPART_ARC
(9,1),0.0580609 # DEPENDENCYPART_ARC
(9,2),-0.868523 # DEPENDENCYPART_ARC
(9,3),-0.0655363 # DEPENDENCYPART_ARC
(9,4),0.208325 # DEPENDENCYPART_ARC
(9,5),0.33238 # DEPENDENCYPART_ARC
(9,6),0.636323 # DEPENDENCYPART_ARC
(9,7),0.276146 # DEPENDENCYPART_ARC
(9,8),1.33902 # DEPENDENCYPART_ARC
(9,10),-0.210418 # DEPENDENCYPART_ARC
(9,11),-0.0742417 # DEPENDENCYPART_ARC
(9,12),-0.899546 # DEPENDENCYPART_ARC
(9,13),-1.72501 # DEPENDENCYPART_ARC
(9,14),1.05431 # DEPENDENCYPART_ARC
(10,2),-1.9432 # DEPENDENCYPART_ARC
(10,3),-1.5915 # DEPENDENCYPART_ARC
(10,4),-1.20197 # DEPENDENCYPART_ARC
(10,6),-1.39989 # DEPENDENCYPART_ARC
(10,7),-0.95683 # DEPENDENCYPART_ARC
(10,8),-0.715904 # DEPENDENCYPART_ARC
(10,9),-0.625534 # DEPENDENCYPART_ARC
(10,11),-0.238576 # DEPENDENCYPART_ARC
(10,13),-0.765108 # DEPENDENCYPART_ARC
(10,14),0.21864 # DEPENDENCYPART_ARC
(11,1),-1.02018 # DEPENDENCYPART_ARC
(11,2),-1.2258 # DEPENDENCYPART_ARC
(11,3),-1.3177 # DEPENDENCYPART_ARC
(11,4),-0.255012 # DEPENDENCYPART_ARC
(11,5),-0.442269 # DEPENDENCYPART_ARC
(11,6),-0.306461 # DEPENDENCYPART_ARC
(11,7),-0.773018 # DEPENDENCYPART_ARC
(11,8),0.517058 # DEPENDENCYPART_ARC
(11,9),0.195594 # DEPENDENCYPART_ARC
(11,10),1.16048 # DEPENDENCYPART_ARC
(11,12),-0.187277 # DEPENDENCYPART_ARC
(11,13),0.322194 # DEPENDENCYPART_ARC
(11,14),0.64956 # DEPENDENCYPART_ARC
(12,2),-2.87912 # DEPENDENCYPART_ARC
(12,4),-1.18633 # DEPENDENCYPART_ARC
(12,6),-2.60674 # DEPENDENCYPART_ARC
(12,8),-0.794738 # DEPENDENCYPART_ARC
(12,11),-0.54695 # DEPENDENCYPART_ARC
(12,13),-0.652729 # DEPENDENCYPART_ARC
(13,1),-1.45877 # DEPENDENCYPART_ARC
(13,2),-5.08091 # DEPENDENCYPART_ARC
(13,3),-1.99698 # DEPENDENCYPART_ARC
(13,4),-1.88736 # DEPENDENCYPART_ARC
(13,5),-2.48734 # DEPENDENCYPART_ARC
(13,6),-4.42048 # DEPENDENCYPART_ARC
(13,7),-1.37574 # DEPENDENCYPART_ARC
(13,8),-0.875376 # DEPENDENCYPART_ARC
(13,9),-1.05224 # DEPENDENCYPART_ARC
(13,10),-0.600609 # DEPENDENCYPART_ARC
(13,11),-0.656468 # DEPENDENCYPART_ARC
(13,12),2.84983 # DEPENDENCYPART_ARC
(13,14),-0.707151 # DEPENDENCYPART_ARC
