# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,15,16,14,14,11,4,14,14,15,18,18,18,11,11,
(11,15),0.314622 # DEPENDENCYPART_ARC
(11,16),0.346234 # DEPENDENCYPART_ARC
(11,17),-0.0697869 # DEPENDENCYPART_ARC
(11,18),0.029635 # DEPENDENCYPART_ARC
(11,19),2.26423 # DEPENDENCYPART_ARC
(12,2),-1.34749 # DEPENDENCYPART_ARC
(12,3),-0.574852 # DEPENDENCYPART_ARC
(12,6),-2.56037 # DEPENDENCYPART_ARC
(12,7),-1.29354 # DEPENDENCYPART_ARC
(12,9),-0.941096 # DEPENDENCYPART_ARC
(12,10),-0.565389 # DEPENDENCYPART_ARC
(12,11),-0.246028 # DEPENDENCYPART_ARC
(12,13),0.295696 # DEPENDENCYPART_ARC
(12,14),-0.611088 # DEPENDENCYPART_ARC
(12,16),-0.794176 # DEPENDENCYPART_ARC
(12,18),-0.859381 # DEPENDENCYPART_ARC
(13,1),-2.03494 # DEPENDENCYPART_ARC
(13,2),-2.71932 # DEPENDENCYPART_ARC
(13,3),-1.28729 # DEPENDENCYPART_ARC
(13,4),-1.78152 # DEPENDENCYPART_ARC
(13,5),-1.74979 # DEPENDENCYPART_ARC
(13,6),-2.99725 # DEPENDENCYPART_ARC
(13,7),-1.09336 # DEPENDENCYPART_ARC
(13,8),-1.19955 # DEPENDENCYPART_ARC
(13,9),-1.66199 # DEPENDENCYPART_ARC
(13,10),-0.752395 # DEPENDENCYPART_ARC
(13,11),-0.93891 # DEPENDENCYPART_ARC
(13,12),0.716815 # DEPENDENCYPART_ARC
(13,14),-1.0225 # DEPENDENCYPART_ARC
(13,15),-0.845645 # DEPENDENCYPART_ARC
(13,16),-1.42449 # DEPENDENCYPART_ARC
(13,17),-1.42984 # DEPENDENCYPART_ARC
(13,18),-1.63566 # DEPENDENCYPART_ARC
(13,19),-1.09619 # DEPENDENCYPART_ARC
(14,1),-1.61433 # DEPENDENCYPART_ARC
(14,2),-1.55209 # DEPENDENCYPART_ARC
(14,3),-0.162215 # DEPENDENCYPART_ARC
(14,4),-1.61815 # DEPENDENCYPART_ARC
(14,5),-0.514722 # DEPENDENCYPART_ARC
(14,6),-1.77512 # DEPENDENCYPART_ARC
(14,7),-0.806155 # DEPENDENCYPART_ARC
(14,8),0.769549 # DEPENDENCYPART_ARC
(14,9),0.683354 # DEPENDENCYPART_ARC
(14,10),0.754646 # DEPENDENCYPART_ARC
(14,11),-0.0746151 # DEPENDENCYPART_ARC
(14,12),2.97821 # DEPENDENCYPART_ARC
(14,13),3.55147 # DEPENDENCYPART_ARC
(14,15),-0.317163 # DEPENDENCYPART_ARC
(14,16),-1.23899 # DEPENDENCYPART_ARC
(14,17),-1.00316 # DEPENDENCYPART_ARC
(14,18),-1.23119 # DEPENDENCYPART_ARC
(14,19),-1.03518 # DEPENDENCYPART_ARC
(15,1),-0.829869 # DEPENDENCYPART_ARC
(15,2),-0.727482 # DEPENDENCYPART_ARC
(15,3),-0.454296 # DEPENDENCYPART_ARC
(15,5),-0.612229 # DEPENDENCYPART_ARC
(15,6),0.110799 # DEPENDENCYPART_ARC
(15,7),0.0965489 # DEPENDENCYPART_ARC
(15,8),-0.413661 # DEPENDENCYPART_ARC
(15,9),-0.434714 # DEPENDENCYPART_ARC
(15,10),-0.00129851 # DEPENDENCYPART_ARC
(15,11),0.412905 # DEPENDENCYPART_ARC
(15,12),0.0366836 # DEPENDENCYPART_ARC
(15,13),0.543126 # DEPENDENCYPART_ARC
(15,14),3.59954 # DEPENDENCYPART_ARC
(15,16),-0.778173 # DEPENDENCYPART_ARC
(15,17),-0.876881 # DEPENDENCYPART_ARC
(15,18),-0.944543 # DEPENDENCYPART_ARC
(15,19),-0.922002 # DEPENDENCYPART_ARC
(16,1),0.356806 # DEPENDENCYPART_ARC
(16,2),-0.409477 # DEPENDENCYPART_ARC
(16,3),0.00497017 # DEPENDENCYPART_ARC
(16,4),-0.388924 # DEPENDENCYPART_ARC
(16,5),-1.28281 # DEPENDENCYPART_ARC
(16,6),-0.870429 # DEPENDENCYPART_ARC
(16,7),0.37396 # DEPENDENCYPART_ARC
(16,8),-1.06457 # DEPENDENCYPART_ARC
(16,9),-0.499669 # DEPENDENCYPART_ARC
(16,10),0.324464 # DEPENDENCYPART_ARC
(16,11),0.45686 # DEPENDENCYPART_ARC
(16,12),-0.657732 # DEPENDENCYPART_ARC
(16,13),-0.0597232 # DEPENDENCYPART_ARC
(16,14),-0.277412 # DEPENDENCYPART_ARC
(16,15),0.593874 # DEPENDENCYPART_ARC
(16,17),-0.408376 # DEPENDENCYPART_ARC
(16,18),0.19016 # DEPENDENCYPART_ARC
(16,19),0.515833 # DEPENDENCYPART_ARC
(17,1),-0.634776 # DEPENDENCYPART_ARC
(17,2),-0.93563 # DEPENDENCYPART_ARC
(17,3),-0.164169 # DEPENDENCYPART_ARC
(17,4),-0.953544 # DEPENDENCYPART_ARC
(17,5),-1.11068 # DEPENDENCYPART_ARC
(17,6),-0.694249 # DEPENDENCYPART_ARC
(17,7),-0.170078 # DEPENDENCYPART_ARC
(17,8),-0.901586 # DEPENDENCYPART_ARC
(17,9),-0.63227 # DEPENDENCYPART_ARC
(17,10),0.0210034 # DEPENDENCYPART_ARC
(17,11),-0.0499755 # DEPENDENCYPART_ARC
(17,12),-0.625898 # DEPENDENCYPART_ARC
(17,13),-0.279141 # DEPENDENCYPART_ARC
(17,14),0.10233 # DEPENDENCYPART_ARC
(17,15),0.118266 # DEPENDENCYPART_ARC
(17,16),0.660502 # DEPENDENCYPART_ARC
(17,18),-0.396734 # DEPENDENCYPART_ARC
(17,19),-0.457502 # DEPENDENCYPART_ARC
(18,1),-0.757456 # DEPENDENCYPART_ARC
(18,2),-0.897251 # DEPENDENCYPART_ARC
(18,3),-0.09837 # DEPENDENCYPART_ARC
(18,4),-0.226676 # DEPENDENCYPART_ARC
(18,5),0.0785244 # DEPENDENCYPART_ARC
(18,6),-1.051 # DEPENDENCYPART_ARC
(18,7),0.316883 # DEPENDENCYPART_ARC
(18,8),0.463147 # DEPENDENCYPART_ARC
(18,9),-0.0897208 # DEPENDENCYPART_ARC
(18,10),0.46858 # DEPENDENCYPART_ARC
(18,11),0.380003 # DEPENDENCYPART_ARC
(18,12),0.977579 # DEPENDENCYPART_ARC
(18,13),0.474366 # DEPENDENCYPART_ARC
(18,14),0.0742262 # DEPENDENCYPART_ARC
(18,15),1.21009 # DEPENDENCYPART_ARC
(18,16),0.919821 # DEPENDENCYPART_ARC
(18,17),2.14548 # DEPENDENCYPART_ARC
(18,19),0.815393 # DEPENDENCYPART_ARC
