# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(1,14),-1.84496 # DEPENDENCYPART_ARC
(1,15),-2.29336 # DEPENDENCYPART_ARC
(1,16),-1.32039 # DEPENDENCYPART_ARC
(1,17),-1.96088 # DEPENDENCYPART_ARC
(1,18),-1.89607 # DEPENDENCYPART_ARC
(1,19),-2.21719 # DEPENDENCYPART_ARC
(1,20),-2.26903 # DEPENDENCYPART_ARC
(1,21),-2.28902 # DEPENDENCYPART_ARC
(1,22),-2.53189 # DEPENDENCYPART_ARC
(1,23),-2.91647 # DEPENDENCYPART_ARC
(2,1),3.30141 # DEPENDENCYPART_ARC
(2,3),0.354653 # DEPENDENCYPART_ARC
(2,4),-0.413003 # DEPENDENCYPART_ARC
(2,5),-0.393227 # DEPENDENCYPART_ARC
(2,6),-0.0217805 # DEPENDENCYPART_ARC
(2,7),-0.800196 # DEPENDENCYPART_ARC
(2,8),-0.78023 # DEPENDENCYPART_ARC
(2,9),-0.658339 # DEPENDENCYPART_ARC
(2,10),0.272004 # DEPENDENCYPART_ARC
(2,11),-0.886709 # DEPENDENCYPART_ARC
(2,12),-0.916854 # DEPENDENCYPART_ARC
(2,13),-1.0247 # DEPENDENCYPART_ARC
(2,14),-0.487248 # DEPENDENCYPART_ARC
(2,15),-1.58582 # DEPENDENCYPART_ARC
(2,16),-1.06742 # DEPENDENCYPART_ARC
(2,17),-1.11948 # DEPENDENCYPART_ARC
(2,18),-0.969345 # DEPENDENCYPART_ARC
(2,19),-0.967526 # DEPENDENCYPART_ARC
(2,20),-1.12935 # DEPENDENCYPART_ARC
(2,21),-0.85854 # DEPENDENCYPART_ARC
(2,22),-1.11597 # DEPENDENCYPART_ARC
(2,23),0.691844 # DEPENDENCYPART_ARC
(3,1),-1.10222 # DEPENDENCYPART_ARC
(3,2),-1.60848 # DEPENDENCYPART_ARC
(3,4),-1.1016 # DEPENDENCYPART_ARC
(3,5),-1.25933 # DEPENDENCYPART_ARC
(3,6),-1.30682 # DEPENDENCYPART_ARC
(3,7),-1.5182 # DEPENDENCYPART_ARC
(3,8),-1.60097 # DEPENDENCYPART_ARC
(3,9),-2.23496 # DEPENDENCYPART_ARC
(3,10),-1.21159 # DEPENDENCYPART_ARC
(3,11),-1.63611 # DEPENDENCYPART_ARC
(3,12),-1.82516 # DEPENDENCYPART_ARC
(3,13),-2.41075 # DEPENDENCYPART_ARC
(3,14),-1.78068 # DEPENDENCYPART_ARC
(3,15),-2.60154 # DEPENDENCYPART_ARC
(3,16),-1.74439 # DEPENDENCYPART_ARC
(3,17),-1.93035 # DEPENDENCYPART_ARC
(3,18),-1.91555 # DEPENDENCYPART_ARC
(3,19),-2.71963 # DEPENDENCYPART_ARC
(3,20),-1.90477 # DEPENDENCYPART_ARC
(3,21),-2.01186 # DEPENDENCYPART_ARC
(3,22),-2.86923 # DEPENDENCYPART_ARC
(3,23),-1.90793 # DEPENDENCYPART_ARC
(4,1),-0.306514 # DEPENDENCYPART_ARC
(4,2),-0.274694 # DEPENDENCYPART_ARC
(4,3),-0.00564768 # DEPENDENCYPART_ARC
(4,5),-0.214455 # DEPENDENCYPART_ARC
(4,6),0.252476 # DEPENDENCYPART_ARC
(4,7),-0.30773 # DEPENDENCYPART_ARC
(4,8),-0.319457 # DEPENDENCYPART_ARC
(4,9),-0.373484 # DEPENDENCYPART_ARC
(4,10),-0.206652 # DEPENDENCYPART_ARC
(4,11),-0.878805 # DEPENDENCYPART_ARC
(4,12),-1.02725 # DEPENDENCYPART_ARC
(4,13),-1.16927 # DEPENDENCYPART_ARC
(4,14),-0.552887 # DEPENDENCYPART_ARC
(4,15),-1.3544 # DEPENDENCYPART_ARC
(4,16),-1.02693 # DEPENDENCYPART_ARC
(4,17),-1.46159 # DEPENDENCYPART_ARC
(4,18),-1.33138 # DEPENDENCYPART_ARC
(4,19),-1.56061 # DEPENDENCYPART_ARC
(4,20),-1.50153 # DEPENDENCYPART_ARC
(4,21),-1.40887 # DEPENDENCYPART_ARC
(4,22),-1.61992 # DEPENDENCYPART_ARC
(4,23),-0.394428 # DEPENDENCYPART_ARC
(5,1),-1.03958 # DEPENDENCYPART_ARC
(5,2),-0.746457 # DEPENDENCYPART_ARC
(5,3),-0.573447 # DEPENDENCYPART_ARC
(5,4),0.41431 # DEPENDENCYPART_ARC
(5,6),0.021107 # DEPENDENCYPART_ARC
(5,7),-0.291503 # DEPENDENCYPART_ARC
(5,8),-0.376402 # DEPENDENCYPART_ARC
(5,9),-0.54524 # DEPENDENCYPART_ARC
(5,10),-0.408002 # DEPENDENCYPART_ARC
(5,11),-1.11976 # DEPENDENCYPART_ARC
(5,12),-1.08586 # DEPENDENCYPART_ARC
(5,13),-1.29821 # DEPENDENCYPART_ARC
(5,14),-1.09549 # DEPENDENCYPART_ARC
(5,15),-1.29834 # DEPENDENCYPART_ARC
(5,16),-1.24902 # DEPENDENCYPART_ARC
(5,17),-1.42871 # DEPENDENCYPART_ARC
(5,18),-1.3098 # DEPENDENCYPART_ARC
(5,19),-1.52942 # DEPENDENCYPART_ARC
(5,20),-1.43202 # DEPENDENCYPART_ARC
(5,21),-1.31608 # DEPENDENCYPART_ARC
(5,22),-1.27751 # DEPENDENCYPART_ARC
(5,23),0.242968 # DEPENDENCYPART_ARC
(6,1),-0.675843 # DEPENDENCYPART_ARC
(6,2),1.69456 # DEPENDENCYPART_ARC
(6,3),1.30496 # DEPENDENCYPART_ARC
(6,4),2.57355 # DEPENDENCYPART_ARC
(6,5),3.2259 # DEPENDENCYPART_ARC
(6,7),1.65299 # DEPENDENCYPART_ARC
(6,8),1.05602 # DEPENDENCYPART_ARC
(6,9),2.75371 # DEPENDENCYPART_ARC
(6,10),1.92468 # DEPENDENCYPART_ARC
(6,11),-0.17183 # DEPENDENCYPART_ARC
(6,12),-0.35009 # DEPENDENCYPART_ARC
(6,13),1.16057 # DEPENDENCYPART_ARC
(6,14),1.75987 # DEPENDENCYPART_ARC
(6,15),1.48127 # DEPENDENCYPART_ARC
(6,16),-0.43976 # DEPENDENCYPART_ARC
(6,17),-0.95142 # DEPENDENCYPART_ARC
(6,18),-0.844036 # DEPENDENCYPART_ARC
(6,19),-0.242628 # DEPENDENCYPART_ARC
(6,20),-0.920329 # DEPENDENCYPART_ARC
(6,21),-0.927821 # DEPENDENCYPART_ARC
(6,22),1.62547 # DEPENDENCYPART_ARC
(6,23),3.35765 # DEPENDENCYPART_ARC
(7,1),-1.31812 # DEPENDENCYPART_ARC
(7,2),-0.812512 # DEPENDENCYPART_ARC
(7,3),-0.652577 # DEPENDENCYPART_ARC
(7,4),0.0161193 # DEPENDENCYPART_ARC
(7,5),0.0471652 # DEPENDENCYPART_ARC
(7,6),0.101507 # DEPENDENCYPART_ARC
(7,8),-0.570412 # DEPENDENCYPART_ARC
(7,9),-0.186939 # DEPENDENCYPART_ARC
(7,10),-0.368267 # DEPENDENCYPART_ARC
(7,11),-1.26803 # DEPENDENCYPART_ARC
(7,12),-1.22543 # DEPENDENCYPART_ARC
(7,13),-1.09958 # DEPENDENCYPART_ARC
(7,14),-0.706887 # DEPENDENCYPART_ARC
(7,15),-1.7376 # DEPENDENCYPART_ARC
(7,16),-1.45429 # DEPENDENCYPART_ARC
(7,17),-1.54158 # DEPENDENCYPART_ARC
(7,18),-1.60318 # DEPENDENCYPART_ARC
(7,19),-2.03078 # DEPENDENCYPART_ARC
(7,20),-1.70768 # DEPENDENCYPART_ARC
(7,21),-1.70815 # DEPENDENCYPART_ARC
(7,22),-1.99368 # DEPENDENCYPART_ARC
(7,23),-0.345856 # DEPENDENCYPART_ARC
(8,1),-1.24645 # DEPENDENCYPART_ARC
(8,2),-1.15944 # DEPENDENCYPART_ARC
(8,3),-0.750406 # DEPENDENCYPART_ARC
(8,4),-0.219547 # DEPENDENCYPART_ARC
(8,5),-0.165291 # DEPENDENCYPART_ARC
(8,6),-0.400819 # DEPENDENCYPART_ARC
(8,7),1.29483 # DEPENDENCYPART_ARC
(8,9),-0.217767 # DEPENDENCYPART_ARC
(8,10),-0.502511 # DEPENDENCYPART_ARC
(8,11),-1.3486 # DEPENDENCYPART_ARC
(8,12),-1.33127 # DEPENDENCYPART_ARC
(8,13),-1.13753 # DEPENDENCYPART_ARC
(8,14),-0.872633 # DEPENDENCYPART_ARC
(8,15),-1.89394 # DEPENDENCYPART_ARC
(8,16),-1.60594 # DEPENDENCYPART_ARC
(8,17),-1.73438 # DEPENDENCYPART_ARC
(8,18),-1.72576 # DEPENDENCYPART_ARC
(8,19),-2.19197 # DEPENDENCYPART_ARC
(8,20),-1.85014 # DEPENDENCYPART_ARC
(8,21),-1.90903 # DEPENDENCYPART_ARC
(8,22),-2.26556 # DEPENDENCYPART_ARC
(8,23),-0.62507 # DEPENDENCYPART_ARC
(9,1),0.929805 # DEPENDENCYPART_ARC
(9,2),-3.1999 # DEPENDENCYPART_ARC
(9,3),-0.179993 # DEPENDENCYPART_ARC
(9,4),0.261561 # DEPENDENCYPART_ARC
(9,5),0.545294 # DEPENDENCYPART_ARC
(9,6),0.233379 # DEPENDENCYPART_ARC
(9,7),2.79274 # DEPENDENCYPART_ARC
(9,8),3.73452 # DEPENDENCYPART_ARC
(9,10),0.659157 # DEPENDENCYPART_ARC
(9,11),-0.648055 # DEPENDENCYPART_ARC
(9,12),-0.424896 # DEPENDENCYPART_ARC
(9,13),0.064156 # DEPENDENCYPART_ARC
(9,14),-0.0617315 # DEPENDENCYPART_ARC
(9,15),-0.686315 # DEPENDENCYPART_ARC
(9,16),-0.889697 # DEPENDENCYPART_ARC
(9,17),-0.97531 # DEPENDENCYPART_ARC
(9,18),-0.757362 # DEPENDENCYPART_ARC
(9,19),-0.280764 # DEPENDENCYPART_ARC
(9,20),-1.00366 # DEPENDENCYPART_ARC
(9,21),-0.766431 # DEPENDENCYPART_ARC
(9,22),-0.765181 # DEPENDENCYPART_ARC
(9,23),0.567058 # DEPENDENCYPART_ARC
(10,1),-1.98633 # DEPENDENCYPART_ARC
(10,2),-3.1077 # DEPENDENCYPART_ARC
(10,3),-1.73734 # DEPENDENCYPART_ARC
(10,4),-1.93483 # DEPENDENCYPART_ARC
(10,5),-1.83997 # DEPENDENCYPART_ARC
(10,6),-1.75107 # DEPENDENCYPART_ARC
(10,7),-1.63623 # DEPENDENCYPART_ARC
(10,8),-1.40706 # DEPENDENCYPART_ARC
(10,9),-1.48789 # DEPENDENCYPART_ARC
(10,11),-0.750602 # DEPENDENCYPART_ARC
(10,12),-0.807556 # DEPENDENCYPART_ARC
(10,13),-1.594 # DEPENDENCYPART_ARC
(10,14),-1.09269 # DEPENDENCYPART_ARC
(10,15),-1.78427 # DEPENDENCYPART_ARC
(10,16),-1.22077 # DEPENDENCYPART_ARC
(10,17),-1.42639 # DEPENDENCYPART_ARC
(10,18),-1.46919 # DEPENDENCYPART_ARC
(10,19),-2.16832 # DEPENDENCYPART_ARC
(10,20),-1.48425 # DEPENDENCYPART_ARC
(10,21),-1.5382 # DEPENDENCYPART_ARC
(10,22),-2.47975 # DEPENDENCYPART_ARC
(10,23),-1.37895 # DEPENDENCYPART_ARC
(11,1),-1.70304 # DEPENDENCYPART_ARC
(11,2),-2.91293 # DEPENDENCYPART_ARC
(11,3),-1.5061 # DEPENDENCYPART_ARC
(11,4),-1.75356 # DEPENDENCYPART_ARC
(11,5),-1.67362 # DEPENDENCYPART_ARC
(11,6),-1.83467 # DEPENDENCYPART_ARC
(11,7),-1.29865 # DEPENDENCYPART_ARC
(11,8),-1.07571 # DEPENDENCYPART_ARC
(11,9),-1.89116 # DEPENDENCYPART_ARC
(11,10),-0.482826 # DEPENDENCYPART_ARC
(11,12),0.551257 # DEPENDENCYPART_ARC
(11,13),-0.501621 # DEPENDENCYPART_ARC
(11,14),-0.750888 # DEPENDENCYPART_ARC
(11,15),-1.15302 # DEPENDENCYPART_ARC
(11,16),-0.704789 # DEPENDENCYPART_ARC
(11,17),-0.648858 # DEPENDENCYPART_ARC
(11,18),-0.792835 # DEPENDENCYPART_ARC
(11,19),-1.42369 # DEPENDENCYPART_ARC
(11,20),-1.09686 # DEPENDENCYPART_ARC
(11,21),-1.07997 # DEPENDENCYPART_ARC
(11,22),-1.84541 # DEPENDENCYPART_ARC
(11,23),-1.99206 # DEPENDENCYPART_ARC
(12,1),-2.19543 # DEPENDENCYPART_ARC
(12,2),-2.18729 # DEPENDENCYPART_ARC
(12,3),-1.43265 # DEPENDENCYPART_ARC
(12,4),-1.39537 # DEPENDENCYPART_ARC
(12,5),-1.37054 # DEPENDENCYPART_ARC
(12,6),-1.68319 # DEPENDENCYPART_ARC
(12,7),-1.55019 # DEPENDENCYPART_ARC
(12,8),-1.59286 # DEPENDENCYPART_ARC
(12,9),-2.2475 # DEPENDENCYPART_ARC
(12,10),-0.840675 # DEPENDENCYPART_ARC
(12,11),0.721508 # DEPENDENCYPART_ARC
(12,13),-0.372714 # DEPENDENCYPART_ARC
(12,14),-0.714376 # DEPENDENCYPART_ARC
(12,15),-1.47073 # DEPENDENCYPART_ARC
(12,16),-1.56429 # DEPENDENCYPART_ARC
(12,17),-1.52073 # DEPENDENCYPART_ARC
(12,18),-1.65351 # DEPENDENCYPART_ARC
(12,19),-1.95254 # DEPENDENCYPART_ARC
(12,20),-1.70868 # DEPENDENCYPART_ARC
(12,21),-1.76318 # DEPENDENCYPART_ARC
(12,22),-1.99459 # DEPENDENCYPART_ARC
(12,23),-0.936285 # DEPENDENCYPART_ARC
(13,1),-0.717641 # DEPENDENCYPART_ARC
(13,2),-3.67739 # DEPENDENCYPART_ARC
(13,3),-1.07844 # DEPENDENCYPART_ARC
(13,4),-0.389868 # DEPENDENCYPART_ARC
(13,5),-0.069375 # DEPENDENCYPART_ARC
(13,6),-1.45252 # DEPENDENCYPART_ARC
(13,7),0.279749 # DEPENDENCYPART_ARC
(13,8),0.718102 # DEPENDENCYPART_ARC
(13,9),-0.583876 # DEPENDENCYPART_ARC
(13,10),0.296813 # DEPENDENCYPART_ARC
(13,11),2.75895 # DEPENDENCYPART_ARC
(13,12),3.64149 # DEPENDENCYPART_ARC
(13,14),-0.873826 # DEPENDENCYPART_ARC
(13,15),-1.11366 # DEPENDENCYPART_ARC
(13,16),-1.24099 # DEPENDENCYPART_ARC
(13,17),-1.21359 # DEPENDENCYPART_ARC
(13,18),-1.07731 # DEPENDENCYPART_ARC
(13,19),-1.00906 # DEPENDENCYPART_ARC
(13,20),-1.38685 # DEPENDENCYPART_ARC
(13,21),-1.1392 # DEPENDENCYPART_ARC
(13,22),-1.32355 # DEPENDENCYPART_ARC
(13,23),-0.358576 # DEPENDENCYPART_ARC
(14,1),-1.11507 # DEPENDENCYPART_ARC
(14,2),-0.10482 # DEPENDENCYPART_ARC
(14,3),1.19019 # DEPENDENCYPART_ARC
(14,4),1.60705 # DEPENDENCYPART_ARC
(14,5),0.932061 # DEPENDENCYPART_ARC
(14,6),0.700923 # DEPENDENCYPART_ARC
(14,7),-0.64112 # DEPENDENCYPART_ARC
(14,8),-0.389703 # DEPENDENCYPART_ARC
(14,9),1.05034 # DEPENDENCYPART_ARC
(14,10),1.7982 # DEPENDENCYPART_ARC
(14,11),0.00478449 # DEPENDENCYPART_ARC
(14,12),0.703757 # DEPENDENCYPART_ARC
(14,13),3.78681 # DEPENDENCYPART_ARC
(14,15),3.71559 # DEPENDENCYPART_ARC
(14,16),-0.0680866 # DEPENDENCYPART_ARC
(14,17),-0.300039 # DEPENDENCYPART_ARC
(14,18),-0.272341 # DEPENDENCYPART_ARC
(14,19),0.82399 # DEPENDENCYPART_ARC
(14,20),-0.640801 # DEPENDENCYPART_ARC
(14,21),-0.760898 # DEPENDENCYPART_ARC
(14,22),2.31007 # DEPENDENCYPART_ARC
(14,23),2.2449 # DEPENDENCYPART_ARC
(15,1),-1.71167 # DEPENDENCYPART_ARC
(15,2),-3.97594 # DEPENDENCYPART_ARC
(15,3),-1.25863 # DEPENDENCYPART_ARC
(15,4),-0.874952 # DEPENDENCYPART_ARC
(15,5),-0.471062 # DEPENDENCYPART_ARC
(15,6),-2.48276 # DEPENDENCYPART_ARC
(15,7),-1.24394 # DEPENDENCYPART_ARC
(15,8),-1.10943 # DEPENDENCYPART_ARC
(15,9),-0.985218 # DEPENDENCYPART_ARC
(15,10),-0.751563 # DEPENDENCYPART_ARC
(15,11),-0.168535 # DEPENDENCYPART_ARC
(15,12),0.260442 # DEPENDENCYPART_ARC
(15,13),-0.273391 # DEPENDENCYPART_ARC
(15,14),-0.051456 # DEPENDENCYPART_ARC
(15,16),-0.773852 # DEPENDENCYPART_ARC
(15,17),-0.42156 # DEPENDENCYPART_ARC
(15,18),-0.391483 # DEPENDENCYPART_ARC
(15,19),0.182947 # DEPENDENCYPART_ARC
(15,20),-0.657432 # DEPENDENCYPART_ARC
(15,21),-0.540443 # DEPENDENCYPART_ARC
(15,22),-0.473262 # DEPENDENCYPART_ARC
(15,23),0.282185 # DEPENDENCYPART_ARC
(16,1),-1.92917 # DEPENDENCYPART_ARC
(16,2),-3.21015 # DEPENDENCYPART_ARC
(16,3),-1.65837 # DEPENDENCYPART_ARC
(16,4),-2.02637 # DEPENDENCYPART_ARC
(16,5),-1.99566 # DEPENDENCYPART_ARC
(16,6),-2.33659 # DEPENDENCYPART_ARC
(16,7),-1.88669 # DEPENDENCYPART_ARC
(16,8),-1.81843 # DEPENDENCYPART_ARC
(16,9),-2.86354 # DEPENDENCYPART_ARC
(16,10),-1.36692 # DEPENDENCYPART_ARC
(16,11),-1.53687 # DEPENDENCYPART_ARC
(16,12),-1.61237 # DEPENDENCYPART_ARC
(16,13),-2.28048 # DEPENDENCYPART_ARC
(16,14),-1.27223 # DEPENDENCYPART_ARC
(16,15),-1.6024 # DEPENDENCYPART_ARC
(16,17),0.559654 # DEPENDENCYPART_ARC
(16,18),0.24308 # DEPENDENCYPART_ARC
(16,19),-0.821179 # DEPENDENCYPART_ARC
(16,20),-0.36712 # DEPENDENCYPART_ARC
(16,21),-0.452263 # DEPENDENCYPART_ARC
(16,22),-1.47661 # DEPENDENCYPART_ARC
(16,23),-1.54396 # DEPENDENCYPART_ARC
(17,1),-2.53846 # DEPENDENCYPART_ARC
(17,2),-2.26615 # DEPENDENCYPART_ARC
(17,3),-1.63676 # DEPENDENCYPART_ARC
(17,4),-1.63722 # DEPENDENCYPART_ARC
(17,5),-1.5681 # DEPENDENCYPART_ARC
(17,6),-1.87784 # DEPENDENCYPART_ARC
(17,7),-2.15285 # DEPENDENCYPART_ARC
(17,8),-2.30354 # DEPENDENCYPART_ARC
(17,9),-2.82478 # DEPENDENCYPART_ARC
(17,10),-1.24161 # DEPENDENCYPART_ARC
(17,11),-1.31397 # DEPENDENCYPART_ARC
(17,12),-1.59952 # DEPENDENCYPART_ARC
(17,13),-2.95671 # DEPENDENCYPART_ARC
(17,14),-1.14312 # DEPENDENCYPART_ARC
(17,15),-1.59537 # DEPENDENCYPART_ARC
(17,16),0.845284 # DEPENDENCYPART_ARC
(17,18),-0.643461 # DEPENDENCYPART_ARC
(17,19),-0.724047 # DEPENDENCYPART_ARC
(17,20),-1.04348 # DEPENDENCYPART_ARC
(17,21),-1.15446 # DEPENDENCYPART_ARC
(17,22),-1.19299 # DEPENDENCYPART_ARC
(17,23),-0.779001 # DEPENDENCYPART_ARC
(18,1),-2.01637 # DEPENDENCYPART_ARC
(18,2),-1.82992 # DEPENDENCYPART_ARC
(18,3),-1.08958 # DEPENDENCYPART_ARC
(18,4),-1.11754 # DEPENDENCYPART_ARC
(18,5),-0.856644 # DEPENDENCYPART_ARC
(18,6),-1.25624 # DEPENDENCYPART_ARC
(18,7),-1.26224 # DEPENDENCYPART_ARC
(18,8),-1.45915 # DEPENDENCYPART_ARC
(18,9),-2.54817 # DEPENDENCYPART_ARC
(18,10),-0.663067 # DEPENDENCYPART_ARC
(18,11),-0.979282 # DEPENDENCYPART_ARC
(18,12),-0.844426 # DEPENDENCYPART_ARC
(18,13),-2.66837 # DEPENDENCYPART_ARC
(18,14),-0.697218 # DEPENDENCYPART_ARC
(18,15),-1.42812 # DEPENDENCYPART_ARC
(18,16),0.608067 # DEPENDENCYPART_ARC
(18,17),1.93329 # DEPENDENCYPART_ARC
(18,19),-0.741488 # DEPENDENCYPART_ARC
(18,20),-0.943923 # DEPENDENCYPART_ARC
(18,21),-1.19703 # DEPENDENCYPART_ARC
(18,22),-1.33075 # DEPENDENCYPART_ARC
(18,23),-1.06964 # DEPENDENCYPART_ARC
(19,1),-0.909436 # DEPENDENCYPART_ARC
(19,2),-4.09449 # DEPENDENCYPART_ARC
(19,3),-1.08955 # DEPENDENCYPART_ARC
(19,4),-0.34827 # DEPENDENCYPART_ARC
(19,5),0.191914 # DEPENDENCYPART_ARC
(19,6),-1.39739 # DEPENDENCYPART_ARC
(19,7),-0.598121 # DEPENDENCYPART_ARC
(19,8),-0.37667 # DEPENDENCYPART_ARC
(19,9),-2.95598 # DEPENDENCYPART_ARC
(19,10),-0.69347 # DEPENDENCYPART_ARC
(19,11),0.709724 # DEPENDENCYPART_ARC
(19,12),0.775174 # DEPENDENCYPART_ARC
(19,13),-2.31084 # DEPENDENCYPART_ARC
(19,14),-0.696533 # DEPENDENCYPART_ARC
(19,15),-0.979171 # DEPENDENCYPART_ARC
(19,16),2.92733 # DEPENDENCYPART_ARC
(19,17),3.2062 # DEPENDENCYPART_ARC
(19,18),4.0756 # DEPENDENCYPART_ARC
(19,20),-0.230241 # DEPENDENCYPART_ARC
(19,21),-0.0280411 # DEPENDENCYPART_ARC
(19,22),-0.561893 # DEPENDENCYPART_ARC
(19,23),0.0305837 # DEPENDENCYPART_ARC
(20,1),-0.371618 # DEPENDENCYPART_ARC
(20,2),0.7055 # DEPENDENCYPART_ARC
(20,3),0.108468 # DEPENDENCYPART_ARC
(20,4),0.193347 # DEPENDENCYPART_ARC
(20,5),0.447527 # DEPENDENCYPART_ARC
(20,6),-0.0509511 # DEPENDENCYPART_ARC
(20,7),-0.39907 # DEPENDENCYPART_ARC
(20,8),-0.577118 # DEPENDENCYPART_ARC
(20,9),-0.249309 # DEPENDENCYPART_ARC
(20,10),0.536302 # DEPENDENCYPART_ARC
(20,11),0.481416 # DEPENDENCYPART_ARC
(20,12),0.0763809 # DEPENDENCYPART_ARC
(20,13),-0.504679 # DEPENDENCYPART_ARC
(20,14),0.355964 # DEPENDENCYPART_ARC
(20,15),0.339133 # DEPENDENCYPART_ARC
(20,16),1.34498 # DEPENDENCYPART_ARC
(20,17),1.37229 # DEPENDENCYPART_ARC
(20,18),1.45274 # DEPENDENCYPART_ARC
(20,19),2.5047 # DEPENDENCYPART_ARC
(20,21),-0.24076 # DEPENDENCYPART_ARC
(20,22),-0.336531 # DEPENDENCYPART_ARC
(20,23),-0.0748398 # DEPENDENCYPART_ARC
(21,1),-2.16915 # DEPENDENCYPART_ARC
(21,2),-1.62041 # DEPENDENCYPART_ARC
(21,3),-0.954746 # DEPENDENCYPART_ARC
(21,4),-1.14378 # DEPENDENCYPART_ARC
(21,5),-0.744711 # DEPENDENCYPART_ARC
(21,6),-1.22244 # DEPENDENCYPART_ARC
(21,7),-1.33787 # DEPENDENCYPART_ARC
(21,8),-1.55116 # DEPENDENCYPART_ARC
(21,9),-2.59541 # DEPENDENCYPART_ARC
(21,10),-0.720261 # DEPENDENCYPART_ARC
(21,11),-1.15848 # DEPENDENCYPART_ARC
(21,12),-1.00855 # DEPENDENCYPART_ARC
(21,13),-2.6621 # DEPENDENCYPART_ARC
(21,14),-0.848111 # DEPENDENCYPART_ARC
(21,15),-1.65391 # DEPENDENCYPART_ARC
(21,16),-0.240638 # DEPENDENCYPART_ARC
(21,17),0.230694 # DEPENDENCYPART_ARC
(21,18),-0.0591421 # DEPENDENCYPART_ARC
(21,19),-0.0251216 # DEPENDENCYPART_ARC
(21,20),1.24779 # DEPENDENCYPART_ARC
(21,22),-0.730243 # DEPENDENCYPART_ARC
(21,23),-1.00153 # DEPENDENCYPART_ARC
(22,1),-1.27962 # DEPENDENCYPART_ARC
(22,2),-4.52732 # DEPENDENCYPART_ARC
(22,3),-1.12366 # DEPENDENCYPART_ARC
(22,4),-0.47133 # DEPENDENCYPART_ARC
(22,5),0.126732 # DEPENDENCYPART_ARC
(22,6),-1.41904 # DEPENDENCYPART_ARC
(22,7),-0.817901 # DEPENDENCYPART_ARC
(22,8),-0.78423 # DEPENDENCYPART_ARC
(22,9),-2.73549 # DEPENDENCYPART_ARC
(22,10),-0.852055 # DEPENDENCYPART_ARC
(22,11),0.189633 # DEPENDENCYPART_ARC
(22,12),0.246317 # DEPENDENCYPART_ARC
(22,13),-2.31179 # DEPENDENCYPART_ARC
(22,14),-0.802998 # DEPENDENCYPART_ARC
(22,15),-0.843018 # DEPENDENCYPART_ARC
(22,16),2.21665 # DEPENDENCYPART_ARC
(22,17),1.93856 # DEPENDENCYPART_ARC
(22,18),1.97091 # DEPENDENCYPART_ARC
(22,19),0.337567 # DEPENDENCYPART_ARC
(22,20),3.1237 # DEPENDENCYPART_ARC
(22,21),3.67945 # DEPENDENCYPART_ARC
(22,23),-0.0204842 # DEPENDENCYPART_ARC
