# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,17,4,17,17,7,8,9,17,23,17,14,14,16,16,17,0,17,23,23,22,23,17,23,
(4,13),-1.90332 # DEPENDENCYPART_ARC
(4,14),-2.05026 # DEPENDENCYPART_ARC
(4,15),-1.73472 # DEPENDENCYPART_ARC
(4,16),-3.25839 # DEPENDENCYPART_ARC
(4,17),-1.76351 # DEPENDENCYPART_ARC
(4,18),-1.27263 # DEPENDENCYPART_ARC
(4,19),-3.46099 # DEPENDENCYPART_ARC
(4,20),-1.87058 # DEPENDENCYPART_ARC
(4,21),-2.27045 # DEPENDENCYPART_ARC
(4,22),-3.41245 # DEPENDENCYPART_ARC
(4,23),-2.26634 # DEPENDENCYPART_ARC
(4,24),-0.745936 # DEPENDENCYPART_ARC
(5,1),0.441869 # DEPENDENCYPART_ARC
(5,2),-0.0424804 # DEPENDENCYPART_ARC
(5,3),0.0203662 # DEPENDENCYPART_ARC
(5,4),0.811303 # DEPENDENCYPART_ARC
(5,6),-0.079141 # DEPENDENCYPART_ARC
(5,7),1.11298 # DEPENDENCYPART_ARC
(5,8),0.224083 # DEPENDENCYPART_ARC
(5,9),0.852939 # DEPENDENCYPART_ARC
(5,10),-0.0954325 # DEPENDENCYPART_ARC
(5,11),-0.281525 # DEPENDENCYPART_ARC
(5,12),-0.630792 # DEPENDENCYPART_ARC
(5,13),-0.473737 # DEPENDENCYPART_ARC
(5,14),-0.20822 # DEPENDENCYPART_ARC
(5,15),-0.410117 # DEPENDENCYPART_ARC
(5,16),-0.840078 # DEPENDENCYPART_ARC
(5,17),0.112128 # DEPENDENCYPART_ARC
(5,18),0.185676 # DEPENDENCYPART_ARC
(5,19),-1.59393 # DEPENDENCYPART_ARC
(5,20),-0.875592 # DEPENDENCYPART_ARC
(5,21),-1.30778 # DEPENDENCYPART_ARC
(5,22),-1.51444 # DEPENDENCYPART_ARC
(5,23),-1.01536 # DEPENDENCYPART_ARC
(5,24),0.249641 # DEPENDENCYPART_ARC
(6,1),-2.35159 # DEPENDENCYPART_ARC
(6,2),-1.32429 # DEPENDENCYPART_ARC
(6,3),-1.01683 # DEPENDENCYPART_ARC
(6,4),-1.83257 # DEPENDENCYPART_ARC
(6,5),-0.342454 # DEPENDENCYPART_ARC
(6,7),-0.399727 # DEPENDENCYPART_ARC
(6,8),-0.260732 # DEPENDENCYPART_ARC
(6,9),-1.39194 # DEPENDENCYPART_ARC
(6,10),-0.471004 # DEPENDENCYPART_ARC
(6,11),-1.0406 # DEPENDENCYPART_ARC
(6,12),-1.04887 # DEPENDENCYPART_ARC
(6,13),-1.10918 # DEPENDENCYPART_ARC
(6,14),-1.64772 # DEPENDENCYPART_ARC
(6,15),-0.953018 # DEPENDENCYPART_ARC
(6,16),-2.04214 # DEPENDENCYPART_ARC
(6,17),-1.6537 # DEPENDENCYPART_ARC
(6,18),-0.806447 # DEPENDENCYPART_ARC
(6,19),-2.19364 # DEPENDENCYPART_ARC
(6,20),-1.55185 # DEPENDENCYPART_ARC
(6,21),-1.81456 # DEPENDENCYPART_ARC
(6,22),-2.18645 # DEPENDENCYPART_ARC
(6,23),-1.82871 # DEPENDENCYPART_ARC
(6,24),-2.41981 # DEPENDENCYPART_ARC
(7,1),-2.50916 # DEPENDENCYPART_ARC
(7,2),-1.13322 # DEPENDENCYPART_ARC
(7,3),0.407944 # DEPENDENCYPART_ARC
(7,4),-1.25388 # DEPENDENCYPART_ARC
(7,5),-0.0245262 # DEPENDENCYPART_ARC
(7,6),3.35706 # DEPENDENCYPART_ARC
(7,8),-0.363967 # DEPENDENCYPART_ARC
(7,9),-1.24976 # DEPENDENCYPART_ARC
(7,10),-0.0499656 # DEPENDENCYPART_ARC
(7,11),-0.876247 # DEPENDENCYPART_ARC
(7,12),-1.26366 # DEPENDENCYPART_ARC
(7,13),-1.05821 # DEPENDENCYPART_ARC
(7,14),-1.00375 # DEPENDENCYPART_ARC
(7,15),-1.03993 # DEPENDENCYPART_ARC
(7,16),-2.05152 # DEPENDENCYPART_ARC
(7,17),-0.651049 # DEPENDENCYPART_ARC
(7,18),-0.39621 # DEPENDENCYPART_ARC
(7,19),-2.52536 # DEPENDENCYPART_ARC
(7,20),-1.15209 # DEPENDENCYPART_ARC
(7,21),-1.56203 # DEPENDENCYPART_ARC
(7,22),-2.31741 # DEPENDENCYPART_ARC
(7,23),-1.3079 # DEPENDENCYPART_ARC
(7,24),0.131937 # DEPENDENCYPART_ARC
(8,1),0.0853274 # DEPENDENCYPART_ARC
(8,2),-0.211076 # DEPENDENCYPART_ARC
(8,3),0.951796 # DEPENDENCYPART_ARC
(8,4),0.408365 # DEPENDENCYPART_ARC
(8,5),1.00955 # DEPENDENCYPART_ARC
(8,6),1.9631 # DEPENDENCYPART_ARC
(8,7),2.21607 # DEPENDENCYPART_ARC
(8,9),-0.625318 # DEPENDENCYPART_ARC
(8,10),-0.406624 # DEPENDENCYPART_ARC
(8,11),-0.821837 # DEPENDENCYPART_ARC
(8,12),-1.20521 # DEPENDENCYPART_ARC
(8,13),-1.13983 # DEPENDENCYPART_ARC
(8,14),-1.14133 # DEPENDENCYPART_ARC
(8,15),-0.903051 # DEPENDENCYPART_ARC
(8,16),-1.61791 # DEPENDENCYPART_ARC
(8,17),-0.633652 # DEPENDENCYPART_ARC
(8,18),-0.537811 # DEPENDENCYPART_ARC
(8,19),-1.82919 # DEPENDENCYPART_ARC
(8,20),-1.25752 # DEPENDENCYPART_ARC
(8,21),-1.73237 # DEPENDENCYPART_ARC
(8,22),-1.71577 # DEPENDENCYPART_ARC
(8,23),-0.938565 # DEPENDENCYPART_ARC
(8,24),-0.0122013 # DEPENDENCYPART_ARC
(9,1),-2.68971 # DEPENDENCYPART_ARC
(9,2),-0.175536 # DEPENDENCYPART_ARC
(9,3),0.88421 # DEPENDENCYPART_ARC
(9,4),-0.433216 # DEPENDENCYPART_ARC
(9,5),0.566746 # DEPENDENCYPART_ARC
(9,6),2.35394 # DEPENDENCYPART_ARC
(9,7),1.21 # DEPENDENCYPART_ARC
(9,8),2.79362 # DEPENDENCYPART_ARC
(9,10),0.202815 # DEPENDENCYPART_ARC
(9,11),-0.593438 # DEPENDENCYPART_ARC
(9,12),-0.90916 # DEPENDENCYPART_ARC
(9,13),-0.916075 # DEPENDENCYPART_ARC
(9,14),-1.03009 # DEPENDENCYPART_ARC
(9,15),-0.854686 # DEPENDENCYPART_ARC
(9,16),-1.91381 # DEPENDENCYPART_ARC
(9,17),-0.646082 # DEPENDENCYPART_ARC
(9,18),-0.110286 # DEPENDENCYPART_ARC
(9,19),-2.7127 # DEPENDENCYPART_ARC
(9,20),-0.792115 # DEPENDENCYPART_ARC
(9,21),-1.52806 # DEPENDENCYPART_ARC
(9,22),-2.32127 # DEPENDENCYPART_ARC
(9,23),-0.371551 # DEPENDENCYPART_ARC
(9,24),0.463853 # DEPENDENCYPART_ARC
(10,1),-2.89821 # DEPENDENCYPART_ARC
(10,2),-1.96129 # DEPENDENCYPART_ARC
(10,3),-1.80028 # DEPENDENCYPART_ARC
(10,4),-2.77505 # DEPENDENCYPART_ARC
(10,5),-1.70279 # DEPENDENCYPART_ARC
(10,6),-1.62575 # DEPENDENCYPART_ARC
(10,7),-2.34238 # DEPENDENCYPART_ARC
(10,8),-1.57047 # DEPENDENCYPART_ARC
(10,9),-1.61205 # DEPENDENCYPART_ARC
(10,11),-1.12081 # DEPENDENCYPART_ARC
(10,12),-1.2761 # DEPENDENCYPART_ARC
(10,13),-1.40923 # DEPENDENCYPART_ARC
(10,14),-2.02321 # DEPENDENCYPART_ARC
(10,15),-1.4463 # DEPENDENCYPART_ARC
(10,16),-2.35619 # DEPENDENCYPART_ARC
(10,17),-1.62107 # DEPENDENCYPART_ARC
(10,18),-1.29125 # DEPENDENCYPART_ARC
(10,19),-2.50221 # DEPENDENCYPART_ARC
(10,20),-1.31061 # DEPENDENCYPART_ARC
(10,21),-1.8745 # DEPENDENCYPART_ARC
(10,22),-2.71601 # DEPENDENCYPART_ARC
(10,23),-1.92396 # DEPENDENCYPART_ARC
(10,24),-1.59668 # DEPENDENCYPART_ARC
(11,1),0.0997716 # DEPENDENCYPART_ARC
(11,2),-0.0933422 # DEPENDENCYPART_ARC
(11,3),-0.400871 # DEPENDENCYPART_ARC
(11,4),-0.0931217 # DEPENDENCYPART_ARC
(11,5),0.240007 # DEPENDENCYPART_ARC
(11,6),-0.480473 # DEPENDENCYPART_ARC
(11,7),0.29731 # DEPENDENCYPART_ARC
(11,8),0.218669 # DEPENDENCYPART_ARC
(11,9),-0.125371 # DEPENDENCYPART_ARC
(11,10),0.478325 # DEPENDENCYPART_ARC
(11,12),-0.235171 # DEPENDENCYPART_ARC
(11,13),0.150992 # DEPENDENCYPART_ARC
(11,14),0.316818 # DEPENDENCYPART_ARC
(11,15),-0.10418 # DEPENDENCYPART_ARC
(11,16),0.0815523 # DEPENDENCYPART_ARC
(11,17),0.381572 # DEPENDENCYPART_ARC
(11,18),-0.0317125 # DEPENDENCYPART_ARC
(11,19),-1.01577 # DEPENDENCYPART_ARC
(11,20),-0.175257 # DEPENDENCYPART_ARC
(11,21),-0.92825 # DEPENDENCYPART_ARC
(11,22),-0.988827 # DEPENDENCYPART_ARC
(11,23),-0.34616 # DEPENDENCYPART_ARC
(11,24),0.331827 # DEPENDENCYPART_ARC
(12,1),-3.27177 # DEPENDENCYPART_ARC
(12,2),-2.31745 # DEPENDENCYPART_ARC
(12,3),-1.99882 # DEPENDENCYPART_ARC
(12,4),-3.10945 # DEPENDENCYPART_ARC
(12,5),-1.77437 # DEPENDENCYPART_ARC
(12,6),-1.84755 # DEPENDENCYPART_ARC
(12,7),-2.90804 # DEPENDENCYPART_ARC
(12,8),-1.99517 # DEPENDENCYPART_ARC
(12,9),-2.83817 # DEPENDENCYPART_ARC
(12,10),-1.59305 # DEPENDENCYPART_ARC
(12,11),-0.956076 # DEPENDENCYPART_ARC
(12,13),0.191213 # DEPENDENCYPART_ARC
(12,14),-0.705966 # DEPENDENCYPART_ARC
(12,15),-0.506389 # DEPENDENCYPART_ARC
(12,16),-1.60361 # DEPENDENCYPART_ARC
(12,17),-1.33423 # DEPENDENCYPART_ARC
(12,18),-0.644155 # DEPENDENCYPART_ARC
(12,19),-1.82714 # DEPENDENCYPART_ARC
(12,20),-1.21894 # DEPENDENCYPART_ARC
(12,21),-1.29525 # DEPENDENCYPART_ARC
(12,22),-1.89081 # DEPENDENCYPART_ARC
(12,23),-1.68955 # DEPENDENCYPART_ARC
(12,24),-1.96526 # DEPENDENCYPART_ARC
(13,1),-1.79962 # DEPENDENCYPART_ARC
(13,2),-1.43704 # DEPENDENCYPART_ARC
(13,3),-1.11867 # DEPENDENCYPART_ARC
(13,4),-2.31264 # DEPENDENCYPART_ARC
(13,5),-0.80471 # DEPENDENCYPART_ARC
(13,6),-1.00431 # DEPENDENCYPART_ARC
(13,7),-1.62517 # DEPENDENCYPART_ARC
(13,8),-2.27998 # DEPENDENCYPART_ARC
(13,9),-1.67896 # DEPENDENCYPART_ARC
(13,10),-0.441276 # DEPENDENCYPART_ARC
(13,11),-0.115321 # DEPENDENCYPART_ARC
(13,12),1.07461 # DEPENDENCYPART_ARC
(13,14),-0.67691 # DEPENDENCYPART_ARC
(13,15),-0.925071 # DEPENDENCYPART_ARC
(13,16),-2.07018 # DEPENDENCYPART_ARC
(13,17),-1.28844 # DEPENDENCYPART_ARC
(13,18),-0.994991 # DEPENDENCYPART_ARC
(13,19),-2.15316 # DEPENDENCYPART_ARC
(13,20),-1.5249 # DEPENDENCYPART_ARC
(13,21),-2.05343 # DEPENDENCYPART_ARC
(13,22),-2.15138 # DEPENDENCYPART_ARC
(13,23),-1.56017 # DEPENDENCYPART_ARC
(13,24),-0.747856 # DEPENDENCYPART_ARC
(14,1),-3.3118 # DEPENDENCYPART_ARC
(14,2),-0.756675 # DEPENDENCYPART_ARC
(14,3),-0.117464 # DEPENDENCYPART_ARC
(14,4),-2.04987 # DEPENDENCYPART_ARC
(14,5),-0.413796 # DEPENDENCYPART_ARC
(14,6),0.689243 # DEPENDENCYPART_ARC
(14,7),-1.40772 # DEPENDENCYPART_ARC
(14,8),-1.13051 # DEPENDENCYPART_ARC
(14,9),-3.93082 # DEPENDENCYPART_ARC
(14,10),-0.170932 # DEPENDENCYPART_ARC
(14,11),0.108424 # DEPENDENCYPART_ARC
(14,12),3.15967 # DEPENDENCYPART_ARC
(14,13),3.62344 # DEPENDENCYPART_ARC
(14,15),-0.103967 # DEPENDENCYPART_ARC
(14,16),-0.374479 # DEPENDENCYPART_ARC
(14,17),0.110147 # DEPENDENCYPART_ARC
(14,18),0.335672 # DEPENDENCYPART_ARC
(14,19),-1.0773 # DEPENDENCYPART_ARC
(14,20),-0.194567 # DEPENDENCYPART_ARC
(14,21),-0.884623 # DEPENDENCYPART_ARC
(14,22),-1.14736 # DEPENDENCYPART_ARC
(14,23),-0.634363 # DEPENDENCYPART_ARC
(14,24),0.577423 # DEPENDENCYPART_ARC
(15,1),-1.89175 # DEPENDENCYPART_ARC
(15,2),-0.768132 # DEPENDENCYPART_ARC
(15,3),-0.631658 # DEPENDENCYPART_ARC
(15,4),-1.69079 # DEPENDENCYPART_ARC
(15,5),-1.18658 # DEPENDENCYPART_ARC
(15,6),-0.49468 # DEPENDENCYPART_ARC
(15,7),-1.40334 # DEPENDENCYPART_ARC
(15,8),-1.81716 # DEPENDENCYPART_ARC
(15,9),-1.82498 # DEPENDENCYPART_ARC
(15,10),-0.955257 # DEPENDENCYPART_ARC
(15,11),-0.172885 # DEPENDENCYPART_ARC
(15,12),0.0608761 # DEPENDENCYPART_ARC
(15,13),-0.631079 # DEPENDENCYPART_ARC
(15,14),-0.0718098 # DEPENDENCYPART_ARC
(15,16),-0.807714 # DEPENDENCYPART_ARC
(15,17),0.169989 # DEPENDENCYPART_ARC
(15,18),-0.342148 # DEPENDENCYPART_ARC
(15,19),-1.25969 # DEPENDENCYPART_ARC
(15,20),-0.952838 # DEPENDENCYPART_ARC
(15,21),-1.22417 # DEPENDENCYPART_ARC
(15,22),-1.80356 # DEPENDENCYPART_ARC
(15,23),-1.03842 # DEPENDENCYPART_ARC
(15,24),-0.0980409 # DEPENDENCYPART_ARC
(16,1),-4.34653 # DEPENDENCYPART_ARC
(16,2),-0.332736 # DEPENDENCYPART_ARC
(16,3),-1.82594 # DEPENDENCYPART_ARC
(16,4),0.256419 # DEPENDENCYPART_ARC
(16,5),-0.23211 # DEPENDENCYPART_ARC
(16,6),-1.05947 # DEPENDENCYPART_ARC
(16,7),0.79731 # DEPENDENCYPART_ARC
(16,8),-1.34774 # DEPENDENCYPART_ARC
(16,9),-2.68969 # DEPENDENCYPART_ARC
(16,10),-0.121115 # DEPENDENCYPART_ARC
(16,11),0.0633565 # DEPENDENCYPART_ARC
(16,12),0.397313 # DEPENDENCYPART_ARC
(16,13),0.879668 # DEPENDENCYPART_ARC
(16,14),2.76938 # DEPENDENCYPART_ARC
(16,15),3.36201 # DEPENDENCYPART_ARC
(16,17),-1.33289 # DEPENDENCYPART_ARC
(16,18),-0.518237 # DEPENDENCYPART_ARC
(16,19),-1.92166 # DEPENDENCYPART_ARC
(16,20),-0.86999 # DEPENDENCYPART_ARC
(16,21),-1.53758 # DEPENDENCYPART_ARC
(16,22),-2.09264 # DEPENDENCYPART_ARC
(16,23),-1.4963 # DEPENDENCYPART_ARC
(16,24),-0.253977 # DEPENDENCYPART_ARC
(17,1),1.57907 # DEPENDENCYPART_ARC
(17,2),1.73421 # DEPENDENCYPART_ARC
(17,3),-0.29038 # DEPENDENCYPART_ARC
(17,4),1.43068 # DEPENDENCYPART_ARC
(17,5),1.44653 # DEPENDENCYPART_ARC
(17,6),-0.516953 # DEPENDENCYPART_ARC
(17,7),1.20838 # DEPENDENCYPART_ARC
(17,8),0.770821 # DEPENDENCYPART_ARC
(17,9),1.20802 # DEPENDENCYPART_ARC
(17,10),1.02176 # DEPENDENCYPART_ARC
(17,11),2.66901 # DEPENDENCYPART_ARC
(17,12),-0.237812 # DEPENDENCYPART_ARC
(17,13),0.0579526 # DEPENDENCYPART_ARC
(17,14),2.00445 # DEPENDENCYPART_ARC
(17,15),1.03508 # DEPENDENCYPART_ARC
(17,16),4.07289 # DEPENDENCYPART_ARC
(17,18),1.74641 # DEPENDENCYPART_ARC
(17,19),0.35479 # DEPENDENCYPART_ARC
(17,20),0.828105 # DEPENDENCYPART_ARC
(17,21),-0.217896 # DEPENDENCYPART_ARC
(17,22),-1.0152 # DEPENDENCYPART_ARC
(17,23),1.78832 # DEPENDENCYPART_ARC
(17,24),2.03448 # DEPENDENCYPART_ARC
(18,1),-3.59282 # DEPENDENCYPART_ARC
(18,2),-2.8129 # DEPENDENCYPART_ARC
(18,3),-2.61498 # DEPENDENCYPART_ARC
(18,4),-3.53811 # DEPENDENCYPART_ARC
(18,5),-2.44287 # DEPENDENCYPART_ARC
(18,6),-2.49497 # DEPENDENCYPART_ARC
(18,7),-3.47307 # DEPENDENCYPART_ARC
(18,8),-2.88618 # DEPENDENCYPART_ARC
(18,9),-3.40708 # DEPENDENCYPART_ARC
(18,10),-2.21793 # DEPENDENCYPART_ARC
(18,11),-2.44765 # DEPENDENCYPART_ARC
(18,12),-2.27689 # DEPENDENCYPART_ARC
(18,13),-2.66028 # DEPENDENCYPART_ARC
(18,14),-2.92775 # DEPENDENCYPART_ARC
(18,15),-2.13889 # DEPENDENCYPART_ARC
(18,16),-2.45594 # DEPENDENCYPART_ARC
(18,17),-1.13409 # DEPENDENCYPART_ARC
(18,19),-1.60221 # DEPENDENCYPART_ARC
(18,20),-1.41708 # DEPENDENCYPART_ARC
(18,21),-1.671 # DEPENDENCYPART_ARC
(18,22),-2.27913 # DEPENDENCYPART_ARC
(18,23),-1.78543 # DEPENDENCYPART_ARC
(18,24),-1.59388 # DEPENDENCYPART_ARC
(19,1),-6.34998 # DEPENDENCYPART_ARC
(19,2),-1.2128 # DEPENDENCYPART_ARC
(19,3),-1.84531 # DEPENDENCYPART_ARC
(19,4),-4.09437 # DEPENDENCYPART_ARC
(19,5),-1.26692 # DEPENDENCYPART_ARC
(19,6),-0.841928 # DEPENDENCYPART_ARC
(19,7),-3.54644 # DEPENDENCYPART_ARC
(19,8),-2.75541 # DEPENDENCYPART_ARC
(19,9),-6.86267 # DEPENDENCYPART_ARC
(19,10),-0.851898 # DEPENDENCYPART_ARC
(19,11),-0.929724 # DEPENDENCYPART_ARC
(19,12),0.0185434 # DEPENDENCYPART_ARC
(19,13),-0.244645 # DEPENDENCYPART_ARC
(19,14),-1.8741 # DEPENDENCYPART_ARC
(19,15),0.0197502 # DEPENDENCYPART_ARC
(19,16),-5.29958 # DEPENDENCYPART_ARC
(19,17),-0.621103 # DEPENDENCYPART_ARC
(19,18),0.413845 # DEPENDENCYPART_ARC
(19,20),-0.315368 # DEPENDENCYPART_ARC
(19,21),-0.657962 # DEPENDENCYPART_ARC
(19,22),-0.698915 # DEPENDENCYPART_ARC
(19,23),-0.346188 # DEPENDENCYPART_ARC
(19,24),-0.233178 # DEPENDENCYPART_ARC
(20,1),-0.65523 # DEPENDENCYPART_ARC
(20,2),-1.186 # DEPENDENCYPART_ARC
(20,3),-1.39308 # DEPENDENCYPART_ARC
(20,4),-1.2178 # DEPENDENCYPART_ARC
(20,5),-0.52569 # DEPENDENCYPART_ARC
(20,6),-1.89127 # DEPENDENCYPART_ARC
(20,7),-0.843023 # DEPENDENCYPART_ARC
(20,8),-1.17576 # DEPENDENCYPART_ARC
(20,9),-1.33012 # DEPENDENCYPART_ARC
(20,10),-0.284525 # DEPENDENCYPART_ARC
(20,11),-0.847808 # DEPENDENCYPART_ARC
(20,12),-1.43274 # DEPENDENCYPART_ARC
(20,13),-1.14522 # DEPENDENCYPART_ARC
(20,14),-0.965132 # DEPENDENCYPART_ARC
(20,15),-0.476644 # DEPENDENCYPART_ARC
(20,16),-1.12725 # DEPENDENCYPART_ARC
(20,17),0.302859 # DEPENDENCYPART_ARC
(20,18),0.391496 # DEPENDENCYPART_ARC
(20,19),0.257959 # DEPENDENCYPART_ARC
(20,21),-0.225024 # DEPENDENCYPART_ARC
(20,22),0.20287 # DEPENDENCYPART_ARC
(20,23),0.444617 # DEPENDENCYPART_ARC
(20,24),0.205894 # DEPENDENCYPART_ARC
(21,1),-1.47172 # DEPENDENCYPART_ARC
(21,2),-1.11762 # DEPENDENCYPART_ARC
(21,3),-1.24302 # DEPENDENCYPART_ARC
(21,4),-2.13515 # DEPENDENCYPART_ARC
(21,5),-0.770825 # DEPENDENCYPART_ARC
(21,6),-1.59004 # DEPENDENCYPART_ARC
(21,7),-1.56178 # DEPENDENCYPART_ARC
(21,8),-2.49817 # DEPENDENCYPART_ARC
(21,9),-1.84624 # DEPENDENCYPART_ARC
(21,10),-0.750667 # DEPENDENCYPART_ARC
(21,11),-0.865512 # DEPENDENCYPART_ARC
(21,12),-0.965516 # DEPENDENCYPART_ARC
(21,13),-1.05749 # DEPENDENCYPART_ARC
(21,14),-1.48022 # DEPENDENCYPART_ARC
(21,15),-0.616014 # DEPENDENCYPART_ARC
(21,16),-0.530297 # DEPENDENCYPART_ARC
(21,17),-0.387663 # DEPENDENCYPART_ARC
(21,18),0.398617 # DEPENDENCYPART_ARC
(21,19),-0.101269 # DEPENDENCYPART_ARC
(21,20),0.915098 # DEPENDENCYPART_ARC
(21,22),-0.474846 # DEPENDENCYPART_ARC
(21,23),-0.442304 # DEPENDENCYPART_ARC
(21,24),-0.402507 # DEPENDENCYPART_ARC
