# _root_ Lajtos és Rózsavölgyi él-hal a sportágért , így aztán nem csoda , ha nem sajnálják a pénzt a futballra .
#goldHeads=4,4,4,9,6,4,9,9,0,13,13,13,9,15,13,17,15,19,15,9,
#predictedHeads=4,4,4,8,6,4,8,0,15,15,13,15,15,15,8,17,15,19,15,8,
(10,14),-0.45564 # DEPENDENCYPART_ARC
(10,15),-0.33414 # DEPENDENCYPART_ARC
(10,16),-0.835573 # DEPENDENCYPART_ARC
(10,17),-1.49341 # DEPENDENCYPART_ARC
(10,18),-0.919207 # DEPENDENCYPART_ARC
(10,19),-1.62099 # DEPENDENCYPART_ARC
(10,20),0.446546 # DEPENDENCYPART_ARC
(11,1),-1.24819 # DEPENDENCYPART_ARC
(11,2),-0.787038 # DEPENDENCYPART_ARC
(11,3),-1.27057 # DEPENDENCYPART_ARC
(11,4),-1.70404 # DEPENDENCYPART_ARC
(11,5),0.494876 # DEPENDENCYPART_ARC
(11,6),-1.27493 # DEPENDENCYPART_ARC
(11,7),0.344056 # DEPENDENCYPART_ARC
(11,8),0.277049 # DEPENDENCYPART_ARC
(11,9),0.826197 # DEPENDENCYPART_ARC
(11,10),0.859613 # DEPENDENCYPART_ARC
(11,12),0.314057 # DEPENDENCYPART_ARC
(11,13),-0.529261 # DEPENDENCYPART_ARC
(11,14),-0.369642 # DEPENDENCYPART_ARC
(11,15),0.0671184 # DEPENDENCYPART_ARC
(11,16),-0.840724 # DEPENDENCYPART_ARC
(11,17),-1.92146 # DEPENDENCYPART_ARC
(11,18),-0.901698 # DEPENDENCYPART_ARC
(11,19),-2.07711 # DEPENDENCYPART_ARC
(11,20),0.521426 # DEPENDENCYPART_ARC
(12,1),-3.16015 # DEPENDENCYPART_ARC
(12,2),-1.92455 # DEPENDENCYPART_ARC
(12,3),-2.98398 # DEPENDENCYPART_ARC
(12,4),-2.11717 # DEPENDENCYPART_ARC
(12,5),-1.69747 # DEPENDENCYPART_ARC
(12,6),-2.84977 # DEPENDENCYPART_ARC
(12,7),-1.58383 # DEPENDENCYPART_ARC
(12,8),-1.4535 # DEPENDENCYPART_ARC
(12,9),-1.25673 # DEPENDENCYPART_ARC
(12,10),-1.2069 # DEPENDENCYPART_ARC
(12,11),-1.45507 # DEPENDENCYPART_ARC
(12,13),-1.06156 # DEPENDENCYPART_ARC
(12,14),-1.35422 # DEPENDENCYPART_ARC
(12,15),-1.39674 # DEPENDENCYPART_ARC
(12,16),-1.58038 # DEPENDENCYPART_ARC
(12,17),-2.20907 # DEPENDENCYPART_ARC
(12,18),-1.66186 # DEPENDENCYPART_ARC
(12,19),-2.60327 # DEPENDENCYPART_ARC
(12,20),-1.5602 # DEPENDENCYPART_ARC
(13,1),-0.31179 # DEPENDENCYPART_ARC
(13,2),-0.224948 # DEPENDENCYPART_ARC
(13,3),0.0378126 # DEPENDENCYPART_ARC
(13,4),-0.42545 # DEPENDENCYPART_ARC
(13,5),-0.73624 # DEPENDENCYPART_ARC
(13,6),-0.321004 # DEPENDENCYPART_ARC
(13,7),0.642922 # DEPENDENCYPART_ARC
(13,8),0.708415 # DEPENDENCYPART_ARC
(13,9),1.11608 # DEPENDENCYPART_ARC
(13,10),1.57219 # DEPENDENCYPART_ARC
(13,11),1.0806 # DEPENDENCYPART_ARC
(13,12),1.13593 # DEPENDENCYPART_ARC
(13,14),-0.0818687 # DEPENDENCYPART_ARC
(13,15),0.967172 # DEPENDENCYPART_ARC
(13,16),-0.746179 # DEPENDENCYPART_ARC
(13,17),-0.984 # DEPENDENCYPART_ARC
(13,18),-0.987874 # DEPENDENCYPART_ARC
(13,19),-1.3832 # DEPENDENCYPART_ARC
(13,20),1.67309 # DEPENDENCYPART_ARC
(14,1),-1.4919 # DEPENDENCYPART_ARC
(14,2),-1.83118 # DEPENDENCYPART_ARC
(14,3),-1.66348 # DEPENDENCYPART_ARC
(14,4),-1.25651 # DEPENDENCYPART_ARC
(14,5),-1.72563 # DEPENDENCYPART_ARC
(14,6),-1.48418 # DEPENDENCYPART_ARC
(14,7),-0.41402 # DEPENDENCYPART_ARC
(14,8),-1.07871 # DEPENDENCYPART_ARC
(14,9),-1.2277 # DEPENDENCYPART_ARC
(14,10),-0.898447 # DEPENDENCYPART_ARC
(14,11),-1.02784 # DEPENDENCYPART_ARC
(14,12),-0.627646 # DEPENDENCYPART_ARC
(14,13),-0.42255 # DEPENDENCYPART_ARC
(14,15),-0.408096 # DEPENDENCYPART_ARC
(14,16),-1.34015 # DEPENDENCYPART_ARC
(14,17),-1.36022 # DEPENDENCYPART_ARC
(14,18),-1.42387 # DEPENDENCYPART_ARC
(14,19),-1.59396 # DEPENDENCYPART_ARC
(14,20),-0.168249 # DEPENDENCYPART_ARC
(15,1),0.00065513 # DEPENDENCYPART_ARC
(15,2),0.656437 # DEPENDENCYPART_ARC
(15,3),0.231948 # DEPENDENCYPART_ARC
(15,4),-0.391821 # DEPENDENCYPART_ARC
(15,5),-0.534584 # DEPENDENCYPART_ARC
(15,6),-0.532638 # DEPENDENCYPART_ARC
(15,7),0.552543 # DEPENDENCYPART_ARC
(15,8),0.782059 # DEPENDENCYPART_ARC
(15,9),1.6843 # DEPENDENCYPART_ARC
(15,10),1.69662 # DEPENDENCYPART_ARC
(15,11),0.203284 # DEPENDENCYPART_ARC
(15,12),1.18918 # DEPENDENCYPART_ARC
(15,13),1.20905 # DEPENDENCYPART_ARC
(15,14),3.26981 # DEPENDENCYPART_ARC
(15,16),0.111565 # DEPENDENCYPART_ARC
(15,17),3.0048 # DEPENDENCYPART_ARC
(15,18),-0.209965 # DEPENDENCYPART_ARC
(15,19),1.66176 # DEPENDENCYPART_ARC
(15,20),1.88954 # DEPENDENCYPART_ARC
(16,1),-3.39598 # DEPENDENCYPART_ARC
(16,2),-2.02683 # DEPENDENCYPART_ARC
(16,3),-3.28434 # DEPENDENCYPART_ARC
(16,4),-2.6761 # DEPENDENCYPART_ARC
(16,5),-1.96584 # DEPENDENCYPART_ARC
(16,6),-3.15792 # DEPENDENCYPART_ARC
(16,7),-1.37426 # DEPENDENCYPART_ARC
(16,8),-1.69094 # DEPENDENCYPART_ARC
(16,9),-1.66989 # DEPENDENCYPART_ARC
(16,10),-1.93215 # DEPENDENCYPART_ARC
(16,11),-2.92551 # DEPENDENCYPART_ARC
(16,12),-1.41967 # DEPENDENCYPART_ARC
(16,13),-1.35824 # DEPENDENCYPART_ARC
(16,14),-1.42659 # DEPENDENCYPART_ARC
(16,15),-0.846305 # DEPENDENCYPART_ARC
(16,17),-0.388454 # DEPENDENCYPART_ARC
(16,18),-0.636946 # DEPENDENCYPART_ARC
(16,19),-1.05536 # DEPENDENCYPART_ARC
(16,20),-1.34634 # DEPENDENCYPART_ARC
(17,1),-3.44374 # DEPENDENCYPART_ARC
(17,2),-2.76127 # DEPENDENCYPART_ARC
(17,3),-3.35927 # DEPENDENCYPART_ARC
(17,4),-3.65513 # DEPENDENCYPART_ARC
(17,5),-1.51587 # DEPENDENCYPART_ARC
(17,6),-4.23318 # DEPENDENCYPART_ARC
(17,7),-1.80042 # DEPENDENCYPART_ARC
(17,8),-1.70709 # DEPENDENCYPART_ARC
(17,9),-1.42525 # DEPENDENCYPART_ARC
(17,10),-1.42783 # DEPENDENCYPART_ARC
(17,11),-3.35584 # DEPENDENCYPART_ARC
(17,12),-1.81088 # DEPENDENCYPART_ARC
(17,13),-1.36479 # DEPENDENCYPART_ARC
(17,14),-0.773369 # DEPENDENCYPART_ARC
(17,15),-0.934168 # DEPENDENCYPART_ARC
(17,16),3.13704 # DEPENDENCYPART_ARC
(17,18),-0.391402 # DEPENDENCYPART_ARC
(17,19),-0.677478 # DEPENDENCYPART_ARC
(17,20),0.105053 # DEPENDENCYPART_ARC
(18,1),-3.32054 # DEPENDENCYPART_ARC
(18,2),-2.02204 # DEPENDENCYPART_ARC
(18,3),-3.33306 # DEPENDENCYPART_ARC
(18,4),-2.61766 # DEPENDENCYPART_ARC
(18,5),-1.90364 # DEPENDENCYPART_ARC
(18,6),-3.24962 # DEPENDENCYPART_ARC
(18,7),-1.37196 # DEPENDENCYPART_ARC
(18,8),-1.6641 # DEPENDENCYPART_ARC
(18,9),-1.65303 # DEPENDENCYPART_ARC
(18,10),-1.94596 # DEPENDENCYPART_ARC
(18,11),-3.0165 # DEPENDENCYPART_ARC
(18,12),-1.34273 # DEPENDENCYPART_ARC
(18,13),-1.6041 # DEPENDENCYPART_ARC
(18,14),-1.58782 # DEPENDENCYPART_ARC
(18,15),-1.61507 # DEPENDENCYPART_ARC
(18,16),-0.769797 # DEPENDENCYPART_ARC
(18,17),-1.39591 # DEPENDENCYPART_ARC
(18,19),-0.631767 # DEPENDENCYPART_ARC
(18,20),-1.30733 # DEPENDENCYPART_ARC
(19,1),-3.591 # DEPENDENCYPART_ARC
(19,2),-2.48555 # DEPENDENCYPART_ARC
(19,3),-3.69658 # DEPENDENCYPART_ARC
(19,4),-3.7719 # DEPENDENCYPART_ARC
(19,5),-2.22336 # DEPENDENCYPART_ARC
(19,6),-4.09173 # DEPENDENCYPART_ARC
(19,7),-1.75009 # DEPENDENCYPART_ARC
(19,8),-1.50067 # DEPENDENCYPART_ARC
(19,9),-1.19723 # DEPENDENCYPART_ARC
(19,10),-1.2031 # DEPENDENCYPART_ARC
(19,11),-3.5033 # DEPENDENCYPART_ARC
(19,12),-1.64123 # DEPENDENCYPART_ARC
(19,13),-1.08987 # DEPENDENCYPART_ARC
(19,14),-0.91015 # DEPENDENCYPART_ARC
(19,15),-1.86698 # DEPENDENCYPART_ARC
(19,16),0.780712 # DEPENDENCYPART_ARC
(19,17),-1.91028 # DEPENDENCYPART_ARC
(19,18),3.11844 # DEPENDENCYPART_ARC
(19,20),-0.467356 # DEPENDENCYPART_ARC
(20,1),-4.32832 # DEPENDENCYPART_ARC
(20,2),-3.15211 # DEPENDENCYPART_ARC
(20,3),-4.26178 # DEPENDENCYPART_ARC
(20,4),-3.38859 # DEPENDENCYPART_ARC
(20,5),-3.13654 # DEPENDENCYPART_ARC
(20,6),-4.17165 # DEPENDENCYPART_ARC
(20,7),-2.79401 # DEPENDENCYPART_ARC
(20,8),-2.9152 # DEPENDENCYPART_ARC
(20,9),-2.88459 # DEPENDENCYPART_ARC
(20,10),-2.98583 # DEPENDENCYPART_ARC
(20,11),-3.88178 # DEPENDENCYPART_ARC
(20,12),-2.63353 # DEPENDENCYPART_ARC
(20,13),-2.66704 # DEPENDENCYPART_ARC
(20,14),-2.80362 # DEPENDENCYPART_ARC
(20,15),-2.7023 # DEPENDENCYPART_ARC
(20,16),-2.41021 # DEPENDENCYPART_ARC
(20,17),-3.14166 # DEPENDENCYPART_ARC
(20,18),-1.87594 # DEPENDENCYPART_ARC
(20,19),-2.53933 # DEPENDENCYPART_ARC
