# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,3,4,5,0,7,5,5,10,5,5,13,14,5,16,14,18,19,21,21,22,24,24,25,5,5,
(1,16),-1.93587 # DEPENDENCYPART_ARC
(1,17),-1.17179 # DEPENDENCYPART_ARC
(1,18),-1.93062 # DEPENDENCYPART_ARC
(1,19),-2.3259 # DEPENDENCYPART_ARC
(1,20),-1.87593 # DEPENDENCYPART_ARC
(1,21),-2.28351 # DEPENDENCYPART_ARC
(1,22),-2.38854 # DEPENDENCYPART_ARC
(1,23),-2.18093 # DEPENDENCYPART_ARC
(1,24),-2.46847 # DEPENDENCYPART_ARC
(1,25),-2.50828 # DEPENDENCYPART_ARC
(1,26),-2.56736 # DEPENDENCYPART_ARC
(2,1),2.75004 # DEPENDENCYPART_ARC
(2,3),-0.0096706 # DEPENDENCYPART_ARC
(2,4),-0.714956 # DEPENDENCYPART_ARC
(2,5),-0.40322 # DEPENDENCYPART_ARC
(2,6),-1.21535 # DEPENDENCYPART_ARC
(2,7),-1.32282 # DEPENDENCYPART_ARC
(2,8),-0.102233 # DEPENDENCYPART_ARC
(2,9),-1.35195 # DEPENDENCYPART_ARC
(2,10),-1.58318 # DEPENDENCYPART_ARC
(2,11),-0.262765 # DEPENDENCYPART_ARC
(2,12),-1.42137 # DEPENDENCYPART_ARC
(2,13),-2.02892 # DEPENDENCYPART_ARC
(2,14),-1.04332 # DEPENDENCYPART_ARC
(2,15),-1.6524 # DEPENDENCYPART_ARC
(2,16),-2.35674 # DEPENDENCYPART_ARC
(2,17),-1.64908 # DEPENDENCYPART_ARC
(2,18),-2.62557 # DEPENDENCYPART_ARC
(2,19),-1.91349 # DEPENDENCYPART_ARC
(2,20),-1.67215 # DEPENDENCYPART_ARC
(2,21),-1.70326 # DEPENDENCYPART_ARC
(2,22),-2.00489 # DEPENDENCYPART_ARC
(2,23),-1.82734 # DEPENDENCYPART_ARC
(2,24),-1.56586 # DEPENDENCYPART_ARC
(2,25),-2.61558 # DEPENDENCYPART_ARC
(2,26),0.043446 # DEPENDENCYPART_ARC
(3,1),1.17222 # DEPENDENCYPART_ARC
(3,2),2.8074 # DEPENDENCYPART_ARC
(3,4),-0.902904 # DEPENDENCYPART_ARC
(3,5),-0.527616 # DEPENDENCYPART_ARC
(3,6),-1.22705 # DEPENDENCYPART_ARC
(3,7),-1.58677 # DEPENDENCYPART_ARC
(3,8),-0.42965 # DEPENDENCYPART_ARC
(3,9),-1.41076 # DEPENDENCYPART_ARC
(3,10),-1.88427 # DEPENDENCYPART_ARC
(3,11),-0.483788 # DEPENDENCYPART_ARC
(3,12),-1.53353 # DEPENDENCYPART_ARC
(3,13),-2.04571 # DEPENDENCYPART_ARC
(3,14),-0.842167 # DEPENDENCYPART_ARC
(3,15),-1.71439 # DEPENDENCYPART_ARC
(3,16),-2.67865 # DEPENDENCYPART_ARC
(3,17),-1.77219 # DEPENDENCYPART_ARC
(3,18),-2.78397 # DEPENDENCYPART_ARC
(3,19),-2.30582 # DEPENDENCYPART_ARC
(3,20),-1.95133 # DEPENDENCYPART_ARC
(3,21),-2.24737 # DEPENDENCYPART_ARC
(3,22),-2.29459 # DEPENDENCYPART_ARC
(3,23),-2.14697 # DEPENDENCYPART_ARC
(3,24),-2.19776 # DEPENDENCYPART_ARC
(3,25),-2.96009 # DEPENDENCYPART_ARC
(3,26),0.115022 # DEPENDENCYPART_ARC
(4,1),-0.0573652 # DEPENDENCYPART_ARC
(4,2),2.54883 # DEPENDENCYPART_ARC
(4,3),3.76474 # DEPENDENCYPART_ARC
(4,5),-0.797318 # DEPENDENCYPART_ARC
(4,6),-1.13609 # DEPENDENCYPART_ARC
(4,7),-0.975357 # DEPENDENCYPART_ARC
(4,8),-0.272857 # DEPENDENCYPART_ARC
(4,9),-1.28607 # DEPENDENCYPART_ARC
(4,10),-1.31997 # DEPENDENCYPART_ARC
(4,11),-0.366955 # DEPENDENCYPART_ARC
(4,12),-1.38271 # DEPENDENCYPART_ARC
(4,13),-1.56343 # DEPENDENCYPART_ARC
(4,14),-0.542279 # DEPENDENCYPART_ARC
(4,15),-1.51973 # DEPENDENCYPART_ARC
(4,16),-2.13459 # DEPENDENCYPART_ARC
(4,17),-1.64428 # DEPENDENCYPART_ARC
(4,18),-2.55171 # DEPENDENCYPART_ARC
(4,19),-2.07265 # DEPENDENCYPART_ARC
(4,20),-2.42328 # DEPENDENCYPART_ARC
(4,21),-2.46764 # DEPENDENCYPART_ARC
(4,22),-2.11773 # DEPENDENCYPART_ARC
(4,23),-1.82523 # DEPENDENCYPART_ARC
(4,24),-2.47756 # DEPENDENCYPART_ARC
(4,25),-3.01391 # DEPENDENCYPART_ARC
(4,26),0.449752 # DEPENDENCYPART_ARC
(5,1),-0.189866 # DEPENDENCYPART_ARC
(5,2),2.56656 # DEPENDENCYPART_ARC
(5,3),2.32888 # DEPENDENCYPART_ARC
(5,4),3.9902 # DEPENDENCYPART_ARC
(5,6),0.490567 # DEPENDENCYPART_ARC
(5,7),3.80635 # DEPENDENCYPART_ARC
(5,8),2.05513 # DEPENDENCYPART_ARC
(5,9),0.229467 # DEPENDENCYPART_ARC
(5,10),2.59277 # DEPENDENCYPART_ARC
(5,11),1.59372 # DEPENDENCYPART_ARC
(5,12),-0.00949722 # DEPENDENCYPART_ARC
(5,13),0.653661 # DEPENDENCYPART_ARC
(5,14),1.09544 # DEPENDENCYPART_ARC
(5,15),-0.17031 # DEPENDENCYPART_ARC
(5,16),0.566462 # DEPENDENCYPART_ARC
(5,17),-0.340171 # DEPENDENCYPART_ARC
(5,18),-1.81199 # DEPENDENCYPART_ARC
(5,19),-0.859589 # DEPENDENCYPART_ARC
(5,20),-0.64725 # DEPENDENCYPART_ARC
(5,21),-1.06174 # DEPENDENCYPART_ARC
(5,22),-1.11903 # DEPENDENCYPART_ARC
(5,23),-1.40862 # DEPENDENCYPART_ARC
(5,24),-0.0524282 # DEPENDENCYPART_ARC
(5,25),2.08055 # DEPENDENCYPART_ARC
(5,26),4.22977 # DEPENDENCYPART_ARC
(6,1),-1.71593 # DEPENDENCYPART_ARC
(6,2),-2.5409 # DEPENDENCYPART_ARC
(6,3),-2.47782 # DEPENDENCYPART_ARC
(6,4),-2.54883 # DEPENDENCYPART_ARC
(6,5),-0.766062 # DEPENDENCYPART_ARC
(6,7),0.021182 # DEPENDENCYPART_ARC
(6,8),0.042653 # DEPENDENCYPART_ARC
(6,9),-0.520665 # DEPENDENCYPART_ARC
(6,10),-0.769011 # DEPENDENCYPART_ARC
(6,11),-0.181297 # DEPENDENCYPART_ARC
(6,12),-0.730158 # DEPENDENCYPART_ARC
(6,13),-1.25181 # DEPENDENCYPART_ARC
(6,14),-0.954671 # DEPENDENCYPART_ARC
(6,15),-0.826544 # DEPENDENCYPART_ARC
(6,16),-1.34996 # DEPENDENCYPART_ARC
(6,17),-0.886621 # DEPENDENCYPART_ARC
(6,18),-1.56861 # DEPENDENCYPART_ARC
(6,19),-1.53631 # DEPENDENCYPART_ARC
(6,20),-1.20497 # DEPENDENCYPART_ARC
(6,21),-1.87268 # DEPENDENCYPART_ARC
(6,22),-1.65787 # DEPENDENCYPART_ARC
(6,23),-1.6055 # DEPENDENCYPART_ARC
(6,24),-2.12988 # DEPENDENCYPART_ARC
(6,25),-2.26416 # DEPENDENCYPART_ARC
(6,26),-2.58407 # DEPENDENCYPART_ARC
(7,1),-0.997266 # DEPENDENCYPART_ARC
(7,2),-2.03824 # DEPENDENCYPART_ARC
(7,3),-2.11953 # DEPENDENCYPART_ARC
(7,4),-3.43707 # DEPENDENCYPART_ARC
(7,5),-0.606096 # DEPENDENCYPART_ARC
(7,6),2.81941 # DEPENDENCYPART_ARC
(7,8),0.262555 # DEPENDENCYPART_ARC
(7,9),-0.865035 # DEPENDENCYPART_ARC
(7,10),-0.23569 # DEPENDENCYPART_ARC
(7,11),0.09732 # DEPENDENCYPART_ARC
(7,12),-1.01502 # DEPENDENCYPART_ARC
(7,13),-0.806025 # DEPENDENCYPART_ARC
(7,14),-0.570281 # DEPENDENCYPART_ARC
(7,15),-1.11646 # DEPENDENCYPART_ARC
(7,16),-1.12754 # DEPENDENCYPART_ARC
(7,17),-1.14021 # DEPENDENCYPART_ARC
(7,18),-1.70263 # DEPENDENCYPART_ARC
(7,19),-1.29114 # DEPENDENCYPART_ARC
(7,20),-1.64174 # DEPENDENCYPART_ARC
(7,21),-1.32692 # DEPENDENCYPART_ARC
(7,22),-1.25916 # DEPENDENCYPART_ARC
(7,23),-1.04193 # DEPENDENCYPART_ARC
(7,24),-0.921285 # DEPENDENCYPART_ARC
(7,25),-1.3873 # DEPENDENCYPART_ARC
(7,26),0.429449 # DEPENDENCYPART_ARC
(8,1),-1.95708 # DEPENDENCYPART_ARC
(8,2),-2.86643 # DEPENDENCYPART_ARC
(8,3),-2.7533 # DEPENDENCYPART_ARC
(8,4),-2.60659 # DEPENDENCYPART_ARC
(8,5),-1.60225 # DEPENDENCYPART_ARC
(8,6),-0.97544 # DEPENDENCYPART_ARC
(8,7),-1.53194 # DEPENDENCYPART_ARC
(8,9),-0.798908 # DEPENDENCYPART_ARC
(8,10),-1.30679 # DEPENDENCYPART_ARC
(8,11),-0.773823 # DEPENDENCYPART_ARC
(8,12),-1.15409 # DEPENDENCYPART_ARC
(8,13),-1.93638 # DEPENDENCYPART_ARC
(8,14),-0.911688 # DEPENDENCYPART_ARC
(8,15),-1.27621 # DEPENDENCYPART_ARC
(8,16),-2.29982 # DEPENDENCYPART_ARC
(8,17),-1.33196 # DEPENDENCYPART_ARC
(8,18),-2.39461 # DEPENDENCYPART_ARC
(8,19),-1.56089 # DEPENDENCYPART_ARC
(8,20),-1.57496 # DEPENDENCYPART_ARC
(8,21),-2.65687 # DEPENDENCYPART_ARC
(8,22),-1.6674 # DEPENDENCYPART_ARC
(8,23),-1.65261 # DEPENDENCYPART_ARC
(8,24),-2.68477 # DEPENDENCYPART_ARC
(8,25),-2.79184 # DEPENDENCYPART_ARC
(8,26),-1.67002 # DEPENDENCYPART_ARC
(9,1),-1.49499 # DEPENDENCYPART_ARC
(9,2),-2.5671 # DEPENDENCYPART_ARC
(9,3),-2.62804 # DEPENDENCYPART_ARC
(9,4),-2.83029 # DEPENDENCYPART_ARC
(9,5),-1.5419 # DEPENDENCYPART_ARC
(9,6),-0.79611 # DEPENDENCYPART_ARC
(9,7),-1.54643 # DEPENDENCYPART_ARC
(9,8),-0.367069 # DEPENDENCYPART_ARC
(9,10),-0.113412 # DEPENDENCYPART_ARC
(9,11),0.0653714 # DEPENDENCYPART_ARC
(9,12),-0.45017 # DEPENDENCYPART_ARC
(9,13),-0.860332 # DEPENDENCYPART_ARC
(9,14),-0.763135 # DEPENDENCYPART_ARC
(9,15),-0.659662 # DEPENDENCYPART_ARC
(9,16),-1.26798 # DEPENDENCYPART_ARC
(9,17),-0.739393 # DEPENDENCYPART_ARC
(9,18),-1.34444 # DEPENDENCYPART_ARC
(9,19),-1.14371 # DEPENDENCYPART_ARC
(9,20),-1.02863 # DEPENDENCYPART_ARC
(9,21),-1.80461 # DEPENDENCYPART_ARC
(9,22),-1.48324 # DEPENDENCYPART_ARC
(9,23),-1.44152 # DEPENDENCYPART_ARC
(9,24),-1.97972 # DEPENDENCYPART_ARC
(9,25),-2.16791 # DEPENDENCYPART_ARC
(9,26),-2.21052 # DEPENDENCYPART_ARC
(10,1),-1.73463 # DEPENDENCYPART_ARC
(10,2),-2.75927 # DEPENDENCYPART_ARC
(10,3),-2.92309 # DEPENDENCYPART_ARC
(10,4),-4.36465 # DEPENDENCYPART_ARC
(10,5),-1.76443 # DEPENDENCYPART_ARC
(10,6),0.230313 # DEPENDENCYPART_ARC
(10,7),-0.686502 # DEPENDENCYPART_ARC
(10,8),-0.650895 # DEPENDENCYPART_ARC
(10,9),2.84351 # DEPENDENCYPART_ARC
(10,11),0.321645 # DEPENDENCYPART_ARC
(10,12),-0.805945 # DEPENDENCYPART_ARC
(10,13),-0.402326 # DEPENDENCYPART_ARC
(10,14),-0.497313 # DEPENDENCYPART_ARC
(10,15),-0.960727 # DEPENDENCYPART_ARC
(10,16),-0.95451 # DEPENDENCYPART_ARC
(10,17),-1.01169 # DEPENDENCYPART_ARC
(10,18),-1.36456 # DEPENDENCYPART_ARC
(10,19),-0.99636 # DEPENDENCYPART_ARC
(10,20),-1.42704 # DEPENDENCYPART_ARC
(10,21),-1.15859 # DEPENDENCYPART_ARC
(10,22),-1.1049 # DEPENDENCYPART_ARC
(10,23),-0.920144 # DEPENDENCYPART_ARC
(10,24),-0.885043 # DEPENDENCYPART_ARC
(10,25),-1.22918 # DEPENDENCYPART_ARC
(10,26),0.360985 # DEPENDENCYPART_ARC
(11,1),-2.06652 # DEPENDENCYPART_ARC
(11,2),-3.01997 # DEPENDENCYPART_ARC
(11,3),-2.9539 # DEPENDENCYPART_ARC
(11,4),-2.91524 # DEPENDENCYPART_ARC
(11,5),-1.99567 # DEPENDENCYPART_ARC
(11,6),-1.65408 # DEPENDENCYPART_ARC
(11,7),-2.61799 # DEPENDENCYPART_ARC
(11,8),-1.22261 # DEPENDENCYPART_ARC
(11,9),-0.97544 # DEPENDENCYPART_ARC
(11,10),-1.53194 # DEPENDENCYPART_ARC
(11,12),-0.798908 # DEPENDENCYPART_ARC
(11,13),-1.29444 # DEPENDENCYPART_ARC
(11,14),-0.846426 # DEPENDENCYPART_ARC
(11,15),-1.15409 # DEPENDENCYPART_ARC
(11,16),-1.93498 # DEPENDENCYPART_ARC
(11,17),-1.23558 # DEPENDENCYPART_ARC
(11,18),-2.2553 # DEPENDENCYPART_ARC
(11,19),-1.49559 # DEPENDENCYPART_ARC
(11,20),-1.5181 # DEPENDENCYPART_ARC
(11,21),-2.32675 # DEPENDENCYPART_ARC
(11,22),-1.5646 # DEPENDENCYPART_ARC
(11,23),-1.6288 # DEPENDENCYPART_ARC
(11,24),-2.60828 # DEPENDENCYPART_ARC
(11,25),-2.73597 # DEPENDENCYPART_ARC
(11,26),-1.50266 # DEPENDENCYPART_ARC
(12,1),-1.57649 # DEPENDENCYPART_ARC
(12,2),-2.67155 # DEPENDENCYPART_ARC
(12,3),-2.77658 # DEPENDENCYPART_ARC
(12,4),-3.02671 # DEPENDENCYPART_ARC
(12,5),-1.81743 # DEPENDENCYPART_ARC
(12,6),-1.09954 # DEPENDENCYPART_ARC
(12,7),-2.10616 # DEPENDENCYPART_ARC
(12,8),-1.06488 # DEPENDENCYPART_ARC
(12,9),-0.784997 # DEPENDENCYPART_ARC
(12,10),-1.53532 # DEPENDENCYPART_ARC
(12,11),-0.355956 # DEPENDENCYPART_ARC
(12,13),-0.183308 # DEPENDENCYPART_ARC
(12,14),-0.46448 # DEPENDENCYPART_ARC
(12,15),-0.497762 # DEPENDENCYPART_ARC
(12,16),-0.896529 # DEPENDENCYPART_ARC
(12,17),-0.66456 # DEPENDENCYPART_ARC
(12,18),-1.22913 # DEPENDENCYPART_ARC
(12,19),-0.958794 # DEPENDENCYPART_ARC
(12,20),-1.03027 # DEPENDENCYPART_ARC
(12,21),-1.58051 # DEPENDENCYPART_ARC
(12,22),-1.16492 # DEPENDENCYPART_ARC
(12,23),-1.20796 # DEPENDENCYPART_ARC
(12,24),-1.94811 # DEPENDENCYPART_ARC
(12,25),-2.16877 # DEPENDENCYPART_ARC
(12,26),-2.12301 # DEPENDENCYPART_ARC
(13,1),-2.38296 # DEPENDENCYPART_ARC
(13,2),-3.53321 # DEPENDENCYPART_ARC
(13,3),-3.72593 # DEPENDENCYPART_ARC
(13,4),-5.14779 # DEPENDENCYPART_ARC
(13,5),-2.43182 # DEPENDENCYPART_ARC
(13,6),-0.931476 # DEPENDENCYPART_ARC
(13,7),-1.86663 # DEPENDENCYPART_ARC
(13,8),-1.26041 # DEPENDENCYPART_ARC
(13,9),0.17465 # DEPENDENCYPART_ARC
(13,10),-0.959059 # DEPENDENCYPART_ARC
(13,11),-0.781076 # DEPENDENCYPART_ARC
(13,12),2.81631 # DEPENDENCYPART_ARC
(13,14),-0.997319 # DEPENDENCYPART_ARC
(13,15),-1.53417 # DEPENDENCYPART_ARC
(13,16),-1.3806 # DEPENDENCYPART_ARC
(13,17),-1.60014 # DEPENDENCYPART_ARC
(13,18),-1.91727 # DEPENDENCYPART_ARC
(13,19),-1.52985 # DEPENDENCYPART_ARC
(13,20),-2.10344 # DEPENDENCYPART_ARC
(13,21),-1.70339 # DEPENDENCYPART_ARC
(13,22),-1.58963 # DEPENDENCYPART_ARC
(13,23),-1.36673 # DEPENDENCYPART_ARC
(13,24),-1.73266 # DEPENDENCYPART_ARC
(13,25),-2.20541 # DEPENDENCYPART_ARC
(13,26),-0.70529 # DEPENDENCYPART_ARC
(14,1),-1.26017 # DEPENDENCYPART_ARC
(14,2),-0.355036 # DEPENDENCYPART_ARC
(14,3),-0.666904 # DEPENDENCYPART_ARC
(14,4),-0.719415 # DEPENDENCYPART_ARC
(14,5),-0.10733 # DEPENDENCYPART_ARC
(14,6),-0.894105 # DEPENDENCYPART_ARC
(14,7),0.402623 # DEPENDENCYPART_ARC
(14,8),0.490282 # DEPENDENCYPART_ARC
(14,9),-0.667972 # DEPENDENCYPART_ARC
(14,10),0.55782 # DEPENDENCYPART_ARC
(14,11),0.879338 # DEPENDENCYPART_ARC
(14,12),-0.0202982 # DEPENDENCYPART_ARC
(14,13),1.10593 # DEPENDENCYPART_ARC
(14,15),-0.0933177 # DEPENDENCYPART_ARC
(14,16),1.32721 # DEPENDENCYPART_ARC
(14,17),-0.324237 # DEPENDENCYPART_ARC
(14,18),0.245193 # DEPENDENCYPART_ARC
(14,19),-0.335641 # DEPENDENCYPART_ARC
(14,20),-0.809124 # DEPENDENCYPART_ARC
(14,21),-0.0375182 # DEPENDENCYPART_ARC
(14,22),-0.501374 # DEPENDENCYPART_ARC
(14,23),-0.669959 # DEPENDENCYPART_ARC
(14,24),0.139881 # DEPENDENCYPART_ARC
(14,25),-0.644467 # DEPENDENCYPART_ARC
(14,26),0.151375 # DEPENDENCYPART_ARC
(15,1),-1.7102 # DEPENDENCYPART_ARC
(15,2),-2.88714 # DEPENDENCYPART_ARC
(15,3),-3.02053 # DEPENDENCYPART_ARC
(15,4),-3.28922 # DEPENDENCYPART_ARC
(15,5),-2.00217 # DEPENDENCYPART_ARC
(15,6),-1.32753 # DEPENDENCYPART_ARC
(15,7),-2.35972 # DEPENDENCYPART_ARC
(15,8),-0.974466 # DEPENDENCYPART_ARC
(15,9),-1.15664 # DEPENDENCYPART_ARC
(15,10),-2.15219 # DEPENDENCYPART_ARC
(15,11),-0.881016 # DEPENDENCYPART_ARC
(15,12),-0.84209 # DEPENDENCYPART_ARC
(15,13),-1.57063 # DEPENDENCYPART_ARC
(15,14),-0.168336 # DEPENDENCYPART_ARC
(15,16),-0.28938 # DEPENDENCYPART_ARC
(15,17),-0.52745 # DEPENDENCYPART_ARC
(15,18),-0.890058 # DEPENDENCYPART_ARC
(15,19),-0.594768 # DEPENDENCYPART_ARC
(15,20),-1.00622 # DEPENDENCYPART_ARC
(15,21),-1.55977 # DEPENDENCYPART_ARC
(15,22),-1.03052 # DEPENDENCYPART_ARC
(15,23),-0.99895 # DEPENDENCYPART_ARC
(15,24),-1.81219 # DEPENDENCYPART_ARC
(15,25),-1.9821 # DEPENDENCYPART_ARC
(15,26),-1.97621 # DEPENDENCYPART_ARC
(16,1),-3.24883 # DEPENDENCYPART_ARC
(16,2),-4.01068 # DEPENDENCYPART_ARC
(16,3),-4.14588 # DEPENDENCYPART_ARC
(16,4),-5.69872 # DEPENDENCYPART_ARC
(16,5),-2.61151 # DEPENDENCYPART_ARC
(16,6),-1.91202 # DEPENDENCYPART_ARC
(16,7),-2.49705 # DEPENDENCYPART_ARC
(16,8),-1.47921 # DEPENDENCYPART_ARC
(16,9),-1.01948 # DEPENDENCYPART_ARC
(16,10),-1.99675 # DEPENDENCYPART_ARC
(16,11),-1.18637 # DEPENDENCYPART_ARC
(16,12),-0.0103742 # DEPENDENCYPART_ARC
(16,13),-0.50981 # DEPENDENCYPART_ARC
(16,14),-0.00160551 # DEPENDENCYPART_ARC
(16,15),2.96415 # DEPENDENCYPART_ARC
(16,17),-0.489327 # DEPENDENCYPART_ARC
(16,18),-0.27054 # DEPENDENCYPART_ARC
(16,19),-0.240863 # DEPENDENCYPART_ARC
(16,20),-1.07273 # DEPENDENCYPART_ARC
(16,21),-0.196824 # DEPENDENCYPART_ARC
(16,22),-0.482288 # DEPENDENCYPART_ARC
(16,23),-0.303415 # DEPENDENCYPART_ARC
(16,24),-0.244518 # DEPENDENCYPART_ARC
(16,25),-0.574724 # DEPENDENCYPART_ARC
(16,26),0.328313 # DEPENDENCYPART_ARC
(17,1),-1.74604 # DEPENDENCYPART_ARC
(17,2),-2.97346 # DEPENDENCYPART_ARC
(17,3),-3.02767 # DEPENDENCYPART_ARC
(17,4),-3.27871 # DEPENDENCYPART_ARC
(17,5),-1.9974 # DEPENDENCYPART_ARC
(17,6),-1.31814 # DEPENDENCYPART_ARC
(17,7),-2.39929 # DEPENDENCYPART_ARC
(17,8),-1.02442 # DEPENDENCYPART_ARC
(17,9),-1.21686 # DEPENDENCYPART_ARC
(17,10),-2.28373 # DEPENDENCYPART_ARC
(17,11),-0.870884 # DEPENDENCYPART_ARC
(17,12),-1.13437 # DEPENDENCYPART_ARC
(17,13),-1.95742 # DEPENDENCYPART_ARC
(17,14),-0.744911 # DEPENDENCYPART_ARC
(17,15),-0.471759 # DEPENDENCYPART_ARC
(17,16),-0.952332 # DEPENDENCYPART_ARC
(17,18),-0.300913 # DEPENDENCYPART_ARC
(17,19),-0.113348 # DEPENDENCYPART_ARC
(17,20),-0.855995 # DEPENDENCYPART_ARC
(17,21),-1.23905 # DEPENDENCYPART_ARC
(17,22),-0.718628 # DEPENDENCYPART_ARC
(17,23),-0.856742 # DEPENDENCYPART_ARC
(17,24),-1.74591 # DEPENDENCYPART_ARC
(17,25),-1.97011 # DEPENDENCYPART_ARC
(17,26),-1.9221 # DEPENDENCYPART_ARC
(18,1),-3.78089 # DEPENDENCYPART_ARC
(18,2),-5.59264 # DEPENDENCYPART_ARC
(18,3),-5.735 # DEPENDENCYPART_ARC
(18,4),-7.47843 # DEPENDENCYPART_ARC
(18,5),-2.66205 # DEPENDENCYPART_ARC
(18,6),-2.59836 # DEPENDENCYPART_ARC
(18,7),-4.26487 # DEPENDENCYPART_ARC
(18,8),-1.69463 # DEPENDENCYPART_ARC
(18,9),-1.73481 # DEPENDENCYPART_ARC
(18,10),-3.77565 # DEPENDENCYPART_ARC
(18,11),-1.34914 # DEPENDENCYPART_ARC
(18,12),-0.858028 # DEPENDENCYPART_ARC
(18,13),-2.68026 # DEPENDENCYPART_ARC
(18,14),-0.699129 # DEPENDENCYPART_ARC
(18,15),0.646598 # DEPENDENCYPART_ARC
(18,16),-1.48507 # DEPENDENCYPART_ARC
(18,17),2.95144 # DEPENDENCYPART_ARC
(18,19),-0.262618 # DEPENDENCYPART_ARC
(18,20),-1.34397 # DEPENDENCYPART_ARC
(18,21),-0.282856 # DEPENDENCYPART_ARC
(18,22),-0.634066 # DEPENDENCYPART_ARC
(18,23),-0.427341 # DEPENDENCYPART_ARC
(18,24),-0.26864 # DEPENDENCYPART_ARC
(18,25),-0.952532 # DEPENDENCYPART_ARC
(18,26),-0.114366 # DEPENDENCYPART_ARC
(19,1),-1.21338 # DEPENDENCYPART_ARC
(19,2),-1.26057 # DEPENDENCYPART_ARC
(19,3),-1.84174 # DEPENDENCYPART_ARC
(19,4),-1.51202 # DEPENDENCYPART_ARC
(19,5),-0.844171 # DEPENDENCYPART_ARC
(19,6),-1.04782 # DEPENDENCYPART_ARC
(19,7),-1.98088 # DEPENDENCYPART_ARC
(19,8),-0.0681488 # DEPENDENCYPART_ARC
(19,9),-0.697739 # DEPENDENCYPART_ARC
(19,10),-1.48585 # DEPENDENCYPART_ARC
(19,11),0.251566 # DEPENDENCYPART_ARC
(19,12),-0.358832 # DEPENDENCYPART_ARC
(19,13),-0.902027 # DEPENDENCYPART_ARC
(19,14),0.486741 # DEPENDENCYPART_ARC
(19,15),0.161521 # DEPENDENCYPART_ARC
(19,16),-0.666597 # DEPENDENCYPART_ARC
(19,17),1.00377 # DEPENDENCYPART_ARC
