# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,13,
(6,4),-0.790962 # DEPENDENCYPART_ARC
(6,5),-1.36802 # DEPENDENCYPART_ARC
(6,7),-0.753079 # DEPENDENCYPART_ARC
(6,10),-1.08984 # DEPENDENCYPART_ARC
(6,11),-0.798274 # DEPENDENCYPART_ARC
(6,12),-0.492532 # DEPENDENCYPART_ARC
(6,13),-0.621373 # DEPENDENCYPART_ARC
(6,14),-1.31012 # DEPENDENCYPART_ARC
(6,15),-1.44197 # DEPENDENCYPART_ARC
(6,16),-1.30419 # DEPENDENCYPART_ARC
(6,18),-2.41746 # DEPENDENCYPART_ARC
(6,19),-1.44566 # DEPENDENCYPART_ARC
(6,20),-2.00457 # DEPENDENCYPART_ARC
(6,21),0.773159 # DEPENDENCYPART_ARC
(7,1),-1.09842 # DEPENDENCYPART_ARC
(7,2),-1.26995 # DEPENDENCYPART_ARC
(7,3),-1.43946 # DEPENDENCYPART_ARC
(7,4),-0.517709 # DEPENDENCYPART_ARC
(7,5),-0.92076 # DEPENDENCYPART_ARC
(7,6),-0.38335 # DEPENDENCYPART_ARC
(7,9),-1.12807 # DEPENDENCYPART_ARC
(7,10),-1.01122 # DEPENDENCYPART_ARC
(7,11),-0.51551 # DEPENDENCYPART_ARC
(7,12),-0.934532 # DEPENDENCYPART_ARC
(7,13),-0.95205 # DEPENDENCYPART_ARC
(7,14),-1.52289 # DEPENDENCYPART_ARC
(7,15),-1.55311 # DEPENDENCYPART_ARC
(7,16),-1.50116 # DEPENDENCYPART_ARC
(7,17),-1.67908 # DEPENDENCYPART_ARC
(7,18),-2.43333 # DEPENDENCYPART_ARC
(7,19),-1.47697 # DEPENDENCYPART_ARC
(7,20),-1.76909 # DEPENDENCYPART_ARC
(7,21),-0.756564 # DEPENDENCYPART_ARC
(8,1),-0.490957 # DEPENDENCYPART_ARC
(8,2),-0.604247 # DEPENDENCYPART_ARC
(8,3),-0.890262 # DEPENDENCYPART_ARC
(8,4),-0.135351 # DEPENDENCYPART_ARC
(8,6),-0.240277 # DEPENDENCYPART_ARC
(8,7),0.424074 # DEPENDENCYPART_ARC
(8,10),-0.169976 # DEPENDENCYPART_ARC
(8,12),-0.389258 # DEPENDENCYPART_ARC
(8,13),-0.341394 # DEPENDENCYPART_ARC
(8,15),-1.17895 # DEPENDENCYPART_ARC
(8,16),-1.15589 # DEPENDENCYPART_ARC
(8,18),-1.61442 # DEPENDENCYPART_ARC
(9,1),-1.25478 # DEPENDENCYPART_ARC
(9,2),-0.953399 # DEPENDENCYPART_ARC
(9,3),-0.760398 # DEPENDENCYPART_ARC
(9,4),-0.364274 # DEPENDENCYPART_ARC
(9,7),-0.0222489 # DEPENDENCYPART_ARC
(9,10),0.00168816 # DEPENDENCYPART_ARC
(9,12),0.26113 # DEPENDENCYPART_ARC
(9,13),-0.114462 # DEPENDENCYPART_ARC
(9,15),-0.65976 # DEPENDENCYPART_ARC
(9,16),-0.348887 # DEPENDENCYPART_ARC
(9,17),-0.607053 # DEPENDENCYPART_ARC
(9,18),-1.28521 # DEPENDENCYPART_ARC
(9,21),0.329505 # DEPENDENCYPART_ARC
(10,1),-3.64653 # DEPENDENCYPART_ARC
(10,2),-0.316124 # DEPENDENCYPART_ARC
(10,3),-0.485777 # DEPENDENCYPART_ARC
(10,4),-0.159622 # DEPENDENCYPART_ARC
(10,5),-0.864044 # DEPENDENCYPART_ARC
(10,6),-2.06902 # DEPENDENCYPART_ARC
(10,7),0.0186239 # DEPENDENCYPART_ARC
(10,8),0.515907 # DEPENDENCYPART_ARC
(10,9),2.70283 # DEPENDENCYPART_ARC
(10,11),-0.857936 # DEPENDENCYPART_ARC
(10,12),-0.587448 # DEPENDENCYPART_ARC
(10,13),-0.659674 # DEPENDENCYPART_ARC
(10,14),-1.51675 # DEPENDENCYPART_ARC
(10,15),-1.49394 # DEPENDENCYPART_ARC
(10,16),-1.61039 # DEPENDENCYPART_ARC
(10,17),-2.44026 # DEPENDENCYPART_ARC
(10,18),-2.00785 # DEPENDENCYPART_ARC
(10,19),-1.48163 # DEPENDENCYPART_ARC
(10,20),-2.75879 # DEPENDENCYPART_ARC
(10,21),0.582417 # DEPENDENCYPART_ARC
(11,1),-0.125212 # DEPENDENCYPART_ARC
(11,2),-0.626664 # DEPENDENCYPART_ARC
(11,3),0.0175662 # DEPENDENCYPART_ARC
(11,4),0.526808 # DEPENDENCYPART_ARC
(11,5),0.311101 # DEPENDENCYPART_ARC
(11,6),2.03183 # DEPENDENCYPART_ARC
(11,7),1.66161 # DEPENDENCYPART_ARC
(11,8),1.69904 # DEPENDENCYPART_ARC
(11,9),1.70004 # DEPENDENCYPART_ARC
(11,10),4.04027 # DEPENDENCYPART_ARC
(11,12),1.67668 # DEPENDENCYPART_ARC
(11,13),0.886937 # DEPENDENCYPART_ARC
(11,14),-0.629856 # DEPENDENCYPART_ARC
(11,15),-0.632957 # DEPENDENCYPART_ARC
(11,16),0.0697093 # DEPENDENCYPART_ARC
(11,17),-0.654885 # DEPENDENCYPART_ARC
(11,18),-1.53631 # DEPENDENCYPART_ARC
(11,19),0.890973 # DEPENDENCYPART_ARC
(11,20),-0.883329 # DEPENDENCYPART_ARC
(11,21),2.31702 # DEPENDENCYPART_ARC
(13,1),-0.834488 # DEPENDENCYPART_ARC
(13,2),-0.725976 # DEPENDENCYPART_ARC
(13,3),-0.995439 # DEPENDENCYPART_ARC
(13,4),0.500009 # DEPENDENCYPART_ARC
(13,5),0.404571 # DEPENDENCYPART_ARC
(13,6),-0.263224 # DEPENDENCYPART_ARC
(13,7),-0.381645 # DEPENDENCYPART_ARC
(13,8),-0.101648 # DEPENDENCYPART_ARC
(13,9),-0.578911 # DEPENDENCYPART_ARC
(13,10),-0.479949 # DEPENDENCYPART_ARC
(13,11),1.61745 # DEPENDENCYPART_ARC
(13,12),2.13993 # DEPENDENCYPART_ARC
(13,14),0.0558785 # DEPENDENCYPART_ARC
(13,15),0.552156 # DEPENDENCYPART_ARC
(13,16),0.360155 # DEPENDENCYPART_ARC
(13,17),-0.313675 # DEPENDENCYPART_ARC
(13,18),0.092672 # DEPENDENCYPART_ARC
(13,19),1.53064 # DEPENDENCYPART_ARC
(13,20),-0.723612 # DEPENDENCYPART_ARC
(13,21),3.11829 # DEPENDENCYPART_ARC
(14,1),-3.27882 # DEPENDENCYPART_ARC
(14,2),-1.86607 # DEPENDENCYPART_ARC
(14,3),-3.35679 # DEPENDENCYPART_ARC
(14,4),-1.19644 # DEPENDENCYPART_ARC
(14,6),-2.90985 # DEPENDENCYPART_ARC
(14,10),-3.24907 # DEPENDENCYPART_ARC
(14,12),-0.755074 # DEPENDENCYPART_ARC
(14,13),-0.318296 # DEPENDENCYPART_ARC
(14,15),0.225525 # DEPENDENCYPART_ARC
(14,16),-0.0406119 # DEPENDENCYPART_ARC
(14,18),-1.3167 # DEPENDENCYPART_ARC
(14,20),-1.08673 # DEPENDENCYPART_ARC
(15,1),-2.46594 # DEPENDENCYPART_ARC
(15,2),-2.84102 # DEPENDENCYPART_ARC
(15,3),-3.69835 # DEPENDENCYPART_ARC
(15,4),-1.69423 # DEPENDENCYPART_ARC
(15,5),-1.30338 # DEPENDENCYPART_ARC
(15,6),-1.98632 # DEPENDENCYPART_ARC
(15,7),-1.25978 # DEPENDENCYPART_ARC
(15,8),-1.24112 # DEPENDENCYPART_ARC
(15,9),-2.01914 # DEPENDENCYPART_ARC
(15,10),-2.91619 # DEPENDENCYPART_ARC
(15,11),-1.55251 # DEPENDENCYPART_ARC
(15,12),-0.747296 # DEPENDENCYPART_ARC
(15,13),-0.579688 # DEPENDENCYPART_ARC
(15,14),0.837485 # DEPENDENCYPART_ARC
(15,16),-0.563951 # DEPENDENCYPART_ARC
(15,17),-1.45398 # DEPENDENCYPART_ARC
(15,18),-1.17886 # DEPENDENCYPART_ARC
(15,19),-0.589259 # DEPENDENCYPART_ARC
(15,20),-1.98453 # DEPENDENCYPART_ARC
(15,21),-0.286444 # DEPENDENCYPART_ARC
(16,1),-2.22325 # DEPENDENCYPART_ARC
(16,2),-1.55718 # DEPENDENCYPART_ARC
(16,3),-3.20213 # DEPENDENCYPART_ARC
(16,4),-1.14667 # DEPENDENCYPART_ARC
(16,5),-0.921108 # DEPENDENCYPART_ARC
(16,6),-1.36025 # DEPENDENCYPART_ARC
(16,7),-0.8647 # DEPENDENCYPART_ARC
(16,8),-0.756856 # DEPENDENCYPART_ARC
(16,9),-0.830078 # DEPENDENCYPART_ARC
(16,10),-2.22648 # DEPENDENCYPART_ARC
(16,11),-1.09361 # DEPENDENCYPART_ARC
(16,12),-0.314087 # DEPENDENCYPART_ARC
(16,13),-0.0521197 # DEPENDENCYPART_ARC
(16,14),1.65782 # DEPENDENCYPART_ARC
(16,15),1.99215 # DEPENDENCYPART_ARC
(16,17),-1.38877 # DEPENDENCYPART_ARC
(16,18),-0.210274 # DEPENDENCYPART_ARC
(16,19),-0.0628248 # DEPENDENCYPART_ARC
(16,20),-1.89827 # DEPENDENCYPART_ARC
(16,21),-0.257162 # DEPENDENCYPART_ARC
(17,1),-1.73631 # DEPENDENCYPART_ARC
(17,2),-1.57231 # DEPENDENCYPART_ARC
(17,3),-1.28005 # DEPENDENCYPART_ARC
(17,4),-0.385898 # DEPENDENCYPART_ARC
(17,7),-0.362799 # DEPENDENCYPART_ARC
(17,9),-0.681865 # DEPENDENCYPART_ARC
(17,10),-1.15296 # DEPENDENCYPART_ARC
(17,12),-0.117642 # DEPENDENCYPART_ARC
(17,13),-0.141383 # DEPENDENCYPART_ARC
(17,15),-0.74553 # DEPENDENCYPART_ARC
(17,16),-0.275404 # DEPENDENCYPART_ARC
(17,18),-0.782066 # DEPENDENCYPART_ARC
(17,21),-0.371136 # DEPENDENCYPART_ARC
(18,1),-5.77243 # DEPENDENCYPART_ARC
(18,2),-1.27997 # DEPENDENCYPART_ARC
(18,3),-4.44726 # DEPENDENCYPART_ARC
(18,4),-1.64829 # DEPENDENCYPART_ARC
(18,5),-1.62192 # DEPENDENCYPART_ARC
(18,6),-4.40368 # DEPENDENCYPART_ARC
(18,7),-1.13248 # DEPENDENCYPART_ARC
(18,8),-1.0126 # DEPENDENCYPART_ARC
(18,9),-0.425259 # DEPENDENCYPART_ARC
(18,10),-3.66072 # DEPENDENCYPART_ARC
(18,11),-2.04461 # DEPENDENCYPART_ARC
(18,12),-0.622513 # DEPENDENCYPART_ARC
(18,13),-0.103624 # DEPENDENCYPART_ARC
(18,14),1.03765 # DEPENDENCYPART_ARC
(18,15),1.02033 # DEPENDENCYPART_ARC
(18,16),-0.00979121 # DEPENDENCYPART_ARC
(18,17),3.17027 # DEPENDENCYPART_ARC
(18,19),-0.845962 # DEPENDENCYPART_ARC
(18,20),-2.09497 # DEPENDENCYPART_ARC
(18,21),-0.248959 # DEPENDENCYPART_ARC
(19,1),-1.2752 # DEPENDENCYPART_ARC
(19,2),-2.25949 # DEPENDENCYPART_ARC
(19,3),-2.39311 # DEPENDENCYPART_ARC
(19,4),-0.596648 # DEPENDENCYPART_ARC
(19,5),-0.263006 # DEPENDENCYPART_ARC
(19,6),-0.308528 # DEPENDENCYPART_ARC
(19,7),-0.269534 # DEPENDENCYPART_ARC
(19,8),-0.371994 # DEPENDENCYPART_ARC
(19,9),-1.8072 # DEPENDENCYPART_ARC
(19,10),-0.0934351 # DEPENDENCYPART_ARC
(19,11),-0.604052 # DEPENDENCYPART_ARC
(19,12),-0.00477576 # DEPENDENCYPART_ARC
(19,13),0.0416906 # DEPENDENCYPART_ARC
(19,14),-0.831533 # DEPENDENCYPART_ARC
(19,15),-0.635801 # DEPENDENCYPART_ARC
(19,16),0.63658 # DEPENDENCYPART_ARC
(19,17),0.423493 # DEPENDENCYPART_ARC
(19,18),2.67037 # DEPENDENCYPART_ARC
(19,20),1.3834 # DEPENDENCYPART_ARC
(19,21),1.60399 # DEPENDENCYPART_ARC
(20,1),-1.6877 # DEPENDENCYPART_ARC
(20,2),-0.709185 # DEPENDENCYPART_ARC
(20,3),-1.33725 # DEPENDENCYPART_ARC
(20,4),-0.31123 # DEPENDENCYPART_ARC
(20,5),-0.491215 # DEPENDENCYPART_ARC
(20,6),-1.10257 # DEPENDENCYPART_ARC
(20,9),-0.165841 # DEPENDENCYPART_ARC
(20,10),-1.10146 # DEPENDENCYPART_ARC
(20,11),0.0307478 # DEPENDENCYPART_ARC
(20,12),0.130888 # DEPENDENCYPART_ARC
(20,13),-0.175366 # DEPENDENCYPART_ARC
(20,15),-0.381853 # DEPENDENCYPART_ARC
(20,16),-0.504755 # DEPENDENCYPART_ARC
(20,17),0.27096 # DEPENDENCYPART_ARC
(20,18),-0.917126 # DEPENDENCYPART_ARC
(20,19),0.432786 # DEPENDENCYPART_ARC
(20,21),0.56472 # DEPENDENCYPART_ARC
