# _root_ A kiszolgálás pedig csikorog fájdalmasan , minden nehézkesnek , bonyodalmasnak és szögletesnek tűnik .
#goldHeads=2,4,4,0,4,4,13,13,13,13,13,13,4,4,
#predictedHeads=2,4,4,13,4,4,8,4,13,13,13,13,0,13,
(8,14),-0.0823042 # DEPENDENCYPART_ARC
(10,1),-0.761613 # DEPENDENCYPART_ARC
(10,2),-2.63548 # DEPENDENCYPART_ARC
(10,3),-0.797655 # DEPENDENCYPART_ARC
(10,4),-1.4298 # DEPENDENCYPART_ARC
(10,5),-1.11585 # DEPENDENCYPART_ARC
(10,6),-0.463252 # DEPENDENCYPART_ARC
(10,7),-0.490694 # DEPENDENCYPART_ARC
(10,8),-0.0265885 # DEPENDENCYPART_ARC
(10,9),0.333946 # DEPENDENCYPART_ARC
(10,11),-0.662106 # DEPENDENCYPART_ARC
(10,12),-0.325793 # DEPENDENCYPART_ARC
(10,13),-0.846621 # DEPENDENCYPART_ARC
(10,14),-0.662927 # DEPENDENCYPART_ARC
(11,1),-1.42839 # DEPENDENCYPART_ARC
(11,2),-1.58237 # DEPENDENCYPART_ARC
(11,3),-0.0984427 # DEPENDENCYPART_ARC
(11,4),-0.0556297 # DEPENDENCYPART_ARC
(11,5),-0.911102 # DEPENDENCYPART_ARC
(11,6),-0.140559 # DEPENDENCYPART_ARC
(11,7),-0.640795 # DEPENDENCYPART_ARC
(11,8),-0.527311 # DEPENDENCYPART_ARC
(11,9),0.450497 # DEPENDENCYPART_ARC
(11,10),-0.0274836 # DEPENDENCYPART_ARC
(11,12),-0.427291 # DEPENDENCYPART_ARC
(11,13),0.646125 # DEPENDENCYPART_ARC
(11,14),0.6411 # DEPENDENCYPART_ARC
(12,1),-1.04224 # DEPENDENCYPART_ARC
(12,2),-2.65946 # DEPENDENCYPART_ARC
(12,3),-0.895603 # DEPENDENCYPART_ARC
(12,4),-1.37473 # DEPENDENCYPART_ARC
(12,5),-0.987295 # DEPENDENCYPART_ARC
(12,6),-0.248944 # DEPENDENCYPART_ARC
(12,7),-0.443556 # DEPENDENCYPART_ARC
(12,8),-0.411269 # DEPENDENCYPART_ARC
(12,9),0.186509 # DEPENDENCYPART_ARC
(12,10),0.49806 # DEPENDENCYPART_ARC
(12,11),0.603649 # DEPENDENCYPART_ARC
(12,13),-0.474508 # DEPENDENCYPART_ARC
(12,14),-0.475685 # DEPENDENCYPART_ARC
(13,1),-0.92752 # DEPENDENCYPART_ARC
(13,2),-0.454733 # DEPENDENCYPART_ARC
(13,3),1.68598 # DEPENDENCYPART_ARC
(13,4),0.311018 # DEPENDENCYPART_ARC
(13,5),0.262075 # DEPENDENCYPART_ARC
(13,6),0.308425 # DEPENDENCYPART_ARC
(13,7),0.544829 # DEPENDENCYPART_ARC
(13,8),0.826876 # DEPENDENCYPART_ARC
(13,9),0.851069 # DEPENDENCYPART_ARC
(13,10),1.51379 # DEPENDENCYPART_ARC
(13,11),1.79575 # DEPENDENCYPART_ARC
(13,12),2.9209 # DEPENDENCYPART_ARC
(13,14),1.85242 # DEPENDENCYPART_ARC
