# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,17,20,21,17,2,
(7,22),2.28235 # DEPENDENCYPART_ARC
(9,1),0.911043 # DEPENDENCYPART_ARC
(9,2),-0.632967 # DEPENDENCYPART_ARC
(9,4),0.0758841 # DEPENDENCYPART_ARC
(9,5),-0.122415 # DEPENDENCYPART_ARC
(9,6),0.452632 # DEPENDENCYPART_ARC
(9,7),-0.0360973 # DEPENDENCYPART_ARC
(9,8),1.14073 # DEPENDENCYPART_ARC
(9,10),0.221787 # DEPENDENCYPART_ARC
(9,11),-0.548878 # DEPENDENCYPART_ARC
(9,12),0.00696026 # DEPENDENCYPART_ARC
(9,13),1.05422 # DEPENDENCYPART_ARC
(9,14),-0.385958 # DEPENDENCYPART_ARC
(9,15),0.998773 # DEPENDENCYPART_ARC
(9,16),-0.234996 # DEPENDENCYPART_ARC
(9,17),0.282175 # DEPENDENCYPART_ARC
(9,19),-1.06096 # DEPENDENCYPART_ARC
(9,20),-1.76829 # DEPENDENCYPART_ARC
(9,21),0.356198 # DEPENDENCYPART_ARC
(9,22),2.14212 # DEPENDENCYPART_ARC
(10,1),-2.13598 # DEPENDENCYPART_ARC
(10,2),-2.69274 # DEPENDENCYPART_ARC
(10,4),-2.7313 # DEPENDENCYPART_ARC
(10,5),-1.97707 # DEPENDENCYPART_ARC
(10,6),-2.00743 # DEPENDENCYPART_ARC
(10,7),-1.84906 # DEPENDENCYPART_ARC
(10,8),-1.56476 # DEPENDENCYPART_ARC
(10,9),-0.507442 # DEPENDENCYPART_ARC
(10,11),-0.674734 # DEPENDENCYPART_ARC
(10,12),-1.03111 # DEPENDENCYPART_ARC
(10,13),-1.11851 # DEPENDENCYPART_ARC
(10,14),-1.12647 # DEPENDENCYPART_ARC
(10,15),-0.32061 # DEPENDENCYPART_ARC
(10,16),-1.34056 # DEPENDENCYPART_ARC
(10,17),-2.02432 # DEPENDENCYPART_ARC
(10,18),-1.53091 # DEPENDENCYPART_ARC
(10,19),-1.52992 # DEPENDENCYPART_ARC
(10,20),-1.77424 # DEPENDENCYPART_ARC
(10,21),-1.49848 # DEPENDENCYPART_ARC
(10,22),0.0999767 # DEPENDENCYPART_ARC
(11,1),-0.827803 # DEPENDENCYPART_ARC
(11,2),-3.46495 # DEPENDENCYPART_ARC
(11,3),-0.331138 # DEPENDENCYPART_ARC
(11,4),-1.31847 # DEPENDENCYPART_ARC
(11,5),-0.926113 # DEPENDENCYPART_ARC
(11,6),-1.19667 # DEPENDENCYPART_ARC
(11,7),-2.5677 # DEPENDENCYPART_ARC
(11,8),0.336054 # DEPENDENCYPART_ARC
(11,9),0.0733934 # DEPENDENCYPART_ARC
(11,10),3.22665 # DEPENDENCYPART_ARC
(11,12),-0.73126 # DEPENDENCYPART_ARC
(11,13),-1.14365 # DEPENDENCYPART_ARC
(11,14),-0.999831 # DEPENDENCYPART_ARC
(11,15),-0.284435 # DEPENDENCYPART_ARC
(11,16),-0.945113 # DEPENDENCYPART_ARC
(11,17),-1.96291 # DEPENDENCYPART_ARC
(11,18),-2.55156 # DEPENDENCYPART_ARC
(11,19),-1.38215 # DEPENDENCYPART_ARC
(11,20),-1.80736 # DEPENDENCYPART_ARC
(11,21),-0.477933 # DEPENDENCYPART_ARC
(11,22),0.526009 # DEPENDENCYPART_ARC
(12,1),-0.65695 # DEPENDENCYPART_ARC
(12,2),-0.849778 # DEPENDENCYPART_ARC
(12,4),-1.45292 # DEPENDENCYPART_ARC
(12,5),-0.57797 # DEPENDENCYPART_ARC
(12,7),-0.36052 # DEPENDENCYPART_ARC
(12,8),-0.264091 # DEPENDENCYPART_ARC
(12,9),-0.352556 # DEPENDENCYPART_ARC
(12,11),0.67396 # DEPENDENCYPART_ARC
(12,13),-0.0543991 # DEPENDENCYPART_ARC
(12,14),-0.257646 # DEPENDENCYPART_ARC
(12,15),0.00469492 # DEPENDENCYPART_ARC
(12,16),-0.849494 # DEPENDENCYPART_ARC
(12,17),-0.921415 # DEPENDENCYPART_ARC
(12,20),-1.50443 # DEPENDENCYPART_ARC
(12,21),-0.988201 # DEPENDENCYPART_ARC
(12,22),-0.164769 # DEPENDENCYPART_ARC
(13,1),0.495899 # DEPENDENCYPART_ARC
(13,2),-0.622912 # DEPENDENCYPART_ARC
(13,3),-0.631292 # DEPENDENCYPART_ARC
(13,4),0.106146 # DEPENDENCYPART_ARC
(13,5),0.0351749 # DEPENDENCYPART_ARC
(13,6),0.492521 # DEPENDENCYPART_ARC
(13,7),-0.596152 # DEPENDENCYPART_ARC
(13,8),0.647218 # DEPENDENCYPART_ARC
(13,9),-0.151782 # DEPENDENCYPART_ARC
(13,10),0.0922404 # DEPENDENCYPART_ARC
(13,11),2.88327 # DEPENDENCYPART_ARC
(13,12),3.18229 # DEPENDENCYPART_ARC
(13,14),2.27417 # DEPENDENCYPART_ARC
(13,15),1.67912 # DEPENDENCYPART_ARC
(13,16),0.804168 # DEPENDENCYPART_ARC
(13,17),1.72525 # DEPENDENCYPART_ARC
(13,18),0.261413 # DEPENDENCYPART_ARC
(13,19),-0.63006 # DEPENDENCYPART_ARC
(13,20),-0.497543 # DEPENDENCYPART_ARC
(13,21),1.65232 # DEPENDENCYPART_ARC
(13,22),1.7266 # DEPENDENCYPART_ARC
(14,1),-0.952709 # DEPENDENCYPART_ARC
(14,2),-1.88548 # DEPENDENCYPART_ARC
(14,3),-1.33938 # DEPENDENCYPART_ARC
(14,4),-2.94686 # DEPENDENCYPART_ARC
(14,5),-0.957993 # DEPENDENCYPART_ARC
(14,6),-1.79999 # DEPENDENCYPART_ARC
(14,7),-1.6828 # DEPENDENCYPART_ARC
(14,8),-0.535693 # DEPENDENCYPART_ARC
(14,9),-0.680876 # DEPENDENCYPART_ARC
(14,10),-1.10555 # DEPENDENCYPART_ARC
(14,11),-0.292344 # DEPENDENCYPART_ARC
(14,12),-0.0788923 # DEPENDENCYPART_ARC
(14,13),0.0104724 # DEPENDENCYPART_ARC
(14,15),0.60875 # DEPENDENCYPART_ARC
(14,16),-0.0849915 # DEPENDENCYPART_ARC
(14,17),0.754148 # DEPENDENCYPART_ARC
(14,18),-1.02969 # DEPENDENCYPART_ARC
(14,19),-0.819777 # DEPENDENCYPART_ARC
(14,20),-1.09855 # DEPENDENCYPART_ARC
(14,21),-0.153943 # DEPENDENCYPART_ARC
(14,22),0.920514 # DEPENDENCYPART_ARC
(16,1),-1.43917 # DEPENDENCYPART_ARC
(16,2),-1.58039 # DEPENDENCYPART_ARC
(16,4),-2.56843 # DEPENDENCYPART_ARC
(16,5),-1.4182 # DEPENDENCYPART_ARC
(16,7),-1.23388 # DEPENDENCYPART_ARC
(16,8),-1.18127 # DEPENDENCYPART_ARC
(16,9),-1.3917 # DEPENDENCYPART_ARC
(16,11),-1.42116 # DEPENDENCYPART_ARC
(16,12),-1.08337 # DEPENDENCYPART_ARC
(16,13),-0.747662 # DEPENDENCYPART_ARC
(16,14),-1.21151 # DEPENDENCYPART_ARC
(16,15),-0.634522 # DEPENDENCYPART_ARC
(16,17),0.0577687 # DEPENDENCYPART_ARC
(16,20),-1.28351 # DEPENDENCYPART_ARC
(16,21),-0.719774 # DEPENDENCYPART_ARC
(16,22),-0.201601 # DEPENDENCYPART_ARC
(17,1),0.543207 # DEPENDENCYPART_ARC
(17,2),-0.0372584 # DEPENDENCYPART_ARC
(17,3),-0.365513 # DEPENDENCYPART_ARC
(17,4),-1.07979 # DEPENDENCYPART_ARC
(17,5),0.466733 # DEPENDENCYPART_ARC
(17,6),-0.305452 # DEPENDENCYPART_ARC
(17,7),0.0365346 # DEPENDENCYPART_ARC
(17,8),0.776875 # DEPENDENCYPART_ARC
(17,9),0.576398 # DEPENDENCYPART_ARC
(17,10),-1.10796 # DEPENDENCYPART_ARC
(17,11),1.17725 # DEPENDENCYPART_ARC
(17,12),1.11308 # DEPENDENCYPART_ARC
(17,13),1.02532 # DEPENDENCYPART_ARC
(17,14),-0.153167 # DEPENDENCYPART_ARC
(17,15),0.552168 # DEPENDENCYPART_ARC
(17,16),3.09478 # DEPENDENCYPART_ARC
(17,18),1.95407 # DEPENDENCYPART_ARC
(17,19),0.700012 # DEPENDENCYPART_ARC
(17,20),0.740393 # DEPENDENCYPART_ARC
(17,21),2.8737 # DEPENDENCYPART_ARC
(17,22),2.6414 # DEPENDENCYPART_ARC
(18,1),-0.906502 # DEPENDENCYPART_ARC
(18,4),-1.85388 # DEPENDENCYPART_ARC
(18,5),-0.857123 # DEPENDENCYPART_ARC
(18,8),-0.298146 # DEPENDENCYPART_ARC
(18,10),-1.11274 # DEPENDENCYPART_ARC
(18,11),-1.3477 # DEPENDENCYPART_ARC
(18,12),-0.736383 # DEPENDENCYPART_ARC
(18,15),-0.442915 # DEPENDENCYPART_ARC
(18,16),-0.6097 # DEPENDENCYPART_ARC
(18,20),-0.279753 # DEPENDENCYPART_ARC
(18,22),-0.022482 # DEPENDENCYPART_ARC
(19,1),-2.32767 # DEPENDENCYPART_ARC
(19,4),-4.30737 # DEPENDENCYPART_ARC
(19,5),-1.8558 # DEPENDENCYPART_ARC
(19,8),-1.72536 # DEPENDENCYPART_ARC
(19,11),-3.88114 # DEPENDENCYPART_ARC
(19,14),-2.01389 # DEPENDENCYPART_ARC
(19,15),-1.51779 # DEPENDENCYPART_ARC
(19,20),-0.96609 # DEPENDENCYPART_ARC
(20,1),-2.33044 # DEPENDENCYPART_ARC
(20,2),-3.91197 # DEPENDENCYPART_ARC
(20,3),-2.01667 # DEPENDENCYPART_ARC
(20,4),-3.63088 # DEPENDENCYPART_ARC
(20,5),-3.11538 # DEPENDENCYPART_ARC
(20,6),-3.27642 # DEPENDENCYPART_ARC
(20,7),-3.71322 # DEPENDENCYPART_ARC
(20,8),-2.46398 # DEPENDENCYPART_ARC
(20,9),-1.96297 # DEPENDENCYPART_ARC
(20,10),-0.84775 # DEPENDENCYPART_ARC
(20,11),-5.59467 # DEPENDENCYPART_ARC
(20,12),-1.13161 # DEPENDENCYPART_ARC
(20,13),-3.17795 # DEPENDENCYPART_ARC
(20,14),-2.47962 # DEPENDENCYPART_ARC
(20,15),-1.50284 # DEPENDENCYPART_ARC
(20,16),-0.692828 # DEPENDENCYPART_ARC
(20,17),-2.3924 # DEPENDENCYPART_ARC
(20,18),0.0265786 # DEPENDENCYPART_ARC
(20,19),2.06323 # DEPENDENCYPART_ARC
(20,21),-0.494367 # DEPENDENCYPART_ARC
(20,22),-1.20919 # DEPENDENCYPART_ARC
(21,1),-1.14508 # DEPENDENCYPART_ARC
(21,2),-0.977025 # DEPENDENCYPART_ARC
(21,3),-0.870268 # DEPENDENCYPART_ARC
(21,4),-2.3444 # DEPENDENCYPART_ARC
(21,5),-0.553517 # DEPENDENCYPART_ARC
(21,6),-0.504289 # DEPENDENCYPART_ARC
(21,7),-1.16943 # DEPENDENCYPART_ARC
(21,8),-0.278819 # DEPENDENCYPART_ARC
(21,9),-0.559916 # DEPENDENCYPART_ARC
(21,10),-0.641572 # DEPENDENCYPART_ARC
(21,11),1.44997 # DEPENDENCYPART_ARC
(21,12),-0.00134793 # DEPENDENCYPART_ARC
(21,13),-0.26511 # DEPENDENCYPART_ARC
(21,14),-0.133237 # DEPENDENCYPART_ARC
(21,15),-0.461986 # DEPENDENCYPART_ARC
(21,16),1.31319 # DEPENDENCYPART_ARC
(21,17),-0.100468 # DEPENDENCYPART_ARC
(21,18),1.58923 # DEPENDENCYPART_ARC
(21,19),0.571955 # DEPENDENCYPART_ARC
(21,20),3.05697 # DEPENDENCYPART_ARC
(21,22),0.957741 # DEPENDENCYPART_ARC
