# _root_ Az egység vitathatatlan , ugyanakkor megfigyelők szerint feltűnő , hogy nem került sor ennél határozottabb hangú közös fellépésre .
#goldHeads=2,3,0,3,10,7,10,10,10,3,12,10,12,15,16,18,18,12,3,
#predictedHeads=2,3,10,8,8,7,8,10,10,0,12,10,12,18,16,18,18,12,10,
(5,17),-1.1527 # DEPENDENCYPART_ARC
(5,18),-1.12545 # DEPENDENCYPART_ARC
(5,19),-0.30801 # DEPENDENCYPART_ARC
(6,1),0.31524 # DEPENDENCYPART_ARC
(6,2),-0.912101 # DEPENDENCYPART_ARC
(6,3),0.408806 # DEPENDENCYPART_ARC
(6,4),0.355962 # DEPENDENCYPART_ARC
(6,5),0.459318 # DEPENDENCYPART_ARC
(6,7),0.0816438 # DEPENDENCYPART_ARC
(6,8),-0.48822 # DEPENDENCYPART_ARC
(6,9),-0.183307 # DEPENDENCYPART_ARC
(6,10),-0.868341 # DEPENDENCYPART_ARC
(6,11),-0.931507 # DEPENDENCYPART_ARC
(6,12),-0.909142 # DEPENDENCYPART_ARC
(6,13),-2.02763 # DEPENDENCYPART_ARC
(6,14),-1.82463 # DEPENDENCYPART_ARC
(6,15),-1.24551 # DEPENDENCYPART_ARC
(6,16),-1.20372 # DEPENDENCYPART_ARC
(6,17),-1.21668 # DEPENDENCYPART_ARC
(6,18),-2.81086 # DEPENDENCYPART_ARC
(6,19),0.0460617 # DEPENDENCYPART_ARC
(7,1),-0.611361 # DEPENDENCYPART_ARC
(7,2),-0.0638231 # DEPENDENCYPART_ARC
(7,3),-0.249317 # DEPENDENCYPART_ARC
(7,4),0.233651 # DEPENDENCYPART_ARC
(7,6),3.61242 # DEPENDENCYPART_ARC
(7,8),-0.148296 # DEPENDENCYPART_ARC
(7,9),-0.0277749 # DEPENDENCYPART_ARC
(7,11),-0.578432 # DEPENDENCYPART_ARC
(7,12),-0.217796 # DEPENDENCYPART_ARC
(7,13),-0.93463 # DEPENDENCYPART_ARC
(7,14),-1.03287 # DEPENDENCYPART_ARC
(7,15),-0.986617 # DEPENDENCYPART_ARC
(7,16),-0.944347 # DEPENDENCYPART_ARC
(7,17),-0.922009 # DEPENDENCYPART_ARC
(7,18),-1.23687 # DEPENDENCYPART_ARC
(7,19),-0.316645 # DEPENDENCYPART_ARC
(8,1),-0.306066 # DEPENDENCYPART_ARC
(8,2),-0.206225 # DEPENDENCYPART_ARC
(8,3),-0.482462 # DEPENDENCYPART_ARC
(8,4),0.455822 # DEPENDENCYPART_ARC
(8,5),0.899784 # DEPENDENCYPART_ARC
(8,6),0.223064 # DEPENDENCYPART_ARC
(8,7),1.57481 # DEPENDENCYPART_ARC
(8,9),0.414754 # DEPENDENCYPART_ARC
(8,10),-0.307878 # DEPENDENCYPART_ARC
(8,11),-0.342784 # DEPENDENCYPART_ARC
(8,12),0.173761 # DEPENDENCYPART_ARC
(8,13),-0.883854 # DEPENDENCYPART_ARC
(8,14),-1.27051 # DEPENDENCYPART_ARC
(8,15),-0.929537 # DEPENDENCYPART_ARC
(8,16),-1.12726 # DEPENDENCYPART_ARC
(8,17),-1.15493 # DEPENDENCYPART_ARC
(8,18),-0.894825 # DEPENDENCYPART_ARC
(8,19),0.421738 # DEPENDENCYPART_ARC
(10,1),-0.430946 # DEPENDENCYPART_ARC
(10,2),1.1066 # DEPENDENCYPART_ARC
(10,3),0.740115 # DEPENDENCYPART_ARC
(10,4),-0.0950677 # DEPENDENCYPART_ARC
(10,5),0.829307 # DEPENDENCYPART_ARC
(10,6),1.13958 # DEPENDENCYPART_ARC
(10,7),1.45581 # DEPENDENCYPART_ARC
(10,8),1.23509 # DEPENDENCYPART_ARC
(10,9),0.582528 # DEPENDENCYPART_ARC
(10,11),-0.199824 # DEPENDENCYPART_ARC
(10,12),0.975626 # DEPENDENCYPART_ARC
(10,13),-1.2901 # DEPENDENCYPART_ARC
(10,14),-1.24853 # DEPENDENCYPART_ARC
(10,15),-0.480748 # DEPENDENCYPART_ARC
(10,16),-0.642383 # DEPENDENCYPART_ARC
(10,17),-0.71779 # DEPENDENCYPART_ARC
(10,18),-2.15564 # DEPENDENCYPART_ARC
(10,19),1.51081 # DEPENDENCYPART_ARC
(11,2),-1.30828 # DEPENDENCYPART_ARC
(11,3),-1.74909 # DEPENDENCYPART_ARC
(11,4),-0.901548 # DEPENDENCYPART_ARC
(11,5),-1.02091 # DEPENDENCYPART_ARC
(11,6),-1.12597 # DEPENDENCYPART_ARC
(11,7),-0.736701 # DEPENDENCYPART_ARC
(11,8),-1.21516 # DEPENDENCYPART_ARC
(11,9),-0.636774 # DEPENDENCYPART_ARC
(11,10),-0.662324 # DEPENDENCYPART_ARC
(11,12),0.0664524 # DEPENDENCYPART_ARC
(11,13),-0.770295 # DEPENDENCYPART_ARC
(11,14),-1.08252 # DEPENDENCYPART_ARC
(11,15),-0.802192 # DEPENDENCYPART_ARC
(11,16),-0.837386 # DEPENDENCYPART_ARC
(11,17),-0.959718 # DEPENDENCYPART_ARC
(11,18),-1.33486 # DEPENDENCYPART_ARC
(11,19),-0.119463 # DEPENDENCYPART_ARC
(12,1),-0.915548 # DEPENDENCYPART_ARC
(12,2),-0.0918916 # DEPENDENCYPART_ARC
(12,3),-1.18882 # DEPENDENCYPART_ARC
(12,4),-0.0153734 # DEPENDENCYPART_ARC
(12,5),0.805149 # DEPENDENCYPART_ARC
(12,6),-0.449527 # DEPENDENCYPART_ARC
(12,7),0.947092 # DEPENDENCYPART_ARC
(12,8),-0.55048 # DEPENDENCYPART_ARC
(12,9),0.483865 # DEPENDENCYPART_ARC
(12,10),-0.0559759 # DEPENDENCYPART_ARC
(12,11),2.76512 # DEPENDENCYPART_ARC
(12,13),2.15211 # DEPENDENCYPART_ARC
(12,14),0.387673 # DEPENDENCYPART_ARC
(12,15),-0.187357 # DEPENDENCYPART_ARC
(12,16),-0.736912 # DEPENDENCYPART_ARC
(12,17),-0.733288 # DEPENDENCYPART_ARC
(12,18),1.16758 # DEPENDENCYPART_ARC
(12,19),1.03034 # DEPENDENCYPART_ARC
(13,1),-0.579917 # DEPENDENCYPART_ARC
(13,2),-3.12369 # DEPENDENCYPART_ARC
(13,3),-0.976275 # DEPENDENCYPART_ARC
(13,4),-0.835601 # DEPENDENCYPART_ARC
(13,5),-1.35359 # DEPENDENCYPART_ARC
(13,6),-3.38888 # DEPENDENCYPART_ARC
(13,7),-1.2333 # DEPENDENCYPART_ARC
(13,8),-0.653275 # DEPENDENCYPART_ARC
(13,9),-0.596615 # DEPENDENCYPART_ARC
(13,10),-1.05155 # DEPENDENCYPART_ARC
(13,11),-0.0322048 # DEPENDENCYPART_ARC
(13,12),0.716764 # DEPENDENCYPART_ARC
(13,14),-1.5964 # DEPENDENCYPART_ARC
(13,15),-0.630066 # DEPENDENCYPART_ARC
(13,16),-0.742846 # DEPENDENCYPART_ARC
(13,17),-0.736844 # DEPENDENCYPART_ARC
(13,18),-1.19327 # DEPENDENCYPART_ARC
(13,19),0.0450966 # DEPENDENCYPART_ARC
(14,1),-0.787742 # DEPENDENCYPART_ARC
(14,2),-1.69432 # DEPENDENCYPART_ARC
(14,3),-1.15288 # DEPENDENCYPART_ARC
(14,4),-0.519554 # DEPENDENCYPART_ARC
(14,5),-0.807341 # DEPENDENCYPART_ARC
(14,6),-1.52529 # DEPENDENCYPART_ARC
(14,7),-1.08162 # DEPENDENCYPART_ARC
(14,8),-0.923352 # DEPENDENCYPART_ARC
(14,9),-0.741454 # DEPENDENCYPART_ARC
(14,10),-0.805536 # DEPENDENCYPART_ARC
(14,11),-0.387681 # DEPENDENCYPART_ARC
(14,12),0.293427 # DEPENDENCYPART_ARC
(14,13),-0.596148 # DEPENDENCYPART_ARC
(14,15),0.24258 # DEPENDENCYPART_ARC
(14,16),-0.463337 # DEPENDENCYPART_ARC
(14,17),-0.367829 # DEPENDENCYPART_ARC
(14,18),-1.45506 # DEPENDENCYPART_ARC
(14,19),-0.801073 # DEPENDENCYPART_ARC
(15,1),-1.91582 # DEPENDENCYPART_ARC
(15,2),-2.99419 # DEPENDENCYPART_ARC
(15,3),-2.5412 # DEPENDENCYPART_ARC
(15,4),-1.15621 # DEPENDENCYPART_ARC
(15,5),-0.880628 # DEPENDENCYPART_ARC
(15,6),-3.07242 # DEPENDENCYPART_ARC
(15,7),-0.8857 # DEPENDENCYPART_ARC
(15,8),-2.04897 # DEPENDENCYPART_ARC
(15,9),-0.798278 # DEPENDENCYPART_ARC
(15,10),-0.871525 # DEPENDENCYPART_ARC
(15,11),-0.727867 # DEPENDENCYPART_ARC
(15,12),-1.40659 # DEPENDENCYPART_ARC
(15,13),-1.5939 # DEPENDENCYPART_ARC
(15,14),1.30103 # DEPENDENCYPART_ARC
(15,16),-0.607923 # DEPENDENCYPART_ARC
(15,17),-0.790525 # DEPENDENCYPART_ARC
(15,18),-0.733402 # DEPENDENCYPART_ARC
(15,19),-0.833715 # DEPENDENCYPART_ARC
(16,1),-1.06283 # DEPENDENCYPART_ARC
(16,2),-1.62176 # DEPENDENCYPART_ARC
(16,3),-1.31654 # DEPENDENCYPART_ARC
(16,4),-0.413406 # DEPENDENCYPART_ARC
(16,5),-0.272427 # DEPENDENCYPART_ARC
(16,6),-1.88681 # DEPENDENCYPART_ARC
(16,7),-0.158726 # DEPENDENCYPART_ARC
(16,8),-0.836647 # DEPENDENCYPART_ARC
(16,9),-0.103098 # DEPENDENCYPART_ARC
(16,10),-0.0801541 # DEPENDENCYPART_ARC
(16,11),-0.0589973 # DEPENDENCYPART_ARC
(16,12),-0.692102 # DEPENDENCYPART_ARC
(16,13),-0.533688 # DEPENDENCYPART_ARC
(16,14),1.03488 # DEPENDENCYPART_ARC
(16,15),1.84033 # DEPENDENCYPART_ARC
(16,17),-0.687397 # DEPENDENCYPART_ARC
(16,18),-0.288993 # DEPENDENCYPART_ARC
(16,19),-0.793489 # DEPENDENCYPART_ARC
(17,1),-1.5817 # DEPENDENCYPART_ARC
(17,2),-2.2292 # DEPENDENCYPART_ARC
(17,3),-2.10114 # DEPENDENCYPART_ARC
(17,4),-0.971214 # DEPENDENCYPART_ARC
(17,5),-0.880938 # DEPENDENCYPART_ARC
(17,6),-2.8416 # DEPENDENCYPART_ARC
(17,7),-0.603545 # DEPENDENCYPART_ARC
(17,8),-1.64638 # DEPENDENCYPART_ARC
(17,9),-0.626925 # DEPENDENCYPART_ARC
(17,10),-0.739915 # DEPENDENCYPART_ARC
(17,11),-0.72681 # DEPENDENCYPART_ARC
(17,12),-1.4431 # DEPENDENCYPART_ARC
(17,13),-1.50336 # DEPENDENCYPART_ARC
(17,14),0.0205859 # DEPENDENCYPART_ARC
(17,15),0.511206 # DEPENDENCYPART_ARC
(17,16),1.40312 # DEPENDENCYPART_ARC
(17,18),-0.383495 # DEPENDENCYPART_ARC
(17,19),-1.28547 # DEPENDENCYPART_ARC
(18,1),-0.240491 # DEPENDENCYPART_ARC
(18,2),-2.52715 # DEPENDENCYPART_ARC
(18,3),0.264084 # DEPENDENCYPART_ARC
(18,4),0.428039 # DEPENDENCYPART_ARC
(18,5),-0.479174 # DEPENDENCYPART_ARC
(18,6),-3.22929 # DEPENDENCYPART_ARC
(18,7),-0.277622 # DEPENDENCYPART_ARC
(18,8),0.355782 # DEPENDENCYPART_ARC
(18,9),0.574575 # DEPENDENCYPART_ARC
(18,10),-0.0872899 # DEPENDENCYPART_ARC
(18,11),0.0145978 # DEPENDENCYPART_ARC
(18,12),-0.797875 # DEPENDENCYPART_ARC
(18,13),0.194299 # DEPENDENCYPART_ARC
(18,14),1.50062 # DEPENDENCYPART_ARC
(18,15),1.60827 # DEPENDENCYPART_ARC
(18,16),2.42786 # DEPENDENCYPART_ARC
(18,17),3.28753 # DEPENDENCYPART_ARC
(18,19),-0.411753 # DEPENDENCYPART_ARC
