# _root_ Ígéretei a lakásépítés , az egészségügy , az energetika és az infrastruktúra átalakítására és belendítésére eddig nem váltak be .
#goldHeads=18,3,13,13,6,13,13,9,13,13,12,13,15,15,18,18,18,0,18,18,
#predictedHeads=18,3,18,18,6,18,18,9,13,18,12,13,18,18,18,18,18,0,18,18,
(11,7),-0.984512 # DEPENDENCYPART_ARC
(11,9),-1.92087 # DEPENDENCYPART_ARC
(11,10),-0.251985 # DEPENDENCYPART_ARC
(11,12),-0.625275 # DEPENDENCYPART_ARC
(11,13),-1.18238 # DEPENDENCYPART_ARC
(11,14),-0.997135 # DEPENDENCYPART_ARC
(11,15),-1.60029 # DEPENDENCYPART_ARC
(12,1),-5.19159 # DEPENDENCYPART_ARC
(12,2),-1.76869 # DEPENDENCYPART_ARC
(12,3),-3.04494 # DEPENDENCYPART_ARC
(12,4),-1.53931 # DEPENDENCYPART_ARC
(12,5),-0.719377 # DEPENDENCYPART_ARC
(12,6),-2.4971 # DEPENDENCYPART_ARC
(12,7),-1.24136 # DEPENDENCYPART_ARC
(12,8),0.1732 # DEPENDENCYPART_ARC
(12,9),-1.06968 # DEPENDENCYPART_ARC
(12,10),-0.157936 # DEPENDENCYPART_ARC
(12,11),3.04479 # DEPENDENCYPART_ARC
(12,13),-1.4836 # DEPENDENCYPART_ARC
(12,14),-1.09058 # DEPENDENCYPART_ARC
(12,15),-2.03454 # DEPENDENCYPART_ARC
(12,16),-1.28007 # DEPENDENCYPART_ARC
(12,17),-1.35804 # DEPENDENCYPART_ARC
(12,18),-1.25184 # DEPENDENCYPART_ARC
(12,19),-1.28996 # DEPENDENCYPART_ARC
(12,20),-1.13642 # DEPENDENCYPART_ARC
(13,1),-3.16525 # DEPENDENCYPART_ARC
(13,2),-2.57632 # DEPENDENCYPART_ARC
(13,3),-0.9208 # DEPENDENCYPART_ARC
(13,4),-0.557162 # DEPENDENCYPART_ARC
(13,5),-1.77689 # DEPENDENCYPART_ARC
(13,6),-0.416703 # DEPENDENCYPART_ARC
(13,7),-0.152697 # DEPENDENCYPART_ARC
(13,8),-1.00638 # DEPENDENCYPART_ARC
(13,9),1.28079 # DEPENDENCYPART_ARC
(13,10),1.16637 # DEPENDENCYPART_ARC
(13,11),1.15741 # DEPENDENCYPART_ARC
(13,12),3.94123 # DEPENDENCYPART_ARC
(13,14),-1.22428 # DEPENDENCYPART_ARC
(13,15),-2.15735 # DEPENDENCYPART_ARC
(13,16),-1.55534 # DEPENDENCYPART_ARC
(13,17),-1.61906 # DEPENDENCYPART_ARC
(13,18),-1.80685 # DEPENDENCYPART_ARC
(13,19),-1.60683 # DEPENDENCYPART_ARC
(13,20),-1.405 # DEPENDENCYPART_ARC
(14,1),-0.484167 # DEPENDENCYPART_ARC
(14,2),-1.49035 # DEPENDENCYPART_ARC
(14,3),-0.519316 # DEPENDENCYPART_ARC
(14,4),-0.276418 # DEPENDENCYPART_ARC
(14,5),-0.851726 # DEPENDENCYPART_ARC
(14,6),-0.42647 # DEPENDENCYPART_ARC
(14,7),0.0368268 # DEPENDENCYPART_ARC
(14,8),-0.66205 # DEPENDENCYPART_ARC
(14,9),-0.64362 # DEPENDENCYPART_ARC
(14,10),0.00258502 # DEPENDENCYPART_ARC
(14,11),-0.379506 # DEPENDENCYPART_ARC
(14,12),-0.118938 # DEPENDENCYPART_ARC
(14,13),-0.27098 # DEPENDENCYPART_ARC
(14,15),-0.505748 # DEPENDENCYPART_ARC
(14,16),-0.423394 # DEPENDENCYPART_ARC
(14,17),-0.231927 # DEPENDENCYPART_ARC
(14,18),0.783731 # DEPENDENCYPART_ARC
(14,20),1.41662 # DEPENDENCYPART_ARC
(15,1),-2.88996 # DEPENDENCYPART_ARC
(15,2),-3.00115 # DEPENDENCYPART_ARC
(15,3),-0.64679 # DEPENDENCYPART_ARC
(15,4),-0.654323 # DEPENDENCYPART_ARC
(15,5),-2.11868 # DEPENDENCYPART_ARC
(15,6),-0.106541 # DEPENDENCYPART_ARC
(15,7),-0.221251 # DEPENDENCYPART_ARC
(15,8),-1.43096 # DEPENDENCYPART_ARC
(15,9),0.65811 # DEPENDENCYPART_ARC
(15,10),-0.127308 # DEPENDENCYPART_ARC
(15,11),-0.312961 # DEPENDENCYPART_ARC
(15,12),1.9134 # DEPENDENCYPART_ARC
(15,13),-0.684181 # DEPENDENCYPART_ARC
(15,14),1.05596 # DEPENDENCYPART_ARC
(15,16),-0.886512 # DEPENDENCYPART_ARC
(15,17),-1.03001 # DEPENDENCYPART_ARC
(15,18),-0.873888 # DEPENDENCYPART_ARC
(15,19),-1.03323 # DEPENDENCYPART_ARC
(15,20),-0.862448 # DEPENDENCYPART_ARC
(16,1),-1.09622 # DEPENDENCYPART_ARC
(16,3),-1.31891 # DEPENDENCYPART_ARC
(16,4),-0.731382 # DEPENDENCYPART_ARC
(16,6),-0.939994 # DEPENDENCYPART_ARC
(16,7),-0.555094 # DEPENDENCYPART_ARC
(16,9),-0.478562 # DEPENDENCYPART_ARC
(16,10),-0.300183 # DEPENDENCYPART_ARC
(16,12),-0.1999 # DEPENDENCYPART_ARC
(16,13),-0.154854 # DEPENDENCYPART_ARC
(16,14),-0.0791427 # DEPENDENCYPART_ARC
(16,15),0.336473 # DEPENDENCYPART_ARC
(16,18),-0.0199798 # DEPENDENCYPART_ARC
(16,20),-0.339316 # DEPENDENCYPART_ARC
(17,1),-0.906761 # DEPENDENCYPART_ARC
(17,3),-1.27071 # DEPENDENCYPART_ARC
(17,4),-0.613045 # DEPENDENCYPART_ARC
(17,6),-1.1474 # DEPENDENCYPART_ARC
(17,7),-0.529735 # DEPENDENCYPART_ARC
(17,9),-0.597532 # DEPENDENCYPART_ARC
(17,10),-0.595928 # DEPENDENCYPART_ARC
(17,12),-0.539491 # DEPENDENCYPART_ARC
(17,13),-0.54946 # DEPENDENCYPART_ARC
(17,14),-0.230707 # DEPENDENCYPART_ARC
(17,15),-0.356262 # DEPENDENCYPART_ARC
(17,16),0.649509 # DEPENDENCYPART_ARC
(17,18),-0.00989653 # DEPENDENCYPART_ARC
(17,20),-0.317428 # DEPENDENCYPART_ARC
(18,1),2.05044 # DEPENDENCYPART_ARC
(18,2),-0.56311 # DEPENDENCYPART_ARC
(18,3),-0.0466291 # DEPENDENCYPART_ARC
(18,4),1.40671 # DEPENDENCYPART_ARC
(18,5),-0.0391638 # DEPENDENCYPART_ARC
(18,6),0.0923377 # DEPENDENCYPART_ARC
(18,7),1.45078 # DEPENDENCYPART_ARC
(18,8),-0.00618715 # DEPENDENCYPART_ARC
(18,9),0.946883 # DEPENDENCYPART_ARC
(18,10),1.17556 # DEPENDENCYPART_ARC
(18,11),0.0198928 # DEPENDENCYPART_ARC
(18,12),0.792615 # DEPENDENCYPART_ARC
(18,13),1.75933 # DEPENDENCYPART_ARC
(18,14),1.83178 # DEPENDENCYPART_ARC
(18,15),2.72735 # DEPENDENCYPART_ARC
(18,16),2.65537 # DEPENDENCYPART_ARC
(18,17),3.02023 # DEPENDENCYPART_ARC
(18,19),2.97132 # DEPENDENCYPART_ARC
(18,20),1.60631 # DEPENDENCYPART_ARC
(19,1),-0.522391 # DEPENDENCYPART_ARC
(19,3),-0.881007 # DEPENDENCYPART_ARC
(19,4),-0.878583 # DEPENDENCYPART_ARC
(19,6),-0.62504 # DEPENDENCYPART_ARC
(19,7),-0.706314 # DEPENDENCYPART_ARC
(19,9),-0.0756377 # DEPENDENCYPART_ARC
(19,10),-0.0363619 # DEPENDENCYPART_ARC
(19,12),-0.00460584 # DEPENDENCYPART_ARC
(19,13),-0.160596 # DEPENDENCYPART_ARC
(19,14),0.0319972 # DEPENDENCYPART_ARC
(19,15),0.0589712 # DEPENDENCYPART_ARC
(19,17),0.559649 # DEPENDENCYPART_ARC
(19,18),0.424235 # DEPENDENCYPART_ARC
(19,20),0.139011 # DEPENDENCYPART_ARC
