# _root_ Ez azért megoldható , mert a szív voltaképpen csupán egy pumpa , egyszerű izommunkát végez .
#goldHeads=5,5,5,5,0,7,9,9,5,11,9,9,14,15,9,5,
#predictedHeads=5,5,5,5,0,7,15,15,15,11,15,15,14,15,5,5,
(6,16),-1.6927 # DEPENDENCYPART_ARC
(7,1),-0.885967 # DEPENDENCYPART_ARC
(7,2),-1.1752 # DEPENDENCYPART_ARC
(7,3),-1.15058 # DEPENDENCYPART_ARC
(7,4),-0.209104 # DEPENDENCYPART_ARC
(7,5),-0.792451 # DEPENDENCYPART_ARC
(7,6),3.28562 # DEPENDENCYPART_ARC
(7,8),-0.594945 # DEPENDENCYPART_ARC
(7,9),-0.699832 # DEPENDENCYPART_ARC
(7,10),-0.649642 # DEPENDENCYPART_ARC
(7,11),-0.671208 # DEPENDENCYPART_ARC
(7,12),-0.193911 # DEPENDENCYPART_ARC
(7,13),-1.28736 # DEPENDENCYPART_ARC
(7,14),-1.41215 # DEPENDENCYPART_ARC
(7,15),-0.443156 # DEPENDENCYPART_ARC
(7,16),-0.126076 # DEPENDENCYPART_ARC
(8,1),-0.898405 # DEPENDENCYPART_ARC
(8,2),-0.541589 # DEPENDENCYPART_ARC
(8,3),-0.845696 # DEPENDENCYPART_ARC
(8,4),-0.405912 # DEPENDENCYPART_ARC
(8,5),-0.299658 # DEPENDENCYPART_ARC
(8,6),-0.34922 # DEPENDENCYPART_ARC
(8,7),0.230534 # DEPENDENCYPART_ARC
(8,9),-0.221925 # DEPENDENCYPART_ARC
(8,10),-0.734767 # DEPENDENCYPART_ARC
(8,11),-0.0849897 # DEPENDENCYPART_ARC
(8,12),-0.139627 # DEPENDENCYPART_ARC
(8,13),-0.423524 # DEPENDENCYPART_ARC
(8,14),-0.833457 # DEPENDENCYPART_ARC
(8,15),-0.301391 # DEPENDENCYPART_ARC
(8,16),-0.110604 # DEPENDENCYPART_ARC
(9,1),-0.0309057 # DEPENDENCYPART_ARC
(9,2),-0.0394704 # DEPENDENCYPART_ARC
(9,3),-0.0670637 # DEPENDENCYPART_ARC
(9,4),0.188972 # DEPENDENCYPART_ARC
(9,5),0.356101 # DEPENDENCYPART_ARC
(9,6),-0.0293831 # DEPENDENCYPART_ARC
(9,7),0.656874 # DEPENDENCYPART_ARC
(9,8),0.866957 # DEPENDENCYPART_ARC
(9,10),0.00481814 # DEPENDENCYPART_ARC
(9,11),0.961782 # DEPENDENCYPART_ARC
(9,12),0.808732 # DEPENDENCYPART_ARC
(9,13),0.0965319 # DEPENDENCYPART_ARC
(9,14),0.235314 # DEPENDENCYPART_ARC
(9,15),0.506687 # DEPENDENCYPART_ARC
(9,16),0.766256 # DEPENDENCYPART_ARC
(10,1),-1.75735 # DEPENDENCYPART_ARC
(10,2),-1.38405 # DEPENDENCYPART_ARC
(10,3),-1.38972 # DEPENDENCYPART_ARC
(10,4),-0.682247 # DEPENDENCYPART_ARC
(10,5),-1.05138 # DEPENDENCYPART_ARC
(10,6),-0.936284 # DEPENDENCYPART_ARC
(10,7),-1.6853 # DEPENDENCYPART_ARC
(10,8),-0.777813 # DEPENDENCYPART_ARC
(10,9),-0.156025 # DEPENDENCYPART_ARC
(10,11),0.0146099 # DEPENDENCYPART_ARC
(10,12),0.133521 # DEPENDENCYPART_ARC
(10,13),-0.0120283 # DEPENDENCYPART_ARC
(10,14),-0.788538 # DEPENDENCYPART_ARC
(10,15),-0.533845 # DEPENDENCYPART_ARC
(10,16),-0.650501 # DEPENDENCYPART_ARC
(11,1),-1.54432 # DEPENDENCYPART_ARC
(11,2),-1.17928 # DEPENDENCYPART_ARC
(11,3),-1.9982 # DEPENDENCYPART_ARC
(11,4),-0.370118 # DEPENDENCYPART_ARC
(11,5),-1.34091 # DEPENDENCYPART_ARC
(11,6),0.394764 # DEPENDENCYPART_ARC
(11,7),-1.51284 # DEPENDENCYPART_ARC
(11,8),-0.362784 # DEPENDENCYPART_ARC
(11,9),-0.238213 # DEPENDENCYPART_ARC
(11,10),3.74968 # DEPENDENCYPART_ARC
(11,12),0.381917 # DEPENDENCYPART_ARC
(11,13),-0.410049 # DEPENDENCYPART_ARC
(11,14),-0.294103 # DEPENDENCYPART_ARC
(11,15),0.198108 # DEPENDENCYPART_ARC
(11,16),0.105947 # DEPENDENCYPART_ARC
(12,1),-2.18224 # DEPENDENCYPART_ARC
(12,2),-1.93881 # DEPENDENCYPART_ARC
(12,3),-2.31121 # DEPENDENCYPART_ARC
(12,4),-1.58621 # DEPENDENCYPART_ARC
(12,5),-1.55874 # DEPENDENCYPART_ARC
(12,6),-1.64301 # DEPENDENCYPART_ARC
(12,7),-2.60353 # DEPENDENCYPART_ARC
(12,8),-1.51805 # DEPENDENCYPART_ARC
(12,9),-1.31609 # DEPENDENCYPART_ARC
(12,10),-1.01148 # DEPENDENCYPART_ARC
(12,11),-1.51774 # DEPENDENCYPART_ARC
(12,13),-0.789221 # DEPENDENCYPART_ARC
(12,14),-1.30457 # DEPENDENCYPART_ARC
(12,15),-1.1376 # DEPENDENCYPART_ARC
(12,16),-1.17238 # DEPENDENCYPART_ARC
(13,1),-1.37797 # DEPENDENCYPART_ARC
(13,2),-0.916362 # DEPENDENCYPART_ARC
(13,3),-1.5564 # DEPENDENCYPART_ARC
(13,4),-0.4262 # DEPENDENCYPART_ARC
(13,5),-0.413665 # DEPENDENCYPART_ARC
(13,6),-0.608353 # DEPENDENCYPART_ARC
(13,7),-1.0344 # DEPENDENCYPART_ARC
(13,8),0.0221129 # DEPENDENCYPART_ARC
(13,9),0.0627373 # DEPENDENCYPART_ARC
(13,10),0.580984 # DEPENDENCYPART_ARC
(13,11),-0.162678 # DEPENDENCYPART_ARC
(13,12),0.418934 # DEPENDENCYPART_ARC
(13,14),-0.502806 # DEPENDENCYPART_ARC
(13,15),-0.185028 # DEPENDENCYPART_ARC
(13,16),-0.243485 # DEPENDENCYPART_ARC
(14,1),-1.04012 # DEPENDENCYPART_ARC
(14,2),-0.312147 # DEPENDENCYPART_ARC
(14,3),-0.168721 # DEPENDENCYPART_ARC
(14,4),0.890874 # DEPENDENCYPART_ARC
(14,5),-0.26042 # DEPENDENCYPART_ARC
(14,6),0.575016 # DEPENDENCYPART_ARC
(14,7),-0.766015 # DEPENDENCYPART_ARC
(14,8),0.280286 # DEPENDENCYPART_ARC
(14,9),0.0986384 # DEPENDENCYPART_ARC
(14,10),2.3349 # DEPENDENCYPART_ARC
(14,11),0.314639 # DEPENDENCYPART_ARC
(14,12),0.766615 # DEPENDENCYPART_ARC
(14,13),3.54316 # DEPENDENCYPART_ARC
(14,15),-0.278876 # DEPENDENCYPART_ARC
(14,16),-0.351555 # DEPENDENCYPART_ARC
(15,1),0.654099 # DEPENDENCYPART_ARC
(15,2),0.263694 # DEPENDENCYPART_ARC
(15,3),-0.386019 # DEPENDENCYPART_ARC
(15,4),0.402092 # DEPENDENCYPART_ARC
(15,5),0.199244 # DEPENDENCYPART_ARC
(15,6),-0.616861 # DEPENDENCYPART_ARC
(15,7),1.88112 # DEPENDENCYPART_ARC
(15,8),1.79281 # DEPENDENCYPART_ARC
(15,9),2.13407 # DEPENDENCYPART_ARC
(15,10),0.299156 # DEPENDENCYPART_ARC
(15,11),1.74425 # DEPENDENCYPART_ARC
(15,12),1.72548 # DEPENDENCYPART_ARC
(15,13),1.05659 # DEPENDENCYPART_ARC
(15,14),3.55729 # DEPENDENCYPART_ARC
(15,16),1.72513 # DEPENDENCYPART_ARC
(16,1),-3.64649 # DEPENDENCYPART_ARC
(16,2),-3.34386 # DEPENDENCYPART_ARC
(16,3),-3.50577 # DEPENDENCYPART_ARC
(16,4),-2.99612 # DEPENDENCYPART_ARC
(16,5),-3.09408 # DEPENDENCYPART_ARC
(16,6),-3.17185 # DEPENDENCYPART_ARC
(16,7),-4.06603 # DEPENDENCYPART_ARC
(16,8),-3.11747 # DEPENDENCYPART_ARC
(16,9),-3.07881 # DEPENDENCYPART_ARC
(16,10),-2.96287 # DEPENDENCYPART_ARC
(16,11),-3.81875 # DEPENDENCYPART_ARC
(16,12),-2.70465 # DEPENDENCYPART_ARC
(16,13),-2.89378 # DEPENDENCYPART_ARC
(16,14),-3.22187 # DEPENDENCYPART_ARC
(16,15),-1.7104 # DEPENDENCYPART_ARC
