# _root_ A menekültek között ugyanis főként nőket és gyermekeket látni , és ez is megerősíteni látszik az atlanti szövetséghez érkezett jelentéseket , miszerint a szerbek a koszovói albánokból állítanak " védőgyűrűt " .
#goldHeads=2,3,9,9,9,9,9,9,11,11,0,14,15,15,11,18,18,19,20,14,15,15,24,28,27,27,28,12,28,28,28,11,
#predictedHeads=2,3,9,9,9,9,9,9,11,11,0,14,14,15,11,18,18,19,20,14,28,15,24,28,27,27,28,9,30,28,30,15,
(13,8),-2.19122 # DEPENDENCYPART_ARC
(13,9),-1.2546 # DEPENDENCYPART_ARC
(13,10),-0.143774 # DEPENDENCYPART_ARC
(13,11),-0.243704 # DEPENDENCYPART_ARC
(13,12),-0.12196 # DEPENDENCYPART_ARC
(13,14),0.380954 # DEPENDENCYPART_ARC
(13,15),0.195032 # DEPENDENCYPART_ARC
(13,16),-0.701385 # DEPENDENCYPART_ARC
(13,17),-0.502438 # DEPENDENCYPART_ARC
(13,18),-0.474563 # DEPENDENCYPART_ARC
(13,19),-0.740649 # DEPENDENCYPART_ARC
(13,20),-0.345087 # DEPENDENCYPART_ARC
(13,21),0.0525775 # DEPENDENCYPART_ARC
(13,22),-0.239199 # DEPENDENCYPART_ARC
(13,23),-1.17509 # DEPENDENCYPART_ARC
(13,24),-0.864858 # DEPENDENCYPART_ARC
(13,25),-1.33552 # DEPENDENCYPART_ARC
(13,26),-1.21453 # DEPENDENCYPART_ARC
(13,27),-1.2741 # DEPENDENCYPART_ARC
(13,28),-1.03102 # DEPENDENCYPART_ARC
(13,29),-0.671286 # DEPENDENCYPART_ARC
(13,30),-1.36146 # DEPENDENCYPART_ARC
(13,31),-0.87547 # DEPENDENCYPART_ARC
(13,32),0.24121 # DEPENDENCYPART_ARC
(14,1),-0.824305 # DEPENDENCYPART_ARC
(14,2),-2.30231 # DEPENDENCYPART_ARC
(14,3),0.0507146 # DEPENDENCYPART_ARC
(14,4),0.0799073 # DEPENDENCYPART_ARC
(14,5),0.156975 # DEPENDENCYPART_ARC
(14,6),0.870883 # DEPENDENCYPART_ARC
(14,7),0.0603113 # DEPENDENCYPART_ARC
(14,8),1.38396 # DEPENDENCYPART_ARC
(14,9),-1.34198 # DEPENDENCYPART_ARC
(14,10),0.828092 # DEPENDENCYPART_ARC
(14,11),-0.171762 # DEPENDENCYPART_ARC
(14,12),1.27613 # DEPENDENCYPART_ARC
(14,13),1.75947 # DEPENDENCYPART_ARC
(14,15),2.03635 # DEPENDENCYPART_ARC
(14,16),0.014742 # DEPENDENCYPART_ARC
(14,17),0.47537 # DEPENDENCYPART_ARC
(14,18),0.587671 # DEPENDENCYPART_ARC
(14,19),0.401005 # DEPENDENCYPART_ARC
(14,20),2.01446 # DEPENDENCYPART_ARC
(14,21),0.829344 # DEPENDENCYPART_ARC
(14,22),0.906842 # DEPENDENCYPART_ARC
(14,23),-0.515577 # DEPENDENCYPART_ARC
(14,24),-1.20989 # DEPENDENCYPART_ARC
(14,25),-0.617932 # DEPENDENCYPART_ARC
(14,26),-0.697861 # DEPENDENCYPART_ARC
(14,27),-0.495327 # DEPENDENCYPART_ARC
(14,28),0.616129 # DEPENDENCYPART_ARC
(14,29),-0.688558 # DEPENDENCYPART_ARC
(14,30),0.590545 # DEPENDENCYPART_ARC
(14,31),-0.540584 # DEPENDENCYPART_ARC
(14,32),1.62053 # DEPENDENCYPART_ARC
(15,1),-1.82402 # DEPENDENCYPART_ARC
(15,2),-2.61527 # DEPENDENCYPART_ARC
(15,3),0.2684 # DEPENDENCYPART_ARC
(15,4),-0.0555736 # DEPENDENCYPART_ARC
(15,5),0.0800347 # DEPENDENCYPART_ARC
(15,6),-1.60657 # DEPENDENCYPART_ARC
(15,7),0.30312 # DEPENDENCYPART_ARC
(15,8),-0.948824 # DEPENDENCYPART_ARC
(15,9),0.312472 # DEPENDENCYPART_ARC
(15,10),-0.103476 # DEPENDENCYPART_ARC
(15,11),-0.0714352 # DEPENDENCYPART_ARC
(15,12),0.793716 # DEPENDENCYPART_ARC
(15,13),1.64501 # DEPENDENCYPART_ARC
(15,14),3.29311 # DEPENDENCYPART_ARC
(15,16),-0.563244 # DEPENDENCYPART_ARC
(15,17),-0.110123 # DEPENDENCYPART_ARC
(15,18),0.32235 # DEPENDENCYPART_ARC
(15,19),-0.706901 # DEPENDENCYPART_ARC
(15,20),1.59002 # DEPENDENCYPART_ARC
(15,21),1.10564 # DEPENDENCYPART_ARC
(15,22),1.71616 # DEPENDENCYPART_ARC
(15,23),-1.0647 # DEPENDENCYPART_ARC
(15,24),-0.458919 # DEPENDENCYPART_ARC
(15,25),-1.17076 # DEPENDENCYPART_ARC
(15,26),-1.76236 # DEPENDENCYPART_ARC
(15,27),-1.00923 # DEPENDENCYPART_ARC
(15,28),0.728367 # DEPENDENCYPART_ARC
(15,29),-0.584355 # DEPENDENCYPART_ARC
(15,30),-0.462106 # DEPENDENCYPART_ARC
(15,31),-0.31252 # DEPENDENCYPART_ARC
(15,32),2.56535 # DEPENDENCYPART_ARC
(16,2),-3.33798 # DEPENDENCYPART_ARC
(16,4),-1.76535 # DEPENDENCYPART_ARC
(16,6),-3.0511 # DEPENDENCYPART_ARC
(16,7),-1.51267 # DEPENDENCYPART_ARC
(16,8),-2.95472 # DEPENDENCYPART_ARC
(16,10),-1.18668 # DEPENDENCYPART_ARC
(16,11),-1.61814 # DEPENDENCYPART_ARC
(16,13),-1.40149 # DEPENDENCYPART_ARC
(16,17),0.238448 # DEPENDENCYPART_ARC
(16,18),-0.664356 # DEPENDENCYPART_ARC
(16,19),-0.409896 # DEPENDENCYPART_ARC
(16,20),-1.1552 # DEPENDENCYPART_ARC
(16,21),-0.480697 # DEPENDENCYPART_ARC
(16,24),-1.49022 # DEPENDENCYPART_ARC
(16,26),-1.05253 # DEPENDENCYPART_ARC
(16,27),-1.8461 # DEPENDENCYPART_ARC
(16,29),-0.710692 # DEPENDENCYPART_ARC
(16,30),-2.06354 # DEPENDENCYPART_ARC
(16,31),-0.819561 # DEPENDENCYPART_ARC
(17,1),-2.49567 # DEPENDENCYPART_ARC
(17,2),-3.9226 # DEPENDENCYPART_ARC
(17,3),-1.63221 # DEPENDENCYPART_ARC
(17,4),-1.33474 # DEPENDENCYPART_ARC
(17,5),-1.75403 # DEPENDENCYPART_ARC
(17,6),-2.98674 # DEPENDENCYPART_ARC
(17,7),-1.20608 # DEPENDENCYPART_ARC
(17,8),-3.00602 # DEPENDENCYPART_ARC
(17,9),-1.78384 # DEPENDENCYPART_ARC
(17,10),-1.30654 # DEPENDENCYPART_ARC
(17,11),-1.35415 # DEPENDENCYPART_ARC
(17,12),-1.93063 # DEPENDENCYPART_ARC
(17,13),-0.861872 # DEPENDENCYPART_ARC
(17,14),-1.17128 # DEPENDENCYPART_ARC
(17,15),-0.948707 # DEPENDENCYPART_ARC
(17,16),0.808932 # DEPENDENCYPART_ARC
(17,18),-1.25348 # DEPENDENCYPART_ARC
(17,19),-1.37292 # DEPENDENCYPART_ARC
(17,20),-2.08807 # DEPENDENCYPART_ARC
(17,21),-1.02259 # DEPENDENCYPART_ARC
(17,22),-1.63152 # DEPENDENCYPART_ARC
(17,23),-1.98006 # DEPENDENCYPART_ARC
(17,24),-2.59999 # DEPENDENCYPART_ARC
(17,25),-2.06312 # DEPENDENCYPART_ARC
(17,26),-2.12675 # DEPENDENCYPART_ARC
(17,27),-2.71119 # DEPENDENCYPART_ARC
(17,28),-1.73038 # DEPENDENCYPART_ARC
(17,29),-1.29154 # DEPENDENCYPART_ARC
(17,30),-2.96359 # DEPENDENCYPART_ARC
(17,31),-1.5244 # DEPENDENCYPART_ARC
(17,32),-0.865608 # DEPENDENCYPART_ARC
(18,1),-1.81656 # DEPENDENCYPART_ARC
(18,2),-4.23382 # DEPENDENCYPART_ARC
(18,3),-1.13364 # DEPENDENCYPART_ARC
(18,4),-1.38454 # DEPENDENCYPART_ARC
(18,5),-1.40811 # DEPENDENCYPART_ARC
(18,6),-5.40619 # DEPENDENCYPART_ARC
(18,7),-1.56363 # DEPENDENCYPART_ARC
(18,8),-5.45851 # DEPENDENCYPART_ARC
(18,9),-0.504408 # DEPENDENCYPART_ARC
