# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,6,0,12,10,15,15,19,19,18,19,6,19,10,
(11,20),-0.946314 # DEPENDENCYPART_ARC
(11,21),-0.454292 # DEPENDENCYPART_ARC
(12,1),-1.58383 # DEPENDENCYPART_ARC
(12,2),0.521752 # DEPENDENCYPART_ARC
(12,3),-1.55927 # DEPENDENCYPART_ARC
(12,4),0.0293225 # DEPENDENCYPART_ARC
(12,5),-0.058895 # DEPENDENCYPART_ARC
(12,6),-0.133529 # DEPENDENCYPART_ARC
(12,7),-0.0378462 # DEPENDENCYPART_ARC
(12,8),0.750511 # DEPENDENCYPART_ARC
(12,9),0.818854 # DEPENDENCYPART_ARC
(12,10),1.31192 # DEPENDENCYPART_ARC
(12,11),2.73431 # DEPENDENCYPART_ARC
(12,13),0.764809 # DEPENDENCYPART_ARC
(12,14),-0.404774 # DEPENDENCYPART_ARC
(12,15),-0.0471172 # DEPENDENCYPART_ARC
(12,16),-1.02171 # DEPENDENCYPART_ARC
(12,17),-0.844231 # DEPENDENCYPART_ARC
(12,18),-0.601514 # DEPENDENCYPART_ARC
(12,19),0.948609 # DEPENDENCYPART_ARC
(12,20),-0.127942 # DEPENDENCYPART_ARC
(12,21),1.15263 # DEPENDENCYPART_ARC
(14,1),-1.72602 # DEPENDENCYPART_ARC
(14,2),-3.0152 # DEPENDENCYPART_ARC
(14,3),-1.44715 # DEPENDENCYPART_ARC
(14,4),-1.29936 # DEPENDENCYPART_ARC
(14,5),-1.00819 # DEPENDENCYPART_ARC
(14,6),-1.20853 # DEPENDENCYPART_ARC
(14,7),-0.549335 # DEPENDENCYPART_ARC
(14,8),-0.831386 # DEPENDENCYPART_ARC
(14,9),-0.484154 # DEPENDENCYPART_ARC
(14,10),-0.384469 # DEPENDENCYPART_ARC
(14,11),0.168798 # DEPENDENCYPART_ARC
(14,12),-0.498068 # DEPENDENCYPART_ARC
(14,13),0.364609 # DEPENDENCYPART_ARC
(14,15),-0.674377 # DEPENDENCYPART_ARC
(14,16),-0.602707 # DEPENDENCYPART_ARC
(14,17),-0.525488 # DEPENDENCYPART_ARC
(14,18),-1.03816 # DEPENDENCYPART_ARC
(14,19),-0.758525 # DEPENDENCYPART_ARC
(14,20),-1.01676 # DEPENDENCYPART_ARC
(14,21),-0.508121 # DEPENDENCYPART_ARC
(15,1),-1.61445 # DEPENDENCYPART_ARC
(15,2),-0.949987 # DEPENDENCYPART_ARC
(15,3),-0.838793 # DEPENDENCYPART_ARC
(15,4),-3.248 # DEPENDENCYPART_ARC
(15,5),-0.365299 # DEPENDENCYPART_ARC
(15,6),-1.20868 # DEPENDENCYPART_ARC
(15,7),-0.387118 # DEPENDENCYPART_ARC
(15,8),0.110742 # DEPENDENCYPART_ARC
(15,9),-0.338786 # DEPENDENCYPART_ARC
(15,10),0.563999 # DEPENDENCYPART_ARC
(15,11),0.253298 # DEPENDENCYPART_ARC
(15,12),-0.7897 # DEPENDENCYPART_ARC
(15,13),1.00345 # DEPENDENCYPART_ARC
(15,14),3.29694 # DEPENDENCYPART_ARC
(15,16),-0.2426 # DEPENDENCYPART_ARC
(15,17),-0.849119 # DEPENDENCYPART_ARC
(15,18),-1.23708 # DEPENDENCYPART_ARC
(15,19),-0.316773 # DEPENDENCYPART_ARC
(15,20),-0.994114 # DEPENDENCYPART_ARC
(15,21),-0.394121 # DEPENDENCYPART_ARC
(16,1),-1.77477 # DEPENDENCYPART_ARC
(16,2),-4.0516 # DEPENDENCYPART_ARC
(16,3),-0.785374 # DEPENDENCYPART_ARC
(16,4),-4.21991 # DEPENDENCYPART_ARC
(16,5),-0.851725 # DEPENDENCYPART_ARC
(16,6),-1.5176 # DEPENDENCYPART_ARC
(16,7),-0.771957 # DEPENDENCYPART_ARC
(16,8),-0.329239 # DEPENDENCYPART_ARC
(16,9),-0.693018 # DEPENDENCYPART_ARC
(16,10),-0.0428967 # DEPENDENCYPART_ARC
(16,11),-0.317033 # DEPENDENCYPART_ARC
(16,12),-0.369917 # DEPENDENCYPART_ARC
(16,13),0.537369 # DEPENDENCYPART_ARC
(16,14),1.11199 # DEPENDENCYPART_ARC
(16,15),-0.418528 # DEPENDENCYPART_ARC
(16,17),0.037673 # DEPENDENCYPART_ARC
(16,18),-0.139892 # DEPENDENCYPART_ARC
(16,19),-0.17672 # DEPENDENCYPART_ARC
(16,21),-0.118149 # DEPENDENCYPART_ARC
(17,1),-1.24392 # DEPENDENCYPART_ARC
(17,2),-2.28015 # DEPENDENCYPART_ARC
(17,3),-1.25047 # DEPENDENCYPART_ARC
(17,4),-2.2961 # DEPENDENCYPART_ARC
(17,5),-1.2761 # DEPENDENCYPART_ARC
(17,6),-1.95758 # DEPENDENCYPART_ARC
(17,7),-0.66434 # DEPENDENCYPART_ARC
(17,8),-1.15721 # DEPENDENCYPART_ARC
(17,9),-1.33584 # DEPENDENCYPART_ARC
(17,10),-1.19206 # DEPENDENCYPART_ARC
(17,11),-0.799088 # DEPENDENCYPART_ARC
(17,12),-0.653537 # DEPENDENCYPART_ARC
(17,13),-0.89047 # DEPENDENCYPART_ARC
(17,14),-0.905246 # DEPENDENCYPART_ARC
(17,15),-1.23771 # DEPENDENCYPART_ARC
(17,16),0.333504 # DEPENDENCYPART_ARC
(17,18),-0.660101 # DEPENDENCYPART_ARC
(17,19),-0.721159 # DEPENDENCYPART_ARC
(17,21),-0.969648 # DEPENDENCYPART_ARC
(18,1),-3.01964 # DEPENDENCYPART_ARC
(18,2),-2.60992 # DEPENDENCYPART_ARC
(18,3),-2.13649 # DEPENDENCYPART_ARC
(18,4),-4.46196 # DEPENDENCYPART_ARC
(18,5),-0.646734 # DEPENDENCYPART_ARC
(18,6),-2.86024 # DEPENDENCYPART_ARC
(18,7),-1.24187 # DEPENDENCYPART_ARC
(18,8),-0.777703 # DEPENDENCYPART_ARC
(18,9),-0.958513 # DEPENDENCYPART_ARC
(18,10),-0.246384 # DEPENDENCYPART_ARC
(18,11),-0.469682 # DEPENDENCYPART_ARC
(18,12),-2.74828 # DEPENDENCYPART_ARC
(18,13),0.104839 # DEPENDENCYPART_ARC
(18,14),0.307964 # DEPENDENCYPART_ARC
(18,15),-2.51275 # DEPENDENCYPART_ARC
(18,16),1.86219 # DEPENDENCYPART_ARC
(18,17),2.66337 # DEPENDENCYPART_ARC
(18,19),-0.82065 # DEPENDENCYPART_ARC
(18,20),-1.11258 # DEPENDENCYPART_ARC
(18,21),-0.713044 # DEPENDENCYPART_ARC
(19,1),-1.69151 # DEPENDENCYPART_ARC
(19,2),-0.0755212 # DEPENDENCYPART_ARC
(19,3),-1.72993 # DEPENDENCYPART_ARC
(19,4),-0.83883 # DEPENDENCYPART_ARC
(19,5),-0.8041 # DEPENDENCYPART_ARC
(19,6),-0.324267 # DEPENDENCYPART_ARC
(19,7),-0.443966 # DEPENDENCYPART_ARC
(19,8),0.541468 # DEPENDENCYPART_ARC
(19,9),0.204689 # DEPENDENCYPART_ARC
(19,10),1.27331 # DEPENDENCYPART_ARC
(19,11),0.712819 # DEPENDENCYPART_ARC
(19,12),-0.180106 # DEPENDENCYPART_ARC
(19,13),0.885743 # DEPENDENCYPART_ARC
(19,14),-0.212628 # DEPENDENCYPART_ARC
(19,15),1.70389 # DEPENDENCYPART_ARC
(19,16),2.3525 # DEPENDENCYPART_ARC
(19,17),0.678905 # DEPENDENCYPART_ARC
(19,18),3.62991 # DEPENDENCYPART_ARC
(19,20),3.22344 # DEPENDENCYPART_ARC
(19,21),1.8804 # DEPENDENCYPART_ARC
(20,2),-0.623502 # DEPENDENCYPART_ARC
(20,5),-0.370766 # DEPENDENCYPART_ARC
(20,6),-0.607534 # DEPENDENCYPART_ARC
(20,7),-0.2733 # DEPENDENCYPART_ARC
(20,8),-0.556068 # DEPENDENCYPART_ARC
(20,9),-0.616216 # DEPENDENCYPART_ARC
(20,10),-0.167225 # DEPENDENCYPART_ARC
(20,11),0.0956339 # DEPENDENCYPART_ARC
(20,12),-0.655349 # DEPENDENCYPART_ARC
(20,13),-0.540172 # DEPENDENCYPART_ARC
(20,14),-0.10556 # DEPENDENCYPART_ARC
(20,15),0.291862 # DEPENDENCYPART_ARC
(20,18),0.646882 # DEPENDENCYPART_ARC
(20,19),0.553156 # DEPENDENCYPART_ARC
(20,21),0.181314 # DEPENDENCYPART_ARC
