# _root_ Szőke leányka megkérdezi az óriást , óriás a copfos fiút , aki többnyire tudja a választ .
#goldHeads=2,3,0,5,3,3,3,10,10,7,7,14,14,7,16,14,3,
#predictedHeads=2,3,0,5,3,3,3,10,10,3,3,14,14,3,16,14,3,
(3,15),-0.93064 # DEPENDENCYPART_ARC
(3,16),0.167073 # DEPENDENCYPART_ARC
(3,17),2.73759 # DEPENDENCYPART_ARC
(4,1),-1.57617 # DEPENDENCYPART_ARC
(4,2),-2.16369 # DEPENDENCYPART_ARC
(4,3),-0.612214 # DEPENDENCYPART_ARC
(4,5),-0.0886898 # DEPENDENCYPART_ARC
(4,6),0.1236 # DEPENDENCYPART_ARC
(4,7),-0.702688 # DEPENDENCYPART_ARC
(4,8),-0.649067 # DEPENDENCYPART_ARC
(4,9),-0.540033 # DEPENDENCYPART_ARC
(4,10),-1.28601 # DEPENDENCYPART_ARC
(4,11),-0.276504 # DEPENDENCYPART_ARC
(4,12),-1.29799 # DEPENDENCYPART_ARC
(4,13),-0.926226 # DEPENDENCYPART_ARC
(4,14),-0.909081 # DEPENDENCYPART_ARC
(4,15),-0.960782 # DEPENDENCYPART_ARC
(4,16),-1.83659 # DEPENDENCYPART_ARC
(4,17),-1.26804 # DEPENDENCYPART_ARC
(5,1),-1.27739 # DEPENDENCYPART_ARC
(5,2),-2.13503 # DEPENDENCYPART_ARC
(5,3),-0.915748 # DEPENDENCYPART_ARC
(5,4),3.15726 # DEPENDENCYPART_ARC
(5,6),-0.101331 # DEPENDENCYPART_ARC
(5,7),-1.09472 # DEPENDENCYPART_ARC
(5,8),-1.04602 # DEPENDENCYPART_ARC
(5,9),-1.24323 # DEPENDENCYPART_ARC
(5,10),-0.562979 # DEPENDENCYPART_ARC
(5,11),-0.178135 # DEPENDENCYPART_ARC
(5,12),-2.06071 # DEPENDENCYPART_ARC
(5,13),-1.11421 # DEPENDENCYPART_ARC
(5,14),-0.541516 # DEPENDENCYPART_ARC
(5,15),-1.33263 # DEPENDENCYPART_ARC
(5,16),-2.46605 # DEPENDENCYPART_ARC
(5,17),0.254388 # DEPENDENCYPART_ARC
(6,1),-2.41968 # DEPENDENCYPART_ARC
(6,2),-2.78798 # DEPENDENCYPART_ARC
(6,3),-1.74761 # DEPENDENCYPART_ARC
(6,4),-1.13174 # DEPENDENCYPART_ARC
(6,5),-1.67484 # DEPENDENCYPART_ARC
(6,7),-1.52729 # DEPENDENCYPART_ARC
(6,8),-1.41943 # DEPENDENCYPART_ARC
(6,9),-1.55256 # DEPENDENCYPART_ARC
(6,10),-2.23274 # DEPENDENCYPART_ARC
(6,11),-1.40641 # DEPENDENCYPART_ARC
(6,12),-1.87066 # DEPENDENCYPART_ARC
(6,13),-1.66799 # DEPENDENCYPART_ARC
(6,14),-1.78622 # DEPENDENCYPART_ARC
(6,15),-1.8042 # DEPENDENCYPART_ARC
(6,16),-2.78941 # DEPENDENCYPART_ARC
(6,17),-1.61292 # DEPENDENCYPART_ARC
(7,1),-0.448712 # DEPENDENCYPART_ARC
(7,2),-1.87548 # DEPENDENCYPART_ARC
(7,3),-0.403009 # DEPENDENCYPART_ARC
(7,4),2.01415 # DEPENDENCYPART_ARC
(7,5),-0.753321 # DEPENDENCYPART_ARC
(7,6),1.04707 # DEPENDENCYPART_ARC
(7,8),-0.223869 # DEPENDENCYPART_ARC
(7,9),-0.0355827 # DEPENDENCYPART_ARC
(7,10),0.169005 # DEPENDENCYPART_ARC
(7,11),0.837074 # DEPENDENCYPART_ARC
(7,12),-0.806396 # DEPENDENCYPART_ARC
(7,13),-0.0753846 # DEPENDENCYPART_ARC
(7,14),0.379441 # DEPENDENCYPART_ARC
(7,15),-0.607296 # DEPENDENCYPART_ARC
(7,16),-1.27671 # DEPENDENCYPART_ARC
(7,17),1.10363 # DEPENDENCYPART_ARC
(8,1),-1.73267 # DEPENDENCYPART_ARC
(8,2),-2.71086 # DEPENDENCYPART_ARC
(8,3),-1.75341 # DEPENDENCYPART_ARC
(8,4),-1.03815 # DEPENDENCYPART_ARC
(8,5),-1.95828 # DEPENDENCYPART_ARC
(8,6),-0.89211 # DEPENDENCYPART_ARC
(8,7),-1.16743 # DEPENDENCYPART_ARC
(8,9),0.518369 # DEPENDENCYPART_ARC
(8,10),-0.50938 # DEPENDENCYPART_ARC
(8,11),-0.131874 # DEPENDENCYPART_ARC
(8,12),-0.798268 # DEPENDENCYPART_ARC
(8,13),-0.740449 # DEPENDENCYPART_ARC
(8,14),-1.04746 # DEPENDENCYPART_ARC
(8,15),-0.83289 # DEPENDENCYPART_ARC
(8,16),-1.5391 # DEPENDENCYPART_ARC
(8,17),-1.35045 # DEPENDENCYPART_ARC
(9,1),-2.38789 # DEPENDENCYPART_ARC
(9,2),-2.97906 # DEPENDENCYPART_ARC
(9,3),-1.47875 # DEPENDENCYPART_ARC
(9,4),-0.880968 # DEPENDENCYPART_ARC
(9,5),-0.988769 # DEPENDENCYPART_ARC
(9,6),-0.546935 # DEPENDENCYPART_ARC
(9,7),-1.56649 # DEPENDENCYPART_ARC
(9,8),0.816593 # DEPENDENCYPART_ARC
(9,10),-0.857801 # DEPENDENCYPART_ARC
(9,11),-0.498158 # DEPENDENCYPART_ARC
(9,12),-1.76953 # DEPENDENCYPART_ARC
(9,13),-1.23984 # DEPENDENCYPART_ARC
(9,14),-0.879654 # DEPENDENCYPART_ARC
(9,15),-1.67101 # DEPENDENCYPART_ARC
(9,16),-2.50148 # DEPENDENCYPART_ARC
(9,17),-0.59785 # DEPENDENCYPART_ARC
(10,1),-0.85669 # DEPENDENCYPART_ARC
(10,2),-2.4652 # DEPENDENCYPART_ARC
(10,3),-1.38697 # DEPENDENCYPART_ARC
(10,4),1.05328 # DEPENDENCYPART_ARC
(10,5),-1.86449 # DEPENDENCYPART_ARC
(10,6),0.191691 # DEPENDENCYPART_ARC
(10,7),-0.473683 # DEPENDENCYPART_ARC
(10,8),3.17398 # DEPENDENCYPART_ARC
(10,9),3.89193 # DEPENDENCYPART_ARC
(10,11),0.411664 # DEPENDENCYPART_ARC
(10,12),-1.17792 # DEPENDENCYPART_ARC
(10,13),-0.285861 # DEPENDENCYPART_ARC
(10,14),0.065396 # DEPENDENCYPART_ARC
(10,15),-0.622338 # DEPENDENCYPART_ARC
(10,16),-1.51601 # DEPENDENCYPART_ARC
(10,17),0.852754 # DEPENDENCYPART_ARC
(11,1),-2.6006 # DEPENDENCYPART_ARC
(11,2),-3.15713 # DEPENDENCYPART_ARC
(11,3),-2.22088 # DEPENDENCYPART_ARC
(11,4),-1.79683 # DEPENDENCYPART_ARC
(11,5),-2.99953 # DEPENDENCYPART_ARC
(11,6),-1.68789 # DEPENDENCYPART_ARC
(11,7),-2.5416 # DEPENDENCYPART_ARC
(11,8),-1.42553 # DEPENDENCYPART_ARC
(11,9),-1.56096 # DEPENDENCYPART_ARC
(11,10),-1.70535 # DEPENDENCYPART_ARC
(11,12),-1.1687 # DEPENDENCYPART_ARC
(11,13),-1.26147 # DEPENDENCYPART_ARC
(11,14),-1.304 # DEPENDENCYPART_ARC
(11,15),-1.48763 # DEPENDENCYPART_ARC
(11,16),-2.22602 # DEPENDENCYPART_ARC
(11,17),-1.29645 # DEPENDENCYPART_ARC
(12,1),-1.57123 # DEPENDENCYPART_ARC
(12,2),-1.47232 # DEPENDENCYPART_ARC
(12,3),-0.458526 # DEPENDENCYPART_ARC
(12,4),-0.906742 # DEPENDENCYPART_ARC
(12,5),-1.94246 # DEPENDENCYPART_ARC
(12,6),-0.505786 # DEPENDENCYPART_ARC
(12,7),-1.19514 # DEPENDENCYPART_ARC
(12,8),-0.588254 # DEPENDENCYPART_ARC
(12,9),-0.947045 # DEPENDENCYPART_ARC
(12,10),-1.70382 # DEPENDENCYPART_ARC
(12,11),-0.48612 # DEPENDENCYPART_ARC
(12,13),-0.618881 # DEPENDENCYPART_ARC
(12,14),-0.551971 # DEPENDENCYPART_ARC
(12,15),-1.37837 # DEPENDENCYPART_ARC
(12,16),-0.996381 # DEPENDENCYPART_ARC
(12,17),-0.466504 # DEPENDENCYPART_ARC
(13,1),-1.71169 # DEPENDENCYPART_ARC
(13,2),-1.88664 # DEPENDENCYPART_ARC
(13,3),-1.49929 # DEPENDENCYPART_ARC
(13,4),-1.56467 # DEPENDENCYPART_ARC
(13,5),-1.71121 # DEPENDENCYPART_ARC
(13,6),-1.36925 # DEPENDENCYPART_ARC
(13,7),-1.17572 # DEPENDENCYPART_ARC
(13,8),-1.39488 # DEPENDENCYPART_ARC
(13,9),-1.11887 # DEPENDENCYPART_ARC
(13,10),-1.10904 # DEPENDENCYPART_ARC
(13,11),-1.08873 # DEPENDENCYPART_ARC
(13,12),-0.0289604 # DEPENDENCYPART_ARC
(13,14),-0.0510208 # DEPENDENCYPART_ARC
(13,15),-0.993595 # DEPENDENCYPART_ARC
(13,16),-0.61119 # DEPENDENCYPART_ARC
(13,17),-0.0723439 # DEPENDENCYPART_ARC
(14,1),-1.56683 # DEPENDENCYPART_ARC
(14,2),-0.19693 # DEPENDENCYPART_ARC
(14,3),0.267231 # DEPENDENCYPART_ARC
(14,4),-1.35919 # DEPENDENCYPART_ARC
(14,5),-0.332054 # DEPENDENCYPART_ARC
(14,6),0.0867585 # DEPENDENCYPART_ARC
(14,7),0.459767 # DEPENDENCYPART_ARC
(14,8),-1.33096 # DEPENDENCYPART_ARC
(14,9),-0.608118 # DEPENDENCYPART_ARC
(14,10),0.204681 # DEPENDENCYPART_ARC
(14,11),0.725908 # DEPENDENCYPART_ARC
(14,12),2.78015 # DEPENDENCYPART_ARC
(14,13),2.80648 # DEPENDENCYPART_ARC
(14,15),0.0873215 # DEPENDENCYPART_ARC
(14,16),3.55031 # DEPENDENCYPART_ARC
(14,17),2.23003 # DEPENDENCYPART_ARC
(15,1),-2.36204 # DEPENDENCYPART_ARC
(15,2),-3.50671 # DEPENDENCYPART_ARC
(15,3),-2.7394 # DEPENDENCYPART_ARC
(15,4),-2.0257 # DEPENDENCYPART_ARC
(15,5),-3.21791 # DEPENDENCYPART_ARC
(15,6),-1.80547 # DEPENDENCYPART_ARC
(15,7),-3.22056 # DEPENDENCYPART_ARC
(15,8),-1.89092 # DEPENDENCYPART_ARC
(15,9),-2.08541 # DEPENDENCYPART_ARC
(15,10),-2.95425 # DEPENDENCYPART_ARC
(15,11),-1.63125 # DEPENDENCYPART_ARC
(15,12),-2.2118 # DEPENDENCYPART_ARC
(15,13),-1.49585 # DEPENDENCYPART_ARC
(15,14),-0.925364 # DEPENDENCYPART_ARC
(15,16),-0.320453 # DEPENDENCYPART_ARC
(15,17),-1.0636 # DEPENDENCYPART_ARC
(16,1),-3.53291 # DEPENDENCYPART_ARC
(16,2),-4.65436 # DEPENDENCYPART_ARC
(16,3),-2.83288 # DEPENDENCYPART_ARC
(16,4),-1.3072 # DEPENDENCYPART_ARC
(16,5),-4.736 # DEPENDENCYPART_ARC
(16,6),-2.0911 # DEPENDENCYPART_ARC
(16,7),-4.05342 # DEPENDENCYPART_ARC
(16,8),-1.17573 # DEPENDENCYPART_ARC
(16,9),-1.71379 # DEPENDENCYPART_ARC
(16,10),-4.19236 # DEPENDENCYPART_ARC
(16,11),-1.94817 # DEPENDENCYPART_ARC
(16,12),-1.67484 # DEPENDENCYPART_ARC
(16,13),-0.753401 # DEPENDENCYPART_ARC
(16,14),-0.909205 # DEPENDENCYPART_ARC
(16,15),3.19055 # DEPENDENCYPART_ARC
(16,17),-0.42259 # DEPENDENCYPART_ARC
(17,1),-3.52286 # DEPENDENCYPART_ARC
(17,2),-4.37121 # DEPENDENCYPART_ARC
(17,3),-3.3152 # DEPENDENCYPART_ARC
(17,4),-3.01365 # DEPENDENCYPART_ARC
(17,5),-4.15894 # DEPENDENCYPART_ARC
(17,6),-2.7896 # DEPENDENCYPART_ARC
(17,7),-3.94864 # DEPENDENCYPART_ARC
(17,8),-2.95574 # DEPENDENCYPART_ARC
(17,9),-3.20381 # DEPENDENCYPART_ARC
(17,10),-3.89272 # DEPENDENCYPART_ARC
(17,11),-2.54154 # DEPENDENCYPART_ARC
(17,12),-2.99443 # DEPENDENCYPART_ARC
(17,13),-2.57716 # DEPENDENCYPART_ARC
(17,14),-2.37826 # DEPENDENCYPART_ARC
(17,15),-1.88646 # DEPENDENCYPART_ARC
(17,16),-2.55877 # DEPENDENCYPART_ARC
