# _root_ Sokan őt okolták ugyanis a vereségért , hiszen a nevéhez fűződött például az 1993-as , nagy port kavart MDF-Fidesz-székházügy .
#goldHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
#predictedHeads=3,3,8,3,6,3,8,0,10,11,8,11,17,19,19,17,18,19,11,8,
(5,12),-0.652068 # DEPENDENCYPART_ARC
(5,13),-0.716762 # DEPENDENCYPART_ARC
(5,14),-0.875011 # DEPENDENCYPART_ARC
(5,15),-0.207935 # DEPENDENCYPART_ARC
(5,16),-1.03392 # DEPENDENCYPART_ARC
(5,17),-1.60552 # DEPENDENCYPART_ARC
(5,18),-1.30885 # DEPENDENCYPART_ARC
(5,19),-1.627 # DEPENDENCYPART_ARC
(5,20),-1.66111 # DEPENDENCYPART_ARC
(6,1),-1.40114 # DEPENDENCYPART_ARC
(6,2),-1.41193 # DEPENDENCYPART_ARC
(6,3),-0.98074 # DEPENDENCYPART_ARC
(6,4),-0.47529 # DEPENDENCYPART_ARC
(6,5),3.33528 # DEPENDENCYPART_ARC
(6,7),-0.199474 # DEPENDENCYPART_ARC
(6,8),-0.713221 # DEPENDENCYPART_ARC
(6,9),-1.00968 # DEPENDENCYPART_ARC
(6,10),-1.09096 # DEPENDENCYPART_ARC
(6,11),-0.571328 # DEPENDENCYPART_ARC
(6,12),-0.896374 # DEPENDENCYPART_ARC
(6,13),-1.26688 # DEPENDENCYPART_ARC
(6,14),-1.55045 # DEPENDENCYPART_ARC
(6,15),-0.737732 # DEPENDENCYPART_ARC
(6,16),-1.48345 # DEPENDENCYPART_ARC
(6,17),-1.61324 # DEPENDENCYPART_ARC
(6,18),-1.72681 # DEPENDENCYPART_ARC
(6,19),-1.82621 # DEPENDENCYPART_ARC
(6,20),-0.0990511 # DEPENDENCYPART_ARC
(7,1),-2.30163 # DEPENDENCYPART_ARC
(7,2),-2.41705 # DEPENDENCYPART_ARC
(7,3),-2.10722 # DEPENDENCYPART_ARC
(7,4),-1.55952 # DEPENDENCYPART_ARC
(7,5),-1.29597 # DEPENDENCYPART_ARC
(7,6),-1.82065 # DEPENDENCYPART_ARC
(7,8),-1.00768 # DEPENDENCYPART_ARC
(7,9),-1.31457 # DEPENDENCYPART_ARC
(7,10),-1.99493 # DEPENDENCYPART_ARC
(7,11),-1.46363 # DEPENDENCYPART_ARC
(7,12),-1.60827 # DEPENDENCYPART_ARC
(7,13),-1.60415 # DEPENDENCYPART_ARC
(7,14),-1.80486 # DEPENDENCYPART_ARC
(7,15),-1.31348 # DEPENDENCYPART_ARC
(7,16),-1.87035 # DEPENDENCYPART_ARC
(7,17),-2.49674 # DEPENDENCYPART_ARC
(7,18),-1.91296 # DEPENDENCYPART_ARC
(7,19),-2.81207 # DEPENDENCYPART_ARC
(7,20),-1.6563 # DEPENDENCYPART_ARC
(8,1),0.911751 # DEPENDENCYPART_ARC
(8,2),-0.281704 # DEPENDENCYPART_ARC
(8,3),1.80635 # DEPENDENCYPART_ARC
(8,4),1.21979 # DEPENDENCYPART_ARC
(8,5),0.467282 # DEPENDENCYPART_ARC
(8,6),0.363345 # DEPENDENCYPART_ARC
(8,7),2.3615 # DEPENDENCYPART_ARC
(8,9),0.236975 # DEPENDENCYPART_ARC
(8,10),0.311709 # DEPENDENCYPART_ARC
(8,11),2.48634 # DEPENDENCYPART_ARC
(8,12),0.419009 # DEPENDENCYPART_ARC
(8,13),-0.0025925 # DEPENDENCYPART_ARC
(8,14),0.141476 # DEPENDENCYPART_ARC
(8,15),1.01093 # DEPENDENCYPART_ARC
(8,16),-0.0885034 # DEPENDENCYPART_ARC
(8,17),-0.195667 # DEPENDENCYPART_ARC
(8,18),-0.082622 # DEPENDENCYPART_ARC
(8,19),-0.253513 # DEPENDENCYPART_ARC
(8,20),3.68824 # DEPENDENCYPART_ARC
(9,1),-1.89485 # DEPENDENCYPART_ARC
(9,2),-2.46576 # DEPENDENCYPART_ARC
(9,3),-1.95035 # DEPENDENCYPART_ARC
(9,4),-1.35116 # DEPENDENCYPART_ARC
(9,5),-1.22677 # DEPENDENCYPART_ARC
(9,6),-2.1414 # DEPENDENCYPART_ARC
(9,7),-0.869043 # DEPENDENCYPART_ARC
(9,8),-0.274896 # DEPENDENCYPART_ARC
(9,10),-0.623437 # DEPENDENCYPART_ARC
(9,11),-0.68022 # DEPENDENCYPART_ARC
(9,12),-0.684605 # DEPENDENCYPART_ARC
(9,13),-0.769616 # DEPENDENCYPART_ARC
(9,14),-0.625833 # DEPENDENCYPART_ARC
(9,15),-0.357883 # DEPENDENCYPART_ARC
(9,16),-0.922917 # DEPENDENCYPART_ARC
(9,17),-1.56568 # DEPENDENCYPART_ARC
(9,18),-1.15566 # DEPENDENCYPART_ARC
(9,19),-1.55991 # DEPENDENCYPART_ARC
(9,20),-1.65744 # DEPENDENCYPART_ARC
(10,1),-1.24095 # DEPENDENCYPART_ARC
(10,2),-2.64981 # DEPENDENCYPART_ARC
(10,3),-1.30717 # DEPENDENCYPART_ARC
(10,4),-0.597469 # DEPENDENCYPART_ARC
(10,5),-0.271424 # DEPENDENCYPART_ARC
(10,6),-0.78926 # DEPENDENCYPART_ARC
(10,7),0.0644645 # DEPENDENCYPART_ARC
(10,8),0.289208 # DEPENDENCYPART_ARC
(10,9),2.68336 # DEPENDENCYPART_ARC
(10,11),-1.36966 # DEPENDENCYPART_ARC
(10,12),-1.21111 # DEPENDENCYPART_ARC
(10,13),-1.5645 # DEPENDENCYPART_ARC
(10,14),-1.54748 # DEPENDENCYPART_ARC
(10,15),-0.936418 # DEPENDENCYPART_ARC
(10,16),-1.62557 # DEPENDENCYPART_ARC
(10,17),-1.97953 # DEPENDENCYPART_ARC
(10,18),-1.80095 # DEPENDENCYPART_ARC
(10,19),-1.85258 # DEPENDENCYPART_ARC
(10,20),-0.690944 # DEPENDENCYPART_ARC
(11,1),0.61123 # DEPENDENCYPART_ARC
(11,2),-1.20269 # DEPENDENCYPART_ARC
(11,3),-0.439925 # DEPENDENCYPART_ARC
(11,4),1.09616 # DEPENDENCYPART_ARC
(11,5),-0.736756 # DEPENDENCYPART_ARC
(11,6),0.313342 # DEPENDENCYPART_ARC
(11,7),0.796178 # DEPENDENCYPART_ARC
(11,8),1.01269 # DEPENDENCYPART_ARC
(11,9),-0.126277 # DEPENDENCYPART_ARC
(11,10),2.6825 # DEPENDENCYPART_ARC
(11,12),3.11838 # DEPENDENCYPART_ARC
(11,13),0.407148 # DEPENDENCYPART_ARC
(11,14),0.395265 # DEPENDENCYPART_ARC
(11,15),1.37984 # DEPENDENCYPART_ARC
(11,16),-0.10673 # DEPENDENCYPART_ARC
(11,17),0.0307325 # DEPENDENCYPART_ARC
(11,18),-0.308693 # DEPENDENCYPART_ARC
(11,19),1.48694 # DEPENDENCYPART_ARC
(11,20),2.05381 # DEPENDENCYPART_ARC
(12,1),-0.330241 # DEPENDENCYPART_ARC
(12,2),-0.795293 # DEPENDENCYPART_ARC
(12,3),-0.718251 # DEPENDENCYPART_ARC
(12,4),-0.377257 # DEPENDENCYPART_ARC
(12,5),-0.959928 # DEPENDENCYPART_ARC
(12,6),-0.68048 # DEPENDENCYPART_ARC
(12,7),-0.296026 # DEPENDENCYPART_ARC
(12,8),-0.203903 # DEPENDENCYPART_ARC
(12,9),-0.429984 # DEPENDENCYPART_ARC
(12,10),0.329545 # DEPENDENCYPART_ARC
(12,11),0.314573 # DEPENDENCYPART_ARC
(12,13),-0.521016 # DEPENDENCYPART_ARC
(12,14),-0.0823648 # DEPENDENCYPART_ARC
(12,15),0.0606427 # DEPENDENCYPART_ARC
(12,16),-0.429345 # DEPENDENCYPART_ARC
(12,17),-0.117704 # DEPENDENCYPART_ARC
(12,18),-0.771469 # DEPENDENCYPART_ARC
(12,19),-0.160598 # DEPENDENCYPART_ARC
(12,20),0.183317 # DEPENDENCYPART_ARC
(13,1),-2.04599 # DEPENDENCYPART_ARC
(13,2),-2.61288 # DEPENDENCYPART_ARC
(13,3),-1.79989 # DEPENDENCYPART_ARC
(13,4),-1.42362 # DEPENDENCYPART_ARC
(13,5),-1.58322 # DEPENDENCYPART_ARC
(13,6),-2.67339 # DEPENDENCYPART_ARC
(13,7),-1.17422 # DEPENDENCYPART_ARC
(13,8),-1.47452 # DEPENDENCYPART_ARC
(13,9),-1.36541 # DEPENDENCYPART_ARC
(13,10),-2.49392 # DEPENDENCYPART_ARC
(13,11),-1.11078 # DEPENDENCYPART_ARC
(13,12),-0.316965 # DEPENDENCYPART_ARC
(13,14),0.827759 # DEPENDENCYPART_ARC
(13,15),0.243793 # DEPENDENCYPART_ARC
(13,16),0.19575 # DEPENDENCYPART_ARC
(13,17),-0.809154 # DEPENDENCYPART_ARC
(13,18),-0.0566163 # DEPENDENCYPART_ARC
(13,19),-1.05189 # DEPENDENCYPART_ARC
(13,20),-0.683915 # DEPENDENCYPART_ARC
(14,1),-1.95112 # DEPENDENCYPART_ARC
(14,2),-1.52127 # DEPENDENCYPART_ARC
(14,3),-1.67838 # DEPENDENCYPART_ARC
(14,4),-1.00782 # DEPENDENCYPART_ARC
(14,5),-1.66766 # DEPENDENCYPART_ARC
(14,6),-1.04302 # DEPENDENCYPART_ARC
(14,7),-0.894653 # DEPENDENCYPART_ARC
(14,8),-0.920375 # DEPENDENCYPART_ARC
(14,9),-1.16002 # DEPENDENCYPART_ARC
(14,10),-0.975987 # DEPENDENCYPART_ARC
(14,11),-1.12488 # DEPENDENCYPART_ARC
(14,12),0.142843 # DEPENDENCYPART_ARC
(14,13),0.969573 # DEPENDENCYPART_ARC
(14,15),0.127879 # DEPENDENCYPART_ARC
(14,16),-0.704331 # DEPENDENCYPART_ARC
(14,17),-1.20249 # DEPENDENCYPART_ARC
(14,18),-0.885487 # DEPENDENCYPART_ARC
(14,19),-0.934657 # DEPENDENCYPART_ARC
(14,20),-0.163062 # DEPENDENCYPART_ARC
(15,1),-2.30291 # DEPENDENCYPART_ARC
(15,2),-2.41261 # DEPENDENCYPART_ARC
(15,3),-2.38593 # DEPENDENCYPART_ARC
(15,4),-1.93591 # DEPENDENCYPART_ARC
(15,5),-1.98215 # DEPENDENCYPART_ARC
(15,6),-2.89882 # DEPENDENCYPART_ARC
(15,7),-1.74314 # DEPENDENCYPART_ARC
(15,8),-1.71129 # DEPENDENCYPART_ARC
(15,9),-1.79994 # DEPENDENCYPART_ARC
(15,10),-2.57457 # DEPENDENCYPART_ARC
(15,11),-1.70246 # DEPENDENCYPART_ARC
(15,12),-1.20039 # DEPENDENCYPART_ARC
(15,13),-0.895392 # DEPENDENCYPART_ARC
(15,14),-0.821624 # DEPENDENCYPART_ARC
(15,16),-0.926466 # DEPENDENCYPART_ARC
(15,17),-1.413 # DEPENDENCYPART_ARC
(15,18),-1.34582 # DEPENDENCYPART_ARC
(15,19),-1.97735 # DEPENDENCYPART_ARC
(15,20),-1.43085 # DEPENDENCYPART_ARC
(16,1),-1.90868 # DEPENDENCYPART_ARC
(16,2),-1.43803 # DEPENDENCYPART_ARC
(16,3),-1.43813 # DEPENDENCYPART_ARC
(16,4),-0.904989 # DEPENDENCYPART_ARC
(16,5),-1.63441 # DEPENDENCYPART_ARC
(16,6),-1.30822 # DEPENDENCYPART_ARC
(16,7),-0.625464 # DEPENDENCYPART_ARC
(16,8),-0.77982 # DEPENDENCYPART_ARC
(16,9),-1.12709 # DEPENDENCYPART_ARC
(16,10),-1.32022 # DEPENDENCYPART_ARC
(16,11),-1.18965 # DEPENDENCYPART_ARC
(16,12),-0.222051 # DEPENDENCYPART_ARC
(16,13),-0.121706 # DEPENDENCYPART_ARC
(16,14),0.108815 # DEPENDENCYPART_ARC
(16,15),0.487484 # DEPENDENCYPART_ARC
(16,17),-0.405122 # DEPENDENCYPART_ARC
(16,18),-0.407594 # DEPENDENCYPART_ARC
(16,19),-0.4645 # DEPENDENCYPART_ARC
(16,20),-0.340538 # DEPENDENCYPART_ARC
(17,1),-1.27706 # DEPENDENCYPART_ARC
(17,2),-0.950973 # DEPENDENCYPART_ARC
(17,3),-1.36765 # DEPENDENCYPART_ARC
(17,4),-1.40846 # DEPENDENCYPART_ARC
(17,5),-0.776783 # DEPENDENCYPART_ARC
(17,6),-3.80014 # DEPENDENCYPART_ARC
(17,7),-1.3027 # DEPENDENCYPART_ARC
(17,8),-0.966346 # DEPENDENCYPART_ARC
(17,9),0.226438 # DEPENDENCYPART_ARC
(17,10),-3.33247 # DEPENDENCYPART_ARC
(17,11),-1.03738 # DEPENDENCYPART_ARC
(17,12),0.00986797 # DEPENDENCYPART_ARC
(17,13),2.0235 # DEPENDENCYPART_ARC
(17,14),1.76493 # DEPENDENCYPART_ARC
(17,15),1.59574 # DEPENDENCYPART_ARC
(17,16),3.56095 # DEPENDENCYPART_ARC
(17,18),-0.46026 # DEPENDENCYPART_ARC
(17,19),-0.265632 # DEPENDENCYPART_ARC
(17,20),0.121431 # DEPENDENCYPART_ARC
(18,1),-1.11429 # DEPENDENCYPART_ARC
(18,2),-0.775874 # DEPENDENCYPART_ARC
(18,3),-0.924063 # DEPENDENCYPART_ARC
(18,4),-0.305196 # DEPENDENCYPART_ARC
(18,5),-1.20424 # DEPENDENCYPART_ARC
(18,6),-0.0767278 # DEPENDENCYPART_ARC
(18,7),-0.260158 # DEPENDENCYPART_ARC
(18,8),-0.297578 # DEPENDENCYPART_ARC
(18,9),-0.717817 # DEPENDENCYPART_ARC
(18,10),-0.0770688 # DEPENDENCYPART_ARC
(18,11),-0.74614 # DEPENDENCYPART_ARC
(18,12),0.231095 # DEPENDENCYPART_ARC
(18,13),0.177303 # DEPENDENCYPART_ARC
(18,14),-0.0937856 # DEPENDENCYPART_ARC
(18,15),0.638785 # DEPENDENCYPART_ARC
(18,16),0.685689 # DEPENDENCYPART_ARC
(18,17),2.56594 # DEPENDENCYPART_ARC
(18,19),-0.361234 # DEPENDENCYPART_ARC
(18,20),-0.578382 # DEPENDENCYPART_ARC
(19,1),-1.05608 # DEPENDENCYPART_ARC
(19,2),-3.00263 # DEPENDENCYPART_ARC
(19,3),-0.75524 # DEPENDENCYPART_ARC
(19,4),-1.20235 # DEPENDENCYPART_ARC
(19,5),-0.821642 # DEPENDENCYPART_ARC
(19,6),-3.32283 # DEPENDENCYPART_ARC
(19,7),-1.05614 # DEPENDENCYPART_ARC
(19,8),-0.802788 # DEPENDENCYPART_ARC
(19,9),0.152299 # DEPENDENCYPART_ARC
(19,10),-3.07331 # DEPENDENCYPART_ARC
(19,11),0.0274664 # DEPENDENCYPART_ARC
(19,12),0.0688655 # DEPENDENCYPART_ARC
(19,13),1.85638 # DEPENDENCYPART_ARC
(19,14),2.07813 # DEPENDENCYPART_ARC
(19,15),2.23796 # DEPENDENCYPART_ARC
(19,16),1.99663 # DEPENDENCYPART_ARC
(19,17),-0.189061 # DEPENDENCYPART_ARC
(19,18),3.77734 # DEPENDENCYPART_ARC
(19,20),0.220579 # DEPENDENCYPART_ARC
(20,1),-3.33219 # DEPENDENCYPART_ARC
(20,2),-3.54231 # DEPENDENCYPART_ARC
(20,3),-3.35785 # DEPENDENCYPART_ARC
(20,4),-3.04014 # DEPENDENCYPART_ARC
(20,5),-3.13422 # DEPENDENCYPART_ARC
(20,6),-4.19738 # DEPENDENCYPART_ARC
(20,7),-2.79169 # DEPENDENCYPART_ARC
(20,8),-2.91288 # DEPENDENCYPART_ARC
(20,9),-2.9839 # DEPENDENCYPART_ARC
(20,10),-3.99662 # DEPENDENCYPART_ARC
(20,11),-2.90797 # DEPENDENCYPART_ARC
(20,12),-2.66164 # DEPENDENCYPART_ARC
(20,13),-2.55769 # DEPENDENCYPART_ARC
(20,14),-2.81347 # DEPENDENCYPART_ARC
(20,15),-2.37143 # DEPENDENCYPART_ARC
(20,16),-2.62867 # DEPENDENCYPART_ARC
(20,17),-3.17228 # DEPENDENCYPART_ARC
(20,18),-2.2176 # DEPENDENCYPART_ARC
(20,19),-2.57736 # DEPENDENCYPART_ARC
