# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,6,16,19,18,19,12,8,
(4,8),-0.606988 # DEPENDENCYPART_ARC
(4,9),-0.876402 # DEPENDENCYPART_ARC
(4,10),-1.30888 # DEPENDENCYPART_ARC
(4,11),-1.31281 # DEPENDENCYPART_ARC
(4,12),-1.52822 # DEPENDENCYPART_ARC
(4,13),-0.542318 # DEPENDENCYPART_ARC
(4,14),-0.624368 # DEPENDENCYPART_ARC
(4,15),-1.30138 # DEPENDENCYPART_ARC
(4,16),-1.993 # DEPENDENCYPART_ARC
(4,17),-1.18681 # DEPENDENCYPART_ARC
(4,18),-1.6145 # DEPENDENCYPART_ARC
(4,19),-0.808507 # DEPENDENCYPART_ARC
(4,20),0.582278 # DEPENDENCYPART_ARC
(5,1),-0.144102 # DEPENDENCYPART_ARC
(5,2),-1.54502 # DEPENDENCYPART_ARC
(5,3),0.137859 # DEPENDENCYPART_ARC
(5,4),1.82183 # DEPENDENCYPART_ARC
(5,6),-0.79443 # DEPENDENCYPART_ARC
(5,7),-0.619634 # DEPENDENCYPART_ARC
(5,8),-0.868723 # DEPENDENCYPART_ARC
(5,9),-1.23253 # DEPENDENCYPART_ARC
(5,10),-1.70988 # DEPENDENCYPART_ARC
(5,11),-1.66202 # DEPENDENCYPART_ARC
(5,12),-1.89239 # DEPENDENCYPART_ARC
(5,13),-0.861022 # DEPENDENCYPART_ARC
(5,14),-0.989591 # DEPENDENCYPART_ARC
(5,15),-1.64974 # DEPENDENCYPART_ARC
(5,16),-2.29576 # DEPENDENCYPART_ARC
(5,17),-1.6127 # DEPENDENCYPART_ARC
(5,18),-2.00004 # DEPENDENCYPART_ARC
(5,19),-1.27185 # DEPENDENCYPART_ARC
(5,20),0.12336 # DEPENDENCYPART_ARC
(6,1),0.276185 # DEPENDENCYPART_ARC
(6,2),2.59371 # DEPENDENCYPART_ARC
(6,3),3.08609 # DEPENDENCYPART_ARC
(6,4),2.25389 # DEPENDENCYPART_ARC
(6,5),3.55557 # DEPENDENCYPART_ARC
(6,7),1.8204 # DEPENDENCYPART_ARC
(6,8),0.795639 # DEPENDENCYPART_ARC
(6,9),0.0401229 # DEPENDENCYPART_ARC
(6,10),-0.7522 # DEPENDENCYPART_ARC
(6,11),-0.801956 # DEPENDENCYPART_ARC
(6,12),0.00880453 # DEPENDENCYPART_ARC
(6,13),0.371894 # DEPENDENCYPART_ARC
(6,14),0.946113 # DEPENDENCYPART_ARC
(6,15),-0.975929 # DEPENDENCYPART_ARC
(6,16),-2.69949 # DEPENDENCYPART_ARC
(6,17),-1.33432 # DEPENDENCYPART_ARC
(6,18),-2.69702 # DEPENDENCYPART_ARC
(6,19),1.11614 # DEPENDENCYPART_ARC
(6,20),2.45595 # DEPENDENCYPART_ARC
(8,1),-0.130654 # DEPENDENCYPART_ARC
(8,2),-0.585478 # DEPENDENCYPART_ARC
(8,3),0.879415 # DEPENDENCYPART_ARC
(8,4),0.447584 # DEPENDENCYPART_ARC
(8,5),0.376443 # DEPENDENCYPART_ARC
(8,6),2.50876 # DEPENDENCYPART_ARC
(8,7),2.8266 # DEPENDENCYPART_ARC
(8,9),-0.0705479 # DEPENDENCYPART_ARC
(8,10),-0.28645 # DEPENDENCYPART_ARC
(8,11),-0.619776 # DEPENDENCYPART_ARC
(8,12),-0.571993 # DEPENDENCYPART_ARC
(8,13),-0.203628 # DEPENDENCYPART_ARC
(8,14),0.937757 # DEPENDENCYPART_ARC
(8,15),-0.593742 # DEPENDENCYPART_ARC
(8,16),-1.28067 # DEPENDENCYPART_ARC
(8,17),-0.162856 # DEPENDENCYPART_ARC
(8,18),-1.41103 # DEPENDENCYPART_ARC
(8,19),1.31626 # DEPENDENCYPART_ARC
(8,20),3.60568 # DEPENDENCYPART_ARC
(9,1),-0.920142 # DEPENDENCYPART_ARC
(9,2),-0.466546 # DEPENDENCYPART_ARC
(9,3),-0.169698 # DEPENDENCYPART_ARC
(9,4),-0.537489 # DEPENDENCYPART_ARC
(9,5),-0.424577 # DEPENDENCYPART_ARC
(9,6),0.205737 # DEPENDENCYPART_ARC
(9,7),0.248488 # DEPENDENCYPART_ARC
(9,8),0.643596 # DEPENDENCYPART_ARC
(9,10),0.0788314 # DEPENDENCYPART_ARC
(9,11),0.668467 # DEPENDENCYPART_ARC
(9,12),-0.0853572 # DEPENDENCYPART_ARC
(9,13),0.404209 # DEPENDENCYPART_ARC
(9,14),0.72877 # DEPENDENCYPART_ARC
(9,15),-0.276837 # DEPENDENCYPART_ARC
(9,16),-0.452121 # DEPENDENCYPART_ARC
(9,17),-0.226016 # DEPENDENCYPART_ARC
(9,18),-0.375275 # DEPENDENCYPART_ARC
(9,19),0.686621 # DEPENDENCYPART_ARC
(9,20),1.40613 # DEPENDENCYPART_ARC
(10,2),-1.16966 # DEPENDENCYPART_ARC
(10,3),-0.361788 # DEPENDENCYPART_ARC
(10,7),-0.0873531 # DEPENDENCYPART_ARC
(10,8),-0.14723 # DEPENDENCYPART_ARC
(10,9),0.176585 # DEPENDENCYPART_ARC
(10,11),-0.133205 # DEPENDENCYPART_ARC
(10,13),-0.036423 # DEPENDENCYPART_ARC
(10,16),-0.622056 # DEPENDENCYPART_ARC
(10,18),-1.42374 # DEPENDENCYPART_ARC
(10,20),-0.0685327 # DEPENDENCYPART_ARC
(11,1),-1.2117 # DEPENDENCYPART_ARC
(11,2),-0.0908623 # DEPENDENCYPART_ARC
(11,3),-0.640442 # DEPENDENCYPART_ARC
(11,4),-3.59457 # DEPENDENCYPART_ARC
(11,5),-3.44685 # DEPENDENCYPART_ARC
(11,6),-1.76523 # DEPENDENCYPART_ARC
(11,7),0.0697462 # DEPENDENCYPART_ARC
(11,8),0.78887 # DEPENDENCYPART_ARC
(11,9),0.75578 # DEPENDENCYPART_ARC
(11,10),3.10182 # DEPENDENCYPART_ARC
(11,12),-1.90341 # DEPENDENCYPART_ARC
(11,13),-0.300923 # DEPENDENCYPART_ARC
(11,14),-0.829873 # DEPENDENCYPART_ARC
(11,15),-1.1203 # DEPENDENCYPART_ARC
(11,16),-0.876402 # DEPENDENCYPART_ARC
(11,17),-1.30509 # DEPENDENCYPART_ARC
(11,18),-1.50089 # DEPENDENCYPART_ARC
(11,19),-0.890901 # DEPENDENCYPART_ARC
(11,20),0.247622 # DEPENDENCYPART_ARC
(12,1),-0.531811 # DEPENDENCYPART_ARC
(12,2),-1.04846 # DEPENDENCYPART_ARC
(12,3),-0.217348 # DEPENDENCYPART_ARC
(12,4),-0.468348 # DEPENDENCYPART_ARC
(12,5),-0.462666 # DEPENDENCYPART_ARC
(12,6),-0.49668 # DEPENDENCYPART_ARC
(12,7),-0.055139 # DEPENDENCYPART_ARC
(12,8),0.0909441 # DEPENDENCYPART_ARC
(12,9),0.229154 # DEPENDENCYPART_ARC
(12,10),0.145436 # DEPENDENCYPART_ARC
(12,11),0.163167 # DEPENDENCYPART_ARC
(12,13),0.159447 # DEPENDENCYPART_ARC
(12,14),-0.456774 # DEPENDENCYPART_ARC
(12,15),-0.648352 # DEPENDENCYPART_ARC
(12,16),-0.175182 # DEPENDENCYPART_ARC
(12,17),0.0162881 # DEPENDENCYPART_ARC
(12,18),-0.925921 # DEPENDENCYPART_ARC
(12,19),1.94759 # DEPENDENCYPART_ARC
(12,20),0.619268 # DEPENDENCYPART_ARC
(14,1),-0.72085 # DEPENDENCYPART_ARC
(14,2),-0.712899 # DEPENDENCYPART_ARC
(14,3),-0.0589706 # DEPENDENCYPART_ARC
(14,4),0.0725083 # DEPENDENCYPART_ARC
(14,5),-0.308589 # DEPENDENCYPART_ARC
(14,6),-0.831163 # DEPENDENCYPART_ARC
(14,7),0.440442 # DEPENDENCYPART_ARC
(14,8),1.04221 # DEPENDENCYPART_ARC
(14,9),1.18975 # DEPENDENCYPART_ARC
(14,11),1.30647 # DEPENDENCYPART_ARC
(14,12),0.988752 # DEPENDENCYPART_ARC
(14,13),1.15459 # DEPENDENCYPART_ARC
(14,15),-0.48247 # DEPENDENCYPART_ARC
(14,16),-0.239822 # DEPENDENCYPART_ARC
(14,17),0.00592325 # DEPENDENCYPART_ARC
(14,18),-1.08866 # DEPENDENCYPART_ARC
(14,19),1.15546 # DEPENDENCYPART_ARC
(14,20),1.59312 # DEPENDENCYPART_ARC
(15,2),-4.08578 # DEPENDENCYPART_ARC
(15,3),-2.58642 # DEPENDENCYPART_ARC
(15,4),-2.66232 # DEPENDENCYPART_ARC
(15,5),-2.5589 # DEPENDENCYPART_ARC
(15,7),-1.64433 # DEPENDENCYPART_ARC
(15,8),-2.05303 # DEPENDENCYPART_ARC
(15,11),-3.82889 # DEPENDENCYPART_ARC
(15,13),-1.57538 # DEPENDENCYPART_ARC
(15,16),-0.479503 # DEPENDENCYPART_ARC
(15,17),-0.256828 # DEPENDENCYPART_ARC
(15,18),-1.30819 # DEPENDENCYPART_ARC
(16,1),-1.78645 # DEPENDENCYPART_ARC
(16,2),-4.01147 # DEPENDENCYPART_ARC
(16,3),-2.141 # DEPENDENCYPART_ARC
(16,4),-4.56924 # DEPENDENCYPART_ARC
(16,5),-4.53507 # DEPENDENCYPART_ARC
(16,6),-3.0616 # DEPENDENCYPART_ARC
(16,7),-1.37844 # DEPENDENCYPART_ARC
(16,8),-0.734928 # DEPENDENCYPART_ARC
(16,9),-1.21027 # DEPENDENCYPART_ARC
(16,10),-0.76552 # DEPENDENCYPART_ARC
(16,11),-2.51575 # DEPENDENCYPART_ARC
(16,12),-1.44188 # DEPENDENCYPART_ARC
(16,13),-0.364746 # DEPENDENCYPART_ARC
(16,14),-0.911399 # DEPENDENCYPART_ARC
(16,15),3.37167 # DEPENDENCYPART_ARC
(16,17),-0.667846 # DEPENDENCYPART_ARC
(16,18),-1.00198 # DEPENDENCYPART_ARC
(16,19),-0.762502 # DEPENDENCYPART_ARC
(16,20),-0.592737 # DEPENDENCYPART_ARC
(17,1),-1.72695 # DEPENDENCYPART_ARC
(17,2),-2.36401 # DEPENDENCYPART_ARC
(17,3),-0.0523289 # DEPENDENCYPART_ARC
(17,4),-0.909864 # DEPENDENCYPART_ARC
(17,5),-1.18158 # DEPENDENCYPART_ARC
(17,6),-1.26447 # DEPENDENCYPART_ARC
(17,7),-0.681031 # DEPENDENCYPART_ARC
(17,8),-0.627678 # DEPENDENCYPART_ARC
(17,9),-0.456565 # DEPENDENCYPART_ARC
(17,10),-1.16913 # DEPENDENCYPART_ARC
(17,11),-1.55825 # DEPENDENCYPART_ARC
(17,12),-1.02843 # DEPENDENCYPART_ARC
(17,13),-0.186768 # DEPENDENCYPART_ARC
(17,14),-0.218696 # DEPENDENCYPART_ARC
(17,15),0.497225 # DEPENDENCYPART_ARC
(17,16),1.4636 # DEPENDENCYPART_ARC
(17,18),-0.455985 # DEPENDENCYPART_ARC
(17,19),-0.31525 # DEPENDENCYPART_ARC
(17,20),-0.76497 # DEPENDENCYPART_ARC
(18,1),-1.53188 # DEPENDENCYPART_ARC
(18,2),-3.51898 # DEPENDENCYPART_ARC
(18,3),-1.32853 # DEPENDENCYPART_ARC
(18,4),-2.80194 # DEPENDENCYPART_ARC
(18,5),-2.81446 # DEPENDENCYPART_ARC
(18,6),-2.12952 # DEPENDENCYPART_ARC
(18,7),-0.564962 # DEPENDENCYPART_ARC
(18,8),0.727042 # DEPENDENCYPART_ARC
(18,9),-0.154123 # DEPENDENCYPART_ARC
(18,10),0.281513 # DEPENDENCYPART_ARC
(18,11),-1.77608 # DEPENDENCYPART_ARC
(18,12),0.420321 # DEPENDENCYPART_ARC
(18,13),0.431562 # DEPENDENCYPART_ARC
(18,14),-0.00721985 # DEPENDENCYPART_ARC
(18,15),1.88937 # DEPENDENCYPART_ARC
(18,16),0.545586 # DEPENDENCYPART_ARC
(18,17),3.48591 # DEPENDENCYPART_ARC
(18,19),-0.87099 # DEPENDENCYPART_ARC
(18,20),-0.896356 # DEPENDENCYPART_ARC
(19,1),-0.199299 # DEPENDENCYPART_ARC
(19,2),-0.728367 # DEPENDENCYPART_ARC
(19,3),1.32284 # DEPENDENCYPART_ARC
(19,4),-0.532612 # DEPENDENCYPART_ARC
(19,5),0.0298759 # DEPENDENCYPART_ARC
(19,6),-0.82629 # DEPENDENCYPART_ARC
(19,7),-0.0836349 # DEPENDENCYPART_ARC
(19,8),0.611053 # DEPENDENCYPART_ARC
(19,9),0.919982 # DEPENDENCYPART_ARC
(19,10),-0.90191 # DEPENDENCYPART_ARC
(19,11),0.941899 # DEPENDENCYPART_ARC
(19,12),0.829212 # DEPENDENCYPART_ARC
(19,13),0.846303 # DEPENDENCYPART_ARC
(19,14),0.235357 # DEPENDENCYPART_ARC
(19,15),0.364187 # DEPENDENCYPART_ARC
(19,16),2.06401 # DEPENDENCYPART_ARC
(19,17),0.784005 # DEPENDENCYPART_ARC
(19,18),3.55814 # DEPENDENCYPART_ARC
(19,20),1.29809 # DEPENDENCYPART_ARC
