# _root_ Nem vitás , ez a helyi fórum nem tartozott a térségi lapok élgárdájába , sőt !
#goldHeads=2,0,2,7,7,7,9,9,2,12,12,13,9,9,9,2,
#predictedHeads=2,7,2,9,7,7,9,9,0,12,12,13,9,9,9,9,
(12,7),-2.36286 # DEPENDENCYPART_ARC
(12,8),-0.311692 # DEPENDENCYPART_ARC
(12,9),-0.868095 # DEPENDENCYPART_ARC
(12,10),2.95732 # DEPENDENCYPART_ARC
(12,11),3.7507 # DEPENDENCYPART_ARC
(12,13),-1.38078 # DEPENDENCYPART_ARC
(12,14),-0.44054 # DEPENDENCYPART_ARC
(12,15),-0.808358 # DEPENDENCYPART_ARC
(12,16),-0.679252 # DEPENDENCYPART_ARC
(13,1),-0.761439 # DEPENDENCYPART_ARC
(13,2),-2.61202 # DEPENDENCYPART_ARC
(13,3),-0.921766 # DEPENDENCYPART_ARC
(13,4),-1.48842 # DEPENDENCYPART_ARC
(13,5),-1.22444 # DEPENDENCYPART_ARC
(13,6),-1.20695 # DEPENDENCYPART_ARC
(13,7),-1.33433 # DEPENDENCYPART_ARC
(13,8),-0.207987 # DEPENDENCYPART_ARC
(13,9),-2.23336 # DEPENDENCYPART_ARC
(13,10),0.949034 # DEPENDENCYPART_ARC
(13,11),1.5195 # DEPENDENCYPART_ARC
(13,12),4.25551 # DEPENDENCYPART_ARC
(13,14),0.11704 # DEPENDENCYPART_ARC
(13,15),-0.432462 # DEPENDENCYPART_ARC
(13,16),-0.146181 # DEPENDENCYPART_ARC
(15,2),-0.302507 # DEPENDENCYPART_ARC
(15,3),-0.350239 # DEPENDENCYPART_ARC
(15,4),-0.511548 # DEPENDENCYPART_ARC
(15,5),-0.187946 # DEPENDENCYPART_ARC
(15,6),-0.231912 # DEPENDENCYPART_ARC
(15,7),-0.571037 # DEPENDENCYPART_ARC
(15,9),-0.0824147 # DEPENDENCYPART_ARC
(15,10),0.250552 # DEPENDENCYPART_ARC
(15,11),0.320708 # DEPENDENCYPART_ARC
(15,12),0.257422 # DEPENDENCYPART_ARC
(15,13),0.495666 # DEPENDENCYPART_ARC
(15,14),1.14645 # DEPENDENCYPART_ARC
(15,16),0.615907 # DEPENDENCYPART_ARC
