# _root_ Szkuratov irodáját lepecsételték , az ügyészséget első helyettese , Jurij_Csajka irányítja egyelőre .
#goldHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
#predictedHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
(11,9),1.94449 # DEPENDENCYPART_ARC
(11,10),4.40658 # DEPENDENCYPART_ARC
(11,12),3.24904 # DEPENDENCYPART_ARC
(11,13),2.10207 # DEPENDENCYPART_ARC
(12,1),-0.236787 # DEPENDENCYPART_ARC
(12,2),-0.20271 # DEPENDENCYPART_ARC
(12,3),-0.386044 # DEPENDENCYPART_ARC
(12,4),-0.316472 # DEPENDENCYPART_ARC
(12,5),-0.432042 # DEPENDENCYPART_ARC
(12,6),0.19829 # DEPENDENCYPART_ARC
(12,7),-0.192208 # DEPENDENCYPART_ARC
(12,8),0.0905629 # DEPENDENCYPART_ARC
(12,9),0.194083 # DEPENDENCYPART_ARC
(12,10),0.778604 # DEPENDENCYPART_ARC
(12,11),0.704784 # DEPENDENCYPART_ARC
(12,13),0.547815 # DEPENDENCYPART_ARC
(13,1),-4.20454 # DEPENDENCYPART_ARC
(13,2),-4.2022 # DEPENDENCYPART_ARC
(13,3),-3.33012 # DEPENDENCYPART_ARC
(13,4),-2.79574 # DEPENDENCYPART_ARC
(13,5),-2.99842 # DEPENDENCYPART_ARC
(13,6),-3.89108 # DEPENDENCYPART_ARC
(13,7),-2.99569 # DEPENDENCYPART_ARC
(13,8),-3.68693 # DEPENDENCYPART_ARC
(13,9),-2.62233 # DEPENDENCYPART_ARC
(13,10),-3.34717 # DEPENDENCYPART_ARC
(13,11),-2.2685 # DEPENDENCYPART_ARC
(13,12),-1.53481 # DEPENDENCYPART_ARC
