# _root_ Hogy pontosan mennyi , azt a Központi_Statisztikai_Hivatal illetékese , Próbáld_Ákos sem tudja megmondani .
#goldHeads=12,5,5,12,13,7,8,12,12,12,12,0,12,12,
#predictedHeads=12,13,5,5,13,7,8,5,12,12,12,0,12,12,
(7,1),-1.58318 # DEPENDENCYPART_ARC
(7,2),-3.7304 # DEPENDENCYPART_ARC
(7,4),-0.812187 # DEPENDENCYPART_ARC
(7,5),-2.01504 # DEPENDENCYPART_ARC
(7,6),2.62809 # DEPENDENCYPART_ARC
(7,8),-0.453882 # DEPENDENCYPART_ARC
(7,9),-0.461255 # DEPENDENCYPART_ARC
(7,10),-1.19649 # DEPENDENCYPART_ARC
(7,11),-1.40197 # DEPENDENCYPART_ARC
(7,12),-0.669054 # DEPENDENCYPART_ARC
(7,13),-0.682793 # DEPENDENCYPART_ARC
(7,14),-0.462882 # DEPENDENCYPART_ARC
(8,1),-1.04582 # DEPENDENCYPART_ARC
(8,2),-4.08869 # DEPENDENCYPART_ARC
(8,3),-0.660239 # DEPENDENCYPART_ARC
(8,4),-0.247424 # DEPENDENCYPART_ARC
(8,5),-2.33146 # DEPENDENCYPART_ARC
(8,6),1.49679 # DEPENDENCYPART_ARC
(8,7),4.08988 # DEPENDENCYPART_ARC
(8,9),-0.0100344 # DEPENDENCYPART_ARC
(8,10),-0.751401 # DEPENDENCYPART_ARC
(8,11),-1.09151 # DEPENDENCYPART_ARC
(8,12),-1.16639 # DEPENDENCYPART_ARC
(8,13),-0.460659 # DEPENDENCYPART_ARC
(8,14),-0.000393351 # DEPENDENCYPART_ARC
(10,1),-1.04475 # DEPENDENCYPART_ARC
(10,2),-3.17082 # DEPENDENCYPART_ARC
(10,4),-0.365173 # DEPENDENCYPART_ARC
(10,5),-2.60234 # DEPENDENCYPART_ARC
(10,6),1.0943 # DEPENDENCYPART_ARC
(10,7),0.25919 # DEPENDENCYPART_ARC
(10,8),-0.449846 # DEPENDENCYPART_ARC
(10,9),0.445382 # DEPENDENCYPART_ARC
(10,11),-0.88621 # DEPENDENCYPART_ARC
(10,12),-0.514122 # DEPENDENCYPART_ARC
(10,13),-0.412935 # DEPENDENCYPART_ARC
(10,14),-0.315636 # DEPENDENCYPART_ARC
(11,1),-1.08312 # DEPENDENCYPART_ARC
(11,2),-0.994399 # DEPENDENCYPART_ARC
(11,3),-1.47829 # DEPENDENCYPART_ARC
(11,4),-1.12953 # DEPENDENCYPART_ARC
(11,5),-1.22279 # DEPENDENCYPART_ARC
(11,7),-0.537578 # DEPENDENCYPART_ARC
(11,8),-0.778802 # DEPENDENCYPART_ARC
(11,9),-0.726279 # DEPENDENCYPART_ARC
(11,10),0.467925 # DEPENDENCYPART_ARC
(11,12),0.0450801 # DEPENDENCYPART_ARC
(11,13),-0.51604 # DEPENDENCYPART_ARC
(11,14),-0.55451 # DEPENDENCYPART_ARC
(12,1),0.550854 # DEPENDENCYPART_ARC
(12,2),0.126212 # DEPENDENCYPART_ARC
(12,3),-0.765302 # DEPENDENCYPART_ARC
(12,4),0.221287 # DEPENDENCYPART_ARC
(12,5),0.634412 # DEPENDENCYPART_ARC
(12,6),-1.53275 # DEPENDENCYPART_ARC
(12,7),0.719147 # DEPENDENCYPART_ARC
(12,8),0.241793 # DEPENDENCYPART_ARC
(12,9),0.920243 # DEPENDENCYPART_ARC
(12,10),2.06188 # DEPENDENCYPART_ARC
(12,11),2.92041 # DEPENDENCYPART_ARC
(12,13),3.95453 # DEPENDENCYPART_ARC
(12,14),1.92922 # DEPENDENCYPART_ARC
(13,1),0.178175 # DEPENDENCYPART_ARC
(13,2),0.982154 # DEPENDENCYPART_ARC
(13,3),-1.35593 # DEPENDENCYPART_ARC
(13,4),0.00846348 # DEPENDENCYPART_ARC
(13,5),1.74377 # DEPENDENCYPART_ARC
(13,6),-0.986313 # DEPENDENCYPART_ARC
(13,7),-0.610132 # DEPENDENCYPART_ARC
(13,8),-0.119844 # DEPENDENCYPART_ARC
(13,9),0.82787 # DEPENDENCYPART_ARC
(13,10),0.862229 # DEPENDENCYPART_ARC
(13,11),1.84895 # DEPENDENCYPART_ARC
(13,12),1.34668 # DEPENDENCYPART_ARC
(13,14),0.554801 # DEPENDENCYPART_ARC
