# _root_ A bíróságot nem annyira ez utóbbi zavarta , mint inkább a képrongálás , amelynek divatja úgy tűnik feltartóztathatatlan .
#goldHeads=2,7,7,7,6,7,0,7,7,5,12,5,5,18,18,17,18,5,7,
#predictedHeads=2,7,7,7,6,7,0,7,7,17,12,17,7,17,17,17,7,17,7,
(7,13),0.911755 # DEPENDENCYPART_ARC
(7,14),-0.345025 # DEPENDENCYPART_ARC
(7,15),-1.74923 # DEPENDENCYPART_ARC
(7,16),-0.0880317 # DEPENDENCYPART_ARC
(7,17),1.37735 # DEPENDENCYPART_ARC
(7,18),-0.50336 # DEPENDENCYPART_ARC
(7,19),2.76514 # DEPENDENCYPART_ARC
(9,1),-1.49398 # DEPENDENCYPART_ARC
(9,2),-0.648377 # DEPENDENCYPART_ARC
(9,3),-0.13587 # DEPENDENCYPART_ARC
(9,4),0.0756617 # DEPENDENCYPART_ARC
(9,5),0.0768889 # DEPENDENCYPART_ARC
(9,6),0.214525 # DEPENDENCYPART_ARC
(9,7),-0.238532 # DEPENDENCYPART_ARC
(9,8),1.01497 # DEPENDENCYPART_ARC
(9,10),-0.350229 # DEPENDENCYPART_ARC
(9,11),-0.966486 # DEPENDENCYPART_ARC
(9,12),-0.825324 # DEPENDENCYPART_ARC
(9,13),-0.188074 # DEPENDENCYPART_ARC
(9,14),-1.20225 # DEPENDENCYPART_ARC
(9,15),-1.26771 # DEPENDENCYPART_ARC
(9,16),-0.626233 # DEPENDENCYPART_ARC
(9,17),0.0686038 # DEPENDENCYPART_ARC
(9,18),-0.504209 # DEPENDENCYPART_ARC
(9,19),1.62301 # DEPENDENCYPART_ARC
(10,1),-1.41143 # DEPENDENCYPART_ARC
(10,2),-1.11022 # DEPENDENCYPART_ARC
(10,3),-0.426822 # DEPENDENCYPART_ARC
(10,4),-0.418741 # DEPENDENCYPART_ARC
(10,5),-0.729188 # DEPENDENCYPART_ARC
(10,6),-0.68259 # DEPENDENCYPART_ARC
(10,7),-0.165573 # DEPENDENCYPART_ARC
(10,8),-0.0157004 # DEPENDENCYPART_ARC
(10,9),0.240848 # DEPENDENCYPART_ARC
(10,11),-0.744191 # DEPENDENCYPART_ARC
(10,12),0.0705333 # DEPENDENCYPART_ARC
(10,13),-0.149211 # DEPENDENCYPART_ARC
(10,14),-0.997768 # DEPENDENCYPART_ARC
(10,15),-0.662099 # DEPENDENCYPART_ARC
(10,16),-0.761036 # DEPENDENCYPART_ARC
(10,17),-0.426336 # DEPENDENCYPART_ARC
(10,18),-1.48616 # DEPENDENCYPART_ARC
(10,19),-0.0220671 # DEPENDENCYPART_ARC
(11,2),-3.65152 # DEPENDENCYPART_ARC
(11,6),-3.45872 # DEPENDENCYPART_ARC
(11,8),-1.23925 # DEPENDENCYPART_ARC
(11,12),-0.276827 # DEPENDENCYPART_ARC
(11,13),-0.262188 # DEPENDENCYPART_ARC
(11,15),-1.33393 # DEPENDENCYPART_ARC
(11,18),-1.01578 # DEPENDENCYPART_ARC
(12,1),-1.56013 # DEPENDENCYPART_ARC
(12,2),-5.62251 # DEPENDENCYPART_ARC
(12,3),-1.50819 # DEPENDENCYPART_ARC
(12,4),-1.61434 # DEPENDENCYPART_ARC
(12,5),-1.2887 # DEPENDENCYPART_ARC
(12,6),-3.0931 # DEPENDENCYPART_ARC
(12,7),-1.01108 # DEPENDENCYPART_ARC
(12,8),-0.832073 # DEPENDENCYPART_ARC
(12,9),-0.659318 # DEPENDENCYPART_ARC
(12,10),-0.436971 # DEPENDENCYPART_ARC
(12,11),3.32407 # DEPENDENCYPART_ARC
(12,13),0.055961 # DEPENDENCYPART_ARC
(12,14),-1.58101 # DEPENDENCYPART_ARC
(12,15),-0.795107 # DEPENDENCYPART_ARC
(12,16),-0.898666 # DEPENDENCYPART_ARC
(12,17),-0.0609993 # DEPENDENCYPART_ARC
(12,18),-1.48018 # DEPENDENCYPART_ARC
(12,19),0.106211 # DEPENDENCYPART_ARC
(14,2),-1.82101 # DEPENDENCYPART_ARC
(14,6),-1.27163 # DEPENDENCYPART_ARC
(14,12),-0.953159 # DEPENDENCYPART_ARC
(14,15),-0.866134 # DEPENDENCYPART_ARC
(14,18),-1.22671 # DEPENDENCYPART_ARC
(15,1),-2.99307 # DEPENDENCYPART_ARC
(15,2),-5.93381 # DEPENDENCYPART_ARC
(15,3),-1.54904 # DEPENDENCYPART_ARC
(15,4),-1.63713 # DEPENDENCYPART_ARC
(15,5),-1.63259 # DEPENDENCYPART_ARC
(15,6),-1.98826 # DEPENDENCYPART_ARC
(15,7),-1.95782 # DEPENDENCYPART_ARC
(15,8),-1.16779 # DEPENDENCYPART_ARC
(15,9),-1.06168 # DEPENDENCYPART_ARC
(15,10),-1.09252 # DEPENDENCYPART_ARC
(15,11),-0.142451 # DEPENDENCYPART_ARC
(15,12),0.357048 # DEPENDENCYPART_ARC
(15,13),-0.602877 # DEPENDENCYPART_ARC
(15,14),0.0533747 # DEPENDENCYPART_ARC
(15,16),-0.399106 # DEPENDENCYPART_ARC
(15,17),-0.568465 # DEPENDENCYPART_ARC
(15,18),-0.854631 # DEPENDENCYPART_ARC
(15,19),-0.116307 # DEPENDENCYPART_ARC
(16,2),-1.83129 # DEPENDENCYPART_ARC
(16,4),-1.17322 # DEPENDENCYPART_ARC
(16,5),-1.53242 # DEPENDENCYPART_ARC
(16,6),-1.47016 # DEPENDENCYPART_ARC
(16,7),-0.76501 # DEPENDENCYPART_ARC
(16,8),-0.755949 # DEPENDENCYPART_ARC
(16,9),-0.690432 # DEPENDENCYPART_ARC
(16,10),-0.274407 # DEPENDENCYPART_ARC
(16,12),-0.997918 # DEPENDENCYPART_ARC
(16,13),-0.482843 # DEPENDENCYPART_ARC
(16,15),0.323706 # DEPENDENCYPART_ARC
(16,17),-0.0390151 # DEPENDENCYPART_ARC
(16,18),-0.455789 # DEPENDENCYPART_ARC
(16,19),-0.705112 # DEPENDENCYPART_ARC
(17,1),-2.15054 # DEPENDENCYPART_ARC
(17,2),-1.60776 # DEPENDENCYPART_ARC
(17,3),-0.764195 # DEPENDENCYPART_ARC
(17,4),-0.602714 # DEPENDENCYPART_ARC
(17,5),-1.04355 # DEPENDENCYPART_ARC
(17,6),-0.367898 # DEPENDENCYPART_ARC
(17,7),-0.747522 # DEPENDENCYPART_ARC
(17,8),0.617243 # DEPENDENCYPART_ARC
(17,9),0.286217 # DEPENDENCYPART_ARC
(17,10),0.888038 # DEPENDENCYPART_ARC
(17,11),-1.12646 # DEPENDENCYPART_ARC
(17,12),0.413346 # DEPENDENCYPART_ARC
(17,13),0.794076 # DEPENDENCYPART_ARC
(17,14),2.59803 # DEPENDENCYPART_ARC
(17,15),2.47982 # DEPENDENCYPART_ARC
(17,16),2.81743 # DEPENDENCYPART_ARC
(17,18),2.3896 # DEPENDENCYPART_ARC
(17,19),2.17013 # DEPENDENCYPART_ARC
(18,1),-2.13968 # DEPENDENCYPART_ARC
(18,2),-1.70527 # DEPENDENCYPART_ARC
(18,3),-1.41638 # DEPENDENCYPART_ARC
(18,4),-0.855585 # DEPENDENCYPART_ARC
(18,5),-1.77269 # DEPENDENCYPART_ARC
(18,6),-2.57192 # DEPENDENCYPART_ARC
(18,7),-1.38265 # DEPENDENCYPART_ARC
(18,8),-0.644976 # DEPENDENCYPART_ARC
(18,9),-0.756464 # DEPENDENCYPART_ARC
(18,10),-0.571356 # DEPENDENCYPART_ARC
(18,11),-0.922716 # DEPENDENCYPART_ARC
(18,12),-1.54781 # DEPENDENCYPART_ARC
(18,13),-0.430172 # DEPENDENCYPART_ARC
(18,14),-0.872719 # DEPENDENCYPART_ARC
(18,15),-1.03893 # DEPENDENCYPART_ARC
(18,16),0.542324 # DEPENDENCYPART_ARC
(18,17),0.453022 # DEPENDENCYPART_ARC
(18,19),0.351106 # DEPENDENCYPART_ARC
