# _root_ A francia hadseregben ma már mindenütt szolgálnak nők , még a haditengerészetnél és a légierőnél is , csak az idegenlégióban nem .
#goldHeads=3,3,7,7,7,7,0,7,7,16,12,13,16,15,13,7,7,21,20,21,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,7,12,13,7,15,16,7,7,21,20,21,7,7,
(2,11),-1.67152 # DEPENDENCYPART_ARC
(2,12),-1.98374 # DEPENDENCYPART_ARC
(2,13),-1.14465 # DEPENDENCYPART_ARC
(2,14),-1.79265 # DEPENDENCYPART_ARC
(2,15),-2.35273 # DEPENDENCYPART_ARC
(2,16),-1.67861 # DEPENDENCYPART_ARC
(2,17),-1.07987 # DEPENDENCYPART_ARC
(2,18),-1.45273 # DEPENDENCYPART_ARC
(2,19),-1.79964 # DEPENDENCYPART_ARC
(2,20),-2.57614 # DEPENDENCYPART_ARC
(2,21),-1.48579 # DEPENDENCYPART_ARC
(2,22),-0.349805 # DEPENDENCYPART_ARC
(3,1),2.99686 # DEPENDENCYPART_ARC
(3,2),3.7236 # DEPENDENCYPART_ARC
(3,4),-0.488615 # DEPENDENCYPART_ARC
(3,5),-0.595948 # DEPENDENCYPART_ARC
(3,6),-0.535624 # DEPENDENCYPART_ARC
(3,7),-0.889638 # DEPENDENCYPART_ARC
(3,8),-1.47003 # DEPENDENCYPART_ARC
(3,9),-0.161027 # DEPENDENCYPART_ARC
(3,10),-0.650969 # DEPENDENCYPART_ARC
(3,11),-1.12705 # DEPENDENCYPART_ARC
(3,12),-2.38399 # DEPENDENCYPART_ARC
(3,13),-0.38462 # DEPENDENCYPART_ARC
(3,14),-1.26407 # DEPENDENCYPART_ARC
(3,15),-2.96069 # DEPENDENCYPART_ARC
(3,16),-1.25319 # DEPENDENCYPART_ARC
(3,17),-1.09928 # DEPENDENCYPART_ARC
(3,18),-0.725431 # DEPENDENCYPART_ARC
(3,19),-1.35988 # DEPENDENCYPART_ARC
(3,20),-3.0798 # DEPENDENCYPART_ARC
(3,21),-1.07342 # DEPENDENCYPART_ARC
(3,22),-0.241283 # DEPENDENCYPART_ARC
(4,1),-0.595454 # DEPENDENCYPART_ARC
(4,2),-0.325479 # DEPENDENCYPART_ARC
(4,3),0.0578214 # DEPENDENCYPART_ARC
(4,5),-0.199784 # DEPENDENCYPART_ARC
(4,6),-0.409984 # DEPENDENCYPART_ARC
(4,7),-0.130467 # DEPENDENCYPART_ARC
(4,8),-0.593867 # DEPENDENCYPART_ARC
(4,9),-0.338707 # DEPENDENCYPART_ARC
(4,10),-0.63103 # DEPENDENCYPART_ARC
(4,11),-1.0654 # DEPENDENCYPART_ARC
(4,12),-1.52279 # DEPENDENCYPART_ARC
(4,13),-0.637225 # DEPENDENCYPART_ARC
(4,14),-1.08639 # DEPENDENCYPART_ARC
(4,15),-1.92405 # DEPENDENCYPART_ARC
(4,16),-1.33997 # DEPENDENCYPART_ARC
(4,17),-1.16909 # DEPENDENCYPART_ARC
(4,18),-1.03026 # DEPENDENCYPART_ARC
(4,19),-1.12449 # DEPENDENCYPART_ARC
(4,20),-2.29515 # DEPENDENCYPART_ARC
(4,21),-1.09418 # DEPENDENCYPART_ARC
(4,22),-0.543834 # DEPENDENCYPART_ARC
(5,1),-1.00714 # DEPENDENCYPART_ARC
(5,2),-0.508854 # DEPENDENCYPART_ARC
(5,3),-0.321163 # DEPENDENCYPART_ARC
(5,4),0.189821 # DEPENDENCYPART_ARC
(5,6),-0.326067 # DEPENDENCYPART_ARC
(5,7),-0.0696978 # DEPENDENCYPART_ARC
(5,8),-0.479644 # DEPENDENCYPART_ARC
(5,9),-0.128503 # DEPENDENCYPART_ARC
(5,10),-0.797708 # DEPENDENCYPART_ARC
(5,11),-1.04099 # DEPENDENCYPART_ARC
(5,12),-1.34914 # DEPENDENCYPART_ARC
(5,13),-0.608387 # DEPENDENCYPART_ARC
(5,14),-1.11619 # DEPENDENCYPART_ARC
(5,15),-1.51306 # DEPENDENCYPART_ARC
(5,16),-1.24189 # DEPENDENCYPART_ARC
(5,17),-0.875203 # DEPENDENCYPART_ARC
(5,18),-1.23399 # DEPENDENCYPART_ARC
(5,19),-1.16714 # DEPENDENCYPART_ARC
(5,20),-1.94732 # DEPENDENCYPART_ARC
(5,21),-1.36764 # DEPENDENCYPART_ARC
(5,22),0.473014 # DEPENDENCYPART_ARC
(6,1),-0.736239 # DEPENDENCYPART_ARC
(6,2),-0.120845 # DEPENDENCYPART_ARC
(6,3),0.192042 # DEPENDENCYPART_ARC
(6,4),0.264926 # DEPENDENCYPART_ARC
(6,5),0.756693 # DEPENDENCYPART_ARC
(6,7),0.512813 # DEPENDENCYPART_ARC
(6,8),0.130171 # DEPENDENCYPART_ARC
(6,9),0.217405 # DEPENDENCYPART_ARC
(6,10),-0.403829 # DEPENDENCYPART_ARC
(6,11),-0.714804 # DEPENDENCYPART_ARC
(6,12),-1.04598 # DEPENDENCYPART_ARC
(6,13),-0.206223 # DEPENDENCYPART_ARC
(6,14),-0.810769 # DEPENDENCYPART_ARC
(6,15),-1.30592 # DEPENDENCYPART_ARC
(6,16),-0.770895 # DEPENDENCYPART_ARC
(6,17),-0.587858 # DEPENDENCYPART_ARC
(6,18),-0.775843 # DEPENDENCYPART_ARC
(6,19),-0.881495 # DEPENDENCYPART_ARC
(6,20),-1.79305 # DEPENDENCYPART_ARC
(6,21),-0.855648 # DEPENDENCYPART_ARC
(6,22),0.452151 # DEPENDENCYPART_ARC
(7,1),-0.377315 # DEPENDENCYPART_ARC
(7,2),-0.0557429 # DEPENDENCYPART_ARC
(7,3),2.3667 # DEPENDENCYPART_ARC
(7,4),2.30434 # DEPENDENCYPART_ARC
(7,5),2.44138 # DEPENDENCYPART_ARC
(7,6),2.98492 # DEPENDENCYPART_ARC
(7,8),3.83805 # DEPENDENCYPART_ARC
(7,9),1.69228 # DEPENDENCYPART_ARC
(7,10),0.777671 # DEPENDENCYPART_ARC
(7,11),-0.364753 # DEPENDENCYPART_ARC
(7,12),0.213231 # DEPENDENCYPART_ARC
(7,13),1.12849 # DEPENDENCYPART_ARC
(7,14),-0.626311 # DEPENDENCYPART_ARC
(7,15),-0.636236 # DEPENDENCYPART_ARC
(7,16),1.42607 # DEPENDENCYPART_ARC
(7,17),0.796097 # DEPENDENCYPART_ARC
(7,18),-0.0186678 # DEPENDENCYPART_ARC
(7,19),-0.744245 # DEPENDENCYPART_ARC
(7,20),-1.38916 # DEPENDENCYPART_ARC
(7,21),0.331062 # DEPENDENCYPART_ARC
(7,22),2.27616 # DEPENDENCYPART_ARC
(8,1),-0.167689 # DEPENDENCYPART_ARC
(8,2),-0.27765 # DEPENDENCYPART_ARC
(8,3),-3.116 # DEPENDENCYPART_ARC
(8,4),-0.399315 # DEPENDENCYPART_ARC
(8,5),-0.387496 # DEPENDENCYPART_ARC
(8,6),0.173688 # DEPENDENCYPART_ARC
(8,7),0.00813173 # DEPENDENCYPART_ARC
(8,9),0.155143 # DEPENDENCYPART_ARC
(8,10),-0.688023 # DEPENDENCYPART_ARC
(8,11),-0.876089 # DEPENDENCYPART_ARC
(8,12),-1.72416 # DEPENDENCYPART_ARC
(8,13),-0.685531 # DEPENDENCYPART_ARC
(8,14),-1.0646 # DEPENDENCYPART_ARC
(8,15),-2.2827 # DEPENDENCYPART_ARC
(8,16),-1.10605 # DEPENDENCYPART_ARC
(8,17),-0.794943 # DEPENDENCYPART_ARC
(8,18),-0.76443 # DEPENDENCYPART_ARC
(8,19),-1.26736 # DEPENDENCYPART_ARC
(8,20),-2.80685 # DEPENDENCYPART_ARC
(8,21),-1.10468 # DEPENDENCYPART_ARC
(8,22),-0.0306506 # DEPENDENCYPART_ARC
(9,1),-2.15281 # DEPENDENCYPART_ARC
(9,2),-2.53593 # DEPENDENCYPART_ARC
(9,3),-3.01565 # DEPENDENCYPART_ARC
(9,4),-2.05112 # DEPENDENCYPART_ARC
(9,5),-1.89743 # DEPENDENCYPART_ARC
(9,6),-1.70065 # DEPENDENCYPART_ARC
(9,7),-1.54274 # DEPENDENCYPART_ARC
(9,8),-1.57814 # DEPENDENCYPART_ARC
(9,10),-1.12937 # DEPENDENCYPART_ARC
(9,11),-1.28467 # DEPENDENCYPART_ARC
(9,12),-1.9658 # DEPENDENCYPART_ARC
(9,13),-1.22914 # DEPENDENCYPART_ARC
(9,14),-1.53712 # DEPENDENCYPART_ARC
(9,15),-2.4163 # DEPENDENCYPART_ARC
(9,16),-1.26932 # DEPENDENCYPART_ARC
(9,17),-1.28795 # DEPENDENCYPART_ARC
(9,18),-1.6296 # DEPENDENCYPART_ARC
(9,19),-1.62441 # DEPENDENCYPART_ARC
(9,20),-2.74338 # DEPENDENCYPART_ARC
(9,21),-1.66817 # DEPENDENCYPART_ARC
(9,22),-1.6165 # DEPENDENCYPART_ARC
(10,1),-1.32556 # DEPENDENCYPART_ARC
(10,2),-0.491831 # DEPENDENCYPART_ARC
(10,3),-0.710925 # DEPENDENCYPART_ARC
(10,4),-0.30367 # DEPENDENCYPART_ARC
(10,5),-0.406461 # DEPENDENCYPART_ARC
(10,6),-0.150717 # DEPENDENCYPART_ARC
(10,7),0.0906112 # DEPENDENCYPART_ARC
(10,8),-0.264456 # DEPENDENCYPART_ARC
(10,9),0.344875 # DEPENDENCYPART_ARC
(10,11),-0.374569 # DEPENDENCYPART_ARC
(10,12),0.0893068 # DEPENDENCYPART_ARC
(10,13),0.198503 # DEPENDENCYPART_ARC
(10,14),-0.57739 # DEPENDENCYPART_ARC
(10,15),-0.609865 # DEPENDENCYPART_ARC
(10,16),-0.459324 # DEPENDENCYPART_ARC
(10,17),-0.271276 # DEPENDENCYPART_ARC
(10,18),-0.668313 # DEPENDENCYPART_ARC
(10,19),-0.758204 # DEPENDENCYPART_ARC
(10,20),-1.16604 # DEPENDENCYPART_ARC
(10,21),-0.777287 # DEPENDENCYPART_ARC
(10,22),0.0314085 # DEPENDENCYPART_ARC
(11,1),-1.97327 # DEPENDENCYPART_ARC
(11,2),-2.20028 # DEPENDENCYPART_ARC
(11,3),-3.15143 # DEPENDENCYPART_ARC
(11,4),-2.07531 # DEPENDENCYPART_ARC
(11,5),-1.98391 # DEPENDENCYPART_ARC
(11,6),-1.88391 # DEPENDENCYPART_ARC
(11,7),-1.94372 # DEPENDENCYPART_ARC
(11,8),-2.24894 # DEPENDENCYPART_ARC
(11,9),-1.26143 # DEPENDENCYPART_ARC
(11,10),-0.681772 # DEPENDENCYPART_ARC
(11,12),-0.600598 # DEPENDENCYPART_ARC
(11,13),-0.798385 # DEPENDENCYPART_ARC
(11,14),-0.86325 # DEPENDENCYPART_ARC
(11,15),-1.3237 # DEPENDENCYPART_ARC
(11,16),-1.17656 # DEPENDENCYPART_ARC
(11,17),-0.548745 # DEPENDENCYPART_ARC
(11,18),-1.09957 # DEPENDENCYPART_ARC
(11,19),-1.15305 # DEPENDENCYPART_ARC
(11,20),-1.78345 # DEPENDENCYPART_ARC
(11,21),-1.2121 # DEPENDENCYPART_ARC
(11,22),-1.57476 # DEPENDENCYPART_ARC
(12,1),-1.57014 # DEPENDENCYPART_ARC
(12,2),-1.88965 # DEPENDENCYPART_ARC
(12,3),-5.60497 # DEPENDENCYPART_ARC
(12,4),-1.44211 # DEPENDENCYPART_ARC
(12,5),-1.53539 # DEPENDENCYPART_ARC
(12,6),-1.41911 # DEPENDENCYPART_ARC
(12,7),-2.53258 # DEPENDENCYPART_ARC
(12,8),-2.82134 # DEPENDENCYPART_ARC
(12,9),-0.636495 # DEPENDENCYPART_ARC
(12,10),-0.451885 # DEPENDENCYPART_ARC
(12,11),3.30002 # DEPENDENCYPART_ARC
(12,13),-1.04252 # DEPENDENCYPART_ARC
(12,14),-1.61666 # DEPENDENCYPART_ARC
(12,15),-1.86613 # DEPENDENCYPART_ARC
(12,16),-1.48822 # DEPENDENCYPART_ARC
(12,17),-1.37694 # DEPENDENCYPART_ARC
(12,18),-1.4269 # DEPENDENCYPART_ARC
(12,19),-1.78804 # DEPENDENCYPART_ARC
(12,20),-2.52663 # DEPENDENCYPART_ARC
(12,21),-1.6587 # DEPENDENCYPART_ARC
(12,22),-1.08154 # DEPENDENCYPART_ARC
(13,1),-1.38077 # DEPENDENCYPART_ARC
(13,2),-0.968381 # DEPENDENCYPART_ARC
(13,3),-0.523915 # DEPENDENCYPART_ARC
(13,4),-0.674061 # DEPENDENCYPART_ARC
(13,5),-0.858209 # DEPENDENCYPART_ARC
(13,6),-0.837453 # DEPENDENCYPART_ARC
(13,7),0.398757 # DEPENDENCYPART_ARC
(13,8),-0.106777 # DEPENDENCYPART_ARC
(13,9),0.597202 # DEPENDENCYPART_ARC
(13,10),0.280505 # DEPENDENCYPART_ARC
(13,11),-0.13008 # DEPENDENCYPART_ARC
(13,12),0.771792 # DEPENDENCYPART_ARC
(13,14),-0.0571059 # DEPENDENCYPART_ARC
(13,15),0.54719 # DEPENDENCYPART_ARC
(13,16),0.25073 # DEPENDENCYPART_ARC
(13,17),0.112695 # DEPENDENCYPART_ARC
(13,18),-0.0935332 # DEPENDENCYPART_ARC
(13,19),-0.373414 # DEPENDENCYPART_ARC
(13,20),-0.543249 # DEPENDENCYPART_ARC
(13,21),-0.319223 # DEPENDENCYPART_ARC
(13,22),1.18319 # DEPENDENCYPART_ARC
(14,1),-1.83931 # DEPENDENCYPART_ARC
(14,2),-2.00469 # DEPENDENCYPART_ARC
(14,3),-3.1739 # DEPENDENCYPART_ARC
(14,4),-1.96739 # DEPENDENCYPART_ARC
(14,5),-1.92849 # DEPENDENCYPART_ARC
(14,6),-1.88638 # DEPENDENCYPART_ARC
(14,7),-2.04312 # DEPENDENCYPART_ARC
(14,8),-2.49988 # DEPENDENCYPART_ARC
(14,9),-1.14677 # DEPENDENCYPART_ARC
(14,10),-1.34508 # DEPENDENCYPART_ARC
(14,11),-1.0188 # DEPENDENCYPART_ARC
(14,12),-1.89396 # DEPENDENCYPART_ARC
(14,13),-0.34505 # DEPENDENCYPART_ARC
(14,15),-0.535912 # DEPENDENCYPART_ARC
(14,16),-0.813421 # DEPENDENCYPART_ARC
(14,17),-0.337342 # DEPENDENCYPART_ARC
(14,18),-0.91295 # DEPENDENCYPART_ARC
(14,19),-0.97473 # DEPENDENCYPART_ARC
(14,20),-1.56809 # DEPENDENCYPART_ARC
(14,21),-1.08223 # DEPENDENCYPART_ARC
(14,22),-1.39072 # DEPENDENCYPART_ARC
(15,1),-2.51645 # DEPENDENCYPART_ARC
(15,2),-2.48494 # DEPENDENCYPART_ARC
(15,3),-6.11949 # DEPENDENCYPART_ARC
(15,4),-1.62304 # DEPENDENCYPART_ARC
(15,5),-1.65098 # DEPENDENCYPART_ARC
(15,6),-1.59131 # DEPENDENCYPART_ARC
(15,7),-2.90411 # DEPENDENCYPART_ARC
(15,8),-3.64278 # DEPENDENCYPART_ARC
(15,9),-1.03143 # DEPENDENCYPART_ARC
(15,10),-1.21449 # DEPENDENCYPART_ARC
(15,11),0.52811 # DEPENDENCYPART_ARC
(15,12),-2.15287 # DEPENDENCYPART_ARC
(15,13),-0.286778 # DEPENDENCYPART_ARC
(15,14),3.45079 # DEPENDENCYPART_ARC
(15,16),-0.928285 # DEPENDENCYPART_ARC
(15,17),-0.844143 # DEPENDENCYPART_ARC
(15,18),-1.08708 # DEPENDENCYPART_ARC
(15,19),-1.38669 # DEPENDENCYPART_ARC
(15,20),-1.75085 # DEPENDENCYPART_ARC
(15,21),-1.31292 # DEPENDENCYPART_ARC
(15,22),-0.714445 # DEPENDENCYPART_ARC
(16,1),-1.76821 # DEPENDENCYPART_ARC
(16,2),-0.961504 # DEPENDENCYPART_ARC
(16,3),-0.746917 # DEPENDENCYPART_ARC
(16,4),-0.309237 # DEPENDENCYPART_ARC
(16,5),-0.639541 # DEPENDENCYPART_ARC
(16,6),-0.610035 # DEPENDENCYPART_ARC
(16,7),-0.557743 # DEPENDENCYPART_ARC
(16,8),-0.562356 # DEPENDENCYPART_ARC
(16,9),-0.0605019 # DEPENDENCYPART_ARC
(16,10),0.551471 # DEPENDENCYPART_ARC
(16,11),-0.801459 # DEPENDENCYPART_ARC
(16,12),-0.257498 # DEPENDENCYPART_ARC
(16,13),0.313357 # DEPENDENCYPART_ARC
(16,14),-0.137579 # DEPENDENCYPART_ARC
(16,15),0.645659 # DEPENDENCYPART_ARC
(16,17),0.32024 # DEPENDENCYPART_ARC
(16,18),-0.447728 # DEPENDENCYPART_ARC
(16,19),-0.781199 # DEPENDENCYPART_ARC
(16,20),-0.695954 # DEPENDENCYPART_ARC
(16,21),-0.481438 # DEPENDENCYPART_ARC
(16,22),0.517327 # DEPENDENCYPART_ARC
(17,1),-1.89548 # DEPENDENCYPART_ARC
(17,2),-2.30975 # DEPENDENCYPART_ARC
(17,3),-2.79152 # DEPENDENCYPART_ARC
(17,4),-1.94862 # DEPENDENCYPART_ARC
(17,5),-1.94133 # DEPENDENCYPART_ARC
(17,6),-1.91779 # DEPENDENCYPART_ARC
(17,7),-1.83636 # DEPENDENCYPART_ARC
(17,8),-2.42926 # DEPENDENCYPART_ARC
(17,9),-1.21225 # DEPENDENCYPART_ARC
(17,10),-1.45604 # DEPENDENCYPART_ARC
(17,11),-1.26788 # DEPENDENCYPART_ARC
(17,12),-2.12594 # DEPENDENCYPART_ARC
(17,13),-1.1059 # DEPENDENCYPART_ARC
(17,14),-0.971507 # DEPENDENCYPART_ARC
(17,15),-1.53362 # DEPENDENCYPART_ARC
(17,16),-0.20601 # DEPENDENCYPART_ARC
(17,18),-0.798028 # DEPENDENCYPART_ARC
(17,19),-0.951353 # DEPENDENCYPART_ARC
(17,20),-1.59671 # DEPENDENCYPART_ARC
(17,21),-1.15147 # DEPENDENCYPART_ARC
(17,22),-1.13188 # DEPENDENCYPART_ARC
(18,1),-1.59765 # DEPENDENCYPART_ARC
(18,2),-0.656455 # DEPENDENCYPART_ARC
(18,3),-1.09844 # DEPENDENCYPART_ARC
(18,4),-0.38693 # DEPENDENCYPART_ARC
(18,5),-0.765792 # DEPENDENCYPART_ARC
(18,6),-0.502558 # DEPENDENCYPART_ARC
(18,7),0.0977639 # DEPENDENCYPART_ARC
(18,8),-0.719117 # DEPENDENCYPART_ARC
(18,9),-0.259761 # DEPENDENCYPART_ARC
(18,10),0.11075 # DEPENDENCYPART_ARC
(18,11),-0.347447 # DEPENDENCYPART_ARC
(18,12),-0.129721 # DEPENDENCYPART_ARC
(18,13),0.083415 # DEPENDENCYPART_ARC
(18,14),-0.205577 # DEPENDENCYPART_ARC
(18,15),0.240317 # DEPENDENCYPART_ARC
(18,16),0.306544 # DEPENDENCYPART_ARC
(18,17),0.765257 # DEPENDENCYPART_ARC
(18,19),-0.135002 # DEPENDENCYPART_ARC
(18,20),0.697059 # DEPENDENCYPART_ARC
(18,21),-0.137873 # DEPENDENCYPART_ARC
(18,22),0.891221 # DEPENDENCYPART_ARC
(19,1),-1.88191 # DEPENDENCYPART_ARC
(19,2),-2.02943 # DEPENDENCYPART_ARC
(19,3),-3.09763 # DEPENDENCYPART_ARC
(19,4),-2.02538 # DEPENDENCYPART_ARC
(19,5),-1.9475 # DEPENDENCYPART_ARC
(19,6),-1.92341 # DEPENDENCYPART_ARC
(19,7),-1.40193 # DEPENDENCYPART_ARC
(19,8),-2.61522 # DEPENDENCYPART_ARC
(19,9),-1.07412 # DEPENDENCYPART_ARC
(19,10),-1.582 # DEPENDENCYPART_ARC
(19,11),-1.31564 # DEPENDENCYPART_ARC
(19,12),-2.42318 # DEPENDENCYPART_ARC
(19,13),-0.900869 # DEPENDENCYPART_ARC
(19,14),-1.24454 # DEPENDENCYPART_ARC
(19,15),-2.06705 # DEPENDENCYPART_ARC
(19,16),-0.891458 # DEPENDENCYPART_ARC
(19,17),-0.983639 # DEPENDENCYPART_ARC
(19,18),-0.370415 # DEPENDENCYPART_ARC
(19,20),-0.241192 # DEPENDENCYPART_ARC
(19,21),-0.389098 # DEPENDENCYPART_ARC
(19,22),-0.602885 # DEPENDENCYPART_ARC
(20,1),-3.59561 # DEPENDENCYPART_ARC
(20,2),-3.18299 # DEPENDENCYPART_ARC
(20,3),-6.17112 # DEPENDENCYPART_ARC
(20,4),-1.91619 # DEPENDENCYPART_ARC
(20,5),-1.88537 # DEPENDENCYPART_ARC
(20,6),-1.85452 # DEPENDENCYPART_ARC
(20,7),-3.45531 # DEPENDENCYPART_ARC
(20,8),-3.76413 # DEPENDENCYPART_ARC
(20,9),-1.51946 # DEPENDENCYPART_ARC
(20,10),-1.60452 # DEPENDENCYPART_ARC
(20,11),-0.870511 # DEPENDENCYPART_ARC
(20,12),-3.06189 # DEPENDENCYPART_ARC
(20,13),-1.18598 # DEPENDENCYPART_ARC
(20,14),0.226938 # DEPENDENCYPART_ARC
(20,15),-2.23853 # DEPENDENCYPART_ARC
(20,16),-1.26466 # DEPENDENCYPART_ARC
(20,17),-0.5589 # DEPENDENCYPART_ARC
(20,18),-0.422314 # DEPENDENCYPART_ARC
(20,19),3.36498 # DEPENDENCYPART_ARC
(20,21),-0.768199 # DEPENDENCYPART_ARC
(20,22),-0.697556 # DEPENDENCYPART_ARC
(21,1),-1.7679 # DEPENDENCYPART_ARC
(21,2),-0.691794 # DEPENDENCYPART_ARC
(21,3),-0.272998 # DEPENDENCYPART_ARC
(21,4),-0.272209 # DEPENDENCYPART_ARC
(21,5),-0.670667 # DEPENDENCYPART_ARC
(21,6),-0.504606 # DEPENDENCYPART_ARC
(21,7),-0.0651431 # DEPENDENCYPART_ARC
(21,8),-0.177926 # DEPENDENCYPART_ARC
(21,9),0.365048 # DEPENDENCYPART_ARC
(21,10),0.064096 # DEPENDENCYPART_ARC
(21,11),-0.581295 # DEPENDENCYPART_ARC
(21,12),0.2761 # DEPENDENCYPART_ARC
(21,13),0.184568 # DEPENDENCYPART_ARC
(21,14),-0.468219 # DEPENDENCYPART_ARC
(21,15),0.25549 # DEPENDENCYPART_ARC
(21,16),0.169574 # DEPENDENCYPART_ARC
(21,17),0.420337 # DEPENDENCYPART_ARC
(21,18),1.2971 # DEPENDENCYPART_ARC
(21,19),0.529829 # DEPENDENCYPART_ARC
(21,20),1.10024 # DEPENDENCYPART_ARC
(21,22),1.22162 # DEPENDENCYPART_ARC
(22,1),-3.17132 # DEPENDENCYPART_ARC
(22,2),-3.32173 # DEPENDENCYPART_ARC
(22,3),-4.04845 # DEPENDENCYPART_ARC
(22,4),-3.10488 # DEPENDENCYPART_ARC
(22,5),-3.06461 # DEPENDENCYPART_ARC
(22,6),-3.06755 # DEPENDENCYPART_ARC
(22,7),-2.91736 # DEPENDENCYPART_ARC
(22,8),-3.66625 # DEPENDENCYPART_ARC
(22,9),-2.34339 # DEPENDENCYPART_ARC
(22,10),-2.66676 # DEPENDENCYPART_ARC
(22,11),-2.53337 # DEPENDENCYPART_ARC
(22,12),-3.49786 # DEPENDENCYPART_ARC
(22,13),-2.3014 # DEPENDENCYPART_ARC
(22,14),-2.44133 # DEPENDENCYPART_ARC
(22,15),-3.38374 # DEPENDENCYPART_ARC
(22,16),-2.16718 # DEPENDENCYPART_ARC
(22,17),-2.19831 # DEPENDENCYPART_ARC
(22,18),-2.12453 # DEPENDENCYPART_ARC
(22,19),-2.0132 # DEPENDENCYPART_ARC
(22,20),-2.62008 # DEPENDENCYPART_ARC
(22,21),-1.19313 # DEPENDENCYPART_ARC
