# _root_ A reaktor felhasználási lehetőségei ez évtől kiteljesednek , ugyanis hamarosan üzembe helyezik az úgynevezett hidegneutron forrást , amely tulajdonképpen egy reaktorba helyezett hidrogéncella .
#goldHeads=2,4,4,7,6,7,9,9,0,12,12,9,16,16,16,12,12,12,12,23,22,23,12,9,
#predictedHeads=2,4,4,7,6,7,9,9,0,12,12,9,15,15,16,12,12,19,12,21,22,23,19,9,
(9,8),1.67504 # DEPENDENCYPART_ARC
(9,10),0.278734 # DEPENDENCYPART_ARC
(9,11),-0.12606 # DEPENDENCYPART_ARC
(9,12),1.59561 # DEPENDENCYPART_ARC
(9,13),-0.350551 # DEPENDENCYPART_ARC
(9,14),0.0350007 # DEPENDENCYPART_ARC
(9,15),-0.673027 # DEPENDENCYPART_ARC
(9,16),-0.669906 # DEPENDENCYPART_ARC
(9,17),0.670664 # DEPENDENCYPART_ARC
(9,18),-0.572785 # DEPENDENCYPART_ARC
(9,19),-0.197605 # DEPENDENCYPART_ARC
(9,21),-1.65034 # DEPENDENCYPART_ARC
(9,22),-0.186245 # DEPENDENCYPART_ARC
(9,23),-1.65384 # DEPENDENCYPART_ARC
(9,24),2.69175 # DEPENDENCYPART_ARC
(10,1),-1.47392 # DEPENDENCYPART_ARC
(10,2),-0.975496 # DEPENDENCYPART_ARC
(10,3),-1.09331 # DEPENDENCYPART_ARC
(10,4),-1.09677 # DEPENDENCYPART_ARC
(10,5),-0.785025 # DEPENDENCYPART_ARC
(10,6),-0.720492 # DEPENDENCYPART_ARC
(10,7),-0.176976 # DEPENDENCYPART_ARC
(10,8),-0.0406225 # DEPENDENCYPART_ARC
(10,9),0.201847 # DEPENDENCYPART_ARC
(10,11),-0.17877 # DEPENDENCYPART_ARC
(10,12),0.150694 # DEPENDENCYPART_ARC
(10,13),-0.630031 # DEPENDENCYPART_ARC
(10,14),-0.528455 # DEPENDENCYPART_ARC
(10,15),-0.861584 # DEPENDENCYPART_ARC
(10,16),-0.744492 # DEPENDENCYPART_ARC
(10,17),-0.1692 # DEPENDENCYPART_ARC
(10,18),-1.122 # DEPENDENCYPART_ARC
(10,19),-0.702389 # DEPENDENCYPART_ARC
(10,21),-1.65762 # DEPENDENCYPART_ARC
(10,22),-1.22946 # DEPENDENCYPART_ARC
(10,23),-1.78116 # DEPENDENCYPART_ARC
(10,24),0.491076 # DEPENDENCYPART_ARC
(11,1),-1.43406 # DEPENDENCYPART_ARC
(11,2),-3.00497 # DEPENDENCYPART_ARC
(11,3),-0.934491 # DEPENDENCYPART_ARC
(11,4),-3.94199 # DEPENDENCYPART_ARC
(11,5),-1.42448 # DEPENDENCYPART_ARC
(11,6),-3.35133 # DEPENDENCYPART_ARC
(11,7),-1.90919 # DEPENDENCYPART_ARC
(11,8),0.1466 # DEPENDENCYPART_ARC
(11,9),0.534811 # DEPENDENCYPART_ARC
(11,10),0.678596 # DEPENDENCYPART_ARC
(11,12),-0.303728 # DEPENDENCYPART_ARC
(11,13),-1.07095 # DEPENDENCYPART_ARC
(11,14),-1.08821 # DEPENDENCYPART_ARC
(11,15),-1.08603 # DEPENDENCYPART_ARC
(11,16),-1.22153 # DEPENDENCYPART_ARC
(11,17),-0.13311 # DEPENDENCYPART_ARC
(11,18),-1.91745 # DEPENDENCYPART_ARC
(11,19),-0.992602 # DEPENDENCYPART_ARC
(11,20),-1.0659 # DEPENDENCYPART_ARC
(11,21),-2.07436 # DEPENDENCYPART_ARC
(11,22),-1.85768 # DEPENDENCYPART_ARC
(11,23),-2.08352 # DEPENDENCYPART_ARC
(11,24),0.158288 # DEPENDENCYPART_ARC
(12,1),-1.40156 # DEPENDENCYPART_ARC
(12,2),-0.634354 # DEPENDENCYPART_ARC
(12,3),-1.13674 # DEPENDENCYPART_ARC
(12,4),0.761785 # DEPENDENCYPART_ARC
(12,5),-1.13713 # DEPENDENCYPART_ARC
(12,6),0.425553 # DEPENDENCYPART_ARC
(12,7),-0.0847909 # DEPENDENCYPART_ARC
(12,8),0.700126 # DEPENDENCYPART_ARC
(12,9),1.44721 # DEPENDENCYPART_ARC
(12,10),2.21808 # DEPENDENCYPART_ARC
(12,11),2.30744 # DEPENDENCYPART_ARC
(12,13),-0.0759826 # DEPENDENCYPART_ARC
(12,14),0.12641 # DEPENDENCYPART_ARC
(12,15),0.928996 # DEPENDENCYPART_ARC
(12,16),3.19845 # DEPENDENCYPART_ARC
(12,17),2.15021 # DEPENDENCYPART_ARC
(12,18),-0.33059 # DEPENDENCYPART_ARC
(12,19),0.522601 # DEPENDENCYPART_ARC
(12,20),-0.947147 # DEPENDENCYPART_ARC
(12,21),-1.07088 # DEPENDENCYPART_ARC
(12,22),-1.03015 # DEPENDENCYPART_ARC
(12,23),0.309766 # DEPENDENCYPART_ARC
(12,24),2.02924 # DEPENDENCYPART_ARC
(13,2),-3.38362 # DEPENDENCYPART_ARC
(13,3),-2.15749 # DEPENDENCYPART_ARC
(13,4),-3.59729 # DEPENDENCYPART_ARC
(13,6),-2.94164 # DEPENDENCYPART_ARC
(13,8),-1.36899 # DEPENDENCYPART_ARC
(13,9),-1.36062 # DEPENDENCYPART_ARC
(13,11),-2.17219 # DEPENDENCYPART_ARC
(13,14),0.325046 # DEPENDENCYPART_ARC
(13,15),-0.516905 # DEPENDENCYPART_ARC
(13,16),-0.959715 # DEPENDENCYPART_ARC
(13,17),-0.29824 # DEPENDENCYPART_ARC
(13,21),-1.50707 # DEPENDENCYPART_ARC
(13,22),-1.00171 # DEPENDENCYPART_ARC
(13,23),-1.48701 # DEPENDENCYPART_ARC
(14,1),-2.46204 # DEPENDENCYPART_ARC
(14,2),-3.0832 # DEPENDENCYPART_ARC
(14,3),-3.05615 # DEPENDENCYPART_ARC
(14,4),-3.96818 # DEPENDENCYPART_ARC
(14,5),-2.51954 # DEPENDENCYPART_ARC
(14,6),-2.47222 # DEPENDENCYPART_ARC
(14,7),-2.24059 # DEPENDENCYPART_ARC
(14,8),-1.42595 # DEPENDENCYPART_ARC
(14,9),-1.58982 # DEPENDENCYPART_ARC
(14,10),-1.24267 # DEPENDENCYPART_ARC
(14,11),-1.60478 # DEPENDENCYPART_ARC
(14,12),-1.02169 # DEPENDENCYPART_ARC
(14,13),0.501667 # DEPENDENCYPART_ARC
(14,15),-0.828547 # DEPENDENCYPART_ARC
(14,16),-1.43598 # DEPENDENCYPART_ARC
(14,17),-0.716775 # DEPENDENCYPART_ARC
(14,18),-2.09957 # DEPENDENCYPART_ARC
(14,19),-1.61842 # DEPENDENCYPART_ARC
(14,20),-1.63474 # DEPENDENCYPART_ARC
(14,21),-2.46809 # DEPENDENCYPART_ARC
(14,22),-2.02608 # DEPENDENCYPART_ARC
(14,23),-2.14463 # DEPENDENCYPART_ARC
(14,24),-1.36848 # DEPENDENCYPART_ARC
(15,1),-1.64163 # DEPENDENCYPART_ARC
(15,2),-3.3866 # DEPENDENCYPART_ARC
(15,3),-1.03054 # DEPENDENCYPART_ARC
(15,4),-4.66216 # DEPENDENCYPART_ARC
(15,5),-1.57902 # DEPENDENCYPART_ARC
(15,6),-4.52877 # DEPENDENCYPART_ARC
(15,7),-2.35732 # DEPENDENCYPART_ARC
(15,8),-1.71402 # DEPENDENCYPART_ARC
(15,9),-0.982577 # DEPENDENCYPART_ARC
(15,10),-1.04481 # DEPENDENCYPART_ARC
(15,11),-3.44313 # DEPENDENCYPART_ARC
(15,12),-0.876781 # DEPENDENCYPART_ARC
(15,13),2.22611 # DEPENDENCYPART_ARC
(15,14),3.29548 # DEPENDENCYPART_ARC
(15,16),-1.09737 # DEPENDENCYPART_ARC
(15,17),-0.388586 # DEPENDENCYPART_ARC
(15,18),-1.88098 # DEPENDENCYPART_ARC
(15,19),-1.20964 # DEPENDENCYPART_ARC
(15,20),-1.26835 # DEPENDENCYPART_ARC
(15,21),-2.12869 # DEPENDENCYPART_ARC
(15,22),-1.94039 # DEPENDENCYPART_ARC
(15,23),-1.54442 # DEPENDENCYPART_ARC
(15,24),-0.321307 # DEPENDENCYPART_ARC
(16,1),-1.51149 # DEPENDENCYPART_ARC
(16,2),-3.34403 # DEPENDENCYPART_ARC
(16,3),-0.896497 # DEPENDENCYPART_ARC
(16,4),-4.35413 # DEPENDENCYPART_ARC
(16,5),-1.39294 # DEPENDENCYPART_ARC
(16,6),-3.82444 # DEPENDENCYPART_ARC
(16,7),-2.29857 # DEPENDENCYPART_ARC
(16,8),-0.887423 # DEPENDENCYPART_ARC
(16,9),-0.577376 # DEPENDENCYPART_ARC
(16,10),-0.667447 # DEPENDENCYPART_ARC
(16,11),-2.69727 # DEPENDENCYPART_ARC
(16,12),-0.885433 # DEPENDENCYPART_ARC
(16,13),1.859 # DEPENDENCYPART_ARC
(16,14),2.16574 # DEPENDENCYPART_ARC
(16,15),2.41473 # DEPENDENCYPART_ARC
(16,17),0.441985 # DEPENDENCYPART_ARC
(16,18),-1.33579 # DEPENDENCYPART_ARC
(16,19),-0.469391 # DEPENDENCYPART_ARC
(16,20),-0.377803 # DEPENDENCYPART_ARC
(16,21),-1.3603 # DEPENDENCYPART_ARC
(16,22),-1.04188 # DEPENDENCYPART_ARC
(16,23),-1.19974 # DEPENDENCYPART_ARC
(16,24),0.554849 # DEPENDENCYPART_ARC
(18,2),-1.38005 # DEPENDENCYPART_ARC
(18,3),-1.35698 # DEPENDENCYPART_ARC
(18,4),-1.53939 # DEPENDENCYPART_ARC
(18,6),-1.59307 # DEPENDENCYPART_ARC
(18,9),0.115273 # DEPENDENCYPART_ARC
(18,11),-1.35215 # DEPENDENCYPART_ARC
(18,14),-0.710437 # DEPENDENCYPART_ARC
(18,15),-0.744532 # DEPENDENCYPART_ARC
(18,16),-1.32088 # DEPENDENCYPART_ARC
(18,21),-0.676396 # DEPENDENCYPART_ARC
(18,22),-0.940897 # DEPENDENCYPART_ARC
(18,23),-0.500612 # DEPENDENCYPART_ARC
(19,1),-2.71206 # DEPENDENCYPART_ARC
(19,2),-1.79529 # DEPENDENCYPART_ARC
(19,3),-1.61922 # DEPENDENCYPART_ARC
(19,4),-2.11489 # DEPENDENCYPART_ARC
(19,5),-1.882 # DEPENDENCYPART_ARC
(19,6),-1.81413 # DEPENDENCYPART_ARC
(19,7),-1.40699 # DEPENDENCYPART_ARC
(19,8),-1.33288 # DEPENDENCYPART_ARC
(19,9),-0.988975 # DEPENDENCYPART_ARC
(19,10),-1.06754 # DEPENDENCYPART_ARC
(19,11),-1.13049 # DEPENDENCYPART_ARC
(19,12),-1.25312 # DEPENDENCYPART_ARC
(19,13),-1.12149 # DEPENDENCYPART_ARC
(19,14),-0.99516 # DEPENDENCYPART_ARC
(19,15),-0.928026 # DEPENDENCYPART_ARC
(19,16),-1.01102 # DEPENDENCYPART_ARC
(19,17),-0.684233 # DEPENDENCYPART_ARC
(19,18),0.0608174 # DEPENDENCYPART_ARC
(19,21),0.429677 # DEPENDENCYPART_ARC
(19,22),-0.156002 # DEPENDENCYPART_ARC
(19,23),0.398672 # DEPENDENCYPART_ARC
(19,24),0.989109 # DEPENDENCYPART_ARC
(20,3),-1.75792 # DEPENDENCYPART_ARC
(20,8),-0.941415 # DEPENDENCYPART_ARC
(20,14),-1.11362 # DEPENDENCYPART_ARC
(20,17),-0.360887 # DEPENDENCYPART_ARC
(20,22),-0.115088 # DEPENDENCYPART_ARC
(21,1),-3.0286 # DEPENDENCYPART_ARC
(21,2),-5.54502 # DEPENDENCYPART_ARC
(21,3),-3.46142 # DEPENDENCYPART_ARC
(21,4),-6.66233 # DEPENDENCYPART_ARC
(21,5),-3.17613 # DEPENDENCYPART_ARC
(21,6),-6.32751 # DEPENDENCYPART_ARC
(21,7),-3.63801 # DEPENDENCYPART_ARC
(21,8),-2.4332 # DEPENDENCYPART_ARC
(21,9),-1.95945 # DEPENDENCYPART_ARC
(21,10),-1.73862 # DEPENDENCYPART_ARC
(21,11),-5.4955 # DEPENDENCYPART_ARC
(21,12),-2.60287 # DEPENDENCYPART_ARC
(21,13),-0.68138 # DEPENDENCYPART_ARC
(21,14),-1.21718 # DEPENDENCYPART_ARC
(21,15),-2.32745 # DEPENDENCYPART_ARC
(21,16),-4.46246 # DEPENDENCYPART_ARC
(21,17),-1.07531 # DEPENDENCYPART_ARC
(21,18),-1.73164 # DEPENDENCYPART_ARC
(21,19),-0.386675 # DEPENDENCYPART_ARC
(21,20),3.29753 # DEPENDENCYPART_ARC
(21,22),-0.874366 # DEPENDENCYPART_ARC
(21,23),-0.725607 # DEPENDENCYPART_ARC
(21,24),-0.643485 # DEPENDENCYPART_ARC
(22,1),-2.3553 # DEPENDENCYPART_ARC
(22,2),-1.57129 # DEPENDENCYPART_ARC
(22,3),-2.59739 # DEPENDENCYPART_ARC
(22,4),-2.91699 # DEPENDENCYPART_ARC
(22,5),-1.76911 # DEPENDENCYPART_ARC
(22,6),-1.57249 # DEPENDENCYPART_ARC
(22,7),-1.3168 # DEPENDENCYPART_ARC
(22,8),-1.07829 # DEPENDENCYPART_ARC
(22,9),-0.59572 # DEPENDENCYPART_ARC
(22,10),-0.873161 # DEPENDENCYPART_ARC
(22,11),-1.10599 # DEPENDENCYPART_ARC
(22,12),-0.717855 # DEPENDENCYPART_ARC
(22,13),-0.526646 # DEPENDENCYPART_ARC
(22,14),-0.971782 # DEPENDENCYPART_ARC
(22,15),-0.933869 # DEPENDENCYPART_ARC
(22,16),-0.449082 # DEPENDENCYPART_ARC
(22,17),-0.41283 # DEPENDENCYPART_ARC
(22,18),-0.61693 # DEPENDENCYPART_ARC
(22,19),0.190623 # DEPENDENCYPART_ARC
(22,20),0.897207 # DEPENDENCYPART_ARC
(22,21),2.90606 # DEPENDENCYPART_ARC
(22,23),-0.836317 # DEPENDENCYPART_ARC
(22,24),-1.23159 # DEPENDENCYPART_ARC
(23,1),-2.31008 # DEPENDENCYPART_ARC
(23,2),-3.98998 # DEPENDENCYPART_ARC
(23,3),-1.39729 # DEPENDENCYPART_ARC
(23,4),-5.05396 # DEPENDENCYPART_ARC
(23,5),-1.81612 # DEPENDENCYPART_ARC
(23,6),-4.97694 # DEPENDENCYPART_ARC
(23,7),-1.77516 # DEPENDENCYPART_ARC
(23,8),-1.29559 # DEPENDENCYPART_ARC
(23,9),-0.41501 # DEPENDENCYPART_ARC
(23,10),-0.437626 # DEPENDENCYPART_ARC
(23,11),-4.16198 # DEPENDENCYPART_ARC
(23,12),-0.810845 # DEPENDENCYPART_ARC
(23,13),0.66822 # DEPENDENCYPART_ARC
(23,14),0.71198 # DEPENDENCYPART_ARC
(23,15),-0.860009 # DEPENDENCYPART_ARC
(23,16),-3.5935 # DEPENDENCYPART_ARC
(23,17),-0.268163 # DEPENDENCYPART_ARC
(23,18),-0.69206 # DEPENDENCYPART_ARC
(23,19),0.0940428 # DEPENDENCYPART_ARC
(23,20),2.49956 # DEPENDENCYPART_ARC
(23,21),0.677231 # DEPENDENCYPART_ARC
(23,22),3.58598 # DEPENDENCYPART_ARC
(23,24),-0.140805 # DEPENDENCYPART_ARC
