# _root_ Nagy rongyrázás nincs , de már érezni , hogy az emberek egyre jobban élnek .
#goldHeads=2,3,5,5,0,7,5,7,7,11,14,13,14,7,5,
#predictedHeads=2,3,5,5,0,7,3,7,7,11,14,14,14,7,5,
(7,12),-0.105361 # DEPENDENCYPART_ARC
(7,13),-0.314554 # DEPENDENCYPART_ARC
(7,14),0.964467 # DEPENDENCYPART_ARC
(7,15),1.6072 # DEPENDENCYPART_ARC
(9,1),-0.114318 # DEPENDENCYPART_ARC
(9,2),-0.211617 # DEPENDENCYPART_ARC
(9,3),-0.26577 # DEPENDENCYPART_ARC
(9,4),0.000422946 # DEPENDENCYPART_ARC
(9,5),1.05613 # DEPENDENCYPART_ARC
(9,6),0.820676 # DEPENDENCYPART_ARC
(9,7),0.0925493 # DEPENDENCYPART_ARC
(9,8),1.02065 # DEPENDENCYPART_ARC
(9,10),-0.642422 # DEPENDENCYPART_ARC
(9,11),-0.637044 # DEPENDENCYPART_ARC
(9,12),-0.220754 # DEPENDENCYPART_ARC
(9,13),-0.0945309 # DEPENDENCYPART_ARC
(9,14),0.907352 # DEPENDENCYPART_ARC
(9,15),1.56521 # DEPENDENCYPART_ARC
(10,1),-2.46875 # DEPENDENCYPART_ARC
(10,2),-3.48816 # DEPENDENCYPART_ARC
(10,4),-1.50224 # DEPENDENCYPART_ARC
(10,5),-1.97735 # DEPENDENCYPART_ARC
(10,8),-1.30242 # DEPENDENCYPART_ARC
(10,11),-0.479458 # DEPENDENCYPART_ARC
(11,1),-1.81285 # DEPENDENCYPART_ARC
(11,2),-3.01664 # DEPENDENCYPART_ARC
(11,3),-3.06677 # DEPENDENCYPART_ARC
(11,4),-1.66119 # DEPENDENCYPART_ARC
(11,5),-1.00603 # DEPENDENCYPART_ARC
(11,6),-1.42975 # DEPENDENCYPART_ARC
(11,7),-0.041403 # DEPENDENCYPART_ARC
(11,8),-0.508637 # DEPENDENCYPART_ARC
(11,9),-0.839681 # DEPENDENCYPART_ARC
(11,10),3.37837 # DEPENDENCYPART_ARC
(11,12),-0.83011 # DEPENDENCYPART_ARC
(11,13),-0.942179 # DEPENDENCYPART_ARC
(11,14),-0.634536 # DEPENDENCYPART_ARC
(11,15),-0.694021 # DEPENDENCYPART_ARC
(12,1),-1.54324 # DEPENDENCYPART_ARC
(12,2),-1.72677 # DEPENDENCYPART_ARC
(12,3),-1.20197 # DEPENDENCYPART_ARC
(12,4),-0.882121 # DEPENDENCYPART_ARC
(12,5),-0.991469 # DEPENDENCYPART_ARC
(12,6),-1.08157 # DEPENDENCYPART_ARC
(12,7),-0.892377 # DEPENDENCYPART_ARC
(12,8),-0.646543 # DEPENDENCYPART_ARC
(12,9),-0.559234 # DEPENDENCYPART_ARC
(12,10),-0.356683 # DEPENDENCYPART_ARC
(12,11),-0.0234956 # DEPENDENCYPART_ARC
(12,13),-0.188 # DEPENDENCYPART_ARC
(12,14),-0.11236 # DEPENDENCYPART_ARC
(12,15),-0.280789 # DEPENDENCYPART_ARC
(13,1),-0.521686 # DEPENDENCYPART_ARC
(13,2),-0.900066 # DEPENDENCYPART_ARC
(13,3),-0.195045 # DEPENDENCYPART_ARC
(13,4),0.0570121 # DEPENDENCYPART_ARC
(13,5),-0.111475 # DEPENDENCYPART_ARC
(13,6),-0.149285 # DEPENDENCYPART_ARC
(13,7),0.0940911 # DEPENDENCYPART_ARC
(13,8),0.188693 # DEPENDENCYPART_ARC
(13,9),0.193116 # DEPENDENCYPART_ARC
(13,10),0.289262 # DEPENDENCYPART_ARC
(13,11),0.463995 # DEPENDENCYPART_ARC
(13,12),1.53196 # DEPENDENCYPART_ARC
(13,14),-0.195867 # DEPENDENCYPART_ARC
(13,15),-0.907651 # DEPENDENCYPART_ARC
(14,1),-1.12022 # DEPENDENCYPART_ARC
(14,2),0.0929026 # DEPENDENCYPART_ARC
(14,3),-0.245621 # DEPENDENCYPART_ARC
(14,4),0.740991 # DEPENDENCYPART_ARC
(14,5),0.998953 # DEPENDENCYPART_ARC
(14,6),1.34879 # DEPENDENCYPART_ARC
(14,7),1.10088 # DEPENDENCYPART_ARC
(14,8),1.16071 # DEPENDENCYPART_ARC
(14,9),0.394625 # DEPENDENCYPART_ARC
(14,10),0.105315 # DEPENDENCYPART_ARC
(14,11),3.075 # DEPENDENCYPART_ARC
(14,12),2.37908 # DEPENDENCYPART_ARC
(14,13),3.30217 # DEPENDENCYPART_ARC
(14,15),1.62572 # DEPENDENCYPART_ARC
