# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,4,8,9,9,9,8,9,0,9,14,13,14,15,9,9,
(8,5),1.23363 # DEPENDENCYPART_ARC
(8,6),0.273775 # DEPENDENCYPART_ARC
(8,7),3.67867 # DEPENDENCYPART_ARC
(8,9),-0.463965 # DEPENDENCYPART_ARC
(8,10),-1.35291 # DEPENDENCYPART_ARC
(8,11),-1.06343 # DEPENDENCYPART_ARC
(8,12),-1.18506 # DEPENDENCYPART_ARC
(8,13),-1.14585 # DEPENDENCYPART_ARC
(8,14),-1.19817 # DEPENDENCYPART_ARC
(8,15),-1.92919 # DEPENDENCYPART_ARC
(8,16),-0.171742 # DEPENDENCYPART_ARC
(9,1),1.10589 # DEPENDENCYPART_ARC
(9,2),-0.323925 # DEPENDENCYPART_ARC
(9,3),0.991993 # DEPENDENCYPART_ARC
(9,4),1.94233 # DEPENDENCYPART_ARC
(9,5),1.79867 # DEPENDENCYPART_ARC
(9,6),2.86907 # DEPENDENCYPART_ARC
(9,7),0.96844 # DEPENDENCYPART_ARC
(9,8),3.84952 # DEPENDENCYPART_ARC
(9,10),3.12606 # DEPENDENCYPART_ARC
(9,11),0.275168 # DEPENDENCYPART_ARC
(9,12),0.19178 # DEPENDENCYPART_ARC
(9,13),-0.188911 # DEPENDENCYPART_ARC
(9,14),1.10907 # DEPENDENCYPART_ARC
(9,15),2.29267 # DEPENDENCYPART_ARC
(9,16),2.00921 # DEPENDENCYPART_ARC
(10,1),-4.52221 # DEPENDENCYPART_ARC
(10,2),-1.03482 # DEPENDENCYPART_ARC
(10,3),-0.332725 # DEPENDENCYPART_ARC
(10,4),-3.75345 # DEPENDENCYPART_ARC
(10,5),-0.616627 # DEPENDENCYPART_ARC
(10,6),-3.9931 # DEPENDENCYPART_ARC
(10,7),-0.114361 # DEPENDENCYPART_ARC
(10,8),-2.55633 # DEPENDENCYPART_ARC
(10,9),-0.254667 # DEPENDENCYPART_ARC
(10,11),-0.454543 # DEPENDENCYPART_ARC
(10,12),-0.299403 # DEPENDENCYPART_ARC
(10,13),-0.613625 # DEPENDENCYPART_ARC
(10,14),-0.685942 # DEPENDENCYPART_ARC
(10,15),-1.17484 # DEPENDENCYPART_ARC
(10,16),0.369562 # DEPENDENCYPART_ARC
(11,1),-2.76928 # DEPENDENCYPART_ARC
(11,2),-1.72632 # DEPENDENCYPART_ARC
(11,3),-1.14648 # DEPENDENCYPART_ARC
(11,4),-2.65372 # DEPENDENCYPART_ARC
(11,5),-1.21823 # DEPENDENCYPART_ARC
(11,6),-2.38243 # DEPENDENCYPART_ARC
(11,7),-1.53282 # DEPENDENCYPART_ARC
(11,8),-2.1287 # DEPENDENCYPART_ARC
(11,9),-1.14262 # DEPENDENCYPART_ARC
(11,10),-1.08917 # DEPENDENCYPART_ARC
(11,12),-0.0730321 # DEPENDENCYPART_ARC
(11,13),-0.0126746 # DEPENDENCYPART_ARC
(11,14),-0.850018 # DEPENDENCYPART_ARC
(11,15),-1.38125 # DEPENDENCYPART_ARC
(11,16),-1.52842 # DEPENDENCYPART_ARC
(12,1),-5.67422 # DEPENDENCYPART_ARC
(12,2),-3.69483 # DEPENDENCYPART_ARC
(12,3),-1.64727 # DEPENDENCYPART_ARC
(12,4),-4.6748 # DEPENDENCYPART_ARC
(12,5),-1.50854 # DEPENDENCYPART_ARC
(12,6),-4.97879 # DEPENDENCYPART_ARC
(12,7),-2.65996 # DEPENDENCYPART_ARC
(12,8),-3.96631 # DEPENDENCYPART_ARC
(12,9),-2.01888 # DEPENDENCYPART_ARC
(12,10),-2.31321 # DEPENDENCYPART_ARC
(12,11),2.293 # DEPENDENCYPART_ARC
(12,13),-0.422625 # DEPENDENCYPART_ARC
(12,14),0.216603 # DEPENDENCYPART_ARC
(12,15),-0.933245 # DEPENDENCYPART_ARC
(12,16),-0.4924 # DEPENDENCYPART_ARC
(13,1),-0.280155 # DEPENDENCYPART_ARC
(13,2),-1.27108 # DEPENDENCYPART_ARC
(13,3),-0.226557 # DEPENDENCYPART_ARC
(13,4),0.678827 # DEPENDENCYPART_ARC
(13,5),1.02357 # DEPENDENCYPART_ARC
(13,6),0.733773 # DEPENDENCYPART_ARC
(13,7),-0.646852 # DEPENDENCYPART_ARC
(13,8),-0.461892 # DEPENDENCYPART_ARC
(13,9),0.300423 # DEPENDENCYPART_ARC
(13,10),0.968981 # DEPENDENCYPART_ARC
(13,11),1.53957 # DEPENDENCYPART_ARC
(13,12),3.43465 # DEPENDENCYPART_ARC
(13,14),-0.394598 # DEPENDENCYPART_ARC
(13,15),-1.06404 # DEPENDENCYPART_ARC
(13,16),-0.558114 # DEPENDENCYPART_ARC
(14,1),-3.37089 # DEPENDENCYPART_ARC
(14,2),0.333846 # DEPENDENCYPART_ARC
(14,3),0.9589 # DEPENDENCYPART_ARC
(14,4),-2.89932 # DEPENDENCYPART_ARC
(14,5),0.236808 # DEPENDENCYPART_ARC
(14,6),-2.96631 # DEPENDENCYPART_ARC
(14,7),0.559305 # DEPENDENCYPART_ARC
(14,8),-2.39919 # DEPENDENCYPART_ARC
(14,9),-0.499467 # DEPENDENCYPART_ARC
(14,10),-1.33424 # DEPENDENCYPART_ARC
(14,11),2.38213 # DEPENDENCYPART_ARC
(14,12),2.84804 # DEPENDENCYPART_ARC
(14,13),3.9504 # DEPENDENCYPART_ARC
(14,15),-0.814008 # DEPENDENCYPART_ARC
(14,16),-0.54244 # DEPENDENCYPART_ARC
(15,1),-3.34823 # DEPENDENCYPART_ARC
(15,2),-0.917363 # DEPENDENCYPART_ARC
(15,3),0.348274 # DEPENDENCYPART_ARC
(15,4),-1.83318 # DEPENDENCYPART_ARC
(15,5),0.673724 # DEPENDENCYPART_ARC
(15,6),-2.27319 # DEPENDENCYPART_ARC
(15,7),-0.841249 # DEPENDENCYPART_ARC
(15,8),-0.266549 # DEPENDENCYPART_ARC
(15,9),-1.43401 # DEPENDENCYPART_ARC
(15,10),-1.20213 # DEPENDENCYPART_ARC
(15,11),0.967497 # DEPENDENCYPART_ARC
(15,12),2.44392 # DEPENDENCYPART_ARC
(15,13),1.97096 # DEPENDENCYPART_ARC
(15,14),4.63544 # DEPENDENCYPART_ARC
(15,16),0.246391 # DEPENDENCYPART_ARC
(16,1),-4.24114 # DEPENDENCYPART_ARC
(16,2),-3.35053 # DEPENDENCYPART_ARC
(16,3),-2.78073 # DEPENDENCYPART_ARC
(16,4),-4.10086 # DEPENDENCYPART_ARC
(16,5),-2.87647 # DEPENDENCYPART_ARC
(16,6),-3.93441 # DEPENDENCYPART_ARC
(16,7),-3.2355 # DEPENDENCYPART_ARC
(16,8),-3.92439 # DEPENDENCYPART_ARC
(16,9),-2.81624 # DEPENDENCYPART_ARC
(16,10),-3.52867 # DEPENDENCYPART_ARC
(16,11),-2.56149 # DEPENDENCYPART_ARC
(16,12),-3.34386 # DEPENDENCYPART_ARC
(16,13),-2.44324 # DEPENDENCYPART_ARC
(16,14),-2.89379 # DEPENDENCYPART_ARC
(16,15),-2.50896 # DEPENDENCYPART_ARC
