# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,6,
(7,14),-1.6765 # DEPENDENCYPART_ARC
(7,15),-1.42106 # DEPENDENCYPART_ARC
(7,16),-1.38299 # DEPENDENCYPART_ARC
(7,17),-1.54509 # DEPENDENCYPART_ARC
(7,18),-0.784779 # DEPENDENCYPART_ARC
(7,21),-1.83272 # DEPENDENCYPART_ARC
(7,22),-2.22335 # DEPENDENCYPART_ARC
(7,24),-1.92305 # DEPENDENCYPART_ARC
(7,25),-2.36089 # DEPENDENCYPART_ARC
(7,26),-2.04795 # DEPENDENCYPART_ARC
(7,27),-2.37734 # DEPENDENCYPART_ARC
(7,28),-1.39821 # DEPENDENCYPART_ARC
(7,29),-0.319629 # DEPENDENCYPART_ARC
(9,1),1.17402 # DEPENDENCYPART_ARC
(9,2),-0.910286 # DEPENDENCYPART_ARC
(9,3),-0.71853 # DEPENDENCYPART_ARC
(9,4),-0.251001 # DEPENDENCYPART_ARC
(9,5),0.222519 # DEPENDENCYPART_ARC
(9,6),1.71213 # DEPENDENCYPART_ARC
(9,8),2.46996 # DEPENDENCYPART_ARC
(9,10),0.353705 # DEPENDENCYPART_ARC
(9,11),0.628359 # DEPENDENCYPART_ARC
(9,12),2.24511 # DEPENDENCYPART_ARC
(9,13),0.0967186 # DEPENDENCYPART_ARC
(9,14),-0.178407 # DEPENDENCYPART_ARC
(9,15),-0.00326223 # DEPENDENCYPART_ARC
(9,16),-0.272039 # DEPENDENCYPART_ARC
(9,17),0.0850777 # DEPENDENCYPART_ARC
(9,18),0.762828 # DEPENDENCYPART_ARC
(9,19),-0.211194 # DEPENDENCYPART_ARC
(9,20),-0.1354 # DEPENDENCYPART_ARC
(9,21),-0.642851 # DEPENDENCYPART_ARC
(9,22),-0.437496 # DEPENDENCYPART_ARC
(9,23),-0.266124 # DEPENDENCYPART_ARC
(9,24),-0.858766 # DEPENDENCYPART_ARC
(9,25),-0.861292 # DEPENDENCYPART_ARC
(9,26),-1.02339 # DEPENDENCYPART_ARC
(9,27),-1.04927 # DEPENDENCYPART_ARC
(9,28),0.291323 # DEPENDENCYPART_ARC
(9,29),2.44575 # DEPENDENCYPART_ARC
(10,4),-3.21651 # DEPENDENCYPART_ARC
(10,8),-0.95393 # DEPENDENCYPART_ARC
(10,9),-0.488551 # DEPENDENCYPART_ARC
(10,11),-0.623018 # DEPENDENCYPART_ARC
(10,14),-1.41581 # DEPENDENCYPART_ARC
(10,15),-1.04205 # DEPENDENCYPART_ARC
(10,16),-1.12804 # DEPENDENCYPART_ARC
(10,17),-1.96308 # DEPENDENCYPART_ARC
(10,18),-0.962861 # DEPENDENCYPART_ARC
(10,21),-1.63181 # DEPENDENCYPART_ARC
(10,22),-2.38695 # DEPENDENCYPART_ARC
(10,24),-1.95234 # DEPENDENCYPART_ARC
(10,25),-2.4614 # DEPENDENCYPART_ARC
(10,26),-2.17158 # DEPENDENCYPART_ARC
(10,27),-2.89642 # DEPENDENCYPART_ARC
(11,1),-1.77805 # DEPENDENCYPART_ARC
(11,2),-2.53371 # DEPENDENCYPART_ARC
(11,3),-1.08985 # DEPENDENCYPART_ARC
(11,4),-3.18493 # DEPENDENCYPART_ARC
(11,5),-1.09702 # DEPENDENCYPART_ARC
(11,6),-1.52801 # DEPENDENCYPART_ARC
(11,7),-0.827708 # DEPENDENCYPART_ARC
(11,8),-0.538305 # DEPENDENCYPART_ARC
(11,9),0.219933 # DEPENDENCYPART_ARC
(11,10),3.17832 # DEPENDENCYPART_ARC
(11,12),-0.51761 # DEPENDENCYPART_ARC
(11,13),-1.55859 # DEPENDENCYPART_ARC
(11,14),-1.76482 # DEPENDENCYPART_ARC
(11,15),-1.73239 # DEPENDENCYPART_ARC
(11,16),-1.61399 # DEPENDENCYPART_ARC
(11,17),-1.75188 # DEPENDENCYPART_ARC
(11,18),-0.473718 # DEPENDENCYPART_ARC
(11,19),-2.22838 # DEPENDENCYPART_ARC
(11,20),-1.82978 # DEPENDENCYPART_ARC
(11,21),-1.91285 # DEPENDENCYPART_ARC
(11,22),-2.4035 # DEPENDENCYPART_ARC
(11,23),-1.98312 # DEPENDENCYPART_ARC
(11,24),-2.11072 # DEPENDENCYPART_ARC
(11,25),-2.68505 # DEPENDENCYPART_ARC
(11,26),-2.12246 # DEPENDENCYPART_ARC
(11,27),-2.3438 # DEPENDENCYPART_ARC
(11,28),-1.35181 # DEPENDENCYPART_ARC
(11,29),-0.0727225 # DEPENDENCYPART_ARC
(12,1),1.06495 # DEPENDENCYPART_ARC
(12,2),-0.83793 # DEPENDENCYPART_ARC
(12,3),-1.64296 # DEPENDENCYPART_ARC
(12,4),0.720949 # DEPENDENCYPART_ARC
(12,5),0.538783 # DEPENDENCYPART_ARC
(12,6),-0.0969865 # DEPENDENCYPART_ARC
(12,7),0.51531 # DEPENDENCYPART_ARC
(12,8),0.793659 # DEPENDENCYPART_ARC
(12,9),0.659531 # DEPENDENCYPART_ARC
(12,10),-0.185961 # DEPENDENCYPART_ARC
(12,11),3.2976 # DEPENDENCYPART_ARC
(12,13),-0.247768 # DEPENDENCYPART_ARC
(12,14),0.0212035 # DEPENDENCYPART_ARC
(12,15),-0.254451 # DEPENDENCYPART_ARC
(12,16),-0.430176 # DEPENDENCYPART_ARC
(12,17),3.08396 # DEPENDENCYPART_ARC
(12,18),2.03774 # DEPENDENCYPART_ARC
(12,19),-0.967891 # DEPENDENCYPART_ARC
(12,20),-0.931686 # DEPENDENCYPART_ARC
(12,21),-1.24258 # DEPENDENCYPART_ARC
(12,22),0.981515 # DEPENDENCYPART_ARC
(12,23),-0.989926 # DEPENDENCYPART_ARC
(12,24),-1.5589 # DEPENDENCYPART_ARC
(12,25),-0.992533 # DEPENDENCYPART_ARC
(12,26),-1.03584 # DEPENDENCYPART_ARC
(12,27),0.977009 # DEPENDENCYPART_ARC
(12,28),0.779717 # DEPENDENCYPART_ARC
(12,29),2.49719 # DEPENDENCYPART_ARC
(13,4),-3.64508 # DEPENDENCYPART_ARC
(13,8),-1.70993 # DEPENDENCYPART_ARC
(13,9),-1.83863 # DEPENDENCYPART_ARC
(13,11),-2.73744 # DEPENDENCYPART_ARC
(13,14),-0.496167 # DEPENDENCYPART_ARC
(13,15),-0.323196 # DEPENDENCYPART_ARC
(13,16),-0.56369 # DEPENDENCYPART_ARC
(13,17),-1.39651 # DEPENDENCYPART_ARC
(13,18),-0.745339 # DEPENDENCYPART_ARC
(13,21),-1.23993 # DEPENDENCYPART_ARC
(13,22),-1.98612 # DEPENDENCYPART_ARC
(13,24),-1.57411 # DEPENDENCYPART_ARC
(13,25),-2.216 # DEPENDENCYPART_ARC
(13,26),-1.93656 # DEPENDENCYPART_ARC
(13,27),-2.72123 # DEPENDENCYPART_ARC
(14,1),-2.73787 # DEPENDENCYPART_ARC
(14,2),-2.66162 # DEPENDENCYPART_ARC
(14,3),-2.05287 # DEPENDENCYPART_ARC
(14,4),-4.23785 # DEPENDENCYPART_ARC
(14,5),-1.93491 # DEPENDENCYPART_ARC
(14,6),-3.35602 # DEPENDENCYPART_ARC
(14,7),-2.05421 # DEPENDENCYPART_ARC
(14,8),-2.29736 # DEPENDENCYPART_ARC
(14,9),-1.50124 # DEPENDENCYPART_ARC
(14,10),-0.237493 # DEPENDENCYPART_ARC
(14,11),-2.50362 # DEPENDENCYPART_ARC
(14,12),-1.5969 # DEPENDENCYPART_ARC
(14,13),2.95038 # DEPENDENCYPART_ARC
(14,15),-0.684745 # DEPENDENCYPART_ARC
(14,16),-0.580369 # DEPENDENCYPART_ARC
(14,17),-0.600773 # DEPENDENCYPART_ARC
(14,18),-0.0792918 # DEPENDENCYPART_ARC
(14,19),-1.77182 # DEPENDENCYPART_ARC
(14,20),-1.40131 # DEPENDENCYPART_ARC
(14,21),-1.16002 # DEPENDENCYPART_ARC
(14,22),-0.85477 # DEPENDENCYPART_ARC
(14,23),-1.52249 # DEPENDENCYPART_ARC
(14,24),-1.20187 # DEPENDENCYPART_ARC
(14,25),-1.47948 # DEPENDENCYPART_ARC
(14,26),-1.45061 # DEPENDENCYPART_ARC
(14,27),-1.52237 # DEPENDENCYPART_ARC
(14,28),-1.83795 # DEPENDENCYPART_ARC
(14,29),-0.0879251 # DEPENDENCYPART_ARC
(15,1),-0.333542 # DEPENDENCYPART_ARC
(15,2),-1.37684 # DEPENDENCYPART_ARC
(15,3),-1.5164 # DEPENDENCYPART_ARC
(15,4),-1.57065 # DEPENDENCYPART_ARC
(15,5),-1.01683 # DEPENDENCYPART_ARC
(15,6),-0.898176 # DEPENDENCYPART_ARC
(15,7),-0.648671 # DEPENDENCYPART_ARC
(15,8),-0.152769 # DEPENDENCYPART_ARC
(15,9),-0.122894 # DEPENDENCYPART_ARC
(15,10),-0.528534 # DEPENDENCYPART_ARC
(15,11),-0.538541 # DEPENDENCYPART_ARC
(15,12),-0.140838 # DEPENDENCYPART_ARC
(15,13),0.910769 # DEPENDENCYPART_ARC
(15,14),2.71109 # DEPENDENCYPART_ARC
(15,16),-0.622479 # DEPENDENCYPART_ARC
(15,17),-0.803113 # DEPENDENCYPART_ARC
(15,18),-0.309192 # DEPENDENCYPART_ARC
(15,19),-1.57763 # DEPENDENCYPART_ARC
(15,20),-1.42707 # DEPENDENCYPART_ARC
(15,21),-1.40396 # DEPENDENCYPART_ARC
(15,22),-1.67874 # DEPENDENCYPART_ARC
(15,23),-1.49295 # DEPENDENCYPART_ARC
(15,24),-1.52515 # DEPENDENCYPART_ARC
(15,25),-2.05204 # DEPENDENCYPART_ARC
(15,26),-1.58914 # DEPENDENCYPART_ARC
(15,27),-2.37422 # DEPENDENCYPART_ARC
(15,28),-0.869264 # DEPENDENCYPART_ARC
(15,29),-0.130198 # DEPENDENCYPART_ARC
(16,1),-1.15005 # DEPENDENCYPART_ARC
(16,2),-1.99625 # DEPENDENCYPART_ARC
(16,3),-2.13438 # DEPENDENCYPART_ARC
(16,4),-2.91345 # DEPENDENCYPART_ARC
(16,5),-1.78913 # DEPENDENCYPART_ARC
(16,6),-1.4994 # DEPENDENCYPART_ARC
(16,7),-1.41595 # DEPENDENCYPART_ARC
(16,8),-0.81018 # DEPENDENCYPART_ARC
(16,9),-0.915968 # DEPENDENCYPART_ARC
(16,10),-1.13626 # DEPENDENCYPART_ARC
(16,11),-1.95554 # DEPENDENCYPART_ARC
(16,12),-0.901147 # DEPENDENCYPART_ARC
(16,13),-0.155868 # DEPENDENCYPART_ARC
(16,14),0.822533 # DEPENDENCYPART_ARC
(16,15),0.765374 # DEPENDENCYPART_ARC
(16,17),-0.923682 # DEPENDENCYPART_ARC
(16,18),-0.528068 # DEPENDENCYPART_ARC
(16,19),-1.80234 # DEPENDENCYPART_ARC
(16,20),-1.62717 # DEPENDENCYPART_ARC
(16,21),-1.61653 # DEPENDENCYPART_ARC
(16,22),-1.90985 # DEPENDENCYPART_ARC
(16,23),-1.73713 # DEPENDENCYPART_ARC
(16,24),-1.80628 # DEPENDENCYPART_ARC
(16,25),-2.33962 # DEPENDENCYPART_ARC
(16,26),-1.81538 # DEPENDENCYPART_ARC
(16,27),-2.59629 # DEPENDENCYPART_ARC
(16,28),-1.16604 # DEPENDENCYPART_ARC
(16,29),-0.566506 # DEPENDENCYPART_ARC
(17,1),-1.0938 # DEPENDENCYPART_ARC
(17,2),0.224162 # DEPENDENCYPART_ARC
(17,3),-1.05525 # DEPENDENCYPART_ARC
(17,4),-2.82205 # DEPENDENCYPART_ARC
(17,5),-0.536377 # DEPENDENCYPART_ARC
(17,6),-1.6651 # DEPENDENCYPART_ARC
(17,7),-0.76574 # DEPENDENCYPART_ARC
(17,8),-0.972899 # DEPENDENCYPART_ARC
(17,9),-0.31348 # DEPENDENCYPART_ARC
(17,10),0.323172 # DEPENDENCYPART_ARC
(17,11),-1.6593 # DEPENDENCYPART_ARC
(17,12),-0.787362 # DEPENDENCYPART_ARC
(17,13),2.18813 # DEPENDENCYPART_ARC
(17,14),-0.363489 # DEPENDENCYPART_ARC
(17,15),3.05874 # DEPENDENCYPART_ARC
(17,16),3.57121 # DEPENDENCYPART_ARC
(17,18),0.164971 # DEPENDENCYPART_ARC
(17,19),-1.51857 # DEPENDENCYPART_ARC
(17,20),-0.71625 # DEPENDENCYPART_ARC
(17,21),-0.791102 # DEPENDENCYPART_ARC
(17,22),-0.748836 # DEPENDENCYPART_ARC
(17,23),-0.941859 # DEPENDENCYPART_ARC
(17,24),-1.06695 # DEPENDENCYPART_ARC
(17,25),-1.18778 # DEPENDENCYPART_ARC
(17,26),-1.16912 # DEPENDENCYPART_ARC
(17,27),-0.704057 # DEPENDENCYPART_ARC
(17,28),-0.516937 # DEPENDENCYPART_ARC
(17,29),0.544036 # DEPENDENCYPART_ARC
(19,1),0.776116 # DEPENDENCYPART_ARC
(19,2),-1.26157 # DEPENDENCYPART_ARC
(19,3),-0.770487 # DEPENDENCYPART_ARC
(19,4),-0.66091 # DEPENDENCYPART_ARC
(19,5),-0.192108 # DEPENDENCYPART_ARC
(19,6),1.049 # DEPENDENCYPART_ARC
(19,7),-0.110358 # DEPENDENCYPART_ARC
(19,8),0.332492 # DEPENDENCYPART_ARC
(19,9),0.466682 # DEPENDENCYPART_ARC
(19,10),-0.234216 # DEPENDENCYPART_ARC
(19,11),-0.61175 # DEPENDENCYPART_ARC
(19,12),1.08856 # DEPENDENCYPART_ARC
(19,13),0.275968 # DEPENDENCYPART_ARC
(19,14),-0.10227 # DEPENDENCYPART_ARC
(19,15),-0.341453 # DEPENDENCYPART_ARC
(19,16),-0.179454 # DEPENDENCYPART_ARC
(19,17),-0.777464 # DEPENDENCYPART_ARC
(19,18),0.335765 # DEPENDENCYPART_ARC
(19,20),-0.459895 # DEPENDENCYPART_ARC
(19,21),-0.104032 # DEPENDENCYPART_ARC
(19,22),0.343532 # DEPENDENCYPART_ARC
(19,23),-0.53533 # DEPENDENCYPART_ARC
(19,24),-0.279781 # DEPENDENCYPART_ARC
(19,25),-0.0887727 # DEPENDENCYPART_ARC
(19,26),-0.190632 # DEPENDENCYPART_ARC
(19,27),-0.479226 # DEPENDENCYPART_ARC
(19,28),0.863018 # DEPENDENCYPART_ARC
(19,29),0.905018 # DEPENDENCYPART_ARC
(20,4),-3.23413 # DEPENDENCYPART_ARC
(20,8),-1.13707 # DEPENDENCYPART_ARC
(20,9),-1.35898 # DEPENDENCYPART_ARC
(20,11),-2.87947 # DEPENDENCYPART_ARC
(20,14),-2.22991 # DEPENDENCYPART_ARC
(20,15),-1.32823 # DEPENDENCYPART_ARC
(20,16),-1.13252 # DEPENDENCYPART_ARC
(20,17),-1.86682 # DEPENDENCYPART_ARC
(20,18),-0.736233 # DEPENDENCYPART_ARC
(20,21),0.31916 # DEPENDENCYPART_ARC
(20,22),-0.544935 # DEPENDENCYPART_ARC
(20,24),-0.351821 # DEPENDENCYPART_ARC
(20,25),-1.10304 # DEPENDENCYPART_ARC
(20,26),-0.727469 # DEPENDENCYPART_ARC
(20,27),-1.72292 # DEPENDENCYPART_ARC
(21,1),-1.45811 # DEPENDENCYPART_ARC
(21,2),-2.57914 # DEPENDENCYPART_ARC
(21,3),-2.76202 # DEPENDENCYPART_ARC
(21,4),-3.74983 # DEPENDENCYPART_ARC
(21,5),-2.24762 # DEPENDENCYPART_ARC
(21,6),-1.92095 # DEPENDENCYPART_ARC
(21,7),-2.03986 # DEPENDENCYPART_ARC
(21,8),-1.57703 # DEPENDENCYPART_ARC
(21,9),-1.64852 # DEPENDENCYPART_ARC
(21,10),-1.86942 # DEPENDENCYPART_ARC
(21,11),-2.96646 # DEPENDENCYPART_ARC
(21,12),-1.48907 # DEPENDENCYPART_ARC
(21,13),-1.12841 # DEPENDENCYPART_ARC
(21,14),-0.887128 # DEPENDENCYPART_ARC
(21,15),-1.67376 # DEPENDENCYPART_ARC
(21,16),-1.52115 # DEPENDENCYPART_ARC
(21,17),-1.5749 # DEPENDENCYPART_ARC
(21,18),-0.758062 # DEPENDENCYPART_ARC
(21,19),-0.841405 # DEPENDENCYPART_ARC
(21,20),0.787559 # DEPENDENCYPART_ARC
(21,22),-1.20212 # DEPENDENCYPART_ARC
(21,23),-1.76891 # DEPENDENCYPART_ARC
(21,24),-1.68295 # DEPENDENCYPART_ARC
(21,25),-2.20768 # DEPENDENCYPART_ARC
(21,26),-1.85142 # DEPENDENCYPART_ARC
(21,27),-2.61349 # DEPENDENCYPART_ARC
(21,28),-1.3706 # DEPENDENCYPART_ARC
(21,29),-1.38178 # DEPENDENCYPART_ARC
(22,1),-1.89848 # DEPENDENCYPART_ARC
(22,2),-1.58996 # DEPENDENCYPART_ARC
(22,3),-2.40115 # DEPENDENCYPART_ARC
(22,4),-4.07369 # DEPENDENCYPART_ARC
(22,5),-1.03475 # DEPENDENCYPART_ARC
(22,6),-2.63448 # DEPENDENCYPART_ARC
(22,7),-1.48685 # DEPENDENCYPART_ARC
(22,8),-2.07187 # DEPENDENCYPART_ARC
(22,9),-1.0436 # DEPENDENCYPART_ARC
(22,10),-0.821018 # DEPENDENCYPART_ARC
(22,11),-2.94729 # DEPENDENCYPART_ARC
(22,12),-1.9537 # DEPENDENCYPART_ARC
(22,13),0.568908 # DEPENDENCYPART_ARC
(22,14),-2.25728 # DEPENDENCYPART_ARC
(22,15),0.280524 # DEPENDENCYPART_ARC
(22,16),0.336501 # DEPENDENCYPART_ARC
(22,17),-2.14632 # DEPENDENCYPART_ARC
(22,18),-0.589136 # DEPENDENCYPART_ARC
