# _root_ 1994-ben Márkus_Gyulával közösen alapítója volt a privatizációk lebonyolítására szakosodott Márkus_Pénzügyi_Gazdasági_Tanácsadó_Kft.-nek , amely utóbb fiktív cégnek bizonyult ( HVG , 1998. február 28. ) .
#goldHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,5,18,22,22,18,18,5,
#predictedHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,16,18,21,22,18,18,5,
(8,14),-0.86759 # DEPENDENCYPART_ARC
(8,15),-1.64065 # DEPENDENCYPART_ARC
(8,16),-0.743963 # DEPENDENCYPART_ARC
(8,17),-0.59322 # DEPENDENCYPART_ARC
(8,18),-1.15813 # DEPENDENCYPART_ARC
(8,19),-0.431212 # DEPENDENCYPART_ARC
(8,20),-1.25496 # DEPENDENCYPART_ARC
(8,21),-1.93886 # DEPENDENCYPART_ARC
(8,22),-2.01681 # DEPENDENCYPART_ARC
(8,23),-0.5055 # DEPENDENCYPART_ARC
(8,24),0.499477 # DEPENDENCYPART_ARC
(9,1),0.213047 # DEPENDENCYPART_ARC
(9,2),0.945522 # DEPENDENCYPART_ARC
(9,3),-0.337735 # DEPENDENCYPART_ARC
(9,4),-0.876295 # DEPENDENCYPART_ARC
(9,5),-0.497724 # DEPENDENCYPART_ARC
(9,6),0.69347 # DEPENDENCYPART_ARC
(9,7),1.04057 # DEPENDENCYPART_ARC
(9,8),3.28152 # DEPENDENCYPART_ARC
(9,10),0.0416852 # DEPENDENCYPART_ARC
(9,11),-0.00590073 # DEPENDENCYPART_ARC
(9,12),-1.1394 # DEPENDENCYPART_ARC
(9,13),-0.616783 # DEPENDENCYPART_ARC
(9,14),-1.00409 # DEPENDENCYPART_ARC
(9,15),-1.22188 # DEPENDENCYPART_ARC
(9,16),-0.458637 # DEPENDENCYPART_ARC
(9,17),-0.284157 # DEPENDENCYPART_ARC
(9,18),-1.47003 # DEPENDENCYPART_ARC
(9,19),-0.50115 # DEPENDENCYPART_ARC
(9,20),-0.75655 # DEPENDENCYPART_ARC
(9,21),-1.8132 # DEPENDENCYPART_ARC
(9,22),-1.81497 # DEPENDENCYPART_ARC
(9,23),-0.682402 # DEPENDENCYPART_ARC
(9,24),0.324724 # DEPENDENCYPART_ARC
(10,1),-2.46051 # DEPENDENCYPART_ARC
(10,2),-2.23388 # DEPENDENCYPART_ARC
(10,3),-1.33543 # DEPENDENCYPART_ARC
(10,4),-2.13452 # DEPENDENCYPART_ARC
(10,5),-0.722589 # DEPENDENCYPART_ARC
(10,6),1.86715 # DEPENDENCYPART_ARC
(10,7),0.527493 # DEPENDENCYPART_ARC
(10,8),0.78269 # DEPENDENCYPART_ARC
(10,9),3.27622 # DEPENDENCYPART_ARC
(10,11),0.446101 # DEPENDENCYPART_ARC
(10,12),-0.719089 # DEPENDENCYPART_ARC
(10,13),-0.241404 # DEPENDENCYPART_ARC
(10,14),-0.059975 # DEPENDENCYPART_ARC
(10,15),-0.331618 # DEPENDENCYPART_ARC
(10,16),-0.290681 # DEPENDENCYPART_ARC
(10,17),0.0152261 # DEPENDENCYPART_ARC
(10,18),-0.873399 # DEPENDENCYPART_ARC
(10,19),0.120517 # DEPENDENCYPART_ARC
(10,20),-0.278919 # DEPENDENCYPART_ARC
(10,21),-1.11801 # DEPENDENCYPART_ARC
(10,22),-0.849485 # DEPENDENCYPART_ARC
(10,23),-0.129448 # DEPENDENCYPART_ARC
(10,24),1.04811 # DEPENDENCYPART_ARC
(11,1),-2.68036 # DEPENDENCYPART_ARC
(11,2),-3.38555 # DEPENDENCYPART_ARC
(11,3),-2.81172 # DEPENDENCYPART_ARC
(11,4),-3.35437 # DEPENDENCYPART_ARC
(11,5),-2.38747 # DEPENDENCYPART_ARC
(11,6),-2.04703 # DEPENDENCYPART_ARC
(11,7),-2.84615 # DEPENDENCYPART_ARC
(11,8),-2.61861 # DEPENDENCYPART_ARC
(11,9),-1.84286 # DEPENDENCYPART_ARC
(11,10),-1.98336 # DEPENDENCYPART_ARC
(11,12),-1.35021 # DEPENDENCYPART_ARC
(11,13),-1.44299 # DEPENDENCYPART_ARC
(11,14),-1.6028 # DEPENDENCYPART_ARC
(11,15),-2.18519 # DEPENDENCYPART_ARC
(11,16),-1.69811 # DEPENDENCYPART_ARC
(11,17),-1.35439 # DEPENDENCYPART_ARC
(11,18),-2.55409 # DEPENDENCYPART_ARC
(11,19),-1.47199 # DEPENDENCYPART_ARC
(11,20),-1.80752 # DEPENDENCYPART_ARC
(11,21),-2.63934 # DEPENDENCYPART_ARC
(11,22),-2.83563 # DEPENDENCYPART_ARC
(11,23),-1.64685 # DEPENDENCYPART_ARC
(11,24),-1.79936 # DEPENDENCYPART_ARC
(12,1),-1.14229 # DEPENDENCYPART_ARC
(12,2),-1.90356 # DEPENDENCYPART_ARC
(12,3),-0.927343 # DEPENDENCYPART_ARC
(12,4),-1.68407 # DEPENDENCYPART_ARC
(12,5),-0.499243 # DEPENDENCYPART_ARC
(12,6),-0.74389 # DEPENDENCYPART_ARC
(12,7),-1.18196 # DEPENDENCYPART_ARC
(12,8),-1.28512 # DEPENDENCYPART_ARC
(12,9),-1.02633 # DEPENDENCYPART_ARC
(12,10),-1.29736 # DEPENDENCYPART_ARC
(12,11),-0.633688 # DEPENDENCYPART_ARC
(12,13),-0.575048 # DEPENDENCYPART_ARC
(12,14),-0.894926 # DEPENDENCYPART_ARC
(12,15),-0.52189 # DEPENDENCYPART_ARC
(12,16),-0.447403 # DEPENDENCYPART_ARC
(12,17),-0.723671 # DEPENDENCYPART_ARC
(12,18),-1.03303 # DEPENDENCYPART_ARC
(12,19),-0.461603 # DEPENDENCYPART_ARC
(12,20),-0.906324 # DEPENDENCYPART_ARC
(12,21),-0.957212 # DEPENDENCYPART_ARC
(12,22),-0.92721 # DEPENDENCYPART_ARC
(12,23),-0.91627 # DEPENDENCYPART_ARC
(12,24),-0.133712 # DEPENDENCYPART_ARC
(13,1),-1.54864 # DEPENDENCYPART_ARC
(13,2),-1.27612 # DEPENDENCYPART_ARC
(13,3),-1.35075 # DEPENDENCYPART_ARC
(13,4),-1.17593 # DEPENDENCYPART_ARC
(13,5),-1.22331 # DEPENDENCYPART_ARC
(13,6),-1.30176 # DEPENDENCYPART_ARC
(13,7),-0.863074 # DEPENDENCYPART_ARC
(13,8),-0.93698 # DEPENDENCYPART_ARC
(13,9),-0.875458 # DEPENDENCYPART_ARC
(13,10),-0.760468 # DEPENDENCYPART_ARC
(13,11),-0.668182 # DEPENDENCYPART_ARC
(13,12),0.151259 # DEPENDENCYPART_ARC
(13,14),0.0997087 # DEPENDENCYPART_ARC
(13,15),0.305602 # DEPENDENCYPART_ARC
(13,16),0.142863 # DEPENDENCYPART_ARC
(13,17),-0.133445 # DEPENDENCYPART_ARC
(13,18),-0.525894 # DEPENDENCYPART_ARC
(13,19),-0.200741 # DEPENDENCYPART_ARC
(13,20),-0.727158 # DEPENDENCYPART_ARC
(13,21),-1.09526 # DEPENDENCYPART_ARC
(13,22),-0.947508 # DEPENDENCYPART_ARC
(13,23),0.061155 # DEPENDENCYPART_ARC
(13,24),0.387942 # DEPENDENCYPART_ARC
(14,1),-0.605948 # DEPENDENCYPART_ARC
(14,2),-0.324457 # DEPENDENCYPART_ARC
(14,3),-1.20924 # DEPENDENCYPART_ARC
(14,4),-1.81264 # DEPENDENCYPART_ARC
(14,5),-1.14008 # DEPENDENCYPART_ARC
(14,6),-0.553622 # DEPENDENCYPART_ARC
(14,7),-0.710002 # DEPENDENCYPART_ARC
(14,8),0.34735 # DEPENDENCYPART_ARC
(14,9),-0.924364 # DEPENDENCYPART_ARC
(14,10),-1.79882 # DEPENDENCYPART_ARC
(14,11),0.0720445 # DEPENDENCYPART_ARC
(14,12),0.233861 # DEPENDENCYPART_ARC
(14,13),1.46331 # DEPENDENCYPART_ARC
(14,15),-0.215945 # DEPENDENCYPART_ARC
(14,16),-0.149807 # DEPENDENCYPART_ARC
(14,17),-0.0985711 # DEPENDENCYPART_ARC
(14,18),-1.01796 # DEPENDENCYPART_ARC
(14,19),-0.395342 # DEPENDENCYPART_ARC
(14,20),-0.710789 # DEPENDENCYPART_ARC
(14,21),-1.42434 # DEPENDENCYPART_ARC
(14,22),-1.4834 # DEPENDENCYPART_ARC
(14,23),-0.415466 # DEPENDENCYPART_ARC
(14,24),0.0334784 # DEPENDENCYPART_ARC
(15,1),-1.97371 # DEPENDENCYPART_ARC
(15,2),-2.2562 # DEPENDENCYPART_ARC
(15,3),-1.56146 # DEPENDENCYPART_ARC
(15,4),-3.17481 # DEPENDENCYPART_ARC
(15,5),-1.0587 # DEPENDENCYPART_ARC
(15,6),1.21104 # DEPENDENCYPART_ARC
(15,7),-0.696742 # DEPENDENCYPART_ARC
(15,8),-1.55045 # DEPENDENCYPART_ARC
(15,9),1.86583 # DEPENDENCYPART_ARC
(15,10),-0.13347 # DEPENDENCYPART_ARC
(15,11),0.309779 # DEPENDENCYPART_ARC
(15,12),0.0960551 # DEPENDENCYPART_ARC
(15,13),1.32521 # DEPENDENCYPART_ARC
(15,14),3.73542 # DEPENDENCYPART_ARC
(15,16),-0.953018 # DEPENDENCYPART_ARC
(15,17),-0.644457 # DEPENDENCYPART_ARC
(15,18),-1.15137 # DEPENDENCYPART_ARC
(15,19),-0.505357 # DEPENDENCYPART_ARC
(15,20),-1.32461 # DEPENDENCYPART_ARC
(15,21),-1.72934 # DEPENDENCYPART_ARC
(15,22),-1.79047 # DEPENDENCYPART_ARC
(15,23),-0.49028 # DEPENDENCYPART_ARC
(15,24),-0.138969 # DEPENDENCYPART_ARC
(16,1),0.580191 # DEPENDENCYPART_ARC
(16,2),-0.896721 # DEPENDENCYPART_ARC
(16,3),0.451772 # DEPENDENCYPART_ARC
(16,4),1.27744 # DEPENDENCYPART_ARC
(16,5),0.258103 # DEPENDENCYPART_ARC
(16,6),-0.857372 # DEPENDENCYPART_ARC
(16,7),0.44672 # DEPENDENCYPART_ARC
(16,8),0.701313 # DEPENDENCYPART_ARC
(16,9),-0.257908 # DEPENDENCYPART_ARC
(16,10),1.03221 # DEPENDENCYPART_ARC
(16,11),0.576535 # DEPENDENCYPART_ARC
(16,12),3.0261 # DEPENDENCYPART_ARC
(16,13),2.04668 # DEPENDENCYPART_ARC
(16,14),0.934143 # DEPENDENCYPART_ARC
(16,15),4.24356 # DEPENDENCYPART_ARC
(16,17),0.986526 # DEPENDENCYPART_ARC
(16,18),1.62449 # DEPENDENCYPART_ARC
(16,19),1.01917 # DEPENDENCYPART_ARC
(16,20),-0.307698 # DEPENDENCYPART_ARC
(16,21),-0.607091 # DEPENDENCYPART_ARC
(16,22),0.0654786 # DEPENDENCYPART_ARC
(16,23),0.435781 # DEPENDENCYPART_ARC
(16,24),1.59791 # DEPENDENCYPART_ARC
(17,1),-2.66874 # DEPENDENCYPART_ARC
(17,2),-3.29014 # DEPENDENCYPART_ARC
(17,3),-2.71789 # DEPENDENCYPART_ARC
(17,4),-3.19317 # DEPENDENCYPART_ARC
(17,5),-2.56464 # DEPENDENCYPART_ARC
(17,6),-2.17015 # DEPENDENCYPART_ARC
(17,7),-2.96446 # DEPENDENCYPART_ARC
(17,8),-2.9235 # DEPENDENCYPART_ARC
(17,9),-2.4919 # DEPENDENCYPART_ARC
(17,10),-2.95111 # DEPENDENCYPART_ARC
(17,11),-1.80457 # DEPENDENCYPART_ARC
(17,12),-2.16957 # DEPENDENCYPART_ARC
(17,13),-1.82146 # DEPENDENCYPART_ARC
(17,14),-1.99759 # DEPENDENCYPART_ARC
(17,15),-2.10506 # DEPENDENCYPART_ARC
(17,16),-0.814528 # DEPENDENCYPART_ARC
(17,18),-1.35156 # DEPENDENCYPART_ARC
(17,19),-1.12463 # DEPENDENCYPART_ARC
(17,20),-1.32911 # DEPENDENCYPART_ARC
(17,21),-2.05171 # DEPENDENCYPART_ARC
(17,22),-2.20933 # DEPENDENCYPART_ARC
(17,23),-1.36441 # DEPENDENCYPART_ARC
(17,24),-1.55267 # DEPENDENCYPART_ARC
(18,1),-3.70249 # DEPENDENCYPART_ARC
(18,2),-4.588 # DEPENDENCYPART_ARC
(18,3),-3.50921 # DEPENDENCYPART_ARC
(18,4),-4.35972 # DEPENDENCYPART_ARC
(18,5),-1.54566 # DEPENDENCYPART_ARC
(18,6),-0.400042 # DEPENDENCYPART_ARC
(18,7),-2.9017 # DEPENDENCYPART_ARC
(18,8),-3.6756 # DEPENDENCYPART_ARC
(18,9),-0.985315 # DEPENDENCYPART_ARC
(18,10),-2.42635 # DEPENDENCYPART_ARC
(18,11),-0.665808 # DEPENDENCYPART_ARC
(18,12),-2.31914 # DEPENDENCYPART_ARC
(18,13),-0.520304 # DEPENDENCYPART_ARC
(18,14),-0.687938 # DEPENDENCYPART_ARC
(18,15),-1.9908 # DEPENDENCYPART_ARC
(18,16),0.415476 # DEPENDENCYPART_ARC
(18,17),1.13325 # DEPENDENCYPART_ARC
(18,19),1.41665 # DEPENDENCYPART_ARC
(18,20),0.347017 # DEPENDENCYPART_ARC
(18,21),0.678089 # DEPENDENCYPART_ARC
(18,22),1.01387 # DEPENDENCYPART_ARC
(18,23),1.36519 # DEPENDENCYPART_ARC
(18,24),1.01931 # DEPENDENCYPART_ARC
(19,1),-2.65457 # DEPENDENCYPART_ARC
(19,2),-3.37291 # DEPENDENCYPART_ARC
(19,3),-2.77574 # DEPENDENCYPART_ARC
(19,4),-3.41654 # DEPENDENCYPART_ARC
(19,5),-2.56331 # DEPENDENCYPART_ARC
(19,6),-2.13653 # DEPENDENCYPART_ARC
(19,7),-3.22357 # DEPENDENCYPART_ARC
(19,8),-3.17909 # DEPENDENCYPART_ARC
(19,9),-2.5277 # DEPENDENCYPART_ARC
(19,10),-3.20901 # DEPENDENCYPART_ARC
(19,11),-1.86134 # DEPENDENCYPART_ARC
(19,12),-2.27916 # DEPENDENCYPART_ARC
(19,13),-2.01613 # DEPENDENCYPART_ARC
(19,14),-2.3061 # DEPENDENCYPART_ARC
(19,15),-2.65651 # DEPENDENCYPART_ARC
(19,16),-1.64142 # DEPENDENCYPART_ARC
(19,17),-1.36431 # DEPENDENCYPART_ARC
(19,18),-1.4926 # DEPENDENCYPART_ARC
(19,20),-0.83214 # DEPENDENCYPART_ARC
(19,21),-1.41475 # DEPENDENCYPART_ARC
(19,22),-1.854 # DEPENDENCYPART_ARC
(19,23),-1.0691 # DEPENDENCYPART_ARC
(19,24),-1.39538 # DEPENDENCYPART_ARC
(20,1),-1.79244 # DEPENDENCYPART_ARC
(20,2),-2.76536 # DEPENDENCYPART_ARC
(20,3),-2.80197 # DEPENDENCYPART_ARC
(20,4),-2.57766 # DEPENDENCYPART_ARC
(20,5),-1.34337 # DEPENDENCYPART_ARC
(20,6),-0.867869 # DEPENDENCYPART_ARC
(20,7),-1.85972 # DEPENDENCYPART_ARC
(20,8),-2.37315 # DEPENDENCYPART_ARC
(20,9),-1.83993 # DEPENDENCYPART_ARC
(20,10),-1.79747 # DEPENDENCYPART_ARC
(20,11),-1.11271 # DEPENDENCYPART_ARC
(20,12),-0.872176 # DEPENDENCYPART_ARC
(20,13),-0.687607 # DEPENDENCYPART_ARC
(20,14),-1.54017 # DEPENDENCYPART_ARC
(20,15),-1.76566 # DEPENDENCYPART_ARC
(20,16),-0.408016 # DEPENDENCYPART_ARC
(20,17),0.00959429 # DEPENDENCYPART_ARC
(20,18),-0.114714 # DEPENDENCYPART_ARC
(20,19),0.171968 # DEPENDENCYPART_ARC
(20,21),-0.0103537 # DEPENDENCYPART_ARC
(20,22),-0.184457 # DEPENDENCYPART_ARC
(20,23),-0.00505104 # DEPENDENCYPART_ARC
(20,24),-0.82327 # DEPENDENCYPART_ARC
(21,1),-3.22292 # DEPENDENCYPART_ARC
(21,2),-3.66067 # DEPENDENCYPART_ARC
(21,3),-3.41853 # DEPENDENCYPART_ARC
(21,4),-4.39922 # DEPENDENCYPART_ARC
(21,5),-1.90402 # DEPENDENCYPART_ARC
(21,6),-0.467814 # DEPENDENCYPART_ARC
(21,7),-2.74249 # DEPENDENCYPART_ARC
(21,8),-3.96284 # DEPENDENCYPART_ARC
(21,9),-0.205216 # DEPENDENCYPART_ARC
(21,10),-2.19204 # DEPENDENCYPART_ARC
(21,11),-1.17165 # DEPENDENCYPART_ARC
(21,12),-2.14789 # DEPENDENCYPART_ARC
(21,13),-0.769984 # DEPENDENCYPART_ARC
(21,14),-0.291014 # DEPENDENCYPART_ARC
(21,15),-2.64721 # DEPENDENCYPART_ARC
(21,16),-0.732728 # DEPENDENCYPART_ARC
(21,17),0.00353973 # DEPENDENCYPART_ARC
(21,18),0.237022 # DEPENDENCYPART_ARC
(21,19),0.227761 # DEPENDENCYPART_ARC
(21,20),2.37427 # DEPENDENCYPART_ARC
