# _root_ Aki elsőnek ér a tájékozódási pontokra , azé a tojás , és a legtöbb tojás tulajdonosa lesz a tojáskereső verseny győztese .
#goldHeads=3,3,8,6,6,3,8,12,10,8,12,0,15,15,16,17,12,20,20,21,17,12,
#predictedHeads=3,3,12,6,6,3,3,17,10,3,12,0,15,15,16,17,12,20,20,21,17,3,
(1,12),-0.318515 # DEPENDENCYPART_ARC
(1,13),-1.65666 # DEPENDENCYPART_ARC
(1,14),-1.05019 # DEPENDENCYPART_ARC
(1,15),-1.31558 # DEPENDENCYPART_ARC
(1,16),-1.3611 # DEPENDENCYPART_ARC
(1,17),0.63945 # DEPENDENCYPART_ARC
(1,18),-1.67256 # DEPENDENCYPART_ARC
(1,19),-0.935425 # DEPENDENCYPART_ARC
(1,20),-1.11042 # DEPENDENCYPART_ARC
(1,21),-1.3541 # DEPENDENCYPART_ARC
(1,22),-0.278545 # DEPENDENCYPART_ARC
(2,1),0.334964 # DEPENDENCYPART_ARC
(2,3),-0.0405799 # DEPENDENCYPART_ARC
(2,4),-1.19441 # DEPENDENCYPART_ARC
(2,5),-1.16358 # DEPENDENCYPART_ARC
(2,6),-1.59657 # DEPENDENCYPART_ARC
(2,7),-0.791752 # DEPENDENCYPART_ARC
(2,8),-2.00747 # DEPENDENCYPART_ARC
(2,9),-1.51506 # DEPENDENCYPART_ARC
(2,10),-1.51859 # DEPENDENCYPART_ARC
(2,11),-0.911357 # DEPENDENCYPART_ARC
(2,12),-1.08637 # DEPENDENCYPART_ARC
(2,13),-1.69365 # DEPENDENCYPART_ARC
(2,14),-1.61661 # DEPENDENCYPART_ARC
(2,15),-2.05101 # DEPENDENCYPART_ARC
(2,16),-2.18545 # DEPENDENCYPART_ARC
(2,17),-1.21197 # DEPENDENCYPART_ARC
(2,18),-1.76256 # DEPENDENCYPART_ARC
(2,19),-1.71808 # DEPENDENCYPART_ARC
(2,20),-2.19524 # DEPENDENCYPART_ARC
(2,21),-2.30445 # DEPENDENCYPART_ARC
(2,22),0.533895 # DEPENDENCYPART_ARC
(3,1),2.2326 # DEPENDENCYPART_ARC
(3,2),2.50665 # DEPENDENCYPART_ARC
(3,4),0.169591 # DEPENDENCYPART_ARC
(3,5),0.733865 # DEPENDENCYPART_ARC
(3,6),2.67251 # DEPENDENCYPART_ARC
(3,7),2.30904 # DEPENDENCYPART_ARC
(3,8),-0.142015 # DEPENDENCYPART_ARC
(3,9),-0.197243 # DEPENDENCYPART_ARC
(3,10),1.48131 # DEPENDENCYPART_ARC
(3,11),1.5387 # DEPENDENCYPART_ARC
(3,12),0.675992 # DEPENDENCYPART_ARC
(3,13),-0.328243 # DEPENDENCYPART_ARC
(3,14),-0.190752 # DEPENDENCYPART_ARC
(3,15),-0.628447 # DEPENDENCYPART_ARC
(3,16),-0.270935 # DEPENDENCYPART_ARC
(3,17),1.07778 # DEPENDENCYPART_ARC
(3,18),-0.75358 # DEPENDENCYPART_ARC
(3,19),-1.45036 # DEPENDENCYPART_ARC
(3,20),-0.632903 # DEPENDENCYPART_ARC
(3,21),0.513911 # DEPENDENCYPART_ARC
(3,22),3.45182 # DEPENDENCYPART_ARC
(4,1),-2.16973 # DEPENDENCYPART_ARC
(4,2),-1.51059 # DEPENDENCYPART_ARC
(4,3),-0.897204 # DEPENDENCYPART_ARC
(4,5),0.481866 # DEPENDENCYPART_ARC
(4,6),-0.50924 # DEPENDENCYPART_ARC
(4,7),-0.142678 # DEPENDENCYPART_ARC
(4,8),-0.86479 # DEPENDENCYPART_ARC
(4,9),-0.759757 # DEPENDENCYPART_ARC
(4,10),-1.20195 # DEPENDENCYPART_ARC
(4,11),-0.319088 # DEPENDENCYPART_ARC
(4,12),-0.926933 # DEPENDENCYPART_ARC
(4,13),-0.898837 # DEPENDENCYPART_ARC
(4,14),-0.62602 # DEPENDENCYPART_ARC
(4,15),-1.51742 # DEPENDENCYPART_ARC
(4,16),-1.91263 # DEPENDENCYPART_ARC
(4,17),-1.51539 # DEPENDENCYPART_ARC
(4,18),-1.0841 # DEPENDENCYPART_ARC
(4,19),-1.29131 # DEPENDENCYPART_ARC
(4,20),-1.7901 # DEPENDENCYPART_ARC
(4,21),-2.07267 # DEPENDENCYPART_ARC
(4,22),-2.25623 # DEPENDENCYPART_ARC
(5,1),-1.57445 # DEPENDENCYPART_ARC
(5,2),-0.54545 # DEPENDENCYPART_ARC
(5,3),-0.807419 # DEPENDENCYPART_ARC
(5,4),1.0528 # DEPENDENCYPART_ARC
(5,6),-0.398161 # DEPENDENCYPART_ARC
(5,7),-0.440872 # DEPENDENCYPART_ARC
(5,8),-1.68081 # DEPENDENCYPART_ARC
(5,9),-1.52199 # DEPENDENCYPART_ARC
(5,10),-1.31495 # DEPENDENCYPART_ARC
(5,11),-0.736258 # DEPENDENCYPART_ARC
(5,12),-1.08625 # DEPENDENCYPART_ARC
(5,13),-1.68245 # DEPENDENCYPART_ARC
(5,14),-1.14117 # DEPENDENCYPART_ARC
(5,15),-1.84827 # DEPENDENCYPART_ARC
(5,16),-2.16672 # DEPENDENCYPART_ARC
(5,17),-1.56046 # DEPENDENCYPART_ARC
(5,18),-1.8824 # DEPENDENCYPART_ARC
(5,19),-2.03201 # DEPENDENCYPART_ARC
(5,20),-2.14733 # DEPENDENCYPART_ARC
(5,21),-2.52336 # DEPENDENCYPART_ARC
(5,22),-0.171011 # DEPENDENCYPART_ARC
(6,1),-0.817409 # DEPENDENCYPART_ARC
(6,2),-1.24193 # DEPENDENCYPART_ARC
(6,3),-1.91304 # DEPENDENCYPART_ARC
(6,4),2.99603 # DEPENDENCYPART_ARC
(6,5),3.64017 # DEPENDENCYPART_ARC
(6,7),0.275292 # DEPENDENCYPART_ARC
(6,8),-1.33498 # DEPENDENCYPART_ARC
(6,9),-0.608186 # DEPENDENCYPART_ARC
(6,10),-0.79221 # DEPENDENCYPART_ARC
(6,11),-0.180494 # DEPENDENCYPART_ARC
(6,12),-0.216775 # DEPENDENCYPART_ARC
(6,13),-0.833602 # DEPENDENCYPART_ARC
(6,14),-0.716115 # DEPENDENCYPART_ARC
(6,15),-1.46311 # DEPENDENCYPART_ARC
(6,16),-1.37005 # DEPENDENCYPART_ARC
(6,17),-0.896687 # DEPENDENCYPART_ARC
(6,18),-1.13678 # DEPENDENCYPART_ARC
(6,19),-1.08946 # DEPENDENCYPART_ARC
(6,20),-1.77029 # DEPENDENCYPART_ARC
(6,21),-2.1887 # DEPENDENCYPART_ARC
(6,22),0.795748 # DEPENDENCYPART_ARC
(7,1),-2.1905 # DEPENDENCYPART_ARC
(7,2),-2.09929 # DEPENDENCYPART_ARC
(7,3),-1.79918 # DEPENDENCYPART_ARC
(7,4),-1.32224 # DEPENDENCYPART_ARC
(7,5),-1.45767 # DEPENDENCYPART_ARC
(7,6),-1.60207 # DEPENDENCYPART_ARC
(7,8),-0.880911 # DEPENDENCYPART_ARC
(7,9),-0.958742 # DEPENDENCYPART_ARC
(7,10),-1.67328 # DEPENDENCYPART_ARC
(7,11),-0.828786 # DEPENDENCYPART_ARC
(7,12),-0.993899 # DEPENDENCYPART_ARC
(7,13),-1.21362 # DEPENDENCYPART_ARC
(7,14),-1.20835 # DEPENDENCYPART_ARC
(7,15),-2.18901 # DEPENDENCYPART_ARC
(7,16),-2.2587 # DEPENDENCYPART_ARC
(7,17),-1.35456 # DEPENDENCYPART_ARC
(7,18),-1.38347 # DEPENDENCYPART_ARC
(7,19),-1.61949 # DEPENDENCYPART_ARC
(7,20),-2.54251 # DEPENDENCYPART_ARC
(7,21),-2.67556 # DEPENDENCYPART_ARC
(7,22),-1.36927 # DEPENDENCYPART_ARC
(8,1),0.0890185 # DEPENDENCYPART_ARC
(8,2),0.344285 # DEPENDENCYPART_ARC
(8,3),0.803071 # DEPENDENCYPART_ARC
(8,4),0.809353 # DEPENDENCYPART_ARC
(8,5),0.33985 # DEPENDENCYPART_ARC
(8,6),0.251034 # DEPENDENCYPART_ARC
(8,7),0.617914 # DEPENDENCYPART_ARC
(8,9),-0.173193 # DEPENDENCYPART_ARC
(8,10),1.25359 # DEPENDENCYPART_ARC
(8,11),0.825794 # DEPENDENCYPART_ARC
(8,12),0.206504 # DEPENDENCYPART_ARC
(8,13),-0.412808 # DEPENDENCYPART_ARC
(8,14),0.361652 # DEPENDENCYPART_ARC
(8,15),0.564446 # DEPENDENCYPART_ARC
(8,16),0.508887 # DEPENDENCYPART_ARC
(8,17),1.52372 # DEPENDENCYPART_ARC
(8,18),-0.393809 # DEPENDENCYPART_ARC
(8,19),0.139156 # DEPENDENCYPART_ARC
(8,20),0.471308 # DEPENDENCYPART_ARC
(8,21),0.616293 # DEPENDENCYPART_ARC
(8,22),1.35491 # DEPENDENCYPART_ARC
(9,1),-2.48719 # DEPENDENCYPART_ARC
(9,2),-1.91124 # DEPENDENCYPART_ARC
(9,3),-1.92776 # DEPENDENCYPART_ARC
(9,4),-1.31621 # DEPENDENCYPART_ARC
(9,5),-1.35914 # DEPENDENCYPART_ARC
(9,6),-1.97068 # DEPENDENCYPART_ARC
(9,7),-1.02703 # DEPENDENCYPART_ARC
(9,8),-0.833327 # DEPENDENCYPART_ARC
(9,10),-0.156211 # DEPENDENCYPART_ARC
(9,11),-0.0938246 # DEPENDENCYPART_ARC
(9,12),-0.613146 # DEPENDENCYPART_ARC
(9,13),-0.717098 # DEPENDENCYPART_ARC
(9,14),-0.410865 # DEPENDENCYPART_ARC
(9,15),-1.21453 # DEPENDENCYPART_ARC
(9,16),-1.58566 # DEPENDENCYPART_ARC
(9,17),-1.26926 # DEPENDENCYPART_ARC
(9,18),-0.968737 # DEPENDENCYPART_ARC
(9,19),-1.10492 # DEPENDENCYPART_ARC
(9,20),-1.64708 # DEPENDENCYPART_ARC
(9,21),-2.01701 # DEPENDENCYPART_ARC
(9,22),-1.90601 # DEPENDENCYPART_ARC
(10,1),-1.81327 # DEPENDENCYPART_ARC
(10,2),-2.12337 # DEPENDENCYPART_ARC
(10,3),-2.15943 # DEPENDENCYPART_ARC
(10,4),0.13107 # DEPENDENCYPART_ARC
(10,5),-0.545181 # DEPENDENCYPART_ARC
(10,6),-2.77414 # DEPENDENCYPART_ARC
(10,7),-0.573529 # DEPENDENCYPART_ARC
(10,8),0.649216 # DEPENDENCYPART_ARC
(10,9),3.52086 # DEPENDENCYPART_ARC
(10,11),-0.0873735 # DEPENDENCYPART_ARC
(10,12),-0.717445 # DEPENDENCYPART_ARC
(10,13),-0.98577 # DEPENDENCYPART_ARC
(10,14),-0.805917 # DEPENDENCYPART_ARC
(10,15),-0.881171 # DEPENDENCYPART_ARC
(10,16),-0.853987 # DEPENDENCYPART_ARC
(10,17),-0.467345 # DEPENDENCYPART_ARC
(10,18),-1.3224 # DEPENDENCYPART_ARC
(10,19),-1.56821 # DEPENDENCYPART_ARC
(10,20),-1.01203 # DEPENDENCYPART_ARC
(10,21),-1.73635 # DEPENDENCYPART_ARC
(10,22),-0.00517338 # DEPENDENCYPART_ARC
(11,1),-2.65782 # DEPENDENCYPART_ARC
(11,2),-2.54875 # DEPENDENCYPART_ARC
(11,3),-2.39261 # DEPENDENCYPART_ARC
(11,4),-1.97758 # DEPENDENCYPART_ARC
(11,5),-2.36417 # DEPENDENCYPART_ARC
(11,6),-3.04869 # DEPENDENCYPART_ARC
(11,7),-1.71724 # DEPENDENCYPART_ARC
(11,8),-1.78591 # DEPENDENCYPART_ARC
(11,9),-1.27329 # DEPENDENCYPART_ARC
(11,10),-1.79798 # DEPENDENCYPART_ARC
(11,12),-1.24537 # DEPENDENCYPART_ARC
(11,13),-1.55225 # DEPENDENCYPART_ARC
(11,14),-1.55287 # DEPENDENCYPART_ARC
(11,15),-2.31463 # DEPENDENCYPART_ARC
(11,16),-2.44672 # DEPENDENCYPART_ARC
(11,17),-1.82721 # DEPENDENCYPART_ARC
(11,18),-1.88127 # DEPENDENCYPART_ARC
(11,19),-2.08164 # DEPENDENCYPART_ARC
(11,20),-2.79462 # DEPENDENCYPART_ARC
(11,21),-2.91021 # DEPENDENCYPART_ARC
(11,22),-1.80372 # DEPENDENCYPART_ARC
(12,1),-0.804252 # DEPENDENCYPART_ARC
(12,2),0.197583 # DEPENDENCYPART_ARC
(12,3),1.42213 # DEPENDENCYPART_ARC
(12,4),-0.296185 # DEPENDENCYPART_ARC
(12,5),-0.386745 # DEPENDENCYPART_ARC
(12,6),-0.131755 # DEPENDENCYPART_ARC
(12,7),0.616527 # DEPENDENCYPART_ARC
(12,8),0.0626443 # DEPENDENCYPART_ARC
(12,9),0.175372 # DEPENDENCYPART_ARC
(12,10),0.267649 # DEPENDENCYPART_ARC
(12,11),2.15616 # DEPENDENCYPART_ARC
(12,13),0.315927 # DEPENDENCYPART_ARC
(12,14),0.56159 # DEPENDENCYPART_ARC
(12,15),0.636238 # DEPENDENCYPART_ARC
(12,16),0.079276 # DEPENDENCYPART_ARC
(12,17),2.15128 # DEPENDENCYPART_ARC
(12,18),-0.0861559 # DEPENDENCYPART_ARC
(12,19),-0.152545 # DEPENDENCYPART_ARC
(12,20),-0.0792589 # DEPENDENCYPART_ARC
(12,21),-0.447657 # DEPENDENCYPART_ARC
(12,22),2.49605 # DEPENDENCYPART_ARC
(13,1),-2.20408 # DEPENDENCYPART_ARC
(13,2),-1.68703 # DEPENDENCYPART_ARC
(13,3),-1.72913 # DEPENDENCYPART_ARC
(13,4),-1.03567 # DEPENDENCYPART_ARC
(13,5),-1.05709 # DEPENDENCYPART_ARC
(13,6),-2.04828 # DEPENDENCYPART_ARC
(13,7),-0.526143 # DEPENDENCYPART_ARC
(13,8),-1.72228 # DEPENDENCYPART_ARC
(13,9),-0.76437 # DEPENDENCYPART_ARC
(13,10),-1.7118 # DEPENDENCYPART_ARC
(13,11),-0.339919 # DEPENDENCYPART_ARC
(13,12),0.38313 # DEPENDENCYPART_ARC
(13,14),0.588658 # DEPENDENCYPART_ARC
(13,15),-0.00589662 # DEPENDENCYPART_ARC
(13,16),-0.72282 # DEPENDENCYPART_ARC
(13,17),-0.603286 # DEPENDENCYPART_ARC
(13,18),-0.450531 # DEPENDENCYPART_ARC
(13,19),-0.19143 # DEPENDENCYPART_ARC
(13,20),-1.01601 # DEPENDENCYPART_ARC
(13,21),-1.3602 # DEPENDENCYPART_ARC
(13,22),-1.30535 # DEPENDENCYPART_ARC
(14,1),-1.71642 # DEPENDENCYPART_ARC
(14,2),-2.10845 # DEPENDENCYPART_ARC
(14,3),-2.10978 # DEPENDENCYPART_ARC
(14,4),-1.14793 # DEPENDENCYPART_ARC
(14,5),-2.01432 # DEPENDENCYPART_ARC
(14,6),-2.19201 # DEPENDENCYPART_ARC
(14,7),-1.5612 # DEPENDENCYPART_ARC
(14,8),-1.32921 # DEPENDENCYPART_ARC
(14,9),-0.917038 # DEPENDENCYPART_ARC
(14,10),-1.53143 # DEPENDENCYPART_ARC
(14,11),-1.00398 # DEPENDENCYPART_ARC
(14,12),-1.18609 # DEPENDENCYPART_ARC
(14,13),0.569959 # DEPENDENCYPART_ARC
(14,15),-0.500016 # DEPENDENCYPART_ARC
(14,16),-0.751875 # DEPENDENCYPART_ARC
(14,17),-0.559426 # DEPENDENCYPART_ARC
(14,18),-1.65978 # DEPENDENCYPART_ARC
(14,19),-1.46379 # DEPENDENCYPART_ARC
(14,20),-1.62569 # DEPENDENCYPART_ARC
(14,21),-1.81091 # DEPENDENCYPART_ARC
(14,22),-0.419853 # DEPENDENCYPART_ARC
(15,1),-2.23012 # DEPENDENCYPART_ARC
(15,2),-2.00949 # DEPENDENCYPART_ARC
(15,3),-2.04833 # DEPENDENCYPART_ARC
(15,4),-0.722366 # DEPENDENCYPART_ARC
(15,5),-0.694577 # DEPENDENCYPART_ARC
(15,6),-3.50274 # DEPENDENCYPART_ARC
(15,7),-0.907226 # DEPENDENCYPART_ARC
(15,8),-1.61707 # DEPENDENCYPART_ARC
(15,9),0.339424 # DEPENDENCYPART_ARC
(15,10),-0.977993 # DEPENDENCYPART_ARC
(15,11),-0.139794 # DEPENDENCYPART_ARC
(15,12),0.46063 # DEPENDENCYPART_ARC
(15,13),2.63336 # DEPENDENCYPART_ARC
(15,14),3.14607 # DEPENDENCYPART_ARC
(15,16),-0.393164 # DEPENDENCYPART_ARC
(15,17),-0.366568 # DEPENDENCYPART_ARC
(15,18),-1.23547 # DEPENDENCYPART_ARC
(15,19),-1.32791 # DEPENDENCYPART_ARC
(15,20),-0.881787 # DEPENDENCYPART_ARC
(15,21),-1.43128 # DEPENDENCYPART_ARC
(15,22),-0.220464 # DEPENDENCYPART_ARC
(16,1),-2.5716 # DEPENDENCYPART_ARC
(16,2),-2.59871 # DEPENDENCYPART_ARC
(16,3),-2.60255 # DEPENDENCYPART_ARC
(16,4),-1.54487 # DEPENDENCYPART_ARC
(16,5),-1.10681 # DEPENDENCYPART_ARC
(16,6),-1.89885 # DEPENDENCYPART_ARC
(16,7),-0.541701 # DEPENDENCYPART_ARC
(16,8),-1.85656 # DEPENDENCYPART_ARC
(16,9),-0.68857 # DEPENDENCYPART_ARC
(16,10),0.671689 # DEPENDENCYPART_ARC
(16,11),0.291162 # DEPENDENCYPART_ARC
(16,12),0.968064 # DEPENDENCYPART_ARC
(16,13),0.840406 # DEPENDENCYPART_ARC
(16,14),1.97311 # DEPENDENCYPART_ARC
(16,15),4.73566 # DEPENDENCYPART_ARC
(16,17),-0.616993 # DEPENDENCYPART_ARC
(16,18),-1.18943 # DEPENDENCYPART_ARC
(16,19),-0.931977 # DEPENDENCYPART_ARC
(16,20),-0.6071 # DEPENDENCYPART_ARC
(16,21),-1.00364 # DEPENDENCYPART_ARC
(16,22),0.338282 # DEPENDENCYPART_ARC
(17,1),-0.0795285 # DEPENDENCYPART_ARC
(17,2),-0.0755577 # DEPENDENCYPART_ARC
(17,3),-0.503183 # DEPENDENCYPART_ARC
(17,4),-0.573135 # DEPENDENCYPART_ARC
(17,5),-0.0873018 # DEPENDENCYPART_ARC
(17,6),-0.732607 # DEPENDENCYPART_ARC
(17,7),0.633689 # DEPENDENCYPART_ARC
(17,8),1.61167 # DEPENDENCYPART_ARC
(17,9),-0.493844 # DEPENDENCYPART_ARC
(17,10),0.677708 # DEPENDENCYPART_ARC
(17,11),1.06084 # DEPENDENCYPART_ARC
(17,12),0.502275 # DEPENDENCYPART_ARC
(17,13),-0.145395 # DEPENDENCYPART_ARC
(17,14),0.549756 # DEPENDENCYPART_ARC
(17,15),2.27411 # DEPENDENCYPART_ARC
(17,16),4.10524 # DEPENDENCYPART_ARC
(17,18),0.187848 # DEPENDENCYPART_ARC
(17,19),0.818815 # DEPENDENCYPART_ARC
(17,20),2.07546 # DEPENDENCYPART_ARC
(17,21),3.32902 # DEPENDENCYPART_ARC
(17,22),2.0977 # DEPENDENCYPART_ARC
(18,1),-3.19501 # DEPENDENCYPART_ARC
(18,2),-2.70982 # DEPENDENCYPART_ARC
(18,3),-3.00326 # DEPENDENCYPART_ARC
(18,4),-2.24747 # DEPENDENCYPART_ARC
(18,5),-2.30738 # DEPENDENCYPART_ARC
(18,6),-3.37439 # DEPENDENCYPART_ARC
(18,7),-1.91356 # DEPENDENCYPART_ARC
(18,8),-3.05395 # DEPENDENCYPART_ARC
(18,9),-2.12325 # DEPENDENCYPART_ARC
(18,10),-3.30577 # DEPENDENCYPART_ARC
(18,11),-1.70549 # DEPENDENCYPART_ARC
(18,12),-1.77767 # DEPENDENCYPART_ARC
(18,13),-1.99866 # DEPENDENCYPART_ARC
(18,14),-2.12036 # DEPENDENCYPART_ARC
(18,15),-2.7475 # DEPENDENCYPART_ARC
(18,16),-2.88515 # DEPENDENCYPART_ARC
(18,17),-1.07433 # DEPENDENCYPART_ARC
(18,19),0.500589 # DEPENDENCYPART_ARC
(18,20),-0.364122 # DEPENDENCYPART_ARC
(18,21),-1.07175 # DEPENDENCYPART_ARC
(18,22),-1.28854 # DEPENDENCYPART_ARC
(19,1),-2.67268 # DEPENDENCYPART_ARC
(19,2),-1.85064 # DEPENDENCYPART_ARC
(19,3),-2.0442 # DEPENDENCYPART_ARC
(19,4),-2.05407 # DEPENDENCYPART_ARC
(19,5),-2.63946 # DEPENDENCYPART_ARC
(19,6),-3.19186 # DEPENDENCYPART_ARC
(19,7),-1.93678 # DEPENDENCYPART_ARC
(19,8),-2.30074 # DEPENDENCYPART_ARC
(19,9),-1.70288 # DEPENDENCYPART_ARC
(19,10),-2.99159 # DEPENDENCYPART_ARC
(19,11),-1.22138 # DEPENDENCYPART_ARC
(19,12),-1.20946 # DEPENDENCYPART_ARC
(19,13),-1.20175 # DEPENDENCYPART_ARC
(19,14),-1.0768 # DEPENDENCYPART_ARC
(19,15),-1.91904 # DEPENDENCYPART_ARC
(19,16),-2.1964 # DEPENDENCYPART_ARC
(19,17),-0.711926 # DEPENDENCYPART_ARC
(19,18),1.11908 # DEPENDENCYPART_ARC
(19,20),-0.438326 # DEPENDENCYPART_ARC
(19,21),-1.00616 # DEPENDENCYPART_ARC
(19,22),-0.989838 # DEPENDENCYPART_ARC
(20,1),-2.73472 # DEPENDENCYPART_ARC
(20,2),-3.10288 # DEPENDENCYPART_ARC
(20,3),-2.52346 # DEPENDENCYPART_ARC
(20,4),-2.2153 # DEPENDENCYPART_ARC
(20,5),-1.57359 # DEPENDENCYPART_ARC
(20,6),-5.61648 # DEPENDENCYPART_ARC
(20,7),-2.2744 # DEPENDENCYPART_ARC
(20,8),-2.37244 # DEPENDENCYPART_ARC
(20,9),-1.12963 # DEPENDENCYPART_ARC
(20,10),-3.33804 # DEPENDENCYPART_ARC
(20,11),-1.53638 # DEPENDENCYPART_ARC
(20,12),-0.58875 # DEPENDENCYPART_ARC
(20,13),0.245595 # DEPENDENCYPART_ARC
(20,14),-0.23254 # DEPENDENCYPART_ARC
(20,15),-1.30838 # DEPENDENCYPART_ARC
(20,16),-2.61017 # DEPENDENCYPART_ARC
(20,17),-0.641709 # DEPENDENCYPART_ARC
(20,18),2.90233 # DEPENDENCYPART_ARC
(20,19),3.91146 # DEPENDENCYPART_ARC
(20,21),-0.672288 # DEPENDENCYPART_ARC
(20,22),-0.648398 # DEPENDENCYPART_ARC
(21,1),-2.8825 # DEPENDENCYPART_ARC
(21,2),-3.2189 # DEPENDENCYPART_ARC
(21,3),-2.89641 # DEPENDENCYPART_ARC
(21,4),-2.76111 # DEPENDENCYPART_ARC
(21,5),-2.39501 # DEPENDENCYPART_ARC
(21,6),-3.40026 # DEPENDENCYPART_ARC
(21,7),-1.36952 # DEPENDENCYPART_ARC
(21,8),-2.62938 # DEPENDENCYPART_ARC
(21,9),-1.94701 # DEPENDENCYPART_ARC
(21,10),-0.801035 # DEPENDENCYPART_ARC
(21,11),-0.425504 # DEPENDENCYPART_ARC
(21,12),0.288666 # DEPENDENCYPART_ARC
(21,13),-0.902059 # DEPENDENCYPART_ARC
(21,14),-0.127355 # DEPENDENCYPART_ARC
(21,15),0.580735 # DEPENDENCYPART_ARC
(21,16),-1.2954 # DEPENDENCYPART_ARC
(21,17),-1.21027 # DEPENDENCYPART_ARC
(21,18),1.32135 # DEPENDENCYPART_ARC
(21,19),2.11106 # DEPENDENCYPART_ARC
(21,20),4.45765 # DEPENDENCYPART_ARC
(21,22),0.437182 # DEPENDENCYPART_ARC
(22,1),-3.68774 # DEPENDENCYPART_ARC
(22,2),-3.38598 # DEPENDENCYPART_ARC
(22,3),-3.3837 # DEPENDENCYPART_ARC
(22,4),-3.17383 # DEPENDENCYPART_ARC
(22,5),-3.38648 # DEPENDENCYPART_ARC
(22,6),-4.27443 # DEPENDENCYPART_ARC
(22,7),-2.88387 # DEPENDENCYPART_ARC
(22,8),-3.31964 # DEPENDENCYPART_ARC
(22,9),-3.00025 # DEPENDENCYPART_ARC
(22,10),-4.11645 # DEPENDENCYPART_ARC
(22,11),-2.74248 # DEPENDENCYPART_ARC
(22,12),-2.7488 # DEPENDENCYPART_ARC
(22,13),-2.91977 # DEPENDENCYPART_ARC
(22,14),-2.95853 # DEPENDENCYPART_ARC
(22,15),-3.79005 # DEPENDENCYPART_ARC
(22,16),-3.76051 # DEPENDENCYPART_ARC
(22,17),-2.68286 # DEPENDENCYPART_ARC
(22,18),-2.37584 # DEPENDENCYPART_ARC
(22,19),-2.40653 # DEPENDENCYPART_ARC
(22,20),-2.8794 # DEPENDENCYPART_ARC
(22,21),-2.49457 # DEPENDENCYPART_ARC
