# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,15,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,15,
(4,12),-1.08024 # DEPENDENCYPART_ARC
(4,13),-1.16491 # DEPENDENCYPART_ARC
(4,14),-1.39438 # DEPENDENCYPART_ARC
(4,15),-1.60169 # DEPENDENCYPART_ARC
(4,16),-1.32978 # DEPENDENCYPART_ARC
(4,17),-0.764884 # DEPENDENCYPART_ARC
(4,18),-1.27286 # DEPENDENCYPART_ARC
(4,19),-1.24947 # DEPENDENCYPART_ARC
(4,20),-1.9315 # DEPENDENCYPART_ARC
(4,21),-1.49248 # DEPENDENCYPART_ARC
(4,22),-1.99948 # DEPENDENCYPART_ARC
(4,23),-2.1365 # DEPENDENCYPART_ARC
(4,24),-1.23426 # DEPENDENCYPART_ARC
(4,25),-1.43591 # DEPENDENCYPART_ARC
(4,26),-2.00506 # DEPENDENCYPART_ARC
(4,27),-2.21143 # DEPENDENCYPART_ARC
(4,28),-2.01012 # DEPENDENCYPART_ARC
(4,29),-2.43189 # DEPENDENCYPART_ARC
(5,1),0.247982 # DEPENDENCYPART_ARC
(5,2),-1.27736 # DEPENDENCYPART_ARC
(5,3),-0.111836 # DEPENDENCYPART_ARC
(5,4),3.3432 # DEPENDENCYPART_ARC
(5,6),-0.656276 # DEPENDENCYPART_ARC
(5,7),-0.665796 # DEPENDENCYPART_ARC
(5,8),-1.69401 # DEPENDENCYPART_ARC
(5,9),-1.06971 # DEPENDENCYPART_ARC
(5,10),-1.2939 # DEPENDENCYPART_ARC
(5,11),-0.517345 # DEPENDENCYPART_ARC
(5,12),-0.939546 # DEPENDENCYPART_ARC
(5,13),-1.05498 # DEPENDENCYPART_ARC
(5,14),-1.89336 # DEPENDENCYPART_ARC
(5,15),-1.81197 # DEPENDENCYPART_ARC
(5,16),-0.967735 # DEPENDENCYPART_ARC
(5,17),-0.892108 # DEPENDENCYPART_ARC
(5,18),-0.97247 # DEPENDENCYPART_ARC
(5,19),-1.10266 # DEPENDENCYPART_ARC
(5,20),-3.71347 # DEPENDENCYPART_ARC
(5,21),-0.885655 # DEPENDENCYPART_ARC
(5,22),-3.83303 # DEPENDENCYPART_ARC
(5,23),-2.1922 # DEPENDENCYPART_ARC
(5,24),-1.05154 # DEPENDENCYPART_ARC
(5,25),-1.56654 # DEPENDENCYPART_ARC
(5,26),-2.0448 # DEPENDENCYPART_ARC
(5,27),-3.82418 # DEPENDENCYPART_ARC
(5,28),-2.71744 # DEPENDENCYPART_ARC
(5,29),0.112266 # DEPENDENCYPART_ARC
(6,1),-0.193536 # DEPENDENCYPART_ARC
(6,2),0.233847 # DEPENDENCYPART_ARC
(6,3),1.05243 # DEPENDENCYPART_ARC
(6,4),0.985897 # DEPENDENCYPART_ARC
(6,5),3.25308 # DEPENDENCYPART_ARC
(6,7),-0.675377 # DEPENDENCYPART_ARC
(6,8),-0.487718 # DEPENDENCYPART_ARC
(6,9),-0.822437 # DEPENDENCYPART_ARC
(6,10),-0.737216 # DEPENDENCYPART_ARC
(6,11),-0.668994 # DEPENDENCYPART_ARC
(6,12),-0.809324 # DEPENDENCYPART_ARC
(6,13),-0.963973 # DEPENDENCYPART_ARC
(6,14),-1.78666 # DEPENDENCYPART_ARC
(6,15),-0.650833 # DEPENDENCYPART_ARC
(6,16),-1.17076 # DEPENDENCYPART_ARC
(6,17),-0.751786 # DEPENDENCYPART_ARC
(6,18),-0.862224 # DEPENDENCYPART_ARC
(6,19),-1.16114 # DEPENDENCYPART_ARC
(6,20),-2.6334 # DEPENDENCYPART_ARC
(6,21),-0.977458 # DEPENDENCYPART_ARC
(6,22),-2.75239 # DEPENDENCYPART_ARC
(6,23),-1.88916 # DEPENDENCYPART_ARC
(6,24),-1.05934 # DEPENDENCYPART_ARC
(6,25),-1.27142 # DEPENDENCYPART_ARC
(6,26),-2.03746 # DEPENDENCYPART_ARC
(6,27),-2.48942 # DEPENDENCYPART_ARC
(6,28),-1.93556 # DEPENDENCYPART_ARC
(6,29),0.217055 # DEPENDENCYPART_ARC
(7,1),0.902162 # DEPENDENCYPART_ARC
(7,2),-0.492077 # DEPENDENCYPART_ARC
(7,3),0.646642 # DEPENDENCYPART_ARC
(7,4),2.40178 # DEPENDENCYPART_ARC
(7,5),0.3632 # DEPENDENCYPART_ARC
(7,6),3.70791 # DEPENDENCYPART_ARC
(7,8),-1.06059 # DEPENDENCYPART_ARC
(7,9),-0.844332 # DEPENDENCYPART_ARC
(7,10),-0.602028 # DEPENDENCYPART_ARC
(7,11),-0.504448 # DEPENDENCYPART_ARC
(7,12),-0.917846 # DEPENDENCYPART_ARC
(7,13),-0.764137 # DEPENDENCYPART_ARC
(7,14),-1.64685 # DEPENDENCYPART_ARC
(7,15),-1.42803 # DEPENDENCYPART_ARC
(7,16),-0.873596 # DEPENDENCYPART_ARC
(7,17),-0.68465 # DEPENDENCYPART_ARC
(7,18),-0.8196 # DEPENDENCYPART_ARC
(7,19),-0.881541 # DEPENDENCYPART_ARC
(7,20),-3.67383 # DEPENDENCYPART_ARC
(7,21),-0.967211 # DEPENDENCYPART_ARC
(7,22),-3.6694 # DEPENDENCYPART_ARC
(7,23),-2.12822 # DEPENDENCYPART_ARC
(7,24),-0.861693 # DEPENDENCYPART_ARC
(7,25),-1.30928 # DEPENDENCYPART_ARC
(7,26),-1.83547 # DEPENDENCYPART_ARC
(7,27),-3.23516 # DEPENDENCYPART_ARC
(7,28),-2.34317 # DEPENDENCYPART_ARC
(7,29),0.317403 # DEPENDENCYPART_ARC
(8,1),0.0467332 # DEPENDENCYPART_ARC
(8,2),-1.77168 # DEPENDENCYPART_ARC
(8,3),0.860048 # DEPENDENCYPART_ARC
(8,4),1.31139 # DEPENDENCYPART_ARC
(8,5),-2.51966 # DEPENDENCYPART_ARC
(8,6),1.98989 # DEPENDENCYPART_ARC
(8,7),1.07544 # DEPENDENCYPART_ARC
(8,9),-0.680651 # DEPENDENCYPART_ARC
(8,10),-0.756682 # DEPENDENCYPART_ARC
(8,11),-0.369104 # DEPENDENCYPART_ARC
(8,12),-0.804884 # DEPENDENCYPART_ARC
(8,13),-0.831369 # DEPENDENCYPART_ARC
(8,14),-1.90485 # DEPENDENCYPART_ARC
(8,15),-1.39881 # DEPENDENCYPART_ARC
(8,16),-0.710629 # DEPENDENCYPART_ARC
(8,17),-0.649763 # DEPENDENCYPART_ARC
(8,18),-0.739186 # DEPENDENCYPART_ARC
(8,19),-0.840802 # DEPENDENCYPART_ARC
(8,20),-3.23687 # DEPENDENCYPART_ARC
(8,21),-0.795693 # DEPENDENCYPART_ARC
(8,22),-3.40262 # DEPENDENCYPART_ARC
(8,23),-2.04038 # DEPENDENCYPART_ARC
(8,24),-0.871238 # DEPENDENCYPART_ARC
(8,25),-1.14139 # DEPENDENCYPART_ARC
(8,26),-1.98734 # DEPENDENCYPART_ARC
(8,27),-3.40195 # DEPENDENCYPART_ARC
(8,28),-2.03407 # DEPENDENCYPART_ARC
(8,29),0.272943 # DEPENDENCYPART_ARC
(9,1),-0.203907 # DEPENDENCYPART_ARC
(9,2),0.620023 # DEPENDENCYPART_ARC
(9,3),0.681034 # DEPENDENCYPART_ARC
(9,4),-0.0412133 # DEPENDENCYPART_ARC
(9,5),0.88281 # DEPENDENCYPART_ARC
(9,6),0.746024 # DEPENDENCYPART_ARC
(9,7),0.975132 # DEPENDENCYPART_ARC
(9,8),1.59613 # DEPENDENCYPART_ARC
(9,10),1.147 # DEPENDENCYPART_ARC
(9,11),0.34477 # DEPENDENCYPART_ARC
(9,12),0.476211 # DEPENDENCYPART_ARC
(9,13),0.136436 # DEPENDENCYPART_ARC
(9,14),-0.14885 # DEPENDENCYPART_ARC
(9,15),0.175705 # DEPENDENCYPART_ARC
(9,16),0.260395 # DEPENDENCYPART_ARC
(9,17),0.0580833 # DEPENDENCYPART_ARC
(9,18),0.470961 # DEPENDENCYPART_ARC
(9,19),0.0485991 # DEPENDENCYPART_ARC
(9,20),-1.23873 # DEPENDENCYPART_ARC
(9,21),-0.0762984 # DEPENDENCYPART_ARC
(9,22),-1.13202 # DEPENDENCYPART_ARC
(9,23),-0.490125 # DEPENDENCYPART_ARC
(9,24),-0.0230932 # DEPENDENCYPART_ARC
(9,25),-0.437194 # DEPENDENCYPART_ARC
(9,26),-0.438105 # DEPENDENCYPART_ARC
(9,27),-1.15565 # DEPENDENCYPART_ARC
(9,28),-0.559672 # DEPENDENCYPART_ARC
(9,29),0.195299 # DEPENDENCYPART_ARC
(10,1),-0.673356 # DEPENDENCYPART_ARC
(10,2),2.1912 # DEPENDENCYPART_ARC
(10,3),1.93803 # DEPENDENCYPART_ARC
(10,4),-0.551804 # DEPENDENCYPART_ARC
(10,5),2.34994 # DEPENDENCYPART_ARC
(10,6),0.393199 # DEPENDENCYPART_ARC
(10,7),2.27447 # DEPENDENCYPART_ARC
(10,8),2.5426 # DEPENDENCYPART_ARC
(10,9),3.27157 # DEPENDENCYPART_ARC
(10,11),2.25748 # DEPENDENCYPART_ARC
(10,12),2.98284 # DEPENDENCYPART_ARC
(10,13),0.496368 # DEPENDENCYPART_ARC
(10,14),-0.402572 # DEPENDENCYPART_ARC
(10,15),1.75213 # DEPENDENCYPART_ARC
(10,16),1.78744 # DEPENDENCYPART_ARC
(10,17),1.07974 # DEPENDENCYPART_ARC
(10,18),1.61089 # DEPENDENCYPART_ARC
(10,19),-0.366039 # DEPENDENCYPART_ARC
(10,20),-2.36807 # DEPENDENCYPART_ARC
(10,21),0.204848 # DEPENDENCYPART_ARC
(10,22),-3.46762 # DEPENDENCYPART_ARC
(10,23),0.620888 # DEPENDENCYPART_ARC
(10,24),0.0922872 # DEPENDENCYPART_ARC
(10,25),-0.244264 # DEPENDENCYPART_ARC
(10,26),-0.605891 # DEPENDENCYPART_ARC
(10,27),-3.5966 # DEPENDENCYPART_ARC
(10,28),0.0260165 # DEPENDENCYPART_ARC
(10,29),2.59271 # DEPENDENCYPART_ARC
(11,1),-2.36902 # DEPENDENCYPART_ARC
(11,2),-3.2103 # DEPENDENCYPART_ARC
(11,3),-2.1407 # DEPENDENCYPART_ARC
(11,4),-2.25958 # DEPENDENCYPART_ARC
(11,5),-3.05676 # DEPENDENCYPART_ARC
(11,6),-2.57668 # DEPENDENCYPART_ARC
(11,7),-2.82487 # DEPENDENCYPART_ARC
(11,8),-2.61457 # DEPENDENCYPART_ARC
(11,9),-1.76076 # DEPENDENCYPART_ARC
(11,10),-1.06645 # DEPENDENCYPART_ARC
(11,12),-1.09823 # DEPENDENCYPART_ARC
(11,13),-1.39395 # DEPENDENCYPART_ARC
(11,14),-1.64097 # DEPENDENCYPART_ARC
(11,15),-1.51051 # DEPENDENCYPART_ARC
(11,16),-1.60963 # DEPENDENCYPART_ARC
(11,17),-1.22806 # DEPENDENCYPART_ARC
(11,18),-1.31953 # DEPENDENCYPART_ARC
(11,19),-1.67751 # DEPENDENCYPART_ARC
(11,20),-2.41676 # DEPENDENCYPART_ARC
(11,21),-1.37086 # DEPENDENCYPART_ARC
(11,22),-2.58783 # DEPENDENCYPART_ARC
(11,23),-2.02172 # DEPENDENCYPART_ARC
(11,24),-1.73106 # DEPENDENCYPART_ARC
(11,25),-1.74369 # DEPENDENCYPART_ARC
(11,26),-2.03812 # DEPENDENCYPART_ARC
(11,27),-2.71782 # DEPENDENCYPART_ARC
(11,28),-1.91938 # DEPENDENCYPART_ARC
(11,29),-1.70968 # DEPENDENCYPART_ARC
(12,1),-1.38449 # DEPENDENCYPART_ARC
(12,2),-0.483875 # DEPENDENCYPART_ARC
(12,3),-0.0931604 # DEPENDENCYPART_ARC
(12,4),-1.16651 # DEPENDENCYPART_ARC
(12,5),-0.0375561 # DEPENDENCYPART_ARC
(12,6),0.36519 # DEPENDENCYPART_ARC
(12,7),-0.00982347 # DEPENDENCYPART_ARC
(12,8),0.294781 # DEPENDENCYPART_ARC
(12,9),0.428752 # DEPENDENCYPART_ARC
(12,10),-0.0501771 # DEPENDENCYPART_ARC
(12,11),1.54426 # DEPENDENCYPART_ARC
(12,13),-0.236301 # DEPENDENCYPART_ARC
(12,14),-0.625979 # DEPENDENCYPART_ARC
(12,15),1.07405 # DEPENDENCYPART_ARC
(12,16),0.204749 # DEPENDENCYPART_ARC
(12,17),0.08101 # DEPENDENCYPART_ARC
(12,18),0.52789 # DEPENDENCYPART_ARC
(12,19),-0.42953 # DEPENDENCYPART_ARC
(12,20),-1.26062 # DEPENDENCYPART_ARC
(12,21),0.615751 # DEPENDENCYPART_ARC
(12,22),-1.22814 # DEPENDENCYPART_ARC
(12,23),-0.544485 # DEPENDENCYPART_ARC
(12,24),-0.236901 # DEPENDENCYPART_ARC
(12,25),-0.471768 # DEPENDENCYPART_ARC
(12,26),-0.557433 # DEPENDENCYPART_ARC
(12,27),-1.39499 # DEPENDENCYPART_ARC
(12,28),-0.52237 # DEPENDENCYPART_ARC
(12,29),1.84855 # DEPENDENCYPART_ARC
(13,1),-1.7293 # DEPENDENCYPART_ARC
(13,2),-1.21388 # DEPENDENCYPART_ARC
(13,3),-0.847476 # DEPENDENCYPART_ARC
(13,4),-1.56777 # DEPENDENCYPART_ARC
(13,5),-0.926496 # DEPENDENCYPART_ARC
(13,6),-1.11369 # DEPENDENCYPART_ARC
(13,7),-1.00259 # DEPENDENCYPART_ARC
(13,8),-1.0569 # DEPENDENCYPART_ARC
(13,9),-0.506475 # DEPENDENCYPART_ARC
(13,10),-0.246597 # DEPENDENCYPART_ARC
(13,11),-0.181324 # DEPENDENCYPART_ARC
(13,12),0.203572 # DEPENDENCYPART_ARC
(13,14),-0.257694 # DEPENDENCYPART_ARC
(13,15),0.474707 # DEPENDENCYPART_ARC
(13,16),0.189592 # DEPENDENCYPART_ARC
(13,17),-0.0126122 # DEPENDENCYPART_ARC
(13,18),0.16806 # DEPENDENCYPART_ARC
(13,19),-0.376349 # DEPENDENCYPART_ARC
(13,20),-1.2161 # DEPENDENCYPART_ARC
(13,21),-0.203257 # DEPENDENCYPART_ARC
(13,22),-1.06651 # DEPENDENCYPART_ARC
(13,23),-0.709848 # DEPENDENCYPART_ARC
(13,24),-0.347477 # DEPENDENCYPART_ARC
(13,25),-0.741767 # DEPENDENCYPART_ARC
(13,26),-0.837774 # DEPENDENCYPART_ARC
(13,27),-1.37706 # DEPENDENCYPART_ARC
(13,28),-0.611909 # DEPENDENCYPART_ARC
(13,29),0.264914 # DEPENDENCYPART_ARC
(14,1),-0.565069 # DEPENDENCYPART_ARC
(14,2),-0.81976 # DEPENDENCYPART_ARC
(14,3),-0.425698 # DEPENDENCYPART_ARC
(14,4),-0.424648 # DEPENDENCYPART_ARC
(14,5),-0.537315 # DEPENDENCYPART_ARC
(14,6),-0.115589 # DEPENDENCYPART_ARC
(14,7),-0.624214 # DEPENDENCYPART_ARC
(14,8),-0.258147 # DEPENDENCYPART_ARC
(14,9),-0.106981 # DEPENDENCYPART_ARC
(14,10),0.427742 # DEPENDENCYPART_ARC
(14,11),0.411446 # DEPENDENCYPART_ARC
(14,12),0.027917 # DEPENDENCYPART_ARC
(14,13),0.929786 # DEPENDENCYPART_ARC
(14,15),2.16658 # DEPENDENCYPART_ARC
(14,16),1.31823 # DEPENDENCYPART_ARC
(14,17),1.51061 # DEPENDENCYPART_ARC
(14,18),1.62045 # DEPENDENCYPART_ARC
(14,19),0.618929 # DEPENDENCYPART_ARC
(14,20),0.0182236 # DEPENDENCYPART_ARC
(14,21),1.19551 # DEPENDENCYPART_ARC
(14,22),0.244968 # DEPENDENCYPART_ARC
(14,23),0.33211 # DEPENDENCYPART_ARC
(14,24),0.934213 # DEPENDENCYPART_ARC
(14,25),0.960011 # DEPENDENCYPART_ARC
(14,26),0.528422 # DEPENDENCYPART_ARC
(14,27),0.949406 # DEPENDENCYPART_ARC
(14,28),2.47467 # DEPENDENCYPART_ARC
(14,29),0.759752 # DEPENDENCYPART_ARC
(15,1),-0.698878 # DEPENDENCYPART_ARC
(15,2),0.231124 # DEPENDENCYPART_ARC
(15,3),1.09734 # DEPENDENCYPART_ARC
(15,4),-0.697743 # DEPENDENCYPART_ARC
(15,5),0.279275 # DEPENDENCYPART_ARC
(15,6),-1.16325 # DEPENDENCYPART_ARC
(15,7),0.221479 # DEPENDENCYPART_ARC
(15,8),-0.100644 # DEPENDENCYPART_ARC
(15,9),0.848904 # DEPENDENCYPART_ARC
(15,10),0.414124 # DEPENDENCYPART_ARC
(15,11),1.19511 # DEPENDENCYPART_ARC
(15,12),1.39139 # DEPENDENCYPART_ARC
(15,13),2.25534 # DEPENDENCYPART_ARC
(15,14),2.42302 # DEPENDENCYPART_ARC
(15,16),3.13766 # DEPENDENCYPART_ARC
(15,17),2.59866 # DEPENDENCYPART_ARC
(15,18),3.16694 # DEPENDENCYPART_ARC
(15,19),0.577961 # DEPENDENCYPART_ARC
(15,20),-0.689019 # DEPENDENCYPART_ARC
(15,21),1.05953 # DEPENDENCYPART_ARC
(15,22),-2.03387 # DEPENDENCYPART_ARC
(15,23),0.762278 # DEPENDENCYPART_ARC
(15,24),0.37596 # DEPENDENCYPART_ARC
(15,25),0.233775 # DEPENDENCYPART_ARC
(15,26),-0.601629 # DEPENDENCYPART_ARC
(15,27),-2.24913 # DEPENDENCYPART_ARC
(15,28),0.369961 # DEPENDENCYPART_ARC
(15,29),3.12578 # DEPENDENCYPART_ARC
(16,1),-0.691234 # DEPENDENCYPART_ARC
(16,2),-1.11132 # DEPENDENCYPART_ARC
(16,3),0.193247 # DEPENDENCYPART_ARC
(16,4),-0.6344 # DEPENDENCYPART_ARC
(16,5),0.264686 # DEPENDENCYPART_ARC
(16,6),-0.0677736 # DEPENDENCYPART_ARC
(16,7),-0.917955 # DEPENDENCYPART_ARC
(16,8),1.40802 # DEPENDENCYPART_ARC
(16,9),0.656424 # DEPENDENCYPART_ARC
(16,10),-0.253807 # DEPENDENCYPART_ARC
(16,11),0.594516 # DEPENDENCYPART_ARC
(16,12),0.215062 # DEPENDENCYPART_ARC
(16,13),2.24871 # DEPENDENCYPART_ARC
(16,14),3.71656 # DEPENDENCYPART_ARC
(16,15),1.78099 # DEPENDENCYPART_ARC
(16,17),0.903996 # DEPENDENCYPART_ARC
(16,18),1.31768 # DEPENDENCYPART_ARC
(16,19),-0.169906 # DEPENDENCYPART_ARC
(16,20),-0.635794 # DEPENDENCYPART_ARC
(16,21),-0.37568 # DEPENDENCYPART_ARC
(16,22),-1.95319 # DEPENDENCYPART_ARC
(16,23),0.190109 # DEPENDENCYPART_ARC
(16,24),-0.642152 # DEPENDENCYPART_ARC
(16,25),-0.758003 # DEPENDENCYPART_ARC
(16,26),0.049931 # DEPENDENCYPART_ARC
(16,27),-2.58586 # DEPENDENCYPART_ARC
(16,28),0.355177 # DEPENDENCYPART_ARC
(16,29),1.14598 # DEPENDENCYPART_ARC
(17,1),-2.9926 # DEPENDENCYPART_ARC
(17,2),-3.96713 # DEPENDENCYPART_ARC
(17,3),-2.84507 # DEPENDENCYPART_ARC
(17,4),-2.85857 # DEPENDENCYPART_ARC
(17,5),-3.84928 # DEPENDENCYPART_ARC
(17,6),-3.27165 # DEPENDENCYPART_ARC
(17,7),-3.69633 # DEPENDENCYPART_ARC
(17,8),-3.65413 # DEPENDENCYPART_ARC
(17,9),-2.85791 # DEPENDENCYPART_ARC
(17,10),-3.13524 # DEPENDENCYPART_ARC
(17,11),-2.4723 # DEPENDENCYPART_ARC
(17,12),-2.61864 # DEPENDENCYPART_ARC
(17,13),-2.50057 # DEPENDENCYPART_ARC
(17,14),-2.51841 # DEPENDENCYPART_ARC
(17,15),-2.33957 # DEPENDENCYPART_ARC
(17,16),-1.42692 # DEPENDENCYPART_ARC
(17,18),-1.41116 # DEPENDENCYPART_ARC
(17,19),-1.70688 # DEPENDENCYPART_ARC
(17,20),-2.31309 # DEPENDENCYPART_ARC
(17,21),-1.65589 # DEPENDENCYPART_ARC
(17,22),-2.52776 # DEPENDENCYPART_ARC
(17,23),-2.14978 # DEPENDENCYPART_ARC
(17,24),-1.86327 # DEPENDENCYPART_ARC
(17,25),-1.92125 # DEPENDENCYPART_ARC
(17,26),-2.24987 # DEPENDENCYPART_ARC
(17,27),-2.8521 # DEPENDENCYPART_ARC
(17,28),-2.19432 # DEPENDENCYPART_ARC
(17,29),-1.94983 # DEPENDENCYPART_ARC
