# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=6,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(4,7),-1.46101 # DEPENDENCYPART_ARC
(4,8),-0.31969 # DEPENDENCYPART_ARC
(4,9),-0.104229 # DEPENDENCYPART_ARC
(4,10),-0.0955737 # DEPENDENCYPART_ARC
(4,11),-0.527898 # DEPENDENCYPART_ARC
(4,12),-1.18923 # DEPENDENCYPART_ARC
(4,13),-2.13267 # DEPENDENCYPART_ARC
(4,14),-1.49583 # DEPENDENCYPART_ARC
(4,15),-1.01783 # DEPENDENCYPART_ARC
(4,16),-1.84119 # DEPENDENCYPART_ARC
(4,17),-2.42633 # DEPENDENCYPART_ARC
(4,18),-1.29059 # DEPENDENCYPART_ARC
(4,19),0.625349 # DEPENDENCYPART_ARC
(5,1),-1.29904 # DEPENDENCYPART_ARC
(5,2),-0.0103376 # DEPENDENCYPART_ARC
(5,3),0.443417 # DEPENDENCYPART_ARC
(5,4),1.62185 # DEPENDENCYPART_ARC
(5,6),-0.640437 # DEPENDENCYPART_ARC
(5,7),-1.36217 # DEPENDENCYPART_ARC
(5,8),0.00871257 # DEPENDENCYPART_ARC
(5,9),-0.802305 # DEPENDENCYPART_ARC
(5,10),-0.652321 # DEPENDENCYPART_ARC
(5,11),-0.851337 # DEPENDENCYPART_ARC
(5,12),-1.43755 # DEPENDENCYPART_ARC
(5,13),-1.97223 # DEPENDENCYPART_ARC
(5,14),-1.60186 # DEPENDENCYPART_ARC
(5,15),-0.978085 # DEPENDENCYPART_ARC
(5,16),-1.89842 # DEPENDENCYPART_ARC
(5,17),-2.60782 # DEPENDENCYPART_ARC
(5,18),-1.62644 # DEPENDENCYPART_ARC
(5,19),0.269818 # DEPENDENCYPART_ARC
(6,1),0.985418 # DEPENDENCYPART_ARC
(6,2),0.553053 # DEPENDENCYPART_ARC
(6,3),1.728 # DEPENDENCYPART_ARC
(6,4),3.80249 # DEPENDENCYPART_ARC
(6,5),3.91118 # DEPENDENCYPART_ARC
(6,7),-1.30492 # DEPENDENCYPART_ARC
(6,8),-0.86279 # DEPENDENCYPART_ARC
(6,9),0.323617 # DEPENDENCYPART_ARC
(6,10),0.120047 # DEPENDENCYPART_ARC
(6,11),-0.405701 # DEPENDENCYPART_ARC
(6,12),-0.856296 # DEPENDENCYPART_ARC
(6,13),-1.93576 # DEPENDENCYPART_ARC
(6,14),-1.08883 # DEPENDENCYPART_ARC
(6,15),-0.438125 # DEPENDENCYPART_ARC
(6,16),-1.05817 # DEPENDENCYPART_ARC
(6,17),-2.03843 # DEPENDENCYPART_ARC
(6,18),-1.78588 # DEPENDENCYPART_ARC
(6,19),0.897529 # DEPENDENCYPART_ARC
(7,1),-0.760801 # DEPENDENCYPART_ARC
(7,2),-0.327657 # DEPENDENCYPART_ARC
(7,3),0.1912 # DEPENDENCYPART_ARC
(7,4),-0.41709 # DEPENDENCYPART_ARC
(7,5),0.373206 # DEPENDENCYPART_ARC
(7,6),0.129405 # DEPENDENCYPART_ARC
(7,8),2.18172 # DEPENDENCYPART_ARC
(7,9),1.42164 # DEPENDENCYPART_ARC
(7,10),1.55721 # DEPENDENCYPART_ARC
(7,11),1.46618 # DEPENDENCYPART_ARC
(7,12),-0.0307788 # DEPENDENCYPART_ARC
(7,13),1.26287 # DEPENDENCYPART_ARC
(7,14),1.16921 # DEPENDENCYPART_ARC
(7,15),0.541491 # DEPENDENCYPART_ARC
(7,16),0.954947 # DEPENDENCYPART_ARC
(7,17),0.202336 # DEPENDENCYPART_ARC
(7,18),3.55069 # DEPENDENCYPART_ARC
(7,19),0.806675 # DEPENDENCYPART_ARC
(8,1),0.846233 # DEPENDENCYPART_ARC
(8,2),1.46186 # DEPENDENCYPART_ARC
(8,3),-0.663675 # DEPENDENCYPART_ARC
(8,4),1.04425 # DEPENDENCYPART_ARC
(8,5),0.0133603 # DEPENDENCYPART_ARC
(8,6),2.14336 # DEPENDENCYPART_ARC
(8,7),2.13161 # DEPENDENCYPART_ARC
(8,9),3.40119 # DEPENDENCYPART_ARC
(8,10),2.69843 # DEPENDENCYPART_ARC
(8,11),3.52388 # DEPENDENCYPART_ARC
(8,12),-0.444373 # DEPENDENCYPART_ARC
(8,13),-0.783272 # DEPENDENCYPART_ARC
(8,14),-0.298866 # DEPENDENCYPART_ARC
(8,15),-0.316146 # DEPENDENCYPART_ARC
(8,16),-1.20206 # DEPENDENCYPART_ARC
(8,17),-0.121627 # DEPENDENCYPART_ARC
(8,18),0.561812 # DEPENDENCYPART_ARC
(8,19),3.32929 # DEPENDENCYPART_ARC
(9,1),-0.400767 # DEPENDENCYPART_ARC
(9,2),1.19214 # DEPENDENCYPART_ARC
(9,3),-0.0775609 # DEPENDENCYPART_ARC
(9,4),0.05928 # DEPENDENCYPART_ARC
(9,5),0.964627 # DEPENDENCYPART_ARC
(9,6),1.44804 # DEPENDENCYPART_ARC
(9,7),3.81652 # DEPENDENCYPART_ARC
(9,8),1.88107 # DEPENDENCYPART_ARC
(9,10),0.8586 # DEPENDENCYPART_ARC
(9,11),1.4279 # DEPENDENCYPART_ARC
(9,12),-0.498517 # DEPENDENCYPART_ARC
(9,13),-0.563727 # DEPENDENCYPART_ARC
(9,14),0.251775 # DEPENDENCYPART_ARC
(9,15),-0.767095 # DEPENDENCYPART_ARC
(9,16),-1.81511 # DEPENDENCYPART_ARC
(9,17),0.103211 # DEPENDENCYPART_ARC
(9,18),1.78631 # DEPENDENCYPART_ARC
(9,19),1.27683 # DEPENDENCYPART_ARC
(10,1),-3.8279 # DEPENDENCYPART_ARC
(10,2),-2.67036 # DEPENDENCYPART_ARC
(10,3),-2.80208 # DEPENDENCYPART_ARC
(10,4),-3.59927 # DEPENDENCYPART_ARC
(10,5),-3.11918 # DEPENDENCYPART_ARC
(10,6),-3.36737 # DEPENDENCYPART_ARC
(10,7),-2.60198 # DEPENDENCYPART_ARC
(10,8),-2.42137 # DEPENDENCYPART_ARC
(10,9),-1.50871 # DEPENDENCYPART_ARC
(10,11),-1.47057 # DEPENDENCYPART_ARC
(10,12),-1.78332 # DEPENDENCYPART_ARC
(10,13),-2.42912 # DEPENDENCYPART_ARC
(10,14),-2.00234 # DEPENDENCYPART_ARC
(10,15),-1.95324 # DEPENDENCYPART_ARC
(10,16),-2.83572 # DEPENDENCYPART_ARC
(10,17),-2.92618 # DEPENDENCYPART_ARC
(10,18),-2.16918 # DEPENDENCYPART_ARC
(10,19),-2.01603 # DEPENDENCYPART_ARC
(11,1),-0.0483868 # DEPENDENCYPART_ARC
(11,2),-0.132074 # DEPENDENCYPART_ARC
(11,3),-0.702814 # DEPENDENCYPART_ARC
(11,4),0.293139 # DEPENDENCYPART_ARC
(11,5),0.240228 # DEPENDENCYPART_ARC
(11,6),0.468736 # DEPENDENCYPART_ARC
(11,7),-0.545935 # DEPENDENCYPART_ARC
(11,8),-0.504297 # DEPENDENCYPART_ARC
(11,9),0.341228 # DEPENDENCYPART_ARC
(11,10),1.16704 # DEPENDENCYPART_ARC
(11,12),-0.51384 # DEPENDENCYPART_ARC
(11,13),-0.531491 # DEPENDENCYPART_ARC
(11,14),0.0810924 # DEPENDENCYPART_ARC
(11,15),0.0298357 # DEPENDENCYPART_ARC
(11,16),-0.381008 # DEPENDENCYPART_ARC
(11,17),-1.01704 # DEPENDENCYPART_ARC
(11,18),1.14536 # DEPENDENCYPART_ARC
(11,19),1.77441 # DEPENDENCYPART_ARC
(12,1),-3.68325 # DEPENDENCYPART_ARC
(12,2),-2.17007 # DEPENDENCYPART_ARC
(12,3),-2.40331 # DEPENDENCYPART_ARC
(12,4),-3.60998 # DEPENDENCYPART_ARC
(12,5),-2.50884 # DEPENDENCYPART_ARC
(12,6),-3.87078 # DEPENDENCYPART_ARC
(12,7),-2.95406 # DEPENDENCYPART_ARC
(12,8),-2.57937 # DEPENDENCYPART_ARC
(12,9),-1.89463 # DEPENDENCYPART_ARC
(12,10),-1.41065 # DEPENDENCYPART_ARC
(12,11),-0.828816 # DEPENDENCYPART_ARC
(12,13),-0.387374 # DEPENDENCYPART_ARC
(12,14),-0.174691 # DEPENDENCYPART_ARC
(12,15),-0.362061 # DEPENDENCYPART_ARC
(12,16),-0.993297 # DEPENDENCYPART_ARC
(12,17),-1.54608 # DEPENDENCYPART_ARC
(12,18),-1.23915 # DEPENDENCYPART_ARC
(12,19),-1.51886 # DEPENDENCYPART_ARC
(13,1),-3.97549 # DEPENDENCYPART_ARC
(13,2),-2.47039 # DEPENDENCYPART_ARC
(13,3),-1.10408 # DEPENDENCYPART_ARC
(13,4),-3.3471 # DEPENDENCYPART_ARC
(13,5),-2.08076 # DEPENDENCYPART_ARC
(13,6),-3.9014 # DEPENDENCYPART_ARC
(13,7),-1.74283 # DEPENDENCYPART_ARC
(13,8),-2.1915 # DEPENDENCYPART_ARC
(13,9),-0.482204 # DEPENDENCYPART_ARC
(13,10),-0.62156 # DEPENDENCYPART_ARC
(13,11),-0.823345 # DEPENDENCYPART_ARC
(13,12),3.34482 # DEPENDENCYPART_ARC
(13,14),-0.7044 # DEPENDENCYPART_ARC
(13,15),-0.790599 # DEPENDENCYPART_ARC
(13,16),-0.683717 # DEPENDENCYPART_ARC
(13,17),-0.832302 # DEPENDENCYPART_ARC
(13,18),-1.01475 # DEPENDENCYPART_ARC
(13,19),-0.1461 # DEPENDENCYPART_ARC
(14,1),-2.17833 # DEPENDENCYPART_ARC
(14,2),-0.781457 # DEPENDENCYPART_ARC
(14,3),-1.18644 # DEPENDENCYPART_ARC
(14,4),-1.00854 # DEPENDENCYPART_ARC
(14,5),-1.48579 # DEPENDENCYPART_ARC
(14,6),-1.81032 # DEPENDENCYPART_ARC
(14,7),-0.621144 # DEPENDENCYPART_ARC
(14,8),-0.624543 # DEPENDENCYPART_ARC
(14,9),-0.29209 # DEPENDENCYPART_ARC
(14,10),0.0854103 # DEPENDENCYPART_ARC
(14,11),0.234666 # DEPENDENCYPART_ARC
(14,12),0.72354 # DEPENDENCYPART_ARC
(14,13),3.33091 # DEPENDENCYPART_ARC
(14,15),0.183103 # DEPENDENCYPART_ARC
(14,16),0.0896708 # DEPENDENCYPART_ARC
(14,17),-0.850339 # DEPENDENCYPART_ARC
(14,18),-0.627025 # DEPENDENCYPART_ARC
(14,19),0.116455 # DEPENDENCYPART_ARC
(15,1),-1.87039 # DEPENDENCYPART_ARC
(15,2),-1.91535 # DEPENDENCYPART_ARC
(15,3),-0.817944 # DEPENDENCYPART_ARC
(15,4),-1.98478 # DEPENDENCYPART_ARC
(15,5),-1.72529 # DEPENDENCYPART_ARC
(15,6),-1.99679 # DEPENDENCYPART_ARC
(15,7),-1.65846 # DEPENDENCYPART_ARC
(15,8),-1.76425 # DEPENDENCYPART_ARC
(15,9),-0.648857 # DEPENDENCYPART_ARC
(15,10),-0.925395 # DEPENDENCYPART_ARC
(15,11),-0.126717 # DEPENDENCYPART_ARC
(15,12),0.243201 # DEPENDENCYPART_ARC
(15,13),-0.888867 # DEPENDENCYPART_ARC
(15,14),0.231281 # DEPENDENCYPART_ARC
(15,16),-0.291875 # DEPENDENCYPART_ARC
(15,17),-1.29387 # DEPENDENCYPART_ARC
(15,18),-0.703115 # DEPENDENCYPART_ARC
(15,19),-0.573428 # DEPENDENCYPART_ARC
(16,1),-3.20025 # DEPENDENCYPART_ARC
(16,2),-1.41389 # DEPENDENCYPART_ARC
(16,3),-1.07064 # DEPENDENCYPART_ARC
(16,4),-2.52757 # DEPENDENCYPART_ARC
(16,5),-0.387913 # DEPENDENCYPART_ARC
(16,6),-3.31221 # DEPENDENCYPART_ARC
(16,7),-2.39898 # DEPENDENCYPART_ARC
(16,8),-1.152 # DEPENDENCYPART_ARC
(16,9),0.382861 # DEPENDENCYPART_ARC
(16,10),0.0666797 # DEPENDENCYPART_ARC
(16,11),-0.32534 # DEPENDENCYPART_ARC
(16,12),1.51409 # DEPENDENCYPART_ARC
(16,13),-0.447978 # DEPENDENCYPART_ARC
(16,14),2.55786 # DEPENDENCYPART_ARC
(16,15),3.27721 # DEPENDENCYPART_ARC
(16,17),-1.13834 # DEPENDENCYPART_ARC
(16,18),-1.03897 # DEPENDENCYPART_ARC
(16,19),-0.49271 # DEPENDENCYPART_ARC
(17,1),-2.65485 # DEPENDENCYPART_ARC
(17,2),-1.34889 # DEPENDENCYPART_ARC
(17,3),-2.22512 # DEPENDENCYPART_ARC
(17,4),-1.13 # DEPENDENCYPART_ARC
(17,5),-1.03625 # DEPENDENCYPART_ARC
(17,6),-2.33595 # DEPENDENCYPART_ARC
(17,7),-1.2143 # DEPENDENCYPART_ARC
(17,8),-2.05665 # DEPENDENCYPART_ARC
(17,9),-0.055601 # DEPENDENCYPART_ARC
(17,10),-0.0470261 # DEPENDENCYPART_ARC
(17,11),0.02749 # DEPENDENCYPART_ARC
(17,12),0.248924 # DEPENDENCYPART_ARC
(17,13),-0.438937 # DEPENDENCYPART_ARC
(17,14),1.11954 # DEPENDENCYPART_ARC
(17,15),1.88119 # DEPENDENCYPART_ARC
(17,16),4.98041 # DEPENDENCYPART_ARC
(17,18),-1.82423 # DEPENDENCYPART_ARC
(17,19),-0.604385 # DEPENDENCYPART_ARC
(18,1),-1.37452 # DEPENDENCYPART_ARC
(18,2),0.311754 # DEPENDENCYPART_ARC
(18,3),-1.10975 # DEPENDENCYPART_ARC
(18,4),-1.33895 # DEPENDENCYPART_ARC
(18,5),-1.27194 # DEPENDENCYPART_ARC
(18,6),-0.645753 # DEPENDENCYPART_ARC
(18,7),0.176525 # DEPENDENCYPART_ARC
(18,8),0.615019 # DEPENDENCYPART_ARC
(18,9),-0.376994 # DEPENDENCYPART_ARC
(18,10),0.408078 # DEPENDENCYPART_ARC
(18,11),0.106009 # DEPENDENCYPART_ARC
(18,12),-0.370827 # DEPENDENCYPART_ARC
(18,13),0.923149 # DEPENDENCYPART_ARC
(18,14),0.239921 # DEPENDENCYPART_ARC
(18,15),0.456191 # DEPENDENCYPART_ARC
(18,16),1.16628 # DEPENDENCYPART_ARC
(18,17),4.20303 # DEPENDENCYPART_ARC
(18,19),1.63077 # DEPENDENCYPART_ARC
(19,1),-4.47844 # DEPENDENCYPART_ARC
(19,2),-3.17009 # DEPENDENCYPART_ARC
(19,3),-3.41972 # DEPENDENCYPART_ARC
(19,4),-4.45646 # DEPENDENCYPART_ARC
(19,5),-3.62604 # DEPENDENCYPART_ARC
(19,6),-4.33074 # DEPENDENCYPART_ARC
(19,7),-3.56805 # DEPENDENCYPART_ARC
(19,8),-3.49616 # DEPENDENCYPART_ARC
(19,9),-3.40832 # DEPENDENCYPART_ARC
(19,10),-2.87806 # DEPENDENCYPART_ARC
(19,11),-2.90812 # DEPENDENCYPART_ARC
(19,12),-3.06241 # DEPENDENCYPART_ARC
(19,13),-3.91712 # DEPENDENCYPART_ARC
(19,14),-3.25958 # DEPENDENCYPART_ARC
(19,15),-2.92076 # DEPENDENCYPART_ARC
(19,16),-3.42687 # DEPENDENCYPART_ARC
(19,17),-3.20273 # DEPENDENCYPART_ARC
(19,18),-1.7104 # DEPENDENCYPART_ARC
