# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=5,5,5,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,17,25,25,17,2,
(2,14),-0.0837943 # DEPENDENCYPART_ARC
(2,15),-0.988739 # DEPENDENCYPART_ARC
(2,16),-1.32826 # DEPENDENCYPART_ARC
(2,17),0.364444 # DEPENDENCYPART_ARC
(2,18),-0.80618 # DEPENDENCYPART_ARC
(2,19),-1.49188 # DEPENDENCYPART_ARC
(2,20),-0.517125 # DEPENDENCYPART_ARC
(2,21),-1.71919 # DEPENDENCYPART_ARC
(2,22),-0.580534 # DEPENDENCYPART_ARC
(2,23),-1.01368 # DEPENDENCYPART_ARC
(2,24),-1.98008 # DEPENDENCYPART_ARC
(2,25),-2.00447 # DEPENDENCYPART_ARC
(2,26),1.55111 # DEPENDENCYPART_ARC
(3,1),-1.12334 # DEPENDENCYPART_ARC
(3,2),-0.556889 # DEPENDENCYPART_ARC
(3,4),-0.936327 # DEPENDENCYPART_ARC
(3,5),-0.832169 # DEPENDENCYPART_ARC
(3,6),-0.806557 # DEPENDENCYPART_ARC
(3,7),-1.24754 # DEPENDENCYPART_ARC
(3,8),-1.91025 # DEPENDENCYPART_ARC
(3,9),-2.12722 # DEPENDENCYPART_ARC
(3,10),-1.51073 # DEPENDENCYPART_ARC
(3,11),-2.24367 # DEPENDENCYPART_ARC
(3,12),-1.60959 # DEPENDENCYPART_ARC
(3,13),-2.33219 # DEPENDENCYPART_ARC
(3,14),-1.17436 # DEPENDENCYPART_ARC
(3,15),-1.52467 # DEPENDENCYPART_ARC
(3,16),-2.6777 # DEPENDENCYPART_ARC
(3,17),-1.56989 # DEPENDENCYPART_ARC
(3,18),-1.57206 # DEPENDENCYPART_ARC
(3,19),-2.74104 # DEPENDENCYPART_ARC
(3,20),-1.34031 # DEPENDENCYPART_ARC
(3,21),-2.85219 # DEPENDENCYPART_ARC
(3,22),-1.42755 # DEPENDENCYPART_ARC
(3,23),-1.68382 # DEPENDENCYPART_ARC
(3,24),-2.92617 # DEPENDENCYPART_ARC
(3,25),-2.99726 # DEPENDENCYPART_ARC
(3,26),-1.31893 # DEPENDENCYPART_ARC
(4,1),0.735635 # DEPENDENCYPART_ARC
(4,2),0.692404 # DEPENDENCYPART_ARC
(4,3),0.682522 # DEPENDENCYPART_ARC
(4,5),0.00521708 # DEPENDENCYPART_ARC
(4,6),-0.557066 # DEPENDENCYPART_ARC
(4,7),-1.03157 # DEPENDENCYPART_ARC
(4,8),-0.537864 # DEPENDENCYPART_ARC
(4,9),-0.383387 # DEPENDENCYPART_ARC
(4,10),-0.627797 # DEPENDENCYPART_ARC
(4,11),-0.395379 # DEPENDENCYPART_ARC
(4,12),-0.904953 # DEPENDENCYPART_ARC
(4,13),-0.270013 # DEPENDENCYPART_ARC
(4,14),-0.337184 # DEPENDENCYPART_ARC
(4,15),-1.2727 # DEPENDENCYPART_ARC
(4,16),-0.979567 # DEPENDENCYPART_ARC
(4,17),-0.0304706 # DEPENDENCYPART_ARC
(4,18),-1.18803 # DEPENDENCYPART_ARC
(4,19),-0.737026 # DEPENDENCYPART_ARC
(4,20),-0.735783 # DEPENDENCYPART_ARC
(4,21),-1.39036 # DEPENDENCYPART_ARC
(4,22),-0.486639 # DEPENDENCYPART_ARC
(4,23),-0.582779 # DEPENDENCYPART_ARC
(4,24),-1.25545 # DEPENDENCYPART_ARC
(4,25),-1.09089 # DEPENDENCYPART_ARC
(4,26),0.20241 # DEPENDENCYPART_ARC
(5,1),1.21095 # DEPENDENCYPART_ARC
(5,2),0.95876 # DEPENDENCYPART_ARC
(5,3),0.90635 # DEPENDENCYPART_ARC
(5,4),3.88408 # DEPENDENCYPART_ARC
(5,6),0.0619412 # DEPENDENCYPART_ARC
(5,7),-0.395964 # DEPENDENCYPART_ARC
(5,8),-0.414831 # DEPENDENCYPART_ARC
(5,9),-0.438692 # DEPENDENCYPART_ARC
(5,10),-0.51456 # DEPENDENCYPART_ARC
(5,11),-0.44292 # DEPENDENCYPART_ARC
(5,12),-0.719293 # DEPENDENCYPART_ARC
(5,13),-0.463642 # DEPENDENCYPART_ARC
(5,14),-0.324341 # DEPENDENCYPART_ARC
(5,15),-0.539693 # DEPENDENCYPART_ARC
(5,16),-0.709611 # DEPENDENCYPART_ARC
(5,17),-0.457744 # DEPENDENCYPART_ARC
(5,18),-0.745987 # DEPENDENCYPART_ARC
(5,19),-0.758661 # DEPENDENCYPART_ARC
(5,20),-0.587363 # DEPENDENCYPART_ARC
(5,21),-0.78199 # DEPENDENCYPART_ARC
(5,22),-0.81943 # DEPENDENCYPART_ARC
(5,23),-0.722518 # DEPENDENCYPART_ARC
(5,24),-0.850314 # DEPENDENCYPART_ARC
(5,25),-1.08814 # DEPENDENCYPART_ARC
(5,26),0.184547 # DEPENDENCYPART_ARC
(6,1),-1.63346 # DEPENDENCYPART_ARC
(6,2),-1.29595 # DEPENDENCYPART_ARC
(6,3),-1.0202 # DEPENDENCYPART_ARC
(6,4),-0.92049 # DEPENDENCYPART_ARC
(6,5),-0.444158 # DEPENDENCYPART_ARC
(6,7),-0.414002 # DEPENDENCYPART_ARC
(6,8),-0.853231 # DEPENDENCYPART_ARC
(6,9),-1.26144 # DEPENDENCYPART_ARC
(6,10),-0.795993 # DEPENDENCYPART_ARC
(6,11),-1.46496 # DEPENDENCYPART_ARC
(6,12),-1.0238 # DEPENDENCYPART_ARC
(6,13),-1.77985 # DEPENDENCYPART_ARC
(6,14),-0.662807 # DEPENDENCYPART_ARC
(6,15),-0.945855 # DEPENDENCYPART_ARC
(6,16),-1.9325 # DEPENDENCYPART_ARC
(6,17),-1.00891 # DEPENDENCYPART_ARC
(6,18),-1.08101 # DEPENDENCYPART_ARC
(6,19),-2.25446 # DEPENDENCYPART_ARC
(6,20),-0.913175 # DEPENDENCYPART_ARC
(6,21),-2.26556 # DEPENDENCYPART_ARC
(6,22),-0.932115 # DEPENDENCYPART_ARC
(6,23),-1.05328 # DEPENDENCYPART_ARC
(6,24),-2.39497 # DEPENDENCYPART_ARC
(6,25),-2.44443 # DEPENDENCYPART_ARC
(6,26),-0.853706 # DEPENDENCYPART_ARC
(7,1),-1.58579 # DEPENDENCYPART_ARC
(7,2),-0.751299 # DEPENDENCYPART_ARC
(7,3),-0.568073 # DEPENDENCYPART_ARC
(7,4),-1.07751 # DEPENDENCYPART_ARC
(7,5),-0.478327 # DEPENDENCYPART_ARC
(7,6),0.062941 # DEPENDENCYPART_ARC
(7,8),0.115955 # DEPENDENCYPART_ARC
(7,9),-0.441417 # DEPENDENCYPART_ARC
(7,10),-0.239986 # DEPENDENCYPART_ARC
(7,11),-0.578392 # DEPENDENCYPART_ARC
(7,12),-0.884293 # DEPENDENCYPART_ARC
(7,13),-1.26461 # DEPENDENCYPART_ARC
(7,14),-0.0825248 # DEPENDENCYPART_ARC
(7,15),-0.601368 # DEPENDENCYPART_ARC
(7,16),-1.1361 # DEPENDENCYPART_ARC
(7,17),-0.537771 # DEPENDENCYPART_ARC
(7,18),-0.408631 # DEPENDENCYPART_ARC
(7,19),-1.64497 # DEPENDENCYPART_ARC
(7,20),-0.13419 # DEPENDENCYPART_ARC
(7,21),-1.35024 # DEPENDENCYPART_ARC
(7,22),-0.384037 # DEPENDENCYPART_ARC
(7,23),-0.95214 # DEPENDENCYPART_ARC
(7,24),-1.33965 # DEPENDENCYPART_ARC
(7,25),-1.75847 # DEPENDENCYPART_ARC
(7,26),-0.58493 # DEPENDENCYPART_ARC
(8,1),-2.06891 # DEPENDENCYPART_ARC
(8,2),-1.3336 # DEPENDENCYPART_ARC
(8,3),-0.808498 # DEPENDENCYPART_ARC
(8,4),-2.13352 # DEPENDENCYPART_ARC
(8,5),-0.648972 # DEPENDENCYPART_ARC
(8,6),-0.634314 # DEPENDENCYPART_ARC
(8,7),2.9012 # DEPENDENCYPART_ARC
(8,9),-0.868272 # DEPENDENCYPART_ARC
(8,10),-0.822389 # DEPENDENCYPART_ARC
(8,11),-0.336889 # DEPENDENCYPART_ARC
(8,12),-1.53215 # DEPENDENCYPART_ARC
(8,13),-1.18211 # DEPENDENCYPART_ARC
(8,14),-0.289367 # DEPENDENCYPART_ARC
(8,15),-1.61299 # DEPENDENCYPART_ARC
(8,16),-1.73085 # DEPENDENCYPART_ARC
(8,17),-0.951175 # DEPENDENCYPART_ARC
(8,18),-1.70562 # DEPENDENCYPART_ARC
(8,19),-1.59561 # DEPENDENCYPART_ARC
(8,20),-0.971738 # DEPENDENCYPART_ARC
(8,21),-1.96128 # DEPENDENCYPART_ARC
(8,22),-0.841386 # DEPENDENCYPART_ARC
(8,23),-1.24724 # DEPENDENCYPART_ARC
(8,24),-1.73202 # DEPENDENCYPART_ARC
(8,25),-1.97862 # DEPENDENCYPART_ARC
(8,26),-0.190058 # DEPENDENCYPART_ARC
(9,1),-1.23571 # DEPENDENCYPART_ARC
(9,2),-0.574923 # DEPENDENCYPART_ARC
(9,3),-0.151248 # DEPENDENCYPART_ARC
(9,4),-0.872862 # DEPENDENCYPART_ARC
(9,5),-0.0573666 # DEPENDENCYPART_ARC
(9,6),0.197914 # DEPENDENCYPART_ARC
(9,7),1.4419 # DEPENDENCYPART_ARC
(9,8),4.15861 # DEPENDENCYPART_ARC
(9,10),-0.627701 # DEPENDENCYPART_ARC
(9,11),-0.473557 # DEPENDENCYPART_ARC
(9,12),-2.0645 # DEPENDENCYPART_ARC
(9,13),-1.06962 # DEPENDENCYPART_ARC
(9,14),-0.195531 # DEPENDENCYPART_ARC
(9,15),-1.16421 # DEPENDENCYPART_ARC
(9,16),-1.05926 # DEPENDENCYPART_ARC
(9,17),-0.778171 # DEPENDENCYPART_ARC
(9,18),-1.30657 # DEPENDENCYPART_ARC
(9,19),-1.74208 # DEPENDENCYPART_ARC
(9,20),-0.585585 # DEPENDENCYPART_ARC
(9,21),-1.58253 # DEPENDENCYPART_ARC
(9,22),-0.529605 # DEPENDENCYPART_ARC
(9,23),-1.21416 # DEPENDENCYPART_ARC
(9,24),-2.01438 # DEPENDENCYPART_ARC
(9,25),-2.29991 # DEPENDENCYPART_ARC
(9,26),0.454501 # DEPENDENCYPART_ARC
(10,1),-0.679127 # DEPENDENCYPART_ARC
(10,2),0.108362 # DEPENDENCYPART_ARC
(10,3),-0.0690272 # DEPENDENCYPART_ARC
(10,4),-1.01706 # DEPENDENCYPART_ARC
(10,5),0.445401 # DEPENDENCYPART_ARC
(10,6),0.140527 # DEPENDENCYPART_ARC
(10,7),0.451276 # DEPENDENCYPART_ARC
(10,8),1.10172 # DEPENDENCYPART_ARC
(10,9),2.84823 # DEPENDENCYPART_ARC
(10,11),-0.213527 # DEPENDENCYPART_ARC
(10,12),-1.13326 # DEPENDENCYPART_ARC
(10,13),-0.699568 # DEPENDENCYPART_ARC
(10,14),-0.282245 # DEPENDENCYPART_ARC
(10,15),-1.20478 # DEPENDENCYPART_ARC
(10,16),-1.39366 # DEPENDENCYPART_ARC
(10,17),-0.556752 # DEPENDENCYPART_ARC
(10,18),-1.29549 # DEPENDENCYPART_ARC
(10,19),-1.60082 # DEPENDENCYPART_ARC
(10,20),-0.365651 # DEPENDENCYPART_ARC
(10,21),-1.75457 # DEPENDENCYPART_ARC
(10,22),-0.618984 # DEPENDENCYPART_ARC
(10,23),-0.975235 # DEPENDENCYPART_ARC
(10,24),-2.00284 # DEPENDENCYPART_ARC
(10,25),-2.21714 # DEPENDENCYPART_ARC
(10,26),-0.0938177 # DEPENDENCYPART_ARC
(11,1),-0.347346 # DEPENDENCYPART_ARC
(11,2),-0.279613 # DEPENDENCYPART_ARC
(11,3),0.0584841 # DEPENDENCYPART_ARC
(11,4),-0.845515 # DEPENDENCYPART_ARC
(11,5),0.200722 # DEPENDENCYPART_ARC
(11,6),0.104658 # DEPENDENCYPART_ARC
(11,7),2.04818 # DEPENDENCYPART_ARC
(11,8),1.95631 # DEPENDENCYPART_ARC
(11,9),-1.23275 # DEPENDENCYPART_ARC
(11,10),3.8526 # DEPENDENCYPART_ARC
(11,12),-0.685292 # DEPENDENCYPART_ARC
(11,13),-0.215044 # DEPENDENCYPART_ARC
(11,14),0.368049 # DEPENDENCYPART_ARC
(11,15),-0.684261 # DEPENDENCYPART_ARC
(11,16),-0.691854 # DEPENDENCYPART_ARC
(11,17),-0.0598315 # DEPENDENCYPART_ARC
(11,18),-0.838332 # DEPENDENCYPART_ARC
(11,19),-0.801453 # DEPENDENCYPART_ARC
(11,20),-0.0508089 # DEPENDENCYPART_ARC
(11,21),-0.734636 # DEPENDENCYPART_ARC
(11,22),-0.101676 # DEPENDENCYPART_ARC
(11,23),-0.798062 # DEPENDENCYPART_ARC
(11,24),-1.17133 # DEPENDENCYPART_ARC
(11,25),-1.38099 # DEPENDENCYPART_ARC
(11,26),0.834563 # DEPENDENCYPART_ARC
(12,1),-0.67857 # DEPENDENCYPART_ARC
(12,2),-0.267664 # DEPENDENCYPART_ARC
(12,3),-0.44361 # DEPENDENCYPART_ARC
(12,4),-0.628008 # DEPENDENCYPART_ARC
(12,5),-0.465711 # DEPENDENCYPART_ARC
(12,6),-0.151275 # DEPENDENCYPART_ARC
(12,7),-0.58731 # DEPENDENCYPART_ARC
(12,8),-0.938925 # DEPENDENCYPART_ARC
(12,9),-1.47532 # DEPENDENCYPART_ARC
(12,10),-0.748194 # DEPENDENCYPART_ARC
(12,11),-0.296934 # DEPENDENCYPART_ARC
(12,13),0.0424001 # DEPENDENCYPART_ARC
(12,14),-0.736745 # DEPENDENCYPART_ARC
(12,15),-1.23894 # DEPENDENCYPART_ARC
(12,16),-0.627143 # DEPENDENCYPART_ARC
(12,17),-0.342701 # DEPENDENCYPART_ARC
(12,18),-1.16631 # DEPENDENCYPART_ARC
(12,19),-0.661273 # DEPENDENCYPART_ARC
(12,20),-0.709198 # DEPENDENCYPART_ARC
(12,21),-1.15758 # DEPENDENCYPART_ARC
(12,22),-0.774788 # DEPENDENCYPART_ARC
(12,23),-0.685603 # DEPENDENCYPART_ARC
(12,24),-1.2161 # DEPENDENCYPART_ARC
(12,25),-1.14503 # DEPENDENCYPART_ARC
(12,26),0.163093 # DEPENDENCYPART_ARC
(13,1),-0.758117 # DEPENDENCYPART_ARC
(13,2),-0.262692 # DEPENDENCYPART_ARC
(13,3),0.284988 # DEPENDENCYPART_ARC
(13,4),-0.480585 # DEPENDENCYPART_ARC
(13,5),0.378314 # DEPENDENCYPART_ARC
(13,6),0.254555 # DEPENDENCYPART_ARC
(13,7),0.435422 # DEPENDENCYPART_ARC
(13,8),2.13066 # DEPENDENCYPART_ARC
(13,9),-1.92656 # DEPENDENCYPART_ARC
(13,10),1.36487 # DEPENDENCYPART_ARC
(13,11),3.31106 # DEPENDENCYPART_ARC
(13,12),3.93073 # DEPENDENCYPART_ARC
(13,14),0.538428 # DEPENDENCYPART_ARC
(13,15),-0.607415 # DEPENDENCYPART_ARC
(13,16),0.323363 # DEPENDENCYPART_ARC
(13,17),-0.143052 # DEPENDENCYPART_ARC
(13,18),-0.772875 # DEPENDENCYPART_ARC
(13,19),-0.802475 # DEPENDENCYPART_ARC
(13,20),0.103384 # DEPENDENCYPART_ARC
(13,21),-0.529992 # DEPENDENCYPART_ARC
(13,22),0.144308 # DEPENDENCYPART_ARC
(13,23),-0.448984 # DEPENDENCYPART_ARC
(13,24),-1.08321 # DEPENDENCYPART_ARC
(13,25),-1.15231 # DEPENDENCYPART_ARC
(13,26),0.841531 # DEPENDENCYPART_ARC
(14,1),-2.30274 # DEPENDENCYPART_ARC
(14,2),-2.15855 # DEPENDENCYPART_ARC
(14,3),-1.80609 # DEPENDENCYPART_ARC
(14,4),-2.21298 # DEPENDENCYPART_ARC
(14,5),-1.94453 # DEPENDENCYPART_ARC
(14,6),-1.66946 # DEPENDENCYPART_ARC
(14,7),-1.79988 # DEPENDENCYPART_ARC
(14,8),-2.79265 # DEPENDENCYPART_ARC
(14,9),-2.67952 # DEPENDENCYPART_ARC
(14,10),-2.00081 # DEPENDENCYPART_ARC
(14,11),-2.36575 # DEPENDENCYPART_ARC
(14,12),-1.2604 # DEPENDENCYPART_ARC
(14,13),-1.57841 # DEPENDENCYPART_ARC
(14,15),-0.766491 # DEPENDENCYPART_ARC
(14,16),-1.26203 # DEPENDENCYPART_ARC
(14,17),-1.01305 # DEPENDENCYPART_ARC
(14,18),-1.15638 # DEPENDENCYPART_ARC
(14,19),-1.8921 # DEPENDENCYPART_ARC
(14,20),-0.905341 # DEPENDENCYPART_ARC
(14,21),-2.1592 # DEPENDENCYPART_ARC
(14,22),-1.01753 # DEPENDENCYPART_ARC
(14,23),-1.29632 # DEPENDENCYPART_ARC
(14,24),-2.24445 # DEPENDENCYPART_ARC
(14,25),-2.5059 # DEPENDENCYPART_ARC
(14,26),-0.99804 # DEPENDENCYPART_ARC
(15,1),-2.20939 # DEPENDENCYPART_ARC
(15,2),-1.58659 # DEPENDENCYPART_ARC
(15,3),-1.23433 # DEPENDENCYPART_ARC
(15,4),-2.11087 # DEPENDENCYPART_ARC
(15,5),-1.38286 # DEPENDENCYPART_ARC
(15,6),-1.20573 # DEPENDENCYPART_ARC
(15,7),-1.20598 # DEPENDENCYPART_ARC
(15,8),-2.30932 # DEPENDENCYPART_ARC
(15,9),-2.66817 # DEPENDENCYPART_ARC
(15,10),-1.33341 # DEPENDENCYPART_ARC
(15,11),-2.15973 # DEPENDENCYPART_ARC
(15,12),-1.49652 # DEPENDENCYPART_ARC
(15,13),-2.02132 # DEPENDENCYPART_ARC
(15,14),-0.353237 # DEPENDENCYPART_ARC
(15,16),-0.179128 # DEPENDENCYPART_ARC
(15,17),-0.525558 # DEPENDENCYPART_ARC
(15,18),-0.523809 # DEPENDENCYPART_ARC
(15,19),-1.10362 # DEPENDENCYPART_ARC
(15,20),-0.213832 # DEPENDENCYPART_ARC
(15,21),-1.09926 # DEPENDENCYPART_ARC
(15,22),-0.251531 # DEPENDENCYPART_ARC
(15,23),-0.597448 # DEPENDENCYPART_ARC
(15,24),-1.29203 # DEPENDENCYPART_ARC
(15,25),-1.63538 # DEPENDENCYPART_ARC
(15,26),-1.06495 # DEPENDENCYPART_ARC
(16,1),-3.02586 # DEPENDENCYPART_ARC
(16,2),-1.63423 # DEPENDENCYPART_ARC
(16,3),-1.4044 # DEPENDENCYPART_ARC
(16,4),-3.3145 # DEPENDENCYPART_ARC
(16,5),-1.04745 # DEPENDENCYPART_ARC
(16,6),-1.18969 # DEPENDENCYPART_ARC
(16,7),-0.771956 # DEPENDENCYPART_ARC
(16,8),-1.50978 # DEPENDENCYPART_ARC
(16,9),-3.76336 # DEPENDENCYPART_ARC
(16,10),-1.85356 # DEPENDENCYPART_ARC
(16,11),-1.554 # DEPENDENCYPART_ARC
(16,12),-0.417322 # DEPENDENCYPART_ARC
(16,13),-1.57122 # DEPENDENCYPART_ARC
(16,14),-0.493273 # DEPENDENCYPART_ARC
(16,15),2.46381 # DEPENDENCYPART_ARC
(16,17),-0.932561 # DEPENDENCYPART_ARC
(16,18),-1.34532 # DEPENDENCYPART_ARC
(16,19),-0.990367 # DEPENDENCYPART_ARC
(16,20),-0.679537 # DEPENDENCYPART_ARC
(16,21),-1.21619 # DEPENDENCYPART_ARC
(16,22),-0.607847 # DEPENDENCYPART_ARC
(16,23),-1.01507 # DEPENDENCYPART_ARC
(16,24),-1.52294 # DEPENDENCYPART_ARC
(16,25),-1.72345 # DEPENDENCYPART_ARC
(16,26),-0.411687 # DEPENDENCYPART_ARC
(17,1),0.338002 # DEPENDENCYPART_ARC
(17,2),-0.31745 # DEPENDENCYPART_ARC
(17,3),0.761882 # DEPENDENCYPART_ARC
(17,4),0.109874 # DEPENDENCYPART_ARC
(17,5),1.72025 # DEPENDENCYPART_ARC
(17,6),1.1181 # DEPENDENCYPART_ARC
(17,7),-0.379338 # DEPENDENCYPART_ARC
(17,8),0.989656 # DEPENDENCYPART_ARC
(17,9),0.545927 # DEPENDENCYPART_ARC
(17,10),0.298524 # DEPENDENCYPART_ARC
(17,11),1.51362 # DEPENDENCYPART_ARC
(17,12),0.248089 # DEPENDENCYPART_ARC
(17,13),2.15375 # DEPENDENCYPART_ARC
(17,14),1.94124 # DEPENDENCYPART_ARC
(17,15),0.441609 # DEPENDENCYPART_ARC
(17,16),4.36318 # DEPENDENCYPART_ARC
(17,18),0.284095 # DEPENDENCYPART_ARC
(17,19),3.28438 # DEPENDENCYPART_ARC
(17,20),0.702674 # DEPENDENCYPART_ARC
(17,21),2.27417 # DEPENDENCYPART_ARC
(17,22),1.29399 # DEPENDENCYPART_ARC
(17,23),-0.320039 # DEPENDENCYPART_ARC
(17,24),-0.544016 # DEPENDENCYPART_ARC
(17,25),1.01068 # DEPENDENCYPART_ARC
(17,26),1.49636 # DEPENDENCYPART_ARC
(18,1),-2.74861 # DEPENDENCYPART_ARC
(18,2),-2.19582 # DEPENDENCYPART_ARC
(18,3),-1.9337 # DEPENDENCYPART_ARC
(18,4),-2.58586 # DEPENDENCYPART_ARC
(18,5),-1.98746 # DEPENDENCYPART_ARC
(18,6),-1.87195 # DEPENDENCYPART_ARC
(18,7),-1.77326 # DEPENDENCYPART_ARC
(18,8),-2.97566 # DEPENDENCYPART_ARC
(18,9),-3.34396 # DEPENDENCYPART_ARC
(18,10),-2.0087 # DEPENDENCYPART_ARC
(18,11),-2.93029 # DEPENDENCYPART_ARC
(18,12),-2.37076 # DEPENDENCYPART_ARC
(18,13),-2.99832 # DEPENDENCYPART_ARC
(18,14),-1.42505 # DEPENDENCYPART_ARC
(18,15),-1.26418 # DEPENDENCYPART_ARC
(18,16),-1.90692 # DEPENDENCYPART_ARC
(18,17),-0.577392 # DEPENDENCYPART_ARC
(18,19),-0.304719 # DEPENDENCYPART_ARC
(18,20),0.0355986 # DEPENDENCYPART_ARC
(18,21),-0.672347 # DEPENDENCYPART_ARC
(18,22),-0.228748 # DEPENDENCYPART_ARC
(18,23),-0.627589 # DEPENDENCYPART_ARC
(18,24),-1.10854 # DEPENDENCYPART_ARC
(18,25),-1.48375 # DEPENDENCYPART_ARC
(18,26),-0.837972 # DEPENDENCYPART_ARC
(19,1),-3.08234 # DEPENDENCYPART_ARC
(19,2),-1.90305 # DEPENDENCYPART_ARC
(19,3),-2.28483 # DEPENDENCYPART_ARC
(19,4),-3.06107 # DEPENDENCYPART_ARC
(19,5),-1.02342 # DEPENDENCYPART_ARC
(19,6),-2.33736 # DEPENDENCYPART_ARC
(19,7),-2.31632 # DEPENDENCYPART_ARC
(19,8),-1.58684 # DEPENDENCYPART_ARC
(19,9),-6.43022 # DEPENDENCYPART_ARC
(19,10),-2.6964 # DEPENDENCYPART_ARC
(19,11),-1.58515 # DEPENDENCYPART_ARC
(19,12),-1.06582 # DEPENDENCYPART_ARC
(19,13),-4.27841 # DEPENDENCYPART_ARC
(19,14),-1.75601 # DEPENDENCYPART_ARC
(19,15),-0.965117 # DEPENDENCYPART_ARC
(19,16),-1.50517 # DEPENDENCYPART_ARC
(19,17),-0.991816 # DEPENDENCYPART_ARC
(19,18),2.29822 # DEPENDENCYPART_ARC
(19,20),-0.148678 # DEPENDENCYPART_ARC
(19,21),-0.266887 # DEPENDENCYPART_ARC
(19,22),-0.0816151 # DEPENDENCYPART_ARC
(19,23),-0.888921 # DEPENDENCYPART_ARC
(19,24),-0.712149 # DEPENDENCYPART_ARC
(19,25),-1.02561 # DEPENDENCYPART_ARC
(19,26),0.090018 # DEPENDENCYPART_ARC
(20,1),-2.46948 # DEPENDENCYPART_ARC
(20,2),-2.34731 # DEPENDENCYPART_ARC
(20,3),-1.98467 # DEPENDENCYPART_ARC
