# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,14,14,19,19,21,21,16,21,6,
(9,4),0.563048 # DEPENDENCYPART_ARC
(9,5),0.71084 # DEPENDENCYPART_ARC
(9,6),0.348801 # DEPENDENCYPART_ARC
(9,7),0.960886 # DEPENDENCYPART_ARC
(9,8),1.31331 # DEPENDENCYPART_ARC
(9,10),-0.163278 # DEPENDENCYPART_ARC
(9,11),-0.755437 # DEPENDENCYPART_ARC
(9,13),-1.35205 # DEPENDENCYPART_ARC
(9,14),0.701267 # DEPENDENCYPART_ARC
(9,15),0.0647994 # DEPENDENCYPART_ARC
(9,16),0.286761 # DEPENDENCYPART_ARC
(9,18),-0.716419 # DEPENDENCYPART_ARC
(9,19),-2.24751 # DEPENDENCYPART_ARC
(9,20),-0.262138 # DEPENDENCYPART_ARC
(9,21),0.339496 # DEPENDENCYPART_ARC
(9,22),0.0142024 # DEPENDENCYPART_ARC
(9,23),2.03086 # DEPENDENCYPART_ARC
(10,1),-1.63552 # DEPENDENCYPART_ARC
(10,2),-2.924 # DEPENDENCYPART_ARC
(10,3),-2.40391 # DEPENDENCYPART_ARC
(10,4),-4.84818 # DEPENDENCYPART_ARC
(10,5),-1.52288 # DEPENDENCYPART_ARC
(10,6),-1.52575 # DEPENDENCYPART_ARC
(10,8),-0.730701 # DEPENDENCYPART_ARC
(10,9),-0.869062 # DEPENDENCYPART_ARC
(10,11),-0.867793 # DEPENDENCYPART_ARC
(10,12),-0.89811 # DEPENDENCYPART_ARC
(10,13),-0.397482 # DEPENDENCYPART_ARC
(10,14),-1.26044 # DEPENDENCYPART_ARC
(10,15),-0.537985 # DEPENDENCYPART_ARC
(10,16),-1.15818 # DEPENDENCYPART_ARC
(10,18),-1.47072 # DEPENDENCYPART_ARC
(10,19),-2.02973 # DEPENDENCYPART_ARC
(10,20),-1.24069 # DEPENDENCYPART_ARC
(10,21),-1.20854 # DEPENDENCYPART_ARC
(10,23),0.181869 # DEPENDENCYPART_ARC
(11,1),0.0588568 # DEPENDENCYPART_ARC
(11,2),-1.57421 # DEPENDENCYPART_ARC
(11,3),0.30459 # DEPENDENCYPART_ARC
(11,4),-3.66871 # DEPENDENCYPART_ARC
(11,5),-0.309767 # DEPENDENCYPART_ARC
(11,6),-1.1324 # DEPENDENCYPART_ARC
(11,7),-0.0464578 # DEPENDENCYPART_ARC
(11,8),0.619706 # DEPENDENCYPART_ARC
(11,9),0.0912985 # DEPENDENCYPART_ARC
(11,10),3.02286 # DEPENDENCYPART_ARC
(11,12),-0.0918516 # DEPENDENCYPART_ARC
(11,13),-0.205581 # DEPENDENCYPART_ARC
(11,14),-0.184411 # DEPENDENCYPART_ARC
(11,15),0.0788368 # DEPENDENCYPART_ARC
(11,16),-0.55836 # DEPENDENCYPART_ARC
(11,17),-1.48215 # DEPENDENCYPART_ARC
(11,18),-1.31379 # DEPENDENCYPART_ARC
(11,19),-1.50256 # DEPENDENCYPART_ARC
(11,20),-0.630346 # DEPENDENCYPART_ARC
(11,21),-0.267721 # DEPENDENCYPART_ARC
(11,23),0.836417 # DEPENDENCYPART_ARC
(12,8),-0.777594 # DEPENDENCYPART_ARC
(12,15),-0.211247 # DEPENDENCYPART_ARC
(12,18),-0.718737 # DEPENDENCYPART_ARC
(13,1),-1.4263 # DEPENDENCYPART_ARC
(13,2),-2.31842 # DEPENDENCYPART_ARC
(13,3),-1.14149 # DEPENDENCYPART_ARC
(13,4),-5.01481 # DEPENDENCYPART_ARC
(13,5),-0.867209 # DEPENDENCYPART_ARC
(13,6),-1.39491 # DEPENDENCYPART_ARC
(13,7),-0.786519 # DEPENDENCYPART_ARC
(13,8),-0.406987 # DEPENDENCYPART_ARC
(13,9),-0.914026 # DEPENDENCYPART_ARC
(13,10),0.282005 # DEPENDENCYPART_ARC
(13,11),-1.61877 # DEPENDENCYPART_ARC
(13,12),3.23135 # DEPENDENCYPART_ARC
(13,14),-1.11175 # DEPENDENCYPART_ARC
(13,15),-0.628173 # DEPENDENCYPART_ARC
(13,16),-1.17187 # DEPENDENCYPART_ARC
(13,17),-1.97898 # DEPENDENCYPART_ARC
(13,18),-1.57983 # DEPENDENCYPART_ARC
(13,19),-2.32055 # DEPENDENCYPART_ARC
(13,20),-1.30774 # DEPENDENCYPART_ARC
(13,21),-1.1768 # DEPENDENCYPART_ARC
(13,23),-0.031798 # DEPENDENCYPART_ARC
(14,1),-0.854206 # DEPENDENCYPART_ARC
(14,2),0.543828 # DEPENDENCYPART_ARC
(14,3),-1.04727 # DEPENDENCYPART_ARC
(14,4),0.995256 # DEPENDENCYPART_ARC
(14,5),0.43493 # DEPENDENCYPART_ARC
(14,6),-0.975381 # DEPENDENCYPART_ARC
(14,7),0.430391 # DEPENDENCYPART_ARC
(14,8),0.740463 # DEPENDENCYPART_ARC
(14,9),-0.126967 # DEPENDENCYPART_ARC
(14,10),1.84927 # DEPENDENCYPART_ARC
(14,11),2.68354 # DEPENDENCYPART_ARC
(14,12),0.623337 # DEPENDENCYPART_ARC
(14,13),3.36086 # DEPENDENCYPART_ARC
(14,15),1.47141 # DEPENDENCYPART_ARC
(14,16),2.4205 # DEPENDENCYPART_ARC
(14,17),-0.189115 # DEPENDENCYPART_ARC
(14,18),-0.194966 # DEPENDENCYPART_ARC
(14,19),-0.636163 # DEPENDENCYPART_ARC
(14,20),0.0865804 # DEPENDENCYPART_ARC
(14,21),0.639057 # DEPENDENCYPART_ARC
(14,22),0.876522 # DEPENDENCYPART_ARC
(14,23),1.94066 # DEPENDENCYPART_ARC
(16,1),-1.10304 # DEPENDENCYPART_ARC
(16,2),-0.646942 # DEPENDENCYPART_ARC
(16,3),-0.407801 # DEPENDENCYPART_ARC
(16,4),-0.35465 # DEPENDENCYPART_ARC
(16,5),0.338701 # DEPENDENCYPART_ARC
(16,6),-0.569968 # DEPENDENCYPART_ARC
(16,7),-0.100865 # DEPENDENCYPART_ARC
(16,8),0.281471 # DEPENDENCYPART_ARC
(16,9),0.450458 # DEPENDENCYPART_ARC
(16,10),-0.0147778 # DEPENDENCYPART_ARC
(16,11),-0.0918585 # DEPENDENCYPART_ARC
(16,13),0.205224 # DEPENDENCYPART_ARC
(16,14),0.0041241 # DEPENDENCYPART_ARC
(16,15),1.40824 # DEPENDENCYPART_ARC
(16,18),0.169825 # DEPENDENCYPART_ARC
(16,19),-0.971605 # DEPENDENCYPART_ARC
(16,20),-0.0373953 # DEPENDENCYPART_ARC
(16,21),0.989468 # DEPENDENCYPART_ARC
(16,22),0.404985 # DEPENDENCYPART_ARC
(16,23),2.3009 # DEPENDENCYPART_ARC
(17,3),-1.51075 # DEPENDENCYPART_ARC
(17,4),-1.74977 # DEPENDENCYPART_ARC
(17,5),-0.988488 # DEPENDENCYPART_ARC
(17,8),-0.725024 # DEPENDENCYPART_ARC
(17,11),-1.79248 # DEPENDENCYPART_ARC
(17,13),-1.53754 # DEPENDENCYPART_ARC
(17,15),-0.565352 # DEPENDENCYPART_ARC
(17,19),-0.351862 # DEPENDENCYPART_ARC
(17,20),-0.267753 # DEPENDENCYPART_ARC
(17,23),-0.119749 # DEPENDENCYPART_ARC
(18,1),-1.80319 # DEPENDENCYPART_ARC
(18,2),-2.7173 # DEPENDENCYPART_ARC
(18,3),-1.75417 # DEPENDENCYPART_ARC
(18,4),-1.96195 # DEPENDENCYPART_ARC
(18,5),-1.64153 # DEPENDENCYPART_ARC
(18,6),-1.97624 # DEPENDENCYPART_ARC
(18,7),-1.19901 # DEPENDENCYPART_ARC
(18,8),-0.766924 # DEPENDENCYPART_ARC
(18,9),-0.74017 # DEPENDENCYPART_ARC
(18,10),-2.21039 # DEPENDENCYPART_ARC
(18,11),-1.88915 # DEPENDENCYPART_ARC
(18,12),-0.785099 # DEPENDENCYPART_ARC
(18,13),-2.03523 # DEPENDENCYPART_ARC
(18,14),-0.542986 # DEPENDENCYPART_ARC
(18,15),-0.0894791 # DEPENDENCYPART_ARC
(18,16),-0.081254 # DEPENDENCYPART_ARC
(18,17),1.04004 # DEPENDENCYPART_ARC
(18,19),-1.05285 # DEPENDENCYPART_ARC
(18,20),-1.02475 # DEPENDENCYPART_ARC
(18,21),-0.767946 # DEPENDENCYPART_ARC
(18,23),-0.833493 # DEPENDENCYPART_ARC
(19,1),-1.13974 # DEPENDENCYPART_ARC
(19,2),-2.3619 # DEPENDENCYPART_ARC
(19,3),-0.989297 # DEPENDENCYPART_ARC
(19,4),-4.9342 # DEPENDENCYPART_ARC
(19,5),-0.823543 # DEPENDENCYPART_ARC
(19,6),-2.02696 # DEPENDENCYPART_ARC
(19,7),-1.00798 # DEPENDENCYPART_ARC
(19,8),-1.23214 # DEPENDENCYPART_ARC
(19,9),-1.03358 # DEPENDENCYPART_ARC
(19,10),-1.42866 # DEPENDENCYPART_ARC
(19,11),-4.1165 # DEPENDENCYPART_ARC
(19,12),0.770577 # DEPENDENCYPART_ARC
(19,13),-1.55598 # DEPENDENCYPART_ARC
(19,14),-1.64776 # DEPENDENCYPART_ARC
(19,15),-0.06215 # DEPENDENCYPART_ARC
(19,16),0.139018 # DEPENDENCYPART_ARC
(19,17),2.28169 # DEPENDENCYPART_ARC
(19,18),3.51086 # DEPENDENCYPART_ARC
(19,20),-0.694674 # DEPENDENCYPART_ARC
(19,21),-0.553656 # DEPENDENCYPART_ARC
(19,23),-0.0627448 # DEPENDENCYPART_ARC
(20,2),-1.14789 # DEPENDENCYPART_ARC
(20,4),-1.15389 # DEPENDENCYPART_ARC
(20,5),-1.09463 # DEPENDENCYPART_ARC
(20,6),-0.894459 # DEPENDENCYPART_ARC
(20,8),-0.674821 # DEPENDENCYPART_ARC
(20,9),-1.36988 # DEPENDENCYPART_ARC
(20,10),-0.747831 # DEPENDENCYPART_ARC
(20,11),-0.810176 # DEPENDENCYPART_ARC
(20,13),-0.753984 # DEPENDENCYPART_ARC
(20,14),-0.54756 # DEPENDENCYPART_ARC
(20,15),-0.305825 # DEPENDENCYPART_ARC
(20,16),-0.220956 # DEPENDENCYPART_ARC
(20,18),-0.247825 # DEPENDENCYPART_ARC
(20,19),0.465548 # DEPENDENCYPART_ARC
(20,21),-0.0467416 # DEPENDENCYPART_ARC
(20,23),-0.526577 # DEPENDENCYPART_ARC
(21,1),-1.04951 # DEPENDENCYPART_ARC
(21,2),-0.299061 # DEPENDENCYPART_ARC
(21,3),-1.58132 # DEPENDENCYPART_ARC
(21,4),-0.183353 # DEPENDENCYPART_ARC
(21,5),-0.709362 # DEPENDENCYPART_ARC
(21,6),-0.740075 # DEPENDENCYPART_ARC
(21,7),-0.671671 # DEPENDENCYPART_ARC
(21,8),0.692363 # DEPENDENCYPART_ARC
(21,9),0.319534 # DEPENDENCYPART_ARC
(21,10),-0.05483 # DEPENDENCYPART_ARC
(21,11),0.481246 # DEPENDENCYPART_ARC
(21,12),-0.660439 # DEPENDENCYPART_ARC
(21,13),0.536208 # DEPENDENCYPART_ARC
(21,14),-0.236213 # DEPENDENCYPART_ARC
(21,15),1.03089 # DEPENDENCYPART_ARC
(21,16),0.42459 # DEPENDENCYPART_ARC
(21,17),0.98678 # DEPENDENCYPART_ARC
(21,18),0.343447 # DEPENDENCYPART_ARC
(21,19),1.81859 # DEPENDENCYPART_ARC
(21,20),3.53345 # DEPENDENCYPART_ARC
(21,22),4.50061 # DEPENDENCYPART_ARC
(21,23),1.82774 # DEPENDENCYPART_ARC
(22,2),-2.13388 # DEPENDENCYPART_ARC
(22,3),-2.50354 # DEPENDENCYPART_ARC
(22,4),-2.08943 # DEPENDENCYPART_ARC
(22,5),-2.31393 # DEPENDENCYPART_ARC
(22,6),-2.07301 # DEPENDENCYPART_ARC
(22,7),-1.95923 # DEPENDENCYPART_ARC
(22,8),-0.657599 # DEPENDENCYPART_ARC
(22,9),-0.774756 # DEPENDENCYPART_ARC
(22,10),-1.66174 # DEPENDENCYPART_ARC
(22,11),-1.6625 # DEPENDENCYPART_ARC
(22,13),-1.09357 # DEPENDENCYPART_ARC
(22,14),-0.78842 # DEPENDENCYPART_ARC
(22,15),-0.614381 # DEPENDENCYPART_ARC
(22,16),-0.49433 # DEPENDENCYPART_ARC
(22,18),-1.06914 # DEPENDENCYPART_ARC
(22,19),-0.142911 # DEPENDENCYPART_ARC
(22,20),0.688747 # DEPENDENCYPART_ARC
(22,21),0.582444 # DEPENDENCYPART_ARC
(22,23),-0.0534325 # DEPENDENCYPART_ARC
