# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(2,12),1.11867 # DEPENDENCYPART_ARC
(2,13),-0.442684 # DEPENDENCYPART_ARC
(2,14),0.876828 # DEPENDENCYPART_ARC
(2,15),0.322004 # DEPENDENCYPART_ARC
(2,16),-0.787496 # DEPENDENCYPART_ARC
(2,17),-1.75895 # DEPENDENCYPART_ARC
(2,18),2.74029 # DEPENDENCYPART_ARC
(3,1),-0.684265 # DEPENDENCYPART_ARC
(3,2),-0.763709 # DEPENDENCYPART_ARC
(3,4),-0.118516 # DEPENDENCYPART_ARC
(3,5),-0.836328 # DEPENDENCYPART_ARC
(3,6),-1.14339 # DEPENDENCYPART_ARC
(3,7),-1.56018 # DEPENDENCYPART_ARC
(3,8),-1.00853 # DEPENDENCYPART_ARC
(3,9),-0.395299 # DEPENDENCYPART_ARC
(3,10),-1.37892 # DEPENDENCYPART_ARC
(3,11),-1.5209 # DEPENDENCYPART_ARC
(3,12),-0.398684 # DEPENDENCYPART_ARC
(3,13),-1.45779 # DEPENDENCYPART_ARC
(3,14),-0.757087 # DEPENDENCYPART_ARC
(3,15),-1.20241 # DEPENDENCYPART_ARC
(3,16),-1.55751 # DEPENDENCYPART_ARC
(3,17),-2.32249 # DEPENDENCYPART_ARC
(3,18),0.780269 # DEPENDENCYPART_ARC
(5,1),0.908593 # DEPENDENCYPART_ARC
(5,2),1.78159 # DEPENDENCYPART_ARC
(5,3),0.0801402 # DEPENDENCYPART_ARC
(5,4),2.13217 # DEPENDENCYPART_ARC
(5,6),-0.029455 # DEPENDENCYPART_ARC
(5,7),-0.187499 # DEPENDENCYPART_ARC
(5,8),0.387704 # DEPENDENCYPART_ARC
(5,9),1.91748 # DEPENDENCYPART_ARC
(5,10),-0.38503 # DEPENDENCYPART_ARC
(5,11),-0.498511 # DEPENDENCYPART_ARC
(5,12),0.844405 # DEPENDENCYPART_ARC
(5,13),-0.251578 # DEPENDENCYPART_ARC
(5,14),1.48656 # DEPENDENCYPART_ARC
(5,16),-0.545861 # DEPENDENCYPART_ARC
(5,17),-1.39778 # DEPENDENCYPART_ARC
(5,18),4.32051 # DEPENDENCYPART_ARC
(6,3),-1.19095 # DEPENDENCYPART_ARC
(6,4),-0.815533 # DEPENDENCYPART_ARC
(6,5),-0.44562 # DEPENDENCYPART_ARC
(6,7),-0.625776 # DEPENDENCYPART_ARC
(6,11),-1.34324 # DEPENDENCYPART_ARC
(6,12),-0.653609 # DEPENDENCYPART_ARC
(6,13),-1.16266 # DEPENDENCYPART_ARC
(6,17),-2.05809 # DEPENDENCYPART_ARC
(7,1),-1.75913 # DEPENDENCYPART_ARC
(7,2),-1.99492 # DEPENDENCYPART_ARC
(7,3),-1.21559 # DEPENDENCYPART_ARC
(7,4),-0.405107 # DEPENDENCYPART_ARC
(7,5),-0.641608 # DEPENDENCYPART_ARC
(7,6),3.20837 # DEPENDENCYPART_ARC
(7,8),-0.933086 # DEPENDENCYPART_ARC
(7,9),-1.12797 # DEPENDENCYPART_ARC
(7,10),-1.18455 # DEPENDENCYPART_ARC
(7,11),-1.21198 # DEPENDENCYPART_ARC
(7,12),-0.364872 # DEPENDENCYPART_ARC
(7,13),-1.73278 # DEPENDENCYPART_ARC
(7,14),-1.6623 # DEPENDENCYPART_ARC
(7,15),-1.11122 # DEPENDENCYPART_ARC
(7,16),-1.46256 # DEPENDENCYPART_ARC
(7,17),-2.36466 # DEPENDENCYPART_ARC
(7,18),0.150818 # DEPENDENCYPART_ARC
(8,1),-0.948338 # DEPENDENCYPART_ARC
(8,2),-1.01637 # DEPENDENCYPART_ARC
(8,3),-0.980186 # DEPENDENCYPART_ARC
(8,4),-0.461769 # DEPENDENCYPART_ARC
(8,5),-0.56288 # DEPENDENCYPART_ARC
(8,6),-0.542697 # DEPENDENCYPART_ARC
(8,7),0.166424 # DEPENDENCYPART_ARC
(8,9),-0.0711936 # DEPENDENCYPART_ARC
(8,10),-0.952185 # DEPENDENCYPART_ARC
(8,11),-0.619197 # DEPENDENCYPART_ARC
(8,12),-0.373598 # DEPENDENCYPART_ARC
(8,13),-1.24525 # DEPENDENCYPART_ARC
(8,14),-0.651596 # DEPENDENCYPART_ARC
(8,15),-0.967156 # DEPENDENCYPART_ARC
(8,16),-1.24852 # DEPENDENCYPART_ARC
(8,17),-1.37241 # DEPENDENCYPART_ARC
(8,18),-0.195898 # DEPENDENCYPART_ARC
(9,1),0.444543 # DEPENDENCYPART_ARC
(9,2),-0.136355 # DEPENDENCYPART_ARC
(9,3),-0.666633 # DEPENDENCYPART_ARC
(9,4),0.188142 # DEPENDENCYPART_ARC
(9,5),0.972416 # DEPENDENCYPART_ARC
(9,6),-0.515879 # DEPENDENCYPART_ARC
(9,7),1.78808 # DEPENDENCYPART_ARC
(9,8),3.28834 # DEPENDENCYPART_ARC
(9,10),0.0563742 # DEPENDENCYPART_ARC
(9,11),2.78147 # DEPENDENCYPART_ARC
(9,12),1.86973 # DEPENDENCYPART_ARC
(9,13),0.331636 # DEPENDENCYPART_ARC
(9,14),1.27579 # DEPENDENCYPART_ARC
(9,15),0.646359 # DEPENDENCYPART_ARC
(9,16),-0.710995 # DEPENDENCYPART_ARC
(9,17),-0.253697 # DEPENDENCYPART_ARC
(9,18),2.10969 # DEPENDENCYPART_ARC
(10,3),-2.21448 # DEPENDENCYPART_ARC
(10,4),-1.50949 # DEPENDENCYPART_ARC
(10,5),-1.97048 # DEPENDENCYPART_ARC
(10,7),-2.87017 # DEPENDENCYPART_ARC
(10,11),-0.367464 # DEPENDENCYPART_ARC
(10,12),-0.428522 # DEPENDENCYPART_ARC
(10,13),-0.898789 # DEPENDENCYPART_ARC
(10,17),-1.79587 # DEPENDENCYPART_ARC
(11,1),-1.78507 # DEPENDENCYPART_ARC
(11,2),-2.01497 # DEPENDENCYPART_ARC
(11,3),-2.80536 # DEPENDENCYPART_ARC
(11,4),-1.36156 # DEPENDENCYPART_ARC
(11,5),-1.53093 # DEPENDENCYPART_ARC
(11,6),-0.428237 # DEPENDENCYPART_ARC
(11,7),-3.42357 # DEPENDENCYPART_ARC
(11,8),-1.14645 # DEPENDENCYPART_ARC
(11,9),-0.398158 # DEPENDENCYPART_ARC
(11,10),3.17821 # DEPENDENCYPART_ARC
(11,12),0.0200382 # DEPENDENCYPART_ARC
(11,13),-1.07036 # DEPENDENCYPART_ARC
(11,14),-0.582901 # DEPENDENCYPART_ARC
(11,15),-0.852718 # DEPENDENCYPART_ARC
(11,16),-1.1849 # DEPENDENCYPART_ARC
(11,17),-2.25716 # DEPENDENCYPART_ARC
(11,18),0.122677 # DEPENDENCYPART_ARC
(13,2),-0.049652 # DEPENDENCYPART_ARC
(13,3),-0.755668 # DEPENDENCYPART_ARC
(13,4),0.125744 # DEPENDENCYPART_ARC
(13,5),0.379137 # DEPENDENCYPART_ARC
(13,7),-0.590995 # DEPENDENCYPART_ARC
(13,9),0.285351 # DEPENDENCYPART_ARC
(13,11),-0.584669 # DEPENDENCYPART_ARC
(13,12),0.156775 # DEPENDENCYPART_ARC
(13,14),-1.89872 # DEPENDENCYPART_ARC
(13,17),-1.09203 # DEPENDENCYPART_ARC
(13,18),-0.289968 # DEPENDENCYPART_ARC
(14,1),-0.490453 # DEPENDENCYPART_ARC
(14,2),-0.105325 # DEPENDENCYPART_ARC
(14,3),-2.03678 # DEPENDENCYPART_ARC
(14,4),-0.25913 # DEPENDENCYPART_ARC
(14,5),0.625651 # DEPENDENCYPART_ARC
(14,6),-1.31893 # DEPENDENCYPART_ARC
(14,7),-0.106042 # DEPENDENCYPART_ARC
(14,8),0.852751 # DEPENDENCYPART_ARC
(14,9),0.288065 # DEPENDENCYPART_ARC
(14,10),-0.625792 # DEPENDENCYPART_ARC
(14,11),-0.0308129 # DEPENDENCYPART_ARC
(14,12),1.14115 # DEPENDENCYPART_ARC
(14,13),3.95136 # DEPENDENCYPART_ARC
(14,15),2.35454 # DEPENDENCYPART_ARC
(14,16),0.0369351 # DEPENDENCYPART_ARC
(14,17),1.64447 # DEPENDENCYPART_ARC
(14,18),1.68086 # DEPENDENCYPART_ARC
(15,1),-0.813368 # DEPENDENCYPART_ARC
(15,2),-0.964464 # DEPENDENCYPART_ARC
(15,3),-0.9306 # DEPENDENCYPART_ARC
(15,4),-0.799279 # DEPENDENCYPART_ARC
(15,5),-0.704623 # DEPENDENCYPART_ARC
(15,7),-0.877039 # DEPENDENCYPART_ARC
(15,8),-0.573471 # DEPENDENCYPART_ARC
(15,9),-0.796868 # DEPENDENCYPART_ARC
(15,11),-0.765622 # DEPENDENCYPART_ARC
(15,12),-0.298361 # DEPENDENCYPART_ARC
(15,13),0.20035 # DEPENDENCYPART_ARC
(15,14),0.330781 # DEPENDENCYPART_ARC
(15,17),-0.0554369 # DEPENDENCYPART_ARC
(15,18),0.0977786 # DEPENDENCYPART_ARC
(16,3),-2.07415 # DEPENDENCYPART_ARC
(16,4),-1.53404 # DEPENDENCYPART_ARC
(16,5),-1.89249 # DEPENDENCYPART_ARC
(16,7),-3.23525 # DEPENDENCYPART_ARC
(16,11),-3.02282 # DEPENDENCYPART_ARC
(16,12),-1.41811 # DEPENDENCYPART_ARC
(16,13),-1.49132 # DEPENDENCYPART_ARC
(16,17),-0.893777 # DEPENDENCYPART_ARC
(17,1),-2.17699 # DEPENDENCYPART_ARC
(17,2),-3.27215 # DEPENDENCYPART_ARC
(17,3),-3.88318 # DEPENDENCYPART_ARC
(17,4),-2.49405 # DEPENDENCYPART_ARC
(17,5),-2.09856 # DEPENDENCYPART_ARC
(17,6),-2.16769 # DEPENDENCYPART_ARC
(17,7),-5.26664 # DEPENDENCYPART_ARC
(17,8),-1.91907 # DEPENDENCYPART_ARC
(17,9),-2.91464 # DEPENDENCYPART_ARC
(17,10),-1.00231 # DEPENDENCYPART_ARC
(17,11),-3.45458 # DEPENDENCYPART_ARC
(17,12),-2.19748 # DEPENDENCYPART_ARC
(17,13),-1.89374 # DEPENDENCYPART_ARC
(17,14),-1.59293 # DEPENDENCYPART_ARC
(17,15),-0.469924 # DEPENDENCYPART_ARC
(17,16),2.93529 # DEPENDENCYPART_ARC
(17,18),-0.918719 # DEPENDENCYPART_ARC
