# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=7,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(9,2),-0.202237 # DEPENDENCYPART_ARC
(9,3),0.257433 # DEPENDENCYPART_ARC
(9,4),-1.37785 # DEPENDENCYPART_ARC
(9,5),-0.0449935 # DEPENDENCYPART_ARC
(9,6),0.80541 # DEPENDENCYPART_ARC
(9,7),-0.190184 # DEPENDENCYPART_ARC
(9,8),0.531206 # DEPENDENCYPART_ARC
(9,10),-0.464148 # DEPENDENCYPART_ARC
(9,11),-1.2012 # DEPENDENCYPART_ARC
(9,12),0.217381 # DEPENDENCYPART_ARC
(9,13),-0.386976 # DEPENDENCYPART_ARC
(9,14),-0.123871 # DEPENDENCYPART_ARC
(9,15),-0.601303 # DEPENDENCYPART_ARC
(9,16),-0.992983 # DEPENDENCYPART_ARC
(9,17),-1.2948 # DEPENDENCYPART_ARC
(9,18),-1.19007 # DEPENDENCYPART_ARC
(9,19),-0.377642 # DEPENDENCYPART_ARC
(9,20),-1.30945 # DEPENDENCYPART_ARC
(9,21),-1.20174 # DEPENDENCYPART_ARC
(9,22),-1.16455 # DEPENDENCYPART_ARC
(9,23),-1.99131 # DEPENDENCYPART_ARC
(9,24),-1.14188 # DEPENDENCYPART_ARC
(9,25),0.101132 # DEPENDENCYPART_ARC
(10,1),-0.811004 # DEPENDENCYPART_ARC
(10,2),-1.03763 # DEPENDENCYPART_ARC
(10,3),-0.45945 # DEPENDENCYPART_ARC
(10,4),-0.586771 # DEPENDENCYPART_ARC
(10,5),-0.848399 # DEPENDENCYPART_ARC
(10,6),-0.342752 # DEPENDENCYPART_ARC
(10,7),-0.3954 # DEPENDENCYPART_ARC
(10,8),-0.191164 # DEPENDENCYPART_ARC
(10,9),0.576218 # DEPENDENCYPART_ARC
(10,11),-0.117731 # DEPENDENCYPART_ARC
(10,12),-0.0343547 # DEPENDENCYPART_ARC
(10,13),0.279337 # DEPENDENCYPART_ARC
(10,14),-0.239519 # DEPENDENCYPART_ARC
(10,15),-0.416763 # DEPENDENCYPART_ARC
(10,16),-0.973572 # DEPENDENCYPART_ARC
(10,17),-1.13334 # DEPENDENCYPART_ARC
(10,18),-1.14907 # DEPENDENCYPART_ARC
(10,19),-0.534145 # DEPENDENCYPART_ARC
(10,20),-1.27552 # DEPENDENCYPART_ARC
(10,21),-1.19247 # DEPENDENCYPART_ARC
(10,22),-1.38078 # DEPENDENCYPART_ARC
(10,23),-1.3436 # DEPENDENCYPART_ARC
(10,24),-0.699238 # DEPENDENCYPART_ARC
(10,25),0.128686 # DEPENDENCYPART_ARC
(11,1),-0.786404 # DEPENDENCYPART_ARC
(11,2),0.508739 # DEPENDENCYPART_ARC
(11,3),-0.0975031 # DEPENDENCYPART_ARC
(11,4),-1.70329 # DEPENDENCYPART_ARC
(11,5),0.384047 # DEPENDENCYPART_ARC
(11,6),0.212176 # DEPENDENCYPART_ARC
(11,7),-1.79063 # DEPENDENCYPART_ARC
(11,8),0.414091 # DEPENDENCYPART_ARC
(11,9),0.557319 # DEPENDENCYPART_ARC
(11,10),0.542334 # DEPENDENCYPART_ARC
(11,12),-0.23647 # DEPENDENCYPART_ARC
(11,13),-0.92347 # DEPENDENCYPART_ARC
(11,14),-0.522693 # DEPENDENCYPART_ARC
(11,15),-0.995785 # DEPENDENCYPART_ARC
(11,16),-1.38218 # DEPENDENCYPART_ARC
(11,17),-2.72764 # DEPENDENCYPART_ARC
(11,18),-2.62367 # DEPENDENCYPART_ARC
(11,19),-0.875375 # DEPENDENCYPART_ARC
(11,20),-1.67875 # DEPENDENCYPART_ARC
(11,21),-1.51239 # DEPENDENCYPART_ARC
(11,22),-2.71209 # DEPENDENCYPART_ARC
(11,23),-2.87099 # DEPENDENCYPART_ARC
(11,24),-1.60052 # DEPENDENCYPART_ARC
(11,25),-0.221019 # DEPENDENCYPART_ARC
(12,1),-0.569319 # DEPENDENCYPART_ARC
(12,2),-0.679171 # DEPENDENCYPART_ARC
(12,3),-0.524136 # DEPENDENCYPART_ARC
(12,4),-0.306724 # DEPENDENCYPART_ARC
(12,5),-0.588149 # DEPENDENCYPART_ARC
(12,6),-0.331007 # DEPENDENCYPART_ARC
(12,7),0.321393 # DEPENDENCYPART_ARC
(12,8),0.493745 # DEPENDENCYPART_ARC
(12,9),0.614024 # DEPENDENCYPART_ARC
(12,10),0.775616 # DEPENDENCYPART_ARC
(12,11),3.95883 # DEPENDENCYPART_ARC
(12,13),-0.0590433 # DEPENDENCYPART_ARC
(12,14),-0.345355 # DEPENDENCYPART_ARC
(12,16),-0.823677 # DEPENDENCYPART_ARC
(12,17),-1.0668 # DEPENDENCYPART_ARC
(12,18),-1.18908 # DEPENDENCYPART_ARC
(12,19),-0.79882 # DEPENDENCYPART_ARC
(12,20),-1.06141 # DEPENDENCYPART_ARC
(12,21),-1.01096 # DEPENDENCYPART_ARC
(12,22),-1.21099 # DEPENDENCYPART_ARC
(12,23),-1.44082 # DEPENDENCYPART_ARC
(12,24),-0.84466 # DEPENDENCYPART_ARC
(12,25),-0.43058 # DEPENDENCYPART_ARC
(13,1),0.467943 # DEPENDENCYPART_ARC
(13,2),-0.758972 # DEPENDENCYPART_ARC
(13,3),0.725523 # DEPENDENCYPART_ARC
(13,4),0.765496 # DEPENDENCYPART_ARC
(13,5),-0.246403 # DEPENDENCYPART_ARC
(13,6),0.714647 # DEPENDENCYPART_ARC
(13,7),1.08812 # DEPENDENCYPART_ARC
(13,8),1.43254 # DEPENDENCYPART_ARC
(13,9),2.36732 # DEPENDENCYPART_ARC
(13,10),2.48949 # DEPENDENCYPART_ARC
(13,11),0.484729 # DEPENDENCYPART_ARC
(13,12),3.10293 # DEPENDENCYPART_ARC
(13,14),1.71087 # DEPENDENCYPART_ARC
(13,15),2.67851 # DEPENDENCYPART_ARC
(13,16),-0.622711 # DEPENDENCYPART_ARC
(13,17),-0.652741 # DEPENDENCYPART_ARC
(13,18),-0.424128 # DEPENDENCYPART_ARC
(13,19),0.0291263 # DEPENDENCYPART_ARC
(13,20),-1.01628 # DEPENDENCYPART_ARC
(13,21),-1.06037 # DEPENDENCYPART_ARC
(13,22),-0.935418 # DEPENDENCYPART_ARC
(13,23),-0.424782 # DEPENDENCYPART_ARC
(13,24),1.13867 # DEPENDENCYPART_ARC
(13,25),2.521 # DEPENDENCYPART_ARC
(15,1),-0.0866931 # DEPENDENCYPART_ARC
(15,2),0.0429974 # DEPENDENCYPART_ARC
(15,3),-0.400001 # DEPENDENCYPART_ARC
(15,4),-0.585377 # DEPENDENCYPART_ARC
(15,5),-0.282003 # DEPENDENCYPART_ARC
(15,6),-0.455376 # DEPENDENCYPART_ARC
(15,7),-0.460886 # DEPENDENCYPART_ARC
(15,8),-0.620214 # DEPENDENCYPART_ARC
(15,9),0.163264 # DEPENDENCYPART_ARC
(15,10),0.130281 # DEPENDENCYPART_ARC
(15,11),0.25036 # DEPENDENCYPART_ARC
(15,12),0.699293 # DEPENDENCYPART_ARC
(15,13),-0.12539 # DEPENDENCYPART_ARC
(15,14),1.02662 # DEPENDENCYPART_ARC
(15,16),-0.663615 # DEPENDENCYPART_ARC
(15,17),-0.506355 # DEPENDENCYPART_ARC
(15,18),-0.611151 # DEPENDENCYPART_ARC
(15,19),-0.133197 # DEPENDENCYPART_ARC
(15,20),-0.172178 # DEPENDENCYPART_ARC
(15,21),-0.527839 # DEPENDENCYPART_ARC
(15,22),-1.02086 # DEPENDENCYPART_ARC
(15,23),-1.26575 # DEPENDENCYPART_ARC
(15,24),0.945981 # DEPENDENCYPART_ARC
(15,25),1.4854 # DEPENDENCYPART_ARC
(16,1),-4.13141 # DEPENDENCYPART_ARC
(16,2),-2.58969 # DEPENDENCYPART_ARC
(16,3),-2.15955 # DEPENDENCYPART_ARC
(16,4),-4.07815 # DEPENDENCYPART_ARC
(16,5),-2.59043 # DEPENDENCYPART_ARC
(16,6),-2.06966 # DEPENDENCYPART_ARC
(16,7),-4.47587 # DEPENDENCYPART_ARC
(16,8),-2.09422 # DEPENDENCYPART_ARC
(16,9),-3.72228 # DEPENDENCYPART_ARC
(16,11),-3.4978 # DEPENDENCYPART_ARC
(16,14),-1.53607 # DEPENDENCYPART_ARC
(16,17),-0.554742 # DEPENDENCYPART_ARC
(16,18),-1.05204 # DEPENDENCYPART_ARC
(16,20),-0.73812 # DEPENDENCYPART_ARC
(16,21),-0.78373 # DEPENDENCYPART_ARC
(16,22),-1.68194 # DEPENDENCYPART_ARC
(16,23),-2.15063 # DEPENDENCYPART_ARC
(17,1),-2.7749 # DEPENDENCYPART_ARC
(17,2),-2.23396 # DEPENDENCYPART_ARC
(17,3),-2.33874 # DEPENDENCYPART_ARC
(17,4),-4.48014 # DEPENDENCYPART_ARC
(17,5),-2.43161 # DEPENDENCYPART_ARC
(17,6),-2.01705 # DEPENDENCYPART_ARC
(17,7),-4.60213 # DEPENDENCYPART_ARC
(17,8),-2.05271 # DEPENDENCYPART_ARC
(17,9),-2.69428 # DEPENDENCYPART_ARC
(17,10),-2.26175 # DEPENDENCYPART_ARC
(17,11),-5.16908 # DEPENDENCYPART_ARC
(17,12),-1.78532 # DEPENDENCYPART_ARC
(17,13),-1.28653 # DEPENDENCYPART_ARC
(17,14),-1.00678 # DEPENDENCYPART_ARC
(17,15),-1.15393 # DEPENDENCYPART_ARC
(17,16),3.00397 # DEPENDENCYPART_ARC
(17,18),-0.862698 # DEPENDENCYPART_ARC
(17,19),-0.581175 # DEPENDENCYPART_ARC
(17,20),-1.37991 # DEPENDENCYPART_ARC
(17,21),-1.36444 # DEPENDENCYPART_ARC
(17,22),-0.89316 # DEPENDENCYPART_ARC
(17,23),-1.92912 # DEPENDENCYPART_ARC
(17,24),-1.09624 # DEPENDENCYPART_ARC
(17,25),-0.864753 # DEPENDENCYPART_ARC
(18,1),-1.38526 # DEPENDENCYPART_ARC
(18,2),-1.39006 # DEPENDENCYPART_ARC
(18,3),-1.88452 # DEPENDENCYPART_ARC
(18,4),-3.60363 # DEPENDENCYPART_ARC
(18,5),-1.64286 # DEPENDENCYPART_ARC
(18,6),-1.4977 # DEPENDENCYPART_ARC
(18,7),-2.85622 # DEPENDENCYPART_ARC
(18,8),-0.832387 # DEPENDENCYPART_ARC
(18,9),-1.42453 # DEPENDENCYPART_ARC
(18,10),-1.20543 # DEPENDENCYPART_ARC
(18,11),-3.38868 # DEPENDENCYPART_ARC
(18,12),-0.849803 # DEPENDENCYPART_ARC
(18,13),-1.22813 # DEPENDENCYPART_ARC
(18,14),-0.244652 # DEPENDENCYPART_ARC
(18,15),-0.294216 # DEPENDENCYPART_ARC
(18,16),1.33045 # DEPENDENCYPART_ARC
(18,17),3.83658 # DEPENDENCYPART_ARC
(18,19),-0.437704 # DEPENDENCYPART_ARC
(18,20),-1.23448 # DEPENDENCYPART_ARC
(18,21),-1.18394 # DEPENDENCYPART_ARC
(18,22),-0.869654 # DEPENDENCYPART_ARC
(18,23),-1.8848 # DEPENDENCYPART_ARC
(18,24),-1.29445 # DEPENDENCYPART_ARC
(18,25),-0.819139 # DEPENDENCYPART_ARC
(19,1),-1.11478 # DEPENDENCYPART_ARC
(19,2),-1.03987 # DEPENDENCYPART_ARC
(19,3),-1.37967 # DEPENDENCYPART_ARC
(19,4),-1.12973 # DEPENDENCYPART_ARC
(19,5),-0.982346 # DEPENDENCYPART_ARC
(19,6),-1.18176 # DEPENDENCYPART_ARC
(19,7),-0.765335 # DEPENDENCYPART_ARC
(19,8),-0.401673 # DEPENDENCYPART_ARC
(19,9),-0.657423 # DEPENDENCYPART_ARC
(19,10),-0.751717 # DEPENDENCYPART_ARC
(19,11),1.07816 # DEPENDENCYPART_ARC
(19,12),-0.67091 # DEPENDENCYPART_ARC
(19,13),-0.453779 # DEPENDENCYPART_ARC
(19,14),0.167639 # DEPENDENCYPART_ARC
(19,16),0.0250638 # DEPENDENCYPART_ARC
(19,17),0.88375 # DEPENDENCYPART_ARC
(19,18),4.03387 # DEPENDENCYPART_ARC
(19,20),-0.233857 # DEPENDENCYPART_ARC
(19,21),-0.31937 # DEPENDENCYPART_ARC
(19,22),-0.588984 # DEPENDENCYPART_ARC
(19,23),-0.75135 # DEPENDENCYPART_ARC
(19,24),-0.508893 # DEPENDENCYPART_ARC
(19,25),-0.319965 # DEPENDENCYPART_ARC
(20,1),-1.65309 # DEPENDENCYPART_ARC
(20,2),-2.2879 # DEPENDENCYPART_ARC
(20,3),-0.42795 # DEPENDENCYPART_ARC
(20,4),-0.685664 # DEPENDENCYPART_ARC
(20,5),-2.13968 # DEPENDENCYPART_ARC
(20,6),-0.434168 # DEPENDENCYPART_ARC
(20,7),-1.98711 # DEPENDENCYPART_ARC
(20,8),-0.518239 # DEPENDENCYPART_ARC
(20,9),-1.52264 # DEPENDENCYPART_ARC
(20,10),-0.504074 # DEPENDENCYPART_ARC
(20,11),-1.05461 # DEPENDENCYPART_ARC
(20,12),-0.352056 # DEPENDENCYPART_ARC
(20,13),-0.887608 # DEPENDENCYPART_ARC
(20,14),0.0169773 # DEPENDENCYPART_ARC
(20,15),-0.192504 # DEPENDENCYPART_ARC
(20,16),0.0223405 # DEPENDENCYPART_ARC
(20,17),0.141395 # DEPENDENCYPART_ARC
(20,18),-0.00486862 # DEPENDENCYPART_ARC
(20,19),1.61394 # DEPENDENCYPART_ARC
(20,21),-0.32418 # DEPENDENCYPART_ARC
(20,22),-0.110557 # DEPENDENCYPART_ARC
(20,23),-1.10165 # DEPENDENCYPART_ARC
(20,24),-0.318127 # DEPENDENCYPART_ARC
(20,25),-0.367517 # DEPENDENCYPART_ARC
(21,1),-1.83623 # DEPENDENCYPART_ARC
(21,2),-2.35243 # DEPENDENCYPART_ARC
(21,3),-0.585388 # DEPENDENCYPART_ARC
(21,4),-0.866054 # DEPENDENCYPART_ARC
(21,5),-2.22601 # DEPENDENCYPART_ARC
(21,6),-0.633784 # DEPENDENCYPART_ARC
(21,7),-2.60823 # DEPENDENCYPART_ARC
(21,8),-0.736399 # DEPENDENCYPART_ARC
(21,9),-1.95613 # DEPENDENCYPART_ARC
(21,10),-0.783916 # DEPENDENCYPART_ARC
(21,11),-1.41856 # DEPENDENCYPART_ARC
(21,12),-0.522062 # DEPENDENCYPART_ARC
(21,13),-1.08992 # DEPENDENCYPART_ARC
(21,14),-0.142299 # DEPENDENCYPART_ARC
(21,15),-0.390654 # DEPENDENCYPART_ARC
(21,16),-0.204298 # DEPENDENCYPART_ARC
(21,17),-0.433588 # DEPENDENCYPART_ARC
(21,18),-0.749928 # DEPENDENCYPART_ARC
(21,19),0.892521 # DEPENDENCYPART_ARC
(21,20),1.30554 # DEPENDENCYPART_ARC
(21,22),-0.637052 # DEPENDENCYPART_ARC
(21,23),-1.41022 # DEPENDENCYPART_ARC
(21,24),-0.88638 # DEPENDENCYPART_ARC
(21,25),-1.01798 # DEPENDENCYPART_ARC
(22,1),-1.39102 # DEPENDENCYPART_ARC
(22,2),0.470561 # DEPENDENCYPART_ARC
(22,3),-0.880283 # DEPENDENCYPART_ARC
(22,4),-3.24535 # DEPENDENCYPART_ARC
(22,5),0.0110988 # DEPENDENCYPART_ARC
(22,6),-0.602785 # DEPENDENCYPART_ARC
(22,7),-3.97364 # DEPENDENCYPART_ARC
(22,8),-0.782336 # DEPENDENCYPART_ARC
(22,9),-1.64823 # DEPENDENCYPART_ARC
(22,10),-0.740134 # DEPENDENCYPART_ARC
(22,11),-4.20976 # DEPENDENCYPART_ARC
(22,12),-0.342392 # DEPENDENCYPART_ARC
(22,13),-0.17079 # DEPENDENCYPART_ARC
(22,14),0.145719 # DEPENDENCYPART_ARC
(22,15),-0.169341 # DEPENDENCYPART_ARC
(22,16),1.98892 # DEPENDENCYPART_ARC
(22,17),0.555684 # DEPENDENCYPART_ARC
(22,18),-0.874922 # DEPENDENCYPART_ARC
(22,19),0.489366 # DEPENDENCYPART_ARC
(22,20),2.77875 # DEPENDENCYPART_ARC
(22,21),3.60972 # DEPENDENCYPART_ARC
(22,23),-1.21827 # DEPENDENCYPART_ARC
(22,24),-0.900905 # DEPENDENCYPART_ARC
(22,25),-0.689393 # DEPENDENCYPART_ARC
(23,1),-2.20087 # DEPENDENCYPART_ARC
(23,2),-1.47459 # DEPENDENCYPART_ARC
(23,3),-2.20906 # DEPENDENCYPART_ARC
(23,4),-4.16704 # DEPENDENCYPART_ARC
(23,5),-1.93249 # DEPENDENCYPART_ARC
(23,6),-1.8786 # DEPENDENCYPART_ARC
(23,7),-3.53976 # DEPENDENCYPART_ARC
(23,8),-0.675865 # DEPENDENCYPART_ARC
(23,9),-2.1434 # DEPENDENCYPART_ARC
(23,10),-0.912618 # DEPENDENCYPART_ARC
(23,11),-3.64648 # DEPENDENCYPART_ARC
(23,12),-0.586603 # DEPENDENCYPART_ARC
(23,13),-2.11919 # DEPENDENCYPART_ARC
(23,14),-0.0866685 # DEPENDENCYPART_ARC
(23,15),-0.424672 # DEPENDENCYPART_ARC
(23,16),-0.386638 # DEPENDENCYPART_ARC
(23,17),1.10003 # DEPENDENCYPART_ARC
(23,18),-0.950032 # DEPENDENCYPART_ARC
(23,19),0.0814102 # DEPENDENCYPART_ARC
(23,20),0.488607 # DEPENDENCYPART_ARC
(23,21),1.38115 # DEPENDENCYPART_ARC
(23,22),3.68653 # DEPENDENCYPART_ARC
(23,24),-0.518116 # DEPENDENCYPART_ARC
(23,25),-1.11574 # DEPENDENCYPART_ARC
(24,1),0.284882 # DEPENDENCYPART_ARC
(24,2),-1.54407 # DEPENDENCYPART_ARC
(24,3),-0.0736319 # DEPENDENCYPART_ARC
(24,4),0.597249 # DEPENDENCYPART_ARC
(24,5),-1.08495 # DEPENDENCYPART_ARC
(24,6),0.0583983 # DEPENDENCYPART_ARC
(24,7),0.571868 # DEPENDENCYPART_ARC
(24,8),0.62466 # DEPENDENCYPART_ARC
(24,9),1.22582 # DEPENDENCYPART_ARC
(24,10),1.40493 # DEPENDENCYPART_ARC
(24,11),-0.789338 # DEPENDENCYPART_ARC
(24,12),1.61623 # DEPENDENCYPART_ARC
(24,13),0.211124 # DEPENDENCYPART_ARC
(24,14),0.774999 # DEPENDENCYPART_ARC
(24,15),0.172186 # DEPENDENCYPART_ARC
(24,16),-0.28871 # DEPENDENCYPART_ARC
(24,17),1.76151 # DEPENDENCYPART_ARC
(24,18),1.66133 # DEPENDENCYPART_ARC
(24,19),2.46084 # DEPENDENCYPART_ARC
(24,20),0.426649 # DEPENDENCYPART_ARC
(24,21),0.680134 # DEPENDENCYPART_ARC
(24,22),3.00724 # DEPENDENCYPART_ARC
(24,23),3.77695 # DEPENDENCYPART_ARC
(24,25),1.28156 # DEPENDENCYPART_ARC
