# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,16,19,21,21,23,23,15,25,23,12,
(3,13),-0.566113 # DEPENDENCYPART_ARC
(3,14),-0.396027 # DEPENDENCYPART_ARC
(3,15),-1.58666 # DEPENDENCYPART_ARC
(3,16),-1.17253 # DEPENDENCYPART_ARC
(3,17),-0.38731 # DEPENDENCYPART_ARC
(3,18),-1.132 # DEPENDENCYPART_ARC
(3,19),-1.85474 # DEPENDENCYPART_ARC
(3,20),-1.45322 # DEPENDENCYPART_ARC
(3,21),-1.69953 # DEPENDENCYPART_ARC
(3,22),-0.709409 # DEPENDENCYPART_ARC
(3,23),-1.06167 # DEPENDENCYPART_ARC
(3,24),-1.56486 # DEPENDENCYPART_ARC
(3,25),-2.8315 # DEPENDENCYPART_ARC
(3,26),0.880422 # DEPENDENCYPART_ARC
(4,1),-0.0550441 # DEPENDENCYPART_ARC
(4,2),-0.730569 # DEPENDENCYPART_ARC
(4,3),-0.163975 # DEPENDENCYPART_ARC
(4,5),-0.862465 # DEPENDENCYPART_ARC
(4,6),-1.12333 # DEPENDENCYPART_ARC
(4,7),-0.940657 # DEPENDENCYPART_ARC
(4,8),-0.889848 # DEPENDENCYPART_ARC
(4,9),-1.14183 # DEPENDENCYPART_ARC
(4,10),-0.866213 # DEPENDENCYPART_ARC
(4,11),-0.647942 # DEPENDENCYPART_ARC
(4,12),-0.92316 # DEPENDENCYPART_ARC
(4,13),-0.971691 # DEPENDENCYPART_ARC
(4,14),-1.41506 # DEPENDENCYPART_ARC
(4,15),-2.06616 # DEPENDENCYPART_ARC
(4,16),-1.43763 # DEPENDENCYPART_ARC
(4,17),-0.798154 # DEPENDENCYPART_ARC
(4,18),-1.69107 # DEPENDENCYPART_ARC
(4,19),-2.51836 # DEPENDENCYPART_ARC
(4,20),-1.57463 # DEPENDENCYPART_ARC
(4,21),-2.02122 # DEPENDENCYPART_ARC
(4,22),-1.80601 # DEPENDENCYPART_ARC
(4,23),-1.40791 # DEPENDENCYPART_ARC
(4,24),-1.7286 # DEPENDENCYPART_ARC
(4,25),-3.49191 # DEPENDENCYPART_ARC
(4,26),-0.158772 # DEPENDENCYPART_ARC
(5,1),0.678734 # DEPENDENCYPART_ARC
(5,2),1.01167 # DEPENDENCYPART_ARC
(5,3),2.51001 # DEPENDENCYPART_ARC
(5,4),3.78201 # DEPENDENCYPART_ARC
(5,6),-0.70955 # DEPENDENCYPART_ARC
(5,7),-0.609345 # DEPENDENCYPART_ARC
(5,8),0.0173231 # DEPENDENCYPART_ARC
(5,9),-0.265959 # DEPENDENCYPART_ARC
(5,10),-0.3684 # DEPENDENCYPART_ARC
(5,11),-0.0414417 # DEPENDENCYPART_ARC
(5,12),-0.302367 # DEPENDENCYPART_ARC
(5,13),-0.804647 # DEPENDENCYPART_ARC
(5,14),-0.546283 # DEPENDENCYPART_ARC
(5,15),-2.07233 # DEPENDENCYPART_ARC
(5,16),-1.97324 # DEPENDENCYPART_ARC
(5,17),-0.525163 # DEPENDENCYPART_ARC
(5,18),-1.27172 # DEPENDENCYPART_ARC
(5,19),-1.48848 # DEPENDENCYPART_ARC
(5,20),-1.71645 # DEPENDENCYPART_ARC
(5,21),-1.79121 # DEPENDENCYPART_ARC
(5,22),-0.801064 # DEPENDENCYPART_ARC
(5,23),-1.44265 # DEPENDENCYPART_ARC
(5,24),-1.46263 # DEPENDENCYPART_ARC
(5,25),-2.1005 # DEPENDENCYPART_ARC
(5,26),0.801063 # DEPENDENCYPART_ARC
(6,1),-1.10368 # DEPENDENCYPART_ARC
(6,2),-1.18902 # DEPENDENCYPART_ARC
(6,3),-1.94612 # DEPENDENCYPART_ARC
(6,4),-0.844434 # DEPENDENCYPART_ARC
(6,5),-1.41114 # DEPENDENCYPART_ARC
(6,7),0.43491 # DEPENDENCYPART_ARC
(6,8),-0.425696 # DEPENDENCYPART_ARC
(6,9),-0.317937 # DEPENDENCYPART_ARC
(6,10),-0.921488 # DEPENDENCYPART_ARC
(6,11),-0.378038 # DEPENDENCYPART_ARC
(6,12),-0.71633 # DEPENDENCYPART_ARC
(6,13),-0.7052 # DEPENDENCYPART_ARC
(6,14),-0.882126 # DEPENDENCYPART_ARC
(6,15),-1.13992 # DEPENDENCYPART_ARC
(6,16),-1.23246 # DEPENDENCYPART_ARC
(6,17),-0.445298 # DEPENDENCYPART_ARC
(6,18),-1.01319 # DEPENDENCYPART_ARC
(6,19),-1.56141 # DEPENDENCYPART_ARC
(6,20),-1.23816 # DEPENDENCYPART_ARC
(6,21),-1.69894 # DEPENDENCYPART_ARC
(6,22),-1.04177 # DEPENDENCYPART_ARC
(6,23),-1.46168 # DEPENDENCYPART_ARC
(6,24),-1.73244 # DEPENDENCYPART_ARC
(6,25),-2.00788 # DEPENDENCYPART_ARC
(6,26),-2.02551 # DEPENDENCYPART_ARC
(7,1),-1.34393 # DEPENDENCYPART_ARC
(7,2),-2.21901 # DEPENDENCYPART_ARC
(7,3),-2.56457 # DEPENDENCYPART_ARC
(7,4),-1.65071 # DEPENDENCYPART_ARC
(7,5),-1.37599 # DEPENDENCYPART_ARC
(7,6),0.232824 # DEPENDENCYPART_ARC
(7,8),-0.504536 # DEPENDENCYPART_ARC
(7,9),-0.914101 # DEPENDENCYPART_ARC
(7,10),-0.747404 # DEPENDENCYPART_ARC
(7,11),-0.864478 # DEPENDENCYPART_ARC
(7,12),-1.37305 # DEPENDENCYPART_ARC
(7,13),-1.20475 # DEPENDENCYPART_ARC
(7,14),-1.34235 # DEPENDENCYPART_ARC
(7,15),-2.10895 # DEPENDENCYPART_ARC
(7,16),-1.45123 # DEPENDENCYPART_ARC
(7,17),-0.940797 # DEPENDENCYPART_ARC
(7,18),-1.80252 # DEPENDENCYPART_ARC
(7,19),-2.59933 # DEPENDENCYPART_ARC
(7,20),-2.09491 # DEPENDENCYPART_ARC
(7,21),-2.34704 # DEPENDENCYPART_ARC
(7,22),-1.39769 # DEPENDENCYPART_ARC
(7,23),-1.61771 # DEPENDENCYPART_ARC
(7,24),-2.02124 # DEPENDENCYPART_ARC
(7,25),-3.4277 # DEPENDENCYPART_ARC
(7,26),-0.559549 # DEPENDENCYPART_ARC
(8,1),0.569528 # DEPENDENCYPART_ARC
(8,2),0.488403 # DEPENDENCYPART_ARC
(8,3),-0.935457 # DEPENDENCYPART_ARC
(8,4),0.739328 # DEPENDENCYPART_ARC
(8,5),-2.47923 # DEPENDENCYPART_ARC
(8,6),2.82997 # DEPENDENCYPART_ARC
(8,7),3.45665 # DEPENDENCYPART_ARC
(8,9),-0.300183 # DEPENDENCYPART_ARC
(8,10),-0.460743 # DEPENDENCYPART_ARC
(8,11),-0.306677 # DEPENDENCYPART_ARC
(8,12),-0.602498 # DEPENDENCYPART_ARC
(8,13),-1.00262 # DEPENDENCYPART_ARC
(8,14),-0.678856 # DEPENDENCYPART_ARC
(8,15),-1.806 # DEPENDENCYPART_ARC
(8,16),-1.23204 # DEPENDENCYPART_ARC
(8,17),-0.688458 # DEPENDENCYPART_ARC
(8,18),-1.28755 # DEPENDENCYPART_ARC
(8,19),-2.28584 # DEPENDENCYPART_ARC
(8,20),-1.82744 # DEPENDENCYPART_ARC
(8,21),-2.1547 # DEPENDENCYPART_ARC
(8,22),-1.07134 # DEPENDENCYPART_ARC
(8,23),-1.19915 # DEPENDENCYPART_ARC
(8,24),-1.77436 # DEPENDENCYPART_ARC
(8,25),-3.22446 # DEPENDENCYPART_ARC
(8,26),0.389908 # DEPENDENCYPART_ARC
(9,1),0.301819 # DEPENDENCYPART_ARC
(9,2),0.294829 # DEPENDENCYPART_ARC
(9,3),-0.590916 # DEPENDENCYPART_ARC
(9,4),0.332424 # DEPENDENCYPART_ARC
(9,5),-0.923231 # DEPENDENCYPART_ARC
(9,6),0.701077 # DEPENDENCYPART_ARC
(9,7),0.910891 # DEPENDENCYPART_ARC
(9,8),0.926927 # DEPENDENCYPART_ARC
(9,10),0.355645 # DEPENDENCYPART_ARC
(9,11),0.301454 # DEPENDENCYPART_ARC
(9,12),-0.0590642 # DEPENDENCYPART_ARC
(9,13),-0.113591 # DEPENDENCYPART_ARC
(9,14),-0.339683 # DEPENDENCYPART_ARC
(9,15),-0.72951 # DEPENDENCYPART_ARC
(9,16),0.264928 # DEPENDENCYPART_ARC
(9,17),0.167706 # DEPENDENCYPART_ARC
(9,18),-0.457095 # DEPENDENCYPART_ARC
(9,19),-0.623541 # DEPENDENCYPART_ARC
(9,20),-0.489514 # DEPENDENCYPART_ARC
(9,21),-0.61448 # DEPENDENCYPART_ARC
(9,22),-0.380788 # DEPENDENCYPART_ARC
(9,23),0.00189079 # DEPENDENCYPART_ARC
(9,24),-0.583058 # DEPENDENCYPART_ARC
(9,25),-0.766166 # DEPENDENCYPART_ARC
(9,26),0.41218 # DEPENDENCYPART_ARC
(10,1),-0.11591 # DEPENDENCYPART_ARC
(10,2),-0.0343409 # DEPENDENCYPART_ARC
(10,3),1.87021 # DEPENDENCYPART_ARC
(10,4),0.256339 # DEPENDENCYPART_ARC
(10,5),2.94737 # DEPENDENCYPART_ARC
(10,6),-0.0971481 # DEPENDENCYPART_ARC
(10,7),0.638441 # DEPENDENCYPART_ARC
(10,8),2.67895 # DEPENDENCYPART_ARC
(10,9),2.6095 # DEPENDENCYPART_ARC
(10,11),2.03147 # DEPENDENCYPART_ARC
(10,12),1.21059 # DEPENDENCYPART_ARC
(10,13),1.37912 # DEPENDENCYPART_ARC
(10,14),0.254248 # DEPENDENCYPART_ARC
(10,15),-0.477658 # DEPENDENCYPART_ARC
(10,16),1.1181 # DEPENDENCYPART_ARC
(10,17),0.392384 # DEPENDENCYPART_ARC
(10,18),-0.773485 # DEPENDENCYPART_ARC
(10,19),-3.08582 # DEPENDENCYPART_ARC
(10,20),-0.981816 # DEPENDENCYPART_ARC
(10,21),-2.71168 # DEPENDENCYPART_ARC
(10,22),-0.29175 # DEPENDENCYPART_ARC
(10,23),0.39864 # DEPENDENCYPART_ARC
(10,24),-0.842573 # DEPENDENCYPART_ARC
(10,25),-2.48125 # DEPENDENCYPART_ARC
(10,26),2.71112 # DEPENDENCYPART_ARC
(11,1),-2.27918 # DEPENDENCYPART_ARC
(11,2),-2.67412 # DEPENDENCYPART_ARC
(11,3),-3.08581 # DEPENDENCYPART_ARC
(11,4),-2.3828 # DEPENDENCYPART_ARC
(11,5),-2.94878 # DEPENDENCYPART_ARC
(11,6),-2.14192 # DEPENDENCYPART_ARC
(11,7),-2.33408 # DEPENDENCYPART_ARC
(11,8),-2.53609 # DEPENDENCYPART_ARC
(11,9),-1.63469 # DEPENDENCYPART_ARC
(11,10),-0.941354 # DEPENDENCYPART_ARC
(11,12),-1.08914 # DEPENDENCYPART_ARC
(11,13),-1.26726 # DEPENDENCYPART_ARC
(11,14),-1.49353 # DEPENDENCYPART_ARC
(11,15),-1.71962 # DEPENDENCYPART_ARC
(11,16),-1.58048 # DEPENDENCYPART_ARC
(11,17),-1.27065 # DEPENDENCYPART_ARC
(11,18),-1.73458 # DEPENDENCYPART_ARC
(11,19),-2.49758 # DEPENDENCYPART_ARC
(11,20),-1.94976 # DEPENDENCYPART_ARC
(11,21),-2.52966 # DEPENDENCYPART_ARC
(11,22),-1.72424 # DEPENDENCYPART_ARC
(11,23),-1.93426 # DEPENDENCYPART_ARC
(11,24),-2.05749 # DEPENDENCYPART_ARC
(11,25),-2.81218 # DEPENDENCYPART_ARC
(11,26),-1.63178 # DEPENDENCYPART_ARC
(12,1),-0.478898 # DEPENDENCYPART_ARC
(12,2),-0.496935 # DEPENDENCYPART_ARC
(12,3),-0.213025 # DEPENDENCYPART_ARC
(12,4),0.41876 # DEPENDENCYPART_ARC
(12,5),-0.268018 # DEPENDENCYPART_ARC
(12,6),-0.637192 # DEPENDENCYPART_ARC
(12,7),-0.31362 # DEPENDENCYPART_ARC
(12,8),-0.167682 # DEPENDENCYPART_ARC
(12,9),0.327123 # DEPENDENCYPART_ARC
(12,10),2.18415 # DEPENDENCYPART_ARC
(12,11),2.5764 # DEPENDENCYPART_ARC
(12,13),0.580225 # DEPENDENCYPART_ARC
(12,14),-0.0231568 # DEPENDENCYPART_ARC
(12,15),-0.636475 # DEPENDENCYPART_ARC
(12,16),1.28771 # DEPENDENCYPART_ARC
(12,17),0.193616 # DEPENDENCYPART_ARC
(12,18),-0.555266 # DEPENDENCYPART_ARC
(12,19),-1.00295 # DEPENDENCYPART_ARC
(12,20),-0.391395 # DEPENDENCYPART_ARC
(12,21),-1.0453 # DEPENDENCYPART_ARC
(12,22),-0.104097 # DEPENDENCYPART_ARC
(12,23),0.865579 # DEPENDENCYPART_ARC
(12,24),-0.500085 # DEPENDENCYPART_ARC
(12,25),-1.06071 # DEPENDENCYPART_ARC
(12,26),3.40336 # DEPENDENCYPART_ARC
(13,1),-0.801903 # DEPENDENCYPART_ARC
(13,2),-0.141285 # DEPENDENCYPART_ARC
(13,3),-0.439058 # DEPENDENCYPART_ARC
(13,4),-0.289341 # DEPENDENCYPART_ARC
(13,5),-0.334201 # DEPENDENCYPART_ARC
(13,6),-1.11343 # DEPENDENCYPART_ARC
(13,7),-0.000150262 # DEPENDENCYPART_ARC
(13,8),-0.294799 # DEPENDENCYPART_ARC
(13,9),-0.399682 # DEPENDENCYPART_ARC
(13,10),-0.669155 # DEPENDENCYPART_ARC
(13,11),0.750104 # DEPENDENCYPART_ARC
(13,12),1.05918 # DEPENDENCYPART_ARC
(13,14),0.0860471 # DEPENDENCYPART_ARC
(13,15),-0.461878 # DEPENDENCYPART_ARC
(13,16),0.470733 # DEPENDENCYPART_ARC
(13,17),0.692213 # DEPENDENCYPART_ARC
(13,18),-0.718578 # DEPENDENCYPART_ARC
(13,19),-0.119269 # DEPENDENCYPART_ARC
(13,20),-0.393083 # DEPENDENCYPART_ARC
(13,21),-0.516865 # DEPENDENCYPART_ARC
(13,22),-0.167258 # DEPENDENCYPART_ARC
(13,23),-0.155324 # DEPENDENCYPART_ARC
(13,24),-0.3714 # DEPENDENCYPART_ARC
(13,25),-0.73773 # DEPENDENCYPART_ARC
(13,26),1.4893 # DEPENDENCYPART_ARC
(14,1),-2.55376 # DEPENDENCYPART_ARC
(14,2),-2.26149 # DEPENDENCYPART_ARC
(14,3),-2.32747 # DEPENDENCYPART_ARC
(14,4),-2.26453 # DEPENDENCYPART_ARC
(14,5),-2.03675 # DEPENDENCYPART_ARC
(14,6),-2.26051 # DEPENDENCYPART_ARC
(14,7),-2.14547 # DEPENDENCYPART_ARC
(14,8),-2.03266 # DEPENDENCYPART_ARC
(14,9),-1.86133 # DEPENDENCYPART_ARC
(14,10),-1.44526 # DEPENDENCYPART_ARC
(14,11),-0.902116 # DEPENDENCYPART_ARC
(14,12),-1.30067 # DEPENDENCYPART_ARC
(14,13),-0.492436 # DEPENDENCYPART_ARC
(14,15),-1.07495 # DEPENDENCYPART_ARC
(14,16),-0.218267 # DEPENDENCYPART_ARC
(14,17),-0.693629 # DEPENDENCYPART_ARC
(14,18),-1.33897 # DEPENDENCYPART_ARC
(14,19),-1.51058 # DEPENDENCYPART_ARC
(14,20),-1.439 # DEPENDENCYPART_ARC
(14,21),-1.6522 # DEPENDENCYPART_ARC
(14,22),-1.43371 # DEPENDENCYPART_ARC
(14,23),-1.02824 # DEPENDENCYPART_ARC
(14,24),-1.51594 # DEPENDENCYPART_ARC
(14,25),-1.96562 # DEPENDENCYPART_ARC
(14,26),-0.200428 # DEPENDENCYPART_ARC
(15,1),-1.06556 # DEPENDENCYPART_ARC
(15,2),-0.675424 # DEPENDENCYPART_ARC
(15,3),-1.32018 # DEPENDENCYPART_ARC
(15,4),-1.04147 # DEPENDENCYPART_ARC
(15,5),-1.13462 # DEPENDENCYPART_ARC
(15,6),-0.712936 # DEPENDENCYPART_ARC
(15,7),-0.579678 # DEPENDENCYPART_ARC
(15,8),-1.05669 # DEPENDENCYPART_ARC
(15,9),-0.599844 # DEPENDENCYPART_ARC
(15,10),-0.346504 # DEPENDENCYPART_ARC
(15,11),-0.0860972 # DEPENDENCYPART_ARC
(15,12),-0.0181492 # DEPENDENCYPART_ARC
(15,13),-0.265637 # DEPENDENCYPART_ARC
(15,14),0.543669 # DEPENDENCYPART_ARC
(15,16),0.408552 # DEPENDENCYPART_ARC
(15,17),0.474578 # DEPENDENCYPART_ARC
(15,18),-0.548368 # DEPENDENCYPART_ARC
(15,19),0.297043 # DEPENDENCYPART_ARC
(15,20),0.100291 # DEPENDENCYPART_ARC
(15,21),0.172474 # DEPENDENCYPART_ARC
(15,22),0.456383 # DEPENDENCYPART_ARC
(15,23),1.59201 # DEPENDENCYPART_ARC
(15,24),0.542422 # DEPENDENCYPART_ARC
(15,25),-0.661919 # DEPENDENCYPART_ARC
(15,26),0.644191 # DEPENDENCYPART_ARC
(16,1),-0.823699 # DEPENDENCYPART_ARC
(16,2),-2.14671 # DEPENDENCYPART_ARC
(16,3),-1.58795 # DEPENDENCYPART_ARC
(16,4),-1.79206 # DEPENDENCYPART_ARC
(16,5),0.24781 # DEPENDENCYPART_ARC
(16,6),-0.976527 # DEPENDENCYPART_ARC
(16,7),-1.87421 # DEPENDENCYPART_ARC
(16,8),-1.31428 # DEPENDENCYPART_ARC
(16,9),0.0386091 # DEPENDENCYPART_ARC
(16,10),-0.830789 # DEPENDENCYPART_ARC
(16,11),0.0975203 # DEPENDENCYPART_ARC
(16,12),0.468889 # DEPENDENCYPART_ARC
(16,13),1.25262 # DEPENDENCYPART_ARC
(16,14),2.08273 # DEPENDENCYPART_ARC
(16,15),3.15994 # DEPENDENCYPART_ARC
(16,17),1.68331 # DEPENDENCYPART_ARC
(16,18),-0.1332 # DEPENDENCYPART_ARC
(16,19),-1.92738 # DEPENDENCYPART_ARC
(16,20),-0.725734 # DEPENDENCYPART_ARC
(16,21),-1.05429 # DEPENDENCYPART_ARC
(16,22),0.233955 # DEPENDENCYPART_ARC
(16,23),0.781789 # DEPENDENCYPART_ARC
(16,24),-1.27904 # DEPENDENCYPART_ARC
(16,25),0.747108 # DEPENDENCYPART_ARC
(16,26),2.27664 # DEPENDENCYPART_ARC
(17,1),-2.52505 # DEPENDENCYPART_ARC
(17,2),-2.93856 # DEPENDENCYPART_ARC
(17,3),-3.44221 # DEPENDENCYPART_ARC
(17,4),-2.66952 # DEPENDENCYPART_ARC
(17,5),-3.36964 # DEPENDENCYPART_ARC
(17,6),-2.36501 # DEPENDENCYPART_ARC
(17,7),-2.77416 # DEPENDENCYPART_ARC
(17,8),-3.20758 # DEPENDENCYPART_ARC
(17,9),-2.39809 # DEPENDENCYPART_ARC
(17,10),-2.57439 # DEPENDENCYPART_ARC
(17,11),-1.9281 # DEPENDENCYPART_ARC
(17,12),-2.07525 # DEPENDENCYPART_ARC
(17,13),-1.92854 # DEPENDENCYPART_ARC
(17,14),-1.76268 # DEPENDENCYPART_ARC
(17,15),-1.62678 # DEPENDENCYPART_ARC
(17,16),-0.960973 # DEPENDENCYPART_ARC
(17,18),-0.864934 # DEPENDENCYPART_ARC
(17,19),-1.3259 # DEPENDENCYPART_ARC
(17,20),-1.178 # DEPENDENCYPART_ARC
(17,21),-1.81501 # DEPENDENCYPART_ARC
(17,22),-1.30148 # DEPENDENCYPART_ARC
(17,23),-1.33731 # DEPENDENCYPART_ARC
(17,24),-1.54257 # DEPENDENCYPART_ARC
(17,25),-2.25068 # DEPENDENCYPART_ARC
(17,26),-1.32747 # DEPENDENCYPART_ARC
(18,1),-1.7478 # DEPENDENCYPART_ARC
(18,2),-1.85434 # DEPENDENCYPART_ARC
(18,3),-3.14932 # DEPENDENCYPART_ARC
(18,4),-2.05693 # DEPENDENCYPART_ARC
(18,5),-3.36347 # DEPENDENCYPART_ARC
(18,6),-1.62433 # DEPENDENCYPART_ARC
(18,7),-1.69646 # DEPENDENCYPART_ARC
(18,8),-2.87372 # DEPENDENCYPART_ARC
(18,9),-1.7104 # DEPENDENCYPART_ARC
(18,10),-2.08554 # DEPENDENCYPART_ARC
(18,11),-1.00408 # DEPENDENCYPART_ARC
(18,12),-1.15684 # DEPENDENCYPART_ARC
(18,13),-1.30078 # DEPENDENCYPART_ARC
(18,14),-1.26483 # DEPENDENCYPART_ARC
(18,15),-1.71848 # DEPENDENCYPART_ARC
(18,16),-1.07667 # DEPENDENCYPART_ARC
(18,17),-0.273688 # DEPENDENCYPART_ARC
(18,19),-0.0131296 # DEPENDENCYPART_ARC
(18,20),0.0330812 # DEPENDENCYPART_ARC
(18,21),-0.755985 # DEPENDENCYPART_ARC
(18,22),-0.672545 # DEPENDENCYPART_ARC
(18,23),-0.96366 # DEPENDENCYPART_ARC
(18,24),-1.02313 # DEPENDENCYPART_ARC
(18,25),-1.5032 # DEPENDENCYPART_ARC
(18,26),-1.48874 # DEPENDENCYPART_ARC
(19,1),-3.20845 # DEPENDENCYPART_ARC
(19,2),-3.62462 # DEPENDENCYPART_ARC
(19,3),-4.79805 # DEPENDENCYPART_ARC
(19,4),-2.50226 # DEPENDENCYPART_ARC
(19,5),-6.38124 # DEPENDENCYPART_ARC
(19,6),-2.26406 # DEPENDENCYPART_ARC
(19,7),-2.83317 # DEPENDENCYPART_ARC
(19,8),-4.01325 # DEPENDENCYPART_ARC
(19,9),-1.98404 # DEPENDENCYPART_ARC
(19,10),-2.42327 # DEPENDENCYPART_ARC
(19,11),-2.29932 # DEPENDENCYPART_ARC
(19,12),-1.4405 # DEPENDENCYPART_ARC
(19,13),-1.61672 # DEPENDENCYPART_ARC
(19,14),-1.48164 # DEPENDENCYPART_ARC
(19,15),-3.50731 # DEPENDENCYPART_ARC
(19,16),-1.57656 # DEPENDENCYPART_ARC
(19,17),-1.05751 # DEPENDENCYPART_ARC
(19,18),2.63234 # DEPENDENCYPART_ARC
(19,20),-0.316929 # DEPENDENCYPART_ARC
(19,21),0.302542 # DEPENDENCYPART_ARC
(19,22),-0.824718 # DEPENDENCYPART_ARC
(19,23),-0.365298 # DEPENDENCYPART_ARC
(19,24),-0.984906 # DEPENDENCYPART_ARC
(19,25),-1.86598 # DEPENDENCYPART_ARC
(19,26),-0.258981 # DEPENDENCYPART_ARC
(20,1),-1.30181 # DEPENDENCYPART_ARC
(20,2),-1.80747 # DEPENDENCYPART_ARC
(20,3),-2.44731 # DEPENDENCYPART_ARC
(20,4),-1.6501 # DEPENDENCYPART_ARC
